LaborHeadcountSnapshotKey,SnapshotDateKey,PlantKey,CostCenterKey,BusinessUnitKey,LaborJobGradeKey,LaborEmploymentStatusKey,HeadcountQuantity,FullTimeEquivalentQuantity,OpenPositionQuantity,SourceSystemKey,BatchId,LoadedAtUtc
67,20260602,83,5,319,33,1,47.0000,47.0000,47.0000,1,1,2026-08-24T00:00:00.000
68,20260606,242,297,475,11,4,47.7000,47.7000,47.7000,1,1,2026-08-24T00:00:00.000
69,20260709,300,306,379,34,2,48.4000,48.4000,48.4000,1,1,2026-08-24T00:00:00.000
70,20260630,250,138,409,28,6,49.1000,49.1000,49.1000,1,1,2026-08-24T00:00:00.000
71,20260811,102,146,303,21,4,49.8000,49.8000,49.8000,1,1,2026-08-24T00:00:00.000
72,20260805,151,477,390,20,8,50.5000,50.5000,50.5000,1,1,2026-08-24T00:00:00.000
73,20260729,79,141,482,29,4,51.2000,51.2000,51.2000,1,1,2026-08-24T00:00:00.000
74,20260621,276,411,59,15,7,51.9000,51.9000,51.9000,1,1,2026-08-24T00:00:00.000
75,20260807,99,53,162,6,8,52.6000,52.6000,52.6000,1,1,2026-08-24T00:00:00.000
76,20260802,43,27,217,22,3,53.3000,53.3000,53.3000,1,1,2026-08-24T00:00:00.000
77,20260623,211,304,76,31,5,54.0000,54.0000,54.0000,1,1,2026-08-24T00:00:00.000
78,20260629,314,89,424,1,2,54.7000,54.7000,54.7000,1,1,2026-08-24T00:00:00.000
79,20260805,193,430,337,17,5,55.4000,55.4000,55.4000,1,1,2026-08-24T00:00:00.000
80,20260724,81,180,494,26,3,56.1000,56.1000,56.1000,1,1,2026-08-24T00:00:00.000
81,20260820,46,15,128,3,6,56.8000,56.8000,56.8000,1,1,2026-08-24T00:00:00.000
82,20260811,331,326,468,5,7,57.5000,57.5000,57.5000,1,1,2026-08-24T00:00:00.000
83,20260630,236,428,25,14,8,58.2000,58.2000,58.2000,1,1,2026-08-24T00:00:00.000
84,20260707,172,370,138,5,7,58.9000,58.9000,58.9000,1,1,2026-08-24T00:00:00.000
85,20260613,268,419,327,26,8,59.6000,59.6000,59.6000,1,1,2026-08-24T00:00:00.000
86,20260604,327,51,170,22,1,60.3000,60.3000,60.3000,1,1,2026-08-24T00:00:00.000
87,20260613,336,150,137,29,3,61.0000,61.0000,61.0000,1,1,2026-08-24T00:00:00.000
88,20260720,34,201,452,7,2,61.7000,61.7000,61.7000,1,1,2026-08-24T00:00:00.000
89,20260606,237,197,62,11,8,62.4000,62.4000,62.4000,1,1,2026-08-24T00:00:00.000
90,20260705,187,166,254,24,7,63.1000,63.1000,63.1000,1,1,2026-08-24T00:00:00.000
91,20260708,179,32,228,34,5,63.8000,63.8000,63.8000,1,1,2026-08-24T00:00:00.000
92,20260619,311,460,275,16,2,64.5000,64.5000,64.5000,1,1,2026-08-24T00:00:00.000
93,20260619,219,439,285,8,5,65.2000,65.2000,65.2000,1,1,2026-08-24T00:00:00.000
94,20260720,138,172,414,5,8,65.9000,65.9000,65.9000,1,1,2026-08-24T00:00:00.000
95,20260801,337,384,407,28,7,66.6000,66.6000,66.6000,1,1,2026-08-24T00:00:00.000
96,20260618,146,383,463,16,8,67.3000,67.3000,67.3000,1,1,2026-08-24T00:00:00.000
97,20260702,57,261,274,11,6,68.0000,68.0000,68.0000,1,1,2026-08-24T00:00:00.000
98,20260727,341,344,182,7,6,68.7000,68.7000,68.7000,1,1,2026-08-24T00:00:00.000
99,20260811,182,357,265,29,2,69.4000,69.4000,69.4000,1,1,2026-08-24T00:00:00.000
100,20260803,343,313,451,9,6,70.1000,70.1000,70.1000,1,1,2026-08-24T00:00:00.000
101,20260531,187,27,185,6,4,70.8000,70.8000,70.8000,1,1,2026-08-24T00:00:00.000
102,20260528,67,408,8,34,1,71.5000,71.5000,71.5000,1,1,2026-08-24T00:00:00.000
103,20260622,220,294,431,19,3,72.2000,72.2000,72.2000,1,1,2026-08-24T00:00:00.000
104,20260701,62,4,342,7,7,72.9000,72.9000,72.9000,1,1,2026-08-24T00:00:00.000
105,20260714,191,290,203,33,6,73.6000,73.6000,73.6000,1,1,2026-08-24T00:00:00.000
106,20260702,262,317,297,5,3,74.3000,74.3000,74.3000,1,1,2026-08-24T00:00:00.000
107,20260808,344,187,312,3,5,75.0000,75.0000,75.0000,1,1,2026-08-24T00:00:00.000
108,20260602,38,156,121,16,4,75.7000,75.7000,75.7000,1,1,2026-08-24T00:00:00.000
109,20260813,144,265,273,21,1,76.4000,76.4000,76.4000,1,1,2026-08-24T00:00:00.000
110,20260730,262,373,358,28,7,77.1000,77.1000,77.1000,1,1,2026-08-24T00:00:00.000
111,20260723,180,380,368,24,8,77.8000,77.8000,77.8000,1,1,2026-08-24T00:00:00.000
112,20260713,261,311,443,2,1,78.5000,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
113,20260807,98,457,102,25,3,79.2000,79.2000,79.2000,1,1,2026-08-24T00:00:00.000
114,20260809,301,128,172,19,5,79.9000,79.9000,79.9000,1,1,2026-08-24T00:00:00.000
115,20260718,270,101,500,17,2,80.6000,80.6000,80.6000,1,1,2026-08-24T00:00:00.000
116,20260803,168,361,289,14,3,81.3000,81.3000,81.3000,1,1,2026-08-24T00:00:00.000
117,20260815,106,211,437,10,2,82.0000,82.0000,82.0000,1,1,2026-08-24T00:00:00.000
118,20260630,214,186,7,14,5,82.7000,82.7000,82.7000,1,1,2026-08-24T00:00:00.000
119,20260711,261,267,257,13,6,83.4000,83.4000,83.4000,1,1,2026-08-24T00:00:00.000
120,20260821,140,360,346,27,7,84.1000,84.1000,84.1000,1,1,2026-08-24T00:00:00.000
121,20260806,28,490,4,8,8,84.8000,84.8000,84.8000,1,1,2026-08-24T00:00:00.000
122,20260606,313,108,167,29,4,85.5000,85.5000,85.5000,1,1,2026-08-24T00:00:00.000
123,20260606,274,477,383,3,1,86.2000,86.2000,86.2000,1,1,2026-08-24T00:00:00.000
124,20260702,1,401,412,5,8,86.9000,86.9000,86.9000,1,1,2026-08-24T00:00:00.000
125,20260806,267,96,443,21,2,87.6000,87.6000,87.6000,1,1,2026-08-24T00:00:00.000
126,20260810,229,481,222,13,1,88.3000,88.3000,88.3000,1,1,2026-08-24T00:00:00.000
127,20260527,207,125,231,31,6,89.0000,89.0000,89.0000,1,1,2026-08-24T00:00:00.000
128,20260606,81,194,227,18,8,89.7000,89.7000,89.7000,1,1,2026-08-24T00:00:00.000
129,20260717,288,99,325,24,8,90.4000,90.4000,90.4000,1,1,2026-08-24T00:00:00.000
130,20260613,108,142,484,2,2,91.1000,91.1000,91.1000,1,1,2026-08-24T00:00:00.000
131,20260724,92,232,485,8,6,91.8000,91.8000,91.8000,1,1,2026-08-24T00:00:00.000
132,20260620,156,57,142,28,4,92.5000,92.5000,92.5000,1,1,2026-08-24T00:00:00.000
133,20260717,81,73,297,29,1,93.2000,93.2000,93.2000,1,1,2026-08-24T00:00:00.000
134,20260804,164,448,478,2,2,93.9000,93.9000,93.9000,1,1,2026-08-24T00:00:00.000
135,20260602,324,393,439,20,1,94.6000,94.6000,94.6000,1,1,2026-08-24T00:00:00.000
136,20260531,40,308,143,34,2,95.3000,95.3000,95.3000,1,1,2026-08-24T00:00:00.000
137,20260703,22,91,431,9,7,96.0000,96.0000,96.0000,1,1,2026-08-24T00:00:00.000
138,20260812,162,133,246,31,2,96.7000,96.7000,96.7000,1,1,2026-08-24T00:00:00.000
139,20260602,324,254,483,23,5,97.4000,97.4000,97.4000,1,1,2026-08-24T00:00:00.000
140,20260811,55,424,24,13,7,98.1000,98.1000,98.1000,1,1,2026-08-24T00:00:00.000
141,20260604,89,417,88,14,4,98.8000,98.8000,98.8000,1,1,2026-08-24T00:00:00.000
142,20260808,110,164,40,25,6,99.5000,99.5000,99.5000,1,1,2026-08-24T00:00:00.000
143,20260807,327,439,46,4,1,100.2000,100.2000,100.2000,1,1,2026-08-24T00:00:00.000
144,20260622,50,363,61,12,8,100.9000,100.9000,100.9000,1,1,2026-08-24T00:00:00.000
145,20260610,301,281,436,14,6,101.6000,101.6000,101.6000,1,1,2026-08-24T00:00:00.000
146,20260605,60,89,493,22,4,102.3000,102.3000,102.3000,1,1,2026-08-24T00:00:00.000
147,20260528,17,113,74,3,8,103.0000,103.0000,103.0000,1,1,2026-08-24T00:00:00.000
148,20260812,45,493,308,19,7,103.7000,103.7000,103.7000,1,1,2026-08-24T00:00:00.000
149,20260630,244,110,463,7,8,104.4000,104.4000,104.4000,1,1,2026-08-24T00:00:00.000
150,20260813,65,326,215,19,8,105.1000,105.1000,105.1000,1,1,2026-08-24T00:00:00.000
151,20260609,324,498,168,14,6,105.8000,105.8000,105.8000,1,1,2026-08-24T00:00:00.000
152,20260718,244,38,120,8,3,106.5000,106.5000,106.5000,1,1,2026-08-24T00:00:00.000
153,20260808,29,381,373,27,6,107.2000,107.2000,107.2000,1,1,2026-08-24T00:00:00.000
154,20260618,22,218,128,15,5,107.9000,107.9000,107.9000,1,1,2026-08-24T00:00:00.000
155,20260627,22,91,174,33,8,108.6000,108.6000,108.6000,1,1,2026-08-24T00:00:00.000
156,20260806,94,208,205,2,2,109.3000,109.3000,109.3000,1,1,2026-08-24T00:00:00.000
157,20260727,177,49,254,6,8,110.0000,110.0000,110.0000,1,1,2026-08-24T00:00:00.000
158,20260816,87,257,168,16,1,110.7000,110.7000,110.7000,1,1,2026-08-24T00:00:00.000
159,20260603,293,349,276,27,4,111.4000,111.4000,111.4000,1,1,2026-08-24T00:00:00.000
160,20260824,190,347,147,7,4,112.1000,112.1000,112.1000,1,1,2026-08-24T00:00:00.000
161,20260724,210,161,215,4,4,112.8000,112.8000,112.8000,1,1,2026-08-24T00:00:00.000
162,20260618,306,47,218,26,7,113.5000,113.5000,113.5000,1,1,2026-08-24T00:00:00.000
163,20260818,139,43,4,20,1,114.2000,114.2000,114.2000,1,1,2026-08-24T00:00:00.000
164,20260615,322,383,298,28,6,114.9000,114.9000,114.9000,1,1,2026-08-24T00:00:00.000
165,20260817,10,198,246,34,6,115.6000,115.6000,115.6000,1,1,2026-08-24T00:00:00.000
166,20260723,305,226,409,3,4,116.3000,116.3000,116.3000,1,1,2026-08-24T00:00:00.000
167,20260808,274,168,107,12,3,117.0000,117.0000,117.0000,1,1,2026-08-24T00:00:00.000
168,20260623,119,71,201,1,3,117.7000,117.7000,117.7000,1,1,2026-08-24T00:00:00.000
169,20260710,251,446,449,2,3,118.4000,118.4000,118.4000,1,1,2026-08-24T00:00:00.000
170,20260609,319,74,495,30,6,119.1000,119.1000,119.1000,1,1,2026-08-24T00:00:00.000
171,20260720,244,214,56,1,2,119.8000,119.8000,119.8000,1,1,2026-08-24T00:00:00.000
172,20260821,27,460,263,6,1,120.5000,120.5000,120.5000,1,1,2026-08-24T00:00:00.000
173,20260716,237,454,415,15,3,121.2000,121.2000,121.2000,1,1,2026-08-24T00:00:00.000
174,20260824,193,500,134,8,8,121.9000,121.9000,121.9000,1,1,2026-08-24T00:00:00.000
175,20260803,13,52,309,29,8,122.6000,122.6000,122.6000,1,1,2026-08-24T00:00:00.000
176,20260716,288,287,216,4,8,123.3000,123.3000,123.3000,1,1,2026-08-24T00:00:00.000
177,20260621,67,386,307,24,1,124.0000,124.0000,124.0000,1,1,2026-08-24T00:00:00.000
178,20260601,64,416,305,16,5,124.7000,124.7000,124.7000,1,1,2026-08-24T00:00:00.000
179,20260615,98,202,329,30,2,125.4000,125.4000,125.4000,1,1,2026-08-24T00:00:00.000
180,20260722,65,38,491,31,3,126.1000,126.1000,126.1000,1,1,2026-08-24T00:00:00.000
181,20260819,236,228,185,11,6,126.8000,126.8000,126.8000,1,1,2026-08-24T00:00:00.000
182,20260611,75,3,255,31,2,127.5000,127.5000,127.5000,1,1,2026-08-24T00:00:00.000
183,20260820,257,335,72,22,4,128.2000,128.2000,128.2000,1,1,2026-08-24T00:00:00.000
184,20260602,309,124,371,32,3,128.9000,128.9000,128.9000,1,1,2026-08-24T00:00:00.000
185,20260703,340,44,344,33,8,129.6000,129.6000,129.6000,1,1,2026-08-24T00:00:00.000
186,20260601,342,241,464,34,7,130.3000,130.3000,130.3000,1,1,2026-08-24T00:00:00.000
187,20260808,328,125,3,26,2,131.0000,131.0000,131.0000,1,1,2026-08-24T00:00:00.000
188,20260821,252,356,449,5,8,131.7000,131.7000,131.7000,1,1,2026-08-24T00:00:00.000
189,20260627,242,239,129,21,2,132.4000,132.4000,132.4000,1,1,2026-08-24T00:00:00.000
190,20260812,4,81,290,26,7,133.1000,133.1000,133.1000,1,1,2026-08-24T00:00:00.000
191,20260703,159,356,433,15,7,133.8000,133.8000,133.8000,1,1,2026-08-24T00:00:00.000
192,20260713,301,444,395,9,6,134.5000,134.5000,134.5000,1,1,2026-08-24T00:00:00.000
193,20260706,216,236,488,19,8,135.2000,135.2000,135.2000,1,1,2026-08-24T00:00:00.000
194,20260613,319,123,1,20,1,135.9000,135.9000,135.9000,1,1,2026-08-24T00:00:00.000
195,20260806,323,438,356,31,5,136.6000,136.6000,136.6000,1,1,2026-08-24T00:00:00.000
196,20260821,11,163,127,12,6,137.3000,137.3000,137.3000,1,1,2026-08-24T00:00:00.000
197,20260708,96,106,186,11,3,138.0000,138.0000,138.0000,1,1,2026-08-24T00:00:00.000
198,20260724,167,469,500,33,5,138.7000,138.7000,138.7000,1,1,2026-08-24T00:00:00.000
199,20260605,336,42,271,5,6,139.4000,139.4000,139.4000,1,1,2026-08-24T00:00:00.000
200,20260719,30,274,460,28,8,140.1000,140.1000,140.1000,1,1,2026-08-24T00:00:00.000
201,20260619,227,296,439,9,3,140.8000,140.8000,140.8000,1,1,2026-08-24T00:00:00.000
202,20260731,212,433,89,10,1,141.5000,141.5000,141.5000,1,1,2026-08-24T00:00:00.000
203,20260527,15,305,86,20,4,142.2000,142.2000,142.2000,1,1,2026-08-24T00:00:00.000
204,20260612,165,419,306,19,5,142.9000,142.9000,142.9000,1,1,2026-08-24T00:00:00.000
205,20260716,184,377,384,26,5,143.6000,143.6000,143.6000,1,1,2026-08-24T00:00:00.000
206,20260703,287,62,376,9,2,144.3000,144.3000,144.3000,1,1,2026-08-24T00:00:00.000
207,20260803,345,189,124,16,8,145.0000,145.0000,145.0000,1,1,2026-08-24T00:00:00.000
208,20260820,289,393,366,7,7,145.7000,145.7000,145.7000,1,1,2026-08-24T00:00:00.000
209,20260729,30,75,385,5,5,146.4000,146.4000,146.4000,1,1,2026-08-24T00:00:00.000
210,20260527,310,220,1,20,4,147.1000,147.1000,147.1000,1,1,2026-08-24T00:00:00.000
211,20260606,156,207,55,3,5,147.8000,147.8000,147.8000,1,1,2026-08-24T00:00:00.000
212,20260620,75,477,277,9,3,148.5000,148.5000,148.5000,1,1,2026-08-24T00:00:00.000
213,20260527,226,59,181,12,4,149.2000,149.2000,149.2000,1,1,2026-08-24T00:00:00.000
214,20260627,174,144,309,12,7,149.9000,149.9000,149.9000,1,1,2026-08-24T00:00:00.000
215,20260824,75,443,114,5,5,150.6000,150.6000,150.6000,1,1,2026-08-24T00:00:00.000
216,20260618,148,378,22,25,4,151.3000,151.3000,151.3000,1,1,2026-08-24T00:00:00.000
217,20260814,163,35,496,7,2,152.0000,152.0000,152.0000,1,1,2026-08-24T00:00:00.000
218,20260607,1,286,296,9,8,152.7000,152.7000,152.7000,1,1,2026-08-24T00:00:00.000
219,20260816,159,471,46,34,6,153.4000,153.4000,153.4000,1,1,2026-08-24T00:00:00.000
220,20260716,281,421,219,20,6,154.1000,154.1000,154.1000,1,1,2026-08-24T00:00:00.000
221,20260527,243,7,268,25,1,154.8000,154.8000,154.8000,1,1,2026-08-24T00:00:00.000
222,20260623,326,10,455,15,2,155.5000,155.5000,155.5000,1,1,2026-08-24T00:00:00.000
223,20260606,14,41,130,34,1,156.2000,156.2000,156.2000,1,1,2026-08-24T00:00:00.000
224,20260621,115,430,406,20,3,156.9000,156.9000,156.9000,1,1,2026-08-24T00:00:00.000
225,20260602,218,8,466,17,3,157.6000,157.6000,157.6000,1,1,2026-08-24T00:00:00.000
226,20260810,152,248,181,28,8,158.3000,158.3000,158.3000,1,1,2026-08-24T00:00:00.000
227,20260726,113,171,360,28,2,159.0000,159.0000,159.0000,1,1,2026-08-24T00:00:00.000
228,20260718,317,260,418,28,2,159.7000,159.7000,159.7000,1,1,2026-08-24T00:00:00.000
229,20260811,148,159,277,19,2,160.4000,160.4000,160.4000,1,1,2026-08-24T00:00:00.000
230,20260822,182,148,425,28,4,161.1000,161.1000,161.1000,1,1,2026-08-24T00:00:00.000
231,20260609,107,110,250,15,4,161.8000,161.8000,161.8000,1,1,2026-08-24T00:00:00.000
232,20260814,335,497,482,15,5,162.5000,162.5000,162.5000,1,1,2026-08-24T00:00:00.000
233,20260721,172,246,432,16,4,163.2000,163.2000,163.2000,1,1,2026-08-24T00:00:00.000
234,20260703,306,307,176,32,3,163.9000,163.9000,163.9000,1,1,2026-08-24T00:00:00.000
235,20260602,18,359,355,14,4,164.6000,164.6000,164.6000,1,1,2026-08-24T00:00:00.000
236,20260819,152,122,43,30,3,165.3000,165.3000,165.3000,1,1,2026-08-24T00:00:00.000
237,20260730,229,187,452,17,1,166.0000,166.0000,166.0000,1,1,2026-08-24T00:00:00.000
238,20260615,65,353,218,3,5,166.7000,166.7000,166.7000,1,1,2026-08-24T00:00:00.000
239,20260719,103,68,233,4,3,167.4000,167.4000,167.4000,1,1,2026-08-24T00:00:00.000
240,20260713,53,183,114,12,2,168.1000,168.1000,168.1000,1,1,2026-08-24T00:00:00.000
241,20260711,301,87,54,9,4,168.8000,168.8000,168.8000,1,1,2026-08-24T00:00:00.000
242,20260527,250,202,293,3,2,169.5000,169.5000,169.5000,1,1,2026-08-24T00:00:00.000
243,20260613,129,49,35,34,2,170.2000,170.2000,170.2000,1,1,2026-08-24T00:00:00.000
244,20260611,173,57,471,32,4,170.9000,170.9000,170.9000,1,1,2026-08-24T00:00:00.000
245,20260630,41,421,443,23,4,171.6000,171.6000,171.6000,1,1,2026-08-24T00:00:00.000
246,20260718,30,314,439,16,6,172.3000,172.3000,172.3000,1,1,2026-08-24T00:00:00.000
247,20260821,63,334,436,16,6,173.0000,173.0000,173.0000,1,1,2026-08-24T00:00:00.000
248,20260529,75,233,247,18,7,173.7000,173.7000,173.7000,1,1,2026-08-24T00:00:00.000
249,20260812,281,178,67,8,3,174.4000,174.4000,174.4000,1,1,2026-08-24T00:00:00.000
250,20260612,34,388,153,6,1,175.1000,175.1000,175.1000,1,1,2026-08-24T00:00:00.000
251,20260611,106,459,64,25,4,175.8000,175.8000,175.8000,1,1,2026-08-24T00:00:00.000
252,20260624,172,351,227,29,3,176.5000,176.5000,176.5000,1,1,2026-08-24T00:00:00.000
253,20260714,167,5,6,20,4,177.2000,177.2000,177.2000,1,1,2026-08-24T00:00:00.000
254,20260602,258,174,291,1,6,177.9000,177.9000,177.9000,1,1,2026-08-24T00:00:00.000
255,20260724,204,212,391,32,2,178.6000,178.6000,178.6000,1,1,2026-08-24T00:00:00.000
256,20260718,28,75,279,1,2,179.3000,179.3000,179.3000,1,1,2026-08-24T00:00:00.000
257,20260718,102,158,164,13,7,180.0000,180.0000,180.0000,1,1,2026-08-24T00:00:00.000
258,20260630,252,125,47,19,2,180.7000,180.7000,180.7000,1,1,2026-08-24T00:00:00.000
259,20260727,214,3,3,21,1,181.4000,181.4000,181.4000,1,1,2026-08-24T00:00:00.000
260,20260731,98,25,300,24,6,182.1000,182.1000,182.1000,1,1,2026-08-24T00:00:00.000
261,20260607,92,89,262,1,4,182.8000,182.8000,182.8000,1,1,2026-08-24T00:00:00.000
262,20260818,201,471,191,4,8,183.5000,183.5000,183.5000,1,1,2026-08-24T00:00:00.000
263,20260728,329,109,214,20,2,184.2000,184.2000,184.2000,1,1,2026-08-24T00:00:00.000
264,20260710,119,246,103,18,6,184.9000,184.9000,184.9000,1,1,2026-08-24T00:00:00.000
265,20260802,267,123,345,14,5,185.6000,185.6000,185.6000,1,1,2026-08-24T00:00:00.000
266,20260612,109,100,477,21,1,186.3000,186.3000,186.3000,1,1,2026-08-24T00:00:00.000
267,20260730,20,306,297,29,8,187.0000,187.0000,187.0000,1,1,2026-08-24T00:00:00.000
268,20260810,286,68,463,25,2,187.7000,187.7000,187.7000,1,1,2026-08-24T00:00:00.000
269,20260605,103,183,153,13,8,188.4000,188.4000,188.4000,1,1,2026-08-24T00:00:00.000
270,20260603,341,413,220,12,2,189.1000,189.1000,189.1000,1,1,2026-08-24T00:00:00.000
271,20260608,334,495,411,20,1,189.8000,189.8000,189.8000,1,1,2026-08-24T00:00:00.000
272,20260729,153,209,144,32,3,190.5000,190.5000,190.5000,1,1,2026-08-24T00:00:00.000
273,20260820,53,168,261,1,1,191.2000,191.2000,191.2000,1,1,2026-08-24T00:00:00.000
274,20260812,282,430,426,15,8,191.9000,191.9000,191.9000,1,1,2026-08-24T00:00:00.000
