LogisticsTrackingEventKey,EventDateKey,EventTimeOfDayKey,LogisticsShipmentHeaderKey,LogisticsDeliveryKey,LogisticsTransportLoadKey,LogisticsContainerKey,LogisticsDockDoorKey,LogisticsTrackingEventTypeKey,SeverityKey,TrackingReferenceNumber,EventCount,EventSequenceNumber,SourceSystemKey,BatchId,LoadedAtUtc
26,20260706,79680,328,324,123,233,298,23,4,LTE000026,27,26,1,1,2026-08-24T00:00:00.000
27,20260731,63720,69,356,251,363,176,10,3,LTE000027,28,27,1,1,2026-08-24T00:00:00.000
28,20260617,52440,123,38,274,490,181,8,3,LTE000028,29,28,1,1,2026-08-24T00:00:00.000
29,20260708,30240,27,443,376,500,166,28,3,LTE000029,30,29,1,1,2026-08-24T00:00:00.000
30,20260623,27900,230,90,67,113,486,17,3,LTE000030,31,30,1,1,2026-08-24T00:00:00.000
31,20260818,73980,194,134,161,137,430,29,4,LTE000031,32,31,1,1,2026-08-24T00:00:00.000
32,20260612,65280,190,266,390,37,327,10,4,LTE000032,33,32,1,1,2026-08-24T00:00:00.000
33,20260620,33960,219,36,266,173,190,5,5,LTE000033,34,33,1,1,2026-08-24T00:00:00.000
34,20260630,67500,-1,-1,-1,-1,-1,33,-1,LTE000034,35,34,1,1,2026-08-24T00:00:00.000
35,20260616,67620,376,259,120,219,177,19,1,LTE000035,36,35,1,1,2026-08-24T00:00:00.000
36,20260817,75120,459,260,242,146,384,4,4,LTE000036,37,36,1,1,2026-08-24T00:00:00.000
37,20260528,31080,435,253,349,478,158,6,5,LTE000037,38,37,1,1,2026-08-24T00:00:00.000
38,20260822,74340,175,186,43,38,1,14,3,LTE000038,39,38,1,1,2026-08-24T00:00:00.000
39,20260611,63420,208,192,368,443,120,21,1,LTE000039,40,39,1,1,2026-08-24T00:00:00.000
40,20260712,21060,242,198,199,451,161,12,1,LTE000040,41,40,1,1,2026-08-24T00:00:00.000
41,20260614,9300,120,8,229,385,28,30,5,LTE000041,42,41,1,1,2026-08-24T00:00:00.000
42,20260729,5400,68,358,317,214,311,2,4,LTE000042,43,42,1,1,2026-08-24T00:00:00.000
43,20260726,49800,74,220,114,201,455,10,3,LTE000043,44,43,1,1,2026-08-24T00:00:00.000
44,20260721,45960,24,96,59,448,229,4,3,LTE000044,45,44,1,1,2026-08-24T00:00:00.000
45,20260713,42120,232,432,133,99,207,29,1,LTE000045,46,45,1,1,2026-08-24T00:00:00.000
46,20260604,52260,94,354,247,1,151,21,4,LTE000046,47,46,1,1,2026-08-24T00:00:00.000
47,20260701,79020,74,404,112,39,32,31,5,LTE000047,48,47,1,1,2026-08-24T00:00:00.000
48,20260721,49020,293,298,194,159,106,4,5,LTE000048,49,48,1,1,2026-08-24T00:00:00.000
49,20260806,39720,439,155,101,112,224,5,4,LTE000049,50,49,1,1,2026-08-24T00:00:00.000
50,20260626,76860,475,268,369,202,338,18,2,LTE000050,51,50,1,1,2026-08-24T00:00:00.000
51,20260806,20640,-1,-1,-1,-1,-1,6,-1,LTE000051,52,51,1,1,2026-08-24T00:00:00.000
52,20260624,65220,451,1,452,266,469,4,5,LTE000052,53,52,1,1,2026-08-24T00:00:00.000
53,20260818,65520,327,270,247,59,229,28,5,LTE000053,54,53,1,1,2026-08-24T00:00:00.000
54,20260729,69000,267,106,90,87,31,30,5,LTE000054,55,54,1,1,2026-08-24T00:00:00.000
55,20260803,65040,151,215,418,277,40,1,2,LTE000055,56,55,1,1,2026-08-24T00:00:00.000
56,20260803,77700,490,230,419,197,191,7,1,LTE000056,57,56,1,1,2026-08-24T00:00:00.000
57,20260714,78360,215,230,486,116,309,9,3,LTE000057,58,57,1,1,2026-08-24T00:00:00.000
58,20260716,20520,125,297,401,356,207,1,1,LTE000058,59,58,1,1,2026-08-24T00:00:00.000
59,20260823,3240,62,476,462,140,7,32,1,LTE000059,60,59,1,1,2026-08-24T00:00:00.000
60,20260717,11640,126,398,496,133,301,31,3,LTE000060,61,60,1,1,2026-08-24T00:00:00.000
61,20260629,19860,346,141,345,168,398,31,4,LTE000061,62,61,1,1,2026-08-24T00:00:00.000
62,20260527,75540,395,455,162,301,135,24,3,LTE000062,63,62,1,1,2026-08-24T00:00:00.000
63,20260703,71220,52,77,387,25,258,27,5,LTE000063,64,63,1,1,2026-08-24T00:00:00.000
64,20260626,80160,108,415,159,384,6,10,2,LTE000064,65,64,1,1,2026-08-24T00:00:00.000
65,20260725,4920,230,163,386,495,292,31,1,LTE000065,66,65,1,1,2026-08-24T00:00:00.000
66,20260624,44880,116,206,77,465,23,13,1,LTE000066,67,66,1,1,2026-08-24T00:00:00.000
67,20260616,76860,192,390,42,476,265,14,1,LTE000067,68,67,1,1,2026-08-24T00:00:00.000
68,20260610,74700,-1,-1,-1,-1,-1,27,-1,LTE000068,69,68,1,1,2026-08-24T00:00:00.000
69,20260527,11640,320,84,362,281,119,24,2,LTE000069,70,69,1,1,2026-08-24T00:00:00.000
70,20260703,59940,403,224,280,145,444,9,2,LTE000070,71,70,1,1,2026-08-24T00:00:00.000
71,20260617,57900,456,205,154,136,471,2,4,LTE000071,72,71,1,1,2026-08-24T00:00:00.000
72,20260722,49980,447,439,81,459,215,26,4,LTE000072,73,72,1,1,2026-08-24T00:00:00.000
73,20260821,78480,91,440,461,442,368,11,3,LTE000073,74,73,1,1,2026-08-24T00:00:00.000
74,20260621,50640,261,132,324,427,54,27,3,LTE000074,75,74,1,1,2026-08-24T00:00:00.000
75,20260708,16020,414,364,302,390,428,11,1,LTE000075,76,75,1,1,2026-08-24T00:00:00.000
76,20260617,8760,237,453,32,22,256,24,1,LTE000076,77,76,1,1,2026-08-24T00:00:00.000
77,20260619,76560,122,388,217,293,204,16,4,LTE000077,78,77,1,1,2026-08-24T00:00:00.000
78,20260630,27720,282,107,91,293,344,15,3,LTE000078,79,78,1,1,2026-08-24T00:00:00.000
79,20260604,34440,153,170,12,43,131,20,5,LTE000079,80,79,1,1,2026-08-24T00:00:00.000
80,20260629,33120,300,461,226,315,100,24,1,LTE000080,81,80,1,1,2026-08-24T00:00:00.000
81,20260812,62460,269,164,361,192,71,25,1,LTE000081,82,81,1,1,2026-08-24T00:00:00.000
82,20260720,57180,72,299,383,406,157,11,2,LTE000082,83,82,1,1,2026-08-24T00:00:00.000
83,20260809,13080,441,470,126,245,295,5,1,LTE000083,84,83,1,1,2026-08-24T00:00:00.000
84,20260816,6300,300,246,382,374,450,16,3,LTE000084,85,84,1,1,2026-08-24T00:00:00.000
85,20260730,62220,-1,-1,-1,-1,-1,16,-1,LTE000085,86,85,1,1,2026-08-24T00:00:00.000
86,20260721,67620,136,432,372,4,131,12,1,LTE000086,87,86,1,1,2026-08-24T00:00:00.000
87,20260729,81360,50,76,369,402,234,6,5,LTE000087,88,87,1,1,2026-08-24T00:00:00.000
88,20260528,70020,11,44,136,236,101,26,4,LTE000088,89,88,1,1,2026-08-24T00:00:00.000
89,20260806,78000,411,334,205,135,372,9,2,LTE000089,90,89,1,1,2026-08-24T00:00:00.000
90,20260802,1500,186,67,308,240,440,9,2,LTE000090,91,90,1,1,2026-08-24T00:00:00.000
91,20260810,68700,486,193,135,409,58,3,4,LTE000091,92,91,1,1,2026-08-24T00:00:00.000
92,20260821,75240,56,285,319,133,153,15,4,LTE000092,93,92,1,1,2026-08-24T00:00:00.000
93,20260801,51120,247,62,372,444,5,26,2,LTE000093,94,93,1,1,2026-08-24T00:00:00.000
94,20260605,11460,442,430,195,475,77,30,2,LTE000094,95,94,1,1,2026-08-24T00:00:00.000
95,20260609,16800,49,419,211,101,374,4,2,LTE000095,96,95,1,1,2026-08-24T00:00:00.000
96,20260722,27840,456,123,188,13,452,12,1,LTE000096,97,96,1,1,2026-08-24T00:00:00.000
97,20260822,24720,473,105,462,180,244,24,5,LTE000097,98,97,1,1,2026-08-24T00:00:00.000
98,20260824,38160,118,125,496,26,3,14,2,LTE000098,99,98,1,1,2026-08-24T00:00:00.000
99,20260612,63840,326,87,57,131,9,24,4,LTE000099,100,99,1,1,2026-08-24T00:00:00.000
100,20260819,33120,98,216,285,479,107,3,2,LTE000100,101,100,1,1,2026-08-24T00:00:00.000
101,20260716,79200,155,302,312,354,58,18,1,LTE000101,102,101,1,1,2026-08-24T00:00:00.000
102,20260630,31740,-1,-1,-1,-1,-1,2,-1,LTE000102,103,102,1,1,2026-08-24T00:00:00.000
103,20260529,78780,321,477,178,389,335,23,5,LTE000103,104,103,1,1,2026-08-24T00:00:00.000
104,20260530,49980,112,121,118,150,197,6,5,LTE000104,105,104,1,1,2026-08-24T00:00:00.000
105,20260608,37920,199,354,452,214,368,32,1,LTE000105,106,105,1,1,2026-08-24T00:00:00.000
106,20260808,30120,452,207,314,278,219,14,2,LTE000106,107,106,1,1,2026-08-24T00:00:00.000
107,20260701,39120,317,462,47,35,27,23,2,LTE000107,108,107,1,1,2026-08-24T00:00:00.000
108,20260725,27240,106,62,478,450,85,24,5,LTE000108,109,108,1,1,2026-08-24T00:00:00.000
109,20260609,55860,49,169,277,172,417,21,4,LTE000109,110,109,1,1,2026-08-24T00:00:00.000
110,20260617,56760,345,216,196,13,22,18,2,LTE000110,111,110,1,1,2026-08-24T00:00:00.000
111,20260721,26760,106,269,413,77,342,30,3,LTE000111,112,111,1,1,2026-08-24T00:00:00.000
112,20260626,78300,428,49,250,328,481,22,3,LTE000112,113,112,1,1,2026-08-24T00:00:00.000
113,20260813,72060,398,491,17,287,7,30,3,LTE000113,114,113,1,1,2026-08-24T00:00:00.000
114,20260611,11460,135,470,209,413,417,7,4,LTE000114,115,114,1,1,2026-08-24T00:00:00.000
115,20260625,6240,164,328,387,243,497,2,5,LTE000115,116,115,1,1,2026-08-24T00:00:00.000
116,20260608,20940,71,429,453,315,78,13,3,LTE000116,117,116,1,1,2026-08-24T00:00:00.000
117,20260801,23160,123,195,164,1,66,5,3,LTE000117,118,117,1,1,2026-08-24T00:00:00.000
118,20260718,6480,445,193,71,168,141,13,1,LTE000118,119,118,1,1,2026-08-24T00:00:00.000
119,20260529,51900,-1,-1,-1,-1,-1,30,-1,LTE000119,120,119,1,1,2026-08-24T00:00:00.000
120,20260705,3600,199,416,78,56,294,8,3,LTE000120,121,120,1,1,2026-08-24T00:00:00.000
121,20260820,78720,466,427,124,188,291,21,3,LTE000121,122,121,1,1,2026-08-24T00:00:00.000
122,20260818,80040,63,362,281,73,116,34,3,LTE000122,123,122,1,1,2026-08-24T00:00:00.000
123,20260810,77400,196,30,138,468,365,8,2,LTE000123,124,123,1,1,2026-08-24T00:00:00.000
124,20260731,77520,375,325,34,187,466,21,2,LTE000124,125,124,1,1,2026-08-24T00:00:00.000
125,20260619,15300,273,204,62,493,430,34,2,LTE000125,126,125,1,1,2026-08-24T00:00:00.000
126,20260720,85800,438,412,198,173,409,35,2,LTE000126,127,126,1,1,2026-08-24T00:00:00.000
127,20260616,54180,165,126,461,233,254,22,2,LTE000127,128,127,1,1,2026-08-24T00:00:00.000
128,20260701,1500,61,254,17,58,311,30,2,LTE000128,129,128,1,1,2026-08-24T00:00:00.000
129,20260722,51480,138,20,328,252,55,6,3,LTE000129,130,129,1,1,2026-08-24T00:00:00.000
130,20260724,24720,450,23,96,413,63,15,5,LTE000130,131,130,1,1,2026-08-24T00:00:00.000
131,20260821,74460,399,467,59,131,160,3,4,LTE000131,132,131,1,1,2026-08-24T00:00:00.000
132,20260802,74700,482,472,251,457,474,12,5,LTE000132,133,132,1,1,2026-08-24T00:00:00.000
133,20260818,21840,291,41,193,238,301,21,1,LTE000133,134,133,1,1,2026-08-24T00:00:00.000
134,20260719,52500,426,494,378,210,470,35,2,LTE000134,135,134,1,1,2026-08-24T00:00:00.000
135,20260719,4500,21,254,220,279,12,23,3,LTE000135,136,135,1,1,2026-08-24T00:00:00.000
136,20260817,32760,-1,-1,-1,-1,-1,29,-1,LTE000136,137,136,1,1,2026-08-24T00:00:00.000
137,20260708,1620,32,1,391,368,326,28,5,LTE000137,138,137,1,1,2026-08-24T00:00:00.000
138,20260816,33900,180,407,251,179,272,23,3,LTE000138,139,138,1,1,2026-08-24T00:00:00.000
139,20260811,54060,228,266,385,223,310,26,2,LTE000139,140,139,1,1,2026-08-24T00:00:00.000
140,20260803,17940,157,233,120,199,9,15,4,LTE000140,141,140,1,1,2026-08-24T00:00:00.000
141,20260713,13320,256,117,227,98,131,15,1,LTE000141,142,141,1,1,2026-08-24T00:00:00.000
142,20260527,6360,328,263,4,495,54,8,1,LTE000142,143,142,1,1,2026-08-24T00:00:00.000
143,20260627,80700,7,378,263,414,379,13,4,LTE000143,144,143,1,1,2026-08-24T00:00:00.000
144,20260702,15900,231,39,16,25,454,7,2,LTE000144,145,144,1,1,2026-08-24T00:00:00.000
145,20260608,79380,10,484,36,216,146,9,3,LTE000145,146,145,1,1,2026-08-24T00:00:00.000
146,20260705,61080,203,255,136,388,186,2,3,LTE000146,147,146,1,1,2026-08-24T00:00:00.000
147,20260811,40980,67,224,117,391,478,26,2,LTE000147,148,147,1,1,2026-08-24T00:00:00.000
148,20260807,1140,177,62,417,45,158,27,3,LTE000148,149,148,1,1,2026-08-24T00:00:00.000
149,20260820,3360,202,281,258,100,290,6,2,LTE000149,150,149,1,1,2026-08-24T00:00:00.000
150,20260822,30240,266,408,117,330,165,19,2,LTE000150,151,150,1,1,2026-08-24T00:00:00.000
151,20260726,28620,169,160,493,341,257,32,2,LTE000151,152,151,1,1,2026-08-24T00:00:00.000
152,20260723,39480,294,222,269,77,339,24,2,LTE000152,153,152,1,1,2026-08-24T00:00:00.000
153,20260630,61380,-1,-1,-1,-1,-1,1,-1,LTE000153,154,153,1,1,2026-08-24T00:00:00.000
154,20260618,71340,152,377,271,321,269,12,3,LTE000154,155,154,1,1,2026-08-24T00:00:00.000
155,20260812,29220,39,196,162,381,227,26,3,LTE000155,156,155,1,1,2026-08-24T00:00:00.000
156,20260713,71580,96,104,457,169,459,33,3,LTE000156,157,156,1,1,2026-08-24T00:00:00.000
157,20260714,64140,383,141,36,145,473,22,3,LTE000157,158,157,1,1,2026-08-24T00:00:00.000
158,20260630,64860,186,93,180,96,372,8,5,LTE000158,159,158,1,1,2026-08-24T00:00:00.000
159,20260731,42360,166,491,406,376,258,10,1,LTE000159,160,159,1,1,2026-08-24T00:00:00.000
160,20260608,40380,313,91,131,409,143,10,3,LTE000160,161,160,1,1,2026-08-24T00:00:00.000
161,20260823,54540,410,168,343,313,194,26,1,LTE000161,162,161,1,1,2026-08-24T00:00:00.000
162,20260725,76440,234,184,121,102,215,9,3,LTE000162,163,162,1,1,2026-08-24T00:00:00.000
163,20260711,44100,257,82,218,339,81,5,5,LTE000163,164,163,1,1,2026-08-24T00:00:00.000
164,20260607,71940,117,201,2,492,392,5,4,LTE000164,165,164,1,1,2026-08-24T00:00:00.000
165,20260804,54240,167,469,40,310,298,18,5,LTE000165,166,165,1,1,2026-08-24T00:00:00.000
166,20260716,74520,480,76,319,167,227,21,5,LTE000166,167,166,1,1,2026-08-24T00:00:00.000
167,20260611,11220,228,109,96,375,184,34,5,LTE000167,168,167,1,1,2026-08-24T00:00:00.000
168,20260714,60180,420,303,120,175,340,23,3,LTE000168,169,168,1,1,2026-08-24T00:00:00.000
169,20260619,4860,486,100,437,250,15,33,2,LTE000169,170,169,1,1,2026-08-24T00:00:00.000
170,20260608,50220,-1,-1,-1,-1,-1,25,-1,LTE000170,171,170,1,1,2026-08-24T00:00:00.000
171,20260616,67200,344,123,327,341,304,26,5,LTE000171,172,171,1,1,2026-08-24T00:00:00.000
172,20260810,24180,178,340,400,411,157,15,3,LTE000172,173,172,1,1,2026-08-24T00:00:00.000
173,20260606,22560,134,336,204,29,384,25,1,LTE000173,174,173,1,1,2026-08-24T00:00:00.000
174,20260720,29520,314,333,282,193,54,24,3,LTE000174,175,174,1,1,2026-08-24T00:00:00.000
175,20260619,1080,403,97,203,259,232,5,1,LTE000175,176,175,1,1,2026-08-24T00:00:00.000
176,20260621,21600,153,128,420,49,440,17,5,LTE000176,177,176,1,1,2026-08-24T00:00:00.000
177,20260728,79620,149,373,342,71,478,14,4,LTE000177,178,177,1,1,2026-08-24T00:00:00.000
178,20260528,51540,343,477,285,134,23,11,5,LTE000178,179,178,1,1,2026-08-24T00:00:00.000
179,20260617,80280,319,176,493,434,68,7,1,LTE000179,180,179,1,1,2026-08-24T00:00:00.000
180,20260625,82200,366,112,197,365,295,15,1,LTE000180,181,180,1,1,2026-08-24T00:00:00.000
181,20260621,21660,160,177,90,79,298,12,3,LTE000181,182,181,1,1,2026-08-24T00:00:00.000
182,20260610,27360,300,281,227,11,490,26,3,LTE000182,183,182,1,1,2026-08-24T00:00:00.000
183,20260721,81420,131,450,473,139,127,35,5,LTE000183,184,183,1,1,2026-08-24T00:00:00.000
184,20260819,77640,129,51,50,22,20,33,3,LTE000184,185,184,1,1,2026-08-24T00:00:00.000
185,20260710,64200,383,358,302,485,93,20,4,LTE000185,186,185,1,1,2026-08-24T00:00:00.000
186,20260712,46140,313,130,88,149,416,29,3,LTE000186,187,186,1,1,2026-08-24T00:00:00.000
187,20260704,3120,-1,-1,-1,-1,-1,2,-1,LTE000187,188,187,1,1,2026-08-24T00:00:00.000
188,20260712,47640,2,383,362,278,438,14,5,LTE000188,189,188,1,1,2026-08-24T00:00:00.000
189,20260729,56580,126,405,176,371,234,19,1,LTE000189,190,189,1,1,2026-08-24T00:00:00.000
190,20260702,1500,214,83,254,393,158,8,4,LTE000190,191,190,1,1,2026-08-24T00:00:00.000
191,20260721,71820,99,105,41,316,452,3,4,LTE000191,192,191,1,1,2026-08-24T00:00:00.000
192,20260530,77760,60,345,14,38,343,35,1,LTE000192,193,192,1,1,2026-08-24T00:00:00.000
193,20260706,66540,67,295,395,458,234,5,4,LTE000193,194,193,1,1,2026-08-24T00:00:00.000
194,20260605,11160,209,485,383,351,119,11,5,LTE000194,195,194,1,1,2026-08-24T00:00:00.000
195,20260704,34740,87,143,325,215,415,9,5,LTE000195,196,195,1,1,2026-08-24T00:00:00.000
196,20260607,64860,117,305,363,282,267,8,1,LTE000196,197,196,1,1,2026-08-24T00:00:00.000
197,20260707,3900,496,480,94,117,131,16,4,LTE000197,198,197,1,1,2026-08-24T00:00:00.000
198,20260622,840,472,140,355,384,113,8,3,LTE000198,199,198,1,1,2026-08-24T00:00:00.000
199,20260624,60,321,236,89,5,299,13,5,LTE000199,200,199,1,1,2026-08-24T00:00:00.000
200,20260702,45480,165,140,300,214,92,4,2,LTE000200,201,200,1,1,2026-08-24T00:00:00.000
201,20260716,26160,450,441,397,413,121,24,3,LTE000201,202,201,1,1,2026-08-24T00:00:00.000
202,20260725,73800,117,306,401,100,23,5,3,LTE000202,203,202,1,1,2026-08-24T00:00:00.000
203,20260703,7260,334,25,83,424,408,7,3,LTE000203,204,203,1,1,2026-08-24T00:00:00.000
204,20260731,9180,-1,-1,-1,-1,-1,7,-1,LTE000204,205,204,1,1,2026-08-24T00:00:00.000
205,20260622,41160,338,444,129,308,404,18,4,LTE000205,206,205,1,1,2026-08-24T00:00:00.000
206,20260717,19620,295,327,496,313,467,22,1,LTE000206,207,206,1,1,2026-08-24T00:00:00.000
207,20260615,15540,281,428,342,64,9,15,5,LTE000207,208,207,1,1,2026-08-24T00:00:00.000
208,20260822,14820,298,378,301,340,90,24,3,LTE000208,209,208,1,1,2026-08-24T00:00:00.000
209,20260727,35280,275,130,300,172,100,25,2,LTE000209,210,209,1,1,2026-08-24T00:00:00.000
210,20260619,9300,206,23,496,56,383,30,4,LTE000210,211,210,1,1,2026-08-24T00:00:00.000
211,20260610,13680,176,437,498,313,320,17,3,LTE000211,212,211,1,1,2026-08-24T00:00:00.000
212,20260805,960,52,327,237,242,409,35,1,LTE000212,213,212,1,1,2026-08-24T00:00:00.000
213,20260817,81360,474,71,329,354,294,8,3,LTE000213,214,213,1,1,2026-08-24T00:00:00.000
214,20260616,21420,172,196,495,51,305,8,2,LTE000214,215,214,1,1,2026-08-24T00:00:00.000
215,20260810,34560,397,353,303,285,55,5,4,LTE000215,216,215,1,1,2026-08-24T00:00:00.000
216,20260811,35400,226,345,270,12,262,12,2,LTE000216,217,216,1,1,2026-08-24T00:00:00.000
217,20260612,14520,133,297,57,495,154,9,4,LTE000217,218,217,1,1,2026-08-24T00:00:00.000
218,20260715,25680,212,6,348,130,71,4,3,LTE000218,219,218,1,1,2026-08-24T00:00:00.000
219,20260804,76380,488,158,17,424,215,17,3,LTE000219,220,219,1,1,2026-08-24T00:00:00.000
220,20260811,61980,280,149,379,53,462,19,3,LTE000220,221,220,1,1,2026-08-24T00:00:00.000
221,20260814,18060,-1,-1,-1,-1,-1,9,-1,LTE000221,222,221,1,1,2026-08-24T00:00:00.000
222,20260701,45240,372,294,288,13,444,18,2,LTE000222,223,222,1,1,2026-08-24T00:00:00.000
223,20260818,16740,385,436,412,349,294,18,2,LTE000223,224,223,1,1,2026-08-24T00:00:00.000
224,20260812,85440,140,387,466,313,315,20,4,LTE000224,225,224,1,1,2026-08-24T00:00:00.000
225,20260721,35520,390,448,179,338,382,27,3,LTE000225,226,225,1,1,2026-08-24T00:00:00.000
226,20260814,69420,224,278,435,494,387,12,2,LTE000226,227,226,1,1,2026-08-24T00:00:00.000
227,20260725,13980,256,338,35,298,233,31,1,LTE000227,228,227,1,1,2026-08-24T00:00:00.000
228,20260812,68700,16,300,384,6,459,28,2,LTE000228,229,228,1,1,2026-08-24T00:00:00.000
229,20260711,33720,327,50,333,232,406,32,3,LTE000229,230,229,1,1,2026-08-24T00:00:00.000
230,20260625,56400,436,311,127,154,324,17,4,LTE000230,231,230,1,1,2026-08-24T00:00:00.000
231,20260801,24120,361,335,297,81,261,2,1,LTE000231,232,231,1,1,2026-08-24T00:00:00.000
232,20260613,14520,458,92,419,500,267,6,2,LTE000232,233,232,1,1,2026-08-24T00:00:00.000
233,20260605,14460,268,239,23,345,33,28,2,LTE000233,234,233,1,1,2026-08-24T00:00:00.000
234,20260727,75480,281,263,359,397,500,11,4,LTE000234,235,234,1,1,2026-08-24T00:00:00.000
235,20260731,71100,439,185,98,358,293,1,2,LTE000235,236,235,1,1,2026-08-24T00:00:00.000
236,20260528,78780,453,415,85,6,419,14,5,LTE000236,237,236,1,1,2026-08-24T00:00:00.000
237,20260817,22200,6,213,423,49,135,26,4,LTE000237,238,237,1,1,2026-08-24T00:00:00.000
238,20260801,26040,-1,-1,-1,-1,-1,33,-1,LTE000238,239,238,1,1,2026-08-24T00:00:00.000
239,20260611,16920,204,356,51,121,450,24,1,LTE000239,240,239,1,1,2026-08-24T00:00:00.000
240,20260817,61500,253,97,291,267,197,21,2,LTE000240,241,240,1,1,2026-08-24T00:00:00.000
241,20260706,63120,278,36,79,13,2,9,3,LTE000241,242,241,1,1,2026-08-24T00:00:00.000
242,20260626,13440,33,82,406,143,75,28,1,LTE000242,243,242,1,1,2026-08-24T00:00:00.000
243,20260803,76740,136,253,100,91,27,26,3,LTE000243,244,243,1,1,2026-08-24T00:00:00.000
244,20260609,11220,67,396,253,132,239,27,4,LTE000244,245,244,1,1,2026-08-24T00:00:00.000
245,20260818,42300,45,83,382,3,68,11,4,LTE000245,246,245,1,1,2026-08-24T00:00:00.000
246,20260821,83580,222,389,500,434,299,4,2,LTE000246,247,246,1,1,2026-08-24T00:00:00.000
247,20260724,71640,41,246,40,184,350,9,4,LTE000247,248,247,1,1,2026-08-24T00:00:00.000
248,20260613,60840,243,57,14,382,469,10,2,LTE000248,249,248,1,1,2026-08-24T00:00:00.000
249,20260710,6000,135,143,196,127,266,5,2,LTE000249,250,249,1,1,2026-08-24T00:00:00.000
250,20260622,7740,247,135,18,269,441,4,3,LTE000250,251,250,1,1,2026-08-24T00:00:00.000
251,20260703,19920,321,306,280,179,140,32,5,LTE000251,252,251,1,1,2026-08-24T00:00:00.000
252,20260528,24060,335,7,258,412,453,2,2,LTE000252,253,252,1,1,2026-08-24T00:00:00.000
253,20260715,64500,421,451,312,65,380,27,2,LTE000253,254,253,1,1,2026-08-24T00:00:00.000
254,20260804,15120,137,186,431,191,278,24,5,LTE000254,255,254,1,1,2026-08-24T00:00:00.000
255,20260717,83640,-1,-1,-1,-1,-1,24,-1,LTE000255,256,255,1,1,2026-08-24T00:00:00.000
256,20260702,61680,225,437,69,474,105,35,5,LTE000256,257,256,1,1,2026-08-24T00:00:00.000
257,20260726,71700,311,119,415,118,194,25,3,LTE000257,258,257,1,1,2026-08-24T00:00:00.000
258,20260619,35160,339,267,493,432,365,1,3,LTE000258,259,258,1,1,2026-08-24T00:00:00.000
259,20260803,4080,448,500,354,55,69,9,4,LTE000259,260,259,1,1,2026-08-24T00:00:00.000
260,20260725,22200,183,169,327,478,446,12,1,LTE000260,261,260,1,1,2026-08-24T00:00:00.000
