InventoryCycleCountKey,CountDateKey,ApprovalDateKey,PostingDateKey,CountTimeOfDayKey,ProductKey,PlantKey,InventoryBinKey,CounterEmployeeKey,ApproverEmployeeKey,InventoryCountStatusKey,UnitOfMeasureKey,CountSheetNumber,CountSheetLineNumber,SystemQuantity,CountedQuantity,VarianceQuantity,VarianceValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
30,20260804,20260811,20260624,39720,458,69,492,382,447,3,2,ICC000030,31,21.1000,21.1000,21.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260710,20260624,20260820,4680,233,14,79,260,293,8,2,ICC000031,32,21.8000,21.8000,21.8000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260630,20260620,20260804,58740,38,330,289,416,124,1,1,ICC000032,33,22.5000,22.5000,22.5000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260729,20260823,20260604,25020,48,3,238,65,471,3,1,ICC000033,34,23.2000,23.2000,23.2000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260815,20260802,20260812,82080,356,108,124,-1,-1,5,2,ICC000034,35,23.9000,23.9000,23.9000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260815,20260710,20260629,44460,308,347,271,26,393,1,6,ICC000035,36,24.6000,24.6000,24.6000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260728,20260630,20260708,67380,353,164,278,10,169,7,6,ICC000036,37,25.3000,25.3000,25.3000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260528,20260710,20260801,16560,462,67,252,371,439,2,1,ICC000037,38,26.0000,26.0000,26.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260723,20260612,20260807,26460,286,313,473,128,253,1,5,ICC000038,39,26.7000,26.7000,26.7000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260814,20260820,20260628,42060,378,232,206,265,132,4,2,ICC000039,40,27.4000,27.4000,27.4000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260621,20260603,20260821,14340,100,248,281,320,428,5,1,ICC000040,41,28.1000,28.1000,28.1000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260625,20260713,20260819,27300,116,54,91,241,335,5,7,ICC000041,42,28.8000,28.8000,28.8000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260712,20260705,20260803,36060,68,164,116,165,269,2,5,ICC000042,43,29.5000,29.5000,29.5000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260610,20260724,20260628,10980,405,206,358,429,333,7,1,ICC000043,44,30.2000,30.2000,30.2000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260727,20260724,20260823,66360,149,162,53,104,100,4,6,ICC000044,45,30.9000,30.9000,30.9000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260822,20260626,20260703,70800,232,75,406,71,371,5,1,ICC000045,46,31.6000,31.6000,31.6000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260813,20260608,20260618,60720,26,270,499,423,126,3,4,ICC000046,47,32.3000,32.3000,32.3000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260709,20260629,20260531,43020,84,299,73,201,24,4,1,ICC000047,48,33.0000,33.0000,33.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260627,20260703,20260726,64080,450,121,204,252,430,6,3,ICC000048,49,33.7000,33.7000,33.7000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260819,20260818,20260808,17640,172,71,85,215,386,2,7,ICC000049,50,34.4000,34.4000,34.4000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260620,20260527,20260702,2880,433,176,57,124,102,2,5,ICC000050,51,35.1000,35.1000,35.1000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260527,20260613,20260723,12900,120,242,369,-1,-1,3,4,ICC000051,52,35.8000,35.8000,35.8000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260722,20260821,20260612,28320,226,332,410,270,478,4,3,ICC000052,53,36.5000,36.5000,36.5000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260820,20260811,20260817,80700,215,325,293,57,403,6,5,ICC000053,54,37.2000,37.2000,37.2000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260723,20260601,20260626,82260,409,25,307,28,5,4,5,ICC000054,55,37.9000,37.9000,37.9000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260809,20260616,20260620,19740,42,326,370,499,33,6,3,ICC000055,56,38.6000,38.6000,38.6000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260806,20260629,20260702,65940,464,249,356,409,138,3,6,ICC000056,57,39.3000,39.3000,39.3000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260815,20260816,20260702,32520,418,148,73,21,17,4,1,ICC000057,58,40.0000,40.0000,40.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260618,20260807,20260824,18900,147,262,30,52,72,3,5,ICC000058,59,40.7000,40.7000,40.7000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260712,20260629,20260621,64920,332,87,398,457,319,4,3,ICC000059,60,41.4000,41.4000,41.4000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260809,20260801,20260723,16860,157,32,154,188,272,6,1,ICC000060,61,42.1000,42.1000,42.1000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260728,20260701,20260630,5400,399,270,356,116,311,6,2,ICC000061,62,42.8000,42.8000,42.8000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260601,20260820,20260601,10560,115,330,322,96,54,8,7,ICC000062,63,43.5000,43.5000,43.5000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260623,20260815,20260728,17220,99,186,351,387,149,1,2,ICC000063,64,44.2000,44.2000,44.2000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260601,20260622,20260717,24180,445,283,26,4,101,8,6,ICC000064,65,44.9000,44.9000,44.9000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260808,20260719,20260619,58260,442,266,93,74,350,8,5,ICC000065,66,45.6000,45.6000,45.6000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260707,20260820,20260805,40320,240,139,374,145,248,2,3,ICC000066,67,46.3000,46.3000,46.3000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260727,20260629,20260711,83640,435,273,330,392,360,8,1,ICC000067,68,47.0000,47.0000,47.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260808,20260704,20260623,56220,320,36,28,-1,-1,5,6,ICC000068,69,47.7000,47.7000,47.7000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260716,20260725,20260529,41340,419,341,386,27,484,7,2,ICC000069,70,48.4000,48.4000,48.4000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260626,20260801,20260629,10800,455,120,424,64,488,5,5,ICC000070,71,49.1000,49.1000,49.1000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260622,20260605,20260527,83880,58,157,223,118,119,5,2,ICC000071,72,49.8000,49.8000,49.8000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260529,20260606,20260609,4920,490,253,144,32,190,2,7,ICC000072,73,50.5000,50.5000,50.5000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260823,20260616,20260529,84180,394,201,362,85,44,1,5,ICC000073,74,51.2000,51.2000,51.2000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260613,20260727,20260724,83220,387,106,164,76,23,8,7,ICC000074,75,51.9000,51.9000,51.9000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260709,20260720,20260714,59400,336,324,34,99,188,1,4,ICC000075,76,52.6000,52.6000,52.6000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260612,20260622,20260629,82320,420,26,251,263,195,6,6,ICC000076,77,53.3000,53.3000,53.3000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260729,20260727,20260702,72360,401,253,78,227,454,4,7,ICC000077,78,54.0000,54.0000,54.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260713,20260725,20260601,30360,61,235,321,487,66,1,6,ICC000078,79,54.7000,54.7000,54.7000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260611,20260805,20260714,12120,431,195,463,228,29,7,2,ICC000079,80,55.4000,55.4000,55.4000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260625,20260724,20260818,53880,91,8,299,344,373,8,2,ICC000080,81,56.1000,56.1000,56.1000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260620,20260612,20260806,31320,269,149,145,371,143,7,2,ICC000081,82,56.8000,56.8000,56.8000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260708,20260805,20260707,39900,60,41,21,382,173,4,5,ICC000082,83,57.5000,57.5000,57.5000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260821,20260820,20260709,3960,491,184,406,331,456,5,5,ICC000083,84,58.2000,58.2000,58.2000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260806,20260616,20260811,74820,8,195,33,122,247,2,2,ICC000084,85,58.9000,58.9000,58.9000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260817,20260531,20260607,44640,159,151,446,-1,-1,2,6,ICC000085,86,59.6000,59.6000,59.6000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260802,20260604,20260725,17520,473,259,62,377,338,1,6,ICC000086,87,60.3000,60.3000,60.3000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260703,20260626,20260723,60300,157,298,235,140,105,3,4,ICC000087,88,61.0000,61.0000,61.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260810,20260704,20260731,32640,441,93,255,342,10,1,2,ICC000088,89,61.7000,61.7000,61.7000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260626,20260730,20260710,42300,267,350,42,315,487,2,1,ICC000089,90,62.4000,62.4000,62.4000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260815,20260601,20260619,36240,323,271,161,466,383,4,1,ICC000090,91,63.1000,63.1000,63.1000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260810,20260730,20260728,25080,480,321,366,51,285,4,6,ICC000091,92,63.8000,63.8000,63.8000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260630,20260729,20260615,41880,326,31,269,57,163,1,2,ICC000092,93,64.5000,64.5000,64.5000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260807,20260726,20260820,53460,450,281,475,488,97,3,3,ICC000093,94,65.2000,65.2000,65.2000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260623,20260822,20260801,10320,439,61,162,464,310,8,5,ICC000094,95,65.9000,65.9000,65.9000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260718,20260609,20260613,38460,388,208,371,84,496,2,3,ICC000095,96,66.6000,66.6000,66.6000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260804,20260720,20260719,6840,30,218,2,381,468,1,7,ICC000096,97,67.3000,67.3000,67.3000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260730,20260813,20260808,41460,211,211,368,405,387,5,4,ICC000097,98,68.0000,68.0000,68.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260716,20260820,20260712,3960,136,97,364,99,491,2,1,ICC000098,99,68.7000,68.7000,68.7000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260621,20260724,20260804,38400,456,140,478,232,276,2,5,ICC000099,100,69.4000,69.4000,69.4000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260824,20260618,20260801,81420,163,32,468,92,214,4,7,ICC000100,101,70.1000,70.1000,70.1000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260806,20260707,20260703,47100,303,194,390,117,7,3,1,ICC000101,102,70.8000,70.8000,70.8000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260716,20260806,20260729,540,194,300,340,-1,-1,7,3,ICC000102,103,71.5000,71.5000,71.5000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260704,20260730,20260701,82440,476,50,381,233,87,8,6,ICC000103,104,72.2000,72.2000,72.2000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260620,20260624,20260811,80760,128,148,336,474,210,4,3,ICC000104,105,72.9000,72.9000,72.9000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260729,20260808,20260805,39240,130,151,410,191,247,5,3,ICC000105,106,73.6000,73.6000,73.6000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260614,20260709,20260620,21240,60,81,150,355,425,1,6,ICC000106,107,74.3000,74.3000,74.3000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260619,20260530,20260814,72120,284,223,482,480,15,7,2,ICC000107,108,75.0000,75.0000,75.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260728,20260811,20260603,47280,272,288,235,144,64,4,2,ICC000108,109,75.7000,75.7000,75.7000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260601,20260716,20260626,60,492,24,35,313,31,6,2,ICC000109,110,76.4000,76.4000,76.4000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260808,20260602,20260709,80460,456,113,189,248,298,2,2,ICC000110,111,77.1000,77.1000,77.1000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260701,20260809,20260626,84960,97,64,41,332,425,7,7,ICC000111,112,77.8000,77.8000,77.8000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260628,20260806,20260626,7740,113,216,109,71,458,1,3,ICC000112,113,78.5000,78.5000,78.5000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260625,20260621,20260814,44100,73,88,281,22,434,8,4,ICC000113,114,79.2000,79.2000,79.2000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260710,20260620,20260801,38520,351,50,412,64,183,2,3,ICC000114,115,79.9000,79.9000,79.9000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260723,20260625,20260712,81180,461,146,94,379,18,2,3,ICC000115,116,80.6000,80.6000,80.6000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260622,20260606,20260618,13800,461,186,120,88,215,1,6,ICC000116,117,81.3000,81.3000,81.3000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260528,20260602,20260820,74580,31,112,85,330,373,5,4,ICC000117,118,82.0000,82.0000,82.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260716,20260820,20260702,75420,18,302,440,140,75,6,6,ICC000118,119,82.7000,82.7000,82.7000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260723,20260807,20260711,15060,455,199,135,-1,-1,4,4,ICC000119,120,83.4000,83.4000,83.4000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260728,20260604,20260713,36780,289,62,459,99,89,1,7,ICC000120,121,84.1000,84.1000,84.1000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260608,20260819,20260624,35940,204,344,290,223,332,1,2,ICC000121,122,84.8000,84.8000,84.8000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260604,20260812,20260614,49080,255,304,97,58,358,1,3,ICC000122,123,85.5000,85.5000,85.5000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260624,20260810,20260612,42600,19,150,434,47,182,7,6,ICC000123,124,86.2000,86.2000,86.2000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260624,20260822,20260612,53040,376,126,177,71,299,1,6,ICC000124,125,86.9000,86.9000,86.9000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260729,20260721,20260712,2100,465,1,228,442,490,7,4,ICC000125,126,87.6000,87.6000,87.6000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260630,20260623,20260605,56700,269,85,259,316,463,1,7,ICC000126,127,88.3000,88.3000,88.3000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260619,20260610,20260715,77040,55,274,93,372,131,6,7,ICC000127,128,89.0000,89.0000,89.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260814,20260711,20260822,10200,429,145,269,17,221,7,7,ICC000128,129,89.7000,89.7000,89.7000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260705,20260730,20260804,32460,314,48,91,119,261,2,6,ICC000129,130,90.4000,90.4000,90.4000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260722,20260614,20260705,31440,376,165,281,167,478,8,2,ICC000130,131,91.1000,91.1000,91.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260614,20260605,20260702,75720,122,88,31,325,201,2,7,ICC000131,132,91.8000,91.8000,91.8000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260723,20260804,20260708,80640,149,346,37,307,104,6,1,ICC000132,133,92.5000,92.5000,92.5000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260701,20260727,20260718,84180,367,316,126,228,183,8,4,ICC000133,134,93.2000,93.2000,93.2000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260611,20260611,20260608,80340,270,281,223,277,437,2,6,ICC000134,135,93.9000,93.9000,93.9000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260531,20260601,20260701,34320,32,150,495,296,281,2,4,ICC000135,136,94.6000,94.6000,94.6000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260708,20260620,20260809,60600,151,195,302,-1,-1,7,7,ICC000136,137,95.3000,95.3000,95.3000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260815,20260712,20260604,60540,129,287,8,243,167,8,3,ICC000137,138,96.0000,96.0000,96.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260715,20260616,20260628,9960,271,61,86,125,227,7,7,ICC000138,139,96.7000,96.7000,96.7000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260713,20260616,20260601,28680,51,136,392,61,166,7,3,ICC000139,140,97.4000,97.4000,97.4000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260527,20260716,20260530,15780,74,136,88,360,330,8,5,ICC000140,141,98.1000,98.1000,98.1000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260820,20260721,20260815,63540,159,192,356,9,34,7,7,ICC000141,142,98.8000,98.8000,98.8000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260716,20260605,20260814,44580,473,132,279,336,96,3,1,ICC000142,143,99.5000,99.5000,99.5000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260705,20260723,20260822,50100,314,42,91,26,144,1,3,ICC000143,144,100.2000,100.2000,100.2000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260703,20260717,20260807,21960,188,303,411,52,214,8,5,ICC000144,145,100.9000,100.9000,100.9000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260819,20260615,20260819,56580,441,257,91,65,324,5,1,ICC000145,146,101.6000,101.6000,101.6000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260709,20260612,20260728,34680,76,319,220,280,154,1,1,ICC000146,147,102.3000,102.3000,102.3000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260622,20260603,20260604,48300,300,257,494,104,166,5,3,ICC000147,148,103.0000,103.0000,103.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260730,20260528,20260713,38460,386,242,304,242,319,7,3,ICC000148,149,103.7000,103.7000,103.7000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260712,20260605,20260817,66480,459,113,241,110,218,3,4,ICC000149,150,104.4000,104.4000,104.4000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260613,20260618,20260719,54660,32,342,237,100,395,3,5,ICC000150,151,105.1000,105.1000,105.1000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260821,20260821,20260717,8520,85,286,3,17,454,2,6,ICC000151,152,105.8000,105.8000,105.8000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260718,20260604,20260801,82020,123,235,316,86,475,8,3,ICC000152,153,106.5000,106.5000,106.5000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260807,20260608,20260609,33600,487,225,42,-1,-1,7,5,ICC000153,154,107.2000,107.2000,107.2000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260607,20260810,20260820,47100,338,225,112,259,354,1,3,ICC000154,155,107.9000,107.9000,107.9000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260719,20260622,20260708,86100,38,338,386,473,188,3,7,ICC000155,156,108.6000,108.6000,108.6000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260708,20260713,20260610,57240,78,240,259,89,437,5,4,ICC000156,157,109.3000,109.3000,109.3000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260618,20260630,20260527,32100,307,51,305,84,484,2,1,ICC000157,158,110.0000,110.0000,110.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260724,20260618,20260711,58080,204,260,432,146,129,2,5,ICC000158,159,110.7000,110.7000,110.7000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260710,20260723,20260816,12420,227,97,177,109,163,1,5,ICC000159,160,111.4000,111.4000,111.4000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260725,20260809,20260823,1320,220,186,247,166,160,7,7,ICC000160,161,112.1000,112.1000,112.1000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260730,20260715,20260612,73200,294,222,275,135,226,2,5,ICC000161,162,112.8000,112.8000,112.8000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260725,20260610,20260616,51360,327,219,439,481,74,8,5,ICC000162,163,113.5000,113.5000,113.5000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260605,20260722,20260528,1920,275,86,382,336,288,6,5,ICC000163,164,114.2000,114.2000,114.2000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260613,20260530,20260528,1440,164,4,227,397,397,2,6,ICC000164,165,114.9000,114.9000,114.9000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260708,20260602,20260823,6180,125,103,479,198,36,3,1,ICC000165,166,115.6000,115.6000,115.6000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260818,20260717,20260618,81420,1,16,356,478,377,2,1,ICC000166,167,116.3000,116.3000,116.3000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260620,20260613,20260716,44640,102,243,272,205,234,5,5,ICC000167,168,117.0000,117.0000,117.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260614,20260814,20260806,71400,328,156,19,236,144,8,3,ICC000168,169,117.7000,117.7000,117.7000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260702,20260703,20260706,59160,101,179,54,436,20,7,7,ICC000169,170,118.4000,118.4000,118.4000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260720,20260725,20260821,18060,260,1,290,-1,-1,8,3,ICC000170,171,119.1000,119.1000,119.1000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260731,20260702,20260704,15060,434,99,415,240,38,4,6,ICC000171,172,119.8000,119.8000,119.8000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260701,20260625,20260624,43560,392,108,124,314,461,8,2,ICC000172,173,120.5000,120.5000,120.5000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260605,20260612,20260720,84420,372,330,372,473,411,8,5,ICC000173,174,121.2000,121.2000,121.2000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260801,20260711,20260706,62940,404,263,495,344,159,6,3,ICC000174,175,121.9000,121.9000,121.9000,248.3800,1,1,2026-08-24T00:00:00.000
