SalesCreditExposureSnapshotKey,SnapshotDateKey,CustomerKey,BusinessUnitKey,SalesCustomerCreditProfileKey,SalesCreditStatusKey,CurrencyKey,CreditLimitAmount,OpenOrderAmount,ReceivableAmount,AvailableCreditAmount,SourceSystemKey,BatchId,LoadedAtUtc
28,20260717,229,107,68,5,1,48.3600,48.3600,48.3600,48.3600,1,1,2026-08-24T00:00:00.000
29,20260528,459,216,82,3,4,49.7300,49.7300,49.7300,49.7300,1,1,2026-08-24T00:00:00.000
30,20260609,172,238,478,6,2,51.1000,51.1000,51.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260612,413,465,85,4,4,52.4700,52.4700,52.4700,52.4700,1,1,2026-08-24T00:00:00.000
32,20260529,447,1,166,2,2,53.8400,53.8400,53.8400,53.8400,1,1,2026-08-24T00:00:00.000
33,20260725,475,5,41,1,1,55.2100,55.2100,55.2100,55.2100,1,1,2026-08-24T00:00:00.000
34,20260602,229,-1,250,2,4,56.5800,56.5800,56.5800,56.5800,1,1,2026-08-24T00:00:00.000
35,20260812,368,439,23,4,1,57.9500,57.9500,57.9500,57.9500,1,1,2026-08-24T00:00:00.000
36,20260706,336,94,58,4,5,59.3200,59.3200,59.3200,59.3200,1,1,2026-08-24T00:00:00.000
37,20260708,239,414,425,4,3,60.6900,60.6900,60.6900,60.6900,1,1,2026-08-24T00:00:00.000
38,20260803,459,302,456,4,4,62.0600,62.0600,62.0600,62.0600,1,1,2026-08-24T00:00:00.000
39,20260815,342,163,29,6,1,63.4300,63.4300,63.4300,63.4300,1,1,2026-08-24T00:00:00.000
40,20260823,200,336,378,5,4,64.8000,64.8000,64.8000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260622,216,386,469,3,1,66.1700,66.1700,66.1700,66.1700,1,1,2026-08-24T00:00:00.000
42,20260623,181,99,269,6,2,67.5400,67.5400,67.5400,67.5400,1,1,2026-08-24T00:00:00.000
43,20260729,333,272,69,5,5,68.9100,68.9100,68.9100,68.9100,1,1,2026-08-24T00:00:00.000
44,20260722,334,185,117,2,4,70.2800,70.2800,70.2800,70.2800,1,1,2026-08-24T00:00:00.000
45,20260630,453,130,134,4,3,71.6500,71.6500,71.6500,71.6500,1,1,2026-08-24T00:00:00.000
46,20260815,398,476,15,8,2,73.0200,73.0200,73.0200,73.0200,1,1,2026-08-24T00:00:00.000
47,20260715,280,281,271,1,2,74.3900,74.3900,74.3900,74.3900,1,1,2026-08-24T00:00:00.000
48,20260620,296,262,449,5,5,75.7600,75.7600,75.7600,75.7600,1,1,2026-08-24T00:00:00.000
49,20260824,159,244,390,8,2,77.1300,77.1300,77.1300,77.1300,1,1,2026-08-24T00:00:00.000
50,20260810,306,186,191,5,1,78.5000,78.5000,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260625,426,-1,287,7,5,79.8700,79.8700,79.8700,79.8700,1,1,2026-08-24T00:00:00.000
52,20260726,140,207,168,8,1,81.2400,81.2400,81.2400,81.2400,1,1,2026-08-24T00:00:00.000
53,20260603,309,378,166,3,1,82.6100,82.6100,82.6100,82.6100,1,1,2026-08-24T00:00:00.000
54,20260527,164,316,297,5,3,83.9800,83.9800,83.9800,83.9800,1,1,2026-08-24T00:00:00.000
55,20260615,91,406,403,7,2,85.3500,85.3500,85.3500,85.3500,1,1,2026-08-24T00:00:00.000
56,20260818,307,220,496,3,1,86.7200,86.7200,86.7200,86.7200,1,1,2026-08-24T00:00:00.000
57,20260607,374,482,437,7,2,88.0900,88.0900,88.0900,88.0900,1,1,2026-08-24T00:00:00.000
58,20260810,471,417,158,7,2,89.4600,89.4600,89.4600,89.4600,1,1,2026-08-24T00:00:00.000
59,20260816,132,223,235,7,5,90.8300,90.8300,90.8300,90.8300,1,1,2026-08-24T00:00:00.000
60,20260823,4,6,158,7,5,92.2000,92.2000,92.2000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260731,423,167,14,8,2,93.5700,93.5700,93.5700,93.5700,1,1,2026-08-24T00:00:00.000
62,20260716,209,57,466,7,4,94.9400,94.9400,94.9400,94.9400,1,1,2026-08-24T00:00:00.000
63,20260614,233,210,100,1,2,96.3100,96.3100,96.3100,96.3100,1,1,2026-08-24T00:00:00.000
64,20260718,368,38,463,7,1,97.6800,97.6800,97.6800,97.6800,1,1,2026-08-24T00:00:00.000
65,20260808,320,174,187,2,2,99.0500,99.0500,99.0500,99.0500,1,1,2026-08-24T00:00:00.000
66,20260818,239,28,4,4,1,100.4200,100.4200,100.4200,100.4200,1,1,2026-08-24T00:00:00.000
67,20260713,95,174,268,3,3,101.7900,101.7900,101.7900,101.7900,1,1,2026-08-24T00:00:00.000
68,20260714,220,-1,166,7,5,103.1600,103.1600,103.1600,103.1600,1,1,2026-08-24T00:00:00.000
69,20260818,76,225,134,1,3,104.5300,104.5300,104.5300,104.5300,1,1,2026-08-24T00:00:00.000
70,20260818,323,179,494,3,2,105.9000,105.9000,105.9000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260603,289,305,251,2,2,107.2700,107.2700,107.2700,107.2700,1,1,2026-08-24T00:00:00.000
72,20260719,183,394,171,4,2,108.6400,108.6400,108.6400,108.6400,1,1,2026-08-24T00:00:00.000
73,20260615,197,30,12,6,2,110.0100,110.0100,110.0100,110.0100,1,1,2026-08-24T00:00:00.000
74,20260713,377,32,337,5,4,111.3800,111.3800,111.3800,111.3800,1,1,2026-08-24T00:00:00.000
75,20260731,26,86,98,1,3,112.7500,112.7500,112.7500,112.7500,1,1,2026-08-24T00:00:00.000
76,20260622,300,212,96,7,2,114.1200,114.1200,114.1200,114.1200,1,1,2026-08-24T00:00:00.000
77,20260608,19,362,302,8,5,115.4900,115.4900,115.4900,115.4900,1,1,2026-08-24T00:00:00.000
78,20260704,357,463,22,6,3,116.8600,116.8600,116.8600,116.8600,1,1,2026-08-24T00:00:00.000
79,20260805,61,418,269,8,4,118.2300,118.2300,118.2300,118.2300,1,1,2026-08-24T00:00:00.000
80,20260616,323,256,386,4,3,119.6000,119.6000,119.6000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260606,159,107,464,2,5,120.9700,120.9700,120.9700,120.9700,1,1,2026-08-24T00:00:00.000
82,20260721,419,452,229,1,5,122.3400,122.3400,122.3400,122.3400,1,1,2026-08-24T00:00:00.000
83,20260723,170,186,109,3,3,123.7100,123.7100,123.7100,123.7100,1,1,2026-08-24T00:00:00.000
84,20260617,4,383,489,6,2,125.0800,125.0800,125.0800,125.0800,1,1,2026-08-24T00:00:00.000
85,20260610,192,-1,470,6,1,126.4500,126.4500,126.4500,126.4500,1,1,2026-08-24T00:00:00.000
86,20260609,245,254,11,6,4,127.8200,127.8200,127.8200,127.8200,1,1,2026-08-24T00:00:00.000
87,20260803,115,409,427,8,5,129.1900,129.1900,129.1900,129.1900,1,1,2026-08-24T00:00:00.000
88,20260607,137,475,280,8,2,130.5600,130.5600,130.5600,130.5600,1,1,2026-08-24T00:00:00.000
89,20260701,227,196,240,1,5,131.9300,131.9300,131.9300,131.9300,1,1,2026-08-24T00:00:00.000
90,20260609,164,13,297,2,2,133.3000,133.3000,133.3000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260703,107,23,161,8,1,134.6700,134.6700,134.6700,134.6700,1,1,2026-08-24T00:00:00.000
92,20260623,180,86,53,3,4,136.0400,136.0400,136.0400,136.0400,1,1,2026-08-24T00:00:00.000
93,20260710,439,278,75,1,2,137.4100,137.4100,137.4100,137.4100,1,1,2026-08-24T00:00:00.000
94,20260712,66,476,400,6,3,138.7800,138.7800,138.7800,138.7800,1,1,2026-08-24T00:00:00.000
95,20260531,311,446,80,3,3,140.1500,140.1500,140.1500,140.1500,1,1,2026-08-24T00:00:00.000
96,20260714,369,370,182,3,1,141.5200,141.5200,141.5200,141.5200,1,1,2026-08-24T00:00:00.000
97,20260813,209,400,317,7,3,142.8900,142.8900,142.8900,142.8900,1,1,2026-08-24T00:00:00.000
98,20260622,169,334,463,2,5,144.2600,144.2600,144.2600,144.2600,1,1,2026-08-24T00:00:00.000
99,20260824,87,170,334,3,4,145.6300,145.6300,145.6300,145.6300,1,1,2026-08-24T00:00:00.000
100,20260713,124,132,337,6,1,147.0000,147.0000,147.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260627,174,306,370,1,4,148.3700,148.3700,148.3700,148.3700,1,1,2026-08-24T00:00:00.000
102,20260610,323,-1,209,7,4,149.7400,149.7400,149.7400,149.7400,1,1,2026-08-24T00:00:00.000
103,20260608,338,327,112,3,1,151.1100,151.1100,151.1100,151.1100,1,1,2026-08-24T00:00:00.000
104,20260630,36,108,461,6,3,152.4800,152.4800,152.4800,152.4800,1,1,2026-08-24T00:00:00.000
105,20260708,465,424,37,3,1,153.8500,153.8500,153.8500,153.8500,1,1,2026-08-24T00:00:00.000
106,20260811,23,70,98,8,4,155.2200,155.2200,155.2200,155.2200,1,1,2026-08-24T00:00:00.000
107,20260528,119,27,500,8,2,156.5900,156.5900,156.5900,156.5900,1,1,2026-08-24T00:00:00.000
108,20260618,432,399,61,7,4,157.9600,157.9600,157.9600,157.9600,1,1,2026-08-24T00:00:00.000
109,20260823,256,409,143,4,2,159.3300,159.3300,159.3300,159.3300,1,1,2026-08-24T00:00:00.000
110,20260711,394,406,89,3,5,160.7000,160.7000,160.7000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260704,476,243,423,6,1,162.0700,162.0700,162.0700,162.0700,1,1,2026-08-24T00:00:00.000
112,20260529,21,451,155,8,4,163.4400,163.4400,163.4400,163.4400,1,1,2026-08-24T00:00:00.000
113,20260605,457,343,256,2,5,164.8100,164.8100,164.8100,164.8100,1,1,2026-08-24T00:00:00.000
114,20260818,108,319,265,6,5,166.1800,166.1800,166.1800,166.1800,1,1,2026-08-24T00:00:00.000
115,20260814,490,395,172,6,2,167.5500,167.5500,167.5500,167.5500,1,1,2026-08-24T00:00:00.000
116,20260608,26,160,333,2,3,168.9200,168.9200,168.9200,168.9200,1,1,2026-08-24T00:00:00.000
117,20260810,421,498,245,4,4,170.2900,170.2900,170.2900,170.2900,1,1,2026-08-24T00:00:00.000
118,20260722,214,167,429,3,4,171.6600,171.6600,171.6600,171.6600,1,1,2026-08-24T00:00:00.000
119,20260716,384,-1,242,6,5,173.0300,173.0300,173.0300,173.0300,1,1,2026-08-24T00:00:00.000
120,20260617,194,309,197,8,1,174.4000,174.4000,174.4000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260723,84,158,178,6,4,175.7700,175.7700,175.7700,175.7700,1,1,2026-08-24T00:00:00.000
122,20260602,452,449,242,2,4,177.1400,177.1400,177.1400,177.1400,1,1,2026-08-24T00:00:00.000
123,20260707,271,72,29,6,2,178.5100,178.5100,178.5100,178.5100,1,1,2026-08-24T00:00:00.000
124,20260718,372,160,473,8,5,179.8800,179.8800,179.8800,179.8800,1,1,2026-08-24T00:00:00.000
125,20260621,327,336,191,3,4,181.2500,181.2500,181.2500,181.2500,1,1,2026-08-24T00:00:00.000
126,20260626,54,429,221,6,3,182.6200,182.6200,182.6200,182.6200,1,1,2026-08-24T00:00:00.000
127,20260730,124,435,347,4,1,183.9900,183.9900,183.9900,183.9900,1,1,2026-08-24T00:00:00.000
128,20260816,170,177,45,4,5,185.3600,185.3600,185.3600,185.3600,1,1,2026-08-24T00:00:00.000
129,20260806,191,138,160,4,3,186.7300,186.7300,186.7300,186.7300,1,1,2026-08-24T00:00:00.000
130,20260527,481,90,369,7,3,188.1000,188.1000,188.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260822,372,475,182,5,2,189.4700,189.4700,189.4700,189.4700,1,1,2026-08-24T00:00:00.000
132,20260629,36,252,15,8,1,190.8400,190.8400,190.8400,190.8400,1,1,2026-08-24T00:00:00.000
133,20260723,90,61,58,4,1,192.2100,192.2100,192.2100,192.2100,1,1,2026-08-24T00:00:00.000
134,20260810,337,212,32,3,2,193.5800,193.5800,193.5800,193.5800,1,1,2026-08-24T00:00:00.000
135,20260604,315,312,288,4,4,194.9500,194.9500,194.9500,194.9500,1,1,2026-08-24T00:00:00.000
136,20260714,71,-1,55,1,4,196.3200,196.3200,196.3200,196.3200,1,1,2026-08-24T00:00:00.000
137,20260712,430,132,231,2,3,197.6900,197.6900,197.6900,197.6900,1,1,2026-08-24T00:00:00.000
138,20260716,247,98,256,3,4,199.0600,199.0600,199.0600,199.0600,1,1,2026-08-24T00:00:00.000
139,20260702,161,398,81,7,1,200.4300,200.4300,200.4300,200.4300,1,1,2026-08-24T00:00:00.000
140,20260623,459,179,243,7,1,201.8000,201.8000,201.8000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260710,431,198,500,5,4,203.1700,203.1700,203.1700,203.1700,1,1,2026-08-24T00:00:00.000
142,20260626,257,324,466,1,3,204.5400,204.5400,204.5400,204.5400,1,1,2026-08-24T00:00:00.000
143,20260530,343,226,472,2,5,205.9100,205.9100,205.9100,205.9100,1,1,2026-08-24T00:00:00.000
144,20260721,295,50,147,8,3,207.2800,207.2800,207.2800,207.2800,1,1,2026-08-24T00:00:00.000
145,20260603,232,168,215,3,5,208.6500,208.6500,208.6500,208.6500,1,1,2026-08-24T00:00:00.000
146,20260618,245,81,344,1,4,210.0200,210.0200,210.0200,210.0200,1,1,2026-08-24T00:00:00.000
147,20260616,374,7,299,2,3,211.3900,211.3900,211.3900,211.3900,1,1,2026-08-24T00:00:00.000
148,20260703,298,437,150,1,1,212.7600,212.7600,212.7600,212.7600,1,1,2026-08-24T00:00:00.000
149,20260702,118,453,282,6,3,214.1300,214.1300,214.1300,214.1300,1,1,2026-08-24T00:00:00.000
150,20260808,101,306,138,2,2,215.5000,215.5000,215.5000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260717,462,323,223,1,2,216.8700,216.8700,216.8700,216.8700,1,1,2026-08-24T00:00:00.000
152,20260619,358,367,149,4,4,218.2400,218.2400,218.2400,218.2400,1,1,2026-08-24T00:00:00.000
153,20260817,378,-1,221,8,3,219.6100,219.6100,219.6100,219.6100,1,1,2026-08-24T00:00:00.000
154,20260702,148,469,226,7,5,220.9800,220.9800,220.9800,220.9800,1,1,2026-08-24T00:00:00.000
155,20260624,226,103,397,1,2,222.3500,222.3500,222.3500,222.3500,1,1,2026-08-24T00:00:00.000
156,20260601,299,331,409,2,4,223.7200,223.7200,223.7200,223.7200,1,1,2026-08-24T00:00:00.000
157,20260718,311,409,286,7,1,225.0900,225.0900,225.0900,225.0900,1,1,2026-08-24T00:00:00.000
158,20260725,475,336,294,5,1,226.4600,226.4600,226.4600,226.4600,1,1,2026-08-24T00:00:00.000
159,20260627,347,37,96,3,1,227.8300,227.8300,227.8300,227.8300,1,1,2026-08-24T00:00:00.000
160,20260608,266,194,50,3,2,229.2000,229.2000,229.2000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260731,111,58,340,6,1,230.5700,230.5700,230.5700,230.5700,1,1,2026-08-24T00:00:00.000
162,20260703,475,248,244,2,2,231.9400,231.9400,231.9400,231.9400,1,1,2026-08-24T00:00:00.000
163,20260527,132,260,340,4,5,233.3100,233.3100,233.3100,233.3100,1,1,2026-08-24T00:00:00.000
164,20260622,174,304,399,4,2,234.6800,234.6800,234.6800,234.6800,1,1,2026-08-24T00:00:00.000
165,20260625,71,286,295,3,2,236.0500,236.0500,236.0500,236.0500,1,1,2026-08-24T00:00:00.000
166,20260721,290,444,422,4,2,237.4200,237.4200,237.4200,237.4200,1,1,2026-08-24T00:00:00.000
167,20260808,277,412,211,5,2,238.7900,238.7900,238.7900,238.7900,1,1,2026-08-24T00:00:00.000
168,20260718,82,389,378,6,5,240.1600,240.1600,240.1600,240.1600,1,1,2026-08-24T00:00:00.000
169,20260724,443,331,94,7,3,241.5300,241.5300,241.5300,241.5300,1,1,2026-08-24T00:00:00.000
170,20260715,74,-1,437,7,2,242.9000,242.9000,242.9000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260626,371,278,279,1,5,244.2700,244.2700,244.2700,244.2700,1,1,2026-08-24T00:00:00.000
172,20260609,47,187,311,6,5,245.6400,245.6400,245.6400,245.6400,1,1,2026-08-24T00:00:00.000
173,20260712,36,289,27,3,1,247.0100,247.0100,247.0100,247.0100,1,1,2026-08-24T00:00:00.000
174,20260619,265,434,249,3,2,248.3800,248.3800,248.3800,248.3800,1,1,2026-08-24T00:00:00.000
175,20260706,281,370,297,3,2,249.7500,249.7500,249.7500,249.7500,1,1,2026-08-24T00:00:00.000
176,20260802,13,83,403,8,5,251.1200,251.1200,251.1200,251.1200,1,1,2026-08-24T00:00:00.000
177,20260531,418,158,432,1,4,252.4900,252.4900,252.4900,252.4900,1,1,2026-08-24T00:00:00.000
178,20260822,489,33,259,7,4,253.8600,253.8600,253.8600,253.8600,1,1,2026-08-24T00:00:00.000
179,20260822,293,399,460,1,1,255.2300,255.2300,255.2300,255.2300,1,1,2026-08-24T00:00:00.000
180,20260731,451,301,495,8,1,256.6000,256.6000,256.6000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260724,435,353,21,2,5,257.9700,257.9700,257.9700,257.9700,1,1,2026-08-24T00:00:00.000
182,20260630,445,416,375,6,2,259.3400,259.3400,259.3400,259.3400,1,1,2026-08-24T00:00:00.000
183,20260804,323,404,141,3,5,260.7100,260.7100,260.7100,260.7100,1,1,2026-08-24T00:00:00.000
184,20260820,241,211,16,7,3,262.0800,262.0800,262.0800,262.0800,1,1,2026-08-24T00:00:00.000
185,20260725,298,189,59,4,1,263.4500,263.4500,263.4500,263.4500,1,1,2026-08-24T00:00:00.000
186,20260728,128,124,469,1,2,264.8200,264.8200,264.8200,264.8200,1,1,2026-08-24T00:00:00.000
187,20260527,241,-1,281,3,2,266.1900,266.1900,266.1900,266.1900,1,1,2026-08-24T00:00:00.000
188,20260804,35,428,407,1,5,267.5600,267.5600,267.5600,267.5600,1,1,2026-08-24T00:00:00.000
189,20260619,456,88,186,4,1,268.9300,268.9300,268.9300,268.9300,1,1,2026-08-24T00:00:00.000
190,20260817,230,1,307,5,3,270.3000,270.3000,270.3000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260810,113,296,191,2,3,271.6700,271.6700,271.6700,271.6700,1,1,2026-08-24T00:00:00.000
192,20260608,488,34,19,5,2,273.0400,273.0400,273.0400,273.0400,1,1,2026-08-24T00:00:00.000
193,20260626,489,21,426,1,4,274.4100,274.4100,274.4100,274.4100,1,1,2026-08-24T00:00:00.000
194,20260630,329,429,30,3,5,275.7800,275.7800,275.7800,275.7800,1,1,2026-08-24T00:00:00.000
195,20260626,246,441,352,4,3,277.1500,277.1500,277.1500,277.1500,1,1,2026-08-24T00:00:00.000
196,20260614,211,286,264,4,3,278.5200,278.5200,278.5200,278.5200,1,1,2026-08-24T00:00:00.000
197,20260608,84,133,295,1,3,279.8900,279.8900,279.8900,279.8900,1,1,2026-08-24T00:00:00.000
198,20260627,307,90,280,7,1,281.2600,281.2600,281.2600,281.2600,1,1,2026-08-24T00:00:00.000
199,20260610,46,165,330,7,2,282.6300,282.6300,282.6300,282.6300,1,1,2026-08-24T00:00:00.000
200,20260531,54,372,397,5,4,284.0000,284.0000,284.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260819,21,153,334,4,2,285.3700,285.3700,285.3700,285.3700,1,1,2026-08-24T00:00:00.000
202,20260623,494,167,352,3,4,286.7400,286.7400,286.7400,286.7400,1,1,2026-08-24T00:00:00.000
203,20260609,238,492,32,8,3,288.1100,288.1100,288.1100,288.1100,1,1,2026-08-24T00:00:00.000
204,20260729,339,-1,306,8,3,289.4800,289.4800,289.4800,289.4800,1,1,2026-08-24T00:00:00.000
205,20260627,491,8,191,1,2,290.8500,290.8500,290.8500,290.8500,1,1,2026-08-24T00:00:00.000
206,20260619,238,77,467,7,2,292.2200,292.2200,292.2200,292.2200,1,1,2026-08-24T00:00:00.000
207,20260809,116,498,435,4,2,293.5900,293.5900,293.5900,293.5900,1,1,2026-08-24T00:00:00.000
208,20260719,144,414,23,5,1,294.9600,294.9600,294.9600,294.9600,1,1,2026-08-24T00:00:00.000
209,20260823,57,117,354,8,1,296.3300,296.3300,296.3300,296.3300,1,1,2026-08-24T00:00:00.000
210,20260806,36,233,26,6,1,297.7000,297.7000,297.7000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260809,279,341,421,7,1,299.0700,299.0700,299.0700,299.0700,1,1,2026-08-24T00:00:00.000
212,20260705,372,161,342,2,4,300.4400,300.4400,300.4400,300.4400,1,1,2026-08-24T00:00:00.000
213,20260529,243,157,59,6,1,301.8100,301.8100,301.8100,301.8100,1,1,2026-08-24T00:00:00.000
214,20260817,133,390,9,1,3,303.1800,303.1800,303.1800,303.1800,1,1,2026-08-24T00:00:00.000
215,20260716,455,130,451,2,3,304.5500,304.5500,304.5500,304.5500,1,1,2026-08-24T00:00:00.000
216,20260619,71,410,388,2,5,305.9200,305.9200,305.9200,305.9200,1,1,2026-08-24T00:00:00.000
217,20260527,395,58,51,3,1,307.2900,307.2900,307.2900,307.2900,1,1,2026-08-24T00:00:00.000
218,20260818,494,177,440,1,4,308.6600,308.6600,308.6600,308.6600,1,1,2026-08-24T00:00:00.000
219,20260623,486,378,448,3,2,310.0300,310.0300,310.0300,310.0300,1,1,2026-08-24T00:00:00.000
220,20260701,336,36,291,4,1,311.4000,311.4000,311.4000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260627,274,-1,20,5,1,312.7700,312.7700,312.7700,312.7700,1,1,2026-08-24T00:00:00.000
222,20260801,303,301,387,2,5,314.1400,314.1400,314.1400,314.1400,1,1,2026-08-24T00:00:00.000
223,20260801,422,382,222,2,3,315.5100,315.5100,315.5100,315.5100,1,1,2026-08-24T00:00:00.000
224,20260528,266,48,430,2,3,316.8800,316.8800,316.8800,316.8800,1,1,2026-08-24T00:00:00.000
225,20260810,43,139,228,3,5,318.2500,318.2500,318.2500,318.2500,1,1,2026-08-24T00:00:00.000
226,20260719,268,89,219,8,2,319.6200,319.6200,319.6200,319.6200,1,1,2026-08-24T00:00:00.000
227,20260821,334,141,348,3,2,320.9900,320.9900,320.9900,320.9900,1,1,2026-08-24T00:00:00.000
228,20260722,270,177,316,3,3,322.3600,322.3600,322.3600,322.3600,1,1,2026-08-24T00:00:00.000
229,20260604,466,100,4,2,5,323.7300,323.7300,323.7300,323.7300,1,1,2026-08-24T00:00:00.000
230,20260801,293,473,351,7,3,325.1000,325.1000,325.1000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260809,241,446,8,2,3,326.4700,326.4700,326.4700,326.4700,1,1,2026-08-24T00:00:00.000
232,20260724,285,415,497,3,2,327.8400,327.8400,327.8400,327.8400,1,1,2026-08-24T00:00:00.000
233,20260605,263,421,465,4,2,329.2100,329.2100,329.2100,329.2100,1,1,2026-08-24T00:00:00.000
234,20260529,130,273,253,7,5,330.5800,330.5800,330.5800,330.5800,1,1,2026-08-24T00:00:00.000
235,20260811,389,372,74,5,3,331.9500,331.9500,331.9500,331.9500,1,1,2026-08-24T00:00:00.000
236,20260809,487,154,221,2,4,333.3200,333.3200,333.3200,333.3200,1,1,2026-08-24T00:00:00.000
237,20260630,220,308,35,6,3,334.6900,334.6900,334.6900,334.6900,1,1,2026-08-24T00:00:00.000
238,20260723,181,-1,243,8,1,336.0600,336.0600,336.0600,336.0600,1,1,2026-08-24T00:00:00.000
239,20260811,63,130,12,2,1,337.4300,337.4300,337.4300,337.4300,1,1,2026-08-24T00:00:00.000
240,20260820,273,266,267,8,1,338.8000,338.8000,338.8000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260604,394,396,383,3,2,340.1700,340.1700,340.1700,340.1700,1,1,2026-08-24T00:00:00.000
242,20260714,199,372,197,1,4,341.5400,341.5400,341.5400,341.5400,1,1,2026-08-24T00:00:00.000
243,20260821,450,165,23,7,2,342.9100,342.9100,342.9100,342.9100,1,1,2026-08-24T00:00:00.000
244,20260707,332,71,205,5,3,344.2800,344.2800,344.2800,344.2800,1,1,2026-08-24T00:00:00.000
245,20260611,301,204,290,5,5,345.6500,345.6500,345.6500,345.6500,1,1,2026-08-24T00:00:00.000
246,20260703,453,439,192,1,4,347.0200,347.0200,347.0200,347.0200,1,1,2026-08-24T00:00:00.000
247,20260728,53,156,201,1,1,348.3900,348.3900,348.3900,348.3900,1,1,2026-08-24T00:00:00.000
248,20260807,411,447,221,8,2,349.7600,349.7600,349.7600,349.7600,1,1,2026-08-24T00:00:00.000
249,20260710,4,3,272,3,5,351.1300,351.1300,351.1300,351.1300,1,1,2026-08-24T00:00:00.000
