ProductionOperationConfirmationKey,ConfirmationDateKey,ConfirmationTimeOfDayKey,ProductionOperationKey,ProductionWorkOrderKey,ProductKey,WorkCenterKey,OperatorEmployeeKey,ProductionShiftKey,UnitOfMeasureKey,ProductionOrderStatusKey,ConfirmationNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
34,20260718,29400,303,337,110,96,-1,231,6,10,POC000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260824,11760,462,132,152,403,421,9,2,9,POC000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260814,85140,9,433,282,394,1,415,7,6,POC000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260713,37260,452,237,155,155,93,110,3,8,POC000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260803,70380,347,211,101,189,130,265,6,4,POC000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260619,78060,3,93,11,403,495,75,2,12,POC000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260710,31620,229,156,217,296,438,288,1,9,POC000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260808,34080,201,433,138,39,114,165,6,1,POC000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260630,41940,306,436,75,319,94,439,6,11,POC000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260613,13620,41,123,217,149,180,331,7,11,POC000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260701,62400,245,343,149,267,33,384,4,8,POC000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260816,17040,361,186,200,491,286,62,1,10,POC000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260710,80460,359,391,182,313,266,48,4,8,POC000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260819,240,243,363,166,365,418,363,4,2,POC000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260803,4500,149,324,112,297,421,439,2,1,POC000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260628,74220,155,85,335,133,343,88,5,8,POC000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260802,21540,247,422,481,315,4,294,5,1,POC000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260603,82020,302,455,364,266,-1,438,1,2,POC000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260707,41520,34,234,387,487,468,253,3,7,POC000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260804,58560,234,300,233,166,245,394,3,3,POC000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260614,70800,11,331,71,456,119,204,4,2,POC000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260821,59820,219,103,405,289,52,379,2,1,POC000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260724,69900,495,94,92,69,341,312,3,9,POC000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260628,81660,492,195,389,496,282,175,3,10,POC000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260623,39600,366,42,373,426,49,209,3,4,POC000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260711,77700,175,156,144,291,336,65,3,11,POC000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260727,51660,248,116,434,257,220,64,4,7,POC000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260608,59280,108,419,206,136,493,279,1,2,POC000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260702,7080,299,334,246,81,107,446,1,11,POC000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260613,59520,308,90,353,266,75,174,4,5,POC000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260730,53400,50,341,67,391,50,33,6,6,POC000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260625,25920,403,133,449,45,268,438,3,12,POC000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260821,22680,126,178,406,118,418,72,4,9,POC000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260815,42360,168,417,204,347,313,45,7,3,POC000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260531,58920,437,125,76,402,-1,132,3,6,POC000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260810,4920,405,71,433,304,225,332,7,3,POC000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260812,66900,374,373,300,317,364,122,6,10,POC000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260715,65700,300,269,28,236,175,482,3,12,POC000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260801,16500,79,327,304,214,391,327,3,8,POC000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260623,8400,457,47,261,175,97,498,7,8,POC000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260616,56160,203,456,461,496,487,461,3,12,POC000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260607,78660,332,25,73,291,49,304,4,1,POC000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260723,72720,423,324,65,230,61,284,1,1,POC000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260621,49020,3,280,52,201,157,122,4,11,POC000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260601,12300,330,238,453,448,85,19,2,12,POC000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260610,43980,235,264,346,245,118,70,4,9,POC000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260625,59100,465,286,20,153,37,168,4,10,POC000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260602,960,342,186,142,28,336,245,3,3,POC000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260607,16020,232,351,11,347,134,461,4,5,POC000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260709,15180,500,175,81,71,57,353,7,2,POC000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260531,360,430,249,275,42,393,300,2,10,POC000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260809,26940,238,176,40,145,-1,259,4,6,POC000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260527,44640,15,278,469,273,77,492,2,3,POC000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260709,82560,185,309,375,73,51,321,7,5,POC000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260721,8580,336,348,243,362,357,154,2,1,POC000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260612,20820,380,86,17,33,207,152,6,12,POC000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260705,15060,142,310,185,152,32,273,2,11,POC000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260621,51060,314,339,3,450,445,208,7,3,POC000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260713,42000,293,111,264,84,254,233,6,9,POC000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260723,40980,457,408,351,11,437,278,7,3,POC000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260720,81060,153,445,498,384,474,359,1,12,POC000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260823,54720,414,318,422,54,283,195,7,5,POC000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260709,71940,273,65,345,258,327,212,3,11,POC000096,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260714,56280,391,35,432,241,403,478,5,6,POC000097,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260706,64500,160,467,375,117,351,460,5,11,POC000098,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260823,34680,471,444,494,142,407,498,7,11,POC000099,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260605,7620,216,8,71,169,439,459,5,5,POC000100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260619,62280,50,408,313,43,45,319,2,11,POC000101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260707,82200,389,102,436,40,-1,10,2,1,POC000102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260809,29400,189,244,123,185,352,182,4,1,POC000103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260630,77340,305,359,100,457,373,326,5,4,POC000104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260607,39120,294,135,162,223,56,24,7,1,POC000105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260705,28380,320,395,358,378,301,430,2,11,POC000106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260531,39420,28,454,292,104,420,218,6,10,POC000107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260824,65940,277,51,383,391,131,237,7,7,POC000108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260627,72600,460,255,467,348,278,462,2,3,POC000109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260616,74100,335,408,427,64,293,242,2,4,POC000110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260620,55620,368,491,18,212,474,395,7,3,POC000111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260709,33360,30,453,372,293,287,196,6,7,POC000112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260727,59820,258,200,431,8,480,56,5,2,POC000113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260720,74460,102,479,230,358,369,6,5,7,POC000114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260531,48480,337,3,303,346,115,160,2,4,POC000115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260723,13020,111,256,414,336,269,442,4,1,POC000116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260711,45060,360,215,500,254,92,187,3,10,POC000117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260728,45540,199,415,259,361,403,203,3,9,POC000118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260604,28260,434,406,52,481,-1,98,2,11,POC000119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260604,39720,192,241,372,156,288,71,3,12,POC000120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260615,70440,465,67,214,474,108,214,2,8,POC000121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260724,82560,160,168,232,100,371,349,7,12,POC000122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260627,47460,66,18,348,94,166,283,5,3,POC000123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260816,64020,360,444,419,191,332,49,6,7,POC000124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260607,77040,272,203,411,374,16,401,5,12,POC000125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260715,13740,339,499,343,154,236,50,5,6,POC000126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260715,86040,338,220,456,230,450,85,2,1,POC000127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260812,22740,60,465,112,44,217,54,4,8,POC000128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260528,53340,247,42,392,79,438,200,5,12,POC000129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260603,84540,326,341,414,464,160,185,7,11,POC000130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260622,19020,444,206,25,393,459,77,2,11,POC000131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260713,39240,40,243,68,461,133,303,2,6,POC000132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260604,23400,148,473,8,75,124,308,6,12,POC000133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260803,1080,443,139,492,175,110,250,1,9,POC000134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260712,39420,40,326,108,99,106,350,5,3,POC000135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260709,59760,16,243,258,185,-1,236,6,2,POC000136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260602,2040,112,382,238,25,138,358,5,5,POC000137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260531,49140,211,275,58,366,407,154,6,6,POC000138,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260612,7200,242,495,274,92,463,57,4,5,POC000139,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260804,46740,217,292,202,366,398,63,7,1,POC000140,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260816,27060,273,225,30,20,354,444,7,1,POC000141,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260810,62580,424,186,113,56,339,208,4,1,POC000142,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260720,56520,318,399,429,314,465,456,2,10,POC000143,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260624,1680,486,427,346,49,201,161,4,1,POC000144,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260809,57780,197,184,112,139,110,434,4,10,POC000145,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260606,660,335,98,440,428,79,412,2,2,POC000146,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260627,9540,176,240,355,477,424,18,1,7,POC000147,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260529,20700,455,179,464,417,341,262,7,3,POC000148,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260808,40500,280,361,458,392,166,453,1,10,POC000149,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260722,52320,185,103,408,256,317,428,7,10,POC000150,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260719,30300,461,330,294,15,488,381,6,7,POC000151,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260705,58620,54,338,145,48,334,442,5,4,POC000152,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260609,14940,256,451,154,167,-1,410,2,12,POC000153,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260819,39060,352,407,356,93,290,84,6,2,POC000154,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260703,32220,371,143,431,462,266,80,4,9,POC000155,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260629,72660,134,270,349,150,8,30,7,3,POC000156,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260722,80340,17,421,291,225,245,4,5,3,POC000157,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260801,75000,52,159,282,214,295,385,6,6,POC000158,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260608,6420,380,148,334,466,211,181,6,6,POC000159,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260713,27540,19,446,429,338,45,156,2,7,POC000160,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260710,180,404,2,201,286,396,338,2,1,POC000161,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260818,20460,381,405,422,197,376,50,1,1,POC000162,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260625,34980,260,159,14,342,227,414,5,10,POC000163,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260709,45360,220,29,208,492,263,327,3,1,POC000164,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260627,22500,294,260,261,286,15,232,2,7,POC000165,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260824,38820,432,12,87,365,392,211,4,6,POC000166,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260822,84720,406,119,313,167,140,395,4,8,POC000167,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260711,79320,483,28,149,414,23,292,7,5,POC000168,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260824,8520,494,87,3,186,311,97,5,1,POC000169,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260715,9000,359,129,473,224,-1,497,6,7,POC000170,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260619,58380,210,110,314,410,286,430,3,7,POC000171,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260718,78840,131,25,309,215,477,299,3,4,POC000172,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260610,47640,42,214,233,380,154,29,4,1,POC000173,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260527,62460,32,419,397,174,477,359,1,10,POC000174,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260725,5100,24,297,298,449,455,459,2,6,POC000175,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260628,74460,314,110,149,467,103,487,3,6,POC000176,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260720,23460,30,140,436,426,7,61,1,9,POC000177,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260705,27120,412,467,87,322,50,67,3,1,POC000178,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260705,21660,29,256,475,294,84,195,1,6,POC000179,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260530,11880,26,256,265,313,430,417,7,3,POC000180,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260611,46140,289,435,123,98,438,54,7,12,POC000181,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260713,14040,443,356,108,419,274,183,6,9,POC000182,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260807,38340,46,440,214,146,386,84,6,1,POC000183,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260714,7200,26,391,185,75,226,472,5,5,POC000184,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260703,21300,382,2,301,56,214,227,3,10,POC000185,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260809,41700,173,198,37,312,55,208,6,12,POC000186,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260604,44700,2,458,330,388,-1,174,2,6,POC000187,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260722,71040,7,449,226,470,37,316,3,10,POC000188,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260712,54780,162,291,117,7,232,312,6,5,POC000189,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260815,72840,356,377,148,464,8,367,1,3,POC000190,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260709,4860,9,62,340,162,185,343,2,7,POC000191,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260824,14400,259,37,375,3,391,310,7,2,POC000192,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260809,22380,372,485,444,455,204,414,5,7,POC000193,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260801,25800,157,380,400,484,494,330,1,7,POC000194,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260801,6600,478,246,423,448,403,114,7,4,POC000195,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260603,72780,65,404,328,68,114,488,6,8,POC000196,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260806,2160,246,316,388,98,170,124,4,8,POC000197,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260601,29700,143,76,265,31,155,81,1,6,POC000198,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260720,74400,314,5,35,105,158,53,7,7,POC000199,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260601,75660,249,473,266,73,484,351,6,12,POC000200,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260604,52320,149,213,117,260,342,257,2,10,POC000201,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260807,84600,150,96,489,241,275,416,1,4,POC000202,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260812,38100,104,219,198,254,104,446,3,1,POC000203,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260709,12660,117,100,313,2,-1,366,4,10,POC000204,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260620,18240,370,177,388,411,437,244,4,5,POC000205,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260614,48540,493,19,313,448,68,33,2,8,POC000206,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
