ProductionShiftOutputSnapshotKey,SnapshotDateKey,ProductionShiftKey,ProductionCrewKey,WorkCenterKey,ProductKey,PlantKey,UnitOfMeasureKey,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
25,20260804,452,447,154,477,116,3,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260611,322,221,469,364,174,4,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260717,332,483,482,311,72,6,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260723,218,211,270,59,223,1,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260716,230,163,310,11,218,2,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260628,71,352,99,348,18,6,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260716,438,215,128,186,89,1,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260702,112,38,153,460,214,4,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260807,12,204,324,349,190,2,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260816,484,186,473,120,333,2,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260711,381,150,50,308,248,2,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260809,163,20,228,137,12,6,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260812,368,138,247,89,30,5,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260617,279,228,192,362,136,6,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260712,270,43,178,300,218,6,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260809,23,322,252,431,66,4,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260804,157,235,372,108,251,7,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260710,392,58,435,2,323,7,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260712,320,421,425,233,14,7,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260709,25,94,212,49,321,3,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260625,130,227,47,270,154,1,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260802,192,27,9,292,135,6,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260802,369,304,250,399,318,1,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260622,181,118,426,160,110,7,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260702,45,19,119,493,315,1,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260807,475,441,67,420,315,6,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260707,360,417,63,412,314,2,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260804,188,485,104,354,232,3,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260606,57,75,360,178,345,3,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260824,307,412,20,258,298,7,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260624,82,492,413,221,113,7,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260617,112,215,265,222,247,5,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260810,415,229,77,423,309,7,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260727,435,47,39,368,303,7,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260720,42,343,218,136,10,4,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260607,448,487,116,38,226,3,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260713,270,401,430,158,225,2,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260706,81,14,283,183,278,4,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260720,321,194,407,388,158,7,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260712,23,49,153,461,108,3,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260629,262,48,9,186,261,7,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260718,174,185,240,236,236,2,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260617,271,137,50,363,68,3,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260725,364,295,118,95,187,3,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260619,151,155,42,399,207,2,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260611,339,234,46,493,141,5,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260606,444,164,352,440,161,5,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260820,342,161,484,498,180,5,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260724,493,58,308,313,74,6,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260604,424,313,297,17,57,3,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260719,482,156,65,4,293,7,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260811,10,453,102,93,54,5,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260720,412,300,491,369,268,2,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260615,21,479,33,315,26,1,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260607,398,43,20,215,37,1,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260530,455,350,280,462,339,7,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260818,327,218,176,438,42,1,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260713,83,460,277,456,214,1,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260814,15,171,470,424,72,3,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260604,399,114,148,310,253,4,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260617,239,342,450,317,50,3,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260603,331,259,244,485,222,7,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260727,311,88,112,182,70,4,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260626,97,9,468,97,160,6,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260701,201,140,375,172,316,4,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260610,291,273,451,15,338,7,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260630,412,349,291,484,284,2,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260701,134,207,309,41,309,1,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260618,36,102,61,440,194,1,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260616,185,95,418,377,247,4,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260716,237,171,450,494,223,7,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260714,300,419,14,118,216,3,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260528,174,127,68,439,134,4,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260720,462,338,444,427,72,1,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260727,159,86,191,366,135,2,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260714,367,398,496,140,22,4,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260713,118,108,52,221,220,7,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260726,380,89,382,201,173,7,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260705,447,187,163,226,325,1,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260620,275,203,92,314,299,3,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260729,78,435,124,67,168,6,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260806,320,29,333,276,275,7,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260805,403,297,353,380,84,4,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260817,223,204,129,169,133,3,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260530,413,46,162,44,324,5,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260604,412,413,108,479,341,5,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260801,267,236,288,467,253,6,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260617,423,255,465,92,177,2,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260622,188,147,449,133,310,2,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260605,407,432,10,223,285,1,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260817,116,269,126,476,349,6,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260713,265,360,478,436,93,1,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260713,370,141,295,399,207,5,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260606,388,2,107,242,33,2,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260713,280,238,366,343,301,2,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260614,483,39,209,29,187,2,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260813,495,186,205,43,118,2,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260625,297,206,266,362,157,7,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260711,476,162,116,201,87,2,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260629,473,23,367,33,173,3,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260722,207,261,470,80,128,3,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260729,231,52,345,287,257,6,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260612,245,454,221,411,206,2,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260811,249,466,482,20,283,4,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260805,296,446,55,155,64,5,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260619,8,175,314,248,132,2,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260610,226,225,489,266,320,3,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260703,268,221,87,468,341,4,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260815,139,376,357,443,44,5,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260730,102,384,336,323,94,5,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260722,428,299,364,306,93,2,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260803,363,427,53,323,214,1,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260728,29,458,99,363,326,5,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260820,36,327,316,333,262,7,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260527,391,204,110,295,118,3,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260629,197,327,483,244,111,1,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260609,301,330,50,430,35,6,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260811,205,314,67,279,25,5,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260820,192,148,392,288,229,6,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260810,472,387,123,43,72,1,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260807,42,11,205,228,40,5,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260712,385,5,341,248,208,1,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260527,195,436,268,241,107,7,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260704,118,337,238,90,293,7,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260527,276,234,22,8,197,2,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260626,455,127,445,35,40,1,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260725,22,267,446,367,313,3,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260613,168,146,487,23,248,3,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260707,429,497,230,64,2,2,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260717,42,319,308,43,278,6,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260823,397,402,188,426,225,5,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260618,113,113,100,405,138,3,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260617,181,28,348,68,235,6,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260824,212,147,25,253,114,5,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260815,280,46,283,73,304,1,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260616,39,186,181,176,332,2,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260807,41,496,469,354,281,7,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260731,231,21,318,62,154,6,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260606,243,59,396,38,218,6,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260614,10,362,413,70,315,7,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260630,433,135,491,439,176,2,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260823,255,213,263,163,114,3,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260816,136,181,3,370,278,4,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260819,442,112,152,327,184,6,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260616,218,471,377,470,282,2,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260819,500,385,386,136,272,1,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260705,382,150,263,344,183,3,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260603,193,475,168,268,234,6,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260627,270,301,322,244,275,3,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260628,80,196,461,115,164,6,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260618,36,231,215,356,84,4,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260603,409,178,179,383,10,7,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260718,462,333,20,391,341,5,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260705,456,51,314,372,39,2,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260613,428,156,496,160,110,4,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260718,223,486,168,306,171,2,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260804,480,49,246,483,171,1,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260726,43,75,463,284,133,2,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260602,192,297,181,2,45,4,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260818,442,9,248,163,297,1,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260630,416,326,207,169,276,3,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260714,413,325,138,181,336,6,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260701,4,143,97,422,284,1,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260701,476,263,281,444,114,7,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260530,145,147,488,122,334,2,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
