TableLoadConfigId,SourceObjectName,TargetSchemaName,TargetTableName,LoadPatternName,IsEnabled
22,seed.bridge.MachineUtilityAssignment,bridge,MachineUtilityAssignment,Bridge,1
23,seed.bridge.MaintenanceAssetFailureMode,bridge,MaintenanceAssetFailureMode,Bridge,1
24,seed.bridge.MaintenanceCrewEmployee,bridge,MaintenanceCrewEmployee,Bridge,1
25,seed.bridge.MaintenanceOrderSparePart,bridge,MaintenanceOrderSparePart,Bridge,1
26,seed.bridge.ProductionLotGenealogy,bridge,ProductionLotGenealogy,Bridge,1
27,seed.bridge.ProductionOperationWorkCenter,bridge,ProductionOperationWorkCenter,Bridge,1
28,seed.bridge.ProductionRunCrewAssignment,bridge,ProductionRunCrewAssignment,Bridge,1
29,seed.bridge.ProductionWorkOrderEmployee,bridge,ProductionWorkOrderEmployee,Bridge,1
30,seed.bridge.PurchaseContractProductAssignment,bridge,PurchaseContractProductAssignment,Bridge,1
31,seed.bridge.PurchaseOrderLineToReceipt,bridge,PurchaseOrderLineToReceipt,Bridge,1
32,seed.bridge.PurchaseRequisitionToOrderLine,bridge,PurchaseRequisitionToOrderLine,Bridge,1
33,seed.bridge.PurchaseRfqSupplierInvitation,bridge,PurchaseRfqSupplierInvitation,Bridge,1
34,seed.bridge.QualityDefectCharacteristic,bridge,QualityDefectCharacteristic,Bridge,1
35,seed.bridge.QualityGaugeCharacteristic,bridge,QualityGaugeCharacteristic,Bridge,1
36,seed.bridge.QualityInspectionPlanCharacteristic,bridge,QualityInspectionPlanCharacteristic,Bridge,1
37,seed.bridge.QualitySupplierProductApproval,bridge,QualitySupplierProductApproval,Bridge,1
38,seed.bridge.RoutingWorkCenterAssignment,bridge,RoutingWorkCenterAssignment,Bridge,1
39,seed.bridge.SafetyEmployeePpe,bridge,SafetyEmployeePpe,Bridge,1
40,seed.bridge.SafetyPermitEmployee,bridge,SafetyPermitEmployee,Bridge,1
41,seed.bridge.SafetyRiskAssessmentHazard,bridge,SafetyRiskAssessmentHazard,Bridge,1
42,seed.bridge.SalesOrderLineAllocation,bridge,SalesOrderLineAllocation,Bridge,1
43,seed.bridge.SalesOrderLinePromotion,bridge,SalesOrderLinePromotion,Bridge,1
44,seed.bridge.SalesOrderToCustomerHierarchy,bridge,SalesOrderToCustomerHierarchy,Bridge,1
45,seed.bridge.SalesOrderToShipmentRequest,bridge,SalesOrderToShipmentRequest,Bridge,1
46,seed.bridge.ServiceContractProduct,bridge,ServiceContractProduct,Bridge,1
47,seed.bridge.ServiceOrderPart,bridge,ServiceOrderPart,Bridge,1
48,seed.bridge.WarrantyClaimRepairCode,bridge,WarrantyClaimRepairCode,Bridge,1
49,seed.dim.AccountCategory,dim,AccountCategory,Dimension,1
50,seed.dim.AccountGroup,dim,AccountGroup,Dimension,1
51,seed.dim.AccountReportingLine,dim,AccountReportingLine,Dimension,1
52,seed.dim.AccountSubGroup,dim,AccountSubGroup,Dimension,1
53,seed.dim.Asset,dim,Asset,SCD2,1
54,seed.dim.AssetCriticality,dim,AssetCriticality,Dimension,1
55,seed.dim.AssetManufacturer,dim,AssetManufacturer,Dimension,1
56,seed.dim.AssetModel,dim,AssetModel,Dimension,1
57,seed.dim.BomClass,dim,BomClass,Dimension,1
58,seed.dim.BomFamily,dim,BomFamily,Dimension,1
59,seed.dim.BomHeader,dim,BomHeader,SCD2,1
60,seed.dim.BomSubClass,dim,BomSubClass,Dimension,1
61,seed.dim.BomUsageCategory,dim,BomUsageCategory,Dimension,1
62,seed.dim.BrandOwner,dim,BrandOwner,Dimension,1
63,seed.dim.BusinessUnit,dim,BusinessUnit,Dimension,1
64,seed.dim.BusinessUnitPortfolio,dim,BusinessUnitPortfolio,Dimension,1
65,seed.dim.CalendarMonth,dim,CalendarMonth,Dimension,1
66,seed.dim.CalendarQuarter,dim,CalendarQuarter,Dimension,1
67,seed.dim.CalendarWeek,dim,CalendarWeek,Dimension,1
68,seed.dim.CalendarYear,dim,CalendarYear,Dimension,1
69,seed.dim.CostCenter,dim,CostCenter,Dimension,1
70,seed.dim.CostCenterType,dim,CostCenterType,Dimension,1
71,seed.dim.Customer,dim,Customer,SCD2,1
72,seed.dim.CustomerChannel,dim,CustomerChannel,Dimension,1
73,seed.dim.CustomerGroup,dim,CustomerGroup,Dimension,1
74,seed.dim.CustomerMarket,dim,CustomerMarket,Dimension,1
75,seed.dim.CustomerSegment,dim,CustomerSegment,Dimension,1
76,seed.dim.Date,dim,Date,Dimension,1
77,seed.dim.Employee,dim,Employee,SCD2,1
78,seed.dim.EmployeeJobFamily,dim,EmployeeJobFamily,Dimension,1
79,seed.dim.EmployeeJobRole,dim,EmployeeJobRole,Dimension,1
80,seed.dim.EmployeePayGrade,dim,EmployeePayGrade,Dimension,1
81,seed.dim.EmployeeUnion,dim,EmployeeUnion,Dimension,1
82,seed.dim.EnergyCarrier,dim,EnergyCarrier,Dimension,1
83,seed.dim.EnergyDemandContract,dim,EnergyDemandContract,SCD2,1
84,seed.dim.EnergyEfficiencyMeasure,dim,EnergyEfficiencyMeasure,Dimension,1
85,seed.dim.EnergyEfficiencyProject,dim,EnergyEfficiencyProject,SCD2,1
86,seed.dim.EnergyEmissionFactor,dim,EnergyEmissionFactor,SCD2,1
87,seed.dim.EnergyMeterPoint,dim,EnergyMeterPoint,SCD2,1
88,seed.dim.EnergyMeterPointClass,dim,EnergyMeterPointClass,Dimension,1
89,seed.dim.EnergyMeterType,dim,EnergyMeterType,Dimension,1
90,seed.dim.EnergyProjectPortfolio,dim,EnergyProjectPortfolio,Dimension,1
91,seed.dim.EnergyProjectProgram,dim,EnergyProjectProgram,Dimension,1
92,seed.dim.EnergyProjectType,dim,EnergyProjectType,Dimension,1
93,seed.dim.EnergyRateSchedule,dim,EnergyRateSchedule,Dimension,1
94,seed.dim.EnergyRateTier,dim,EnergyRateTier,Dimension,1
95,seed.dim.EnergySourceCategory,dim,EnergySourceCategory,Dimension,1
96,seed.dim.EnergySubmeterZone,dim,EnergySubmeterZone,Dimension,1
97,seed.dim.EnergyTariff,dim,EnergyTariff,SCD2,1
98,seed.dim.EnergyTariffMarket,dim,EnergyTariffMarket,Dimension,1
99,seed.dim.EnergyTariffProvider,dim,EnergyTariffProvider,Dimension,1
100,seed.dim.EnergyUtilityAccount,dim,EnergyUtilityAccount,SCD2,1
101,seed.dim.EnergyUtilityCategory,dim,EnergyUtilityCategory,Dimension,1
102,seed.dim.EnergyUtilityCircuit,dim,EnergyUtilityCircuit,Dimension,1
103,seed.dim.EnergyUtilitySystem,dim,EnergyUtilitySystem,Dimension,1
104,seed.dim.EngineeringCadDocument,dim,EngineeringCadDocument,SCD2,1
105,seed.dim.EngineeringChangeOrder,dim,EngineeringChangeOrder,SCD2,1
106,seed.dim.EngineeringDiscipline,dim,EngineeringDiscipline,Dimension,1
107,seed.dim.EngineeringDocumentCategory,dim,EngineeringDocumentCategory,Dimension,1
108,seed.dim.EngineeringDocumentClass,dim,EngineeringDocumentClass,Dimension,1
109,seed.dim.EngineeringDocumentDomain,dim,EngineeringDocumentDomain,Dimension,1
110,seed.dim.EngineeringDocumentSubClass,dim,EngineeringDocumentSubClass,Dimension,1
111,seed.dim.EngineeringDomain,dim,EngineeringDomain,Dimension,1
112,seed.dim.EngineeringGroup,dim,EngineeringGroup,Dimension,1
113,seed.dim.EngineeringMaterialSpecification,dim,EngineeringMaterialSpecification,SCD2,1
114,seed.dim.EngineeringPartRevision,dim,EngineeringPartRevision,SCD2,1
115,seed.dim.EngineeringTeam,dim,EngineeringTeam,Dimension,1
116,seed.dim.FinanceAccountSet,dim,FinanceAccountSet,Dimension,1
117,seed.dim.FinanceCostComponent,dim,FinanceCostComponent,Dimension,1
118,seed.dim.FinanceCostComponentClass,dim,FinanceCostComponentClass,Dimension,1
119,seed.dim.FinanceCostComponentDetail,dim,FinanceCostComponentDetail,Dimension,1
120,seed.dim.FinanceCostComponentGroup,dim,FinanceCostComponentGroup,Dimension,1
121,seed.dim.FinanceCostElement,dim,FinanceCostElement,Dimension,1
122,seed.dim.FinanceCostElementClass,dim,FinanceCostElementClass,Dimension,1
123,seed.dim.FinanceCostElementDetail,dim,FinanceCostElementDetail,Dimension,1
124,seed.dim.FinanceCostElementGroup,dim,FinanceCostElementGroup,Dimension,1
125,seed.dim.FinanceCurrencyRateSet,dim,FinanceCurrencyRateSet,Dimension,1
126,seed.dim.FinanceJournalHeader,dim,FinanceJournalHeader,SCD2,1
127,seed.dim.FinanceJournalLine,dim,FinanceJournalLine,SCD2,1
128,seed.dim.FinanceMarketSegment,dim,FinanceMarketSegment,Dimension,1
129,seed.dim.FinancePlanningVersion,dim,FinancePlanningVersion,SCD2,1
130,seed.dim.FinancePostingBucket,dim,FinancePostingBucket,Dimension,1
131,seed.dim.FinanceProductCostVersion,dim,FinanceProductCostVersion,SCD2,1
132,seed.dim.FinanceProductionSettlement,dim,FinanceProductionSettlement,SCD2,1
133,seed.dim.FinanceProfitCenter,dim,FinanceProfitCenter,Dimension,1
134,seed.dim.FinanceProfitObject,dim,FinanceProfitObject,Dimension,1
135,seed.dim.FinanceProfitSegment,dim,FinanceProfitSegment,Dimension,1
136,seed.dim.FinanceReportingLine,dim,FinanceReportingLine,Dimension,1
137,seed.dim.FinanceStatementSection,dim,FinanceStatementSection,Dimension,1
138,seed.dim.FiscalPeriod,dim,FiscalPeriod,Dimension,1
139,seed.dim.FiscalQuarter,dim,FiscalQuarter,Dimension,1
140,seed.dim.FiscalYear,dim,FiscalYear,Dimension,1
141,seed.dim.GeoCity,dim,GeoCity,Dimension,1
142,seed.dim.GeoContinent,dim,GeoContinent,Dimension,1
143,seed.dim.GeoCountry,dim,GeoCountry,Dimension,1
144,seed.dim.GeoPostalCode,dim,GeoPostalCode,Dimension,1
145,seed.dim.GeoStateProvince,dim,GeoStateProvince,Dimension,1
146,seed.dim.GlAccount,dim,GlAccount,Dimension,1
147,seed.dim.InventoryAisle,dim,InventoryAisle,Dimension,1
148,seed.dim.InventoryBin,dim,InventoryBin,Dimension,1
149,seed.dim.InventoryConsignmentOwner,dim,InventoryConsignmentOwner,SCD2,1
150,seed.dim.InventoryContainer,dim,InventoryContainer,Dimension,1
151,seed.dim.InventoryDisposition,dim,InventoryDisposition,Dimension,1
152,seed.dim.InventoryHandlingAttachment,dim,InventoryHandlingAttachment,Dimension,1
153,seed.dim.InventoryHandlingClass,dim,InventoryHandlingClass,Dimension,1
154,seed.dim.InventoryHandlingEquipment,dim,InventoryHandlingEquipment,Dimension,1
155,seed.dim.InventoryHandlingMethod,dim,InventoryHandlingMethod,Dimension,1
156,seed.dim.InventoryLot,dim,InventoryLot,SCD2,1
157,seed.dim.InventoryPlanningFamily,dim,InventoryPlanningFamily,Dimension,1
158,seed.dim.InventoryPlanningSegment,dim,InventoryPlanningSegment,Dimension,1
159,seed.dim.InventoryPolicySegment,dim,InventoryPolicySegment,Dimension,1
160,seed.dim.InventoryRack,dim,InventoryRack,Dimension,1
161,seed.dim.InventoryReplenishmentGroup,dim,InventoryReplenishmentGroup,Dimension,1
162,seed.dim.InventorySafetyStockPolicy,dim,InventorySafetyStockPolicy,SCD2,1
163,seed.dim.InventorySerialNumber,dim,InventorySerialNumber,SCD2,1
164,seed.dim.InventoryStorageFamily,dim,InventoryStorageFamily,Dimension,1
165,seed.dim.InventoryStorageProfile,dim,InventoryStorageProfile,Dimension,1
166,seed.dim.InventoryStorageSubtype,dim,InventoryStorageSubtype,Dimension,1
167,seed.dim.InventoryStorageType,dim,InventoryStorageType,Dimension,1
168,seed.dim.InventoryWarehouse,dim,InventoryWarehouse,Dimension,1
169,seed.dim.InventoryZone,dim,InventoryZone,Dimension,1
170,seed.dim.LaborAssignment,dim,LaborAssignment,SCD2,1
171,seed.dim.LaborCertification,dim,LaborCertification,Dimension,1
172,seed.dim.LaborCostRate,dim,LaborCostRate,SCD2,1
173,seed.dim.LaborCrew,dim,LaborCrew,Dimension,1
174,seed.dim.LaborCrewArea,dim,LaborCrewArea,Dimension,1
175,seed.dim.LaborCrewOrganization,dim,LaborCrewOrganization,Dimension,1
176,seed.dim.LaborJobFamily,dim,LaborJobFamily,Dimension,1
177,seed.dim.LaborJobFunction,dim,LaborJobFunction,Dimension,1
178,seed.dim.LaborJobGrade,dim,LaborJobGrade,Dimension,1
179,seed.dim.LaborJobRole,dim,LaborJobRole,Dimension,1
180,seed.dim.LaborLeaveEntitlement,dim,LaborLeaveEntitlement,SCD2,1
181,seed.dim.LaborOvertimePolicy,dim,LaborOvertimePolicy,Dimension,1
182,seed.dim.LaborPosition,dim,LaborPosition,SCD2,1
183,seed.dim.LaborRosterSlot,dim,LaborRosterSlot,Dimension,1
184,seed.dim.LaborShift,dim,LaborShift,Dimension,1
185,seed.dim.LaborShiftPattern,dim,LaborShiftPattern,Dimension,1
186,seed.dim.LaborShiftRotation,dim,LaborShiftRotation,Dimension,1
187,seed.dim.LaborSkill,dim,LaborSkill,Dimension,1
188,seed.dim.LaborSkillCategory,dim,LaborSkillCategory,Dimension,1
189,seed.dim.LaborSkillDomain,dim,LaborSkillDomain,Dimension,1
190,seed.dim.LaborTeam,dim,LaborTeam,Dimension,1
191,seed.dim.LaborTrainingCourse,dim,LaborTrainingCourse,SCD2,1
192,seed.dim.LogisticsCarrier,dim,LogisticsCarrier,Dimension,1
193,seed.dim.LogisticsCarrierGroup,dim,LogisticsCarrierGroup,Dimension,1
194,seed.dim.LogisticsCarrierService,dim,LogisticsCarrierService,Dimension,1
195,seed.dim.LogisticsCarrierServiceOption,dim,LogisticsCarrierServiceOption,Dimension,1
196,seed.dim.LogisticsContainer,dim,LogisticsContainer,Dimension,1
197,seed.dim.LogisticsCustomsDeclaration,dim,LogisticsCustomsDeclaration,SCD2,1
198,seed.dim.LogisticsDelivery,dim,LogisticsDelivery,SCD2,1
199,seed.dim.LogisticsDockDoor,dim,LogisticsDockDoor,Dimension,1
200,seed.dim.LogisticsHub,dim,LogisticsHub,Dimension,1
201,seed.dim.LogisticsLaneSegment,dim,LogisticsLaneSegment,Dimension,1
202,seed.dim.LogisticsNetwork,dim,LogisticsNetwork,Dimension,1
203,seed.dim.LogisticsShipmentHeader,dim,LogisticsShipmentHeader,SCD2,1
204,seed.dim.LogisticsShipmentLine,dim,LogisticsShipmentLine,SCD2,1
205,seed.dim.LogisticsTariffChapter,dim,LogisticsTariffChapter,Dimension,1
206,seed.dim.LogisticsTariffHeading,dim,LogisticsTariffHeading,Dimension,1
207,seed.dim.LogisticsTariffItem,dim,LogisticsTariffItem,Dimension,1
208,seed.dim.LogisticsTariffSubheading,dim,LogisticsTariffSubheading,Dimension,1
209,seed.dim.LogisticsTerminal,dim,LogisticsTerminal,Dimension,1
210,seed.dim.LogisticsTradeCorridor,dim,LogisticsTradeCorridor,Dimension,1
211,seed.dim.LogisticsTradeRegion,dim,LogisticsTradeRegion,Dimension,1
212,seed.dim.LogisticsTransportLane,dim,LogisticsTransportLane,Dimension,1
213,seed.dim.LogisticsTransportLoad,dim,LogisticsTransportLoad,SCD2,1
214,seed.dim.Machine,dim,Machine,SCD2,1
215,seed.dim.MachineArea,dim,MachineArea,Dimension,1
216,seed.dim.MachineCapacityBand,dim,MachineCapacityBand,Dimension,1
217,seed.dim.MachineCapacityClass,dim,MachineCapacityClass,Dimension,1
218,seed.dim.MachineCapacityFamily,dim,MachineCapacityFamily,Dimension,1
219,seed.dim.MachineCapacityRating,dim,MachineCapacityRating,Dimension,1
220,seed.dim.MachineCell,dim,MachineCell,Dimension,1
221,seed.dim.MachineChangeover,dim,MachineChangeover,SCD2,1
222,seed.dim.MachineSensorTag,dim,MachineSensorTag,SCD2,1
223,seed.dim.MachineShop,dim,MachineShop,Dimension,1
224,seed.dim.MachineState,dim,MachineState,Dimension,1
225,seed.dim.MachineStateClass,dim,MachineStateClass,Dimension,1
226,seed.dim.MachineStateFamily,dim,MachineStateFamily,Dimension,1
227,seed.dim.MachineStateReason,dim,MachineStateReason,Dimension,1
228,seed.dim.MachineStateReasonGroup,dim,MachineStateReasonGroup,Dimension,1
229,seed.dim.MachineStation,dim,MachineStation,Dimension,1
230,seed.dim.MachineUtilityMeter,dim,MachineUtilityMeter,SCD2,1
231,seed.dim.MaintenanceAssetClass,dim,MaintenanceAssetClass,Dimension,1
232,seed.dim.MaintenanceAssetComponentType,dim,MaintenanceAssetComponentType,Dimension,1
233,seed.dim.MaintenanceAssetSubClass,dim,MaintenanceAssetSubClass,Dimension,1
234,seed.dim.MaintenanceAssetSystem,dim,MaintenanceAssetSystem,Dimension,1
235,seed.dim.MaintenanceConditionPoint,dim,MaintenanceConditionPoint,SCD2,1
236,seed.dim.MaintenanceCrew,dim,MaintenanceCrew,SCD2,1
237,seed.dim.MaintenanceCrewRole,dim,MaintenanceCrewRole,Dimension,1
238,seed.dim.MaintenanceFailureCause,dim,MaintenanceFailureCause,Dimension,1
239,seed.dim.MaintenanceFailureDomain,dim,MaintenanceFailureDomain,Dimension,1
240,seed.dim.MaintenanceFailureMode,dim,MaintenanceFailureMode,Dimension,1
241,seed.dim.MaintenanceFailureRemedy,dim,MaintenanceFailureRemedy,Dimension,1
242,seed.dim.MaintenancePlanClass,dim,MaintenancePlanClass,Dimension,1
243,seed.dim.MaintenancePlanFamily,dim,MaintenancePlanFamily,Dimension,1
244,seed.dim.MaintenancePmPlan,dim,MaintenancePmPlan,SCD2,1
245,seed.dim.MaintenanceRegion,dim,MaintenanceRegion,Dimension,1
246,seed.dim.MaintenanceSkillGroup,dim,MaintenanceSkillGroup,Dimension,1
247,seed.dim.MaintenanceSparePart,dim,MaintenanceSparePart,SCD2,1
248,seed.dim.MaintenanceTaskGroup,dim,MaintenanceTaskGroup,Dimension,1
249,seed.dim.MaintenanceTaskType,dim,MaintenanceTaskType,Dimension,1
250,seed.dim.MaintenanceTrade,dim,MaintenanceTrade,Dimension,1
251,seed.dim.MaintenanceWorkOrder,dim,MaintenanceWorkOrder,SCD2,1
252,seed.dim.MaintenanceWorkRequest,dim,MaintenanceWorkRequest,SCD2,1
253,seed.dim.OeeLossClass,dim,OeeLossClass,Dimension,1
254,seed.dim.OeeLossPillar,dim,OeeLossPillar,Dimension,1
255,seed.dim.OeeLossReason,dim,OeeLossReason,Dimension,1
256,seed.dim.OeeLossReasonGroup,dim,OeeLossReasonGroup,Dimension,1
257,seed.dim.OeeTargetProfile,dim,OeeTargetProfile,SCD2,1
258,seed.dim.OrgBusinessUnit,dim,OrgBusinessUnit,Dimension,1
259,seed.dim.OrgDivision,dim,OrgDivision,Dimension,1
260,seed.dim.OrgEnterprise,dim,OrgEnterprise,Dimension,1
261,seed.dim.OrgRegion,dim,OrgRegion,Dimension,1
262,seed.dim.Plant,dim,Plant,SCD2,1
263,seed.dim.PlantCampus,dim,PlantCampus,Dimension,1
264,seed.dim.PlantType,dim,PlantType,Dimension,1
265,seed.dim.Product,dim,Product,SCD2,1
266,seed.dim.ProductBrand,dim,ProductBrand,Dimension,1
267,seed.dim.ProductCertification,dim,ProductCertification,Dimension,1
268,seed.dim.ProductDivision,dim,ProductDivision,Dimension,1
269,seed.dim.ProductFamily,dim,ProductFamily,Dimension,1
270,seed.dim.ProductLifecyclePhase,dim,ProductLifecyclePhase,Dimension,1
271,seed.dim.ProductLine,dim,ProductLine,Dimension,1
272,seed.dim.ProductSubfamily,dim,ProductSubfamily,Dimension,1
273,seed.dim.ProductionCrew,dim,ProductionCrew,SCD2,1
274,seed.dim.ProductionCrewRole,dim,ProductionCrewRole,Dimension,1
275,seed.dim.ProductionCrewType,dim,ProductionCrewType,Dimension,1
276,seed.dim.ProductionLaborPool,dim,ProductionLaborPool,Dimension,1
277,seed.dim.ProductionLaborRegion,dim,ProductionLaborRegion,Dimension,1
278,seed.dim.ProductionLot,dim,ProductionLot,SCD2,1
279,seed.dim.ProductionLotClass,dim,ProductionLotClass,Dimension,1
280,seed.dim.ProductionLotDispositionGroup,dim,ProductionLotDispositionGroup,Dimension,1
281,seed.dim.ProductionLotFamily,dim,ProductionLotFamily,Dimension,1
282,seed.dim.ProductionLotGrade,dim,ProductionLotGrade,Dimension,1
283,seed.dim.ProductionOperation,dim,ProductionOperation,SCD2,1
284,seed.dim.ProductionProcessArea,dim,ProductionProcessArea,Dimension,1
285,seed.dim.ProductionProcessCell,dim,ProductionProcessCell,Dimension,1
286,seed.dim.ProductionProcessLine,dim,ProductionProcessLine,Dimension,1
287,seed.dim.ProductionProcessStep,dim,ProductionProcessStep,Dimension,1
288,seed.dim.ProductionRun,dim,ProductionRun,SCD2,1
289,seed.dim.ProductionScheduleBucket,dim,ProductionScheduleBucket,Dimension,1
290,seed.dim.ProductionScheduleFamily,dim,ProductionScheduleFamily,Dimension,1
291,seed.dim.ProductionScheduleHorizon,dim,ProductionScheduleHorizon,Dimension,1
292,seed.dim.ProductionScheduleSegment,dim,ProductionScheduleSegment,Dimension,1
293,seed.dim.ProductionShift,dim,ProductionShift,Dimension,1
294,seed.dim.ProductionWorkOrder,dim,ProductionWorkOrder,SCD2,1
295,seed.dim.PurchaseApprovalLevel,dim,PurchaseApprovalLevel,Dimension,1
296,seed.dim.PurchaseApprovalPolicy,dim,PurchaseApprovalPolicy,Dimension,1
297,seed.dim.PurchaseApprovalRoute,dim,PurchaseApprovalRoute,Dimension,1
298,seed.dim.PurchaseApprovalStep,dim,PurchaseApprovalStep,Dimension,1
299,seed.dim.PurchaseBuyerAssignment,dim,PurchaseBuyerAssignment,Dimension,1
300,seed.dim.PurchaseCommodity,dim,PurchaseCommodity,Dimension,1
301,seed.dim.PurchaseCommodityCategory,dim,PurchaseCommodityCategory,Dimension,1
302,seed.dim.PurchaseCommodityDomain,dim,PurchaseCommodityDomain,Dimension,1
303,seed.dim.PurchaseCommoditySubcategory,dim,PurchaseCommoditySubcategory,Dimension,1
304,seed.dim.PurchaseContractFamily,dim,PurchaseContractFamily,Dimension,1
305,seed.dim.PurchaseContractLineFamily,dim,PurchaseContractLineFamily,Dimension,1
306,seed.dim.PurchaseContractProgram,dim,PurchaseContractProgram,Dimension,1
307,seed.dim.PurchaseContractSchedule,dim,PurchaseContractSchedule,Dimension,1
308,seed.dim.PurchaseOrderHeader,dim,PurchaseOrderHeader,SCD2,1
309,seed.dim.PurchaseOrderLine,dim,PurchaseOrderLine,SCD2,1
310,seed.dim.PurchaseRequestForQuote,dim,PurchaseRequestForQuote,SCD2,1
311,seed.dim.PurchaseRequisition,dim,PurchaseRequisition,SCD2,1
312,seed.dim.PurchaseSourcingCouncil,dim,PurchaseSourcingCouncil,Dimension,1
313,seed.dim.PurchaseSourcingDesk,dim,PurchaseSourcingDesk,Dimension,1
314,seed.dim.PurchaseSourcingPortfolio,dim,PurchaseSourcingPortfolio,Dimension,1
315,seed.dim.PurchaseSupplierContract,dim,PurchaseSupplierContract,SCD2,1
316,seed.dim.PurchaseSupplierScorecard,dim,PurchaseSupplierScorecard,Dimension,1
317,seed.dim.QualityCertificateAnalysis,dim,QualityCertificateAnalysis,SCD2,1
318,seed.dim.QualityCharacteristicClass,dim,QualityCharacteristicClass,Dimension,1
319,seed.dim.QualityCharacteristicDomain,dim,QualityCharacteristicDomain,Dimension,1
320,seed.dim.QualityCharacteristicGroup,dim,QualityCharacteristicGroup,Dimension,1
321,seed.dim.QualityCharacteristicType,dim,QualityCharacteristicType,Dimension,1
322,seed.dim.QualityDefectCategory,dim,QualityDefectCategory,Dimension,1
323,seed.dim.QualityDefectCode,dim,QualityDefectCode,Dimension,1
324,seed.dim.QualityDefectFamily,dim,QualityDefectFamily,Dimension,1
325,seed.dim.QualityDefectSubCategory,dim,QualityDefectSubCategory,Dimension,1
326,seed.dim.QualityGauge,dim,QualityGauge,SCD2,1
327,seed.dim.QualityInspectionCharacteristic,dim,QualityInspectionCharacteristic,SCD2,1
328,seed.dim.QualityInspectionLot,dim,QualityInspectionLot,SCD2,1
329,seed.dim.QualityInspectionPlan,dim,QualityInspectionPlan,SCD2,1
330,seed.dim.QualityLabCell,dim,QualityLabCell,Dimension,1
331,seed.dim.QualityLabGroup,dim,QualityLabGroup,Dimension,1
332,seed.dim.QualityMethodClass,dim,QualityMethodClass,Dimension,1
333,seed.dim.QualityMethodFamily,dim,QualityMethodFamily,Dimension,1
334,seed.dim.QualityMethodProcedure,dim,QualityMethodProcedure,Dimension,1
335,seed.dim.QualityMethodStep,dim,QualityMethodStep,Dimension,1
336,seed.dim.QualityNonConformance,dim,QualityNonConformance,SCD2,1
337,seed.dim.QualityOrganizationRegion,dim,QualityOrganizationRegion,Dimension,1
338,seed.dim.QualityOrganizationSite,dim,QualityOrganizationSite,Dimension,1
339,seed.dim.RoutingHeader,dim,RoutingHeader,SCD2,1
340,seed.dim.RoutingOperationClass,dim,RoutingOperationClass,Dimension,1
341,seed.dim.RoutingOperationType,dim,RoutingOperationType,Dimension,1
342,seed.dim.RoutingProcessFamily,dim,RoutingProcessFamily,Dimension,1
343,seed.dim.RoutingProcessGroup,dim,RoutingProcessGroup,Dimension,1
344,seed.dim.SafetyAuditChecklistItem,dim,SafetyAuditChecklistItem,Dimension,1
345,seed.dim.SafetyAuditProgram,dim,SafetyAuditProgram,Dimension,1
346,seed.dim.SafetyAuditProtocol,dim,SafetyAuditProtocol,Dimension,1
347,seed.dim.SafetyAuditQuestionSet,dim,SafetyAuditQuestionSet,Dimension,1
348,seed.dim.SafetyChemicalCategory,dim,SafetyChemicalCategory,Dimension,1
349,seed.dim.SafetyChemicalFamily,dim,SafetyChemicalFamily,Dimension,1
350,seed.dim.SafetyChemicalSubstance,dim,SafetyChemicalSubstance,Dimension,1
351,seed.dim.SafetyComplianceTopic,dim,SafetyComplianceTopic,Dimension,1
