SafetyHazardConditionKey,SafetyHazardConditionCode,SafetyHazardTypeKey,SafetyHazardConditionName,DefaultRiskScore,SourceSystemKey,BatchId,LoadedAtUtc
75,SHC000075,395,Quartz SafetyHazardCondition 75,76.00,1,1,2026-08-24T00:00:00.000
76,SHC000076,56,Orion SafetyHazardCondition 76,77.00,1,1,2026-08-24T00:00:00.000
77,SHC000077,281,Titan SafetyHazardCondition 77,78.00,1,1,2026-08-24T00:00:00.000
78,SHC000078,200,Atlas SafetyHazardCondition 78,79.00,1,1,2026-08-24T00:00:00.000
79,SHC000079,224,Ion SafetyHazardCondition 79,80.00,1,1,2026-08-24T00:00:00.000
80,SHC000080,43,Junction SafetyHazardCondition 80,81.00,1,1,2026-08-24T00:00:00.000
81,SHC000081,40,Titan SafetyHazardCondition 81,82.00,1,1,2026-08-24T00:00:00.000
82,SHC000082,231,Atlas SafetyHazardCondition 82,83.00,1,1,2026-08-24T00:00:00.000
83,SHC000083,320,Titan SafetyHazardCondition 83,84.00,1,1,2026-08-24T00:00:00.000
84,SHC000084,411,Orion SafetyHazardCondition 84,85.00,1,1,2026-08-24T00:00:00.000
85,SHC000085,58,Ion SafetyHazardCondition 85,86.00,1,1,2026-08-24T00:00:00.000
86,SHC000086,233,Harbor SafetyHazardCondition 86,87.00,1,1,2026-08-24T00:00:00.000
87,SHC000087,179,Keystone SafetyHazardCondition 87,88.00,1,1,2026-08-24T00:00:00.000
88,SHC000088,4,Keystone SafetyHazardCondition 88,89.00,1,1,2026-08-24T00:00:00.000
89,SHC000089,315,Evergreen SafetyHazardCondition 89,90.00,1,1,2026-08-24T00:00:00.000
90,SHC000090,156,Atlas SafetyHazardCondition 90,91.00,1,1,2026-08-24T00:00:00.000
91,SHC000091,118,Forge SafetyHazardCondition 91,92.00,1,1,2026-08-24T00:00:00.000
92,SHC000092,273,Keystone SafetyHazardCondition 92,93.00,1,1,2026-08-24T00:00:00.000
93,SHC000093,395,Orion SafetyHazardCondition 93,94.00,1,1,2026-08-24T00:00:00.000
94,SHC000094,384,Granite SafetyHazardCondition 94,95.00,1,1,2026-08-24T00:00:00.000
95,SHC000095,392,Willow SafetyHazardCondition 95,96.00,1,1,2026-08-24T00:00:00.000
96,SHC000096,21,Ion SafetyHazardCondition 96,97.00,1,1,2026-08-24T00:00:00.000
97,SHC000097,347,Zenith SafetyHazardCondition 97,98.00,1,1,2026-08-24T00:00:00.000
98,SHC000098,216,Orion SafetyHazardCondition 98,99.00,1,1,2026-08-24T00:00:00.000
99,SHC000099,411,Pioneer SafetyHazardCondition 99,100.00,1,1,2026-08-24T00:00:00.000
100,SHC000100,379,Zenith SafetyHazardCondition 100,101.00,1,1,2026-08-24T00:00:00.000
101,SHC000101,211,Keystone SafetyHazardCondition 101,102.00,1,1,2026-08-24T00:00:00.000
102,SHC000102,94,Vertex SafetyHazardCondition 102,103.00,1,1,2026-08-24T00:00:00.000
103,SHC000103,256,Meridian SafetyHazardCondition 103,104.00,1,1,2026-08-24T00:00:00.000
104,SHC000104,235,Beacon SafetyHazardCondition 104,105.00,1,1,2026-08-24T00:00:00.000
105,SHC000105,73,Junction SafetyHazardCondition 105,106.00,1,1,2026-08-24T00:00:00.000
106,SHC000106,6,Granite SafetyHazardCondition 106,107.00,1,1,2026-08-24T00:00:00.000
107,SHC000107,137,Meridian SafetyHazardCondition 107,108.00,1,1,2026-08-24T00:00:00.000
108,SHC000108,328,Riverton SafetyHazardCondition 108,109.00,1,1,2026-08-24T00:00:00.000
109,SHC000109,307,Summit SafetyHazardCondition 109,110.00,1,1,2026-08-24T00:00:00.000
110,SHC000110,32,Ion SafetyHazardCondition 110,111.00,1,1,2026-08-24T00:00:00.000
111,SHC000111,385,Pioneer SafetyHazardCondition 111,112.00,1,1,2026-08-24T00:00:00.000
112,SHC000112,277,Meridian SafetyHazardCondition 112,113.00,1,1,2026-08-24T00:00:00.000
113,SHC000113,298,Riverton SafetyHazardCondition 113,114.00,1,1,2026-08-24T00:00:00.000
114,SHC000114,289,Summit SafetyHazardCondition 114,115.00,1,1,2026-08-24T00:00:00.000
115,SHC000115,111,Vertex SafetyHazardCondition 115,116.00,1,1,2026-08-24T00:00:00.000
116,SHC000116,237,Vertex SafetyHazardCondition 116,117.00,1,1,2026-08-24T00:00:00.000
117,SHC000117,63,Cedar SafetyHazardCondition 117,118.00,1,1,2026-08-24T00:00:00.000
118,SHC000118,332,Orion SafetyHazardCondition 118,119.00,1,1,2026-08-24T00:00:00.000
119,SHC000119,80,Beacon SafetyHazardCondition 119,120.00,1,1,2026-08-24T00:00:00.000
120,SHC000120,312,Orion SafetyHazardCondition 120,121.00,1,1,2026-08-24T00:00:00.000
121,SHC000121,175,Northstar SafetyHazardCondition 121,122.00,1,1,2026-08-24T00:00:00.000
122,SHC000122,246,Orion SafetyHazardCondition 122,123.00,1,1,2026-08-24T00:00:00.000
123,SHC000123,260,Atlas SafetyHazardCondition 123,124.00,1,1,2026-08-24T00:00:00.000
124,SHC000124,273,Unity SafetyHazardCondition 124,125.00,1,1,2026-08-24T00:00:00.000
125,SHC000125,167,Evergreen SafetyHazardCondition 125,126.00,1,1,2026-08-24T00:00:00.000
126,SHC000126,94,Northstar SafetyHazardCondition 126,127.00,1,1,2026-08-24T00:00:00.000
127,SHC000127,390,Willow SafetyHazardCondition 127,128.00,1,1,2026-08-24T00:00:00.000
128,SHC000128,115,Riverton SafetyHazardCondition 128,129.00,1,1,2026-08-24T00:00:00.000
129,SHC000129,8,Delta SafetyHazardCondition 129,130.00,1,1,2026-08-24T00:00:00.000
130,SHC000130,75,Forge SafetyHazardCondition 130,131.00,1,1,2026-08-24T00:00:00.000
131,SHC000131,353,Beacon SafetyHazardCondition 131,132.00,1,1,2026-08-24T00:00:00.000
132,SHC000132,190,Delta SafetyHazardCondition 132,133.00,1,1,2026-08-24T00:00:00.000
133,SHC000133,17,Evergreen SafetyHazardCondition 133,134.00,1,1,2026-08-24T00:00:00.000
134,SHC000134,176,Junction SafetyHazardCondition 134,135.00,1,1,2026-08-24T00:00:00.000
135,SHC000135,185,Harbor SafetyHazardCondition 135,136.00,1,1,2026-08-24T00:00:00.000
136,SHC000136,219,Delta SafetyHazardCondition 136,137.00,1,1,2026-08-24T00:00:00.000
137,SHC000137,361,Granite SafetyHazardCondition 137,138.00,1,1,2026-08-24T00:00:00.000
138,SHC000138,320,Willow SafetyHazardCondition 138,139.00,1,1,2026-08-24T00:00:00.000
139,SHC000139,315,Orion SafetyHazardCondition 139,140.00,1,1,2026-08-24T00:00:00.000
140,SHC000140,361,Atlas SafetyHazardCondition 140,141.00,1,1,2026-08-24T00:00:00.000
141,SHC000141,107,Orion SafetyHazardCondition 141,142.00,1,1,2026-08-24T00:00:00.000
142,SHC000142,40,Harbor SafetyHazardCondition 142,143.00,1,1,2026-08-24T00:00:00.000
143,SHC000143,34,Beacon SafetyHazardCondition 143,144.00,1,1,2026-08-24T00:00:00.000
144,SHC000144,155,Ion SafetyHazardCondition 144,145.00,1,1,2026-08-24T00:00:00.000
145,SHC000145,387,Liberty SafetyHazardCondition 145,146.00,1,1,2026-08-24T00:00:00.000
146,SHC000146,377,Riverton SafetyHazardCondition 146,147.00,1,1,2026-08-24T00:00:00.000
147,SHC000147,279,Meridian SafetyHazardCondition 147,148.00,1,1,2026-08-24T00:00:00.000
148,SHC000148,408,Quartz SafetyHazardCondition 148,149.00,1,1,2026-08-24T00:00:00.000
149,SHC000149,1,Ion SafetyHazardCondition 149,150.00,1,1,2026-08-24T00:00:00.000
150,SHC000150,292,Orion SafetyHazardCondition 150,151.00,1,1,2026-08-24T00:00:00.000
151,SHC000151,311,Summit SafetyHazardCondition 151,152.00,1,1,2026-08-24T00:00:00.000
152,SHC000152,77,Northstar SafetyHazardCondition 152,153.00,1,1,2026-08-24T00:00:00.000
153,SHC000153,401,Ion SafetyHazardCondition 153,154.00,1,1,2026-08-24T00:00:00.000
154,SHC000154,88,Orion SafetyHazardCondition 154,155.00,1,1,2026-08-24T00:00:00.000
155,SHC000155,329,Meridian SafetyHazardCondition 155,156.00,1,1,2026-08-24T00:00:00.000
156,SHC000156,248,Quartz SafetyHazardCondition 156,157.00,1,1,2026-08-24T00:00:00.000
157,SHC000157,90,Summit SafetyHazardCondition 157,158.00,1,1,2026-08-24T00:00:00.000
158,SHC000158,389,Meridian SafetyHazardCondition 158,159.00,1,1,2026-08-24T00:00:00.000
159,SHC000159,161,Northstar SafetyHazardCondition 159,160.00,1,1,2026-08-24T00:00:00.000
160,SHC000160,44,Junction SafetyHazardCondition 160,161.00,1,1,2026-08-24T00:00:00.000
161,SHC000161,196,Granite SafetyHazardCondition 161,162.00,1,1,2026-08-24T00:00:00.000
162,SHC000162,397,Vertex SafetyHazardCondition 162,163.00,1,1,2026-08-24T00:00:00.000
163,SHC000163,40,Evergreen SafetyHazardCondition 163,164.00,1,1,2026-08-24T00:00:00.000
164,SHC000164,82,Forge SafetyHazardCondition 164,165.00,1,1,2026-08-24T00:00:00.000
165,SHC000165,130,Keystone SafetyHazardCondition 165,166.00,1,1,2026-08-24T00:00:00.000
166,SHC000166,71,Meridian SafetyHazardCondition 166,167.00,1,1,2026-08-24T00:00:00.000
167,SHC000167,414,Keystone SafetyHazardCondition 167,168.00,1,1,2026-08-24T00:00:00.000
168,SHC000168,111,Keystone SafetyHazardCondition 168,169.00,1,1,2026-08-24T00:00:00.000
169,SHC000169,147,Meridian SafetyHazardCondition 169,170.00,1,1,2026-08-24T00:00:00.000
170,SHC000170,252,Junction SafetyHazardCondition 170,171.00,1,1,2026-08-24T00:00:00.000
171,SHC000171,57,Granite SafetyHazardCondition 171,172.00,1,1,2026-08-24T00:00:00.000
172,SHC000172,167,Granite SafetyHazardCondition 172,173.00,1,1,2026-08-24T00:00:00.000
173,SHC000173,144,Harbor SafetyHazardCondition 173,174.00,1,1,2026-08-24T00:00:00.000
174,SHC000174,382,Evergreen SafetyHazardCondition 174,175.00,1,1,2026-08-24T00:00:00.000
175,SHC000175,115,Summit SafetyHazardCondition 175,176.00,1,1,2026-08-24T00:00:00.000
176,SHC000176,399,Unity SafetyHazardCondition 176,177.00,1,1,2026-08-24T00:00:00.000
177,SHC000177,385,Forge SafetyHazardCondition 177,178.00,1,1,2026-08-24T00:00:00.000
178,SHC000178,186,Atlas SafetyHazardCondition 178,179.00,1,1,2026-08-24T00:00:00.000
179,SHC000179,28,Harbor SafetyHazardCondition 179,180.00,1,1,2026-08-24T00:00:00.000
180,SHC000180,410,Titan SafetyHazardCondition 180,181.00,1,1,2026-08-24T00:00:00.000
181,SHC000181,202,Junction SafetyHazardCondition 181,182.00,1,1,2026-08-24T00:00:00.000
182,SHC000182,288,Liberty SafetyHazardCondition 182,183.00,1,1,2026-08-24T00:00:00.000
183,SHC000183,146,Vertex SafetyHazardCondition 183,184.00,1,1,2026-08-24T00:00:00.000
184,SHC000184,119,Delta SafetyHazardCondition 184,185.00,1,1,2026-08-24T00:00:00.000
185,SHC000185,322,Cedar SafetyHazardCondition 185,186.00,1,1,2026-08-24T00:00:00.000
186,SHC000186,5,Meridian SafetyHazardCondition 186,187.00,1,1,2026-08-24T00:00:00.000
187,SHC000187,376,Ion SafetyHazardCondition 187,188.00,1,1,2026-08-24T00:00:00.000
188,SHC000188,401,Meridian SafetyHazardCondition 188,189.00,1,1,2026-08-24T00:00:00.000
189,SHC000189,36,Liberty SafetyHazardCondition 189,190.00,1,1,2026-08-24T00:00:00.000
190,SHC000190,336,Harbor SafetyHazardCondition 190,191.00,1,1,2026-08-24T00:00:00.000
191,SHC000191,200,Pioneer SafetyHazardCondition 191,192.00,1,1,2026-08-24T00:00:00.000
192,SHC000192,253,Northstar SafetyHazardCondition 192,193.00,1,1,2026-08-24T00:00:00.000
193,SHC000193,214,Forge SafetyHazardCondition 193,194.00,1,1,2026-08-24T00:00:00.000
194,SHC000194,366,Unity SafetyHazardCondition 194,195.00,1,1,2026-08-24T00:00:00.000
195,SHC000195,111,Liberty SafetyHazardCondition 195,196.00,1,1,2026-08-24T00:00:00.000
196,SHC000196,275,Liberty SafetyHazardCondition 196,197.00,1,1,2026-08-24T00:00:00.000
197,SHC000197,66,Northstar SafetyHazardCondition 197,198.00,1,1,2026-08-24T00:00:00.000
198,SHC000198,40,Northstar SafetyHazardCondition 198,199.00,1,1,2026-08-24T00:00:00.000
199,SHC000199,352,Riverton SafetyHazardCondition 199,200.00,1,1,2026-08-24T00:00:00.000
200,SHC000200,386,Titan SafetyHazardCondition 200,201.00,1,1,2026-08-24T00:00:00.000
201,SHC000201,298,Delta SafetyHazardCondition 201,202.00,1,1,2026-08-24T00:00:00.000
202,SHC000202,386,Summit SafetyHazardCondition 202,203.00,1,1,2026-08-24T00:00:00.000
203,SHC000203,90,Beacon SafetyHazardCondition 203,204.00,1,1,2026-08-24T00:00:00.000
204,SHC000204,97,Orion SafetyHazardCondition 204,205.00,1,1,2026-08-24T00:00:00.000
205,SHC000205,239,Pioneer SafetyHazardCondition 205,206.00,1,1,2026-08-24T00:00:00.000
206,SHC000206,297,Riverton SafetyHazardCondition 206,207.00,1,1,2026-08-24T00:00:00.000
207,SHC000207,205,Unity SafetyHazardCondition 207,208.00,1,1,2026-08-24T00:00:00.000
208,SHC000208,380,Zenith SafetyHazardCondition 208,209.00,1,1,2026-08-24T00:00:00.000
209,SHC000209,231,Ion SafetyHazardCondition 209,210.00,1,1,2026-08-24T00:00:00.000
210,SHC000210,35,Quartz SafetyHazardCondition 210,211.00,1,1,2026-08-24T00:00:00.000
211,SHC000211,81,Keystone SafetyHazardCondition 211,212.00,1,1,2026-08-24T00:00:00.000
212,SHC000212,321,Vertex SafetyHazardCondition 212,213.00,1,1,2026-08-24T00:00:00.000
213,SHC000213,366,Meridian SafetyHazardCondition 213,214.00,1,1,2026-08-24T00:00:00.000
214,SHC000214,374,Ion SafetyHazardCondition 214,215.00,1,1,2026-08-24T00:00:00.000
215,SHC000215,364,Atlas SafetyHazardCondition 215,216.00,1,1,2026-08-24T00:00:00.000
216,SHC000216,155,Cedar SafetyHazardCondition 216,217.00,1,1,2026-08-24T00:00:00.000
217,SHC000217,221,Junction SafetyHazardCondition 217,218.00,1,1,2026-08-24T00:00:00.000
218,SHC000218,53,Evergreen SafetyHazardCondition 218,219.00,1,1,2026-08-24T00:00:00.000
219,SHC000219,49,Unity SafetyHazardCondition 219,220.00,1,1,2026-08-24T00:00:00.000
220,SHC000220,343,Ion SafetyHazardCondition 220,221.00,1,1,2026-08-24T00:00:00.000
221,SHC000221,51,Harbor SafetyHazardCondition 221,222.00,1,1,2026-08-24T00:00:00.000
222,SHC000222,123,Cedar SafetyHazardCondition 222,223.00,1,1,2026-08-24T00:00:00.000
223,SHC000223,50,Liberty SafetyHazardCondition 223,224.00,1,1,2026-08-24T00:00:00.000
224,SHC000224,172,Vertex SafetyHazardCondition 224,225.00,1,1,2026-08-24T00:00:00.000
225,SHC000225,250,Unity SafetyHazardCondition 225,226.00,1,1,2026-08-24T00:00:00.000
226,SHC000226,348,Ion SafetyHazardCondition 226,227.00,1,1,2026-08-24T00:00:00.000
227,SHC000227,78,Harbor SafetyHazardCondition 227,228.00,1,1,2026-08-24T00:00:00.000
228,SHC000228,300,Delta SafetyHazardCondition 228,229.00,1,1,2026-08-24T00:00:00.000
229,SHC000229,260,Vertex SafetyHazardCondition 229,230.00,1,1,2026-08-24T00:00:00.000
230,SHC000230,363,Zenith SafetyHazardCondition 230,231.00,1,1,2026-08-24T00:00:00.000
231,SHC000231,35,Delta SafetyHazardCondition 231,232.00,1,1,2026-08-24T00:00:00.000
232,SHC000232,351,Liberty SafetyHazardCondition 232,233.00,1,1,2026-08-24T00:00:00.000
233,SHC000233,237,Liberty SafetyHazardCondition 233,234.00,1,1,2026-08-24T00:00:00.000
234,SHC000234,342,Riverton SafetyHazardCondition 234,235.00,1,1,2026-08-24T00:00:00.000
235,SHC000235,258,Granite SafetyHazardCondition 235,236.00,1,1,2026-08-24T00:00:00.000
236,SHC000236,419,Pioneer SafetyHazardCondition 236,237.00,1,1,2026-08-24T00:00:00.000
237,SHC000237,122,Meridian SafetyHazardCondition 237,238.00,1,1,2026-08-24T00:00:00.000
238,SHC000238,23,Pioneer SafetyHazardCondition 238,239.00,1,1,2026-08-24T00:00:00.000
239,SHC000239,257,Pioneer SafetyHazardCondition 239,240.00,1,1,2026-08-24T00:00:00.000
240,SHC000240,211,Meridian SafetyHazardCondition 240,241.00,1,1,2026-08-24T00:00:00.000
241,SHC000241,355,Summit SafetyHazardCondition 241,242.00,1,1,2026-08-24T00:00:00.000
242,SHC000242,391,Quartz SafetyHazardCondition 242,243.00,1,1,2026-08-24T00:00:00.000
243,SHC000243,127,Meridian SafetyHazardCondition 243,244.00,1,1,2026-08-24T00:00:00.000
244,SHC000244,343,Evergreen SafetyHazardCondition 244,245.00,1,1,2026-08-24T00:00:00.000
245,SHC000245,269,Junction SafetyHazardCondition 245,246.00,1,1,2026-08-24T00:00:00.000
246,SHC000246,102,Summit SafetyHazardCondition 246,247.00,1,1,2026-08-24T00:00:00.000
247,SHC000247,11,Summit SafetyHazardCondition 247,248.00,1,1,2026-08-24T00:00:00.000
248,SHC000248,274,Liberty SafetyHazardCondition 248,249.00,1,1,2026-08-24T00:00:00.000
249,SHC000249,379,Vertex SafetyHazardCondition 249,250.00,1,1,2026-08-24T00:00:00.000
250,SHC000250,123,Granite SafetyHazardCondition 250,251.00,1,1,2026-08-24T00:00:00.000
251,SHC000251,414,Cedar SafetyHazardCondition 251,252.00,1,1,2026-08-24T00:00:00.000
252,SHC000252,314,Evergreen SafetyHazardCondition 252,253.00,1,1,2026-08-24T00:00:00.000
253,SHC000253,354,Pioneer SafetyHazardCondition 253,254.00,1,1,2026-08-24T00:00:00.000
254,SHC000254,315,Northstar SafetyHazardCondition 254,255.00,1,1,2026-08-24T00:00:00.000
255,SHC000255,223,Ion SafetyHazardCondition 255,256.00,1,1,2026-08-24T00:00:00.000
256,SHC000256,213,Orion SafetyHazardCondition 256,257.00,1,1,2026-08-24T00:00:00.000
257,SHC000257,153,Ion SafetyHazardCondition 257,258.00,1,1,2026-08-24T00:00:00.000
258,SHC000258,358,Meridian SafetyHazardCondition 258,259.00,1,1,2026-08-24T00:00:00.000
259,SHC000259,22,Cedar SafetyHazardCondition 259,260.00,1,1,2026-08-24T00:00:00.000
260,SHC000260,237,Granite SafetyHazardCondition 260,261.00,1,1,2026-08-24T00:00:00.000
261,SHC000261,80,Keystone SafetyHazardCondition 261,262.00,1,1,2026-08-24T00:00:00.000
262,SHC000262,405,Harbor SafetyHazardCondition 262,263.00,1,1,2026-08-24T00:00:00.000
263,SHC000263,256,Northstar SafetyHazardCondition 263,264.00,1,1,2026-08-24T00:00:00.000
264,SHC000264,265,Vertex SafetyHazardCondition 264,265.00,1,1,2026-08-24T00:00:00.000
265,SHC000265,409,Titan SafetyHazardCondition 265,266.00,1,1,2026-08-24T00:00:00.000
266,SHC000266,124,Liberty SafetyHazardCondition 266,267.00,1,1,2026-08-24T00:00:00.000
267,SHC000267,2,Cedar SafetyHazardCondition 267,268.00,1,1,2026-08-24T00:00:00.000
268,SHC000268,344,Delta SafetyHazardCondition 268,269.00,1,1,2026-08-24T00:00:00.000
269,SHC000269,56,Atlas SafetyHazardCondition 269,270.00,1,1,2026-08-24T00:00:00.000
270,SHC000270,192,Orion SafetyHazardCondition 270,271.00,1,1,2026-08-24T00:00:00.000
271,SHC000271,172,Quartz SafetyHazardCondition 271,272.00,1,1,2026-08-24T00:00:00.000
272,SHC000272,347,Willow SafetyHazardCondition 272,273.00,1,1,2026-08-24T00:00:00.000
273,SHC000273,14,Granite SafetyHazardCondition 273,274.00,1,1,2026-08-24T00:00:00.000
274,SHC000274,241,Harbor SafetyHazardCondition 274,275.00,1,1,2026-08-24T00:00:00.000
275,SHC000275,291,Delta SafetyHazardCondition 275,276.00,1,1,2026-08-24T00:00:00.000
276,SHC000276,137,Beacon SafetyHazardCondition 276,277.00,1,1,2026-08-24T00:00:00.000
277,SHC000277,400,Ion SafetyHazardCondition 277,278.00,1,1,2026-08-24T00:00:00.000
