FinanceProductionSettlementKey,ProductionSettlementNumber,ProductKey,PlantKey,WorkCenterKey,CostCenterKey,FinancePostingStatusKey,SettlementName,SettlementPeriodCode,IsFinalSettlement,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
61,FPS000061,461,248,270,427,5,Northstar FinanceProductionSettlement 61,FPS000061,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b16394dc9e865d1bbaeb8e7b40420efcb16394dc9e865d1bbaeb8e7b40420efc
62,FPS000062,411,181,250,240,7,Titan FinanceProductionSettlement 62,FPS000062,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89f265709c7159bdb8804087a63132fe89f265709c7159bdb8804087a63132fe
63,FPS000063,360,166,263,444,3,Granite FinanceProductionSettlement 63,FPS000063,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd673bebcd8c51d1a2adc4c1988dade3cd673bebcd8c51d1a2adc4c1988dade3
64,FPS000064,146,20,356,485,6,Atlas FinanceProductionSettlement 64,FPS000064,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed3ea2c2f23d502b9865ad3a354c55c5ed3ea2c2f23d502b9865ad3a354c55c5
65,FPS000065,255,285,483,51,4,Keystone FinanceProductionSettlement 65,FPS000065,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35a2e6d5ebd85b7db942d6dca000901d35a2e6d5ebd85b7db942d6dca000901d
66,FPS000066,276,70,56,140,2,Ion FinanceProductionSettlement 66,FPS000066,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d8ee9d0b22d5ab1a83ca1243cd9ecbf1d8ee9d0b22d5ab1a83ca1243cd9ecbf
67,FPS000067,461,46,66,82,9,Pioneer FinanceProductionSettlement 67,FPS000067,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7ec45024f95597b9dcaacdc50be9fafd7ec45024f95597b9dcaacdc50be9faf
68,FPS000068,214,218,-1,-1,7,Quartz FinanceProductionSettlement 68,FPS000068,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e229fe0a8485795bb890b75fe34165b1e229fe0a8485795bb890b75fe34165b
69,FPS000069,59,103,49,56,2,Forge FinanceProductionSettlement 69,FPS000069,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2da987be48b0532ea0acac4b17fe8d3c2da987be48b0532ea0acac4b17fe8d3c
70,FPS000070,77,96,54,37,10,Riverton FinanceProductionSettlement 70,FPS000070,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e845423edf056b2820465e9be8ca7053e845423edf056b2820465e9be8ca705
71,FPS000071,447,195,19,49,3,Summit FinanceProductionSettlement 71,FPS000071,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ca92648118f59998d4c04e14b45da507ca92648118f59998d4c04e14b45da50
72,FPS000072,135,217,422,298,4,Ion FinanceProductionSettlement 72,FPS000072,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c197868640065653afa279186b699aebc197868640065653afa279186b699aeb
73,FPS000073,146,44,446,92,10,Orion FinanceProductionSettlement 73,FPS000073,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99e24997ab055eb8818841079c609a9299e24997ab055eb8818841079c609a92
74,FPS000074,453,160,486,89,1,Junction FinanceProductionSettlement 74,FPS000074,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e75e636845a53fbbd9181fc027175e84e75e636845a53fbbd9181fc027175e8
75,FPS000075,288,225,184,397,9,Orion FinanceProductionSettlement 75,FPS000075,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf4369df0dd0575fbc04b113aa6ca808bf4369df0dd0575fbc04b113aa6ca808
76,FPS000076,306,255,470,96,3,Quartz FinanceProductionSettlement 76,FPS000076,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,191624585d1a5ec7b84e5c0174c70728191624585d1a5ec7b84e5c0174c70728
77,FPS000077,455,317,485,365,10,Orion FinanceProductionSettlement 77,FPS000077,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d33c69b7bec5160a474ab30306c01942d33c69b7bec5160a474ab30306c0194
78,FPS000078,120,24,310,300,2,Evergreen FinanceProductionSettlement 78,FPS000078,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8d48e8b5c8c5c57aaa84317d49c5868f8d48e8b5c8c5c57aaa84317d49c5868
79,FPS000079,7,211,260,47,8,Quartz FinanceProductionSettlement 79,FPS000079,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe492fcc082759d3bf74696a46629bfffe492fcc082759d3bf74696a46629bff
80,FPS000080,83,97,157,13,1,Quartz FinanceProductionSettlement 80,FPS000080,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bc999742a005ca6917809f3288c4d809bc999742a005ca6917809f3288c4d80
81,FPS000081,215,26,391,224,6,Meridian FinanceProductionSettlement 81,FPS000081,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d9e696a4af55f4cad12142f8a2112391d9e696a4af55f4cad12142f8a211239
82,FPS000082,380,99,122,350,4,Titan FinanceProductionSettlement 82,FPS000082,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6673c14a4cd75ee8838ae0a421151af86673c14a4cd75ee8838ae0a421151af8
83,FPS000083,433,247,405,442,7,Granite FinanceProductionSettlement 83,FPS000083,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f154c056be25ed29835b5070f45767a9f154c056be25ed29835b5070f45767a
84,FPS000084,453,211,449,345,9,Delta FinanceProductionSettlement 84,FPS000084,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebbc588f57d35938a27e84fae5ec1ac7ebbc588f57d35938a27e84fae5ec1ac7
85,FPS000085,325,281,-1,-1,7,Forge FinanceProductionSettlement 85,FPS000085,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57e024418d1f541091f789d4d5e7f66e57e024418d1f541091f789d4d5e7f66e
86,FPS000086,363,197,118,145,8,Granite FinanceProductionSettlement 86,FPS000086,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d1042d7e6315194a4812e842ef4b32e8d1042d7e6315194a4812e842ef4b32e
87,FPS000087,465,200,8,499,7,Willow FinanceProductionSettlement 87,FPS000087,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ec319acfc7a5544a77367bcc3da86f41ec319acfc7a5544a77367bcc3da86f4
88,FPS000088,442,323,138,194,7,Cedar FinanceProductionSettlement 88,FPS000088,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8dec51dbe1e954c5b44d72d9a3839e608dec51dbe1e954c5b44d72d9a3839e60
89,FPS000089,420,165,19,199,2,Meridian FinanceProductionSettlement 89,FPS000089,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,500959eb9ce150ae920c82169b2f5175500959eb9ce150ae920c82169b2f5175
90,FPS000090,423,82,317,109,9,Summit FinanceProductionSettlement 90,FPS000090,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9044b87272956fca9b9391a0e8dc98eb9044b87272956fca9b9391a0e8dc98e
91,FPS000091,100,37,82,355,8,Liberty FinanceProductionSettlement 91,FPS000091,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a3f9125c25e5f6c9ca0ae5ce61d305c5a3f9125c25e5f6c9ca0ae5ce61d305c
92,FPS000092,498,34,297,51,6,Northstar FinanceProductionSettlement 92,FPS000092,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d119372be9f5007b72b9582868af4942d119372be9f5007b72b9582868af494
93,FPS000093,38,321,165,350,3,Northstar FinanceProductionSettlement 93,FPS000093,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,275a281beebb59ef85c0121ed88a5a68275a281beebb59ef85c0121ed88a5a68
94,FPS000094,296,92,188,74,1,Liberty FinanceProductionSettlement 94,FPS000094,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5220c6a9e09f5525975329abf5a5bd855220c6a9e09f5525975329abf5a5bd85
95,FPS000095,139,225,414,488,7,Liberty FinanceProductionSettlement 95,FPS000095,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,964d5b54eb91521da0ba23cb4997b13b964d5b54eb91521da0ba23cb4997b13b
96,FPS000096,296,246,20,345,9,Titan FinanceProductionSettlement 96,FPS000096,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7ba8513c04059f99456981a710beac4e7ba8513c04059f99456981a710beac4
97,FPS000097,342,77,95,131,1,Quartz FinanceProductionSettlement 97,FPS000097,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30ef5e7a02ac55939853850b952c222030ef5e7a02ac55939853850b952c2220
98,FPS000098,384,22,498,298,9,Atlas FinanceProductionSettlement 98,FPS000098,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02b12eea39c251eb87d3c68048df035f02b12eea39c251eb87d3c68048df035f
99,FPS000099,203,62,279,333,9,Junction FinanceProductionSettlement 99,FPS000099,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31c47c99ed825804a75bc19a298cda6931c47c99ed825804a75bc19a298cda69
