ProductionLotKey,ProductionLotNumber,ProductKey,PlantKey,ProductionLotDispositionGroupKey,UnitOfMeasureKey,RecordStatusKey,ProductionLotName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
27,PL000027,183,331,128,2,2,Evergreen ProductionLot 27,PL000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42039344ecdc5c35b3cdea7ca58487d142039344ecdc5c35b3cdea7ca58487d1
28,PL000028,93,16,234,7,1,Ion ProductionLot 28,PL000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf00c4cbaeab5c0b97b2ad74abcf2f39bf00c4cbaeab5c0b97b2ad74abcf2f39
29,PL000029,343,219,43,5,2,Delta ProductionLot 29,PL000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ea449c8248d5c64bf1164a1f7758d111ea449c8248d5c64bf1164a1f7758d11
30,PL000030,102,267,474,5,3,Evergreen ProductionLot 30,PL000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e223fa43b095c51a92f93da4a8679224e223fa43b095c51a92f93da4a867922
31,PL000031,77,11,401,2,4,Vertex ProductionLot 31,PL000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a6952bd6ee2594b8709443d5b396db94a6952bd6ee2594b8709443d5b396db9
32,PL000032,415,270,433,4,4,Unity ProductionLot 32,PL000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27ce10cbebfa5d158090a8b716a3880a27ce10cbebfa5d158090a8b716a3880a
33,PL000033,451,224,338,7,1,Delta ProductionLot 33,PL000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1d65c236473552bbbf293143f450beec1d65c236473552bbbf293143f450bee
34,PL000034,90,330,431,2,4,Meridian ProductionLot 34,PL000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a120b10ce46f5d93aba18209290a8548a120b10ce46f5d93aba18209290a8548
35,PL000035,86,279,393,6,1,Beacon ProductionLot 35,PL000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49512d8399b157bc8ed44bfc751eec9b49512d8399b157bc8ed44bfc751eec9b
36,PL000036,109,262,309,5,1,Atlas ProductionLot 36,PL000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9209085540755ae9f2a05735bd381e4d9209085540755ae9f2a05735bd381e4
37,PL000037,474,128,493,4,3,Riverton ProductionLot 37,PL000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ec45c3eb3075f1ba16015af3e35442d0ec45c3eb3075f1ba16015af3e35442d
38,PL000038,88,176,498,5,4,Atlas ProductionLot 38,PL000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39dbfa77193b57c9ba70bf16461268a339dbfa77193b57c9ba70bf16461268a3
39,PL000039,371,78,182,4,4,Titan ProductionLot 39,PL000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a47a1bccf9b5b7ba9573bd09a78f7b71a47a1bccf9b5b7ba9573bd09a78f7b7
40,PL000040,123,97,485,4,1,Orion ProductionLot 40,PL000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cc6e3936cf752d9b8dd47144c6e74818cc6e3936cf752d9b8dd47144c6e7481
41,PL000041,236,161,242,2,4,Junction ProductionLot 41,PL000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4051b3d8e335758897f1154c4a3e307d4051b3d8e335758897f1154c4a3e307
42,PL000042,257,39,400,7,3,Granite ProductionLot 42,PL000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,545b070bfda852d09aaffc69a7cd87f4545b070bfda852d09aaffc69a7cd87f4
43,PL000043,367,305,53,7,4,Delta ProductionLot 43,PL000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed1a0d08e7585f88a7392deef48ffa21ed1a0d08e7585f88a7392deef48ffa21
44,PL000044,69,200,234,2,1,Cedar ProductionLot 44,PL000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31e8ecb72bdd5f06880cf0ea212674fd31e8ecb72bdd5f06880cf0ea212674fd
45,PL000045,266,215,497,6,4,Summit ProductionLot 45,PL000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1f5d8c38eaa57bcb7fc8f01d0aef7dcc1f5d8c38eaa57bcb7fc8f01d0aef7dc
46,PL000046,235,183,343,3,4,Unity ProductionLot 46,PL000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9988ac56614526d9194da74baed4d4fe9988ac56614526d9194da74baed4d4f
47,PL000047,101,49,235,3,4,Willow ProductionLot 47,PL000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6384f20ccc3c57849ecb442de89dec496384f20ccc3c57849ecb442de89dec49
48,PL000048,220,181,68,6,2,Cedar ProductionLot 48,PL000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,902e26effaf25192898943335ce2b52a902e26effaf25192898943335ce2b52a
49,PL000049,27,230,157,5,3,Harbor ProductionLot 49,PL000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1863886f37a850d09e14f93b9aff26991863886f37a850d09e14f93b9aff2699
50,PL000050,9,302,407,1,3,Zenith ProductionLot 50,PL000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1304e8f554652b1a897c8a256bdd2eec1304e8f554652b1a897c8a256bdd2ee
51,PL000051,57,331,4,7,4,Titan ProductionLot 51,PL000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3c103291ee4563a8ca6d9d590c57779b3c103291ee4563a8ca6d9d590c57779
52,PL000052,81,96,313,4,3,Summit ProductionLot 52,PL000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2ae929dad98594ab04f3ecd8a3d687cc2ae929dad98594ab04f3ecd8a3d687c
53,PL000053,427,339,345,4,1,Delta ProductionLot 53,PL000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82d7103019455429aa752c38089709f982d7103019455429aa752c38089709f9
54,PL000054,97,239,324,5,4,Vertex ProductionLot 54,PL000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,053e828c835c510386378bae794133db053e828c835c510386378bae794133db
55,PL000055,208,146,101,6,2,Granite ProductionLot 55,PL000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95376f30b5095626a12c90877d3132df95376f30b5095626a12c90877d3132df
56,PL000056,223,91,122,4,1,Orion ProductionLot 56,PL000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc60642707365306a98c026952a41af2fc60642707365306a98c026952a41af2
57,PL000057,178,316,174,4,1,Delta ProductionLot 57,PL000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4e06b51d87751c48cf6e4bb287842e2d4e06b51d87751c48cf6e4bb287842e2
58,PL000058,489,211,471,5,4,Quartz ProductionLot 58,PL000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6aa28d9e05a541dbef5a9ea6ababed2a6aa28d9e05a541dbef5a9ea6ababed2
59,PL000059,436,300,42,6,4,Meridian ProductionLot 59,PL000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b1ee98e30e75dfe8d8083ec716ec27a2b1ee98e30e75dfe8d8083ec716ec27a
60,PL000060,193,255,462,2,3,Cedar ProductionLot 60,PL000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,036ba3b1a9a2508885a338a03bc96307036ba3b1a9a2508885a338a03bc96307
61,PL000061,10,94,410,2,4,Vertex ProductionLot 61,PL000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e330a43b8bd65bf1b909bd926d5dc0a4e330a43b8bd65bf1b909bd926d5dc0a4
62,PL000062,341,261,471,6,4,Pioneer ProductionLot 62,PL000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,409b5095ed7f591a8f53403a7419a1fa409b5095ed7f591a8f53403a7419a1fa
63,PL000063,276,208,146,7,1,Summit ProductionLot 63,PL000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c93f9cbef2a051ecbaf4ca013f2a9565c93f9cbef2a051ecbaf4ca013f2a9565
64,PL000064,246,132,450,5,1,Beacon ProductionLot 64,PL000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f7ba54afa210554b8df0f8bb55373775f7ba54afa210554b8df0f8bb55373775
65,PL000065,169,305,411,7,3,Vertex ProductionLot 65,PL000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98088249637451948dd279d7a81fd52d98088249637451948dd279d7a81fd52d
66,PL000066,425,216,46,7,3,Meridian ProductionLot 66,PL000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e04cf40b4b315429bb7c34c87f95e75ae04cf40b4b315429bb7c34c87f95e75a
67,PL000067,116,132,194,1,1,Evergreen ProductionLot 67,PL000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f3884f3b20d54619fcd1660ddc7512c0f3884f3b20d54619fcd1660ddc7512c
68,PL000068,128,17,90,3,4,Willow ProductionLot 68,PL000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6476bf8a0f8458cbba8ed9b8ddc1a9746476bf8a0f8458cbba8ed9b8ddc1a974
69,PL000069,202,1,457,2,4,Meridian ProductionLot 69,PL000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13e90d94fb32569ebee55ff438761d4b13e90d94fb32569ebee55ff438761d4b
70,PL000070,74,98,188,3,2,Evergreen ProductionLot 70,PL000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1603906d9735e70a4c3a5381252d44ef1603906d9735e70a4c3a5381252d44e
71,PL000071,136,271,373,4,3,Harbor ProductionLot 71,PL000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b11ebd9f938853c2b17d781f88afabd0b11ebd9f938853c2b17d781f88afabd0
72,PL000072,197,187,113,1,3,Forge ProductionLot 72,PL000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,733544edff8553c8b7e575096c21baf3733544edff8553c8b7e575096c21baf3
73,PL000073,106,234,367,4,2,Orion ProductionLot 73,PL000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,978623389f365b519cb7d8901f46c055978623389f365b519cb7d8901f46c055
74,PL000074,45,2,438,6,3,Orion ProductionLot 74,PL000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d7a689561725ba38fa7f88cb6e321831d7a689561725ba38fa7f88cb6e32183
75,PL000075,290,57,411,3,4,Pioneer ProductionLot 75,PL000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41e8dff1d268549ea413cda1d04b6f0041e8dff1d268549ea413cda1d04b6f00
76,PL000076,42,154,327,4,2,Atlas ProductionLot 76,PL000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8373eb4739151caa22cf6665323b169b8373eb4739151caa22cf6665323b169
77,PL000077,468,170,376,6,2,Junction ProductionLot 77,PL000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,295de46bde765a9c912bb4aeb38bf135295de46bde765a9c912bb4aeb38bf135
78,PL000078,46,29,207,3,3,Cedar ProductionLot 78,PL000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d43dafe90fdd5bd7aed4e649758bd078d43dafe90fdd5bd7aed4e649758bd078
79,PL000079,18,146,303,2,4,Quartz ProductionLot 79,PL000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,880d91866f335174adf0fa56f486c808880d91866f335174adf0fa56f486c808
80,PL000080,409,214,110,7,4,Vertex ProductionLot 80,PL000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d295fb37c3a5544eb627b695cc136307d295fb37c3a5544eb627b695cc136307
81,PL000081,124,9,171,3,4,Riverton ProductionLot 81,PL000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ed4dfcc4b765f01b8c6f3d71323cf744ed4dfcc4b765f01b8c6f3d71323cf74
82,PL000082,288,100,171,3,1,Cedar ProductionLot 82,PL000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b29bb040e7351e6adbb0d320fb7c8eb4b29bb040e7351e6adbb0d320fb7c8eb
83,PL000083,338,170,326,1,4,Liberty ProductionLot 83,PL000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d987215a67550a297e5459e3a5562673d987215a67550a297e5459e3a556267
84,PL000084,269,230,118,4,4,Ion ProductionLot 84,PL000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99488334a5005039ae3e68c0bae0fc0c99488334a5005039ae3e68c0bae0fc0c
85,PL000085,310,63,137,5,3,Riverton ProductionLot 85,PL000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdfe8b1686275f18b686f9097484104cbdfe8b1686275f18b686f9097484104c
86,PL000086,345,340,323,3,3,Northstar ProductionLot 86,PL000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e793a484882757d1bfb9dd00d17fa0c5e793a484882757d1bfb9dd00d17fa0c5
87,PL000087,347,38,233,7,4,Riverton ProductionLot 87,PL000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,873d7ae79fe35f6f8ee20c7f2b67cc71873d7ae79fe35f6f8ee20c7f2b67cc71
88,PL000088,261,51,380,3,4,Delta ProductionLot 88,PL000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f2006c37a11555599c496ecba3911772f2006c37a11555599c496ecba391177
89,PL000089,406,108,97,2,2,Meridian ProductionLot 89,PL000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,108244ebcf6d556ab48f3d1401c32892108244ebcf6d556ab48f3d1401c32892
90,PL000090,323,302,20,4,4,Vertex ProductionLot 90,PL000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7abbd59041385462b33fcb6efa0027887abbd59041385462b33fcb6efa002788
91,PL000091,223,124,498,2,2,Quartz ProductionLot 91,PL000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38241c7a77da58b793e22c9299af3e6e38241c7a77da58b793e22c9299af3e6e
92,PL000092,38,342,253,1,4,Cedar ProductionLot 92,PL000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de44e39b239b5809b00f7798a800bde0de44e39b239b5809b00f7798a800bde0
93,PL000093,326,187,60,5,4,Forge ProductionLot 93,PL000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af9b1f3832dc5772882acf8d3c293cd2af9b1f3832dc5772882acf8d3c293cd2
94,PL000094,421,237,178,1,4,Unity ProductionLot 94,PL000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a07a977fa5ba5addb0cfc42953a03a06a07a977fa5ba5addb0cfc42953a03a06
95,PL000095,43,95,158,3,4,Riverton ProductionLot 95,PL000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b9a55a1e6345a7cb92aaa1b2051d38c0b9a55a1e6345a7cb92aaa1b2051d38c
96,PL000096,362,83,184,6,4,Titan ProductionLot 96,PL000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1c288cf95905e0aa5c216571d086a42d1c288cf95905e0aa5c216571d086a42
97,PL000097,231,179,231,2,2,Ion ProductionLot 97,PL000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,521fb1a8447e5a09a7abd3f262dcfdbb521fb1a8447e5a09a7abd3f262dcfdbb
98,PL000098,46,4,348,5,1,Pioneer ProductionLot 98,PL000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cae7ed206bb5d4b9e7c1cf92febaf9d6cae7ed206bb5d4b9e7c1cf92febaf9d
99,PL000099,220,200,204,2,4,Willow ProductionLot 99,PL000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e1fd8f1f7c051ebbc2a71e61b65ea398e1fd8f1f7c051ebbc2a71e61b65ea39
100,PL000100,48,125,221,7,2,Cedar ProductionLot 100,PL000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,efdad36663c656f993e9639cd6fca9ffefdad36663c656f993e9639cd6fca9ff
