ProductionLotGradeKey,ProductionLotGradeCode,ProductionLotClassKey,ProductionLotGradeName,SourceSystemKey,BatchId,LoadedAtUtc
92,PLG000092,58,Forge ProductionLotGrade 92,1,1,2026-08-24T00:00:00.000
93,PLG000093,42,Beacon ProductionLotGrade 93,1,1,2026-08-24T00:00:00.000
94,PLG000094,44,Forge ProductionLotGrade 94,1,1,2026-08-24T00:00:00.000
95,PLG000095,77,Atlas ProductionLotGrade 95,1,1,2026-08-24T00:00:00.000
96,PLG000096,9,Keystone ProductionLotGrade 96,1,1,2026-08-24T00:00:00.000
97,PLG000097,85,Atlas ProductionLotGrade 97,1,1,2026-08-24T00:00:00.000
98,PLG000098,19,Harbor ProductionLotGrade 98,1,1,2026-08-24T00:00:00.000
99,PLG000099,91,Pioneer ProductionLotGrade 99,1,1,2026-08-24T00:00:00.000
100,PLG000100,21,Meridian ProductionLotGrade 100,1,1,2026-08-24T00:00:00.000
101,PLG000101,94,Cedar ProductionLotGrade 101,1,1,2026-08-24T00:00:00.000
102,PLG000102,31,Forge ProductionLotGrade 102,1,1,2026-08-24T00:00:00.000
103,PLG000103,12,Beacon ProductionLotGrade 103,1,1,2026-08-24T00:00:00.000
104,PLG000104,15,Unity ProductionLotGrade 104,1,1,2026-08-24T00:00:00.000
105,PLG000105,34,Ion ProductionLotGrade 105,1,1,2026-08-24T00:00:00.000
106,PLG000106,72,Meridian ProductionLotGrade 106,1,1,2026-08-24T00:00:00.000
107,PLG000107,81,Cedar ProductionLotGrade 107,1,1,2026-08-24T00:00:00.000
108,PLG000108,91,Unity ProductionLotGrade 108,1,1,2026-08-24T00:00:00.000
109,PLG000109,37,Summit ProductionLotGrade 109,1,1,2026-08-24T00:00:00.000
110,PLG000110,75,Evergreen ProductionLotGrade 110,1,1,2026-08-24T00:00:00.000
111,PLG000111,119,Summit ProductionLotGrade 111,1,1,2026-08-24T00:00:00.000
112,PLG000112,60,Meridian ProductionLotGrade 112,1,1,2026-08-24T00:00:00.000
113,PLG000113,82,Pioneer ProductionLotGrade 113,1,1,2026-08-24T00:00:00.000
114,PLG000114,62,Orion ProductionLotGrade 114,1,1,2026-08-24T00:00:00.000
115,PLG000115,36,Harbor ProductionLotGrade 115,1,1,2026-08-24T00:00:00.000
116,PLG000116,18,Delta ProductionLotGrade 116,1,1,2026-08-24T00:00:00.000
117,PLG000117,18,Northstar ProductionLotGrade 117,1,1,2026-08-24T00:00:00.000
118,PLG000118,56,Zenith ProductionLotGrade 118,1,1,2026-08-24T00:00:00.000
119,PLG000119,100,Willow ProductionLotGrade 119,1,1,2026-08-24T00:00:00.000
120,PLG000120,16,Orion ProductionLotGrade 120,1,1,2026-08-24T00:00:00.000
121,PLG000121,84,Riverton ProductionLotGrade 121,1,1,2026-08-24T00:00:00.000
122,PLG000122,65,Beacon ProductionLotGrade 122,1,1,2026-08-24T00:00:00.000
123,PLG000123,36,Liberty ProductionLotGrade 123,1,1,2026-08-24T00:00:00.000
124,PLG000124,83,Forge ProductionLotGrade 124,1,1,2026-08-24T00:00:00.000
125,PLG000125,46,Liberty ProductionLotGrade 125,1,1,2026-08-24T00:00:00.000
126,PLG000126,68,Granite ProductionLotGrade 126,1,1,2026-08-24T00:00:00.000
127,PLG000127,25,Zenith ProductionLotGrade 127,1,1,2026-08-24T00:00:00.000
128,PLG000128,38,Keystone ProductionLotGrade 128,1,1,2026-08-24T00:00:00.000
129,PLG000129,45,Junction ProductionLotGrade 129,1,1,2026-08-24T00:00:00.000
130,PLG000130,31,Delta ProductionLotGrade 130,1,1,2026-08-24T00:00:00.000
131,PLG000131,110,Quartz ProductionLotGrade 131,1,1,2026-08-24T00:00:00.000
132,PLG000132,57,Quartz ProductionLotGrade 132,1,1,2026-08-24T00:00:00.000
133,PLG000133,89,Junction ProductionLotGrade 133,1,1,2026-08-24T00:00:00.000
134,PLG000134,7,Titan ProductionLotGrade 134,1,1,2026-08-24T00:00:00.000
135,PLG000135,10,Delta ProductionLotGrade 135,1,1,2026-08-24T00:00:00.000
136,PLG000136,116,Junction ProductionLotGrade 136,1,1,2026-08-24T00:00:00.000
137,PLG000137,57,Delta ProductionLotGrade 137,1,1,2026-08-24T00:00:00.000
138,PLG000138,51,Quartz ProductionLotGrade 138,1,1,2026-08-24T00:00:00.000
139,PLG000139,84,Meridian ProductionLotGrade 139,1,1,2026-08-24T00:00:00.000
140,PLG000140,76,Harbor ProductionLotGrade 140,1,1,2026-08-24T00:00:00.000
141,PLG000141,53,Northstar ProductionLotGrade 141,1,1,2026-08-24T00:00:00.000
142,PLG000142,8,Delta ProductionLotGrade 142,1,1,2026-08-24T00:00:00.000
143,PLG000143,58,Beacon ProductionLotGrade 143,1,1,2026-08-24T00:00:00.000
144,PLG000144,89,Harbor ProductionLotGrade 144,1,1,2026-08-24T00:00:00.000
145,PLG000145,15,Unity ProductionLotGrade 145,1,1,2026-08-24T00:00:00.000
146,PLG000146,44,Delta ProductionLotGrade 146,1,1,2026-08-24T00:00:00.000
147,PLG000147,6,Summit ProductionLotGrade 147,1,1,2026-08-24T00:00:00.000
148,PLG000148,115,Riverton ProductionLotGrade 148,1,1,2026-08-24T00:00:00.000
149,PLG000149,52,Forge ProductionLotGrade 149,1,1,2026-08-24T00:00:00.000
150,PLG000150,57,Ion ProductionLotGrade 150,1,1,2026-08-24T00:00:00.000
151,PLG000151,50,Zenith ProductionLotGrade 151,1,1,2026-08-24T00:00:00.000
152,PLG000152,49,Beacon ProductionLotGrade 152,1,1,2026-08-24T00:00:00.000
153,PLG000153,44,Granite ProductionLotGrade 153,1,1,2026-08-24T00:00:00.000
154,PLG000154,90,Beacon ProductionLotGrade 154,1,1,2026-08-24T00:00:00.000
155,PLG000155,96,Summit ProductionLotGrade 155,1,1,2026-08-24T00:00:00.000
156,PLG000156,15,Delta ProductionLotGrade 156,1,1,2026-08-24T00:00:00.000
157,PLG000157,113,Orion ProductionLotGrade 157,1,1,2026-08-24T00:00:00.000
158,PLG000158,10,Granite ProductionLotGrade 158,1,1,2026-08-24T00:00:00.000
159,PLG000159,94,Keystone ProductionLotGrade 159,1,1,2026-08-24T00:00:00.000
160,PLG000160,107,Forge ProductionLotGrade 160,1,1,2026-08-24T00:00:00.000
161,PLG000161,84,Orion ProductionLotGrade 161,1,1,2026-08-24T00:00:00.000
162,PLG000162,41,Pioneer ProductionLotGrade 162,1,1,2026-08-24T00:00:00.000
163,PLG000163,51,Meridian ProductionLotGrade 163,1,1,2026-08-24T00:00:00.000
164,PLG000164,22,Liberty ProductionLotGrade 164,1,1,2026-08-24T00:00:00.000
165,PLG000165,76,Atlas ProductionLotGrade 165,1,1,2026-08-24T00:00:00.000
166,PLG000166,20,Beacon ProductionLotGrade 166,1,1,2026-08-24T00:00:00.000
167,PLG000167,72,Orion ProductionLotGrade 167,1,1,2026-08-24T00:00:00.000
168,PLG000168,71,Titan ProductionLotGrade 168,1,1,2026-08-24T00:00:00.000
169,PLG000169,12,Ion ProductionLotGrade 169,1,1,2026-08-24T00:00:00.000
170,PLG000170,11,Liberty ProductionLotGrade 170,1,1,2026-08-24T00:00:00.000
171,PLG000171,58,Evergreen ProductionLotGrade 171,1,1,2026-08-24T00:00:00.000
172,PLG000172,43,Cedar ProductionLotGrade 172,1,1,2026-08-24T00:00:00.000
173,PLG000173,109,Junction ProductionLotGrade 173,1,1,2026-08-24T00:00:00.000
174,PLG000174,7,Meridian ProductionLotGrade 174,1,1,2026-08-24T00:00:00.000
175,PLG000175,78,Atlas ProductionLotGrade 175,1,1,2026-08-24T00:00:00.000
176,PLG000176,8,Beacon ProductionLotGrade 176,1,1,2026-08-24T00:00:00.000
177,PLG000177,107,Keystone ProductionLotGrade 177,1,1,2026-08-24T00:00:00.000
178,PLG000178,10,Junction ProductionLotGrade 178,1,1,2026-08-24T00:00:00.000
179,PLG000179,114,Pioneer ProductionLotGrade 179,1,1,2026-08-24T00:00:00.000
180,PLG000180,111,Meridian ProductionLotGrade 180,1,1,2026-08-24T00:00:00.000
181,PLG000181,15,Pioneer ProductionLotGrade 181,1,1,2026-08-24T00:00:00.000
182,PLG000182,90,Junction ProductionLotGrade 182,1,1,2026-08-24T00:00:00.000
183,PLG000183,116,Ion ProductionLotGrade 183,1,1,2026-08-24T00:00:00.000
184,PLG000184,73,Willow ProductionLotGrade 184,1,1,2026-08-24T00:00:00.000
185,PLG000185,92,Cedar ProductionLotGrade 185,1,1,2026-08-24T00:00:00.000
186,PLG000186,24,Quartz ProductionLotGrade 186,1,1,2026-08-24T00:00:00.000
187,PLG000187,63,Harbor ProductionLotGrade 187,1,1,2026-08-24T00:00:00.000
188,PLG000188,78,Zenith ProductionLotGrade 188,1,1,2026-08-24T00:00:00.000
189,PLG000189,113,Atlas ProductionLotGrade 189,1,1,2026-08-24T00:00:00.000
190,PLG000190,93,Beacon ProductionLotGrade 190,1,1,2026-08-24T00:00:00.000
191,PLG000191,116,Northstar ProductionLotGrade 191,1,1,2026-08-24T00:00:00.000
192,PLG000192,31,Titan ProductionLotGrade 192,1,1,2026-08-24T00:00:00.000
193,PLG000193,55,Liberty ProductionLotGrade 193,1,1,2026-08-24T00:00:00.000
194,PLG000194,46,Forge ProductionLotGrade 194,1,1,2026-08-24T00:00:00.000
195,PLG000195,80,Titan ProductionLotGrade 195,1,1,2026-08-24T00:00:00.000
196,PLG000196,80,Granite ProductionLotGrade 196,1,1,2026-08-24T00:00:00.000
197,PLG000197,5,Harbor ProductionLotGrade 197,1,1,2026-08-24T00:00:00.000
198,PLG000198,53,Unity ProductionLotGrade 198,1,1,2026-08-24T00:00:00.000
199,PLG000199,72,Zenith ProductionLotGrade 199,1,1,2026-08-24T00:00:00.000
200,PLG000200,97,Ion ProductionLotGrade 200,1,1,2026-08-24T00:00:00.000
201,PLG000201,62,Summit ProductionLotGrade 201,1,1,2026-08-24T00:00:00.000
202,PLG000202,53,Beacon ProductionLotGrade 202,1,1,2026-08-24T00:00:00.000
203,PLG000203,100,Meridian ProductionLotGrade 203,1,1,2026-08-24T00:00:00.000
204,PLG000204,16,Unity ProductionLotGrade 204,1,1,2026-08-24T00:00:00.000
205,PLG000205,12,Summit ProductionLotGrade 205,1,1,2026-08-24T00:00:00.000
206,PLG000206,116,Liberty ProductionLotGrade 206,1,1,2026-08-24T00:00:00.000
207,PLG000207,29,Ion ProductionLotGrade 207,1,1,2026-08-24T00:00:00.000
208,PLG000208,119,Unity ProductionLotGrade 208,1,1,2026-08-24T00:00:00.000
209,PLG000209,35,Vertex ProductionLotGrade 209,1,1,2026-08-24T00:00:00.000
210,PLG000210,14,Granite ProductionLotGrade 210,1,1,2026-08-24T00:00:00.000
211,PLG000211,30,Zenith ProductionLotGrade 211,1,1,2026-08-24T00:00:00.000
212,PLG000212,47,Beacon ProductionLotGrade 212,1,1,2026-08-24T00:00:00.000
213,PLG000213,66,Keystone ProductionLotGrade 213,1,1,2026-08-24T00:00:00.000
214,PLG000214,119,Granite ProductionLotGrade 214,1,1,2026-08-24T00:00:00.000
215,PLG000215,107,Zenith ProductionLotGrade 215,1,1,2026-08-24T00:00:00.000
216,PLG000216,34,Riverton ProductionLotGrade 216,1,1,2026-08-24T00:00:00.000
217,PLG000217,22,Cedar ProductionLotGrade 217,1,1,2026-08-24T00:00:00.000
218,PLG000218,51,Cedar ProductionLotGrade 218,1,1,2026-08-24T00:00:00.000
219,PLG000219,7,Harbor ProductionLotGrade 219,1,1,2026-08-24T00:00:00.000
220,PLG000220,87,Quartz ProductionLotGrade 220,1,1,2026-08-24T00:00:00.000
221,PLG000221,21,Northstar ProductionLotGrade 221,1,1,2026-08-24T00:00:00.000
222,PLG000222,80,Delta ProductionLotGrade 222,1,1,2026-08-24T00:00:00.000
223,PLG000223,59,Quartz ProductionLotGrade 223,1,1,2026-08-24T00:00:00.000
224,PLG000224,66,Delta ProductionLotGrade 224,1,1,2026-08-24T00:00:00.000
225,PLG000225,47,Summit ProductionLotGrade 225,1,1,2026-08-24T00:00:00.000
226,PLG000226,46,Vertex ProductionLotGrade 226,1,1,2026-08-24T00:00:00.000
227,PLG000227,20,Evergreen ProductionLotGrade 227,1,1,2026-08-24T00:00:00.000
228,PLG000228,38,Titan ProductionLotGrade 228,1,1,2026-08-24T00:00:00.000
229,PLG000229,67,Willow ProductionLotGrade 229,1,1,2026-08-24T00:00:00.000
230,PLG000230,12,Northstar ProductionLotGrade 230,1,1,2026-08-24T00:00:00.000
231,PLG000231,47,Junction ProductionLotGrade 231,1,1,2026-08-24T00:00:00.000
232,PLG000232,30,Evergreen ProductionLotGrade 232,1,1,2026-08-24T00:00:00.000
233,PLG000233,6,Willow ProductionLotGrade 233,1,1,2026-08-24T00:00:00.000
234,PLG000234,76,Beacon ProductionLotGrade 234,1,1,2026-08-24T00:00:00.000
235,PLG000235,116,Orion ProductionLotGrade 235,1,1,2026-08-24T00:00:00.000
236,PLG000236,6,Junction ProductionLotGrade 236,1,1,2026-08-24T00:00:00.000
237,PLG000237,42,Cedar ProductionLotGrade 237,1,1,2026-08-24T00:00:00.000
238,PLG000238,61,Titan ProductionLotGrade 238,1,1,2026-08-24T00:00:00.000
239,PLG000239,55,Cedar ProductionLotGrade 239,1,1,2026-08-24T00:00:00.000
240,PLG000240,68,Harbor ProductionLotGrade 240,1,1,2026-08-24T00:00:00.000
241,PLG000241,106,Harbor ProductionLotGrade 241,1,1,2026-08-24T00:00:00.000
242,PLG000242,94,Evergreen ProductionLotGrade 242,1,1,2026-08-24T00:00:00.000
243,PLG000243,63,Riverton ProductionLotGrade 243,1,1,2026-08-24T00:00:00.000
244,PLG000244,40,Unity ProductionLotGrade 244,1,1,2026-08-24T00:00:00.000
245,PLG000245,83,Meridian ProductionLotGrade 245,1,1,2026-08-24T00:00:00.000
246,PLG000246,100,Pioneer ProductionLotGrade 246,1,1,2026-08-24T00:00:00.000
247,PLG000247,115,Beacon ProductionLotGrade 247,1,1,2026-08-24T00:00:00.000
248,PLG000248,108,Atlas ProductionLotGrade 248,1,1,2026-08-24T00:00:00.000
249,PLG000249,2,Pioneer ProductionLotGrade 249,1,1,2026-08-24T00:00:00.000
250,PLG000250,57,Granite ProductionLotGrade 250,1,1,2026-08-24T00:00:00.000
251,PLG000251,55,Beacon ProductionLotGrade 251,1,1,2026-08-24T00:00:00.000
252,PLG000252,15,Keystone ProductionLotGrade 252,1,1,2026-08-24T00:00:00.000
253,PLG000253,114,Forge ProductionLotGrade 253,1,1,2026-08-24T00:00:00.000
254,PLG000254,80,Northstar ProductionLotGrade 254,1,1,2026-08-24T00:00:00.000
255,PLG000255,34,Meridian ProductionLotGrade 255,1,1,2026-08-24T00:00:00.000
256,PLG000256,29,Liberty ProductionLotGrade 256,1,1,2026-08-24T00:00:00.000
257,PLG000257,112,Vertex ProductionLotGrade 257,1,1,2026-08-24T00:00:00.000
258,PLG000258,59,Meridian ProductionLotGrade 258,1,1,2026-08-24T00:00:00.000
259,PLG000259,64,Unity ProductionLotGrade 259,1,1,2026-08-24T00:00:00.000
260,PLG000260,48,Unity ProductionLotGrade 260,1,1,2026-08-24T00:00:00.000
261,PLG000261,119,Cedar ProductionLotGrade 261,1,1,2026-08-24T00:00:00.000
262,PLG000262,79,Pioneer ProductionLotGrade 262,1,1,2026-08-24T00:00:00.000
263,PLG000263,70,Unity ProductionLotGrade 263,1,1,2026-08-24T00:00:00.000
264,PLG000264,74,Summit ProductionLotGrade 264,1,1,2026-08-24T00:00:00.000
265,PLG000265,10,Summit ProductionLotGrade 265,1,1,2026-08-24T00:00:00.000
266,PLG000266,2,Pioneer ProductionLotGrade 266,1,1,2026-08-24T00:00:00.000
267,PLG000267,88,Atlas ProductionLotGrade 267,1,1,2026-08-24T00:00:00.000
268,PLG000268,51,Willow ProductionLotGrade 268,1,1,2026-08-24T00:00:00.000
269,PLG000269,91,Forge ProductionLotGrade 269,1,1,2026-08-24T00:00:00.000
270,PLG000270,12,Vertex ProductionLotGrade 270,1,1,2026-08-24T00:00:00.000
271,PLG000271,98,Northstar ProductionLotGrade 271,1,1,2026-08-24T00:00:00.000
272,PLG000272,32,Evergreen ProductionLotGrade 272,1,1,2026-08-24T00:00:00.000
273,PLG000273,65,Evergreen ProductionLotGrade 273,1,1,2026-08-24T00:00:00.000
274,PLG000274,62,Pioneer ProductionLotGrade 274,1,1,2026-08-24T00:00:00.000
275,PLG000275,5,Forge ProductionLotGrade 275,1,1,2026-08-24T00:00:00.000
276,PLG000276,1,Harbor ProductionLotGrade 276,1,1,2026-08-24T00:00:00.000
277,PLG000277,60,Harbor ProductionLotGrade 277,1,1,2026-08-24T00:00:00.000
278,PLG000278,79,Zenith ProductionLotGrade 278,1,1,2026-08-24T00:00:00.000
279,PLG000279,11,Forge ProductionLotGrade 279,1,1,2026-08-24T00:00:00.000
280,PLG000280,46,Summit ProductionLotGrade 280,1,1,2026-08-24T00:00:00.000
281,PLG000281,108,Cedar ProductionLotGrade 281,1,1,2026-08-24T00:00:00.000
282,PLG000282,21,Delta ProductionLotGrade 282,1,1,2026-08-24T00:00:00.000
283,PLG000283,66,Orion ProductionLotGrade 283,1,1,2026-08-24T00:00:00.000
284,PLG000284,77,Evergreen ProductionLotGrade 284,1,1,2026-08-24T00:00:00.000
285,PLG000285,59,Willow ProductionLotGrade 285,1,1,2026-08-24T00:00:00.000
286,PLG000286,70,Beacon ProductionLotGrade 286,1,1,2026-08-24T00:00:00.000
287,PLG000287,76,Ion ProductionLotGrade 287,1,1,2026-08-24T00:00:00.000
288,PLG000288,83,Unity ProductionLotGrade 288,1,1,2026-08-24T00:00:00.000
289,PLG000289,23,Liberty ProductionLotGrade 289,1,1,2026-08-24T00:00:00.000
290,PLG000290,50,Evergreen ProductionLotGrade 290,1,1,2026-08-24T00:00:00.000
291,PLG000291,46,Orion ProductionLotGrade 291,1,1,2026-08-24T00:00:00.000
292,PLG000292,95,Forge ProductionLotGrade 292,1,1,2026-08-24T00:00:00.000
293,PLG000293,82,Meridian ProductionLotGrade 293,1,1,2026-08-24T00:00:00.000
294,PLG000294,53,Quartz ProductionLotGrade 294,1,1,2026-08-24T00:00:00.000
295,PLG000295,83,Orion ProductionLotGrade 295,1,1,2026-08-24T00:00:00.000
296,PLG000296,20,Riverton ProductionLotGrade 296,1,1,2026-08-24T00:00:00.000
297,PLG000297,86,Atlas ProductionLotGrade 297,1,1,2026-08-24T00:00:00.000
298,PLG000298,16,Harbor ProductionLotGrade 298,1,1,2026-08-24T00:00:00.000
299,PLG000299,22,Summit ProductionLotGrade 299,1,1,2026-08-24T00:00:00.000
300,PLG000300,104,Liberty ProductionLotGrade 300,1,1,2026-08-24T00:00:00.000
301,PLG000301,27,Summit ProductionLotGrade 301,1,1,2026-08-24T00:00:00.000
302,PLG000302,117,Beacon ProductionLotGrade 302,1,1,2026-08-24T00:00:00.000
303,PLG000303,18,Titan ProductionLotGrade 303,1,1,2026-08-24T00:00:00.000
304,PLG000304,95,Vertex ProductionLotGrade 304,1,1,2026-08-24T00:00:00.000
305,PLG000305,98,Pioneer ProductionLotGrade 305,1,1,2026-08-24T00:00:00.000
306,PLG000306,18,Northstar ProductionLotGrade 306,1,1,2026-08-24T00:00:00.000
307,PLG000307,80,Orion ProductionLotGrade 307,1,1,2026-08-24T00:00:00.000
308,PLG000308,71,Riverton ProductionLotGrade 308,1,1,2026-08-24T00:00:00.000
309,PLG000309,108,Meridian ProductionLotGrade 309,1,1,2026-08-24T00:00:00.000
