WarrantyTermKey,WarrantyTermCode,WarrantyPolicyKey,WarrantyTermName,CoverageMonths,MileageLimitQuantity,SourceSystemKey,BatchId,LoadedAtUtc
86,WT000086,389,Keystone WarrantyTerm 86,3,86,1,1,2026-08-24T00:00:00.000
87,WT000087,55,Liberty WarrantyTerm 87,4,87,1,1,2026-08-24T00:00:00.000
88,WT000088,338,Summit WarrantyTerm 88,5,88,1,1,2026-08-24T00:00:00.000
89,WT000089,457,Cedar WarrantyTerm 89,6,89,1,1,2026-08-24T00:00:00.000
90,WT000090,131,Northstar WarrantyTerm 90,7,90,1,1,2026-08-24T00:00:00.000
91,WT000091,13,Junction WarrantyTerm 91,8,91,1,1,2026-08-24T00:00:00.000
92,WT000092,198,Harbor WarrantyTerm 92,9,92,1,1,2026-08-24T00:00:00.000
93,WT000093,376,Unity WarrantyTerm 93,10,93,1,1,2026-08-24T00:00:00.000
94,WT000094,123,Atlas WarrantyTerm 94,11,94,1,1,2026-08-24T00:00:00.000
95,WT000095,226,Orion WarrantyTerm 95,12,95,1,1,2026-08-24T00:00:00.000
96,WT000096,313,Keystone WarrantyTerm 96,1,96,1,1,2026-08-24T00:00:00.000
97,WT000097,461,Unity WarrantyTerm 97,2,97,1,1,2026-08-24T00:00:00.000
98,WT000098,402,Cedar WarrantyTerm 98,3,98,1,1,2026-08-24T00:00:00.000
99,WT000099,81,Keystone WarrantyTerm 99,4,99,1,1,2026-08-24T00:00:00.000
100,WT000100,92,Vertex WarrantyTerm 100,5,100,1,1,2026-08-24T00:00:00.000
101,WT000101,149,Harbor WarrantyTerm 101,6,101,1,1,2026-08-24T00:00:00.000
102,WT000102,211,Liberty WarrantyTerm 102,7,102,1,1,2026-08-24T00:00:00.000
103,WT000103,367,Forge WarrantyTerm 103,8,103,1,1,2026-08-24T00:00:00.000
104,WT000104,414,Liberty WarrantyTerm 104,9,104,1,1,2026-08-24T00:00:00.000
105,WT000105,120,Evergreen WarrantyTerm 105,10,105,1,1,2026-08-24T00:00:00.000
106,WT000106,82,Beacon WarrantyTerm 106,11,106,1,1,2026-08-24T00:00:00.000
107,WT000107,232,Unity WarrantyTerm 107,12,107,1,1,2026-08-24T00:00:00.000
108,WT000108,7,Willow WarrantyTerm 108,1,108,1,1,2026-08-24T00:00:00.000
109,WT000109,133,Quartz WarrantyTerm 109,2,109,1,1,2026-08-24T00:00:00.000
110,WT000110,176,Junction WarrantyTerm 110,3,110,1,1,2026-08-24T00:00:00.000
111,WT000111,477,Northstar WarrantyTerm 111,4,111,1,1,2026-08-24T00:00:00.000
112,WT000112,403,Beacon WarrantyTerm 112,5,112,1,1,2026-08-24T00:00:00.000
113,WT000113,70,Unity WarrantyTerm 113,6,113,1,1,2026-08-24T00:00:00.000
114,WT000114,183,Keystone WarrantyTerm 114,7,114,1,1,2026-08-24T00:00:00.000
115,WT000115,109,Beacon WarrantyTerm 115,8,115,1,1,2026-08-24T00:00:00.000
116,WT000116,439,Harbor WarrantyTerm 116,9,116,1,1,2026-08-24T00:00:00.000
117,WT000117,159,Titan WarrantyTerm 117,10,117,1,1,2026-08-24T00:00:00.000
118,WT000118,416,Evergreen WarrantyTerm 118,11,118,1,1,2026-08-24T00:00:00.000
119,WT000119,129,Atlas WarrantyTerm 119,12,119,1,1,2026-08-24T00:00:00.000
120,WT000120,461,Forge WarrantyTerm 120,1,120,1,1,2026-08-24T00:00:00.000
121,WT000121,351,Forge WarrantyTerm 121,2,121,1,1,2026-08-24T00:00:00.000
122,WT000122,304,Willow WarrantyTerm 122,3,122,1,1,2026-08-24T00:00:00.000
123,WT000123,371,Forge WarrantyTerm 123,4,123,1,1,2026-08-24T00:00:00.000
124,WT000124,486,Cedar WarrantyTerm 124,5,124,1,1,2026-08-24T00:00:00.000
125,WT000125,369,Zenith WarrantyTerm 125,6,125,1,1,2026-08-24T00:00:00.000
126,WT000126,189,Keystone WarrantyTerm 126,7,126,1,1,2026-08-24T00:00:00.000
127,WT000127,259,Unity WarrantyTerm 127,8,127,1,1,2026-08-24T00:00:00.000
128,WT000128,54,Ion WarrantyTerm 128,9,128,1,1,2026-08-24T00:00:00.000
129,WT000129,60,Granite WarrantyTerm 129,10,129,1,1,2026-08-24T00:00:00.000
130,WT000130,235,Meridian WarrantyTerm 130,11,130,1,1,2026-08-24T00:00:00.000
131,WT000131,424,Riverton WarrantyTerm 131,12,131,1,1,2026-08-24T00:00:00.000
132,WT000132,420,Vertex WarrantyTerm 132,1,132,1,1,2026-08-24T00:00:00.000
133,WT000133,47,Keystone WarrantyTerm 133,2,133,1,1,2026-08-24T00:00:00.000
134,WT000134,228,Ion WarrantyTerm 134,3,134,1,1,2026-08-24T00:00:00.000
135,WT000135,126,Meridian WarrantyTerm 135,4,135,1,1,2026-08-24T00:00:00.000
136,WT000136,129,Keystone WarrantyTerm 136,5,136,1,1,2026-08-24T00:00:00.000
137,WT000137,405,Atlas WarrantyTerm 137,6,137,1,1,2026-08-24T00:00:00.000
138,WT000138,188,Orion WarrantyTerm 138,7,138,1,1,2026-08-24T00:00:00.000
139,WT000139,235,Ion WarrantyTerm 139,8,139,1,1,2026-08-24T00:00:00.000
140,WT000140,125,Atlas WarrantyTerm 140,9,140,1,1,2026-08-24T00:00:00.000
141,WT000141,5,Meridian WarrantyTerm 141,10,141,1,1,2026-08-24T00:00:00.000
142,WT000142,385,Beacon WarrantyTerm 142,11,142,1,1,2026-08-24T00:00:00.000
143,WT000143,239,Northstar WarrantyTerm 143,12,143,1,1,2026-08-24T00:00:00.000
144,WT000144,215,Harbor WarrantyTerm 144,1,144,1,1,2026-08-24T00:00:00.000
145,WT000145,188,Unity WarrantyTerm 145,2,145,1,1,2026-08-24T00:00:00.000
146,WT000146,300,Pioneer WarrantyTerm 146,3,146,1,1,2026-08-24T00:00:00.000
147,WT000147,371,Granite WarrantyTerm 147,4,147,1,1,2026-08-24T00:00:00.000
148,WT000148,298,Junction WarrantyTerm 148,5,148,1,1,2026-08-24T00:00:00.000
149,WT000149,356,Vertex WarrantyTerm 149,6,149,1,1,2026-08-24T00:00:00.000
150,WT000150,77,Ion WarrantyTerm 150,7,150,1,1,2026-08-24T00:00:00.000
151,WT000151,442,Granite WarrantyTerm 151,8,151,1,1,2026-08-24T00:00:00.000
152,WT000152,265,Delta WarrantyTerm 152,9,152,1,1,2026-08-24T00:00:00.000
153,WT000153,403,Delta WarrantyTerm 153,10,153,1,1,2026-08-24T00:00:00.000
154,WT000154,15,Pioneer WarrantyTerm 154,11,154,1,1,2026-08-24T00:00:00.000
155,WT000155,155,Harbor WarrantyTerm 155,12,155,1,1,2026-08-24T00:00:00.000
156,WT000156,170,Evergreen WarrantyTerm 156,1,156,1,1,2026-08-24T00:00:00.000
157,WT000157,191,Junction WarrantyTerm 157,2,157,1,1,2026-08-24T00:00:00.000
158,WT000158,306,Vertex WarrantyTerm 158,3,158,1,1,2026-08-24T00:00:00.000
159,WT000159,171,Vertex WarrantyTerm 159,4,159,1,1,2026-08-24T00:00:00.000
160,WT000160,229,Meridian WarrantyTerm 160,5,160,1,1,2026-08-24T00:00:00.000
161,WT000161,174,Riverton WarrantyTerm 161,6,161,1,1,2026-08-24T00:00:00.000
162,WT000162,458,Junction WarrantyTerm 162,7,162,1,1,2026-08-24T00:00:00.000
163,WT000163,208,Orion WarrantyTerm 163,8,163,1,1,2026-08-24T00:00:00.000
164,WT000164,113,Willow WarrantyTerm 164,9,164,1,1,2026-08-24T00:00:00.000
165,WT000165,304,Keystone WarrantyTerm 165,10,165,1,1,2026-08-24T00:00:00.000
166,WT000166,491,Titan WarrantyTerm 166,11,166,1,1,2026-08-24T00:00:00.000
167,WT000167,189,Vertex WarrantyTerm 167,12,167,1,1,2026-08-24T00:00:00.000
168,WT000168,6,Liberty WarrantyTerm 168,1,168,1,1,2026-08-24T00:00:00.000
169,WT000169,185,Northstar WarrantyTerm 169,2,169,1,1,2026-08-24T00:00:00.000
170,WT000170,313,Unity WarrantyTerm 170,3,170,1,1,2026-08-24T00:00:00.000
171,WT000171,240,Ion WarrantyTerm 171,4,171,1,1,2026-08-24T00:00:00.000
172,WT000172,417,Atlas WarrantyTerm 172,5,172,1,1,2026-08-24T00:00:00.000
173,WT000173,373,Atlas WarrantyTerm 173,6,173,1,1,2026-08-24T00:00:00.000
174,WT000174,329,Junction WarrantyTerm 174,7,174,1,1,2026-08-24T00:00:00.000
175,WT000175,408,Meridian WarrantyTerm 175,8,175,1,1,2026-08-24T00:00:00.000
176,WT000176,367,Quartz WarrantyTerm 176,9,176,1,1,2026-08-24T00:00:00.000
177,WT000177,42,Forge WarrantyTerm 177,10,177,1,1,2026-08-24T00:00:00.000
178,WT000178,426,Ion WarrantyTerm 178,11,178,1,1,2026-08-24T00:00:00.000
179,WT000179,433,Orion WarrantyTerm 179,12,179,1,1,2026-08-24T00:00:00.000
180,WT000180,341,Zenith WarrantyTerm 180,1,180,1,1,2026-08-24T00:00:00.000
181,WT000181,266,Forge WarrantyTerm 181,2,181,1,1,2026-08-24T00:00:00.000
182,WT000182,203,Junction WarrantyTerm 182,3,182,1,1,2026-08-24T00:00:00.000
183,WT000183,382,Evergreen WarrantyTerm 183,4,183,1,1,2026-08-24T00:00:00.000
184,WT000184,352,Keystone WarrantyTerm 184,5,184,1,1,2026-08-24T00:00:00.000
185,WT000185,461,Northstar WarrantyTerm 185,6,185,1,1,2026-08-24T00:00:00.000
186,WT000186,492,Unity WarrantyTerm 186,7,186,1,1,2026-08-24T00:00:00.000
187,WT000187,416,Pioneer WarrantyTerm 187,8,187,1,1,2026-08-24T00:00:00.000
188,WT000188,443,Harbor WarrantyTerm 188,9,188,1,1,2026-08-24T00:00:00.000
189,WT000189,164,Summit WarrantyTerm 189,10,189,1,1,2026-08-24T00:00:00.000
190,WT000190,200,Junction WarrantyTerm 190,11,190,1,1,2026-08-24T00:00:00.000
191,WT000191,117,Willow WarrantyTerm 191,12,191,1,1,2026-08-24T00:00:00.000
192,WT000192,346,Cedar WarrantyTerm 192,1,192,1,1,2026-08-24T00:00:00.000
193,WT000193,275,Willow WarrantyTerm 193,2,193,1,1,2026-08-24T00:00:00.000
194,WT000194,276,Granite WarrantyTerm 194,3,194,1,1,2026-08-24T00:00:00.000
195,WT000195,21,Riverton WarrantyTerm 195,4,195,1,1,2026-08-24T00:00:00.000
196,WT000196,24,Beacon WarrantyTerm 196,5,196,1,1,2026-08-24T00:00:00.000
197,WT000197,344,Harbor WarrantyTerm 197,6,197,1,1,2026-08-24T00:00:00.000
198,WT000198,136,Willow WarrantyTerm 198,7,198,1,1,2026-08-24T00:00:00.000
199,WT000199,120,Pioneer WarrantyTerm 199,8,199,1,1,2026-08-24T00:00:00.000
200,WT000200,138,Liberty WarrantyTerm 200,9,200,1,1,2026-08-24T00:00:00.000
201,WT000201,21,Pioneer WarrantyTerm 201,10,201,1,1,2026-08-24T00:00:00.000
202,WT000202,294,Orion WarrantyTerm 202,11,202,1,1,2026-08-24T00:00:00.000
203,WT000203,163,Orion WarrantyTerm 203,12,203,1,1,2026-08-24T00:00:00.000
204,WT000204,456,Beacon WarrantyTerm 204,1,204,1,1,2026-08-24T00:00:00.000
205,WT000205,238,Keystone WarrantyTerm 205,2,205,1,1,2026-08-24T00:00:00.000
206,WT000206,152,Northstar WarrantyTerm 206,3,206,1,1,2026-08-24T00:00:00.000
207,WT000207,434,Beacon WarrantyTerm 207,4,207,1,1,2026-08-24T00:00:00.000
208,WT000208,457,Keystone WarrantyTerm 208,5,208,1,1,2026-08-24T00:00:00.000
209,WT000209,354,Quartz WarrantyTerm 209,6,209,1,1,2026-08-24T00:00:00.000
210,WT000210,382,Delta WarrantyTerm 210,7,210,1,1,2026-08-24T00:00:00.000
211,WT000211,172,Vertex WarrantyTerm 211,8,211,1,1,2026-08-24T00:00:00.000
212,WT000212,121,Liberty WarrantyTerm 212,9,212,1,1,2026-08-24T00:00:00.000
213,WT000213,19,Cedar WarrantyTerm 213,10,213,1,1,2026-08-24T00:00:00.000
214,WT000214,341,Quartz WarrantyTerm 214,11,214,1,1,2026-08-24T00:00:00.000
215,WT000215,19,Cedar WarrantyTerm 215,12,215,1,1,2026-08-24T00:00:00.000
216,WT000216,489,Northstar WarrantyTerm 216,1,216,1,1,2026-08-24T00:00:00.000
217,WT000217,419,Unity WarrantyTerm 217,2,217,1,1,2026-08-24T00:00:00.000
218,WT000218,49,Zenith WarrantyTerm 218,3,218,1,1,2026-08-24T00:00:00.000
219,WT000219,301,Zenith WarrantyTerm 219,4,219,1,1,2026-08-24T00:00:00.000
220,WT000220,355,Harbor WarrantyTerm 220,5,220,1,1,2026-08-24T00:00:00.000
221,WT000221,290,Beacon WarrantyTerm 221,6,221,1,1,2026-08-24T00:00:00.000
222,WT000222,134,Forge WarrantyTerm 222,7,222,1,1,2026-08-24T00:00:00.000
223,WT000223,485,Keystone WarrantyTerm 223,8,223,1,1,2026-08-24T00:00:00.000
224,WT000224,149,Meridian WarrantyTerm 224,9,224,1,1,2026-08-24T00:00:00.000
225,WT000225,9,Unity WarrantyTerm 225,10,225,1,1,2026-08-24T00:00:00.000
226,WT000226,499,Titan WarrantyTerm 226,11,226,1,1,2026-08-24T00:00:00.000
227,WT000227,144,Atlas WarrantyTerm 227,12,227,1,1,2026-08-24T00:00:00.000
228,WT000228,466,Unity WarrantyTerm 228,1,228,1,1,2026-08-24T00:00:00.000
229,WT000229,40,Granite WarrantyTerm 229,2,229,1,1,2026-08-24T00:00:00.000
230,WT000230,452,Unity WarrantyTerm 230,3,230,1,1,2026-08-24T00:00:00.000
231,WT000231,16,Titan WarrantyTerm 231,4,231,1,1,2026-08-24T00:00:00.000
232,WT000232,51,Vertex WarrantyTerm 232,5,232,1,1,2026-08-24T00:00:00.000
233,WT000233,180,Evergreen WarrantyTerm 233,6,233,1,1,2026-08-24T00:00:00.000
234,WT000234,181,Liberty WarrantyTerm 234,7,234,1,1,2026-08-24T00:00:00.000
235,WT000235,297,Beacon WarrantyTerm 235,8,235,1,1,2026-08-24T00:00:00.000
236,WT000236,35,Zenith WarrantyTerm 236,9,236,1,1,2026-08-24T00:00:00.000
237,WT000237,83,Northstar WarrantyTerm 237,10,237,1,1,2026-08-24T00:00:00.000
238,WT000238,467,Unity WarrantyTerm 238,11,238,1,1,2026-08-24T00:00:00.000
239,WT000239,193,Delta WarrantyTerm 239,12,239,1,1,2026-08-24T00:00:00.000
240,WT000240,139,Junction WarrantyTerm 240,1,240,1,1,2026-08-24T00:00:00.000
241,WT000241,488,Forge WarrantyTerm 241,2,241,1,1,2026-08-24T00:00:00.000
242,WT000242,306,Junction WarrantyTerm 242,3,242,1,1,2026-08-24T00:00:00.000
243,WT000243,447,Meridian WarrantyTerm 243,4,243,1,1,2026-08-24T00:00:00.000
244,WT000244,403,Northstar WarrantyTerm 244,5,244,1,1,2026-08-24T00:00:00.000
245,WT000245,278,Zenith WarrantyTerm 245,6,245,1,1,2026-08-24T00:00:00.000
246,WT000246,90,Keystone WarrantyTerm 246,7,246,1,1,2026-08-24T00:00:00.000
247,WT000247,41,Cedar WarrantyTerm 247,8,247,1,1,2026-08-24T00:00:00.000
248,WT000248,327,Evergreen WarrantyTerm 248,9,248,1,1,2026-08-24T00:00:00.000
249,WT000249,252,Beacon WarrantyTerm 249,10,249,1,1,2026-08-24T00:00:00.000
250,WT000250,341,Harbor WarrantyTerm 250,11,250,1,1,2026-08-24T00:00:00.000
251,WT000251,298,Liberty WarrantyTerm 251,12,251,1,1,2026-08-24T00:00:00.000
252,WT000252,302,Atlas WarrantyTerm 252,1,252,1,1,2026-08-24T00:00:00.000
253,WT000253,98,Atlas WarrantyTerm 253,2,253,1,1,2026-08-24T00:00:00.000
254,WT000254,423,Forge WarrantyTerm 254,3,254,1,1,2026-08-24T00:00:00.000
255,WT000255,109,Keystone WarrantyTerm 255,4,255,1,1,2026-08-24T00:00:00.000
256,WT000256,77,Riverton WarrantyTerm 256,5,256,1,1,2026-08-24T00:00:00.000
257,WT000257,120,Pioneer WarrantyTerm 257,6,257,1,1,2026-08-24T00:00:00.000
258,WT000258,397,Beacon WarrantyTerm 258,7,258,1,1,2026-08-24T00:00:00.000
259,WT000259,220,Willow WarrantyTerm 259,8,259,1,1,2026-08-24T00:00:00.000
260,WT000260,448,Ion WarrantyTerm 260,9,260,1,1,2026-08-24T00:00:00.000
261,WT000261,320,Meridian WarrantyTerm 261,10,261,1,1,2026-08-24T00:00:00.000
262,WT000262,328,Delta WarrantyTerm 262,11,262,1,1,2026-08-24T00:00:00.000
263,WT000263,445,Quartz WarrantyTerm 263,12,263,1,1,2026-08-24T00:00:00.000
264,WT000264,182,Granite WarrantyTerm 264,1,264,1,1,2026-08-24T00:00:00.000
265,WT000265,396,Vertex WarrantyTerm 265,2,265,1,1,2026-08-24T00:00:00.000
266,WT000266,143,Vertex WarrantyTerm 266,3,266,1,1,2026-08-24T00:00:00.000
267,WT000267,474,Granite WarrantyTerm 267,4,267,1,1,2026-08-24T00:00:00.000
268,WT000268,386,Vertex WarrantyTerm 268,5,268,1,1,2026-08-24T00:00:00.000
269,WT000269,208,Northstar WarrantyTerm 269,6,269,1,1,2026-08-24T00:00:00.000
270,WT000270,283,Harbor WarrantyTerm 270,7,270,1,1,2026-08-24T00:00:00.000
271,WT000271,240,Quartz WarrantyTerm 271,8,271,1,1,2026-08-24T00:00:00.000
272,WT000272,284,Beacon WarrantyTerm 272,9,272,1,1,2026-08-24T00:00:00.000
273,WT000273,464,Granite WarrantyTerm 273,10,273,1,1,2026-08-24T00:00:00.000
274,WT000274,88,Keystone WarrantyTerm 274,11,274,1,1,2026-08-24T00:00:00.000
275,WT000275,317,Forge WarrantyTerm 275,12,275,1,1,2026-08-24T00:00:00.000
276,WT000276,145,Junction WarrantyTerm 276,1,276,1,1,2026-08-24T00:00:00.000
277,WT000277,246,Pioneer WarrantyTerm 277,2,277,1,1,2026-08-24T00:00:00.000
278,WT000278,54,Unity WarrantyTerm 278,3,278,1,1,2026-08-24T00:00:00.000
279,WT000279,103,Granite WarrantyTerm 279,4,279,1,1,2026-08-24T00:00:00.000
280,WT000280,217,Riverton WarrantyTerm 280,5,280,1,1,2026-08-24T00:00:00.000
281,WT000281,229,Vertex WarrantyTerm 281,6,281,1,1,2026-08-24T00:00:00.000
282,WT000282,252,Granite WarrantyTerm 282,7,282,1,1,2026-08-24T00:00:00.000
283,WT000283,87,Harbor WarrantyTerm 283,8,283,1,1,2026-08-24T00:00:00.000
284,WT000284,280,Willow WarrantyTerm 284,9,284,1,1,2026-08-24T00:00:00.000
285,WT000285,324,Quartz WarrantyTerm 285,10,285,1,1,2026-08-24T00:00:00.000
286,WT000286,329,Zenith WarrantyTerm 286,11,286,1,1,2026-08-24T00:00:00.000
287,WT000287,411,Quartz WarrantyTerm 287,12,287,1,1,2026-08-24T00:00:00.000
288,WT000288,386,Meridian WarrantyTerm 288,1,288,1,1,2026-08-24T00:00:00.000
289,WT000289,463,Keystone WarrantyTerm 289,2,289,1,1,2026-08-24T00:00:00.000
290,WT000290,89,Forge WarrantyTerm 290,3,290,1,1,2026-08-24T00:00:00.000
291,WT000291,462,Granite WarrantyTerm 291,4,291,1,1,2026-08-24T00:00:00.000
292,WT000292,456,Northstar WarrantyTerm 292,5,292,1,1,2026-08-24T00:00:00.000
293,WT000293,355,Riverton WarrantyTerm 293,6,293,1,1,2026-08-24T00:00:00.000
294,WT000294,418,Meridian WarrantyTerm 294,7,294,1,1,2026-08-24T00:00:00.000
295,WT000295,273,Granite WarrantyTerm 295,8,295,1,1,2026-08-24T00:00:00.000
