EngineeringPartRevisionKey,PartRevisionNumber,ProductKey,EngineeringTeamKey,EngineeringLifecycleStatusKey,UnitOfMeasureKey,EngineeringPartRevisionName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
53,EPR000053,216,168,2,4,Liberty EngineeringPartRevision 53,EPR000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01af3448deaa55b6b81033392398364101af3448deaa55b6b810333923983641
54,EPR000054,306,193,3,3,Meridian EngineeringPartRevision 54,EPR000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a34f7f40aa952b4a5627b42864ff6a30a34f7f40aa952b4a5627b42864ff6a3
55,EPR000055,10,351,7,7,Orion EngineeringPartRevision 55,EPR000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9db46f51d9de584287c898dc84e030cb9db46f51d9de584287c898dc84e030cb
56,EPR000056,12,240,5,2,Harbor EngineeringPartRevision 56,EPR000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f93ad0b1cd85a7499c3b170265563265f93ad0b1cd85a7499c3b17026556326
57,EPR000057,68,6,3,6,Harbor EngineeringPartRevision 57,EPR000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32b49755b7375e72b6f01bfc64c904dc32b49755b7375e72b6f01bfc64c904dc
58,EPR000058,255,214,1,3,Vertex EngineeringPartRevision 58,EPR000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea8f42a36a2158e18215f23ca75702f8ea8f42a36a2158e18215f23ca75702f8
59,EPR000059,366,2,4,3,Meridian EngineeringPartRevision 59,EPR000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,944d9c1c766658828476e774e719e4a8944d9c1c766658828476e774e719e4a8
60,EPR000060,121,52,9,4,Evergreen EngineeringPartRevision 60,EPR000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b48c108002f56e98a3232beb06d87940b48c108002f56e98a3232beb06d8794
61,EPR000061,202,208,7,4,Summit EngineeringPartRevision 61,EPR000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9cb66a06a9e252178bf6518516c5335a9cb66a06a9e252178bf6518516c5335a
62,EPR000062,250,357,1,5,Unity EngineeringPartRevision 62,EPR000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29a485b5a61c57b2b99505289820802729a485b5a61c57b2b995052898208027
63,EPR000063,193,81,9,3,Atlas EngineeringPartRevision 63,EPR000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a611c9b22db856beaa68b1b64ae44425a611c9b22db856beaa68b1b64ae44425
64,EPR000064,398,272,9,5,Ion EngineeringPartRevision 64,EPR000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc1e84c038f852138bf50fef8e5f8001fc1e84c038f852138bf50fef8e5f8001
65,EPR000065,169,398,3,3,Junction EngineeringPartRevision 65,EPR000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1337e4880f0753abaf9d25ba06cc6bc41337e4880f0753abaf9d25ba06cc6bc4
66,EPR000066,341,127,1,7,Evergreen EngineeringPartRevision 66,EPR000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e1288488f5550a39b400bf27e1199dd5e1288488f5550a39b400bf27e1199dd
67,EPR000067,254,421,2,7,Pioneer EngineeringPartRevision 67,EPR000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fda35deb7e265823962fb50266f8da6ffda35deb7e265823962fb50266f8da6f
68,EPR000068,304,328,5,3,Granite EngineeringPartRevision 68,EPR000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acca23bb1eb850d3ac6d22b87000b97aacca23bb1eb850d3ac6d22b87000b97a
69,EPR000069,131,324,7,7,Delta EngineeringPartRevision 69,EPR000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d20d92aac25550ce829c4f777f60e3bcd20d92aac25550ce829c4f777f60e3bc
70,EPR000070,470,440,8,7,Summit EngineeringPartRevision 70,EPR000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc8c9aefbee756089e6c02dc96c515c7cc8c9aefbee756089e6c02dc96c515c7
71,EPR000071,123,198,9,7,Titan EngineeringPartRevision 71,EPR000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d88ba030792b51b8a73ab68b6516abe7d88ba030792b51b8a73ab68b6516abe7
72,EPR000072,195,281,3,1,Vertex EngineeringPartRevision 72,EPR000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b3ccfd3f503533d9e5a00d4a837fffb2b3ccfd3f503533d9e5a00d4a837fffb
73,EPR000073,479,310,1,6,Ion EngineeringPartRevision 73,EPR000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,000e2d48a8475caaa5fe326bf38cea6c000e2d48a8475caaa5fe326bf38cea6c
74,EPR000074,491,339,4,6,Evergreen EngineeringPartRevision 74,EPR000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cfc464b8c51581ca525ca17a738e30d6cfc464b8c51581ca525ca17a738e30d
75,EPR000075,14,168,7,3,Riverton EngineeringPartRevision 75,EPR000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45686e8982d05ee6a4de85bdb22a287c45686e8982d05ee6a4de85bdb22a287c
76,EPR000076,178,46,5,2,Beacon EngineeringPartRevision 76,EPR000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d1c2251118f5d76983906efd61dd7373d1c2251118f5d76983906efd61dd737
77,EPR000077,229,343,3,3,Willow EngineeringPartRevision 77,EPR000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,567c71d0fd815440a99ca0142662ceae567c71d0fd815440a99ca0142662ceae
78,EPR000078,371,188,3,1,Pioneer EngineeringPartRevision 78,EPR000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8986383d948579baccf8f5448e290b3f8986383d948579baccf8f5448e290b3
79,EPR000079,216,203,8,4,Forge EngineeringPartRevision 79,EPR000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a010d122e835bc2842871b5f206dd167a010d122e835bc2842871b5f206dd16
80,EPR000080,452,132,2,1,Keystone EngineeringPartRevision 80,EPR000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3f8a31e0cba527e89c4c31f7c3690e3c3f8a31e0cba527e89c4c31f7c3690e3
81,EPR000081,88,437,1,4,Titan EngineeringPartRevision 81,EPR000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39a7e1335a73518c87fba836f4ef5f7839a7e1335a73518c87fba836f4ef5f78
82,EPR000082,469,422,5,1,Northstar EngineeringPartRevision 82,EPR000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a841dc2f66b15ed8bcaa0cc22612232ea841dc2f66b15ed8bcaa0cc22612232e
83,EPR000083,56,420,1,6,Meridian EngineeringPartRevision 83,EPR000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d023554e19e35bc49412ae03fe063f80d023554e19e35bc49412ae03fe063f80
84,EPR000084,7,203,5,7,Atlas EngineeringPartRevision 84,EPR000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50c15e57473c5c46924d56faceccb12650c15e57473c5c46924d56faceccb126
85,EPR000085,120,267,4,2,Quartz EngineeringPartRevision 85,EPR000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d948e382d1d5603a547e48c63ffec573d948e382d1d5603a547e48c63ffec57
86,EPR000086,424,138,2,4,Delta EngineeringPartRevision 86,EPR000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb12bf5541f05272a2aa0eeb5e7b9304eb12bf5541f05272a2aa0eeb5e7b9304
87,EPR000087,430,181,3,1,Orion EngineeringPartRevision 87,EPR000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9cd9ce9793255c8bcb7f1a062ab804ac9cd9ce9793255c8bcb7f1a062ab804a
88,EPR000088,169,186,1,6,Cedar EngineeringPartRevision 88,EPR000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de1fadb4e47f54d285cbd1487494b26ade1fadb4e47f54d285cbd1487494b26a
89,EPR000089,2,118,10,7,Forge EngineeringPartRevision 89,EPR000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42096d9bc2845f98bf01ddd141123b3542096d9bc2845f98bf01ddd141123b35
90,EPR000090,356,192,4,6,Cedar EngineeringPartRevision 90,EPR000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85d20c84e43e5cb1b4a4f43777fa610d85d20c84e43e5cb1b4a4f43777fa610d
91,EPR000091,328,250,2,7,Delta EngineeringPartRevision 91,EPR000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ce948ada38058368912d54e68d593505ce948ada38058368912d54e68d59350
92,EPR000092,491,136,4,7,Granite EngineeringPartRevision 92,EPR000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5214edf43a735b3981453f60d2f3a38a5214edf43a735b3981453f60d2f3a38a
93,EPR000093,348,171,2,4,Harbor EngineeringPartRevision 93,EPR000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea30da49bd985b08895ed2264f600dcbea30da49bd985b08895ed2264f600dcb
94,EPR000094,387,82,8,3,Vertex EngineeringPartRevision 94,EPR000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e287532f92b561fb40a019e52df55516e287532f92b561fb40a019e52df5551
95,EPR000095,82,327,9,3,Pioneer EngineeringPartRevision 95,EPR000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ed3e0b4511d5d77aed8f591538f45815ed3e0b4511d5d77aed8f591538f4581
96,EPR000096,337,47,10,1,Forge EngineeringPartRevision 96,EPR000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e6a76bb8848594a9c3348f30e31c2925e6a76bb8848594a9c3348f30e31c292
97,EPR000097,66,166,4,4,Beacon EngineeringPartRevision 97,EPR000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25320d51e51f5a7e8599a097e35edeb825320d51e51f5a7e8599a097e35edeb8
