ProductionLotClassKey,ProductionLotClassCode,ProductionLotFamilyKey,ProductionLotClassName,SourceSystemKey,BatchId,LoadedAtUtc
80,PLC000080,5,Meridian ProductionLotClass 80,1,1,2026-08-24T00:00:00.000
81,PLC000081,1,Cedar ProductionLotClass 81,1,1,2026-08-24T00:00:00.000
82,PLC000082,17,Harbor ProductionLotClass 82,1,1,2026-08-24T00:00:00.000
83,PLC000083,14,Beacon ProductionLotClass 83,1,1,2026-08-24T00:00:00.000
84,PLC000084,17,Ion ProductionLotClass 84,1,1,2026-08-24T00:00:00.000
85,PLC000085,11,Titan ProductionLotClass 85,1,1,2026-08-24T00:00:00.000
86,PLC000086,11,Granite ProductionLotClass 86,1,1,2026-08-24T00:00:00.000
87,PLC000087,16,Pioneer ProductionLotClass 87,1,1,2026-08-24T00:00:00.000
88,PLC000088,11,Riverton ProductionLotClass 88,1,1,2026-08-24T00:00:00.000
89,PLC000089,9,Ion ProductionLotClass 89,1,1,2026-08-24T00:00:00.000
90,PLC000090,6,Northstar ProductionLotClass 90,1,1,2026-08-24T00:00:00.000
91,PLC000091,10,Summit ProductionLotClass 91,1,1,2026-08-24T00:00:00.000
92,PLC000092,18,Beacon ProductionLotClass 92,1,1,2026-08-24T00:00:00.000
93,PLC000093,15,Willow ProductionLotClass 93,1,1,2026-08-24T00:00:00.000
94,PLC000094,8,Forge ProductionLotClass 94,1,1,2026-08-24T00:00:00.000
95,PLC000095,11,Harbor ProductionLotClass 95,1,1,2026-08-24T00:00:00.000
96,PLC000096,6,Titan ProductionLotClass 96,1,1,2026-08-24T00:00:00.000
97,PLC000097,7,Granite ProductionLotClass 97,1,1,2026-08-24T00:00:00.000
98,PLC000098,16,Atlas ProductionLotClass 98,1,1,2026-08-24T00:00:00.000
99,PLC000099,5,Harbor ProductionLotClass 99,1,1,2026-08-24T00:00:00.000
100,PLC000100,7,Unity ProductionLotClass 100,1,1,2026-08-24T00:00:00.000
101,PLC000101,7,Evergreen ProductionLotClass 101,1,1,2026-08-24T00:00:00.000
102,PLC000102,11,Junction ProductionLotClass 102,1,1,2026-08-24T00:00:00.000
103,PLC000103,18,Pioneer ProductionLotClass 103,1,1,2026-08-24T00:00:00.000
104,PLC000104,10,Forge ProductionLotClass 104,1,1,2026-08-24T00:00:00.000
105,PLC000105,3,Beacon ProductionLotClass 105,1,1,2026-08-24T00:00:00.000
106,PLC000106,16,Keystone ProductionLotClass 106,1,1,2026-08-24T00:00:00.000
107,PLC000107,2,Liberty ProductionLotClass 107,1,1,2026-08-24T00:00:00.000
108,PLC000108,13,Meridian ProductionLotClass 108,1,1,2026-08-24T00:00:00.000
109,PLC000109,4,Junction ProductionLotClass 109,1,1,2026-08-24T00:00:00.000
110,PLC000110,16,Summit ProductionLotClass 110,1,1,2026-08-24T00:00:00.000
111,PLC000111,10,Evergreen ProductionLotClass 111,1,1,2026-08-24T00:00:00.000
112,PLC000112,2,Keystone ProductionLotClass 112,1,1,2026-08-24T00:00:00.000
113,PLC000113,18,Willow ProductionLotClass 113,1,1,2026-08-24T00:00:00.000
114,PLC000114,3,Delta ProductionLotClass 114,1,1,2026-08-24T00:00:00.000
115,PLC000115,2,Delta ProductionLotClass 115,1,1,2026-08-24T00:00:00.000
116,PLC000116,3,Keystone ProductionLotClass 116,1,1,2026-08-24T00:00:00.000
117,PLC000117,15,Junction ProductionLotClass 117,1,1,2026-08-24T00:00:00.000
118,PLC000118,2,Northstar ProductionLotClass 118,1,1,2026-08-24T00:00:00.000
119,PLC000119,18,Liberty ProductionLotClass 119,1,1,2026-08-24T00:00:00.000
120,PLC000120,3,Forge ProductionLotClass 120,1,1,2026-08-24T00:00:00.000
