QualityInspectionCharacteristicKey,InspectionCharacteristicCode,QualityCharacteristicTypeKey,UnitOfMeasureKey,QualityResultStatusKey,QualityInspectionCharacteristicName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
37,QIC000037,53,5,12,Evergreen QualityInspectionCharacteristic 37,QIC000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5241f1ca21ee5de590452502a955d1ed5241f1ca21ee5de590452502a955d1ed
38,QIC000038,115,4,4,Granite QualityInspectionCharacteristic 38,QIC000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f03e97b0a50b559f87cbab4b1451eef2f03e97b0a50b559f87cbab4b1451eef2
39,QIC000039,338,3,9,Junction QualityInspectionCharacteristic 39,QIC000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0636840f33f95ed3ae28036380cbdc150636840f33f95ed3ae28036380cbdc15
40,QIC000040,418,6,9,Zenith QualityInspectionCharacteristic 40,QIC000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34d3c5a31fdb5544b6d8bbbc750d2c7334d3c5a31fdb5544b6d8bbbc750d2c73
41,QIC000041,485,3,10,Beacon QualityInspectionCharacteristic 41,QIC000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b97c349f596500c85b1b563bf6eade14b97c349f596500c85b1b563bf6eade1
42,QIC000042,91,4,2,Vertex QualityInspectionCharacteristic 42,QIC000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,058ef2a000f0563a886bfe65bd9b2839058ef2a000f0563a886bfe65bd9b2839
43,QIC000043,367,4,4,Junction QualityInspectionCharacteristic 43,QIC000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,35ed23a14b6f5c77861ea77e0a75858235ed23a14b6f5c77861ea77e0a758582
44,QIC000044,305,3,3,Granite QualityInspectionCharacteristic 44,QIC000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,194bf5cc630c59af929e657f437c2f7d194bf5cc630c59af929e657f437c2f7d
45,QIC000045,216,2,9,Ion QualityInspectionCharacteristic 45,QIC000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c38479fab7d152c3abc071bf99200515c38479fab7d152c3abc071bf99200515
46,QIC000046,84,6,5,Junction QualityInspectionCharacteristic 46,QIC000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17bb84e9266e5a35a5aa7c816d3ca7c317bb84e9266e5a35a5aa7c816d3ca7c3
47,QIC000047,484,5,6,Pioneer QualityInspectionCharacteristic 47,QIC000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36d3534a46fd593aa3cf83b667406d7e36d3534a46fd593aa3cf83b667406d7e
48,QIC000048,24,3,7,Unity QualityInspectionCharacteristic 48,QIC000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,021ae6e122b15331bc6bd60678a0e1b6021ae6e122b15331bc6bd60678a0e1b6
49,QIC000049,450,1,3,Vertex QualityInspectionCharacteristic 49,QIC000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb1a3be4655358f49c822e1bfabec3c2cb1a3be4655358f49c822e1bfabec3c2
50,QIC000050,438,7,5,Meridian QualityInspectionCharacteristic 50,QIC000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,007a6c1bb2745f359c1b8c1103e8b5eb007a6c1bb2745f359c1b8c1103e8b5eb
51,QIC000051,55,1,3,Meridian QualityInspectionCharacteristic 51,QIC000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d42a5058ed54566ca37d5bf22e498465d42a5058ed54566ca37d5bf22e498465
52,QIC000052,372,7,1,Vertex QualityInspectionCharacteristic 52,QIC000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b666f38f4fb55c42a38d1bef5f695fbeb666f38f4fb55c42a38d1bef5f695fbe
53,QIC000053,482,1,6,Quartz QualityInspectionCharacteristic 53,QIC000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,297ea1820bac5e0d813c281aa0cf0b73297ea1820bac5e0d813c281aa0cf0b73
54,QIC000054,250,2,4,Unity QualityInspectionCharacteristic 54,QIC000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,405b3c2e4b7857e2804b83774fe930e6405b3c2e4b7857e2804b83774fe930e6
55,QIC000055,235,5,8,Meridian QualityInspectionCharacteristic 55,QIC000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a32769aaaf915888ae62835a1ac3a5cfa32769aaaf915888ae62835a1ac3a5cf
56,QIC000056,462,3,8,Delta QualityInspectionCharacteristic 56,QIC000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2020d0abf9853d28c1bb79c03693628d2020d0abf9853d28c1bb79c03693628
57,QIC000057,137,4,4,Orion QualityInspectionCharacteristic 57,QIC000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a6fca32c38e5c5b9c21209626a740486a6fca32c38e5c5b9c21209626a74048
58,QIC000058,473,2,4,Orion QualityInspectionCharacteristic 58,QIC000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04f00c52cf3352a2a3029d7d19282ad504f00c52cf3352a2a3029d7d19282ad5
59,QIC000059,355,3,3,Delta QualityInspectionCharacteristic 59,QIC000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b72f056ac0d55b1852da0c6c87891f71b72f056ac0d55b1852da0c6c87891f7
60,QIC000060,233,7,1,Quartz QualityInspectionCharacteristic 60,QIC000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f399cf7d4f353989d0a8d2d05c324345f399cf7d4f353989d0a8d2d05c32434
61,QIC000061,230,1,6,Meridian QualityInspectionCharacteristic 61,QIC000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f36e3460442a5aec9057512d3771b8e5f36e3460442a5aec9057512d3771b8e5
62,QIC000062,190,6,1,Delta QualityInspectionCharacteristic 62,QIC000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd867821910757e2a77366c62c179fecdd867821910757e2a77366c62c179fec
63,QIC000063,130,3,7,Granite QualityInspectionCharacteristic 63,QIC000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9dcc622c236527d81a9ad1ee08e2299b9dcc622c236527d81a9ad1ee08e2299
64,QIC000064,233,5,2,Unity QualityInspectionCharacteristic 64,QIC000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fc6fd05b991532c94b32e2e66dd6f892fc6fd05b991532c94b32e2e66dd6f89
65,QIC000065,426,6,11,Unity QualityInspectionCharacteristic 65,QIC000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6fb9dfc128d5c0b8ed39eecaeb0f72dd6fb9dfc128d5c0b8ed39eecaeb0f72d
66,QIC000066,231,2,9,Evergreen QualityInspectionCharacteristic 66,QIC000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10cd05e2ee1653139704606fc6bb89da10cd05e2ee1653139704606fc6bb89da
67,QIC000067,443,4,8,Summit QualityInspectionCharacteristic 67,QIC000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0887f5ec56f5c15bae252c13b8e5480f0887f5ec56f5c15bae252c13b8e5480
68,QIC000068,186,3,10,Titan QualityInspectionCharacteristic 68,QIC000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ba93f4b6d7754a1893da9d109c79b6e7ba93f4b6d7754a1893da9d109c79b6e
69,QIC000069,316,4,3,Northstar QualityInspectionCharacteristic 69,QIC000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,465faaf355ac57c2a1dab41a42f14eb0465faaf355ac57c2a1dab41a42f14eb0
70,QIC000070,125,5,3,Granite QualityInspectionCharacteristic 70,QIC000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,784c251ff1ae5adbb43f7911f88c66c7784c251ff1ae5adbb43f7911f88c66c7
71,QIC000071,308,6,12,Beacon QualityInspectionCharacteristic 71,QIC000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39f2c7b551265fa1befabec044619eff39f2c7b551265fa1befabec044619eff
72,QIC000072,155,1,10,Harbor QualityInspectionCharacteristic 72,QIC000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd13e35cef3952b98a7b53a052c45f89cd13e35cef3952b98a7b53a052c45f89
73,QIC000073,387,5,6,Evergreen QualityInspectionCharacteristic 73,QIC000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8b4dfc3b1df5d888c330df89b17ea9ad8b4dfc3b1df5d888c330df89b17ea9a
74,QIC000074,164,1,5,Pioneer QualityInspectionCharacteristic 74,QIC000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,051d1c54a3445856b6ca75370085bea6051d1c54a3445856b6ca75370085bea6
75,QIC000075,486,1,8,Titan QualityInspectionCharacteristic 75,QIC000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b2db968186c5df3ba7759f10e4b9a911b2db968186c5df3ba7759f10e4b9a91
76,QIC000076,497,6,12,Cedar QualityInspectionCharacteristic 76,QIC000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b56eda6c49885f63a8039a1dfc4ce552b56eda6c49885f63a8039a1dfc4ce552
77,QIC000077,388,3,9,Pioneer QualityInspectionCharacteristic 77,QIC000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc100b7533945673b357e1c454ae387acc100b7533945673b357e1c454ae387a
78,QIC000078,26,2,1,Orion QualityInspectionCharacteristic 78,QIC000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69384664fb0652b89460efc8284d15b069384664fb0652b89460efc8284d15b0
79,QIC000079,489,4,1,Ion QualityInspectionCharacteristic 79,QIC000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a22126168dbe533b8f8ea8d0a901955ba22126168dbe533b8f8ea8d0a901955b
80,QIC000080,27,7,9,Liberty QualityInspectionCharacteristic 80,QIC000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4936ae7193455e5892de2c325a4f21424936ae7193455e5892de2c325a4f2142
81,QIC000081,314,7,12,Vertex QualityInspectionCharacteristic 81,QIC000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a13c60e53be5d639957727cf7a187975a13c60e53be5d639957727cf7a18797
82,QIC000082,322,5,7,Vertex QualityInspectionCharacteristic 82,QIC000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2821bf79ef3053cdbdf168e1c8215efb2821bf79ef3053cdbdf168e1c8215efb
83,QIC000083,86,6,7,Riverton QualityInspectionCharacteristic 83,QIC000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0f93b4399355f7ebfa6efd0fe167d19d0f93b4399355f7ebfa6efd0fe167d19
84,QIC000084,475,2,8,Granite QualityInspectionCharacteristic 84,QIC000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6a865f6528d5f4fa975250568cd646ec6a865f6528d5f4fa975250568cd646e
85,QIC000085,300,2,12,Ion QualityInspectionCharacteristic 85,QIC000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51fbd3f8b8dc50ef97972073f0959d7b51fbd3f8b8dc50ef97972073f0959d7b
86,QIC000086,165,2,4,Beacon QualityInspectionCharacteristic 86,QIC000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c550f93f575c59fa896d04f98142e423c550f93f575c59fa896d04f98142e423
87,QIC000087,91,5,10,Vertex QualityInspectionCharacteristic 87,QIC000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c139ca0ff1d85e5cbd983be6cdb748dac139ca0ff1d85e5cbd983be6cdb748da
88,QIC000088,261,2,1,Zenith QualityInspectionCharacteristic 88,QIC000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cd559711ba156b7b81bf0e6be3f283a3cd559711ba156b7b81bf0e6be3f283a
89,QIC000089,81,5,7,Titan QualityInspectionCharacteristic 89,QIC000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b90d13fcbc7256f68f910941098b0f65b90d13fcbc7256f68f910941098b0f65
90,QIC000090,320,3,4,Pioneer QualityInspectionCharacteristic 90,QIC000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,938c89b5a73c500892f900d86278ce50938c89b5a73c500892f900d86278ce50
91,QIC000091,11,7,12,Willow QualityInspectionCharacteristic 91,QIC000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3ecf73369e35661b406e73995031d56c3ecf73369e35661b406e73995031d56
92,QIC000092,44,5,9,Quartz QualityInspectionCharacteristic 92,QIC000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbb867b28cf65e18bc4eb289996ae187cbb867b28cf65e18bc4eb289996ae187
93,QIC000093,80,5,1,Titan QualityInspectionCharacteristic 93,QIC000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92dd5ad41f7d5adebda2d57760e395bb92dd5ad41f7d5adebda2d57760e395bb
94,QIC000094,167,4,3,Atlas QualityInspectionCharacteristic 94,QIC000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c60fcb623735437942cae606ae41b8b7c60fcb623735437942cae606ae41b8b
95,QIC000095,371,1,2,Summit QualityInspectionCharacteristic 95,QIC000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57b570a1c8c950508077a3e22c360c8357b570a1c8c950508077a3e22c360c83
96,QIC000096,26,1,3,Quartz QualityInspectionCharacteristic 96,QIC000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdfdb05668495241947a9d7498d777e2cdfdb05668495241947a9d7498d777e2
