QualityNonConformanceKey,NonConformanceNumber,ProductKey,PlantKey,QualityDefectCodeKey,QualityDefectSeverityKey,SeverityKey,QualityResultStatusKey,QualityNonConformanceName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,QNC000011,447,92,120,12,1,1,Summit QualityNonConformance 11,QNC000011,1,25.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4e0277a43d554a1bf26dbe287e52f5ca4e0277a43d554a1bf26dbe287e52f5c
12,QNC000012,244,136,229,3,3,6,Liberty QualityNonConformance 12,QNC000012,1,26.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4996eafe4ff541ca1cb9f3076210d8fb4996eafe4ff541ca1cb9f3076210d8f
13,QNC000013,458,255,400,2,2,11,Delta QualityNonConformance 13,QNC000013,1,27.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,830fcbc0c617522bb66ae53a916de1a7830fcbc0c617522bb66ae53a916de1a7
14,QNC000014,153,199,414,8,4,12,Beacon QualityNonConformance 14,QNC000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32675eea000150caae9d577864d2118b32675eea000150caae9d577864d2118b
15,QNC000015,73,201,309,12,1,3,Meridian QualityNonConformance 15,QNC000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a18a32bbd9a560abf2ac55d02e010b73a18a32bbd9a560abf2ac55d02e010b7
16,QNC000016,355,338,197,5,2,1,Liberty QualityNonConformance 16,QNC000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a4e89536fde585488d5b709923539d73a4e89536fde585488d5b709923539d7
17,QNC000017,-1,328,275,9,2,6,Granite QualityNonConformance 17,QNC000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e582a5671435c96bdeecba6e2d52e277e582a5671435c96bdeecba6e2d52e27
18,QNC000018,135,19,114,10,4,5,Riverton QualityNonConformance 18,QNC000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e4109d04d7d5ff4b9c3ce00dfbe2d9f4e4109d04d7d5ff4b9c3ce00dfbe2d9f
19,QNC000019,243,197,225,1,2,2,Beacon QualityNonConformance 19,QNC000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0353e31a64f65f94a0941ae7af2694990353e31a64f65f94a0941ae7af269499
20,QNC000020,178,183,344,2,4,1,Unity QualityNonConformance 20,QNC000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4293e1cfeb05546eaa743413109280964293e1cfeb05546eaa74341310928096
21,QNC000021,34,121,483,9,3,1,Vertex QualityNonConformance 21,QNC000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e45d7a7b4f15402940b5c325d9933b63e45d7a7b4f15402940b5c325d9933b6
22,QNC000022,283,301,436,11,3,4,Vertex QualityNonConformance 22,QNC000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abe79ae56a4153038739588e5e27903dabe79ae56a4153038739588e5e27903d
23,QNC000023,136,313,487,2,3,9,Ion QualityNonConformance 23,QNC000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c9cfb55540a59de8058da1c323cf3704c9cfb55540a59de8058da1c323cf370
24,QNC000024,11,213,356,8,2,7,Meridian QualityNonConformance 24,QNC000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c4d89d79165576cba24c1126588c8495c4d89d79165576cba24c1126588c849
25,QNC000025,5,165,80,4,2,12,Evergreen QualityNonConformance 25,QNC000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa18cf45b30f5262ab751fdba7c4b3f7aa18cf45b30f5262ab751fdba7c4b3f7
26,QNC000026,354,227,48,9,5,10,Unity QualityNonConformance 26,QNC000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6f2fd21b312587cbe7ae461bd4f3affb6f2fd21b312587cbe7ae461bd4f3aff
27,QNC000027,217,250,273,3,1,3,Atlas QualityNonConformance 27,QNC000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42aba3166e2051aa939fcf1a06f6b5ce42aba3166e2051aa939fcf1a06f6b5ce
28,QNC000028,341,67,47,4,1,9,Cedar QualityNonConformance 28,QNC000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67dbd42990fb5441b5911dd2732e72ff67dbd42990fb5441b5911dd2732e72ff
29,QNC000029,265,106,74,6,1,8,Ion QualityNonConformance 29,QNC000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70211417886456b19f9051232df8118f70211417886456b19f9051232df8118f
30,QNC000030,3,190,7,3,1,1,Northstar QualityNonConformance 30,QNC000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52d63be7efbc52a0a4cd0ce2d83453e852d63be7efbc52a0a4cd0ce2d83453e8
31,QNC000031,347,302,484,2,5,9,Unity QualityNonConformance 31,QNC000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2ce4e7722ec53c2913f3737a60774bbc2ce4e7722ec53c2913f3737a60774bb
32,QNC000032,252,315,433,10,5,3,Ion QualityNonConformance 32,QNC000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,968f2e26752858989c450fb1bd55b3b6968f2e26752858989c450fb1bd55b3b6
33,QNC000033,208,204,420,4,2,6,Orion QualityNonConformance 33,QNC000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,438e0a5d86555720865b0cae6753722f438e0a5d86555720865b0cae6753722f
34,QNC000034,-1,69,27,8,4,3,Orion QualityNonConformance 34,QNC000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47a9146c8738529fbe60bf30398055f047a9146c8738529fbe60bf30398055f0
35,QNC000035,312,216,146,12,3,8,Keystone QualityNonConformance 35,QNC000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0666433974d55078a2dfa5e63fe2b6470666433974d55078a2dfa5e63fe2b647
36,QNC000036,490,342,497,10,2,2,Beacon QualityNonConformance 36,QNC000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13d1b09d0c71559483d2042108657dec13d1b09d0c71559483d2042108657dec
37,QNC000037,85,294,144,10,1,6,Cedar QualityNonConformance 37,QNC000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,114165f3888359ccaddafb3af44ac454114165f3888359ccaddafb3af44ac454
38,QNC000038,432,117,396,3,3,9,Atlas QualityNonConformance 38,QNC000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,054a53dab966546a9df6a65f5c2751c7054a53dab966546a9df6a65f5c2751c7
39,QNC000039,13,26,196,9,2,11,Keystone QualityNonConformance 39,QNC000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,603c3cb020d25105a4f25aa83273a026603c3cb020d25105a4f25aa83273a026
40,QNC000040,375,322,227,8,1,3,Granite QualityNonConformance 40,QNC000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,282c18a7cf0a5560badfbf72e98a9a76282c18a7cf0a5560badfbf72e98a9a76
41,QNC000041,59,91,196,7,2,4,Riverton QualityNonConformance 41,QNC000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5976e923b8a6572096cec3926fa3a4fb5976e923b8a6572096cec3926fa3a4fb
42,QNC000042,213,225,144,5,3,12,Vertex QualityNonConformance 42,QNC000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7baea9bf88c352daa104c786461a67bb7baea9bf88c352daa104c786461a67bb
43,QNC000043,282,88,494,9,3,9,Meridian QualityNonConformance 43,QNC000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f5f281a63a357de86d955db5a4fbed25f5f281a63a357de86d955db5a4fbed2
44,QNC000044,380,301,243,8,4,11,Riverton QualityNonConformance 44,QNC000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ed55ec207fb567dbc0fb689b6fce8e44ed55ec207fb567dbc0fb689b6fce8e4
45,QNC000045,215,46,108,6,5,12,Forge QualityNonConformance 45,QNC000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bc3e9256a855d55a9e529d4e25cabc94bc3e9256a855d55a9e529d4e25cabc9
46,QNC000046,107,56,243,10,5,5,Beacon QualityNonConformance 46,QNC000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ae8607885c15408842a2b2ae8b017e27ae8607885c15408842a2b2ae8b017e2
47,QNC000047,49,115,369,5,4,8,Orion QualityNonConformance 47,QNC000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dc3a8dfb6c25b77b1f7d2b1740b34d40dc3a8dfb6c25b77b1f7d2b1740b34d4
48,QNC000048,213,115,196,9,3,10,Vertex QualityNonConformance 48,QNC000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,892283f9c2f35e8ebc6709cda3bd9666892283f9c2f35e8ebc6709cda3bd9666
49,QNC000049,324,257,67,5,2,12,Evergreen QualityNonConformance 49,QNC000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3728408ac56c5e659b125041eb463a673728408ac56c5e659b125041eb463a67
50,QNC000050,169,16,384,6,4,8,Forge QualityNonConformance 50,QNC000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ef4c2b212f652a1bb257a5393024f3a4ef4c2b212f652a1bb257a5393024f3a
51,QNC000051,-1,184,160,4,2,4,Unity QualityNonConformance 51,QNC000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9e8b6480aaf5d798407f801143b56cea9e8b6480aaf5d798407f801143b56ce
52,QNC000052,7,260,464,5,5,9,Unity QualityNonConformance 52,QNC000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8cd58c19e0e539e84cb5fd9a55ccc9cf8cd58c19e0e539e84cb5fd9a55ccc9c
53,QNC000053,287,15,199,11,2,4,Keystone QualityNonConformance 53,QNC000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34df5754ffdf5ef295c250cba2017b9134df5754ffdf5ef295c250cba2017b91
54,QNC000054,124,150,291,7,1,2,Evergreen QualityNonConformance 54,QNC000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,064121e4483c574fbb030c6b02268682064121e4483c574fbb030c6b02268682
55,QNC000055,162,270,205,6,4,5,Titan QualityNonConformance 55,QNC000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adafdf732fab5302a3f3fe43307a7df1adafdf732fab5302a3f3fe43307a7df1
56,QNC000056,266,20,472,11,3,7,Granite QualityNonConformance 56,QNC000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db2cd84a9dce57d2a6f2951657dc2697db2cd84a9dce57d2a6f2951657dc2697
57,QNC000057,292,275,286,7,1,3,Evergreen QualityNonConformance 57,QNC000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,902df679184658ec8c35b8ea4a51486f902df679184658ec8c35b8ea4a51486f
58,QNC000058,27,279,117,1,3,11,Harbor QualityNonConformance 58,QNC000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c16fb73e65d5048a1730479c99cff409c16fb73e65d5048a1730479c99cff40
59,QNC000059,429,141,475,6,4,11,Forge QualityNonConformance 59,QNC000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c55b9dffdaa50cab9b38c200ac2d6a78c55b9dffdaa50cab9b38c200ac2d6a7
60,QNC000060,304,184,84,8,5,8,Unity QualityNonConformance 60,QNC000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c837d24a6c5b5e2f9b92ed6e1902d479c837d24a6c5b5e2f9b92ed6e1902d479
61,QNC000061,306,69,370,12,5,4,Keystone QualityNonConformance 61,QNC000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3548d8dde1b05c428cc96c36813c02b33548d8dde1b05c428cc96c36813c02b3
62,QNC000062,87,292,452,11,4,3,Keystone QualityNonConformance 62,QNC000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80920f740bb35da6b2b8bdabd00d35fe80920f740bb35da6b2b8bdabd00d35fe
63,QNC000063,120,37,145,9,3,7,Granite QualityNonConformance 63,QNC000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb2b63aa321c56d48611bed2dcb74f86eb2b63aa321c56d48611bed2dcb74f86
64,QNC000064,12,78,445,7,1,7,Summit QualityNonConformance 64,QNC000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19ec40d7b8855367830109600009f27319ec40d7b8855367830109600009f273
65,QNC000065,146,273,262,7,5,4,Liberty QualityNonConformance 65,QNC000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb73d03c8a185a5aa7542ddafdde1557eb73d03c8a185a5aa7542ddafdde1557
66,QNC000066,363,33,265,6,5,6,Cedar QualityNonConformance 66,QNC000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff07e60f74a05292828d7b11db59f795ff07e60f74a05292828d7b11db59f795
67,QNC000067,1,48,334,7,2,10,Beacon QualityNonConformance 67,QNC000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6e3c23843925a6d8de76374cafa9a5fc6e3c23843925a6d8de76374cafa9a5f
68,QNC000068,-1,178,488,8,1,12,Northstar QualityNonConformance 68,QNC000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae30171f6dab5b6d84120fca43bfefbfae30171f6dab5b6d84120fca43bfefbf
69,QNC000069,353,108,391,4,2,7,Orion QualityNonConformance 69,QNC000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e1ced44f8d65da4a79c20415d7edf094e1ced44f8d65da4a79c20415d7edf09
70,QNC000070,263,318,404,5,4,5,Quartz QualityNonConformance 70,QNC000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5211148c44ca592c92b59ebef690232b5211148c44ca592c92b59ebef690232b
71,QNC000071,207,77,412,1,5,5,Vertex QualityNonConformance 71,QNC000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ef224ef545e5e7c9dab1d5a46dcbd285ef224ef545e5e7c9dab1d5a46dcbd28
72,QNC000072,353,62,469,8,2,1,Granite QualityNonConformance 72,QNC000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ca26dee86c05ac58ce007be64a851814ca26dee86c05ac58ce007be64a85181
73,QNC000073,347,30,86,3,2,1,Unity QualityNonConformance 73,QNC000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,123cbbf431d959e5b688d2ae88290404123cbbf431d959e5b688d2ae88290404
74,QNC000074,40,55,110,7,4,1,Forge QualityNonConformance 74,QNC000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,754c43cf3bfd57d88db0db08e22f1f5d754c43cf3bfd57d88db0db08e22f1f5d
75,QNC000075,247,307,217,8,1,12,Harbor QualityNonConformance 75,QNC000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3964f2362abb51969d27a72f99da36843964f2362abb51969d27a72f99da3684
76,QNC000076,217,241,432,5,5,6,Northstar QualityNonConformance 76,QNC000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4403e6b3de395416adf5f84656ef81d04403e6b3de395416adf5f84656ef81d0
77,QNC000077,208,114,173,3,5,8,Titan QualityNonConformance 77,QNC000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e772b19b78250968e746b31363fc8dc8e772b19b78250968e746b31363fc8dc
78,QNC000078,192,103,144,8,2,6,Unity QualityNonConformance 78,QNC000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0116593a0bd57bf8ad35ec7fb607ce0f0116593a0bd57bf8ad35ec7fb607ce0
79,QNC000079,83,213,43,12,5,9,Keystone QualityNonConformance 79,QNC000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e23e469ce1fd5efea361fc7c0d17a704e23e469ce1fd5efea361fc7c0d17a704
80,QNC000080,211,202,424,5,3,5,Vertex QualityNonConformance 80,QNC000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9beda46f65450938d0192ae61d4d197b9beda46f65450938d0192ae61d4d197
81,QNC000081,56,182,121,3,3,8,Granite QualityNonConformance 81,QNC000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,127c65a364215d45b98afc3857cec9e2127c65a364215d45b98afc3857cec9e2
82,QNC000082,390,150,284,12,2,6,Pioneer QualityNonConformance 82,QNC000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7087755699a50b59a6976b515a5e78ce7087755699a50b59a6976b515a5e78c
83,QNC000083,102,197,320,5,2,9,Pioneer QualityNonConformance 83,QNC000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65f8f2a121615788b77425a5c298da7665f8f2a121615788b77425a5c298da76
84,QNC000084,215,223,400,12,2,2,Orion QualityNonConformance 84,QNC000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba50b383a9c05895a6b07ec34ed604b1ba50b383a9c05895a6b07ec34ed604b1
85,QNC000085,-1,324,126,8,1,8,Granite QualityNonConformance 85,QNC000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8669afa3ba2f538bb069270f27bc068e8669afa3ba2f538bb069270f27bc068e
86,QNC000086,476,196,210,11,4,3,Pioneer QualityNonConformance 86,QNC000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9376042fa43e557aac0edb7e2afe73b09376042fa43e557aac0edb7e2afe73b0
87,QNC000087,443,168,480,6,2,5,Orion QualityNonConformance 87,QNC000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55115ec6c9595c3aa6e24e87ebc2698055115ec6c9595c3aa6e24e87ebc26980
88,QNC000088,81,215,187,7,5,10,Cedar QualityNonConformance 88,QNC000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9f508a2dab415cb987dc5598dab156b19f508a2dab415cb987dc5598dab156b1
89,QNC000089,308,165,111,10,3,12,Granite QualityNonConformance 89,QNC000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0392a4905b775791afe1e8ee5d1b05e50392a4905b775791afe1e8ee5d1b05e5
90,QNC000090,385,143,295,11,4,11,Zenith QualityNonConformance 90,QNC000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,911c1bcc37385296a69b061126cdd0d5911c1bcc37385296a69b061126cdd0d5
91,QNC000091,41,117,426,2,1,8,Junction QualityNonConformance 91,QNC000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,925861c795e85da6b323f960bd979600925861c795e85da6b323f960bd979600
92,QNC000092,309,24,15,11,3,10,Harbor QualityNonConformance 92,QNC000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7870eebbe6b5514ca891fd645af4d45b7870eebbe6b5514ca891fd645af4d45b
93,QNC000093,21,180,167,2,2,4,Willow QualityNonConformance 93,QNC000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d37634a2a15a590782fdec54f428bdcfd37634a2a15a590782fdec54f428bdcf
94,QNC000094,496,344,430,2,2,7,Northstar QualityNonConformance 94,QNC000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,724960069a4c5cda9219533018523e57724960069a4c5cda9219533018523e57
95,QNC000095,262,93,144,9,2,3,Quartz QualityNonConformance 95,QNC000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6fb548b6cbe5502a8e211caf6441a91d6fb548b6cbe5502a8e211caf6441a91
96,QNC000096,280,157,278,5,4,1,Keystone QualityNonConformance 96,QNC000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71eba45547525c548e6ca1d55dc92c4571eba45547525c548e6ca1d55dc92c45
