FinanceProductCostVersionKey,ProductCostVersionCode,ProductKey,PlantKey,FinanceCostComponentDetailKey,FinanceCostingMethodKey,CurrencyKey,CostVersionName,EffectiveDate,ExpirationDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
26,FPCV000026,177,83,7,8,4,Titan FinanceProductCostVersion 26,2020-01-27,2020-01-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,984df4207a7d5428bc8cb2fa2928f90f984df4207a7d5428bc8cb2fa2928f90f
27,FPCV000027,289,87,449,8,2,Meridian FinanceProductCostVersion 27,2020-01-28,2020-01-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e99d240a70775d158f4f88cacc486feee99d240a70775d158f4f88cacc486fee
28,FPCV000028,371,69,30,7,1,Summit FinanceProductCostVersion 28,2020-01-29,2020-01-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76579ff85e4953868162336d84dab2d876579ff85e4953868162336d84dab2d8
29,FPCV000029,430,251,260,2,5,Summit FinanceProductCostVersion 29,2020-01-30,2020-01-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c06fe817e8115f1ca9be732b6ef89150c06fe817e8115f1ca9be732b6ef89150
30,FPCV000030,462,83,178,4,1,Summit FinanceProductCostVersion 30,2020-01-31,2020-01-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ff9f5e4ea605223a506ba1184e44a944ff9f5e4ea605223a506ba1184e44a94
31,FPCV000031,104,330,310,4,3,Summit FinanceProductCostVersion 31,2020-02-01,2020-02-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4c22ec954175e02a18e7a934b0823fad4c22ec954175e02a18e7a934b0823fa
32,FPCV000032,106,150,447,5,3,Quartz FinanceProductCostVersion 32,2020-02-02,2020-02-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c54c4b52a2245042b51b07cf7997775bc54c4b52a2245042b51b07cf7997775b
33,FPCV000033,487,333,259,5,1,Riverton FinanceProductCostVersion 33,2020-02-03,2020-02-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8ce0ae3f31051f8a20722ae2cdf7a37a8ce0ae3f31051f8a20722ae2cdf7a37
34,FPCV000034,232,348,363,6,2,Evergreen FinanceProductCostVersion 34,2020-02-04,2020-02-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2f454f6d64155d0aa8a412c37546934a2f454f6d64155d0aa8a412c37546934
35,FPCV000035,167,340,419,7,5,Beacon FinanceProductCostVersion 35,2020-02-05,2020-02-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a619791108845430ba02cd3c28018405a619791108845430ba02cd3c28018405
36,FPCV000036,283,311,346,8,2,Granite FinanceProductCostVersion 36,2020-02-06,2020-02-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b7d2637b3765cb1803a41613e6df9609b7d2637b3765cb1803a41613e6df960
37,FPCV000037,261,87,424,4,2,Riverton FinanceProductCostVersion 37,2020-02-07,2020-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,369e126dcdd45dd1991f2e27444cbf4c369e126dcdd45dd1991f2e27444cbf4c
38,FPCV000038,135,46,154,6,4,Evergreen FinanceProductCostVersion 38,2020-02-08,2020-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e27d580ffedc507b86fdc1b47182da71e27d580ffedc507b86fdc1b47182da71
39,FPCV000039,459,227,134,2,2,Junction FinanceProductCostVersion 39,2020-02-09,2020-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fd5959b2b4d54949e55c5d6681bd9c73fd5959b2b4d54949e55c5d6681bd9c7
40,FPCV000040,96,152,327,2,2,Pioneer FinanceProductCostVersion 40,2020-02-10,2020-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f08e8a33e84525aa8830e2eaccaff352f08e8a33e84525aa8830e2eaccaff35
41,FPCV000041,278,329,312,2,5,Keystone FinanceProductCostVersion 41,2020-02-11,2020-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b29a0de2182e5abb8de280c737fcb9f2b29a0de2182e5abb8de280c737fcb9f2
42,FPCV000042,245,336,165,5,5,Ion FinanceProductCostVersion 42,2020-02-12,2020-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b8492f8346c597d99e7788783533a4f8b8492f8346c597d99e7788783533a4f
43,FPCV000043,26,247,70,6,3,Summit FinanceProductCostVersion 43,2020-02-13,2020-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5db17aea273252d0afba4a0e86c046765db17aea273252d0afba4a0e86c04676
44,FPCV000044,237,334,53,1,1,Riverton FinanceProductCostVersion 44,2020-02-14,2020-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aba39af2939b588aa67a3655380ebdd0aba39af2939b588aa67a3655380ebdd0
45,FPCV000045,115,179,452,8,4,Harbor FinanceProductCostVersion 45,2020-02-15,2020-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b82a3bbc2ff5f64b07b89905dc319f04b82a3bbc2ff5f64b07b89905dc319f0
46,FPCV000046,238,139,142,7,5,Beacon FinanceProductCostVersion 46,2020-02-16,2020-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,201fc9f3bb205112a6390fe6b911216c201fc9f3bb205112a6390fe6b911216c
47,FPCV000047,418,23,479,7,5,Quartz FinanceProductCostVersion 47,2020-02-17,2020-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f56b121569153fc846ceec1f4fdf5066f56b121569153fc846ceec1f4fdf506
48,FPCV000048,300,319,334,6,5,Harbor FinanceProductCostVersion 48,2020-02-18,2020-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,120211be93a65a108b1542ffc4ed494f120211be93a65a108b1542ffc4ed494f
49,FPCV000049,4,155,43,7,1,Zenith FinanceProductCostVersion 49,2020-02-19,2020-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,232360d53d3d561d801201bd543ea56c232360d53d3d561d801201bd543ea56c
50,FPCV000050,25,222,389,6,1,Vertex FinanceProductCostVersion 50,2020-02-20,2020-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b9e9add4b885b32be38479a4d970a1b9b9e9add4b885b32be38479a4d970a1b
51,FPCV000051,473,254,229,3,3,Titan FinanceProductCostVersion 51,2020-02-21,2020-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,124b02cf49f4540484b7e8254154a62d124b02cf49f4540484b7e8254154a62d
52,FPCV000052,99,260,119,8,2,Northstar FinanceProductCostVersion 52,2020-02-22,2020-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6356b8b348d75f43b204fcc4817cce306356b8b348d75f43b204fcc4817cce30
53,FPCV000053,435,308,331,5,4,Vertex FinanceProductCostVersion 53,2020-02-23,2020-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8576e246ea795176afc85b9da5dc32328576e246ea795176afc85b9da5dc3232
54,FPCV000054,29,200,383,2,1,Orion FinanceProductCostVersion 54,2020-02-24,2020-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4ccfb9a5ba05fe8bff4fca745bd4db6d4ccfb9a5ba05fe8bff4fca745bd4db6
55,FPCV000055,435,300,192,6,1,Northstar FinanceProductCostVersion 55,2020-02-25,2020-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d3b46129f48584597a658364880fd299d3b46129f48584597a658364880fd29
56,FPCV000056,391,158,268,7,4,Forge FinanceProductCostVersion 56,2020-02-26,2020-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d91002c85f75ff199b6f1837605fa6f5d91002c85f75ff199b6f1837605fa6f
57,FPCV000057,31,340,265,3,3,Keystone FinanceProductCostVersion 57,2020-02-27,2020-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce233774a71f5515ac3e048bda5dbf92ce233774a71f5515ac3e048bda5dbf92
58,FPCV000058,257,259,368,8,3,Orion FinanceProductCostVersion 58,2020-02-28,2020-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee24af0ebc2b5ce39b805bd1c8dd2e71ee24af0ebc2b5ce39b805bd1c8dd2e71
59,FPCV000059,215,105,215,3,2,Orion FinanceProductCostVersion 59,2020-02-29,2020-02-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,daaa2c5872b65194b3e9d247bdbc2d95daaa2c5872b65194b3e9d247bdbc2d95
60,FPCV000060,442,281,314,2,2,Harbor FinanceProductCostVersion 60,2020-03-01,2020-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5eed0909728454159df22b5ec834c1495eed0909728454159df22b5ec834c149
61,FPCV000061,372,257,345,3,4,Riverton FinanceProductCostVersion 61,2020-03-02,2020-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29e1e28225bd5877bd83939f819034a129e1e28225bd5877bd83939f819034a1
62,FPCV000062,267,102,121,5,3,Ion FinanceProductCostVersion 62,2020-03-03,2020-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c62796baf352591dba3b227b11165e7cc62796baf352591dba3b227b11165e7c
63,FPCV000063,485,170,437,3,5,Harbor FinanceProductCostVersion 63,2020-03-04,2020-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eeecb721a1405a8eac6518ccaa933344eeecb721a1405a8eac6518ccaa933344
64,FPCV000064,265,90,159,7,5,Titan FinanceProductCostVersion 64,2020-03-05,2020-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0fa3a44258558909c5156e43a66f8f9f0fa3a44258558909c5156e43a66f8f9
65,FPCV000065,482,273,144,6,2,Junction FinanceProductCostVersion 65,2020-03-06,2020-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,886328b1e2da5120b8663bd4e67efc49886328b1e2da5120b8663bd4e67efc49
66,FPCV000066,278,342,370,1,3,Delta FinanceProductCostVersion 66,2020-03-07,2020-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e8d5e89344d51cf824eedb2721d39648e8d5e89344d51cf824eedb2721d3964
67,FPCV000067,374,348,238,6,4,Northstar FinanceProductCostVersion 67,2020-03-08,2020-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e8953132986570cb6895c3e711ab8338e8953132986570cb6895c3e711ab833
68,FPCV000068,448,93,428,8,1,Summit FinanceProductCostVersion 68,2020-03-09,2020-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,62a7f161f85a5e2294a5f8c94cbcbd3362a7f161f85a5e2294a5f8c94cbcbd33
69,FPCV000069,352,65,131,3,3,Quartz FinanceProductCostVersion 69,2020-03-10,2020-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9683cb830eeb59c89317659dd1910e699683cb830eeb59c89317659dd1910e69
70,FPCV000070,33,250,244,3,2,Beacon FinanceProductCostVersion 70,2020-03-11,2020-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f89ba7419a65ee0ba6d02e161be1ae11f89ba7419a65ee0ba6d02e161be1ae1
71,FPCV000071,432,57,288,2,5,Cedar FinanceProductCostVersion 71,2020-03-12,2020-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,233a944c2fea5edd9f6370c48781600d233a944c2fea5edd9f6370c48781600d
72,FPCV000072,381,257,389,3,3,Northstar FinanceProductCostVersion 72,2020-03-13,2020-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12cfdcac56555e77a1f5e02800da222312cfdcac56555e77a1f5e02800da2223
73,FPCV000073,22,189,454,4,5,Granite FinanceProductCostVersion 73,2020-03-14,2020-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0459847b95d51e8a6dc2a23af6ebfc0d0459847b95d51e8a6dc2a23af6ebfc0
74,FPCV000074,266,160,363,8,3,Riverton FinanceProductCostVersion 74,2020-03-15,2020-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae2a18c8e6ae5e218866881a8e52faa5ae2a18c8e6ae5e218866881a8e52faa5
75,FPCV000075,457,106,431,3,3,Orion FinanceProductCostVersion 75,2020-03-16,2020-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4efd24dc087954de9bdcd7abf3c3ec634efd24dc087954de9bdcd7abf3c3ec63
76,FPCV000076,381,181,35,5,1,Liberty FinanceProductCostVersion 76,2020-03-17,2020-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d0fb790ce5251aba706006847bbc5733d0fb790ce5251aba706006847bbc573
77,FPCV000077,56,171,219,2,1,Riverton FinanceProductCostVersion 77,2020-03-18,2020-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5eb6c559d4b65390957bc5d4c33a85665eb6c559d4b65390957bc5d4c33a8566
78,FPCV000078,335,301,96,8,5,Vertex FinanceProductCostVersion 78,2020-03-19,2020-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f16ce37ca10b59a7b6049f29c4d9988bf16ce37ca10b59a7b6049f29c4d9988b
79,FPCV000079,181,276,425,5,2,Cedar FinanceProductCostVersion 79,2020-03-20,2020-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a0dabc37f115a5cbd0dd894b62b9a212a0dabc37f115a5cbd0dd894b62b9a21
80,FPCV000080,487,91,477,8,3,Orion FinanceProductCostVersion 80,2020-03-21,2020-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab2c1d4041a85b41864a2d89c4d3df4aab2c1d4041a85b41864a2d89c4d3df4a
81,FPCV000081,356,160,277,7,2,Harbor FinanceProductCostVersion 81,2020-03-22,2020-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55517bb73b415e518e8ef59ef598cc0055517bb73b415e518e8ef59ef598cc00
82,FPCV000082,89,289,164,3,4,Willow FinanceProductCostVersion 82,2020-03-23,2020-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c253c80ace254b8993014f9fba0656b5c253c80ace254b8993014f9fba0656b
83,FPCV000083,445,6,471,7,1,Ion FinanceProductCostVersion 83,2020-03-24,2020-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73a8e4c518be5a22a5bfaa747507ec6773a8e4c518be5a22a5bfaa747507ec67
84,FPCV000084,222,235,23,8,5,Forge FinanceProductCostVersion 84,2020-03-25,2020-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb21e53217845455aec06b5616668b07fb21e53217845455aec06b5616668b07
85,FPCV000085,361,89,5,2,5,Northstar FinanceProductCostVersion 85,2020-03-26,2020-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd8640030dc85261805d4e5f8603f159cd8640030dc85261805d4e5f8603f159
86,FPCV000086,242,161,55,4,3,Summit FinanceProductCostVersion 86,2020-03-27,2020-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae44c2003b58565fb540ff3417fb4594ae44c2003b58565fb540ff3417fb4594
87,FPCV000087,53,234,9,2,3,Evergreen FinanceProductCostVersion 87,2020-03-28,2020-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09a7adba231759e7be4da53f1cfe23ad09a7adba231759e7be4da53f1cfe23ad
88,FPCV000088,236,105,394,2,4,Cedar FinanceProductCostVersion 88,2020-03-29,2020-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a92a8686a03a588ca0c4e9f9f81e05a3a92a8686a03a588ca0c4e9f9f81e05a3
89,FPCV000089,392,21,68,7,2,Atlas FinanceProductCostVersion 89,2020-03-30,2020-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22d93d1240075b7794fef0c9f1c6cb3322d93d1240075b7794fef0c9f1c6cb33
90,FPCV000090,309,33,459,3,5,Delta FinanceProductCostVersion 90,2020-03-31,2020-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd6e6125132a5700af87e012d422fbdffd6e6125132a5700af87e012d422fbdf
91,FPCV000091,20,117,12,4,2,Unity FinanceProductCostVersion 91,2020-04-01,2020-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c9528383c80d5e69ae6f8699b3fc81adc9528383c80d5e69ae6f8699b3fc81ad
92,FPCV000092,477,298,463,4,3,Summit FinanceProductCostVersion 92,2020-04-02,2020-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb65bdb194715bd0ab5fa5f32ee02d94fb65bdb194715bd0ab5fa5f32ee02d94
93,FPCV000093,421,48,261,1,3,Keystone FinanceProductCostVersion 93,2020-04-03,2020-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ad2954b2d8851caa16e4bcf0e372b304ad2954b2d8851caa16e4bcf0e372b30
94,FPCV000094,387,269,91,2,4,Willow FinanceProductCostVersion 94,2020-04-04,2020-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81f5f09dad0c5bde862b5c9507d980ac81f5f09dad0c5bde862b5c9507d980ac
