ProductionCrewTypeKey,ProductionCrewTypeCode,ProductionLaborPoolKey,ProductionCrewTypeName,SourceSystemKey,BatchId,LoadedAtUtc
90,PCT000090,2,Quartz ProductionCrewType 90,1,1,2026-08-24T00:00:00.000
91,PCT000091,20,Vertex ProductionCrewType 91,1,1,2026-08-24T00:00:00.000
92,PCT000092,5,Beacon ProductionCrewType 92,1,1,2026-08-24T00:00:00.000
93,PCT000093,17,Ion ProductionCrewType 93,1,1,2026-08-24T00:00:00.000
94,PCT000094,37,Willow ProductionCrewType 94,1,1,2026-08-24T00:00:00.000
95,PCT000095,36,Pioneer ProductionCrewType 95,1,1,2026-08-24T00:00:00.000
96,PCT000096,27,Junction ProductionCrewType 96,1,1,2026-08-24T00:00:00.000
97,PCT000097,37,Beacon ProductionCrewType 97,1,1,2026-08-24T00:00:00.000
98,PCT000098,25,Cedar ProductionCrewType 98,1,1,2026-08-24T00:00:00.000
99,PCT000099,10,Quartz ProductionCrewType 99,1,1,2026-08-24T00:00:00.000
100,PCT000100,17,Summit ProductionCrewType 100,1,1,2026-08-24T00:00:00.000
101,PCT000101,4,Titan ProductionCrewType 101,1,1,2026-08-24T00:00:00.000
102,PCT000102,40,Granite ProductionCrewType 102,1,1,2026-08-24T00:00:00.000
103,PCT000103,39,Zenith ProductionCrewType 103,1,1,2026-08-24T00:00:00.000
104,PCT000104,16,Ion ProductionCrewType 104,1,1,2026-08-24T00:00:00.000
105,PCT000105,9,Northstar ProductionCrewType 105,1,1,2026-08-24T00:00:00.000
106,PCT000106,28,Beacon ProductionCrewType 106,1,1,2026-08-24T00:00:00.000
107,PCT000107,11,Quartz ProductionCrewType 107,1,1,2026-08-24T00:00:00.000
108,PCT000108,11,Harbor ProductionCrewType 108,1,1,2026-08-24T00:00:00.000
109,PCT000109,6,Delta ProductionCrewType 109,1,1,2026-08-24T00:00:00.000
110,PCT000110,2,Orion ProductionCrewType 110,1,1,2026-08-24T00:00:00.000
111,PCT000111,9,Harbor ProductionCrewType 111,1,1,2026-08-24T00:00:00.000
112,PCT000112,24,Northstar ProductionCrewType 112,1,1,2026-08-24T00:00:00.000
113,PCT000113,3,Atlas ProductionCrewType 113,1,1,2026-08-24T00:00:00.000
114,PCT000114,31,Willow ProductionCrewType 114,1,1,2026-08-24T00:00:00.000
115,PCT000115,30,Cedar ProductionCrewType 115,1,1,2026-08-24T00:00:00.000
116,PCT000116,29,Harbor ProductionCrewType 116,1,1,2026-08-24T00:00:00.000
117,PCT000117,1,Pioneer ProductionCrewType 117,1,1,2026-08-24T00:00:00.000
118,PCT000118,1,Unity ProductionCrewType 118,1,1,2026-08-24T00:00:00.000
119,PCT000119,19,Orion ProductionCrewType 119,1,1,2026-08-24T00:00:00.000
120,PCT000120,6,Harbor ProductionCrewType 120,1,1,2026-08-24T00:00:00.000
121,PCT000121,24,Granite ProductionCrewType 121,1,1,2026-08-24T00:00:00.000
122,PCT000122,10,Pioneer ProductionCrewType 122,1,1,2026-08-24T00:00:00.000
123,PCT000123,7,Harbor ProductionCrewType 123,1,1,2026-08-24T00:00:00.000
124,PCT000124,27,Delta ProductionCrewType 124,1,1,2026-08-24T00:00:00.000
125,PCT000125,16,Cedar ProductionCrewType 125,1,1,2026-08-24T00:00:00.000
126,PCT000126,13,Northstar ProductionCrewType 126,1,1,2026-08-24T00:00:00.000
127,PCT000127,26,Beacon ProductionCrewType 127,1,1,2026-08-24T00:00:00.000
128,PCT000128,17,Zenith ProductionCrewType 128,1,1,2026-08-24T00:00:00.000
129,PCT000129,12,Evergreen ProductionCrewType 129,1,1,2026-08-24T00:00:00.000
130,PCT000130,15,Summit ProductionCrewType 130,1,1,2026-08-24T00:00:00.000
131,PCT000131,35,Liberty ProductionCrewType 131,1,1,2026-08-24T00:00:00.000
132,PCT000132,22,Liberty ProductionCrewType 132,1,1,2026-08-24T00:00:00.000
133,PCT000133,22,Riverton ProductionCrewType 133,1,1,2026-08-24T00:00:00.000
134,PCT000134,4,Willow ProductionCrewType 134,1,1,2026-08-24T00:00:00.000
135,PCT000135,19,Riverton ProductionCrewType 135,1,1,2026-08-24T00:00:00.000
136,PCT000136,14,Delta ProductionCrewType 136,1,1,2026-08-24T00:00:00.000
137,PCT000137,39,Orion ProductionCrewType 137,1,1,2026-08-24T00:00:00.000
138,PCT000138,35,Vertex ProductionCrewType 138,1,1,2026-08-24T00:00:00.000
139,PCT000139,8,Summit ProductionCrewType 139,1,1,2026-08-24T00:00:00.000
140,PCT000140,6,Northstar ProductionCrewType 140,1,1,2026-08-24T00:00:00.000
