LaborCrewKey,LaborCrewCode,LaborCrewAreaKey,LaborCrewName,SourceSystemKey,BatchId,LoadedAtUtc
106,LC000106,56,Junction LaborCrew 106,1,1,2026-08-24T00:00:00.000
107,LC000107,64,Forge LaborCrew 107,1,1,2026-08-24T00:00:00.000
108,LC000108,125,Harbor LaborCrew 108,1,1,2026-08-24T00:00:00.000
109,LC000109,149,Liberty LaborCrew 109,1,1,2026-08-24T00:00:00.000
110,LC000110,109,Unity LaborCrew 110,1,1,2026-08-24T00:00:00.000
111,LC000111,120,Zenith LaborCrew 111,1,1,2026-08-24T00:00:00.000
112,LC000112,121,Harbor LaborCrew 112,1,1,2026-08-24T00:00:00.000
113,LC000113,83,Titan LaborCrew 113,1,1,2026-08-24T00:00:00.000
114,LC000114,95,Unity LaborCrew 114,1,1,2026-08-24T00:00:00.000
115,LC000115,131,Titan LaborCrew 115,1,1,2026-08-24T00:00:00.000
116,LC000116,122,Summit LaborCrew 116,1,1,2026-08-24T00:00:00.000
117,LC000117,152,Delta LaborCrew 117,1,1,2026-08-24T00:00:00.000
118,LC000118,137,Meridian LaborCrew 118,1,1,2026-08-24T00:00:00.000
119,LC000119,154,Evergreen LaborCrew 119,1,1,2026-08-24T00:00:00.000
120,LC000120,119,Summit LaborCrew 120,1,1,2026-08-24T00:00:00.000
121,LC000121,68,Liberty LaborCrew 121,1,1,2026-08-24T00:00:00.000
122,LC000122,79,Northstar LaborCrew 122,1,1,2026-08-24T00:00:00.000
123,LC000123,18,Atlas LaborCrew 123,1,1,2026-08-24T00:00:00.000
124,LC000124,144,Pioneer LaborCrew 124,1,1,2026-08-24T00:00:00.000
125,LC000125,70,Liberty LaborCrew 125,1,1,2026-08-24T00:00:00.000
126,LC000126,99,Northstar LaborCrew 126,1,1,2026-08-24T00:00:00.000
127,LC000127,145,Junction LaborCrew 127,1,1,2026-08-24T00:00:00.000
128,LC000128,93,Cedar LaborCrew 128,1,1,2026-08-24T00:00:00.000
129,LC000129,42,Titan LaborCrew 129,1,1,2026-08-24T00:00:00.000
130,LC000130,122,Orion LaborCrew 130,1,1,2026-08-24T00:00:00.000
131,LC000131,47,Titan LaborCrew 131,1,1,2026-08-24T00:00:00.000
132,LC000132,67,Unity LaborCrew 132,1,1,2026-08-24T00:00:00.000
133,LC000133,159,Granite LaborCrew 133,1,1,2026-08-24T00:00:00.000
134,LC000134,68,Beacon LaborCrew 134,1,1,2026-08-24T00:00:00.000
135,LC000135,114,Atlas LaborCrew 135,1,1,2026-08-24T00:00:00.000
136,LC000136,35,Zenith LaborCrew 136,1,1,2026-08-24T00:00:00.000
137,LC000137,151,Summit LaborCrew 137,1,1,2026-08-24T00:00:00.000
138,LC000138,119,Atlas LaborCrew 138,1,1,2026-08-24T00:00:00.000
139,LC000139,101,Vertex LaborCrew 139,1,1,2026-08-24T00:00:00.000
140,LC000140,23,Meridian LaborCrew 140,1,1,2026-08-24T00:00:00.000
141,LC000141,72,Cedar LaborCrew 141,1,1,2026-08-24T00:00:00.000
142,LC000142,59,Liberty LaborCrew 142,1,1,2026-08-24T00:00:00.000
143,LC000143,19,Harbor LaborCrew 143,1,1,2026-08-24T00:00:00.000
144,LC000144,68,Beacon LaborCrew 144,1,1,2026-08-24T00:00:00.000
145,LC000145,19,Atlas LaborCrew 145,1,1,2026-08-24T00:00:00.000
146,LC000146,147,Keystone LaborCrew 146,1,1,2026-08-24T00:00:00.000
147,LC000147,8,Cedar LaborCrew 147,1,1,2026-08-24T00:00:00.000
148,LC000148,61,Cedar LaborCrew 148,1,1,2026-08-24T00:00:00.000
149,LC000149,57,Quartz LaborCrew 149,1,1,2026-08-24T00:00:00.000
150,LC000150,28,Unity LaborCrew 150,1,1,2026-08-24T00:00:00.000
151,LC000151,72,Delta LaborCrew 151,1,1,2026-08-24T00:00:00.000
152,LC000152,38,Riverton LaborCrew 152,1,1,2026-08-24T00:00:00.000
153,LC000153,7,Ion LaborCrew 153,1,1,2026-08-24T00:00:00.000
154,LC000154,105,Beacon LaborCrew 154,1,1,2026-08-24T00:00:00.000
155,LC000155,75,Forge LaborCrew 155,1,1,2026-08-24T00:00:00.000
156,LC000156,151,Zenith LaborCrew 156,1,1,2026-08-24T00:00:00.000
157,LC000157,114,Forge LaborCrew 157,1,1,2026-08-24T00:00:00.000
158,LC000158,143,Delta LaborCrew 158,1,1,2026-08-24T00:00:00.000
159,LC000159,103,Forge LaborCrew 159,1,1,2026-08-24T00:00:00.000
160,LC000160,116,Meridian LaborCrew 160,1,1,2026-08-24T00:00:00.000
161,LC000161,48,Willow LaborCrew 161,1,1,2026-08-24T00:00:00.000
162,LC000162,95,Titan LaborCrew 162,1,1,2026-08-24T00:00:00.000
163,LC000163,26,Titan LaborCrew 163,1,1,2026-08-24T00:00:00.000
164,LC000164,143,Harbor LaborCrew 164,1,1,2026-08-24T00:00:00.000
165,LC000165,121,Keystone LaborCrew 165,1,1,2026-08-24T00:00:00.000
166,LC000166,158,Willow LaborCrew 166,1,1,2026-08-24T00:00:00.000
167,LC000167,76,Delta LaborCrew 167,1,1,2026-08-24T00:00:00.000
168,LC000168,108,Meridian LaborCrew 168,1,1,2026-08-24T00:00:00.000
169,LC000169,48,Zenith LaborCrew 169,1,1,2026-08-24T00:00:00.000
170,LC000170,94,Titan LaborCrew 170,1,1,2026-08-24T00:00:00.000
171,LC000171,157,Orion LaborCrew 171,1,1,2026-08-24T00:00:00.000
172,LC000172,9,Ion LaborCrew 172,1,1,2026-08-24T00:00:00.000
173,LC000173,140,Pioneer LaborCrew 173,1,1,2026-08-24T00:00:00.000
174,LC000174,31,Cedar LaborCrew 174,1,1,2026-08-24T00:00:00.000
175,LC000175,2,Meridian LaborCrew 175,1,1,2026-08-24T00:00:00.000
176,LC000176,75,Forge LaborCrew 176,1,1,2026-08-24T00:00:00.000
177,LC000177,127,Forge LaborCrew 177,1,1,2026-08-24T00:00:00.000
178,LC000178,40,Riverton LaborCrew 178,1,1,2026-08-24T00:00:00.000
179,LC000179,111,Cedar LaborCrew 179,1,1,2026-08-24T00:00:00.000
180,LC000180,103,Meridian LaborCrew 180,1,1,2026-08-24T00:00:00.000
181,LC000181,1,Evergreen LaborCrew 181,1,1,2026-08-24T00:00:00.000
182,LC000182,1,Zenith LaborCrew 182,1,1,2026-08-24T00:00:00.000
183,LC000183,54,Ion LaborCrew 183,1,1,2026-08-24T00:00:00.000
184,LC000184,43,Quartz LaborCrew 184,1,1,2026-08-24T00:00:00.000
185,LC000185,51,Delta LaborCrew 185,1,1,2026-08-24T00:00:00.000
186,LC000186,141,Cedar LaborCrew 186,1,1,2026-08-24T00:00:00.000
187,LC000187,139,Liberty LaborCrew 187,1,1,2026-08-24T00:00:00.000
188,LC000188,122,Northstar LaborCrew 188,1,1,2026-08-24T00:00:00.000
189,LC000189,61,Titan LaborCrew 189,1,1,2026-08-24T00:00:00.000
190,LC000190,141,Junction LaborCrew 190,1,1,2026-08-24T00:00:00.000
191,LC000191,150,Granite LaborCrew 191,1,1,2026-08-24T00:00:00.000
192,LC000192,18,Atlas LaborCrew 192,1,1,2026-08-24T00:00:00.000
193,LC000193,109,Northstar LaborCrew 193,1,1,2026-08-24T00:00:00.000
194,LC000194,96,Beacon LaborCrew 194,1,1,2026-08-24T00:00:00.000
195,LC000195,43,Junction LaborCrew 195,1,1,2026-08-24T00:00:00.000
196,LC000196,110,Northstar LaborCrew 196,1,1,2026-08-24T00:00:00.000
197,LC000197,56,Ion LaborCrew 197,1,1,2026-08-24T00:00:00.000
198,LC000198,149,Evergreen LaborCrew 198,1,1,2026-08-24T00:00:00.000
199,LC000199,56,Delta LaborCrew 199,1,1,2026-08-24T00:00:00.000
200,LC000200,42,Riverton LaborCrew 200,1,1,2026-08-24T00:00:00.000
201,LC000201,45,Vertex LaborCrew 201,1,1,2026-08-24T00:00:00.000
202,LC000202,32,Keystone LaborCrew 202,1,1,2026-08-24T00:00:00.000
203,LC000203,70,Vertex LaborCrew 203,1,1,2026-08-24T00:00:00.000
204,LC000204,29,Delta LaborCrew 204,1,1,2026-08-24T00:00:00.000
205,LC000205,30,Riverton LaborCrew 205,1,1,2026-08-24T00:00:00.000
206,LC000206,136,Willow LaborCrew 206,1,1,2026-08-24T00:00:00.000
207,LC000207,29,Liberty LaborCrew 207,1,1,2026-08-24T00:00:00.000
208,LC000208,139,Cedar LaborCrew 208,1,1,2026-08-24T00:00:00.000
209,LC000209,105,Meridian LaborCrew 209,1,1,2026-08-24T00:00:00.000
210,LC000210,82,Harbor LaborCrew 210,1,1,2026-08-24T00:00:00.000
211,LC000211,111,Vertex LaborCrew 211,1,1,2026-08-24T00:00:00.000
212,LC000212,93,Ion LaborCrew 212,1,1,2026-08-24T00:00:00.000
213,LC000213,151,Unity LaborCrew 213,1,1,2026-08-24T00:00:00.000
214,LC000214,123,Forge LaborCrew 214,1,1,2026-08-24T00:00:00.000
215,LC000215,109,Willow LaborCrew 215,1,1,2026-08-24T00:00:00.000
216,LC000216,114,Granite LaborCrew 216,1,1,2026-08-24T00:00:00.000
217,LC000217,132,Zenith LaborCrew 217,1,1,2026-08-24T00:00:00.000
218,LC000218,84,Summit LaborCrew 218,1,1,2026-08-24T00:00:00.000
219,LC000219,42,Junction LaborCrew 219,1,1,2026-08-24T00:00:00.000
220,LC000220,58,Zenith LaborCrew 220,1,1,2026-08-24T00:00:00.000
221,LC000221,61,Beacon LaborCrew 221,1,1,2026-08-24T00:00:00.000
222,LC000222,65,Junction LaborCrew 222,1,1,2026-08-24T00:00:00.000
223,LC000223,109,Cedar LaborCrew 223,1,1,2026-08-24T00:00:00.000
224,LC000224,93,Vertex LaborCrew 224,1,1,2026-08-24T00:00:00.000
225,LC000225,108,Delta LaborCrew 225,1,1,2026-08-24T00:00:00.000
226,LC000226,71,Ion LaborCrew 226,1,1,2026-08-24T00:00:00.000
227,LC000227,139,Quartz LaborCrew 227,1,1,2026-08-24T00:00:00.000
228,LC000228,129,Keystone LaborCrew 228,1,1,2026-08-24T00:00:00.000
229,LC000229,84,Zenith LaborCrew 229,1,1,2026-08-24T00:00:00.000
230,LC000230,40,Meridian LaborCrew 230,1,1,2026-08-24T00:00:00.000
231,LC000231,123,Riverton LaborCrew 231,1,1,2026-08-24T00:00:00.000
232,LC000232,103,Titan LaborCrew 232,1,1,2026-08-24T00:00:00.000
233,LC000233,30,Keystone LaborCrew 233,1,1,2026-08-24T00:00:00.000
234,LC000234,159,Pioneer LaborCrew 234,1,1,2026-08-24T00:00:00.000
235,LC000235,30,Willow LaborCrew 235,1,1,2026-08-24T00:00:00.000
236,LC000236,5,Atlas LaborCrew 236,1,1,2026-08-24T00:00:00.000
237,LC000237,68,Titan LaborCrew 237,1,1,2026-08-24T00:00:00.000
238,LC000238,45,Granite LaborCrew 238,1,1,2026-08-24T00:00:00.000
239,LC000239,152,Junction LaborCrew 239,1,1,2026-08-24T00:00:00.000
240,LC000240,122,Junction LaborCrew 240,1,1,2026-08-24T00:00:00.000
241,LC000241,32,Harbor LaborCrew 241,1,1,2026-08-24T00:00:00.000
242,LC000242,107,Zenith LaborCrew 242,1,1,2026-08-24T00:00:00.000
243,LC000243,31,Northstar LaborCrew 243,1,1,2026-08-24T00:00:00.000
244,LC000244,82,Quartz LaborCrew 244,1,1,2026-08-24T00:00:00.000
245,LC000245,108,Vertex LaborCrew 245,1,1,2026-08-24T00:00:00.000
246,LC000246,40,Titan LaborCrew 246,1,1,2026-08-24T00:00:00.000
247,LC000247,97,Meridian LaborCrew 247,1,1,2026-08-24T00:00:00.000
248,LC000248,125,Quartz LaborCrew 248,1,1,2026-08-24T00:00:00.000
249,LC000249,133,Riverton LaborCrew 249,1,1,2026-08-24T00:00:00.000
250,LC000250,157,Meridian LaborCrew 250,1,1,2026-08-24T00:00:00.000
251,LC000251,64,Zenith LaborCrew 251,1,1,2026-08-24T00:00:00.000
252,LC000252,149,Pioneer LaborCrew 252,1,1,2026-08-24T00:00:00.000
253,LC000253,54,Zenith LaborCrew 253,1,1,2026-08-24T00:00:00.000
254,LC000254,86,Orion LaborCrew 254,1,1,2026-08-24T00:00:00.000
255,LC000255,16,Cedar LaborCrew 255,1,1,2026-08-24T00:00:00.000
256,LC000256,62,Northstar LaborCrew 256,1,1,2026-08-24T00:00:00.000
257,LC000257,151,Granite LaborCrew 257,1,1,2026-08-24T00:00:00.000
258,LC000258,91,Pioneer LaborCrew 258,1,1,2026-08-24T00:00:00.000
259,LC000259,104,Junction LaborCrew 259,1,1,2026-08-24T00:00:00.000
260,LC000260,119,Cedar LaborCrew 260,1,1,2026-08-24T00:00:00.000
261,LC000261,116,Evergreen LaborCrew 261,1,1,2026-08-24T00:00:00.000
262,LC000262,41,Meridian LaborCrew 262,1,1,2026-08-24T00:00:00.000
263,LC000263,85,Riverton LaborCrew 263,1,1,2026-08-24T00:00:00.000
264,LC000264,15,Granite LaborCrew 264,1,1,2026-08-24T00:00:00.000
265,LC000265,26,Northstar LaborCrew 265,1,1,2026-08-24T00:00:00.000
266,LC000266,119,Titan LaborCrew 266,1,1,2026-08-24T00:00:00.000
267,LC000267,22,Summit LaborCrew 267,1,1,2026-08-24T00:00:00.000
268,LC000268,124,Beacon LaborCrew 268,1,1,2026-08-24T00:00:00.000
269,LC000269,3,Atlas LaborCrew 269,1,1,2026-08-24T00:00:00.000
270,LC000270,60,Forge LaborCrew 270,1,1,2026-08-24T00:00:00.000
271,LC000271,60,Quartz LaborCrew 271,1,1,2026-08-24T00:00:00.000
272,LC000272,39,Harbor LaborCrew 272,1,1,2026-08-24T00:00:00.000
273,LC000273,112,Willow LaborCrew 273,1,1,2026-08-24T00:00:00.000
274,LC000274,91,Granite LaborCrew 274,1,1,2026-08-24T00:00:00.000
275,LC000275,27,Willow LaborCrew 275,1,1,2026-08-24T00:00:00.000
276,LC000276,85,Zenith LaborCrew 276,1,1,2026-08-24T00:00:00.000
277,LC000277,80,Zenith LaborCrew 277,1,1,2026-08-24T00:00:00.000
278,LC000278,29,Zenith LaborCrew 278,1,1,2026-08-24T00:00:00.000
279,LC000279,67,Summit LaborCrew 279,1,1,2026-08-24T00:00:00.000
280,LC000280,157,Vertex LaborCrew 280,1,1,2026-08-24T00:00:00.000
281,LC000281,111,Keystone LaborCrew 281,1,1,2026-08-24T00:00:00.000
282,LC000282,154,Granite LaborCrew 282,1,1,2026-08-24T00:00:00.000
283,LC000283,147,Ion LaborCrew 283,1,1,2026-08-24T00:00:00.000
284,LC000284,114,Keystone LaborCrew 284,1,1,2026-08-24T00:00:00.000
285,LC000285,124,Forge LaborCrew 285,1,1,2026-08-24T00:00:00.000
286,LC000286,10,Northstar LaborCrew 286,1,1,2026-08-24T00:00:00.000
287,LC000287,41,Forge LaborCrew 287,1,1,2026-08-24T00:00:00.000
288,LC000288,127,Zenith LaborCrew 288,1,1,2026-08-24T00:00:00.000
289,LC000289,76,Forge LaborCrew 289,1,1,2026-08-24T00:00:00.000
290,LC000290,23,Zenith LaborCrew 290,1,1,2026-08-24T00:00:00.000
291,LC000291,153,Titan LaborCrew 291,1,1,2026-08-24T00:00:00.000
292,LC000292,139,Delta LaborCrew 292,1,1,2026-08-24T00:00:00.000
293,LC000293,18,Titan LaborCrew 293,1,1,2026-08-24T00:00:00.000
294,LC000294,150,Delta LaborCrew 294,1,1,2026-08-24T00:00:00.000
295,LC000295,123,Zenith LaborCrew 295,1,1,2026-08-24T00:00:00.000
296,LC000296,49,Pioneer LaborCrew 296,1,1,2026-08-24T00:00:00.000
297,LC000297,148,Willow LaborCrew 297,1,1,2026-08-24T00:00:00.000
298,LC000298,119,Forge LaborCrew 298,1,1,2026-08-24T00:00:00.000
299,LC000299,129,Zenith LaborCrew 299,1,1,2026-08-24T00:00:00.000
300,LC000300,50,Cedar LaborCrew 300,1,1,2026-08-24T00:00:00.000
301,LC000301,72,Beacon LaborCrew 301,1,1,2026-08-24T00:00:00.000
302,LC000302,1,Delta LaborCrew 302,1,1,2026-08-24T00:00:00.000
303,LC000303,124,Summit LaborCrew 303,1,1,2026-08-24T00:00:00.000
304,LC000304,34,Willow LaborCrew 304,1,1,2026-08-24T00:00:00.000
305,LC000305,74,Riverton LaborCrew 305,1,1,2026-08-24T00:00:00.000
306,LC000306,85,Ion LaborCrew 306,1,1,2026-08-24T00:00:00.000
307,LC000307,147,Evergreen LaborCrew 307,1,1,2026-08-24T00:00:00.000
308,LC000308,26,Keystone LaborCrew 308,1,1,2026-08-24T00:00:00.000
309,LC000309,117,Riverton LaborCrew 309,1,1,2026-08-24T00:00:00.000
310,LC000310,29,Quartz LaborCrew 310,1,1,2026-08-24T00:00:00.000
311,LC000311,53,Summit LaborCrew 311,1,1,2026-08-24T00:00:00.000
312,LC000312,158,Orion LaborCrew 312,1,1,2026-08-24T00:00:00.000
313,LC000313,67,Beacon LaborCrew 313,1,1,2026-08-24T00:00:00.000
314,LC000314,87,Titan LaborCrew 314,1,1,2026-08-24T00:00:00.000
315,LC000315,14,Pioneer LaborCrew 315,1,1,2026-08-24T00:00:00.000
316,LC000316,107,Keystone LaborCrew 316,1,1,2026-08-24T00:00:00.000
317,LC000317,152,Willow LaborCrew 317,1,1,2026-08-24T00:00:00.000
318,LC000318,70,Meridian LaborCrew 318,1,1,2026-08-24T00:00:00.000
319,LC000319,70,Forge LaborCrew 319,1,1,2026-08-24T00:00:00.000
320,LC000320,24,Orion LaborCrew 320,1,1,2026-08-24T00:00:00.000
321,LC000321,150,Evergreen LaborCrew 321,1,1,2026-08-24T00:00:00.000
322,LC000322,74,Cedar LaborCrew 322,1,1,2026-08-24T00:00:00.000
323,LC000323,70,Junction LaborCrew 323,1,1,2026-08-24T00:00:00.000
324,LC000324,47,Vertex LaborCrew 324,1,1,2026-08-24T00:00:00.000
325,LC000325,15,Pioneer LaborCrew 325,1,1,2026-08-24T00:00:00.000
326,LC000326,124,Riverton LaborCrew 326,1,1,2026-08-24T00:00:00.000
327,LC000327,41,Atlas LaborCrew 327,1,1,2026-08-24T00:00:00.000
328,LC000328,97,Summit LaborCrew 328,1,1,2026-08-24T00:00:00.000
329,LC000329,2,Unity LaborCrew 329,1,1,2026-08-24T00:00:00.000
330,LC000330,83,Delta LaborCrew 330,1,1,2026-08-24T00:00:00.000
331,LC000331,61,Summit LaborCrew 331,1,1,2026-08-24T00:00:00.000
332,LC000332,37,Summit LaborCrew 332,1,1,2026-08-24T00:00:00.000
333,LC000333,150,Zenith LaborCrew 333,1,1,2026-08-24T00:00:00.000
334,LC000334,35,Harbor LaborCrew 334,1,1,2026-08-24T00:00:00.000
335,LC000335,100,Junction LaborCrew 335,1,1,2026-08-24T00:00:00.000
336,LC000336,128,Delta LaborCrew 336,1,1,2026-08-24T00:00:00.000
337,LC000337,81,Liberty LaborCrew 337,1,1,2026-08-24T00:00:00.000
338,LC000338,30,Keystone LaborCrew 338,1,1,2026-08-24T00:00:00.000
339,LC000339,135,Unity LaborCrew 339,1,1,2026-08-24T00:00:00.000
340,LC000340,41,Liberty LaborCrew 340,1,1,2026-08-24T00:00:00.000
