InventoryStorageSubtypeKey,InventoryStorageSubtypeCode,InventoryStorageTypeKey,InventoryStorageSubtypeName,SourceSystemKey,BatchId,LoadedAtUtc
51,ISS000051,17,Harbor InventoryStorageSubtype 51,1,1,2026-08-24T00:00:00.000
52,ISS000052,40,Zenith InventoryStorageSubtype 52,1,1,2026-08-24T00:00:00.000
53,ISS000053,51,Delta InventoryStorageSubtype 53,1,1,2026-08-24T00:00:00.000
54,ISS000054,10,Northstar InventoryStorageSubtype 54,1,1,2026-08-24T00:00:00.000
55,ISS000055,42,Riverton InventoryStorageSubtype 55,1,1,2026-08-24T00:00:00.000
56,ISS000056,46,Zenith InventoryStorageSubtype 56,1,1,2026-08-24T00:00:00.000
57,ISS000057,8,Riverton InventoryStorageSubtype 57,1,1,2026-08-24T00:00:00.000
58,ISS000058,8,Meridian InventoryStorageSubtype 58,1,1,2026-08-24T00:00:00.000
59,ISS000059,42,Atlas InventoryStorageSubtype 59,1,1,2026-08-24T00:00:00.000
60,ISS000060,27,Cedar InventoryStorageSubtype 60,1,1,2026-08-24T00:00:00.000
61,ISS000061,44,Willow InventoryStorageSubtype 61,1,1,2026-08-24T00:00:00.000
62,ISS000062,19,Quartz InventoryStorageSubtype 62,1,1,2026-08-24T00:00:00.000
63,ISS000063,15,Summit InventoryStorageSubtype 63,1,1,2026-08-24T00:00:00.000
64,ISS000064,56,Quartz InventoryStorageSubtype 64,1,1,2026-08-24T00:00:00.000
65,ISS000065,39,Riverton InventoryStorageSubtype 65,1,1,2026-08-24T00:00:00.000
66,ISS000066,40,Pioneer InventoryStorageSubtype 66,1,1,2026-08-24T00:00:00.000
67,ISS000067,21,Atlas InventoryStorageSubtype 67,1,1,2026-08-24T00:00:00.000
68,ISS000068,24,Orion InventoryStorageSubtype 68,1,1,2026-08-24T00:00:00.000
69,ISS000069,38,Junction InventoryStorageSubtype 69,1,1,2026-08-24T00:00:00.000
70,ISS000070,25,Summit InventoryStorageSubtype 70,1,1,2026-08-24T00:00:00.000
71,ISS000071,30,Junction InventoryStorageSubtype 71,1,1,2026-08-24T00:00:00.000
72,ISS000072,49,Keystone InventoryStorageSubtype 72,1,1,2026-08-24T00:00:00.000
73,ISS000073,10,Orion InventoryStorageSubtype 73,1,1,2026-08-24T00:00:00.000
74,ISS000074,39,Summit InventoryStorageSubtype 74,1,1,2026-08-24T00:00:00.000
75,ISS000075,1,Keystone InventoryStorageSubtype 75,1,1,2026-08-24T00:00:00.000
76,ISS000076,55,Pioneer InventoryStorageSubtype 76,1,1,2026-08-24T00:00:00.000
77,ISS000077,51,Northstar InventoryStorageSubtype 77,1,1,2026-08-24T00:00:00.000
78,ISS000078,51,Beacon InventoryStorageSubtype 78,1,1,2026-08-24T00:00:00.000
79,ISS000079,42,Northstar InventoryStorageSubtype 79,1,1,2026-08-24T00:00:00.000
80,ISS000080,50,Harbor InventoryStorageSubtype 80,1,1,2026-08-24T00:00:00.000
81,ISS000081,21,Riverton InventoryStorageSubtype 81,1,1,2026-08-24T00:00:00.000
82,ISS000082,43,Willow InventoryStorageSubtype 82,1,1,2026-08-24T00:00:00.000
83,ISS000083,45,Vertex InventoryStorageSubtype 83,1,1,2026-08-24T00:00:00.000
84,ISS000084,59,Granite InventoryStorageSubtype 84,1,1,2026-08-24T00:00:00.000
85,ISS000085,20,Atlas InventoryStorageSubtype 85,1,1,2026-08-24T00:00:00.000
86,ISS000086,22,Quartz InventoryStorageSubtype 86,1,1,2026-08-24T00:00:00.000
87,ISS000087,25,Summit InventoryStorageSubtype 87,1,1,2026-08-24T00:00:00.000
88,ISS000088,15,Ion InventoryStorageSubtype 88,1,1,2026-08-24T00:00:00.000
89,ISS000089,15,Zenith InventoryStorageSubtype 89,1,1,2026-08-24T00:00:00.000
90,ISS000090,50,Vertex InventoryStorageSubtype 90,1,1,2026-08-24T00:00:00.000
91,ISS000091,48,Liberty InventoryStorageSubtype 91,1,1,2026-08-24T00:00:00.000
92,ISS000092,50,Forge InventoryStorageSubtype 92,1,1,2026-08-24T00:00:00.000
93,ISS000093,46,Northstar InventoryStorageSubtype 93,1,1,2026-08-24T00:00:00.000
94,ISS000094,32,Keystone InventoryStorageSubtype 94,1,1,2026-08-24T00:00:00.000
95,ISS000095,58,Willow InventoryStorageSubtype 95,1,1,2026-08-24T00:00:00.000
96,ISS000096,52,Ion InventoryStorageSubtype 96,1,1,2026-08-24T00:00:00.000
97,ISS000097,42,Unity InventoryStorageSubtype 97,1,1,2026-08-24T00:00:00.000
98,ISS000098,45,Vertex InventoryStorageSubtype 98,1,1,2026-08-24T00:00:00.000
99,ISS000099,42,Harbor InventoryStorageSubtype 99,1,1,2026-08-24T00:00:00.000
100,ISS000100,42,Unity InventoryStorageSubtype 100,1,1,2026-08-24T00:00:00.000
101,ISS000101,6,Liberty InventoryStorageSubtype 101,1,1,2026-08-24T00:00:00.000
102,ISS000102,32,Titan InventoryStorageSubtype 102,1,1,2026-08-24T00:00:00.000
103,ISS000103,24,Northstar InventoryStorageSubtype 103,1,1,2026-08-24T00:00:00.000
104,ISS000104,5,Unity InventoryStorageSubtype 104,1,1,2026-08-24T00:00:00.000
105,ISS000105,12,Harbor InventoryStorageSubtype 105,1,1,2026-08-24T00:00:00.000
106,ISS000106,54,Meridian InventoryStorageSubtype 106,1,1,2026-08-24T00:00:00.000
107,ISS000107,2,Ion InventoryStorageSubtype 107,1,1,2026-08-24T00:00:00.000
108,ISS000108,29,Summit InventoryStorageSubtype 108,1,1,2026-08-24T00:00:00.000
109,ISS000109,33,Keystone InventoryStorageSubtype 109,1,1,2026-08-24T00:00:00.000
110,ISS000110,24,Summit InventoryStorageSubtype 110,1,1,2026-08-24T00:00:00.000
111,ISS000111,3,Orion InventoryStorageSubtype 111,1,1,2026-08-24T00:00:00.000
112,ISS000112,22,Forge InventoryStorageSubtype 112,1,1,2026-08-24T00:00:00.000
113,ISS000113,56,Evergreen InventoryStorageSubtype 113,1,1,2026-08-24T00:00:00.000
114,ISS000114,7,Liberty InventoryStorageSubtype 114,1,1,2026-08-24T00:00:00.000
115,ISS000115,45,Northstar InventoryStorageSubtype 115,1,1,2026-08-24T00:00:00.000
116,ISS000116,9,Willow InventoryStorageSubtype 116,1,1,2026-08-24T00:00:00.000
117,ISS000117,53,Junction InventoryStorageSubtype 117,1,1,2026-08-24T00:00:00.000
118,ISS000118,30,Granite InventoryStorageSubtype 118,1,1,2026-08-24T00:00:00.000
119,ISS000119,9,Atlas InventoryStorageSubtype 119,1,1,2026-08-24T00:00:00.000
120,ISS000120,21,Atlas InventoryStorageSubtype 120,1,1,2026-08-24T00:00:00.000
121,ISS000121,46,Harbor InventoryStorageSubtype 121,1,1,2026-08-24T00:00:00.000
122,ISS000122,8,Liberty InventoryStorageSubtype 122,1,1,2026-08-24T00:00:00.000
123,ISS000123,3,Vertex InventoryStorageSubtype 123,1,1,2026-08-24T00:00:00.000
124,ISS000124,25,Granite InventoryStorageSubtype 124,1,1,2026-08-24T00:00:00.000
125,ISS000125,11,Delta InventoryStorageSubtype 125,1,1,2026-08-24T00:00:00.000
126,ISS000126,22,Beacon InventoryStorageSubtype 126,1,1,2026-08-24T00:00:00.000
127,ISS000127,46,Liberty InventoryStorageSubtype 127,1,1,2026-08-24T00:00:00.000
128,ISS000128,1,Cedar InventoryStorageSubtype 128,1,1,2026-08-24T00:00:00.000
129,ISS000129,51,Pioneer InventoryStorageSubtype 129,1,1,2026-08-24T00:00:00.000
130,ISS000130,13,Keystone InventoryStorageSubtype 130,1,1,2026-08-24T00:00:00.000
131,ISS000131,9,Titan InventoryStorageSubtype 131,1,1,2026-08-24T00:00:00.000
132,ISS000132,12,Summit InventoryStorageSubtype 132,1,1,2026-08-24T00:00:00.000
133,ISS000133,52,Beacon InventoryStorageSubtype 133,1,1,2026-08-24T00:00:00.000
134,ISS000134,26,Meridian InventoryStorageSubtype 134,1,1,2026-08-24T00:00:00.000
135,ISS000135,9,Willow InventoryStorageSubtype 135,1,1,2026-08-24T00:00:00.000
136,ISS000136,47,Zenith InventoryStorageSubtype 136,1,1,2026-08-24T00:00:00.000
137,ISS000137,9,Evergreen InventoryStorageSubtype 137,1,1,2026-08-24T00:00:00.000
138,ISS000138,11,Meridian InventoryStorageSubtype 138,1,1,2026-08-24T00:00:00.000
139,ISS000139,38,Beacon InventoryStorageSubtype 139,1,1,2026-08-24T00:00:00.000
140,ISS000140,21,Granite InventoryStorageSubtype 140,1,1,2026-08-24T00:00:00.000
141,ISS000141,24,Vertex InventoryStorageSubtype 141,1,1,2026-08-24T00:00:00.000
142,ISS000142,42,Summit InventoryStorageSubtype 142,1,1,2026-08-24T00:00:00.000
143,ISS000143,19,Delta InventoryStorageSubtype 143,1,1,2026-08-24T00:00:00.000
144,ISS000144,26,Vertex InventoryStorageSubtype 144,1,1,2026-08-24T00:00:00.000
145,ISS000145,35,Junction InventoryStorageSubtype 145,1,1,2026-08-24T00:00:00.000
146,ISS000146,45,Liberty InventoryStorageSubtype 146,1,1,2026-08-24T00:00:00.000
147,ISS000147,55,Atlas InventoryStorageSubtype 147,1,1,2026-08-24T00:00:00.000
148,ISS000148,55,Summit InventoryStorageSubtype 148,1,1,2026-08-24T00:00:00.000
149,ISS000149,6,Junction InventoryStorageSubtype 149,1,1,2026-08-24T00:00:00.000
150,ISS000150,52,Riverton InventoryStorageSubtype 150,1,1,2026-08-24T00:00:00.000
151,ISS000151,26,Vertex InventoryStorageSubtype 151,1,1,2026-08-24T00:00:00.000
152,ISS000152,37,Atlas InventoryStorageSubtype 152,1,1,2026-08-24T00:00:00.000
153,ISS000153,37,Meridian InventoryStorageSubtype 153,1,1,2026-08-24T00:00:00.000
154,ISS000154,12,Harbor InventoryStorageSubtype 154,1,1,2026-08-24T00:00:00.000
155,ISS000155,41,Zenith InventoryStorageSubtype 155,1,1,2026-08-24T00:00:00.000
156,ISS000156,15,Cedar InventoryStorageSubtype 156,1,1,2026-08-24T00:00:00.000
157,ISS000157,24,Summit InventoryStorageSubtype 157,1,1,2026-08-24T00:00:00.000
158,ISS000158,4,Granite InventoryStorageSubtype 158,1,1,2026-08-24T00:00:00.000
159,ISS000159,52,Unity InventoryStorageSubtype 159,1,1,2026-08-24T00:00:00.000
160,ISS000160,4,Zenith InventoryStorageSubtype 160,1,1,2026-08-24T00:00:00.000
161,ISS000161,51,Quartz InventoryStorageSubtype 161,1,1,2026-08-24T00:00:00.000
162,ISS000162,30,Zenith InventoryStorageSubtype 162,1,1,2026-08-24T00:00:00.000
163,ISS000163,51,Orion InventoryStorageSubtype 163,1,1,2026-08-24T00:00:00.000
164,ISS000164,4,Granite InventoryStorageSubtype 164,1,1,2026-08-24T00:00:00.000
165,ISS000165,51,Cedar InventoryStorageSubtype 165,1,1,2026-08-24T00:00:00.000
166,ISS000166,54,Granite InventoryStorageSubtype 166,1,1,2026-08-24T00:00:00.000
167,ISS000167,24,Unity InventoryStorageSubtype 167,1,1,2026-08-24T00:00:00.000
168,ISS000168,7,Quartz InventoryStorageSubtype 168,1,1,2026-08-24T00:00:00.000
169,ISS000169,58,Forge InventoryStorageSubtype 169,1,1,2026-08-24T00:00:00.000
170,ISS000170,8,Unity InventoryStorageSubtype 170,1,1,2026-08-24T00:00:00.000
171,ISS000171,30,Liberty InventoryStorageSubtype 171,1,1,2026-08-24T00:00:00.000
172,ISS000172,38,Junction InventoryStorageSubtype 172,1,1,2026-08-24T00:00:00.000
173,ISS000173,44,Summit InventoryStorageSubtype 173,1,1,2026-08-24T00:00:00.000
174,ISS000174,31,Ion InventoryStorageSubtype 174,1,1,2026-08-24T00:00:00.000
175,ISS000175,6,Harbor InventoryStorageSubtype 175,1,1,2026-08-24T00:00:00.000
176,ISS000176,60,Junction InventoryStorageSubtype 176,1,1,2026-08-24T00:00:00.000
177,ISS000177,46,Delta InventoryStorageSubtype 177,1,1,2026-08-24T00:00:00.000
178,ISS000178,13,Harbor InventoryStorageSubtype 178,1,1,2026-08-24T00:00:00.000
179,ISS000179,3,Beacon InventoryStorageSubtype 179,1,1,2026-08-24T00:00:00.000
180,ISS000180,54,Vertex InventoryStorageSubtype 180,1,1,2026-08-24T00:00:00.000
181,ISS000181,12,Riverton InventoryStorageSubtype 181,1,1,2026-08-24T00:00:00.000
182,ISS000182,44,Orion InventoryStorageSubtype 182,1,1,2026-08-24T00:00:00.000
183,ISS000183,7,Pioneer InventoryStorageSubtype 183,1,1,2026-08-24T00:00:00.000
184,ISS000184,31,Liberty InventoryStorageSubtype 184,1,1,2026-08-24T00:00:00.000
185,ISS000185,41,Unity InventoryStorageSubtype 185,1,1,2026-08-24T00:00:00.000
186,ISS000186,39,Unity InventoryStorageSubtype 186,1,1,2026-08-24T00:00:00.000
187,ISS000187,56,Cedar InventoryStorageSubtype 187,1,1,2026-08-24T00:00:00.000
188,ISS000188,9,Zenith InventoryStorageSubtype 188,1,1,2026-08-24T00:00:00.000
189,ISS000189,35,Orion InventoryStorageSubtype 189,1,1,2026-08-24T00:00:00.000
190,ISS000190,59,Ion InventoryStorageSubtype 190,1,1,2026-08-24T00:00:00.000
191,ISS000191,39,Forge InventoryStorageSubtype 191,1,1,2026-08-24T00:00:00.000
192,ISS000192,50,Willow InventoryStorageSubtype 192,1,1,2026-08-24T00:00:00.000
193,ISS000193,29,Riverton InventoryStorageSubtype 193,1,1,2026-08-24T00:00:00.000
194,ISS000194,27,Delta InventoryStorageSubtype 194,1,1,2026-08-24T00:00:00.000
195,ISS000195,39,Unity InventoryStorageSubtype 195,1,1,2026-08-24T00:00:00.000
196,ISS000196,1,Orion InventoryStorageSubtype 196,1,1,2026-08-24T00:00:00.000
197,ISS000197,53,Ion InventoryStorageSubtype 197,1,1,2026-08-24T00:00:00.000
198,ISS000198,40,Zenith InventoryStorageSubtype 198,1,1,2026-08-24T00:00:00.000
199,ISS000199,22,Titan InventoryStorageSubtype 199,1,1,2026-08-24T00:00:00.000
200,ISS000200,25,Beacon InventoryStorageSubtype 200,1,1,2026-08-24T00:00:00.000
201,ISS000201,60,Atlas InventoryStorageSubtype 201,1,1,2026-08-24T00:00:00.000
202,ISS000202,17,Titan InventoryStorageSubtype 202,1,1,2026-08-24T00:00:00.000
203,ISS000203,47,Liberty InventoryStorageSubtype 203,1,1,2026-08-24T00:00:00.000
204,ISS000204,44,Vertex InventoryStorageSubtype 204,1,1,2026-08-24T00:00:00.000
205,ISS000205,21,Keystone InventoryStorageSubtype 205,1,1,2026-08-24T00:00:00.000
206,ISS000206,20,Delta InventoryStorageSubtype 206,1,1,2026-08-24T00:00:00.000
207,ISS000207,41,Atlas InventoryStorageSubtype 207,1,1,2026-08-24T00:00:00.000
208,ISS000208,21,Keystone InventoryStorageSubtype 208,1,1,2026-08-24T00:00:00.000
209,ISS000209,37,Orion InventoryStorageSubtype 209,1,1,2026-08-24T00:00:00.000
210,ISS000210,38,Quartz InventoryStorageSubtype 210,1,1,2026-08-24T00:00:00.000
211,ISS000211,41,Ion InventoryStorageSubtype 211,1,1,2026-08-24T00:00:00.000
212,ISS000212,60,Harbor InventoryStorageSubtype 212,1,1,2026-08-24T00:00:00.000
213,ISS000213,30,Beacon InventoryStorageSubtype 213,1,1,2026-08-24T00:00:00.000
214,ISS000214,59,Delta InventoryStorageSubtype 214,1,1,2026-08-24T00:00:00.000
215,ISS000215,33,Orion InventoryStorageSubtype 215,1,1,2026-08-24T00:00:00.000
216,ISS000216,2,Pioneer InventoryStorageSubtype 216,1,1,2026-08-24T00:00:00.000
217,ISS000217,37,Zenith InventoryStorageSubtype 217,1,1,2026-08-24T00:00:00.000
218,ISS000218,20,Pioneer InventoryStorageSubtype 218,1,1,2026-08-24T00:00:00.000
219,ISS000219,46,Keystone InventoryStorageSubtype 219,1,1,2026-08-24T00:00:00.000
220,ISS000220,7,Atlas InventoryStorageSubtype 220,1,1,2026-08-24T00:00:00.000
221,ISS000221,23,Titan InventoryStorageSubtype 221,1,1,2026-08-24T00:00:00.000
222,ISS000222,32,Orion InventoryStorageSubtype 222,1,1,2026-08-24T00:00:00.000
223,ISS000223,45,Vertex InventoryStorageSubtype 223,1,1,2026-08-24T00:00:00.000
224,ISS000224,42,Meridian InventoryStorageSubtype 224,1,1,2026-08-24T00:00:00.000
225,ISS000225,48,Forge InventoryStorageSubtype 225,1,1,2026-08-24T00:00:00.000
226,ISS000226,50,Summit InventoryStorageSubtype 226,1,1,2026-08-24T00:00:00.000
227,ISS000227,55,Meridian InventoryStorageSubtype 227,1,1,2026-08-24T00:00:00.000
228,ISS000228,19,Cedar InventoryStorageSubtype 228,1,1,2026-08-24T00:00:00.000
229,ISS000229,51,Atlas InventoryStorageSubtype 229,1,1,2026-08-24T00:00:00.000
230,ISS000230,32,Orion InventoryStorageSubtype 230,1,1,2026-08-24T00:00:00.000
231,ISS000231,11,Northstar InventoryStorageSubtype 231,1,1,2026-08-24T00:00:00.000
232,ISS000232,21,Granite InventoryStorageSubtype 232,1,1,2026-08-24T00:00:00.000
233,ISS000233,58,Titan InventoryStorageSubtype 233,1,1,2026-08-24T00:00:00.000
234,ISS000234,59,Keystone InventoryStorageSubtype 234,1,1,2026-08-24T00:00:00.000
235,ISS000235,56,Junction InventoryStorageSubtype 235,1,1,2026-08-24T00:00:00.000
236,ISS000236,43,Liberty InventoryStorageSubtype 236,1,1,2026-08-24T00:00:00.000
237,ISS000237,52,Granite InventoryStorageSubtype 237,1,1,2026-08-24T00:00:00.000
238,ISS000238,55,Keystone InventoryStorageSubtype 238,1,1,2026-08-24T00:00:00.000
239,ISS000239,34,Meridian InventoryStorageSubtype 239,1,1,2026-08-24T00:00:00.000
240,ISS000240,55,Summit InventoryStorageSubtype 240,1,1,2026-08-24T00:00:00.000
