LaborPositionKey,PositionNumber,LaborJobGradeKey,PlantKey,CostCenterKey,PositionTitle,AuthorizedHeadcount,IsUnionEligible,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
32,LP000032,20,150,44,LaborPosition-PositionTitle-32,33.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4c6ce893c825cf3ae58aba8ff168b00e4c6ce893c825cf3ae58aba8ff168b00
33,LP000033,29,143,408,LaborPosition-PositionTitle-33,34.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,250d706b51885c989f9e739471c6bac6250d706b51885c989f9e739471c6bac6
34,LP000034,20,77,195,LaborPosition-PositionTitle-34,35.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,425d792f7a5b54e989b963296a48629e425d792f7a5b54e989b963296a48629e
35,LP000035,2,233,6,LaborPosition-PositionTitle-35,36.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78428782389f5e9a8a87d7eb155d2cc778428782389f5e9a8a87d7eb155d2cc7
36,LP000036,3,234,333,LaborPosition-PositionTitle-36,37.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a41b730c7c78578cbca4030e123d5914a41b730c7c78578cbca4030e123d5914
37,LP000037,10,27,32,LaborPosition-PositionTitle-37,38.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1dc4f63cce5856c69957fae9d53c1e811dc4f63cce5856c69957fae9d53c1e81
38,LP000038,6,179,9,LaborPosition-PositionTitle-38,39.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dee270fc49e95c6e83cceb37fefe1caedee270fc49e95c6e83cceb37fefe1cae
39,LP000039,17,26,286,LaborPosition-PositionTitle-39,40.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc4653af6578530694eb8e1949edc1e8fc4653af6578530694eb8e1949edc1e8
40,LP000040,33,37,55,LaborPosition-PositionTitle-40,41.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,139fa816efaf57ab90f34d02166dd8ef139fa816efaf57ab90f34d02166dd8ef
41,LP000041,11,258,224,LaborPosition-PositionTitle-41,42.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c3a328559755101924e6d8cbba224d04c3a328559755101924e6d8cbba224d0
42,LP000042,28,154,110,LaborPosition-PositionTitle-42,43.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1737a117fefa587f85644ebebb8212321737a117fefa587f85644ebebb821232
43,LP000043,16,19,168,LaborPosition-PositionTitle-43,44.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,757904b47d765214bb0ebd5ccbc9a851757904b47d765214bb0ebd5ccbc9a851
44,LP000044,5,84,478,LaborPosition-PositionTitle-44,45.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9e82d7ea741518581330087662bab66f9e82d7ea741518581330087662bab66
45,LP000045,9,309,408,LaborPosition-PositionTitle-45,46.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eaea042ebd9a5d0e9d6aa8e46f8b74dbeaea042ebd9a5d0e9d6aa8e46f8b74db
46,LP000046,5,237,275,LaborPosition-PositionTitle-46,47.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9947ff3bbdb45f09985184d75b727a309947ff3bbdb45f09985184d75b727a30
47,LP000047,21,236,492,LaborPosition-PositionTitle-47,48.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2938e75b140758d3bcaadd54c6257c422938e75b140758d3bcaadd54c6257c42
48,LP000048,24,312,372,LaborPosition-PositionTitle-48,49.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbb7e344e8ef5d2bbba01e2351a005d3bbb7e344e8ef5d2bbba01e2351a005d3
49,LP000049,24,113,248,LaborPosition-PositionTitle-49,50.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f7806053ef253ae95ba23bd7eda5d962f7806053ef253ae95ba23bd7eda5d96
50,LP000050,1,148,151,LaborPosition-PositionTitle-50,51.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bb240c6be1352a5999d62b87712ca053bb240c6be1352a5999d62b87712ca05
51,LP000051,26,74,40,LaborPosition-PositionTitle-51,52.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,417bbca138375938bd83b038464697d5417bbca138375938bd83b038464697d5
52,LP000052,1,13,349,LaborPosition-PositionTitle-52,53.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,345c372c9e8455238abdc7806f1fd7de345c372c9e8455238abdc7806f1fd7de
53,LP000053,14,24,371,LaborPosition-PositionTitle-53,54.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0453ac63f48581b93ef5302095aa83ae0453ac63f48581b93ef5302095aa83a
54,LP000054,5,154,31,LaborPosition-PositionTitle-54,55.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed6f514c874659d9a38ef208d483156ded6f514c874659d9a38ef208d483156d
55,LP000055,13,32,14,LaborPosition-PositionTitle-55,56.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28fe823902e75d61a3b871999baf55aa28fe823902e75d61a3b871999baf55aa
56,LP000056,21,311,82,LaborPosition-PositionTitle-56,57.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf8f7915aac45ea797da758aef7356b4bf8f7915aac45ea797da758aef7356b4
57,LP000057,9,82,42,LaborPosition-PositionTitle-57,58.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e53c57de7415899b9655be8d538331f0e53c57de7415899b9655be8d538331f
58,LP000058,2,13,400,LaborPosition-PositionTitle-58,59.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8df07ea40015aadabb0a35ee2a303f2c8df07ea40015aadabb0a35ee2a303f2
59,LP000059,5,324,373,LaborPosition-PositionTitle-59,60.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a2022a386055489a89731e5bfd695dc7a2022a386055489a89731e5bfd695dc
60,LP000060,12,70,180,LaborPosition-PositionTitle-60,61.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dda4d1a6e7f65aed93f8996692e68483dda4d1a6e7f65aed93f8996692e68483
61,LP000061,7,206,458,LaborPosition-PositionTitle-61,62.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d7ce7a360c1501e8ceca3f0be06ed903d7ce7a360c1501e8ceca3f0be06ed90
62,LP000062,25,174,488,LaborPosition-PositionTitle-62,63.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64ed309e1c555aefa65840d52f1e59e364ed309e1c555aefa65840d52f1e59e3
63,LP000063,14,95,61,LaborPosition-PositionTitle-63,64.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,227aef60f6e75070bd7b4c7dcbc3e880227aef60f6e75070bd7b4c7dcbc3e880
64,LP000064,28,240,265,LaborPosition-PositionTitle-64,65.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4daaf1281e1253c7af5985360efb71844daaf1281e1253c7af5985360efb7184
65,LP000065,4,33,465,LaborPosition-PositionTitle-65,66.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,687f6a0447715eb0ada6faa1bd199e3c687f6a0447715eb0ada6faa1bd199e3c
66,LP000066,23,305,378,LaborPosition-PositionTitle-66,67.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e0be3f507035b65b458816c7e7cc0fb8e0be3f507035b65b458816c7e7cc0fb
67,LP000067,27,202,8,LaborPosition-PositionTitle-67,68.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81f7a9b0101b51a7a6a288ff2c508f8981f7a9b0101b51a7a6a288ff2c508f89
68,LP000068,30,82,238,LaborPosition-PositionTitle-68,69.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95c09de87adf57628c3a1ecd19c5aba995c09de87adf57628c3a1ecd19c5aba9
69,LP000069,4,213,500,LaborPosition-PositionTitle-69,70.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29544838ec315fe3bba5c277af486a2729544838ec315fe3bba5c277af486a27
70,LP000070,11,81,333,LaborPosition-PositionTitle-70,71.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4652da1c0ec5535b87939a214e2d30f24652da1c0ec5535b87939a214e2d30f2
71,LP000071,3,221,33,LaborPosition-PositionTitle-71,72.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbfad61dfc78579a95aeaf6f25ec06e7fbfad61dfc78579a95aeaf6f25ec06e7
72,LP000072,28,209,470,LaborPosition-PositionTitle-72,73.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbbe4e71b2fb5d50871c0cc9b65e2451bbbe4e71b2fb5d50871c0cc9b65e2451
73,LP000073,32,56,101,LaborPosition-PositionTitle-73,74.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e42a6073951b5482866535f389c5c014e42a6073951b5482866535f389c5c014
74,LP000074,9,8,300,LaborPosition-PositionTitle-74,75.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdbd979eb7ec5673a1d7bfb25061be96fdbd979eb7ec5673a1d7bfb25061be96
75,LP000075,33,304,143,LaborPosition-PositionTitle-75,76.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb70328233c857508483dcb501b85626bb70328233c857508483dcb501b85626
76,LP000076,33,305,129,LaborPosition-PositionTitle-76,77.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07a5050ccad056d78f65a7467c2344f207a5050ccad056d78f65a7467c2344f2
77,LP000077,30,218,496,LaborPosition-PositionTitle-77,78.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03662011b3aa536bac563f36014f8a2003662011b3aa536bac563f36014f8a20
78,LP000078,17,65,215,LaborPosition-PositionTitle-78,79.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cb61fc466f959e3915e526f8d78c3ea0cb61fc466f959e3915e526f8d78c3ea
79,LP000079,9,60,498,LaborPosition-PositionTitle-79,80.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,543c871860dc539a806ed52e0803256e543c871860dc539a806ed52e0803256e
80,LP000080,22,201,85,LaborPosition-PositionTitle-80,81.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83708514eb4d5212b6333f9d95b136e183708514eb4d5212b6333f9d95b136e1
81,LP000081,34,77,400,LaborPosition-PositionTitle-81,82.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72f42b082e415c27a14e205f8599f28a72f42b082e415c27a14e205f8599f28a
82,LP000082,33,43,204,LaborPosition-PositionTitle-82,83.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26f5225c116e5e4984df786813f21d0426f5225c116e5e4984df786813f21d04
83,LP000083,33,118,181,LaborPosition-PositionTitle-83,84.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cf3288a0100561f88e12a2070159c0a8cf3288a0100561f88e12a2070159c0a
84,LP000084,6,27,262,LaborPosition-PositionTitle-84,85.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3496fde857965d3d82549e270cf939fe3496fde857965d3d82549e270cf939fe
85,LP000085,25,181,109,LaborPosition-PositionTitle-85,86.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,619cadec55bb5b4bbbfff9cf8e472630619cadec55bb5b4bbbfff9cf8e472630
86,LP000086,26,289,101,LaborPosition-PositionTitle-86,87.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd76cd03fdda5164ba3648c670342882fd76cd03fdda5164ba3648c670342882
87,LP000087,18,219,83,LaborPosition-PositionTitle-87,88.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac158ef5d45d5419b290b392ada92ca7ac158ef5d45d5419b290b392ada92ca7
88,LP000088,20,271,300,LaborPosition-PositionTitle-88,89.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,072b40b6bf0c5794930b79166421aa9e072b40b6bf0c5794930b79166421aa9e
89,LP000089,3,202,330,LaborPosition-PositionTitle-89,90.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2aaa6db3798f54bd9303604ecca220392aaa6db3798f54bd9303604ecca22039
90,LP000090,24,30,215,LaborPosition-PositionTitle-90,91.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7faa4d53403c5784a8cfeb2982b24c667faa4d53403c5784a8cfeb2982b24c66
91,LP000091,33,98,218,LaborPosition-PositionTitle-91,92.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18e507a7365552b4a33ed07af07e442918e507a7365552b4a33ed07af07e4429
92,LP000092,7,225,31,LaborPosition-PositionTitle-92,93.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17d02661a22055af8a3927866b52e9b617d02661a22055af8a3927866b52e9b6
93,LP000093,20,13,285,LaborPosition-PositionTitle-93,94.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d18bcc3dce05e50b77354877b0f28717d18bcc3dce05e50b77354877b0f2871
94,LP000094,30,178,426,LaborPosition-PositionTitle-94,95.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f14daed0d92b53f490c6ed2f808c3801f14daed0d92b53f490c6ed2f808c3801
95,LP000095,18,230,437,LaborPosition-PositionTitle-95,96.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae68e036a1315f58852cca5e5b3e1ca6ae68e036a1315f58852cca5e5b3e1ca6
96,LP000096,8,27,341,LaborPosition-PositionTitle-96,97.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3f0412c992f5acdbf58592384d084c4d3f0412c992f5acdbf58592384d084c4
97,LP000097,27,220,77,LaborPosition-PositionTitle-97,98.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,99135a8d08735ddb97ca7570ce76dd5799135a8d08735ddb97ca7570ce76dd57
98,LP000098,3,76,300,LaborPosition-PositionTitle-98,99.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7754b31019df5484a9440c86b68f69ba7754b31019df5484a9440c86b68f69ba
99,LP000099,18,82,135,LaborPosition-PositionTitle-99,100.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1ece13fb4bb5b51ae57513352fab932b1ece13fb4bb5b51ae57513352fab932
100,LP000100,5,130,482,LaborPosition-PositionTitle-100,101.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab41f4d7623357b3afeb26fb44e270a8ab41f4d7623357b3afeb26fb44e270a8
101,LP000101,26,336,180,LaborPosition-PositionTitle-101,102.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,807d4a96e3c756c6a32d59c601a320a4807d4a96e3c756c6a32d59c601a320a4
102,LP000102,32,269,27,LaborPosition-PositionTitle-102,103.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8419a8d649b75a3f9be10ad4774d66b18419a8d649b75a3f9be10ad4774d66b1
103,LP000103,15,240,68,LaborPosition-PositionTitle-103,104.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4d8a6855a4b50829a3c6fea0b48e0f7c4d8a6855a4b50829a3c6fea0b48e0f7
104,LP000104,12,73,414,LaborPosition-PositionTitle-104,105.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffad7eae5543588f9a9407b9498538f1ffad7eae5543588f9a9407b9498538f1
105,LP000105,24,198,302,LaborPosition-PositionTitle-105,106.00,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20241d7945945da780a7633e0a9ffe0e20241d7945945da780a7633e0a9ffe0e
106,LP000106,11,326,123,LaborPosition-PositionTitle-106,107.00,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee3f54dff61252f893a49e43e7e0e0c1ee3f54dff61252f893a49e43e7e0e0c1
