ServiceContractKey,ServiceContractNumber,CustomerKey,WarrantyTermKey,ServiceTerritoryKey,ServiceContractStatusKey,CurrencyKey,ServiceContractName,ContractValueAmount,ResponseTimeHours,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,SC000010,378,7,429,3,3,Keystone ServiceContract 10,23.7000,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8bc45107f2d453249ff35825e41c2a3c8bc45107f2d453249ff35825e41c2a3c
11,SC000011,251,197,489,4,5,Forge ServiceContract 11,25.0700,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c2c9a736ccb57b5847ea2f259dbf2953c2c9a736ccb57b5847ea2f259dbf295
12,SC000012,131,135,340,6,5,Junction ServiceContract 12,26.4400,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f83b9b8366358afbbabeabfef824c8c0f83b9b8366358afbbabeabfef824c8c
13,SC000013,170,167,233,4,3,Liberty ServiceContract 13,27.8100,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ce6b28bef675adc93d65e5bb1e41eba5ce6b28bef675adc93d65e5bb1e41eba
14,SC000014,138,375,408,1,4,Northstar ServiceContract 14,29.1800,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9e299786dc85d2caa6d339238edf880f9e299786dc85d2caa6d339238edf880
15,SC000015,334,364,288,6,4,Forge ServiceContract 15,30.5500,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,245fbe9284825cee9eb5b35b4a4be76c245fbe9284825cee9eb5b35b4a4be76c
16,SC000016,159,475,193,6,1,Pioneer ServiceContract 16,31.9200,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4a4e52509385341a69bd86f62b02f27d4a4e52509385341a69bd86f62b02f27
17,SC000017,180,259,221,5,5,Northstar ServiceContract 17,33.2900,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30bc789d3c0258e3ab527930df4f101330bc789d3c0258e3ab527930df4f1013
18,SC000018,114,143,289,5,4,Granite ServiceContract 18,34.6600,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,939f0607a13253399ad34d0f856dc1c8939f0607a13253399ad34d0f856dc1c8
19,SC000019,255,337,373,7,1,Meridian ServiceContract 19,36.0300,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60f760ec0ec75b82997ee053e13b214360f760ec0ec75b82997ee053e13b2143
20,SC000020,249,306,135,6,3,Delta ServiceContract 20,37.4000,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21a5bd690da8593eac43e5f53ff4704f21a5bd690da8593eac43e5f53ff4704f
21,SC000021,419,143,355,5,4,Zenith ServiceContract 21,38.7700,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee7817190f9b50a7a964de9729653a5aee7817190f9b50a7a964de9729653a5a
22,SC000022,37,221,430,5,2,Keystone ServiceContract 22,40.1400,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9954e305b9285a449c7d6805fc604a139954e305b9285a449c7d6805fc604a13
23,SC000023,96,396,322,1,3,Beacon ServiceContract 23,41.5100,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a1e0cf2bcfa54d7924dc28b6d4c71156a1e0cf2bcfa54d7924dc28b6d4c7115
24,SC000024,143,299,102,7,1,Keystone ServiceContract 24,42.8800,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f6cf7e83f775fb98e4e0dd38010f8c61f6cf7e83f775fb98e4e0dd38010f8c6
25,SC000025,426,223,237,7,4,Delta ServiceContract 25,44.2500,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47b48ed1a5df55858615ffe73a9374da47b48ed1a5df55858615ffe73a9374da
26,SC000026,414,463,171,7,2,Titan ServiceContract 26,45.6200,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,840bc0272fc552f98b7fff31118880f2840bc0272fc552f98b7fff31118880f2
27,SC000027,260,220,361,4,2,Unity ServiceContract 27,46.9900,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcd02bc294575cfa848146a03087f575dcd02bc294575cfa848146a03087f575
28,SC000028,358,223,178,1,4,Forge ServiceContract 28,48.3600,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,320c5b15d5415601bd037993aa8e06fa320c5b15d5415601bd037993aa8e06fa
29,SC000029,62,314,68,2,4,Riverton ServiceContract 29,49.7300,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d41da474f7fc56e8a95023d2375750e5d41da474f7fc56e8a95023d2375750e5
30,SC000030,453,111,65,7,4,Willow ServiceContract 30,51.1000,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7abb29f340755e4bab0407c8631630de7abb29f340755e4bab0407c8631630de
31,SC000031,345,463,154,7,2,Harbor ServiceContract 31,52.4700,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b1075d84e09513d9541783d94ab12e07b1075d84e09513d9541783d94ab12e0
32,SC000032,376,488,341,5,1,Quartz ServiceContract 32,53.8400,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81ad94415334589aac2027d34e48c0e481ad94415334589aac2027d34e48c0e4
33,SC000033,284,71,276,3,5,Junction ServiceContract 33,55.2100,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d11832b38ee4546e8cbbdba0ecbbc3e6d11832b38ee4546e8cbbdba0ecbbc3e6
34,SC000034,376,412,50,5,1,Meridian ServiceContract 34,56.5800,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b245f7e084c5137aa8fa717f575b3e44b245f7e084c5137aa8fa717f575b3e4
35,SC000035,373,15,193,6,5,Quartz ServiceContract 35,57.9500,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02bbbae8a5fd573f8dba502c1334a5bd02bbbae8a5fd573f8dba502c1334a5bd
36,SC000036,94,67,208,3,3,Vertex ServiceContract 36,59.3200,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,867ab7e2ab715cc5888a000c39d32a74867ab7e2ab715cc5888a000c39d32a74
37,SC000037,494,164,108,7,5,Harbor ServiceContract 37,60.6900,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d0f3796792f5359a4b9c22e12b031637d0f3796792f5359a4b9c22e12b03163
38,SC000038,274,336,343,7,4,Junction ServiceContract 38,62.0600,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9cdb178d92435ec8b59d149fc01074c09cdb178d92435ec8b59d149fc01074c0
39,SC000039,396,401,15,3,5,Meridian ServiceContract 39,63.4300,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc5a797d0fa5539f8e2fd2a375d85eb3cc5a797d0fa5539f8e2fd2a375d85eb3
40,SC000040,467,453,3,3,4,Ion ServiceContract 40,64.8000,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89804c3516fc5a21a9350bb8c117788a89804c3516fc5a21a9350bb8c117788a
41,SC000041,163,318,469,7,3,Cedar ServiceContract 41,66.1700,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c078348a64bb50208a92c74ed5982ee1c078348a64bb50208a92c74ed5982ee1
42,SC000042,467,209,443,3,4,Titan ServiceContract 42,67.5400,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17c686e7347c5a10bc32e219126fadee17c686e7347c5a10bc32e219126fadee
43,SC000043,118,28,432,3,5,Delta ServiceContract 43,68.9100,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe2bef4393255038a9d6fd7cc9e1d9dcfe2bef4393255038a9d6fd7cc9e1d9dc
44,SC000044,379,230,448,5,1,Atlas ServiceContract 44,70.2800,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c73bc969254157479644cb69e3cebac9c73bc969254157479644cb69e3cebac9
45,SC000045,265,401,56,6,5,Junction ServiceContract 45,71.6500,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c5e76aed9d75f16897e7b99c33852c63c5e76aed9d75f16897e7b99c33852c6
46,SC000046,149,486,63,5,4,Delta ServiceContract 46,73.0200,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61b1fd49cd3958bd94019cae41887fd061b1fd49cd3958bd94019cae41887fd0
47,SC000047,308,13,304,5,4,Atlas ServiceContract 47,74.3900,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e5f1c2e01fe5e00ad66e2cdd9c7700d6e5f1c2e01fe5e00ad66e2cdd9c7700d
48,SC000048,302,475,469,6,5,Zenith ServiceContract 48,75.7600,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,872752d6563c5b9e99d39e29eedac649872752d6563c5b9e99d39e29eedac649
49,SC000049,277,364,262,4,5,Unity ServiceContract 49,77.1300,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4949e183f18e590cb63383f1a5a5a0e24949e183f18e590cb63383f1a5a5a0e2
50,SC000050,495,212,333,6,4,Vertex ServiceContract 50,78.5000,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d43588e1d4315cbc8de03f4415ea9f4cd43588e1d4315cbc8de03f4415ea9f4c
51,SC000051,167,411,302,5,5,Titan ServiceContract 51,79.8700,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,938b9970fd445c7b8ca7ad9fbb2f063f938b9970fd445c7b8ca7ad9fbb2f063f
52,SC000052,393,94,445,7,5,Ion ServiceContract 52,81.2400,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f3cb6f3999952e2863a66f05d7abda95f3cb6f3999952e2863a66f05d7abda9
53,SC000053,229,74,293,1,4,Cedar ServiceContract 53,82.6100,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7223bdf1ede54c28c0c6fe54a0bdc94e7223bdf1ede54c28c0c6fe54a0bdc94
54,SC000054,72,112,186,5,2,Meridian ServiceContract 54,83.9800,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,766c19eaf845538992f2bd5e8fa0428a766c19eaf845538992f2bd5e8fa0428a
55,SC000055,494,349,289,2,2,Riverton ServiceContract 55,85.3500,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d92ac8368ad4515a8ceb59bdd241ebcfd92ac8368ad4515a8ceb59bdd241ebcf
56,SC000056,107,449,442,7,2,Keystone ServiceContract 56,86.7200,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3861e15033256a09432190e5198394af3861e15033256a09432190e5198394a
57,SC000057,309,131,300,1,3,Harbor ServiceContract 57,88.0900,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cfb0f4ac41052ff9f1d57f63cc0cbcb8cfb0f4ac41052ff9f1d57f63cc0cbcb
58,SC000058,453,216,173,1,2,Delta ServiceContract 58,89.4600,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91134b22d6bc59188d8800aa9fc300c191134b22d6bc59188d8800aa9fc300c1
59,SC000059,85,241,5,4,1,Liberty ServiceContract 59,90.8300,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4be54d83ed8b5f5b911e07340d0da4044be54d83ed8b5f5b911e07340d0da404
60,SC000060,194,42,251,1,2,Liberty ServiceContract 60,92.2000,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8176e9fe7d815b5092ead0034ea2fc928176e9fe7d815b5092ead0034ea2fc92
61,SC000061,52,164,414,5,1,Willow ServiceContract 61,93.5700,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20ee6c3558a05fd58ecd9ca97e8879a320ee6c3558a05fd58ecd9ca97e8879a3
62,SC000062,419,112,343,1,2,Pioneer ServiceContract 62,94.9400,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34a61e2749185513937a4835d78f2b9b34a61e2749185513937a4835d78f2b9b
63,SC000063,200,263,426,1,3,Riverton ServiceContract 63,96.3100,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a72f872b5dc05036acf49aa4d5424e52a72f872b5dc05036acf49aa4d5424e52
64,SC000064,364,35,410,1,4,Orion ServiceContract 64,97.6800,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,180757cebbbd5ccab5f9b1eae7df5ea7180757cebbbd5ccab5f9b1eae7df5ea7
65,SC000065,71,350,126,5,2,Northstar ServiceContract 65,99.0500,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa572d0fa7ff509aaa2d44623e434bcdaa572d0fa7ff509aaa2d44623e434bcd
66,SC000066,95,459,412,4,3,Beacon ServiceContract 66,100.4200,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5da27e735c4259d89df9ef913c85cd705da27e735c4259d89df9ef913c85cd70
67,SC000067,331,269,393,7,5,Meridian ServiceContract 67,101.7900,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cf83b1ea5fa50bd8311f1a553a63c0e6cf83b1ea5fa50bd8311f1a553a63c0e
68,SC000068,173,462,321,5,1,Keystone ServiceContract 68,103.1600,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,129aa88bcb9651999038d977760d872e129aa88bcb9651999038d977760d872e
69,SC000069,176,190,30,2,4,Northstar ServiceContract 69,104.5300,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d351d37b37515986a34fdc5ede3506c7d351d37b37515986a34fdc5ede3506c7
70,SC000070,441,41,226,7,3,Zenith ServiceContract 70,105.9000,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b797677c377658db99a1fc24f2a952f6b797677c377658db99a1fc24f2a952f6
71,SC000071,238,242,43,7,4,Beacon ServiceContract 71,107.2700,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ac8a87c422c57349bf72d904355b9ce0ac8a87c422c57349bf72d904355b9ce
72,SC000072,438,93,21,7,5,Orion ServiceContract 72,108.6400,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81f04a5c88f751fa820531a78b0e7c9281f04a5c88f751fa820531a78b0e7c92
73,SC000073,380,369,171,3,5,Evergreen ServiceContract 73,110.0100,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e2e73ddfb6a5c678704d12a6c0b336d1e2e73ddfb6a5c678704d12a6c0b336d
74,SC000074,236,447,415,4,3,Zenith ServiceContract 74,111.3800,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50ea04e67994593d86632cee299b32d850ea04e67994593d86632cee299b32d8
75,SC000075,192,111,196,2,3,Granite ServiceContract 75,112.7500,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8c6b2a614ae56c6bd4e1b3648470cced8c6b2a614ae56c6bd4e1b3648470cce
76,SC000076,51,469,466,4,4,Forge ServiceContract 76,114.1200,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b61de721e4155df85756ccd5fc680cf9b61de721e4155df85756ccd5fc680cf
77,SC000077,421,249,428,7,1,Evergreen ServiceContract 77,115.4900,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0eb595306d752039953c0eabec85dd1e0eb595306d752039953c0eabec85dd1
78,SC000078,316,210,466,2,1,Forge ServiceContract 78,116.8600,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e1f57b1f07635cbd8928291be22f268be1f57b1f07635cbd8928291be22f268b
79,SC000079,449,62,200,1,1,Quartz ServiceContract 79,118.2300,8.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a309ca8416fe5087a8501ee65e04673da309ca8416fe5087a8501ee65e04673d
80,SC000080,56,239,214,1,4,Northstar ServiceContract 80,119.6000,9.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38e046481086561588117ba3a3b19af538e046481086561588117ba3a3b19af5
81,SC000081,440,123,128,5,3,Junction ServiceContract 81,120.9700,10.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,971d9ca016c155b0ac1c9f0a05287528971d9ca016c155b0ac1c9f0a05287528
82,SC000082,119,388,108,7,2,Granite ServiceContract 82,122.3400,11.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3df24dbba995ac29f9d88e176c516c7f3df24dbba995ac29f9d88e176c516c7
83,SC000083,186,110,104,6,5,Meridian ServiceContract 83,123.7100,12.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bec2b14a987566cbe0f8c78ec044b733bec2b14a987566cbe0f8c78ec044b73
84,SC000084,178,76,365,3,2,Meridian ServiceContract 84,125.0800,13.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24502a75c84555a987d79ab11b73417224502a75c84555a987d79ab11b734172
85,SC000085,248,353,311,6,1,Meridian ServiceContract 85,126.4500,14.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d91de3d1a41350289aaac24eac764fccd91de3d1a41350289aaac24eac764fcc
86,SC000086,373,386,319,5,2,Titan ServiceContract 86,127.8200,15.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,536b7a4793065ed68a8661a83bafb511536b7a4793065ed68a8661a83bafb511
87,SC000087,495,473,250,3,3,Granite ServiceContract 87,129.1900,16.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,907261c9c4b35de48a85acb2b097c3ab907261c9c4b35de48a85acb2b097c3ab
88,SC000088,455,77,493,2,2,Granite ServiceContract 88,130.5600,17.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b60ba9c96a9154fda277d46deb0e1f8cb60ba9c96a9154fda277d46deb0e1f8c
89,SC000089,124,7,282,7,2,Junction ServiceContract 89,131.9300,18.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,758ba6c43ac25b28ba5a289fcbef4781758ba6c43ac25b28ba5a289fcbef4781
90,SC000090,96,281,149,3,2,Willow ServiceContract 90,133.3000,19.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eae3835feb245889a8edcd95a3a2ecc6eae3835feb245889a8edcd95a3a2ecc6
91,SC000091,275,314,432,2,4,Zenith ServiceContract 91,134.6700,20.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdf42e6c80b35813991881dcc64ad06ffdf42e6c80b35813991881dcc64ad06f
92,SC000092,399,393,448,4,4,Zenith ServiceContract 92,136.0400,21.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f88f4dce6de5db597ea82b7cc89c1a27f88f4dce6de5db597ea82b7cc89c1a2
93,SC000093,245,442,81,3,3,Harbor ServiceContract 93,137.4100,22.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8926587292b55559a2eedff666a690b98926587292b55559a2eedff666a690b9
94,SC000094,71,97,153,4,3,Beacon ServiceContract 94,138.7800,23.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7863435b89c653f3b1eaa4682c01b1a97863435b89c653f3b1eaa4682c01b1a9
95,SC000095,337,47,76,4,4,Titan ServiceContract 95,140.1500,24.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2754dca026af5cc6b188fe945f518c562754dca026af5cc6b188fe945f518c56
96,SC000096,18,207,66,6,3,Cedar ServiceContract 96,141.5200,1.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c57bd604153a580d8b3f6256bfdb3153c57bd604153a580d8b3f6256bfdb3153
97,SC000097,471,279,182,1,4,Willow ServiceContract 97,142.8900,2.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5accaa08b8b35af685a0601a65af730d5accaa08b8b35af685a0601a65af730d
98,SC000098,376,1,470,1,3,Keystone ServiceContract 98,144.2600,3.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97a544e24e93565c9cd112e332be391e97a544e24e93565c9cd112e332be391e
99,SC000099,54,387,324,2,3,Unity ServiceContract 99,145.6300,4.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,feb65ce6dec95b4091d6af51ed5c78fcfeb65ce6dec95b4091d6af51ed5c78fc
100,SC000100,448,386,128,1,2,Beacon ServiceContract 100,147.0000,5.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5461563191f757078f099a5c67e9992c5461563191f757078f099a5c67e9992c
101,SC000101,492,292,295,3,5,Forge ServiceContract 101,148.3700,6.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bce8931318e55eb5bfef4ca852cd9910bce8931318e55eb5bfef4ca852cd9910
102,SC000102,474,102,231,6,5,Quartz ServiceContract 102,149.7400,7.00,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,babddb4598f15db18573246b49709ccebabddb4598f15db18573246b49709cce
