WarrantyClaimChannelKey,ClaimChannelCode,LanguageKey,ClaimChannelName,IsSelfServiceChannel,SourceSystemKey,BatchId,LoadedAtUtc
54,WCC000054,13,Harbor WarrantyClaimChannel 54,1,1,1,2026-08-24T00:00:00.000
55,WCC000055,2,Northstar WarrantyClaimChannel 55,0,1,1,2026-08-24T00:00:00.000
56,WCC000056,36,Riverton WarrantyClaimChannel 56,1,1,1,2026-08-24T00:00:00.000
57,WCC000057,35,Zenith WarrantyClaimChannel 57,1,1,1,2026-08-24T00:00:00.000
58,WCC000058,31,Pioneer WarrantyClaimChannel 58,1,1,1,2026-08-24T00:00:00.000
59,WCC000059,1,Summit WarrantyClaimChannel 59,1,1,1,2026-08-24T00:00:00.000
60,WCC000060,19,Northstar WarrantyClaimChannel 60,0,1,1,2026-08-24T00:00:00.000
61,WCC000061,15,Titan WarrantyClaimChannel 61,1,1,1,2026-08-24T00:00:00.000
62,WCC000062,1,Meridian WarrantyClaimChannel 62,1,1,1,2026-08-24T00:00:00.000
63,WCC000063,17,Pioneer WarrantyClaimChannel 63,1,1,1,2026-08-24T00:00:00.000
64,WCC000064,25,Summit WarrantyClaimChannel 64,1,1,1,2026-08-24T00:00:00.000
65,WCC000065,14,Quartz WarrantyClaimChannel 65,0,1,1,2026-08-24T00:00:00.000
66,WCC000066,20,Keystone WarrantyClaimChannel 66,1,1,1,2026-08-24T00:00:00.000
67,WCC000067,19,Vertex WarrantyClaimChannel 67,1,1,1,2026-08-24T00:00:00.000
68,WCC000068,23,Willow WarrantyClaimChannel 68,1,1,1,2026-08-24T00:00:00.000
69,WCC000069,25,Liberty WarrantyClaimChannel 69,1,1,1,2026-08-24T00:00:00.000
70,WCC000070,2,Summit WarrantyClaimChannel 70,0,1,1,2026-08-24T00:00:00.000
71,WCC000071,11,Atlas WarrantyClaimChannel 71,1,1,1,2026-08-24T00:00:00.000
72,WCC000072,20,Atlas WarrantyClaimChannel 72,1,1,1,2026-08-24T00:00:00.000
73,WCC000073,4,Harbor WarrantyClaimChannel 73,1,1,1,2026-08-24T00:00:00.000
74,WCC000074,8,Unity WarrantyClaimChannel 74,1,1,1,2026-08-24T00:00:00.000
75,WCC000075,26,Cedar WarrantyClaimChannel 75,0,1,1,2026-08-24T00:00:00.000
76,WCC000076,35,Keystone WarrantyClaimChannel 76,1,1,1,2026-08-24T00:00:00.000
77,WCC000077,24,Keystone WarrantyClaimChannel 77,1,1,1,2026-08-24T00:00:00.000
78,WCC000078,6,Meridian WarrantyClaimChannel 78,1,1,1,2026-08-24T00:00:00.000
79,WCC000079,28,Keystone WarrantyClaimChannel 79,1,1,1,2026-08-24T00:00:00.000
80,WCC000080,35,Junction WarrantyClaimChannel 80,0,1,1,2026-08-24T00:00:00.000
81,WCC000081,38,Unity WarrantyClaimChannel 81,1,1,1,2026-08-24T00:00:00.000
82,WCC000082,19,Summit WarrantyClaimChannel 82,1,1,1,2026-08-24T00:00:00.000
83,WCC000083,31,Riverton WarrantyClaimChannel 83,1,1,1,2026-08-24T00:00:00.000
84,WCC000084,35,Quartz WarrantyClaimChannel 84,1,1,1,2026-08-24T00:00:00.000
85,WCC000085,1,Meridian WarrantyClaimChannel 85,0,1,1,2026-08-24T00:00:00.000
86,WCC000086,13,Riverton WarrantyClaimChannel 86,1,1,1,2026-08-24T00:00:00.000
87,WCC000087,33,Quartz WarrantyClaimChannel 87,1,1,1,2026-08-24T00:00:00.000
88,WCC000088,18,Summit WarrantyClaimChannel 88,1,1,1,2026-08-24T00:00:00.000
89,WCC000089,26,Meridian WarrantyClaimChannel 89,1,1,1,2026-08-24T00:00:00.000
90,WCC000090,15,Keystone WarrantyClaimChannel 90,0,1,1,2026-08-24T00:00:00.000
91,WCC000091,11,Forge WarrantyClaimChannel 91,1,1,1,2026-08-24T00:00:00.000
92,WCC000092,38,Summit WarrantyClaimChannel 92,1,1,1,2026-08-24T00:00:00.000
93,WCC000093,26,Summit WarrantyClaimChannel 93,1,1,1,2026-08-24T00:00:00.000
94,WCC000094,31,Riverton WarrantyClaimChannel 94,1,1,1,2026-08-24T00:00:00.000
95,WCC000095,6,Zenith WarrantyClaimChannel 95,0,1,1,2026-08-24T00:00:00.000
96,WCC000096,34,Junction WarrantyClaimChannel 96,1,1,1,2026-08-24T00:00:00.000
97,WCC000097,39,Ion WarrantyClaimChannel 97,1,1,1,2026-08-24T00:00:00.000
98,WCC000098,33,Keystone WarrantyClaimChannel 98,1,1,1,2026-08-24T00:00:00.000
99,WCC000099,24,Beacon WarrantyClaimChannel 99,1,1,1,2026-08-24T00:00:00.000
100,WCC000100,33,Unity WarrantyClaimChannel 100,0,1,1,2026-08-24T00:00:00.000
101,WCC000101,6,Meridian WarrantyClaimChannel 101,1,1,1,2026-08-24T00:00:00.000
102,WCC000102,6,Orion WarrantyClaimChannel 102,1,1,1,2026-08-24T00:00:00.000
103,WCC000103,28,Keystone WarrantyClaimChannel 103,1,1,1,2026-08-24T00:00:00.000
104,WCC000104,9,Vertex WarrantyClaimChannel 104,1,1,1,2026-08-24T00:00:00.000
105,WCC000105,11,Harbor WarrantyClaimChannel 105,0,1,1,2026-08-24T00:00:00.000
106,WCC000106,13,Titan WarrantyClaimChannel 106,1,1,1,2026-08-24T00:00:00.000
107,WCC000107,16,Pioneer WarrantyClaimChannel 107,1,1,1,2026-08-24T00:00:00.000
108,WCC000108,8,Delta WarrantyClaimChannel 108,1,1,1,2026-08-24T00:00:00.000
109,WCC000109,7,Orion WarrantyClaimChannel 109,1,1,1,2026-08-24T00:00:00.000
110,WCC000110,23,Quartz WarrantyClaimChannel 110,0,1,1,2026-08-24T00:00:00.000
111,WCC000111,15,Northstar WarrantyClaimChannel 111,1,1,1,2026-08-24T00:00:00.000
112,WCC000112,1,Willow WarrantyClaimChannel 112,1,1,1,2026-08-24T00:00:00.000
113,WCC000113,25,Beacon WarrantyClaimChannel 113,1,1,1,2026-08-24T00:00:00.000
114,WCC000114,12,Titan WarrantyClaimChannel 114,1,1,1,2026-08-24T00:00:00.000
115,WCC000115,39,Keystone WarrantyClaimChannel 115,0,1,1,2026-08-24T00:00:00.000
116,WCC000116,40,Unity WarrantyClaimChannel 116,1,1,1,2026-08-24T00:00:00.000
117,WCC000117,18,Meridian WarrantyClaimChannel 117,1,1,1,2026-08-24T00:00:00.000
118,WCC000118,16,Granite WarrantyClaimChannel 118,1,1,1,2026-08-24T00:00:00.000
119,WCC000119,28,Junction WarrantyClaimChannel 119,1,1,1,2026-08-24T00:00:00.000
120,WCC000120,31,Forge WarrantyClaimChannel 120,0,1,1,2026-08-24T00:00:00.000
