EnergyTariffProviderKey,EnergyTariffProviderCode,EnergyTariffMarketKey,EnergyTariffProviderName,SourceSystemKey,BatchId,LoadedAtUtc
36,ETP000036,1,Zenith EnergyTariffProvider 36,1,1,2026-08-24T00:00:00.000
37,ETP000037,33,Granite EnergyTariffProvider 37,1,1,2026-08-24T00:00:00.000
38,ETP000038,30,Forge EnergyTariffProvider 38,1,1,2026-08-24T00:00:00.000
39,ETP000039,30,Titan EnergyTariffProvider 39,1,1,2026-08-24T00:00:00.000
40,ETP000040,20,Unity EnergyTariffProvider 40,1,1,2026-08-24T00:00:00.000
41,ETP000041,13,Summit EnergyTariffProvider 41,1,1,2026-08-24T00:00:00.000
42,ETP000042,27,Beacon EnergyTariffProvider 42,1,1,2026-08-24T00:00:00.000
43,ETP000043,37,Unity EnergyTariffProvider 43,1,1,2026-08-24T00:00:00.000
44,ETP000044,34,Harbor EnergyTariffProvider 44,1,1,2026-08-24T00:00:00.000
45,ETP000045,35,Evergreen EnergyTariffProvider 45,1,1,2026-08-24T00:00:00.000
46,ETP000046,40,Cedar EnergyTariffProvider 46,1,1,2026-08-24T00:00:00.000
47,ETP000047,25,Granite EnergyTariffProvider 47,1,1,2026-08-24T00:00:00.000
48,ETP000048,24,Liberty EnergyTariffProvider 48,1,1,2026-08-24T00:00:00.000
49,ETP000049,34,Titan EnergyTariffProvider 49,1,1,2026-08-24T00:00:00.000
50,ETP000050,26,Quartz EnergyTariffProvider 50,1,1,2026-08-24T00:00:00.000
51,ETP000051,5,Liberty EnergyTariffProvider 51,1,1,2026-08-24T00:00:00.000
52,ETP000052,21,Junction EnergyTariffProvider 52,1,1,2026-08-24T00:00:00.000
53,ETP000053,15,Granite EnergyTariffProvider 53,1,1,2026-08-24T00:00:00.000
54,ETP000054,6,Vertex EnergyTariffProvider 54,1,1,2026-08-24T00:00:00.000
55,ETP000055,10,Summit EnergyTariffProvider 55,1,1,2026-08-24T00:00:00.000
56,ETP000056,31,Titan EnergyTariffProvider 56,1,1,2026-08-24T00:00:00.000
57,ETP000057,34,Granite EnergyTariffProvider 57,1,1,2026-08-24T00:00:00.000
58,ETP000058,13,Granite EnergyTariffProvider 58,1,1,2026-08-24T00:00:00.000
59,ETP000059,23,Junction EnergyTariffProvider 59,1,1,2026-08-24T00:00:00.000
60,ETP000060,16,Orion EnergyTariffProvider 60,1,1,2026-08-24T00:00:00.000
61,ETP000061,15,Titan EnergyTariffProvider 61,1,1,2026-08-24T00:00:00.000
62,ETP000062,1,Atlas EnergyTariffProvider 62,1,1,2026-08-24T00:00:00.000
63,ETP000063,25,Orion EnergyTariffProvider 63,1,1,2026-08-24T00:00:00.000
64,ETP000064,4,Beacon EnergyTariffProvider 64,1,1,2026-08-24T00:00:00.000
65,ETP000065,19,Northstar EnergyTariffProvider 65,1,1,2026-08-24T00:00:00.000
66,ETP000066,26,Riverton EnergyTariffProvider 66,1,1,2026-08-24T00:00:00.000
67,ETP000067,27,Junction EnergyTariffProvider 67,1,1,2026-08-24T00:00:00.000
68,ETP000068,1,Willow EnergyTariffProvider 68,1,1,2026-08-24T00:00:00.000
69,ETP000069,17,Liberty EnergyTariffProvider 69,1,1,2026-08-24T00:00:00.000
70,ETP000070,3,Pioneer EnergyTariffProvider 70,1,1,2026-08-24T00:00:00.000
71,ETP000071,19,Zenith EnergyTariffProvider 71,1,1,2026-08-24T00:00:00.000
72,ETP000072,40,Harbor EnergyTariffProvider 72,1,1,2026-08-24T00:00:00.000
73,ETP000073,13,Titan EnergyTariffProvider 73,1,1,2026-08-24T00:00:00.000
74,ETP000074,14,Atlas EnergyTariffProvider 74,1,1,2026-08-24T00:00:00.000
75,ETP000075,33,Orion EnergyTariffProvider 75,1,1,2026-08-24T00:00:00.000
76,ETP000076,3,Pioneer EnergyTariffProvider 76,1,1,2026-08-24T00:00:00.000
77,ETP000077,29,Pioneer EnergyTariffProvider 77,1,1,2026-08-24T00:00:00.000
78,ETP000078,13,Willow EnergyTariffProvider 78,1,1,2026-08-24T00:00:00.000
79,ETP000079,15,Orion EnergyTariffProvider 79,1,1,2026-08-24T00:00:00.000
80,ETP000080,37,Summit EnergyTariffProvider 80,1,1,2026-08-24T00:00:00.000
81,ETP000081,25,Cedar EnergyTariffProvider 81,1,1,2026-08-24T00:00:00.000
82,ETP000082,27,Beacon EnergyTariffProvider 82,1,1,2026-08-24T00:00:00.000
83,ETP000083,2,Ion EnergyTariffProvider 83,1,1,2026-08-24T00:00:00.000
84,ETP000084,20,Junction EnergyTariffProvider 84,1,1,2026-08-24T00:00:00.000
85,ETP000085,25,Titan EnergyTariffProvider 85,1,1,2026-08-24T00:00:00.000
86,ETP000086,20,Delta EnergyTariffProvider 86,1,1,2026-08-24T00:00:00.000
87,ETP000087,16,Granite EnergyTariffProvider 87,1,1,2026-08-24T00:00:00.000
88,ETP000088,28,Harbor EnergyTariffProvider 88,1,1,2026-08-24T00:00:00.000
89,ETP000089,26,Unity EnergyTariffProvider 89,1,1,2026-08-24T00:00:00.000
90,ETP000090,28,Junction EnergyTariffProvider 90,1,1,2026-08-24T00:00:00.000
91,ETP000091,38,Evergreen EnergyTariffProvider 91,1,1,2026-08-24T00:00:00.000
92,ETP000092,1,Keystone EnergyTariffProvider 92,1,1,2026-08-24T00:00:00.000
93,ETP000093,37,Pioneer EnergyTariffProvider 93,1,1,2026-08-24T00:00:00.000
94,ETP000094,24,Atlas EnergyTariffProvider 94,1,1,2026-08-24T00:00:00.000
95,ETP000095,22,Summit EnergyTariffProvider 95,1,1,2026-08-24T00:00:00.000
96,ETP000096,39,Vertex EnergyTariffProvider 96,1,1,2026-08-24T00:00:00.000
97,ETP000097,6,Delta EnergyTariffProvider 97,1,1,2026-08-24T00:00:00.000
98,ETP000098,35,Meridian EnergyTariffProvider 98,1,1,2026-08-24T00:00:00.000
99,ETP000099,21,Atlas EnergyTariffProvider 99,1,1,2026-08-24T00:00:00.000
100,ETP000100,7,Northstar EnergyTariffProvider 100,1,1,2026-08-24T00:00:00.000
101,ETP000101,11,Summit EnergyTariffProvider 101,1,1,2026-08-24T00:00:00.000
102,ETP000102,34,Harbor EnergyTariffProvider 102,1,1,2026-08-24T00:00:00.000
103,ETP000103,40,Zenith EnergyTariffProvider 103,1,1,2026-08-24T00:00:00.000
104,ETP000104,31,Ion EnergyTariffProvider 104,1,1,2026-08-24T00:00:00.000
105,ETP000105,27,Forge EnergyTariffProvider 105,1,1,2026-08-24T00:00:00.000
106,ETP000106,21,Riverton EnergyTariffProvider 106,1,1,2026-08-24T00:00:00.000
107,ETP000107,16,Willow EnergyTariffProvider 107,1,1,2026-08-24T00:00:00.000
108,ETP000108,5,Orion EnergyTariffProvider 108,1,1,2026-08-24T00:00:00.000
109,ETP000109,24,Beacon EnergyTariffProvider 109,1,1,2026-08-24T00:00:00.000
110,ETP000110,31,Evergreen EnergyTariffProvider 110,1,1,2026-08-24T00:00:00.000
111,ETP000111,22,Evergreen EnergyTariffProvider 111,1,1,2026-08-24T00:00:00.000
112,ETP000112,30,Cedar EnergyTariffProvider 112,1,1,2026-08-24T00:00:00.000
113,ETP000113,15,Evergreen EnergyTariffProvider 113,1,1,2026-08-24T00:00:00.000
114,ETP000114,4,Liberty EnergyTariffProvider 114,1,1,2026-08-24T00:00:00.000
115,ETP000115,36,Delta EnergyTariffProvider 115,1,1,2026-08-24T00:00:00.000
116,ETP000116,29,Titan EnergyTariffProvider 116,1,1,2026-08-24T00:00:00.000
117,ETP000117,6,Titan EnergyTariffProvider 117,1,1,2026-08-24T00:00:00.000
118,ETP000118,9,Quartz EnergyTariffProvider 118,1,1,2026-08-24T00:00:00.000
119,ETP000119,18,Granite EnergyTariffProvider 119,1,1,2026-08-24T00:00:00.000
120,ETP000120,30,Willow EnergyTariffProvider 120,1,1,2026-08-24T00:00:00.000
121,ETP000121,16,Keystone EnergyTariffProvider 121,1,1,2026-08-24T00:00:00.000
122,ETP000122,36,Vertex EnergyTariffProvider 122,1,1,2026-08-24T00:00:00.000
123,ETP000123,37,Liberty EnergyTariffProvider 123,1,1,2026-08-24T00:00:00.000
124,ETP000124,33,Delta EnergyTariffProvider 124,1,1,2026-08-24T00:00:00.000
125,ETP000125,28,Northstar EnergyTariffProvider 125,1,1,2026-08-24T00:00:00.000
126,ETP000126,15,Pioneer EnergyTariffProvider 126,1,1,2026-08-24T00:00:00.000
127,ETP000127,24,Ion EnergyTariffProvider 127,1,1,2026-08-24T00:00:00.000
128,ETP000128,10,Orion EnergyTariffProvider 128,1,1,2026-08-24T00:00:00.000
129,ETP000129,15,Cedar EnergyTariffProvider 129,1,1,2026-08-24T00:00:00.000
130,ETP000130,9,Meridian EnergyTariffProvider 130,1,1,2026-08-24T00:00:00.000
131,ETP000131,3,Granite EnergyTariffProvider 131,1,1,2026-08-24T00:00:00.000
132,ETP000132,16,Zenith EnergyTariffProvider 132,1,1,2026-08-24T00:00:00.000
133,ETP000133,40,Forge EnergyTariffProvider 133,1,1,2026-08-24T00:00:00.000
134,ETP000134,23,Titan EnergyTariffProvider 134,1,1,2026-08-24T00:00:00.000
135,ETP000135,35,Unity EnergyTariffProvider 135,1,1,2026-08-24T00:00:00.000
136,ETP000136,39,Atlas EnergyTariffProvider 136,1,1,2026-08-24T00:00:00.000
137,ETP000137,9,Atlas EnergyTariffProvider 137,1,1,2026-08-24T00:00:00.000
138,ETP000138,25,Junction EnergyTariffProvider 138,1,1,2026-08-24T00:00:00.000
139,ETP000139,13,Quartz EnergyTariffProvider 139,1,1,2026-08-24T00:00:00.000
140,ETP000140,17,Willow EnergyTariffProvider 140,1,1,2026-08-24T00:00:00.000
141,ETP000141,25,Unity EnergyTariffProvider 141,1,1,2026-08-24T00:00:00.000
142,ETP000142,8,Keystone EnergyTariffProvider 142,1,1,2026-08-24T00:00:00.000
143,ETP000143,4,Granite EnergyTariffProvider 143,1,1,2026-08-24T00:00:00.000
144,ETP000144,9,Keystone EnergyTariffProvider 144,1,1,2026-08-24T00:00:00.000
145,ETP000145,34,Keystone EnergyTariffProvider 145,1,1,2026-08-24T00:00:00.000
146,ETP000146,20,Junction EnergyTariffProvider 146,1,1,2026-08-24T00:00:00.000
147,ETP000147,35,Ion EnergyTariffProvider 147,1,1,2026-08-24T00:00:00.000
148,ETP000148,3,Granite EnergyTariffProvider 148,1,1,2026-08-24T00:00:00.000
149,ETP000149,31,Forge EnergyTariffProvider 149,1,1,2026-08-24T00:00:00.000
150,ETP000150,37,Beacon EnergyTariffProvider 150,1,1,2026-08-24T00:00:00.000
151,ETP000151,27,Titan EnergyTariffProvider 151,1,1,2026-08-24T00:00:00.000
152,ETP000152,1,Titan EnergyTariffProvider 152,1,1,2026-08-24T00:00:00.000
153,ETP000153,13,Unity EnergyTariffProvider 153,1,1,2026-08-24T00:00:00.000
154,ETP000154,2,Orion EnergyTariffProvider 154,1,1,2026-08-24T00:00:00.000
155,ETP000155,5,Northstar EnergyTariffProvider 155,1,1,2026-08-24T00:00:00.000
156,ETP000156,10,Ion EnergyTariffProvider 156,1,1,2026-08-24T00:00:00.000
157,ETP000157,4,Harbor EnergyTariffProvider 157,1,1,2026-08-24T00:00:00.000
158,ETP000158,16,Atlas EnergyTariffProvider 158,1,1,2026-08-24T00:00:00.000
159,ETP000159,32,Riverton EnergyTariffProvider 159,1,1,2026-08-24T00:00:00.000
160,ETP000160,30,Ion EnergyTariffProvider 160,1,1,2026-08-24T00:00:00.000
161,ETP000161,31,Atlas EnergyTariffProvider 161,1,1,2026-08-24T00:00:00.000
162,ETP000162,29,Evergreen EnergyTariffProvider 162,1,1,2026-08-24T00:00:00.000
163,ETP000163,18,Titan EnergyTariffProvider 163,1,1,2026-08-24T00:00:00.000
164,ETP000164,13,Forge EnergyTariffProvider 164,1,1,2026-08-24T00:00:00.000
165,ETP000165,37,Atlas EnergyTariffProvider 165,1,1,2026-08-24T00:00:00.000
166,ETP000166,14,Delta EnergyTariffProvider 166,1,1,2026-08-24T00:00:00.000
167,ETP000167,4,Delta EnergyTariffProvider 167,1,1,2026-08-24T00:00:00.000
168,ETP000168,40,Meridian EnergyTariffProvider 168,1,1,2026-08-24T00:00:00.000
169,ETP000169,31,Pioneer EnergyTariffProvider 169,1,1,2026-08-24T00:00:00.000
170,ETP000170,37,Beacon EnergyTariffProvider 170,1,1,2026-08-24T00:00:00.000
171,ETP000171,37,Granite EnergyTariffProvider 171,1,1,2026-08-24T00:00:00.000
172,ETP000172,40,Atlas EnergyTariffProvider 172,1,1,2026-08-24T00:00:00.000
173,ETP000173,21,Keystone EnergyTariffProvider 173,1,1,2026-08-24T00:00:00.000
174,ETP000174,2,Evergreen EnergyTariffProvider 174,1,1,2026-08-24T00:00:00.000
175,ETP000175,21,Willow EnergyTariffProvider 175,1,1,2026-08-24T00:00:00.000
176,ETP000176,32,Forge EnergyTariffProvider 176,1,1,2026-08-24T00:00:00.000
177,ETP000177,11,Summit EnergyTariffProvider 177,1,1,2026-08-24T00:00:00.000
178,ETP000178,35,Willow EnergyTariffProvider 178,1,1,2026-08-24T00:00:00.000
179,ETP000179,20,Delta EnergyTariffProvider 179,1,1,2026-08-24T00:00:00.000
180,ETP000180,29,Atlas EnergyTariffProvider 180,1,1,2026-08-24T00:00:00.000
181,ETP000181,30,Unity EnergyTariffProvider 181,1,1,2026-08-24T00:00:00.000
182,ETP000182,17,Meridian EnergyTariffProvider 182,1,1,2026-08-24T00:00:00.000
183,ETP000183,27,Liberty EnergyTariffProvider 183,1,1,2026-08-24T00:00:00.000
184,ETP000184,18,Pioneer EnergyTariffProvider 184,1,1,2026-08-24T00:00:00.000
185,ETP000185,35,Beacon EnergyTariffProvider 185,1,1,2026-08-24T00:00:00.000
186,ETP000186,8,Meridian EnergyTariffProvider 186,1,1,2026-08-24T00:00:00.000
187,ETP000187,9,Orion EnergyTariffProvider 187,1,1,2026-08-24T00:00:00.000
188,ETP000188,29,Granite EnergyTariffProvider 188,1,1,2026-08-24T00:00:00.000
189,ETP000189,6,Pioneer EnergyTariffProvider 189,1,1,2026-08-24T00:00:00.000
190,ETP000190,8,Evergreen EnergyTariffProvider 190,1,1,2026-08-24T00:00:00.000
191,ETP000191,39,Vertex EnergyTariffProvider 191,1,1,2026-08-24T00:00:00.000
192,ETP000192,36,Orion EnergyTariffProvider 192,1,1,2026-08-24T00:00:00.000
193,ETP000193,36,Summit EnergyTariffProvider 193,1,1,2026-08-24T00:00:00.000
194,ETP000194,25,Summit EnergyTariffProvider 194,1,1,2026-08-24T00:00:00.000
195,ETP000195,39,Vertex EnergyTariffProvider 195,1,1,2026-08-24T00:00:00.000
196,ETP000196,1,Titan EnergyTariffProvider 196,1,1,2026-08-24T00:00:00.000
197,ETP000197,15,Zenith EnergyTariffProvider 197,1,1,2026-08-24T00:00:00.000
198,ETP000198,15,Forge EnergyTariffProvider 198,1,1,2026-08-24T00:00:00.000
199,ETP000199,38,Vertex EnergyTariffProvider 199,1,1,2026-08-24T00:00:00.000
200,ETP000200,28,Keystone EnergyTariffProvider 200,1,1,2026-08-24T00:00:00.000
201,ETP000201,6,Delta EnergyTariffProvider 201,1,1,2026-08-24T00:00:00.000
202,ETP000202,38,Beacon EnergyTariffProvider 202,1,1,2026-08-24T00:00:00.000
203,ETP000203,37,Cedar EnergyTariffProvider 203,1,1,2026-08-24T00:00:00.000
204,ETP000204,18,Zenith EnergyTariffProvider 204,1,1,2026-08-24T00:00:00.000
205,ETP000205,7,Keystone EnergyTariffProvider 205,1,1,2026-08-24T00:00:00.000
206,ETP000206,4,Forge EnergyTariffProvider 206,1,1,2026-08-24T00:00:00.000
207,ETP000207,35,Forge EnergyTariffProvider 207,1,1,2026-08-24T00:00:00.000
208,ETP000208,13,Vertex EnergyTariffProvider 208,1,1,2026-08-24T00:00:00.000
209,ETP000209,1,Orion EnergyTariffProvider 209,1,1,2026-08-24T00:00:00.000
210,ETP000210,2,Willow EnergyTariffProvider 210,1,1,2026-08-24T00:00:00.000
211,ETP000211,39,Granite EnergyTariffProvider 211,1,1,2026-08-24T00:00:00.000
212,ETP000212,35,Cedar EnergyTariffProvider 212,1,1,2026-08-24T00:00:00.000
213,ETP000213,31,Forge EnergyTariffProvider 213,1,1,2026-08-24T00:00:00.000
214,ETP000214,35,Keystone EnergyTariffProvider 214,1,1,2026-08-24T00:00:00.000
215,ETP000215,20,Zenith EnergyTariffProvider 215,1,1,2026-08-24T00:00:00.000
216,ETP000216,19,Orion EnergyTariffProvider 216,1,1,2026-08-24T00:00:00.000
217,ETP000217,27,Titan EnergyTariffProvider 217,1,1,2026-08-24T00:00:00.000
218,ETP000218,30,Liberty EnergyTariffProvider 218,1,1,2026-08-24T00:00:00.000
219,ETP000219,21,Meridian EnergyTariffProvider 219,1,1,2026-08-24T00:00:00.000
220,ETP000220,27,Delta EnergyTariffProvider 220,1,1,2026-08-24T00:00:00.000
221,ETP000221,6,Northstar EnergyTariffProvider 221,1,1,2026-08-24T00:00:00.000
222,ETP000222,3,Evergreen EnergyTariffProvider 222,1,1,2026-08-24T00:00:00.000
223,ETP000223,39,Forge EnergyTariffProvider 223,1,1,2026-08-24T00:00:00.000
224,ETP000224,33,Riverton EnergyTariffProvider 224,1,1,2026-08-24T00:00:00.000
225,ETP000225,32,Evergreen EnergyTariffProvider 225,1,1,2026-08-24T00:00:00.000
226,ETP000226,19,Meridian EnergyTariffProvider 226,1,1,2026-08-24T00:00:00.000
227,ETP000227,11,Summit EnergyTariffProvider 227,1,1,2026-08-24T00:00:00.000
228,ETP000228,4,Atlas EnergyTariffProvider 228,1,1,2026-08-24T00:00:00.000
229,ETP000229,26,Summit EnergyTariffProvider 229,1,1,2026-08-24T00:00:00.000
230,ETP000230,30,Beacon EnergyTariffProvider 230,1,1,2026-08-24T00:00:00.000
231,ETP000231,9,Willow EnergyTariffProvider 231,1,1,2026-08-24T00:00:00.000
232,ETP000232,24,Meridian EnergyTariffProvider 232,1,1,2026-08-24T00:00:00.000
233,ETP000233,29,Atlas EnergyTariffProvider 233,1,1,2026-08-24T00:00:00.000
234,ETP000234,20,Zenith EnergyTariffProvider 234,1,1,2026-08-24T00:00:00.000
235,ETP000235,26,Ion EnergyTariffProvider 235,1,1,2026-08-24T00:00:00.000
236,ETP000236,20,Granite EnergyTariffProvider 236,1,1,2026-08-24T00:00:00.000
237,ETP000237,40,Northstar EnergyTariffProvider 237,1,1,2026-08-24T00:00:00.000
238,ETP000238,33,Beacon EnergyTariffProvider 238,1,1,2026-08-24T00:00:00.000
239,ETP000239,31,Zenith EnergyTariffProvider 239,1,1,2026-08-24T00:00:00.000
240,ETP000240,24,Riverton EnergyTariffProvider 240,1,1,2026-08-24T00:00:00.000
241,ETP000241,16,Zenith EnergyTariffProvider 241,1,1,2026-08-24T00:00:00.000
242,ETP000242,10,Harbor EnergyTariffProvider 242,1,1,2026-08-24T00:00:00.000
243,ETP000243,16,Junction EnergyTariffProvider 243,1,1,2026-08-24T00:00:00.000
244,ETP000244,2,Northstar EnergyTariffProvider 244,1,1,2026-08-24T00:00:00.000
245,ETP000245,4,Ion EnergyTariffProvider 245,1,1,2026-08-24T00:00:00.000
246,ETP000246,25,Atlas EnergyTariffProvider 246,1,1,2026-08-24T00:00:00.000
247,ETP000247,5,Vertex EnergyTariffProvider 247,1,1,2026-08-24T00:00:00.000
248,ETP000248,30,Quartz EnergyTariffProvider 248,1,1,2026-08-24T00:00:00.000
249,ETP000249,37,Orion EnergyTariffProvider 249,1,1,2026-08-24T00:00:00.000
250,ETP000250,39,Willow EnergyTariffProvider 250,1,1,2026-08-24T00:00:00.000
251,ETP000251,2,Orion EnergyTariffProvider 251,1,1,2026-08-24T00:00:00.000
252,ETP000252,39,Beacon EnergyTariffProvider 252,1,1,2026-08-24T00:00:00.000
253,ETP000253,33,Orion EnergyTariffProvider 253,1,1,2026-08-24T00:00:00.000
254,ETP000254,9,Delta EnergyTariffProvider 254,1,1,2026-08-24T00:00:00.000
255,ETP000255,15,Titan EnergyTariffProvider 255,1,1,2026-08-24T00:00:00.000
256,ETP000256,31,Pioneer EnergyTariffProvider 256,1,1,2026-08-24T00:00:00.000
257,ETP000257,2,Orion EnergyTariffProvider 257,1,1,2026-08-24T00:00:00.000
258,ETP000258,3,Riverton EnergyTariffProvider 258,1,1,2026-08-24T00:00:00.000
259,ETP000259,6,Zenith EnergyTariffProvider 259,1,1,2026-08-24T00:00:00.000
260,ETP000260,23,Harbor EnergyTariffProvider 260,1,1,2026-08-24T00:00:00.000
261,ETP000261,1,Orion EnergyTariffProvider 261,1,1,2026-08-24T00:00:00.000
262,ETP000262,32,Meridian EnergyTariffProvider 262,1,1,2026-08-24T00:00:00.000
263,ETP000263,19,Titan EnergyTariffProvider 263,1,1,2026-08-24T00:00:00.000
264,ETP000264,9,Liberty EnergyTariffProvider 264,1,1,2026-08-24T00:00:00.000
265,ETP000265,16,Forge EnergyTariffProvider 265,1,1,2026-08-24T00:00:00.000
266,ETP000266,24,Ion EnergyTariffProvider 266,1,1,2026-08-24T00:00:00.000
267,ETP000267,33,Keystone EnergyTariffProvider 267,1,1,2026-08-24T00:00:00.000
268,ETP000268,4,Keystone EnergyTariffProvider 268,1,1,2026-08-24T00:00:00.000
269,ETP000269,23,Keystone EnergyTariffProvider 269,1,1,2026-08-24T00:00:00.000
270,ETP000270,26,Quartz EnergyTariffProvider 270,1,1,2026-08-24T00:00:00.000
271,ETP000271,19,Orion EnergyTariffProvider 271,1,1,2026-08-24T00:00:00.000
272,ETP000272,5,Cedar EnergyTariffProvider 272,1,1,2026-08-24T00:00:00.000
273,ETP000273,1,Quartz EnergyTariffProvider 273,1,1,2026-08-24T00:00:00.000
274,ETP000274,8,Orion EnergyTariffProvider 274,1,1,2026-08-24T00:00:00.000
275,ETP000275,19,Atlas EnergyTariffProvider 275,1,1,2026-08-24T00:00:00.000
276,ETP000276,26,Meridian EnergyTariffProvider 276,1,1,2026-08-24T00:00:00.000
277,ETP000277,9,Meridian EnergyTariffProvider 277,1,1,2026-08-24T00:00:00.000
278,ETP000278,13,Forge EnergyTariffProvider 278,1,1,2026-08-24T00:00:00.000
279,ETP000279,20,Forge EnergyTariffProvider 279,1,1,2026-08-24T00:00:00.000
280,ETP000280,13,Unity EnergyTariffProvider 280,1,1,2026-08-24T00:00:00.000
281,ETP000281,35,Harbor EnergyTariffProvider 281,1,1,2026-08-24T00:00:00.000
282,ETP000282,29,Ion EnergyTariffProvider 282,1,1,2026-08-24T00:00:00.000
283,ETP000283,8,Pioneer EnergyTariffProvider 283,1,1,2026-08-24T00:00:00.000
284,ETP000284,8,Riverton EnergyTariffProvider 284,1,1,2026-08-24T00:00:00.000
285,ETP000285,23,Summit EnergyTariffProvider 285,1,1,2026-08-24T00:00:00.000
286,ETP000286,21,Vertex EnergyTariffProvider 286,1,1,2026-08-24T00:00:00.000
287,ETP000287,29,Zenith EnergyTariffProvider 287,1,1,2026-08-24T00:00:00.000
288,ETP000288,36,Vertex EnergyTariffProvider 288,1,1,2026-08-24T00:00:00.000
289,ETP000289,32,Keystone EnergyTariffProvider 289,1,1,2026-08-24T00:00:00.000
290,ETP000290,14,Granite EnergyTariffProvider 290,1,1,2026-08-24T00:00:00.000
291,ETP000291,38,Unity EnergyTariffProvider 291,1,1,2026-08-24T00:00:00.000
292,ETP000292,19,Cedar EnergyTariffProvider 292,1,1,2026-08-24T00:00:00.000
293,ETP000293,1,Liberty EnergyTariffProvider 293,1,1,2026-08-24T00:00:00.000
294,ETP000294,27,Titan EnergyTariffProvider 294,1,1,2026-08-24T00:00:00.000
295,ETP000295,7,Quartz EnergyTariffProvider 295,1,1,2026-08-24T00:00:00.000
296,ETP000296,31,Forge EnergyTariffProvider 296,1,1,2026-08-24T00:00:00.000
297,ETP000297,15,Willow EnergyTariffProvider 297,1,1,2026-08-24T00:00:00.000
298,ETP000298,10,Keystone EnergyTariffProvider 298,1,1,2026-08-24T00:00:00.000
299,ETP000299,14,Vertex EnergyTariffProvider 299,1,1,2026-08-24T00:00:00.000
300,ETP000300,8,Riverton EnergyTariffProvider 300,1,1,2026-08-24T00:00:00.000
