SafetyChemicalCategoryKey,SafetyChemicalCategoryCode,SafetyChemicalFamilyKey,SafetyChemicalCategoryName,SourceSystemKey,BatchId,LoadedAtUtc
45,SCC000045,17,Delta SafetyChemicalCategory 45,1,1,2026-08-24T00:00:00.000
46,SCC000046,18,Granite SafetyChemicalCategory 46,1,1,2026-08-24T00:00:00.000
47,SCC000047,19,Orion SafetyChemicalCategory 47,1,1,2026-08-24T00:00:00.000
48,SCC000048,5,Willow SafetyChemicalCategory 48,1,1,2026-08-24T00:00:00.000
49,SCC000049,3,Junction SafetyChemicalCategory 49,1,1,2026-08-24T00:00:00.000
50,SCC000050,10,Titan SafetyChemicalCategory 50,1,1,2026-08-24T00:00:00.000
51,SCC000051,12,Junction SafetyChemicalCategory 51,1,1,2026-08-24T00:00:00.000
52,SCC000052,22,Northstar SafetyChemicalCategory 52,1,1,2026-08-24T00:00:00.000
53,SCC000053,20,Beacon SafetyChemicalCategory 53,1,1,2026-08-24T00:00:00.000
54,SCC000054,6,Evergreen SafetyChemicalCategory 54,1,1,2026-08-24T00:00:00.000
55,SCC000055,11,Willow SafetyChemicalCategory 55,1,1,2026-08-24T00:00:00.000
56,SCC000056,20,Pioneer SafetyChemicalCategory 56,1,1,2026-08-24T00:00:00.000
57,SCC000057,2,Orion SafetyChemicalCategory 57,1,1,2026-08-24T00:00:00.000
58,SCC000058,2,Cedar SafetyChemicalCategory 58,1,1,2026-08-24T00:00:00.000
59,SCC000059,17,Orion SafetyChemicalCategory 59,1,1,2026-08-24T00:00:00.000
60,SCC000060,5,Granite SafetyChemicalCategory 60,1,1,2026-08-24T00:00:00.000
61,SCC000061,8,Beacon SafetyChemicalCategory 61,1,1,2026-08-24T00:00:00.000
62,SCC000062,12,Delta SafetyChemicalCategory 62,1,1,2026-08-24T00:00:00.000
63,SCC000063,11,Granite SafetyChemicalCategory 63,1,1,2026-08-24T00:00:00.000
64,SCC000064,11,Cedar SafetyChemicalCategory 64,1,1,2026-08-24T00:00:00.000
65,SCC000065,18,Ion SafetyChemicalCategory 65,1,1,2026-08-24T00:00:00.000
66,SCC000066,18,Summit SafetyChemicalCategory 66,1,1,2026-08-24T00:00:00.000
67,SCC000067,24,Pioneer SafetyChemicalCategory 67,1,1,2026-08-24T00:00:00.000
68,SCC000068,9,Quartz SafetyChemicalCategory 68,1,1,2026-08-24T00:00:00.000
69,SCC000069,24,Delta SafetyChemicalCategory 69,1,1,2026-08-24T00:00:00.000
70,SCC000070,10,Keystone SafetyChemicalCategory 70,1,1,2026-08-24T00:00:00.000
71,SCC000071,7,Zenith SafetyChemicalCategory 71,1,1,2026-08-24T00:00:00.000
72,SCC000072,21,Harbor SafetyChemicalCategory 72,1,1,2026-08-24T00:00:00.000
73,SCC000073,21,Quartz SafetyChemicalCategory 73,1,1,2026-08-24T00:00:00.000
74,SCC000074,4,Northstar SafetyChemicalCategory 74,1,1,2026-08-24T00:00:00.000
75,SCC000075,23,Beacon SafetyChemicalCategory 75,1,1,2026-08-24T00:00:00.000
76,SCC000076,13,Orion SafetyChemicalCategory 76,1,1,2026-08-24T00:00:00.000
77,SCC000077,10,Liberty SafetyChemicalCategory 77,1,1,2026-08-24T00:00:00.000
78,SCC000078,13,Cedar SafetyChemicalCategory 78,1,1,2026-08-24T00:00:00.000
79,SCC000079,13,Junction SafetyChemicalCategory 79,1,1,2026-08-24T00:00:00.000
80,SCC000080,9,Zenith SafetyChemicalCategory 80,1,1,2026-08-24T00:00:00.000
81,SCC000081,3,Riverton SafetyChemicalCategory 81,1,1,2026-08-24T00:00:00.000
82,SCC000082,4,Summit SafetyChemicalCategory 82,1,1,2026-08-24T00:00:00.000
83,SCC000083,22,Summit SafetyChemicalCategory 83,1,1,2026-08-24T00:00:00.000
84,SCC000084,21,Ion SafetyChemicalCategory 84,1,1,2026-08-24T00:00:00.000
85,SCC000085,9,Summit SafetyChemicalCategory 85,1,1,2026-08-24T00:00:00.000
86,SCC000086,14,Delta SafetyChemicalCategory 86,1,1,2026-08-24T00:00:00.000
87,SCC000087,19,Orion SafetyChemicalCategory 87,1,1,2026-08-24T00:00:00.000
88,SCC000088,19,Summit SafetyChemicalCategory 88,1,1,2026-08-24T00:00:00.000
89,SCC000089,10,Evergreen SafetyChemicalCategory 89,1,1,2026-08-24T00:00:00.000
90,SCC000090,6,Zenith SafetyChemicalCategory 90,1,1,2026-08-24T00:00:00.000
91,SCC000091,16,Beacon SafetyChemicalCategory 91,1,1,2026-08-24T00:00:00.000
92,SCC000092,22,Summit SafetyChemicalCategory 92,1,1,2026-08-24T00:00:00.000
93,SCC000093,18,Zenith SafetyChemicalCategory 93,1,1,2026-08-24T00:00:00.000
94,SCC000094,9,Keystone SafetyChemicalCategory 94,1,1,2026-08-24T00:00:00.000
95,SCC000095,6,Zenith SafetyChemicalCategory 95,1,1,2026-08-24T00:00:00.000
96,SCC000096,8,Northstar SafetyChemicalCategory 96,1,1,2026-08-24T00:00:00.000
97,SCC000097,18,Liberty SafetyChemicalCategory 97,1,1,2026-08-24T00:00:00.000
98,SCC000098,8,Pioneer SafetyChemicalCategory 98,1,1,2026-08-24T00:00:00.000
99,SCC000099,21,Zenith SafetyChemicalCategory 99,1,1,2026-08-24T00:00:00.000
100,SCC000100,4,Granite SafetyChemicalCategory 100,1,1,2026-08-24T00:00:00.000
101,SCC000101,5,Titan SafetyChemicalCategory 101,1,1,2026-08-24T00:00:00.000
102,SCC000102,14,Harbor SafetyChemicalCategory 102,1,1,2026-08-24T00:00:00.000
103,SCC000103,20,Unity SafetyChemicalCategory 103,1,1,2026-08-24T00:00:00.000
104,SCC000104,10,Northstar SafetyChemicalCategory 104,1,1,2026-08-24T00:00:00.000
105,SCC000105,24,Zenith SafetyChemicalCategory 105,1,1,2026-08-24T00:00:00.000
106,SCC000106,16,Harbor SafetyChemicalCategory 106,1,1,2026-08-24T00:00:00.000
107,SCC000107,23,Titan SafetyChemicalCategory 107,1,1,2026-08-24T00:00:00.000
108,SCC000108,19,Cedar SafetyChemicalCategory 108,1,1,2026-08-24T00:00:00.000
109,SCC000109,23,Quartz SafetyChemicalCategory 109,1,1,2026-08-24T00:00:00.000
110,SCC000110,6,Riverton SafetyChemicalCategory 110,1,1,2026-08-24T00:00:00.000
111,SCC000111,20,Ion SafetyChemicalCategory 111,1,1,2026-08-24T00:00:00.000
112,SCC000112,17,Atlas SafetyChemicalCategory 112,1,1,2026-08-24T00:00:00.000
113,SCC000113,6,Evergreen SafetyChemicalCategory 113,1,1,2026-08-24T00:00:00.000
114,SCC000114,9,Cedar SafetyChemicalCategory 114,1,1,2026-08-24T00:00:00.000
115,SCC000115,18,Riverton SafetyChemicalCategory 115,1,1,2026-08-24T00:00:00.000
116,SCC000116,21,Atlas SafetyChemicalCategory 116,1,1,2026-08-24T00:00:00.000
117,SCC000117,5,Forge SafetyChemicalCategory 117,1,1,2026-08-24T00:00:00.000
118,SCC000118,18,Northstar SafetyChemicalCategory 118,1,1,2026-08-24T00:00:00.000
119,SCC000119,19,Granite SafetyChemicalCategory 119,1,1,2026-08-24T00:00:00.000
120,SCC000120,23,Harbor SafetyChemicalCategory 120,1,1,2026-08-24T00:00:00.000
121,SCC000121,1,Keystone SafetyChemicalCategory 121,1,1,2026-08-24T00:00:00.000
122,SCC000122,12,Liberty SafetyChemicalCategory 122,1,1,2026-08-24T00:00:00.000
123,SCC000123,13,Harbor SafetyChemicalCategory 123,1,1,2026-08-24T00:00:00.000
124,SCC000124,17,Forge SafetyChemicalCategory 124,1,1,2026-08-24T00:00:00.000
125,SCC000125,18,Cedar SafetyChemicalCategory 125,1,1,2026-08-24T00:00:00.000
126,SCC000126,15,Northstar SafetyChemicalCategory 126,1,1,2026-08-24T00:00:00.000
127,SCC000127,1,Ion SafetyChemicalCategory 127,1,1,2026-08-24T00:00:00.000
128,SCC000128,3,Liberty SafetyChemicalCategory 128,1,1,2026-08-24T00:00:00.000
129,SCC000129,17,Orion SafetyChemicalCategory 129,1,1,2026-08-24T00:00:00.000
130,SCC000130,18,Northstar SafetyChemicalCategory 130,1,1,2026-08-24T00:00:00.000
131,SCC000131,8,Beacon SafetyChemicalCategory 131,1,1,2026-08-24T00:00:00.000
132,SCC000132,11,Summit SafetyChemicalCategory 132,1,1,2026-08-24T00:00:00.000
133,SCC000133,17,Granite SafetyChemicalCategory 133,1,1,2026-08-24T00:00:00.000
134,SCC000134,1,Liberty SafetyChemicalCategory 134,1,1,2026-08-24T00:00:00.000
135,SCC000135,20,Pioneer SafetyChemicalCategory 135,1,1,2026-08-24T00:00:00.000
136,SCC000136,20,Ion SafetyChemicalCategory 136,1,1,2026-08-24T00:00:00.000
137,SCC000137,8,Meridian SafetyChemicalCategory 137,1,1,2026-08-24T00:00:00.000
138,SCC000138,22,Beacon SafetyChemicalCategory 138,1,1,2026-08-24T00:00:00.000
139,SCC000139,18,Atlas SafetyChemicalCategory 139,1,1,2026-08-24T00:00:00.000
140,SCC000140,17,Keystone SafetyChemicalCategory 140,1,1,2026-08-24T00:00:00.000
141,SCC000141,16,Willow SafetyChemicalCategory 141,1,1,2026-08-24T00:00:00.000
142,SCC000142,15,Delta SafetyChemicalCategory 142,1,1,2026-08-24T00:00:00.000
143,SCC000143,23,Pioneer SafetyChemicalCategory 143,1,1,2026-08-24T00:00:00.000
144,SCC000144,7,Cedar SafetyChemicalCategory 144,1,1,2026-08-24T00:00:00.000
145,SCC000145,24,Titan SafetyChemicalCategory 145,1,1,2026-08-24T00:00:00.000
146,SCC000146,4,Granite SafetyChemicalCategory 146,1,1,2026-08-24T00:00:00.000
147,SCC000147,3,Junction SafetyChemicalCategory 147,1,1,2026-08-24T00:00:00.000
148,SCC000148,24,Unity SafetyChemicalCategory 148,1,1,2026-08-24T00:00:00.000
149,SCC000149,17,Atlas SafetyChemicalCategory 149,1,1,2026-08-24T00:00:00.000
150,SCC000150,19,Vertex SafetyChemicalCategory 150,1,1,2026-08-24T00:00:00.000
151,SCC000151,20,Unity SafetyChemicalCategory 151,1,1,2026-08-24T00:00:00.000
152,SCC000152,3,Zenith SafetyChemicalCategory 152,1,1,2026-08-24T00:00:00.000
153,SCC000153,5,Northstar SafetyChemicalCategory 153,1,1,2026-08-24T00:00:00.000
154,SCC000154,2,Forge SafetyChemicalCategory 154,1,1,2026-08-24T00:00:00.000
155,SCC000155,8,Pioneer SafetyChemicalCategory 155,1,1,2026-08-24T00:00:00.000
156,SCC000156,22,Vertex SafetyChemicalCategory 156,1,1,2026-08-24T00:00:00.000
157,SCC000157,17,Atlas SafetyChemicalCategory 157,1,1,2026-08-24T00:00:00.000
158,SCC000158,3,Keystone SafetyChemicalCategory 158,1,1,2026-08-24T00:00:00.000
159,SCC000159,13,Harbor SafetyChemicalCategory 159,1,1,2026-08-24T00:00:00.000
160,SCC000160,3,Riverton SafetyChemicalCategory 160,1,1,2026-08-24T00:00:00.000
161,SCC000161,12,Ion SafetyChemicalCategory 161,1,1,2026-08-24T00:00:00.000
162,SCC000162,21,Riverton SafetyChemicalCategory 162,1,1,2026-08-24T00:00:00.000
163,SCC000163,1,Pioneer SafetyChemicalCategory 163,1,1,2026-08-24T00:00:00.000
164,SCC000164,23,Granite SafetyChemicalCategory 164,1,1,2026-08-24T00:00:00.000
165,SCC000165,12,Vertex SafetyChemicalCategory 165,1,1,2026-08-24T00:00:00.000
166,SCC000166,22,Keystone SafetyChemicalCategory 166,1,1,2026-08-24T00:00:00.000
167,SCC000167,2,Harbor SafetyChemicalCategory 167,1,1,2026-08-24T00:00:00.000
168,SCC000168,15,Orion SafetyChemicalCategory 168,1,1,2026-08-24T00:00:00.000
169,SCC000169,5,Vertex SafetyChemicalCategory 169,1,1,2026-08-24T00:00:00.000
170,SCC000170,18,Orion SafetyChemicalCategory 170,1,1,2026-08-24T00:00:00.000
171,SCC000171,5,Zenith SafetyChemicalCategory 171,1,1,2026-08-24T00:00:00.000
172,SCC000172,16,Northstar SafetyChemicalCategory 172,1,1,2026-08-24T00:00:00.000
173,SCC000173,7,Keystone SafetyChemicalCategory 173,1,1,2026-08-24T00:00:00.000
174,SCC000174,21,Vertex SafetyChemicalCategory 174,1,1,2026-08-24T00:00:00.000
175,SCC000175,7,Atlas SafetyChemicalCategory 175,1,1,2026-08-24T00:00:00.000
176,SCC000176,9,Atlas SafetyChemicalCategory 176,1,1,2026-08-24T00:00:00.000
177,SCC000177,22,Northstar SafetyChemicalCategory 177,1,1,2026-08-24T00:00:00.000
178,SCC000178,16,Riverton SafetyChemicalCategory 178,1,1,2026-08-24T00:00:00.000
179,SCC000179,17,Orion SafetyChemicalCategory 179,1,1,2026-08-24T00:00:00.000
180,SCC000180,3,Pioneer SafetyChemicalCategory 180,1,1,2026-08-24T00:00:00.000
