AccountSubGroupKey,AccountSubGroupCode,AccountGroupKey,AccountSubGroupName,SourceSystemKey,BatchId,LoadedAtUtc
28,ASG000028,19,Harbor AccountSubGroup 28,1,1,2026-08-24T00:00:00.000
29,ASG000029,7,Atlas AccountSubGroup 29,1,1,2026-08-24T00:00:00.000
30,ASG000030,34,Orion AccountSubGroup 30,1,1,2026-08-24T00:00:00.000
31,ASG000031,28,Zenith AccountSubGroup 31,1,1,2026-08-24T00:00:00.000
32,ASG000032,36,Pioneer AccountSubGroup 32,1,1,2026-08-24T00:00:00.000
33,ASG000033,45,Unity AccountSubGroup 33,1,1,2026-08-24T00:00:00.000
34,ASG000034,37,Liberty AccountSubGroup 34,1,1,2026-08-24T00:00:00.000
35,ASG000035,37,Meridian AccountSubGroup 35,1,1,2026-08-24T00:00:00.000
36,ASG000036,23,Delta AccountSubGroup 36,1,1,2026-08-24T00:00:00.000
37,ASG000037,24,Riverton AccountSubGroup 37,1,1,2026-08-24T00:00:00.000
38,ASG000038,22,Titan AccountSubGroup 38,1,1,2026-08-24T00:00:00.000
39,ASG000039,34,Northstar AccountSubGroup 39,1,1,2026-08-24T00:00:00.000
40,ASG000040,33,Cedar AccountSubGroup 40,1,1,2026-08-24T00:00:00.000
41,ASG000041,25,Willow AccountSubGroup 41,1,1,2026-08-24T00:00:00.000
42,ASG000042,20,Summit AccountSubGroup 42,1,1,2026-08-24T00:00:00.000
43,ASG000043,41,Vertex AccountSubGroup 43,1,1,2026-08-24T00:00:00.000
44,ASG000044,43,Unity AccountSubGroup 44,1,1,2026-08-24T00:00:00.000
45,ASG000045,43,Evergreen AccountSubGroup 45,1,1,2026-08-24T00:00:00.000
46,ASG000046,28,Unity AccountSubGroup 46,1,1,2026-08-24T00:00:00.000
47,ASG000047,33,Junction AccountSubGroup 47,1,1,2026-08-24T00:00:00.000
48,ASG000048,21,Delta AccountSubGroup 48,1,1,2026-08-24T00:00:00.000
49,ASG000049,13,Granite AccountSubGroup 49,1,1,2026-08-24T00:00:00.000
50,ASG000050,20,Titan AccountSubGroup 50,1,1,2026-08-24T00:00:00.000
51,ASG000051,37,Meridian AccountSubGroup 51,1,1,2026-08-24T00:00:00.000
52,ASG000052,10,Granite AccountSubGroup 52,1,1,2026-08-24T00:00:00.000
53,ASG000053,44,Liberty AccountSubGroup 53,1,1,2026-08-24T00:00:00.000
54,ASG000054,8,Liberty AccountSubGroup 54,1,1,2026-08-24T00:00:00.000
55,ASG000055,41,Junction AccountSubGroup 55,1,1,2026-08-24T00:00:00.000
56,ASG000056,37,Keystone AccountSubGroup 56,1,1,2026-08-24T00:00:00.000
57,ASG000057,39,Liberty AccountSubGroup 57,1,1,2026-08-24T00:00:00.000
58,ASG000058,36,Titan AccountSubGroup 58,1,1,2026-08-24T00:00:00.000
59,ASG000059,14,Forge AccountSubGroup 59,1,1,2026-08-24T00:00:00.000
60,ASG000060,44,Vertex AccountSubGroup 60,1,1,2026-08-24T00:00:00.000
61,ASG000061,7,Forge AccountSubGroup 61,1,1,2026-08-24T00:00:00.000
62,ASG000062,36,Beacon AccountSubGroup 62,1,1,2026-08-24T00:00:00.000
63,ASG000063,31,Evergreen AccountSubGroup 63,1,1,2026-08-24T00:00:00.000
64,ASG000064,4,Cedar AccountSubGroup 64,1,1,2026-08-24T00:00:00.000
65,ASG000065,6,Meridian AccountSubGroup 65,1,1,2026-08-24T00:00:00.000
66,ASG000066,27,Forge AccountSubGroup 66,1,1,2026-08-24T00:00:00.000
67,ASG000067,26,Ion AccountSubGroup 67,1,1,2026-08-24T00:00:00.000
68,ASG000068,3,Forge AccountSubGroup 68,1,1,2026-08-24T00:00:00.000
69,ASG000069,37,Ion AccountSubGroup 69,1,1,2026-08-24T00:00:00.000
70,ASG000070,20,Cedar AccountSubGroup 70,1,1,2026-08-24T00:00:00.000
71,ASG000071,2,Zenith AccountSubGroup 71,1,1,2026-08-24T00:00:00.000
72,ASG000072,24,Ion AccountSubGroup 72,1,1,2026-08-24T00:00:00.000
73,ASG000073,34,Unity AccountSubGroup 73,1,1,2026-08-24T00:00:00.000
74,ASG000074,3,Keystone AccountSubGroup 74,1,1,2026-08-24T00:00:00.000
75,ASG000075,39,Evergreen AccountSubGroup 75,1,1,2026-08-24T00:00:00.000
76,ASG000076,27,Unity AccountSubGroup 76,1,1,2026-08-24T00:00:00.000
77,ASG000077,11,Unity AccountSubGroup 77,1,1,2026-08-24T00:00:00.000
78,ASG000078,34,Atlas AccountSubGroup 78,1,1,2026-08-24T00:00:00.000
79,ASG000079,7,Orion AccountSubGroup 79,1,1,2026-08-24T00:00:00.000
80,ASG000080,21,Junction AccountSubGroup 80,1,1,2026-08-24T00:00:00.000
81,ASG000081,3,Unity AccountSubGroup 81,1,1,2026-08-24T00:00:00.000
82,ASG000082,32,Northstar AccountSubGroup 82,1,1,2026-08-24T00:00:00.000
83,ASG000083,28,Zenith AccountSubGroup 83,1,1,2026-08-24T00:00:00.000
84,ASG000084,32,Cedar AccountSubGroup 84,1,1,2026-08-24T00:00:00.000
85,ASG000085,7,Atlas AccountSubGroup 85,1,1,2026-08-24T00:00:00.000
86,ASG000086,25,Harbor AccountSubGroup 86,1,1,2026-08-24T00:00:00.000
87,ASG000087,4,Orion AccountSubGroup 87,1,1,2026-08-24T00:00:00.000
88,ASG000088,12,Forge AccountSubGroup 88,1,1,2026-08-24T00:00:00.000
89,ASG000089,4,Riverton AccountSubGroup 89,1,1,2026-08-24T00:00:00.000
90,ASG000090,25,Titan AccountSubGroup 90,1,1,2026-08-24T00:00:00.000
91,ASG000091,1,Northstar AccountSubGroup 91,1,1,2026-08-24T00:00:00.000
92,ASG000092,27,Willow AccountSubGroup 92,1,1,2026-08-24T00:00:00.000
93,ASG000093,26,Granite AccountSubGroup 93,1,1,2026-08-24T00:00:00.000
94,ASG000094,39,Titan AccountSubGroup 94,1,1,2026-08-24T00:00:00.000
95,ASG000095,15,Liberty AccountSubGroup 95,1,1,2026-08-24T00:00:00.000
96,ASG000096,2,Orion AccountSubGroup 96,1,1,2026-08-24T00:00:00.000
97,ASG000097,21,Delta AccountSubGroup 97,1,1,2026-08-24T00:00:00.000
98,ASG000098,31,Forge AccountSubGroup 98,1,1,2026-08-24T00:00:00.000
99,ASG000099,11,Riverton AccountSubGroup 99,1,1,2026-08-24T00:00:00.000
100,ASG000100,15,Meridian AccountSubGroup 100,1,1,2026-08-24T00:00:00.000
101,ASG000101,1,Ion AccountSubGroup 101,1,1,2026-08-24T00:00:00.000
102,ASG000102,2,Granite AccountSubGroup 102,1,1,2026-08-24T00:00:00.000
103,ASG000103,26,Willow AccountSubGroup 103,1,1,2026-08-24T00:00:00.000
104,ASG000104,41,Willow AccountSubGroup 104,1,1,2026-08-24T00:00:00.000
105,ASG000105,13,Granite AccountSubGroup 105,1,1,2026-08-24T00:00:00.000
106,ASG000106,12,Pioneer AccountSubGroup 106,1,1,2026-08-24T00:00:00.000
107,ASG000107,33,Delta AccountSubGroup 107,1,1,2026-08-24T00:00:00.000
108,ASG000108,12,Keystone AccountSubGroup 108,1,1,2026-08-24T00:00:00.000
109,ASG000109,45,Junction AccountSubGroup 109,1,1,2026-08-24T00:00:00.000
110,ASG000110,41,Titan AccountSubGroup 110,1,1,2026-08-24T00:00:00.000
111,ASG000111,16,Riverton AccountSubGroup 111,1,1,2026-08-24T00:00:00.000
112,ASG000112,20,Meridian AccountSubGroup 112,1,1,2026-08-24T00:00:00.000
113,ASG000113,31,Vertex AccountSubGroup 113,1,1,2026-08-24T00:00:00.000
114,ASG000114,35,Granite AccountSubGroup 114,1,1,2026-08-24T00:00:00.000
115,ASG000115,31,Atlas AccountSubGroup 115,1,1,2026-08-24T00:00:00.000
116,ASG000116,44,Harbor AccountSubGroup 116,1,1,2026-08-24T00:00:00.000
117,ASG000117,15,Pioneer AccountSubGroup 117,1,1,2026-08-24T00:00:00.000
118,ASG000118,41,Evergreen AccountSubGroup 118,1,1,2026-08-24T00:00:00.000
119,ASG000119,34,Keystone AccountSubGroup 119,1,1,2026-08-24T00:00:00.000
120,ASG000120,28,Beacon AccountSubGroup 120,1,1,2026-08-24T00:00:00.000
121,ASG000121,10,Liberty AccountSubGroup 121,1,1,2026-08-24T00:00:00.000
122,ASG000122,8,Granite AccountSubGroup 122,1,1,2026-08-24T00:00:00.000
123,ASG000123,18,Vertex AccountSubGroup 123,1,1,2026-08-24T00:00:00.000
124,ASG000124,42,Liberty AccountSubGroup 124,1,1,2026-08-24T00:00:00.000
125,ASG000125,11,Titan AccountSubGroup 125,1,1,2026-08-24T00:00:00.000
126,ASG000126,34,Vertex AccountSubGroup 126,1,1,2026-08-24T00:00:00.000
127,ASG000127,6,Meridian AccountSubGroup 127,1,1,2026-08-24T00:00:00.000
128,ASG000128,5,Ion AccountSubGroup 128,1,1,2026-08-24T00:00:00.000
129,ASG000129,40,Forge AccountSubGroup 129,1,1,2026-08-24T00:00:00.000
130,ASG000130,39,Forge AccountSubGroup 130,1,1,2026-08-24T00:00:00.000
131,ASG000131,45,Granite AccountSubGroup 131,1,1,2026-08-24T00:00:00.000
132,ASG000132,40,Unity AccountSubGroup 132,1,1,2026-08-24T00:00:00.000
133,ASG000133,26,Granite AccountSubGroup 133,1,1,2026-08-24T00:00:00.000
134,ASG000134,37,Willow AccountSubGroup 134,1,1,2026-08-24T00:00:00.000
135,ASG000135,26,Beacon AccountSubGroup 135,1,1,2026-08-24T00:00:00.000
136,ASG000136,37,Evergreen AccountSubGroup 136,1,1,2026-08-24T00:00:00.000
137,ASG000137,40,Quartz AccountSubGroup 137,1,1,2026-08-24T00:00:00.000
138,ASG000138,17,Willow AccountSubGroup 138,1,1,2026-08-24T00:00:00.000
139,ASG000139,20,Forge AccountSubGroup 139,1,1,2026-08-24T00:00:00.000
140,ASG000140,43,Cedar AccountSubGroup 140,1,1,2026-08-24T00:00:00.000
141,ASG000141,11,Cedar AccountSubGroup 141,1,1,2026-08-24T00:00:00.000
142,ASG000142,6,Harbor AccountSubGroup 142,1,1,2026-08-24T00:00:00.000
143,ASG000143,30,Willow AccountSubGroup 143,1,1,2026-08-24T00:00:00.000
144,ASG000144,41,Willow AccountSubGroup 144,1,1,2026-08-24T00:00:00.000
145,ASG000145,10,Forge AccountSubGroup 145,1,1,2026-08-24T00:00:00.000
146,ASG000146,21,Riverton AccountSubGroup 146,1,1,2026-08-24T00:00:00.000
147,ASG000147,23,Liberty AccountSubGroup 147,1,1,2026-08-24T00:00:00.000
148,ASG000148,8,Harbor AccountSubGroup 148,1,1,2026-08-24T00:00:00.000
149,ASG000149,10,Granite AccountSubGroup 149,1,1,2026-08-24T00:00:00.000
150,ASG000150,45,Atlas AccountSubGroup 150,1,1,2026-08-24T00:00:00.000
151,ASG000151,21,Meridian AccountSubGroup 151,1,1,2026-08-24T00:00:00.000
152,ASG000152,41,Liberty AccountSubGroup 152,1,1,2026-08-24T00:00:00.000
153,ASG000153,8,Ion AccountSubGroup 153,1,1,2026-08-24T00:00:00.000
154,ASG000154,15,Willow AccountSubGroup 154,1,1,2026-08-24T00:00:00.000
155,ASG000155,1,Delta AccountSubGroup 155,1,1,2026-08-24T00:00:00.000
156,ASG000156,3,Liberty AccountSubGroup 156,1,1,2026-08-24T00:00:00.000
157,ASG000157,20,Orion AccountSubGroup 157,1,1,2026-08-24T00:00:00.000
158,ASG000158,8,Summit AccountSubGroup 158,1,1,2026-08-24T00:00:00.000
159,ASG000159,37,Beacon AccountSubGroup 159,1,1,2026-08-24T00:00:00.000
160,ASG000160,8,Junction AccountSubGroup 160,1,1,2026-08-24T00:00:00.000
161,ASG000161,45,Quartz AccountSubGroup 161,1,1,2026-08-24T00:00:00.000
162,ASG000162,22,Cedar AccountSubGroup 162,1,1,2026-08-24T00:00:00.000
163,ASG000163,9,Titan AccountSubGroup 163,1,1,2026-08-24T00:00:00.000
164,ASG000164,35,Vertex AccountSubGroup 164,1,1,2026-08-24T00:00:00.000
165,ASG000165,26,Junction AccountSubGroup 165,1,1,2026-08-24T00:00:00.000
166,ASG000166,42,Unity AccountSubGroup 166,1,1,2026-08-24T00:00:00.000
167,ASG000167,13,Zenith AccountSubGroup 167,1,1,2026-08-24T00:00:00.000
168,ASG000168,24,Meridian AccountSubGroup 168,1,1,2026-08-24T00:00:00.000
169,ASG000169,7,Liberty AccountSubGroup 169,1,1,2026-08-24T00:00:00.000
170,ASG000170,18,Junction AccountSubGroup 170,1,1,2026-08-24T00:00:00.000
171,ASG000171,1,Ion AccountSubGroup 171,1,1,2026-08-24T00:00:00.000
172,ASG000172,3,Junction AccountSubGroup 172,1,1,2026-08-24T00:00:00.000
173,ASG000173,27,Titan AccountSubGroup 173,1,1,2026-08-24T00:00:00.000
174,ASG000174,41,Atlas AccountSubGroup 174,1,1,2026-08-24T00:00:00.000
175,ASG000175,20,Vertex AccountSubGroup 175,1,1,2026-08-24T00:00:00.000
176,ASG000176,3,Northstar AccountSubGroup 176,1,1,2026-08-24T00:00:00.000
177,ASG000177,38,Quartz AccountSubGroup 177,1,1,2026-08-24T00:00:00.000
178,ASG000178,7,Willow AccountSubGroup 178,1,1,2026-08-24T00:00:00.000
179,ASG000179,45,Liberty AccountSubGroup 179,1,1,2026-08-24T00:00:00.000
180,ASG000180,29,Pioneer AccountSubGroup 180,1,1,2026-08-24T00:00:00.000
181,ASG000181,14,Junction AccountSubGroup 181,1,1,2026-08-24T00:00:00.000
182,ASG000182,4,Ion AccountSubGroup 182,1,1,2026-08-24T00:00:00.000
183,ASG000183,14,Titan AccountSubGroup 183,1,1,2026-08-24T00:00:00.000
184,ASG000184,8,Liberty AccountSubGroup 184,1,1,2026-08-24T00:00:00.000
185,ASG000185,23,Keystone AccountSubGroup 185,1,1,2026-08-24T00:00:00.000
186,ASG000186,4,Meridian AccountSubGroup 186,1,1,2026-08-24T00:00:00.000
187,ASG000187,4,Evergreen AccountSubGroup 187,1,1,2026-08-24T00:00:00.000
188,ASG000188,13,Forge AccountSubGroup 188,1,1,2026-08-24T00:00:00.000
189,ASG000189,45,Delta AccountSubGroup 189,1,1,2026-08-24T00:00:00.000
190,ASG000190,34,Vertex AccountSubGroup 190,1,1,2026-08-24T00:00:00.000
191,ASG000191,37,Forge AccountSubGroup 191,1,1,2026-08-24T00:00:00.000
192,ASG000192,27,Orion AccountSubGroup 192,1,1,2026-08-24T00:00:00.000
193,ASG000193,36,Orion AccountSubGroup 193,1,1,2026-08-24T00:00:00.000
194,ASG000194,28,Delta AccountSubGroup 194,1,1,2026-08-24T00:00:00.000
195,ASG000195,7,Orion AccountSubGroup 195,1,1,2026-08-24T00:00:00.000
196,ASG000196,14,Titan AccountSubGroup 196,1,1,2026-08-24T00:00:00.000
197,ASG000197,39,Vertex AccountSubGroup 197,1,1,2026-08-24T00:00:00.000
198,ASG000198,34,Harbor AccountSubGroup 198,1,1,2026-08-24T00:00:00.000
199,ASG000199,18,Unity AccountSubGroup 199,1,1,2026-08-24T00:00:00.000
200,ASG000200,25,Liberty AccountSubGroup 200,1,1,2026-08-24T00:00:00.000
201,ASG000201,36,Atlas AccountSubGroup 201,1,1,2026-08-24T00:00:00.000
202,ASG000202,34,Meridian AccountSubGroup 202,1,1,2026-08-24T00:00:00.000
203,ASG000203,7,Willow AccountSubGroup 203,1,1,2026-08-24T00:00:00.000
204,ASG000204,44,Harbor AccountSubGroup 204,1,1,2026-08-24T00:00:00.000
205,ASG000205,29,Harbor AccountSubGroup 205,1,1,2026-08-24T00:00:00.000
206,ASG000206,35,Forge AccountSubGroup 206,1,1,2026-08-24T00:00:00.000
207,ASG000207,24,Atlas AccountSubGroup 207,1,1,2026-08-24T00:00:00.000
208,ASG000208,36,Zenith AccountSubGroup 208,1,1,2026-08-24T00:00:00.000
209,ASG000209,39,Evergreen AccountSubGroup 209,1,1,2026-08-24T00:00:00.000
210,ASG000210,10,Beacon AccountSubGroup 210,1,1,2026-08-24T00:00:00.000
211,ASG000211,24,Cedar AccountSubGroup 211,1,1,2026-08-24T00:00:00.000
212,ASG000212,41,Orion AccountSubGroup 212,1,1,2026-08-24T00:00:00.000
213,ASG000213,16,Zenith AccountSubGroup 213,1,1,2026-08-24T00:00:00.000
214,ASG000214,29,Delta AccountSubGroup 214,1,1,2026-08-24T00:00:00.000
215,ASG000215,10,Orion AccountSubGroup 215,1,1,2026-08-24T00:00:00.000
216,ASG000216,2,Willow AccountSubGroup 216,1,1,2026-08-24T00:00:00.000
217,ASG000217,5,Unity AccountSubGroup 217,1,1,2026-08-24T00:00:00.000
218,ASG000218,17,Riverton AccountSubGroup 218,1,1,2026-08-24T00:00:00.000
219,ASG000219,44,Cedar AccountSubGroup 219,1,1,2026-08-24T00:00:00.000
220,ASG000220,40,Orion AccountSubGroup 220,1,1,2026-08-24T00:00:00.000
