SupplierCategoryKey,SupplierCategoryCode,PaymentTermKey,RecordStatusKey,SupplierCategoryName,SupplierCategoryDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
34,SC000034,7,3,Delta SupplierCategory 34,SupplierCategory starter record 34,Jordan Hughes,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,SC000035,7,2,Forge SupplierCategory 35,SupplierCategory starter record 35,Jordan Adams,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,SC000036,2,4,Keystone SupplierCategory 36,SupplierCategory starter record 36,Emerson Bennett,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,SC000037,7,2,Granite SupplierCategory 37,SupplierCategory starter record 37,Morgan Patel,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,SC000038,6,3,Delta SupplierCategory 38,SupplierCategory starter record 38,Quinn Martin,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,SC000039,4,1,Meridian SupplierCategory 39,SupplierCategory starter record 39,Jordan Chen,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,SC000040,9,2,Vertex SupplierCategory 40,SupplierCategory starter record 40,Riley Khan,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,SC000041,5,4,Cedar SupplierCategory 41,SupplierCategory starter record 41,Emerson Martin,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,SC000042,9,1,Northstar SupplierCategory 42,SupplierCategory starter record 42,Morgan Chen,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,SC000043,2,3,Junction SupplierCategory 43,SupplierCategory starter record 43,Finley Diaz,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,SC000044,2,4,Pioneer SupplierCategory 44,SupplierCategory starter record 44,Alex Martin,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,SC000045,9,2,Junction SupplierCategory 45,SupplierCategory starter record 45,Riley Evans,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,SC000046,3,1,Quartz SupplierCategory 46,SupplierCategory starter record 46,Alex Evans,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,SC000047,18,4,Meridian SupplierCategory 47,SupplierCategory starter record 47,Alex Diaz,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,SC000048,8,4,Forge SupplierCategory 48,SupplierCategory starter record 48,Finley Diaz,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,SC000049,14,1,Quartz SupplierCategory 49,SupplierCategory starter record 49,Morgan Martin,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,SC000050,12,3,Delta SupplierCategory 50,SupplierCategory starter record 50,Quinn Reed,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,SC000051,17,2,Ion SupplierCategory 51,SupplierCategory starter record 51,Emerson Diaz,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,SC000052,2,3,Titan SupplierCategory 52,SupplierCategory starter record 52,Jordan Evans,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,SC000053,12,2,Granite SupplierCategory 53,SupplierCategory starter record 53,Devon Chen,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,SC000054,12,1,Keystone SupplierCategory 54,SupplierCategory starter record 54,Casey Chen,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,SC000055,15,2,Pioneer SupplierCategory 55,SupplierCategory starter record 55,Harper Khan,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,SC000056,10,3,Forge SupplierCategory 56,SupplierCategory starter record 56,Quinn Chen,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,SC000057,8,1,Pioneer SupplierCategory 57,SupplierCategory starter record 57,Harper Garcia,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,SC000058,13,4,Beacon SupplierCategory 58,SupplierCategory starter record 58,Casey Adams,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,SC000059,8,4,Granite SupplierCategory 59,SupplierCategory starter record 59,Riley Singh,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,SC000060,8,1,Junction SupplierCategory 60,SupplierCategory starter record 60,Quinn Reed,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,SC000061,13,4,Zenith SupplierCategory 61,SupplierCategory starter record 61,Taylor Patel,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,SC000062,14,1,Zenith SupplierCategory 62,SupplierCategory starter record 62,Emerson Adams,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,SC000063,9,4,Quartz SupplierCategory 63,SupplierCategory starter record 63,Jordan Garcia,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,SC000064,4,3,Meridian SupplierCategory 64,SupplierCategory starter record 64,Harper Singh,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,SC000065,12,4,Summit SupplierCategory 65,SupplierCategory starter record 65,Casey Chen,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,SC000066,17,1,Granite SupplierCategory 66,SupplierCategory starter record 66,Jordan Garcia,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,SC000067,11,1,Cedar SupplierCategory 67,SupplierCategory starter record 67,Finley Reed,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,SC000068,12,3,Riverton SupplierCategory 68,SupplierCategory starter record 68,Finley Martin,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,SC000069,9,1,Forge SupplierCategory 69,SupplierCategory starter record 69,Harper Khan,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,SC000070,3,1,Keystone SupplierCategory 70,SupplierCategory starter record 70,Devon Bennett,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,SC000071,18,4,Zenith SupplierCategory 71,SupplierCategory starter record 71,Blair Chen,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,SC000072,1,4,Ion SupplierCategory 72,SupplierCategory starter record 72,Finley Martin,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,SC000073,6,2,Meridian SupplierCategory 73,SupplierCategory starter record 73,Blair Khan,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,SC000074,14,1,Willow SupplierCategory 74,SupplierCategory starter record 74,Devon Singh,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,SC000075,3,2,Granite SupplierCategory 75,SupplierCategory starter record 75,Finley Adams,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,SC000076,8,1,Atlas SupplierCategory 76,SupplierCategory starter record 76,Jordan Martin,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,SC000077,14,2,Cedar SupplierCategory 77,SupplierCategory starter record 77,Alex Reed,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,SC000078,2,4,Cedar SupplierCategory 78,SupplierCategory starter record 78,Devon Bennett,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,SC000079,12,4,Summit SupplierCategory 79,SupplierCategory starter record 79,Casey Martin,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,SC000080,13,4,Orion SupplierCategory 80,SupplierCategory starter record 80,Riley Chen,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,SC000081,18,1,Beacon SupplierCategory 81,SupplierCategory starter record 81,Jordan Hughes,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,SC000082,2,4,Evergreen SupplierCategory 82,SupplierCategory starter record 82,Morgan Bennett,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,SC000083,17,1,Meridian SupplierCategory 83,SupplierCategory starter record 83,Finley Diaz,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,SC000084,18,1,Quartz SupplierCategory 84,SupplierCategory starter record 84,Devon Hughes,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,SC000085,8,1,Evergreen SupplierCategory 85,SupplierCategory starter record 85,Morgan Garcia,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,SC000086,5,1,Beacon SupplierCategory 86,SupplierCategory starter record 86,Alex Chen,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,SC000087,2,1,Forge SupplierCategory 87,SupplierCategory starter record 87,Jordan Adams,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,SC000088,10,3,Unity SupplierCategory 88,SupplierCategory starter record 88,Casey Patel,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,SC000089,5,3,Beacon SupplierCategory 89,SupplierCategory starter record 89,Morgan Garcia,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,SC000090,16,1,Summit SupplierCategory 90,SupplierCategory starter record 90,Casey Adams,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,SC000091,1,1,Zenith SupplierCategory 91,SupplierCategory starter record 91,Riley Adams,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,SC000092,7,2,Orion SupplierCategory 92,SupplierCategory starter record 92,Blair Martin,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,SC000093,11,2,Willow SupplierCategory 93,SupplierCategory starter record 93,Quinn Patel,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,SC000094,13,3,Willow SupplierCategory 94,SupplierCategory starter record 94,Riley Hughes,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,SC000095,2,2,Titan SupplierCategory 95,SupplierCategory starter record 95,Quinn Evans,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,SC000096,8,1,Granite SupplierCategory 96,SupplierCategory starter record 96,Riley Chen,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,SC000097,18,1,Titan SupplierCategory 97,SupplierCategory starter record 97,Finley Singh,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,SC000098,2,4,Zenith SupplierCategory 98,SupplierCategory starter record 98,Blair Singh,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,SC000099,3,1,Evergreen SupplierCategory 99,SupplierCategory starter record 99,Casey Martin,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,SC000100,8,1,Meridian SupplierCategory 100,SupplierCategory starter record 100,Quinn Patel,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,SC000101,3,1,Liberty SupplierCategory 101,SupplierCategory starter record 101,Morgan Evans,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,SC000102,14,2,Quartz SupplierCategory 102,SupplierCategory starter record 102,Harper Martin,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,SC000103,6,1,Junction SupplierCategory 103,SupplierCategory starter record 103,Jordan Garcia,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,SC000104,8,2,Atlas SupplierCategory 104,SupplierCategory starter record 104,Devon Singh,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,SC000105,15,4,Liberty SupplierCategory 105,SupplierCategory starter record 105,Jordan Garcia,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,SC000106,6,2,Beacon SupplierCategory 106,SupplierCategory starter record 106,Jordan Hughes,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,SC000107,10,4,Riverton SupplierCategory 107,SupplierCategory starter record 107,Taylor Garcia,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,SC000108,10,2,Zenith SupplierCategory 108,SupplierCategory starter record 108,Jordan Bennett,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,SC000109,12,3,Riverton SupplierCategory 109,SupplierCategory starter record 109,Riley Bennett,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,SC000110,2,4,Junction SupplierCategory 110,SupplierCategory starter record 110,Harper Diaz,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,SC000111,7,4,Atlas SupplierCategory 111,SupplierCategory starter record 111,Casey Adams,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,SC000112,7,1,Pioneer SupplierCategory 112,SupplierCategory starter record 112,Emerson Adams,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,SC000113,5,1,Granite SupplierCategory 113,SupplierCategory starter record 113,Quinn Diaz,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,SC000114,12,1,Harbor SupplierCategory 114,SupplierCategory starter record 114,Casey Singh,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,SC000115,11,3,Ion SupplierCategory 115,SupplierCategory starter record 115,Taylor Singh,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,SC000116,2,2,Quartz SupplierCategory 116,SupplierCategory starter record 116,Alex Reed,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,SC000117,7,3,Summit SupplierCategory 117,SupplierCategory starter record 117,Blair Martin,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,SC000118,13,1,Titan SupplierCategory 118,SupplierCategory starter record 118,Casey Chen,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,SC000119,18,1,Ion SupplierCategory 119,SupplierCategory starter record 119,Devon Patel,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,SC000120,12,4,Delta SupplierCategory 120,SupplierCategory starter record 120,Taylor Patel,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,SC000121,15,3,Orion SupplierCategory 121,SupplierCategory starter record 121,Jordan Martin,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,SC000122,7,4,Atlas SupplierCategory 122,SupplierCategory starter record 122,Jordan Garcia,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,SC000123,17,4,Delta SupplierCategory 123,SupplierCategory starter record 123,Jordan Hughes,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,SC000124,4,4,Harbor SupplierCategory 124,SupplierCategory starter record 124,Harper Martin,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,SC000125,13,2,Harbor SupplierCategory 125,SupplierCategory starter record 125,Devon Patel,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,SC000126,13,3,Granite SupplierCategory 126,SupplierCategory starter record 126,Finley Chen,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,SC000127,12,2,Northstar SupplierCategory 127,SupplierCategory starter record 127,Emerson Garcia,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,SC000128,2,1,Delta SupplierCategory 128,SupplierCategory starter record 128,Quinn Adams,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,SC000129,13,4,Vertex SupplierCategory 129,SupplierCategory starter record 129,Blair Khan,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,SC000130,9,3,Willow SupplierCategory 130,SupplierCategory starter record 130,Finley Hughes,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,SC000131,12,2,Atlas SupplierCategory 131,SupplierCategory starter record 131,Finley Singh,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,SC000132,5,1,Unity SupplierCategory 132,SupplierCategory starter record 132,Morgan Evans,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,SC000133,5,4,Riverton SupplierCategory 133,SupplierCategory starter record 133,Emerson Diaz,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,SC000134,11,4,Keystone SupplierCategory 134,SupplierCategory starter record 134,Quinn Bennett,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,SC000135,4,2,Summit SupplierCategory 135,SupplierCategory starter record 135,Finley Adams,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,SC000136,10,1,Ion SupplierCategory 136,SupplierCategory starter record 136,Harper Hughes,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,SC000137,13,3,Pioneer SupplierCategory 137,SupplierCategory starter record 137,Morgan Singh,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,SC000138,4,1,Northstar SupplierCategory 138,SupplierCategory starter record 138,Taylor Bennett,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,SC000139,15,2,Titan SupplierCategory 139,SupplierCategory starter record 139,Riley Hughes,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,SC000140,11,2,Meridian SupplierCategory 140,SupplierCategory starter record 140,Taylor Martin,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,SC000141,11,1,Willow SupplierCategory 141,SupplierCategory starter record 141,Jordan Khan,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,SC000142,4,4,Ion SupplierCategory 142,SupplierCategory starter record 142,Riley Bennett,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,SC000143,13,2,Northstar SupplierCategory 143,SupplierCategory starter record 143,Quinn Patel,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,SC000144,14,4,Vertex SupplierCategory 144,SupplierCategory starter record 144,Finley Reed,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,SC000145,17,3,Titan SupplierCategory 145,SupplierCategory starter record 145,Blair Evans,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,SC000146,8,1,Forge SupplierCategory 146,SupplierCategory starter record 146,Alex Khan,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,SC000147,5,4,Atlas SupplierCategory 147,SupplierCategory starter record 147,Jordan Patel,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,SC000148,11,1,Zenith SupplierCategory 148,SupplierCategory starter record 148,Devon Garcia,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,SC000149,2,3,Atlas SupplierCategory 149,SupplierCategory starter record 149,Jordan Khan,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,SC000150,13,4,Keystone SupplierCategory 150,SupplierCategory starter record 150,Blair Bennett,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,SC000151,17,4,Riverton SupplierCategory 151,SupplierCategory starter record 151,Finley Hughes,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,SC000152,17,1,Meridian SupplierCategory 152,SupplierCategory starter record 152,Casey Diaz,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,SC000153,9,4,Atlas SupplierCategory 153,SupplierCategory starter record 153,Finley Garcia,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,SC000154,16,1,Granite SupplierCategory 154,SupplierCategory starter record 154,Quinn Evans,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,SC000155,11,3,Beacon SupplierCategory 155,SupplierCategory starter record 155,Casey Khan,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,SC000156,11,2,Beacon SupplierCategory 156,SupplierCategory starter record 156,Emerson Reed,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,SC000157,9,3,Junction SupplierCategory 157,SupplierCategory starter record 157,Blair Evans,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,SC000158,15,1,Cedar SupplierCategory 158,SupplierCategory starter record 158,Harper Martin,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,SC000159,16,3,Vertex SupplierCategory 159,SupplierCategory starter record 159,Harper Bennett,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,SC000160,18,2,Keystone SupplierCategory 160,SupplierCategory starter record 160,Alex Garcia,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,SC000161,4,3,Delta SupplierCategory 161,SupplierCategory starter record 161,Blair Evans,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,SC000162,10,4,Pioneer SupplierCategory 162,SupplierCategory starter record 162,Harper Patel,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,SC000163,4,3,Keystone SupplierCategory 163,SupplierCategory starter record 163,Emerson Garcia,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,SC000164,13,2,Vertex SupplierCategory 164,SupplierCategory starter record 164,Casey Reed,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
165,SC000165,13,4,Beacon SupplierCategory 165,SupplierCategory starter record 165,Emerson Chen,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,SC000166,15,4,Willow SupplierCategory 166,SupplierCategory starter record 166,Morgan Diaz,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
167,SC000167,3,2,Delta SupplierCategory 167,SupplierCategory starter record 167,Morgan Chen,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,SC000168,12,4,Delta SupplierCategory 168,SupplierCategory starter record 168,Harper Adams,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
169,SC000169,9,1,Granite SupplierCategory 169,SupplierCategory starter record 169,Alex Adams,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,SC000170,6,3,Evergreen SupplierCategory 170,SupplierCategory starter record 170,Taylor Hughes,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
