EnergyRateTierKey,EnergyRateTierCode,EnergyRateScheduleKey,EnergyRateTierName,TierMinimumQuantity,TierMaximumQuantity,SourceSystemKey,BatchId,LoadedAtUtc
196,ERT000196,428,Beacon EnergyRateTier 196,137.3000,137.3000,1,1,2026-08-24T00:00:00.000
197,ERT000197,8,Junction EnergyRateTier 197,138.0000,138.0000,1,1,2026-08-24T00:00:00.000
198,ERT000198,243,Pioneer EnergyRateTier 198,138.7000,138.7000,1,1,2026-08-24T00:00:00.000
199,ERT000199,139,Beacon EnergyRateTier 199,139.4000,139.4000,1,1,2026-08-24T00:00:00.000
200,ERT000200,443,Riverton EnergyRateTier 200,140.1000,140.1000,1,1,2026-08-24T00:00:00.000
201,ERT000201,129,Riverton EnergyRateTier 201,140.8000,140.8000,1,1,2026-08-24T00:00:00.000
202,ERT000202,430,Cedar EnergyRateTier 202,141.5000,141.5000,1,1,2026-08-24T00:00:00.000
203,ERT000203,104,Forge EnergyRateTier 203,142.2000,142.2000,1,1,2026-08-24T00:00:00.000
204,ERT000204,224,Quartz EnergyRateTier 204,142.9000,142.9000,1,1,2026-08-24T00:00:00.000
205,ERT000205,117,Ion EnergyRateTier 205,143.6000,143.6000,1,1,2026-08-24T00:00:00.000
206,ERT000206,273,Atlas EnergyRateTier 206,144.3000,144.3000,1,1,2026-08-24T00:00:00.000
207,ERT000207,245,Northstar EnergyRateTier 207,145.0000,145.0000,1,1,2026-08-24T00:00:00.000
208,ERT000208,203,Summit EnergyRateTier 208,145.7000,145.7000,1,1,2026-08-24T00:00:00.000
209,ERT000209,406,Vertex EnergyRateTier 209,146.4000,146.4000,1,1,2026-08-24T00:00:00.000
210,ERT000210,62,Quartz EnergyRateTier 210,147.1000,147.1000,1,1,2026-08-24T00:00:00.000
211,ERT000211,489,Unity EnergyRateTier 211,147.8000,147.8000,1,1,2026-08-24T00:00:00.000
212,ERT000212,58,Quartz EnergyRateTier 212,148.5000,148.5000,1,1,2026-08-24T00:00:00.000
213,ERT000213,258,Vertex EnergyRateTier 213,149.2000,149.2000,1,1,2026-08-24T00:00:00.000
214,ERT000214,286,Junction EnergyRateTier 214,149.9000,149.9000,1,1,2026-08-24T00:00:00.000
215,ERT000215,454,Unity EnergyRateTier 215,150.6000,150.6000,1,1,2026-08-24T00:00:00.000
216,ERT000216,290,Orion EnergyRateTier 216,151.3000,151.3000,1,1,2026-08-24T00:00:00.000
217,ERT000217,299,Junction EnergyRateTier 217,152.0000,152.0000,1,1,2026-08-24T00:00:00.000
218,ERT000218,333,Northstar EnergyRateTier 218,152.7000,152.7000,1,1,2026-08-24T00:00:00.000
219,ERT000219,317,Liberty EnergyRateTier 219,153.4000,153.4000,1,1,2026-08-24T00:00:00.000
220,ERT000220,48,Northstar EnergyRateTier 220,154.1000,154.1000,1,1,2026-08-24T00:00:00.000
221,ERT000221,432,Quartz EnergyRateTier 221,154.8000,154.8000,1,1,2026-08-24T00:00:00.000
222,ERT000222,382,Delta EnergyRateTier 222,155.5000,155.5000,1,1,2026-08-24T00:00:00.000
223,ERT000223,404,Evergreen EnergyRateTier 223,156.2000,156.2000,1,1,2026-08-24T00:00:00.000
224,ERT000224,370,Summit EnergyRateTier 224,156.9000,156.9000,1,1,2026-08-24T00:00:00.000
225,ERT000225,422,Unity EnergyRateTier 225,157.6000,157.6000,1,1,2026-08-24T00:00:00.000
226,ERT000226,100,Harbor EnergyRateTier 226,158.3000,158.3000,1,1,2026-08-24T00:00:00.000
227,ERT000227,349,Orion EnergyRateTier 227,159.0000,159.0000,1,1,2026-08-24T00:00:00.000
228,ERT000228,400,Beacon EnergyRateTier 228,159.7000,159.7000,1,1,2026-08-24T00:00:00.000
229,ERT000229,283,Orion EnergyRateTier 229,160.4000,160.4000,1,1,2026-08-24T00:00:00.000
230,ERT000230,200,Granite EnergyRateTier 230,161.1000,161.1000,1,1,2026-08-24T00:00:00.000
231,ERT000231,91,Orion EnergyRateTier 231,161.8000,161.8000,1,1,2026-08-24T00:00:00.000
232,ERT000232,333,Unity EnergyRateTier 232,162.5000,162.5000,1,1,2026-08-24T00:00:00.000
233,ERT000233,205,Junction EnergyRateTier 233,163.2000,163.2000,1,1,2026-08-24T00:00:00.000
234,ERT000234,167,Northstar EnergyRateTier 234,163.9000,163.9000,1,1,2026-08-24T00:00:00.000
235,ERT000235,251,Vertex EnergyRateTier 235,164.6000,164.6000,1,1,2026-08-24T00:00:00.000
236,ERT000236,352,Granite EnergyRateTier 236,165.3000,165.3000,1,1,2026-08-24T00:00:00.000
237,ERT000237,200,Delta EnergyRateTier 237,166.0000,166.0000,1,1,2026-08-24T00:00:00.000
238,ERT000238,148,Orion EnergyRateTier 238,166.7000,166.7000,1,1,2026-08-24T00:00:00.000
239,ERT000239,393,Pioneer EnergyRateTier 239,167.4000,167.4000,1,1,2026-08-24T00:00:00.000
240,ERT000240,393,Liberty EnergyRateTier 240,168.1000,168.1000,1,1,2026-08-24T00:00:00.000
241,ERT000241,294,Granite EnergyRateTier 241,168.8000,168.8000,1,1,2026-08-24T00:00:00.000
242,ERT000242,51,Granite EnergyRateTier 242,169.5000,169.5000,1,1,2026-08-24T00:00:00.000
243,ERT000243,413,Forge EnergyRateTier 243,170.2000,170.2000,1,1,2026-08-24T00:00:00.000
244,ERT000244,396,Junction EnergyRateTier 244,170.9000,170.9000,1,1,2026-08-24T00:00:00.000
245,ERT000245,71,Orion EnergyRateTier 245,171.6000,171.6000,1,1,2026-08-24T00:00:00.000
246,ERT000246,389,Granite EnergyRateTier 246,172.3000,172.3000,1,1,2026-08-24T00:00:00.000
247,ERT000247,480,Forge EnergyRateTier 247,173.0000,173.0000,1,1,2026-08-24T00:00:00.000
248,ERT000248,140,Quartz EnergyRateTier 248,173.7000,173.7000,1,1,2026-08-24T00:00:00.000
249,ERT000249,437,Keystone EnergyRateTier 249,174.4000,174.4000,1,1,2026-08-24T00:00:00.000
250,ERT000250,133,Junction EnergyRateTier 250,175.1000,175.1000,1,1,2026-08-24T00:00:00.000
251,ERT000251,476,Pioneer EnergyRateTier 251,175.8000,175.8000,1,1,2026-08-24T00:00:00.000
252,ERT000252,43,Zenith EnergyRateTier 252,176.5000,176.5000,1,1,2026-08-24T00:00:00.000
253,ERT000253,293,Meridian EnergyRateTier 253,177.2000,177.2000,1,1,2026-08-24T00:00:00.000
254,ERT000254,159,Beacon EnergyRateTier 254,177.9000,177.9000,1,1,2026-08-24T00:00:00.000
255,ERT000255,28,Delta EnergyRateTier 255,178.6000,178.6000,1,1,2026-08-24T00:00:00.000
256,ERT000256,72,Pioneer EnergyRateTier 256,179.3000,179.3000,1,1,2026-08-24T00:00:00.000
