EngineeringMaterialSpecificationKey,MaterialSpecificationCode,EngineeringDisciplineKey,MeasurementSystemKey,ComplianceStandardKey,EngineeringMaterialSpecificationName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
14,EMS000014,33,3,2,Atlas EngineeringMaterialSpecification 14,EMS000014,1,29.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abe0ed972d4a5742a4925f9881295d5fabe0ed972d4a5742a4925f9881295d5f
15,EMS000015,11,2,12,Keystone EngineeringMaterialSpecification 15,EMS000015,0,30.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c629fbd968795363992694a827174fb0c629fbd968795363992694a827174fb0
16,EMS000016,21,2,23,Evergreen EngineeringMaterialSpecification 16,EMS000016,1,31.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba26044a7f855f9aa0de473e5bacd3b4ba26044a7f855f9aa0de473e5bacd3b4
17,EMS000017,28,1,8,Ion EngineeringMaterialSpecification 17,EMS000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cf170103fb35e51b547d00012ac1f5d0cf170103fb35e51b547d00012ac1f5d
18,EMS000018,10,3,10,Zenith EngineeringMaterialSpecification 18,EMS000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39611ac4239c5a76a27b8012979f0fd539611ac4239c5a76a27b8012979f0fd5
19,EMS000019,19,2,12,Vertex EngineeringMaterialSpecification 19,EMS000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,472cf05af66f51c9a2b8ce1d327b462e472cf05af66f51c9a2b8ce1d327b462e
20,EMS000020,23,2,23,Cedar EngineeringMaterialSpecification 20,EMS000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae1139187bbc57bfa3caa5b9680776c8ae1139187bbc57bfa3caa5b9680776c8
21,EMS000021,17,1,14,Junction EngineeringMaterialSpecification 21,EMS000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13efa73df0c656c3b500975b472943b413efa73df0c656c3b500975b472943b4
22,EMS000022,14,1,24,Keystone EngineeringMaterialSpecification 22,EMS000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,693038316427528d9d37a621e41b1db7693038316427528d9d37a621e41b1db7
23,EMS000023,32,2,25,Ion EngineeringMaterialSpecification 23,EMS000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,718ae8da86ac5d50972f4dc7aa4f8a4a718ae8da86ac5d50972f4dc7aa4f8a4a
24,EMS000024,30,1,3,Unity EngineeringMaterialSpecification 24,EMS000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77ba95494ea65fa097b52fcbbe6af7fb77ba95494ea65fa097b52fcbbe6af7fb
25,EMS000025,14,2,19,Keystone EngineeringMaterialSpecification 25,EMS000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfcf8c643be153358dd289d2535646a8dfcf8c643be153358dd289d2535646a8
26,EMS000026,14,2,25,Beacon EngineeringMaterialSpecification 26,EMS000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccbdb46fbf765a48b27b2e5beb2e7b05ccbdb46fbf765a48b27b2e5beb2e7b05
27,EMS000027,35,1,13,Cedar EngineeringMaterialSpecification 27,EMS000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f9336f9f0bb5c73811ad10416e63af02f9336f9f0bb5c73811ad10416e63af0
28,EMS000028,14,2,6,Forge EngineeringMaterialSpecification 28,EMS000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4b355b157b650688d4df4ecf61af889a4b355b157b650688d4df4ecf61af889
29,EMS000029,35,2,1,Pioneer EngineeringMaterialSpecification 29,EMS000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9373bc3ec6f653c1a09d1dc6a627f5869373bc3ec6f653c1a09d1dc6a627f586
30,EMS000030,32,2,1,Orion EngineeringMaterialSpecification 30,EMS000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a76b018d7c845dc2a1de95bd3fc271eca76b018d7c845dc2a1de95bd3fc271ec
31,EMS000031,16,3,20,Liberty EngineeringMaterialSpecification 31,EMS000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6aa3f0439c95f8c8ad201fe12a6eca0b6aa3f0439c95f8c8ad201fe12a6eca0
32,EMS000032,16,1,9,Harbor EngineeringMaterialSpecification 32,EMS000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f79fa1fb324456e2b9ae6dba81098927f79fa1fb324456e2b9ae6dba81098927
33,EMS000033,17,2,13,Beacon EngineeringMaterialSpecification 33,EMS000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7e2943a90535c6bb47c3df907b6935ac7e2943a90535c6bb47c3df907b6935a
34,EMS000034,23,1,7,Riverton EngineeringMaterialSpecification 34,EMS000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,725b467604b35d189c6dc1c23defe9ec725b467604b35d189c6dc1c23defe9ec
35,EMS000035,25,3,19,Summit EngineeringMaterialSpecification 35,EMS000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,750247b1e7d25c48a60f0047204ebff0750247b1e7d25c48a60f0047204ebff0
36,EMS000036,17,1,9,Atlas EngineeringMaterialSpecification 36,EMS000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a463cf7c2b9957b4a0dd98cb3e6b7374a463cf7c2b9957b4a0dd98cb3e6b7374
37,EMS000037,9,2,15,Titan EngineeringMaterialSpecification 37,EMS000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,874cf8c52d88570e97fb6d063be75a0e874cf8c52d88570e97fb6d063be75a0e
38,EMS000038,32,2,17,Forge EngineeringMaterialSpecification 38,EMS000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb43cfd56fd455cf8f279b2508f3c2ccfb43cfd56fd455cf8f279b2508f3c2cc
39,EMS000039,25,3,24,Willow EngineeringMaterialSpecification 39,EMS000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d33d262b8ba154a8ba640de52aa6888dd33d262b8ba154a8ba640de52aa6888d
40,EMS000040,28,1,9,Willow EngineeringMaterialSpecification 40,EMS000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d22591b3783e5124b2114fa15164eda2d22591b3783e5124b2114fa15164eda2
41,EMS000041,20,1,10,Keystone EngineeringMaterialSpecification 41,EMS000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f54d55e62fad5fc78a1bef6be32ab237f54d55e62fad5fc78a1bef6be32ab237
42,EMS000042,7,2,16,Granite EngineeringMaterialSpecification 42,EMS000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e50286aa6a85db8a75dd15a733b2aae7e50286aa6a85db8a75dd15a733b2aae
43,EMS000043,12,3,9,Evergreen EngineeringMaterialSpecification 43,EMS000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a39cc8dc3ac5768a8d4cb29da14e9608a39cc8dc3ac5768a8d4cb29da14e960
44,EMS000044,17,3,8,Pioneer EngineeringMaterialSpecification 44,EMS000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,518ffc3ba4fa5809b37932bbe6ca28aa518ffc3ba4fa5809b37932bbe6ca28aa
45,EMS000045,15,1,25,Orion EngineeringMaterialSpecification 45,EMS000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1da0b2e979a52bcb167d549e5343a1ac1da0b2e979a52bcb167d549e5343a1a
46,EMS000046,9,1,7,Willow EngineeringMaterialSpecification 46,EMS000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42bffffb1b0253a197b367a46afb9e9d42bffffb1b0253a197b367a46afb9e9d
47,EMS000047,31,1,14,Meridian EngineeringMaterialSpecification 47,EMS000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79015d4ac68d50a7999dc794da87b17179015d4ac68d50a7999dc794da87b171
48,EMS000048,15,3,23,Pioneer EngineeringMaterialSpecification 48,EMS000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,138f4da06d545cfb8beded535cc30824138f4da06d545cfb8beded535cc30824
49,EMS000049,7,3,4,Forge EngineeringMaterialSpecification 49,EMS000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cdea7513d295fcb9588c8c985db34c16cdea7513d295fcb9588c8c985db34c1
50,EMS000050,21,2,25,Keystone EngineeringMaterialSpecification 50,EMS000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e9e735d3d385fa1966581f8f76c71a49e9e735d3d385fa1966581f8f76c71a4
51,EMS000051,2,1,14,Harbor EngineeringMaterialSpecification 51,EMS000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2db9d687be945b7c8ce0a36db6cf49d62db9d687be945b7c8ce0a36db6cf49d6
52,EMS000052,21,2,13,Summit EngineeringMaterialSpecification 52,EMS000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eccc2a5df7a05f16a37ee44e1e06a2b5eccc2a5df7a05f16a37ee44e1e06a2b5
53,EMS000053,9,3,25,Forge EngineeringMaterialSpecification 53,EMS000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4de5f272a51c5cc8a6602fe1d5068a744de5f272a51c5cc8a6602fe1d5068a74
54,EMS000054,28,1,13,Granite EngineeringMaterialSpecification 54,EMS000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e68b438c0e0528faa5fe4ebbe15eabd4e68b438c0e0528faa5fe4ebbe15eabd
55,EMS000055,28,3,11,Summit EngineeringMaterialSpecification 55,EMS000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d39e8b0b4196547d92395d621577c024d39e8b0b4196547d92395d621577c024
56,EMS000056,1,3,15,Willow EngineeringMaterialSpecification 56,EMS000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e75941bccd175460af02c2370eeaa7f3e75941bccd175460af02c2370eeaa7f3
57,EMS000057,7,1,20,Northstar EngineeringMaterialSpecification 57,EMS000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8992d12e1ee954bdaf249c5aa1c971168992d12e1ee954bdaf249c5aa1c97116
58,EMS000058,12,2,7,Pioneer EngineeringMaterialSpecification 58,EMS000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ece3cf718c15b0296783b51e69f4a6e6ece3cf718c15b0296783b51e69f4a6e
59,EMS000059,19,2,17,Evergreen EngineeringMaterialSpecification 59,EMS000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d245f93d2a25b39879028c4ddae104d0d245f93d2a25b39879028c4ddae104d
60,EMS000060,29,1,19,Meridian EngineeringMaterialSpecification 60,EMS000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,91142a2f6e095332ad0ef7a1dca9200a91142a2f6e095332ad0ef7a1dca9200a
61,EMS000061,19,2,25,Keystone EngineeringMaterialSpecification 61,EMS000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be43040e3f4259ff927d9458e0feb93cbe43040e3f4259ff927d9458e0feb93c
62,EMS000062,13,2,3,Titan EngineeringMaterialSpecification 62,EMS000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1ecec0eea9c551e91a6483a60770bd0b1ecec0eea9c551e91a6483a60770bd0
63,EMS000063,3,1,4,Vertex EngineeringMaterialSpecification 63,EMS000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,605acc65222e5c9b9796997325333bfb605acc65222e5c9b9796997325333bfb
64,EMS000064,9,2,1,Keystone EngineeringMaterialSpecification 64,EMS000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8ce74617a15522ebe620fe3659c0367b8ce74617a15522ebe620fe3659c0367
65,EMS000065,33,2,4,Delta EngineeringMaterialSpecification 65,EMS000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2edfa76734885b3d9673a2e8a7e31dba2edfa76734885b3d9673a2e8a7e31dba
66,EMS000066,4,1,18,Delta EngineeringMaterialSpecification 66,EMS000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe75c413398e545a800254228087b690fe75c413398e545a800254228087b690
67,EMS000067,21,1,17,Atlas EngineeringMaterialSpecification 67,EMS000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,521333fe50ef5f4ca6753db18b9456b4521333fe50ef5f4ca6753db18b9456b4
68,EMS000068,33,3,21,Granite EngineeringMaterialSpecification 68,EMS000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f210a359c57c5331b3a5c8e323739a16f210a359c57c5331b3a5c8e323739a16
69,EMS000069,13,3,10,Summit EngineeringMaterialSpecification 69,EMS000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3bf422122515a5d94fbe0a397bdeb36e3bf422122515a5d94fbe0a397bdeb36
70,EMS000070,22,1,10,Ion EngineeringMaterialSpecification 70,EMS000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c85ab59f35865757b838e359e1671e0ac85ab59f35865757b838e359e1671e0a
71,EMS000071,16,2,15,Liberty EngineeringMaterialSpecification 71,EMS000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73bc96cec613581c864deb32626049ec73bc96cec613581c864deb32626049ec
72,EMS000072,26,1,3,Zenith EngineeringMaterialSpecification 72,EMS000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ff127f3243658afa5bbf3c5f32aa3f55ff127f3243658afa5bbf3c5f32aa3f5
73,EMS000073,7,1,11,Forge EngineeringMaterialSpecification 73,EMS000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c74f9bd6d77a5a858c041e152ce540a3c74f9bd6d77a5a858c041e152ce540a3
74,EMS000074,2,2,2,Summit EngineeringMaterialSpecification 74,EMS000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b06eee234f675d7d912b9e903f9f177fb06eee234f675d7d912b9e903f9f177f
75,EMS000075,8,3,23,Evergreen EngineeringMaterialSpecification 75,EMS000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75d53b09faf05c0ca923163dff25009e75d53b09faf05c0ca923163dff25009e
76,EMS000076,12,1,9,Ion EngineeringMaterialSpecification 76,EMS000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f240173a64f56c7bfb697deb04647018f240173a64f56c7bfb697deb0464701
77,EMS000077,21,2,15,Vertex EngineeringMaterialSpecification 77,EMS000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86397717dbd55f3db82035c5faeeed0a86397717dbd55f3db82035c5faeeed0a
78,EMS000078,34,3,1,Evergreen EngineeringMaterialSpecification 78,EMS000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d6da99f8c925e7dbb08e650da764fcc1d6da99f8c925e7dbb08e650da764fcc
79,EMS000079,6,2,23,Cedar EngineeringMaterialSpecification 79,EMS000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2480f2e7d8356f6bc9f23bc11eb02ebd2480f2e7d8356f6bc9f23bc11eb02eb
80,EMS000080,9,2,12,Summit EngineeringMaterialSpecification 80,EMS000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9444ac503bc852c9b28a5fcc4cdb1b929444ac503bc852c9b28a5fcc4cdb1b92
81,EMS000081,35,2,14,Zenith EngineeringMaterialSpecification 81,EMS000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4956f987d8fc53bc8775777b113f8eb54956f987d8fc53bc8775777b113f8eb5
82,EMS000082,5,2,5,Ion EngineeringMaterialSpecification 82,EMS000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f828bac4974f517fa04e09c700d2e811f828bac4974f517fa04e09c700d2e811
83,EMS000083,34,2,21,Northstar EngineeringMaterialSpecification 83,EMS000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cd68fbd4cee5201b4a8769bc84f618d6cd68fbd4cee5201b4a8769bc84f618d
84,EMS000084,33,1,7,Cedar EngineeringMaterialSpecification 84,EMS000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f758b5704bf95c6aa71cd67ae66014d1f758b5704bf95c6aa71cd67ae66014d1
85,EMS000085,32,1,9,Riverton EngineeringMaterialSpecification 85,EMS000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a446af4b323b592ba5937dd475fce334a446af4b323b592ba5937dd475fce334
86,EMS000086,27,1,5,Summit EngineeringMaterialSpecification 86,EMS000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a83561d19265573d9218a280adf5b058a83561d19265573d9218a280adf5b058
87,EMS000087,22,3,3,Meridian EngineeringMaterialSpecification 87,EMS000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d079b8cd32d56a388d2b9ff5e34af183d079b8cd32d56a388d2b9ff5e34af18
88,EMS000088,24,1,10,Riverton EngineeringMaterialSpecification 88,EMS000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,573d26126eaf531e9f3f063a8e256d27573d26126eaf531e9f3f063a8e256d27
89,EMS000089,5,2,5,Delta EngineeringMaterialSpecification 89,EMS000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bae041c8ee5c590b801279c5b5461099bae041c8ee5c590b801279c5b5461099
90,EMS000090,16,2,12,Northstar EngineeringMaterialSpecification 90,EMS000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b26c28496d35e0280d45c786e2c42347b26c28496d35e0280d45c786e2c4234
91,EMS000091,24,3,20,Northstar EngineeringMaterialSpecification 91,EMS000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78d136f8de2b56c485c1cfc055d1a82d78d136f8de2b56c485c1cfc055d1a82d
92,EMS000092,27,1,16,Delta EngineeringMaterialSpecification 92,EMS000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eb6544287b1356c0a846309dd5750494eb6544287b1356c0a846309dd5750494
93,EMS000093,35,2,11,Cedar EngineeringMaterialSpecification 93,EMS000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdc86f4a5ea1550d8acda253e5d89d78cdc86f4a5ea1550d8acda253e5d89d78
94,EMS000094,20,3,16,Zenith EngineeringMaterialSpecification 94,EMS000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3778cde4157b5da2a3f5a0bf1b372ebb3778cde4157b5da2a3f5a0bf1b372ebb
95,EMS000095,6,2,23,Atlas EngineeringMaterialSpecification 95,EMS000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89e5368253fe56d88e66029d3440894c89e5368253fe56d88e66029d3440894c
96,EMS000096,29,1,14,Evergreen EngineeringMaterialSpecification 96,EMS000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8653832cedc5c09a7bab2507e02d029b8653832cedc5c09a7bab2507e02d029
