QualityCharacteristicGroupKey,QualityCharacteristicGroupCode,QualityCharacteristicClassKey,QualityCharacteristicGroupName,SourceSystemKey,BatchId,LoadedAtUtc
22,QCG000022,59,Zenith QualityCharacteristicGroup 22,1,1,2026-08-24T00:00:00.000
23,QCG000023,1,Pioneer QualityCharacteristicGroup 23,1,1,2026-08-24T00:00:00.000
24,QCG000024,11,Riverton QualityCharacteristicGroup 24,1,1,2026-08-24T00:00:00.000
25,QCG000025,68,Riverton QualityCharacteristicGroup 25,1,1,2026-08-24T00:00:00.000
26,QCG000026,69,Evergreen QualityCharacteristicGroup 26,1,1,2026-08-24T00:00:00.000
27,QCG000027,56,Forge QualityCharacteristicGroup 27,1,1,2026-08-24T00:00:00.000
28,QCG000028,61,Keystone QualityCharacteristicGroup 28,1,1,2026-08-24T00:00:00.000
29,QCG000029,42,Unity QualityCharacteristicGroup 29,1,1,2026-08-24T00:00:00.000
30,QCG000030,54,Evergreen QualityCharacteristicGroup 30,1,1,2026-08-24T00:00:00.000
31,QCG000031,55,Willow QualityCharacteristicGroup 31,1,1,2026-08-24T00:00:00.000
32,QCG000032,69,Orion QualityCharacteristicGroup 32,1,1,2026-08-24T00:00:00.000
33,QCG000033,17,Summit QualityCharacteristicGroup 33,1,1,2026-08-24T00:00:00.000
34,QCG000034,52,Meridian QualityCharacteristicGroup 34,1,1,2026-08-24T00:00:00.000
35,QCG000035,2,Delta QualityCharacteristicGroup 35,1,1,2026-08-24T00:00:00.000
36,QCG000036,37,Meridian QualityCharacteristicGroup 36,1,1,2026-08-24T00:00:00.000
37,QCG000037,16,Riverton QualityCharacteristicGroup 37,1,1,2026-08-24T00:00:00.000
38,QCG000038,45,Titan QualityCharacteristicGroup 38,1,1,2026-08-24T00:00:00.000
39,QCG000039,69,Riverton QualityCharacteristicGroup 39,1,1,2026-08-24T00:00:00.000
40,QCG000040,44,Willow QualityCharacteristicGroup 40,1,1,2026-08-24T00:00:00.000
41,QCG000041,66,Liberty QualityCharacteristicGroup 41,1,1,2026-08-24T00:00:00.000
42,QCG000042,39,Northstar QualityCharacteristicGroup 42,1,1,2026-08-24T00:00:00.000
43,QCG000043,46,Summit QualityCharacteristicGroup 43,1,1,2026-08-24T00:00:00.000
44,QCG000044,8,Harbor QualityCharacteristicGroup 44,1,1,2026-08-24T00:00:00.000
45,QCG000045,39,Titan QualityCharacteristicGroup 45,1,1,2026-08-24T00:00:00.000
46,QCG000046,49,Harbor QualityCharacteristicGroup 46,1,1,2026-08-24T00:00:00.000
47,QCG000047,41,Junction QualityCharacteristicGroup 47,1,1,2026-08-24T00:00:00.000
48,QCG000048,58,Delta QualityCharacteristicGroup 48,1,1,2026-08-24T00:00:00.000
49,QCG000049,60,Junction QualityCharacteristicGroup 49,1,1,2026-08-24T00:00:00.000
50,QCG000050,42,Ion QualityCharacteristicGroup 50,1,1,2026-08-24T00:00:00.000
51,QCG000051,34,Titan QualityCharacteristicGroup 51,1,1,2026-08-24T00:00:00.000
52,QCG000052,48,Liberty QualityCharacteristicGroup 52,1,1,2026-08-24T00:00:00.000
53,QCG000053,57,Evergreen QualityCharacteristicGroup 53,1,1,2026-08-24T00:00:00.000
54,QCG000054,44,Beacon QualityCharacteristicGroup 54,1,1,2026-08-24T00:00:00.000
55,QCG000055,50,Willow QualityCharacteristicGroup 55,1,1,2026-08-24T00:00:00.000
56,QCG000056,20,Keystone QualityCharacteristicGroup 56,1,1,2026-08-24T00:00:00.000
57,QCG000057,69,Atlas QualityCharacteristicGroup 57,1,1,2026-08-24T00:00:00.000
58,QCG000058,33,Willow QualityCharacteristicGroup 58,1,1,2026-08-24T00:00:00.000
59,QCG000059,63,Evergreen QualityCharacteristicGroup 59,1,1,2026-08-24T00:00:00.000
60,QCG000060,28,Zenith QualityCharacteristicGroup 60,1,1,2026-08-24T00:00:00.000
61,QCG000061,15,Cedar QualityCharacteristicGroup 61,1,1,2026-08-24T00:00:00.000
62,QCG000062,66,Northstar QualityCharacteristicGroup 62,1,1,2026-08-24T00:00:00.000
63,QCG000063,35,Delta QualityCharacteristicGroup 63,1,1,2026-08-24T00:00:00.000
64,QCG000064,3,Granite QualityCharacteristicGroup 64,1,1,2026-08-24T00:00:00.000
65,QCG000065,2,Liberty QualityCharacteristicGroup 65,1,1,2026-08-24T00:00:00.000
66,QCG000066,15,Pioneer QualityCharacteristicGroup 66,1,1,2026-08-24T00:00:00.000
67,QCG000067,68,Harbor QualityCharacteristicGroup 67,1,1,2026-08-24T00:00:00.000
68,QCG000068,21,Liberty QualityCharacteristicGroup 68,1,1,2026-08-24T00:00:00.000
69,QCG000069,43,Junction QualityCharacteristicGroup 69,1,1,2026-08-24T00:00:00.000
70,QCG000070,12,Delta QualityCharacteristicGroup 70,1,1,2026-08-24T00:00:00.000
71,QCG000071,19,Liberty QualityCharacteristicGroup 71,1,1,2026-08-24T00:00:00.000
72,QCG000072,9,Meridian QualityCharacteristicGroup 72,1,1,2026-08-24T00:00:00.000
73,QCG000073,51,Delta QualityCharacteristicGroup 73,1,1,2026-08-24T00:00:00.000
74,QCG000074,36,Meridian QualityCharacteristicGroup 74,1,1,2026-08-24T00:00:00.000
75,QCG000075,10,Northstar QualityCharacteristicGroup 75,1,1,2026-08-24T00:00:00.000
76,QCG000076,30,Liberty QualityCharacteristicGroup 76,1,1,2026-08-24T00:00:00.000
77,QCG000077,20,Unity QualityCharacteristicGroup 77,1,1,2026-08-24T00:00:00.000
78,QCG000078,30,Liberty QualityCharacteristicGroup 78,1,1,2026-08-24T00:00:00.000
79,QCG000079,55,Unity QualityCharacteristicGroup 79,1,1,2026-08-24T00:00:00.000
80,QCG000080,57,Pioneer QualityCharacteristicGroup 80,1,1,2026-08-24T00:00:00.000
81,QCG000081,36,Cedar QualityCharacteristicGroup 81,1,1,2026-08-24T00:00:00.000
82,QCG000082,55,Unity QualityCharacteristicGroup 82,1,1,2026-08-24T00:00:00.000
83,QCG000083,57,Vertex QualityCharacteristicGroup 83,1,1,2026-08-24T00:00:00.000
84,QCG000084,56,Zenith QualityCharacteristicGroup 84,1,1,2026-08-24T00:00:00.000
85,QCG000085,62,Keystone QualityCharacteristicGroup 85,1,1,2026-08-24T00:00:00.000
86,QCG000086,57,Liberty QualityCharacteristicGroup 86,1,1,2026-08-24T00:00:00.000
87,QCG000087,14,Harbor QualityCharacteristicGroup 87,1,1,2026-08-24T00:00:00.000
88,QCG000088,25,Northstar QualityCharacteristicGroup 88,1,1,2026-08-24T00:00:00.000
89,QCG000089,28,Keystone QualityCharacteristicGroup 89,1,1,2026-08-24T00:00:00.000
90,QCG000090,24,Summit QualityCharacteristicGroup 90,1,1,2026-08-24T00:00:00.000
91,QCG000091,9,Ion QualityCharacteristicGroup 91,1,1,2026-08-24T00:00:00.000
92,QCG000092,56,Delta QualityCharacteristicGroup 92,1,1,2026-08-24T00:00:00.000
93,QCG000093,64,Meridian QualityCharacteristicGroup 93,1,1,2026-08-24T00:00:00.000
94,QCG000094,18,Granite QualityCharacteristicGroup 94,1,1,2026-08-24T00:00:00.000
95,QCG000095,6,Beacon QualityCharacteristicGroup 95,1,1,2026-08-24T00:00:00.000
96,QCG000096,59,Pioneer QualityCharacteristicGroup 96,1,1,2026-08-24T00:00:00.000
97,QCG000097,54,Evergreen QualityCharacteristicGroup 97,1,1,2026-08-24T00:00:00.000
98,QCG000098,18,Orion QualityCharacteristicGroup 98,1,1,2026-08-24T00:00:00.000
99,QCG000099,35,Keystone QualityCharacteristicGroup 99,1,1,2026-08-24T00:00:00.000
100,QCG000100,61,Zenith QualityCharacteristicGroup 100,1,1,2026-08-24T00:00:00.000
101,QCG000101,4,Granite QualityCharacteristicGroup 101,1,1,2026-08-24T00:00:00.000
102,QCG000102,3,Liberty QualityCharacteristicGroup 102,1,1,2026-08-24T00:00:00.000
103,QCG000103,30,Riverton QualityCharacteristicGroup 103,1,1,2026-08-24T00:00:00.000
104,QCG000104,63,Liberty QualityCharacteristicGroup 104,1,1,2026-08-24T00:00:00.000
105,QCG000105,30,Junction QualityCharacteristicGroup 105,1,1,2026-08-24T00:00:00.000
106,QCG000106,2,Evergreen QualityCharacteristicGroup 106,1,1,2026-08-24T00:00:00.000
107,QCG000107,55,Ion QualityCharacteristicGroup 107,1,1,2026-08-24T00:00:00.000
108,QCG000108,14,Unity QualityCharacteristicGroup 108,1,1,2026-08-24T00:00:00.000
109,QCG000109,26,Pioneer QualityCharacteristicGroup 109,1,1,2026-08-24T00:00:00.000
110,QCG000110,27,Vertex QualityCharacteristicGroup 110,1,1,2026-08-24T00:00:00.000
111,QCG000111,64,Beacon QualityCharacteristicGroup 111,1,1,2026-08-24T00:00:00.000
112,QCG000112,70,Atlas QualityCharacteristicGroup 112,1,1,2026-08-24T00:00:00.000
113,QCG000113,35,Titan QualityCharacteristicGroup 113,1,1,2026-08-24T00:00:00.000
114,QCG000114,42,Willow QualityCharacteristicGroup 114,1,1,2026-08-24T00:00:00.000
115,QCG000115,53,Harbor QualityCharacteristicGroup 115,1,1,2026-08-24T00:00:00.000
116,QCG000116,32,Beacon QualityCharacteristicGroup 116,1,1,2026-08-24T00:00:00.000
117,QCG000117,18,Riverton QualityCharacteristicGroup 117,1,1,2026-08-24T00:00:00.000
118,QCG000118,62,Unity QualityCharacteristicGroup 118,1,1,2026-08-24T00:00:00.000
119,QCG000119,42,Summit QualityCharacteristicGroup 119,1,1,2026-08-24T00:00:00.000
120,QCG000120,39,Evergreen QualityCharacteristicGroup 120,1,1,2026-08-24T00:00:00.000
121,QCG000121,58,Cedar QualityCharacteristicGroup 121,1,1,2026-08-24T00:00:00.000
122,QCG000122,13,Orion QualityCharacteristicGroup 122,1,1,2026-08-24T00:00:00.000
123,QCG000123,33,Evergreen QualityCharacteristicGroup 123,1,1,2026-08-24T00:00:00.000
124,QCG000124,10,Orion QualityCharacteristicGroup 124,1,1,2026-08-24T00:00:00.000
125,QCG000125,58,Vertex QualityCharacteristicGroup 125,1,1,2026-08-24T00:00:00.000
126,QCG000126,35,Pioneer QualityCharacteristicGroup 126,1,1,2026-08-24T00:00:00.000
127,QCG000127,59,Delta QualityCharacteristicGroup 127,1,1,2026-08-24T00:00:00.000
128,QCG000128,30,Beacon QualityCharacteristicGroup 128,1,1,2026-08-24T00:00:00.000
129,QCG000129,66,Vertex QualityCharacteristicGroup 129,1,1,2026-08-24T00:00:00.000
130,QCG000130,59,Ion QualityCharacteristicGroup 130,1,1,2026-08-24T00:00:00.000
131,QCG000131,17,Riverton QualityCharacteristicGroup 131,1,1,2026-08-24T00:00:00.000
132,QCG000132,11,Harbor QualityCharacteristicGroup 132,1,1,2026-08-24T00:00:00.000
133,QCG000133,1,Junction QualityCharacteristicGroup 133,1,1,2026-08-24T00:00:00.000
134,QCG000134,43,Ion QualityCharacteristicGroup 134,1,1,2026-08-24T00:00:00.000
135,QCG000135,57,Willow QualityCharacteristicGroup 135,1,1,2026-08-24T00:00:00.000
136,QCG000136,34,Zenith QualityCharacteristicGroup 136,1,1,2026-08-24T00:00:00.000
137,QCG000137,36,Evergreen QualityCharacteristicGroup 137,1,1,2026-08-24T00:00:00.000
138,QCG000138,44,Atlas QualityCharacteristicGroup 138,1,1,2026-08-24T00:00:00.000
139,QCG000139,1,Atlas QualityCharacteristicGroup 139,1,1,2026-08-24T00:00:00.000
140,QCG000140,62,Keystone QualityCharacteristicGroup 140,1,1,2026-08-24T00:00:00.000
141,QCG000141,7,Keystone QualityCharacteristicGroup 141,1,1,2026-08-24T00:00:00.000
142,QCG000142,60,Quartz QualityCharacteristicGroup 142,1,1,2026-08-24T00:00:00.000
143,QCG000143,61,Summit QualityCharacteristicGroup 143,1,1,2026-08-24T00:00:00.000
144,QCG000144,4,Northstar QualityCharacteristicGroup 144,1,1,2026-08-24T00:00:00.000
145,QCG000145,54,Ion QualityCharacteristicGroup 145,1,1,2026-08-24T00:00:00.000
146,QCG000146,9,Junction QualityCharacteristicGroup 146,1,1,2026-08-24T00:00:00.000
147,QCG000147,34,Keystone QualityCharacteristicGroup 147,1,1,2026-08-24T00:00:00.000
148,QCG000148,50,Beacon QualityCharacteristicGroup 148,1,1,2026-08-24T00:00:00.000
149,QCG000149,19,Unity QualityCharacteristicGroup 149,1,1,2026-08-24T00:00:00.000
150,QCG000150,38,Cedar QualityCharacteristicGroup 150,1,1,2026-08-24T00:00:00.000
151,QCG000151,10,Quartz QualityCharacteristicGroup 151,1,1,2026-08-24T00:00:00.000
152,QCG000152,55,Beacon QualityCharacteristicGroup 152,1,1,2026-08-24T00:00:00.000
153,QCG000153,2,Keystone QualityCharacteristicGroup 153,1,1,2026-08-24T00:00:00.000
154,QCG000154,59,Vertex QualityCharacteristicGroup 154,1,1,2026-08-24T00:00:00.000
155,QCG000155,39,Junction QualityCharacteristicGroup 155,1,1,2026-08-24T00:00:00.000
156,QCG000156,66,Cedar QualityCharacteristicGroup 156,1,1,2026-08-24T00:00:00.000
157,QCG000157,36,Meridian QualityCharacteristicGroup 157,1,1,2026-08-24T00:00:00.000
158,QCG000158,53,Liberty QualityCharacteristicGroup 158,1,1,2026-08-24T00:00:00.000
159,QCG000159,48,Summit QualityCharacteristicGroup 159,1,1,2026-08-24T00:00:00.000
160,QCG000160,6,Granite QualityCharacteristicGroup 160,1,1,2026-08-24T00:00:00.000
161,QCG000161,59,Liberty QualityCharacteristicGroup 161,1,1,2026-08-24T00:00:00.000
162,QCG000162,66,Atlas QualityCharacteristicGroup 162,1,1,2026-08-24T00:00:00.000
163,QCG000163,67,Vertex QualityCharacteristicGroup 163,1,1,2026-08-24T00:00:00.000
164,QCG000164,6,Summit QualityCharacteristicGroup 164,1,1,2026-08-24T00:00:00.000
165,QCG000165,69,Titan QualityCharacteristicGroup 165,1,1,2026-08-24T00:00:00.000
166,QCG000166,36,Summit QualityCharacteristicGroup 166,1,1,2026-08-24T00:00:00.000
167,QCG000167,53,Cedar QualityCharacteristicGroup 167,1,1,2026-08-24T00:00:00.000
168,QCG000168,42,Keystone QualityCharacteristicGroup 168,1,1,2026-08-24T00:00:00.000
169,QCG000169,56,Orion QualityCharacteristicGroup 169,1,1,2026-08-24T00:00:00.000
170,QCG000170,23,Orion QualityCharacteristicGroup 170,1,1,2026-08-24T00:00:00.000
171,QCG000171,63,Beacon QualityCharacteristicGroup 171,1,1,2026-08-24T00:00:00.000
172,QCG000172,1,Riverton QualityCharacteristicGroup 172,1,1,2026-08-24T00:00:00.000
173,QCG000173,53,Liberty QualityCharacteristicGroup 173,1,1,2026-08-24T00:00:00.000
174,QCG000174,49,Unity QualityCharacteristicGroup 174,1,1,2026-08-24T00:00:00.000
175,QCG000175,55,Beacon QualityCharacteristicGroup 175,1,1,2026-08-24T00:00:00.000
176,QCG000176,43,Pioneer QualityCharacteristicGroup 176,1,1,2026-08-24T00:00:00.000
177,QCG000177,61,Northstar QualityCharacteristicGroup 177,1,1,2026-08-24T00:00:00.000
178,QCG000178,52,Orion QualityCharacteristicGroup 178,1,1,2026-08-24T00:00:00.000
179,QCG000179,34,Willow QualityCharacteristicGroup 179,1,1,2026-08-24T00:00:00.000
180,QCG000180,29,Willow QualityCharacteristicGroup 180,1,1,2026-08-24T00:00:00.000
181,QCG000181,21,Liberty QualityCharacteristicGroup 181,1,1,2026-08-24T00:00:00.000
182,QCG000182,27,Northstar QualityCharacteristicGroup 182,1,1,2026-08-24T00:00:00.000
183,QCG000183,43,Quartz QualityCharacteristicGroup 183,1,1,2026-08-24T00:00:00.000
184,QCG000184,3,Unity QualityCharacteristicGroup 184,1,1,2026-08-24T00:00:00.000
185,QCG000185,64,Cedar QualityCharacteristicGroup 185,1,1,2026-08-24T00:00:00.000
186,QCG000186,17,Orion QualityCharacteristicGroup 186,1,1,2026-08-24T00:00:00.000
187,QCG000187,53,Forge QualityCharacteristicGroup 187,1,1,2026-08-24T00:00:00.000
188,QCG000188,47,Willow QualityCharacteristicGroup 188,1,1,2026-08-24T00:00:00.000
189,QCG000189,9,Orion QualityCharacteristicGroup 189,1,1,2026-08-24T00:00:00.000
190,QCG000190,66,Forge QualityCharacteristicGroup 190,1,1,2026-08-24T00:00:00.000
191,QCG000191,64,Unity QualityCharacteristicGroup 191,1,1,2026-08-24T00:00:00.000
192,QCG000192,41,Keystone QualityCharacteristicGroup 192,1,1,2026-08-24T00:00:00.000
193,QCG000193,3,Titan QualityCharacteristicGroup 193,1,1,2026-08-24T00:00:00.000
194,QCG000194,51,Northstar QualityCharacteristicGroup 194,1,1,2026-08-24T00:00:00.000
195,QCG000195,11,Zenith QualityCharacteristicGroup 195,1,1,2026-08-24T00:00:00.000
196,QCG000196,64,Keystone QualityCharacteristicGroup 196,1,1,2026-08-24T00:00:00.000
197,QCG000197,25,Keystone QualityCharacteristicGroup 197,1,1,2026-08-24T00:00:00.000
198,QCG000198,34,Vertex QualityCharacteristicGroup 198,1,1,2026-08-24T00:00:00.000
199,QCG000199,41,Beacon QualityCharacteristicGroup 199,1,1,2026-08-24T00:00:00.000
200,QCG000200,12,Beacon QualityCharacteristicGroup 200,1,1,2026-08-24T00:00:00.000
201,QCG000201,34,Unity QualityCharacteristicGroup 201,1,1,2026-08-24T00:00:00.000
202,QCG000202,62,Delta QualityCharacteristicGroup 202,1,1,2026-08-24T00:00:00.000
203,QCG000203,56,Vertex QualityCharacteristicGroup 203,1,1,2026-08-24T00:00:00.000
204,QCG000204,48,Unity QualityCharacteristicGroup 204,1,1,2026-08-24T00:00:00.000
205,QCG000205,22,Delta QualityCharacteristicGroup 205,1,1,2026-08-24T00:00:00.000
206,QCG000206,48,Keystone QualityCharacteristicGroup 206,1,1,2026-08-24T00:00:00.000
207,QCG000207,49,Northstar QualityCharacteristicGroup 207,1,1,2026-08-24T00:00:00.000
208,QCG000208,28,Summit QualityCharacteristicGroup 208,1,1,2026-08-24T00:00:00.000
209,QCG000209,41,Junction QualityCharacteristicGroup 209,1,1,2026-08-24T00:00:00.000
210,QCG000210,25,Meridian QualityCharacteristicGroup 210,1,1,2026-08-24T00:00:00.000
211,QCG000211,67,Forge QualityCharacteristicGroup 211,1,1,2026-08-24T00:00:00.000
212,QCG000212,51,Summit QualityCharacteristicGroup 212,1,1,2026-08-24T00:00:00.000
213,QCG000213,69,Evergreen QualityCharacteristicGroup 213,1,1,2026-08-24T00:00:00.000
214,QCG000214,60,Keystone QualityCharacteristicGroup 214,1,1,2026-08-24T00:00:00.000
215,QCG000215,6,Granite QualityCharacteristicGroup 215,1,1,2026-08-24T00:00:00.000
216,QCG000216,16,Atlas QualityCharacteristicGroup 216,1,1,2026-08-24T00:00:00.000
217,QCG000217,28,Titan QualityCharacteristicGroup 217,1,1,2026-08-24T00:00:00.000
218,QCG000218,49,Zenith QualityCharacteristicGroup 218,1,1,2026-08-24T00:00:00.000
219,QCG000219,31,Titan QualityCharacteristicGroup 219,1,1,2026-08-24T00:00:00.000
220,QCG000220,67,Orion QualityCharacteristicGroup 220,1,1,2026-08-24T00:00:00.000
221,QCG000221,44,Keystone QualityCharacteristicGroup 221,1,1,2026-08-24T00:00:00.000
222,QCG000222,15,Riverton QualityCharacteristicGroup 222,1,1,2026-08-24T00:00:00.000
223,QCG000223,48,Liberty QualityCharacteristicGroup 223,1,1,2026-08-24T00:00:00.000
224,QCG000224,1,Cedar QualityCharacteristicGroup 224,1,1,2026-08-24T00:00:00.000
225,QCG000225,58,Summit QualityCharacteristicGroup 225,1,1,2026-08-24T00:00:00.000
226,QCG000226,52,Vertex QualityCharacteristicGroup 226,1,1,2026-08-24T00:00:00.000
227,QCG000227,63,Unity QualityCharacteristicGroup 227,1,1,2026-08-24T00:00:00.000
228,QCG000228,18,Summit QualityCharacteristicGroup 228,1,1,2026-08-24T00:00:00.000
229,QCG000229,45,Atlas QualityCharacteristicGroup 229,1,1,2026-08-24T00:00:00.000
230,QCG000230,66,Willow QualityCharacteristicGroup 230,1,1,2026-08-24T00:00:00.000
231,QCG000231,51,Liberty QualityCharacteristicGroup 231,1,1,2026-08-24T00:00:00.000
232,QCG000232,6,Cedar QualityCharacteristicGroup 232,1,1,2026-08-24T00:00:00.000
233,QCG000233,6,Titan QualityCharacteristicGroup 233,1,1,2026-08-24T00:00:00.000
234,QCG000234,66,Evergreen QualityCharacteristicGroup 234,1,1,2026-08-24T00:00:00.000
235,QCG000235,45,Quartz QualityCharacteristicGroup 235,1,1,2026-08-24T00:00:00.000
236,QCG000236,1,Quartz QualityCharacteristicGroup 236,1,1,2026-08-24T00:00:00.000
237,QCG000237,7,Keystone QualityCharacteristicGroup 237,1,1,2026-08-24T00:00:00.000
238,QCG000238,13,Harbor QualityCharacteristicGroup 238,1,1,2026-08-24T00:00:00.000
239,QCG000239,60,Unity QualityCharacteristicGroup 239,1,1,2026-08-24T00:00:00.000
240,QCG000240,31,Northstar QualityCharacteristicGroup 240,1,1,2026-08-24T00:00:00.000
241,QCG000241,28,Riverton QualityCharacteristicGroup 241,1,1,2026-08-24T00:00:00.000
242,QCG000242,29,Beacon QualityCharacteristicGroup 242,1,1,2026-08-24T00:00:00.000
243,QCG000243,61,Meridian QualityCharacteristicGroup 243,1,1,2026-08-24T00:00:00.000
244,QCG000244,36,Titan QualityCharacteristicGroup 244,1,1,2026-08-24T00:00:00.000
245,QCG000245,60,Delta QualityCharacteristicGroup 245,1,1,2026-08-24T00:00:00.000
246,QCG000246,43,Evergreen QualityCharacteristicGroup 246,1,1,2026-08-24T00:00:00.000
247,QCG000247,62,Pioneer QualityCharacteristicGroup 247,1,1,2026-08-24T00:00:00.000
248,QCG000248,28,Titan QualityCharacteristicGroup 248,1,1,2026-08-24T00:00:00.000
249,QCG000249,25,Beacon QualityCharacteristicGroup 249,1,1,2026-08-24T00:00:00.000
250,QCG000250,22,Northstar QualityCharacteristicGroup 250,1,1,2026-08-24T00:00:00.000
251,QCG000251,60,Liberty QualityCharacteristicGroup 251,1,1,2026-08-24T00:00:00.000
252,QCG000252,1,Orion QualityCharacteristicGroup 252,1,1,2026-08-24T00:00:00.000
253,QCG000253,54,Riverton QualityCharacteristicGroup 253,1,1,2026-08-24T00:00:00.000
254,QCG000254,43,Vertex QualityCharacteristicGroup 254,1,1,2026-08-24T00:00:00.000
255,QCG000255,62,Ion QualityCharacteristicGroup 255,1,1,2026-08-24T00:00:00.000
256,QCG000256,6,Quartz QualityCharacteristicGroup 256,1,1,2026-08-24T00:00:00.000
257,QCG000257,53,Cedar QualityCharacteristicGroup 257,1,1,2026-08-24T00:00:00.000
258,QCG000258,51,Atlas QualityCharacteristicGroup 258,1,1,2026-08-24T00:00:00.000
259,QCG000259,8,Titan QualityCharacteristicGroup 259,1,1,2026-08-24T00:00:00.000
260,QCG000260,68,Forge QualityCharacteristicGroup 260,1,1,2026-08-24T00:00:00.000
