LogisticsShipmentHeaderKey,ShipmentNumber,LogisticsCarrierServiceOptionKey,LogisticsLaneSegmentKey,OriginPlantKey,DestinationCustomerCustomerKey,LogisticsShipmentStatusKey,LogisticsServiceLevelKey,ShipmentName,ProNumber,BillOfLadingNumber,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
35,LSH000035,369,63,338,366,3,1,Ion LogisticsShipmentHeader 35,LSH000035,LSH000035,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,468b000842fb570da1e4e13521d358f1468b000842fb570da1e4e13521d358f1
36,LSH000036,209,207,202,303,11,4,Meridian LogisticsShipmentHeader 36,LSH000036,LSH000036,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6734fdda89ef5077b2b498d9f4af30dc6734fdda89ef5077b2b498d9f4af30dc
37,LSH000037,338,480,297,254,3,19,Orion LogisticsShipmentHeader 37,LSH000037,LSH000037,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05a5dc87f9d651c68378ba40437755ea05a5dc87f9d651c68378ba40437755ea
38,LSH000038,456,115,115,477,9,14,Forge LogisticsShipmentHeader 38,LSH000038,LSH000038,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,026688c68c7253df8fbb0b9105186573026688c68c7253df8fbb0b9105186573
39,LSH000039,123,466,117,310,14,6,Keystone LogisticsShipmentHeader 39,LSH000039,LSH000039,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c3d8b46a1f75a17b6b0f0227aafcc5f9c3d8b46a1f75a17b6b0f0227aafcc5f
40,LSH000040,364,49,321,189,1,8,Meridian LogisticsShipmentHeader 40,LSH000040,LSH000040,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a778e3c0eb8c5c30b3aea18a26f39f46a778e3c0eb8c5c30b3aea18a26f39f46
41,LSH000041,365,321,247,353,8,3,Forge LogisticsShipmentHeader 41,LSH000041,LSH000041,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0be6fe5fcdc858a896ddf805ce8e6a380be6fe5fcdc858a896ddf805ce8e6a38
42,LSH000042,337,46,203,360,1,7,Summit LogisticsShipmentHeader 42,LSH000042,LSH000042,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3896cf450dce5deba81d2a91365216a73896cf450dce5deba81d2a91365216a7
43,LSH000043,432,427,310,159,5,4,Junction LogisticsShipmentHeader 43,LSH000043,LSH000043,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa3620bca92753ab94850d430296ad58aa3620bca92753ab94850d430296ad58
44,LSH000044,379,162,35,460,7,20,Beacon LogisticsShipmentHeader 44,LSH000044,LSH000044,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1d7e99aeb77549e888082e25f8f5c4cd1d7e99aeb77549e888082e25f8f5c4c
45,LSH000045,309,289,154,105,3,4,Summit LogisticsShipmentHeader 45,LSH000045,LSH000045,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,749381284f0f5b61930904c09c769596749381284f0f5b61930904c09c769596
46,LSH000046,347,480,332,288,3,17,Meridian LogisticsShipmentHeader 46,LSH000046,LSH000046,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c454893d94ed51158863b0e321e8c3aac454893d94ed51158863b0e321e8c3aa
47,LSH000047,376,126,271,22,12,18,Riverton LogisticsShipmentHeader 47,LSH000047,LSH000047,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad97b0e06d895c5087a95d5f02069a28ad97b0e06d895c5087a95d5f02069a28
48,LSH000048,492,301,108,438,8,5,Pioneer LogisticsShipmentHeader 48,LSH000048,LSH000048,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7875ed5c5ba58debd3c1415a3089e9bc7875ed5c5ba58debd3c1415a3089e9b
49,LSH000049,135,400,72,158,9,12,Vertex LogisticsShipmentHeader 49,LSH000049,LSH000049,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50216453ec0659199236fad7c393aba050216453ec0659199236fad7c393aba0
50,LSH000050,374,368,257,102,7,8,Cedar LogisticsShipmentHeader 50,LSH000050,LSH000050,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f06a90c426f531fb93dec0e311591403f06a90c426f531fb93dec0e31159140
51,LSH000051,327,427,-1,-1,13,10,Northstar LogisticsShipmentHeader 51,LSH000051,LSH000051,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dfc4c11fba525f8888f04ed9f489ca76dfc4c11fba525f8888f04ed9f489ca76
52,LSH000052,119,313,51,392,11,19,Cedar LogisticsShipmentHeader 52,LSH000052,LSH000052,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65e8162abfb55da4b1a303de67d5008565e8162abfb55da4b1a303de67d50085
53,LSH000053,300,290,79,244,13,14,Junction LogisticsShipmentHeader 53,LSH000053,LSH000053,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d9773e9b23453abb65d0e9287efcd521d9773e9b23453abb65d0e9287efcd52
54,LSH000054,45,210,69,254,8,12,Quartz LogisticsShipmentHeader 54,LSH000054,LSH000054,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f28c886556c55c33b3e110cca1e96d94f28c886556c55c33b3e110cca1e96d94
55,LSH000055,411,215,142,446,3,9,Zenith LogisticsShipmentHeader 55,LSH000055,LSH000055,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0917dc8f77ac593598326e556c92214a0917dc8f77ac593598326e556c92214a
56,LSH000056,132,459,72,284,1,9,Zenith LogisticsShipmentHeader 56,LSH000056,LSH000056,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9d6ce4c934d5d0e870b5f07bce15394d9d6ce4c934d5d0e870b5f07bce15394
57,LSH000057,468,110,274,305,14,4,Summit LogisticsShipmentHeader 57,LSH000057,LSH000057,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,485fbb0969165bfbb0d408013309764c485fbb0969165bfbb0d408013309764c
58,LSH000058,176,3,321,400,6,2,Harbor LogisticsShipmentHeader 58,LSH000058,LSH000058,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8d3c24d1b525bef9916330d56224ca1d8d3c24d1b525bef9916330d56224ca1
59,LSH000059,249,482,230,196,7,10,Titan LogisticsShipmentHeader 59,LSH000059,LSH000059,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58f16a902e285f26ba52efd14f1401dd58f16a902e285f26ba52efd14f1401dd
60,LSH000060,99,401,276,147,2,1,Orion LogisticsShipmentHeader 60,LSH000060,LSH000060,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68cd00837c3c57f5a471089ddeea87be68cd00837c3c57f5a471089ddeea87be
61,LSH000061,364,254,3,247,9,20,Granite LogisticsShipmentHeader 61,LSH000061,LSH000061,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,efb207bef481518f8ecf343da94778f1efb207bef481518f8ecf343da94778f1
62,LSH000062,152,200,93,291,13,4,Harbor LogisticsShipmentHeader 62,LSH000062,LSH000062,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb696f5f80425c77bd0de7355d4def3acb696f5f80425c77bd0de7355d4def3a
63,LSH000063,217,297,103,215,5,7,Liberty LogisticsShipmentHeader 63,LSH000063,LSH000063,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25e78eaa7d9f509a93e7226f470f91ba25e78eaa7d9f509a93e7226f470f91ba
64,LSH000064,62,454,277,345,12,5,Forge LogisticsShipmentHeader 64,LSH000064,LSH000064,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c6b73522f025fc287b7cd727ced22136c6b73522f025fc287b7cd727ced2213
65,LSH000065,89,201,157,155,12,13,Granite LogisticsShipmentHeader 65,LSH000065,LSH000065,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e4f1c42adb552cf88e21ad953e454172e4f1c42adb552cf88e21ad953e45417
66,LSH000066,1,293,227,257,8,11,Vertex LogisticsShipmentHeader 66,LSH000066,LSH000066,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b735ab9678ca5aec9f24941f9f9f7987b735ab9678ca5aec9f24941f9f9f7987
67,LSH000067,103,50,223,466,13,7,Junction LogisticsShipmentHeader 67,LSH000067,LSH000067,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b488a26d9a45508bb48106ba481bba04b488a26d9a45508bb48106ba481bba04
68,LSH000068,284,353,-1,-1,2,15,Meridian LogisticsShipmentHeader 68,LSH000068,LSH000068,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9602e9c5c2c152fc9949a7a6dc3a33da9602e9c5c2c152fc9949a7a6dc3a33da
69,LSH000069,113,156,3,114,4,17,Meridian LogisticsShipmentHeader 69,LSH000069,LSH000069,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,253e4a38e1fe523fab12d961410b745b253e4a38e1fe523fab12d961410b745b
70,LSH000070,170,431,302,77,11,16,Delta LogisticsShipmentHeader 70,LSH000070,LSH000070,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,340d115aa3fa5673b4a1b9d2060df57d340d115aa3fa5673b4a1b9d2060df57d
71,LSH000071,308,404,219,337,13,4,Granite LogisticsShipmentHeader 71,LSH000071,LSH000071,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0e6aabf991d54bc81d28bc463d101aca0e6aabf991d54bc81d28bc463d101ac
72,LSH000072,391,165,320,321,11,1,Vertex LogisticsShipmentHeader 72,LSH000072,LSH000072,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d53d6a3ab615cfeb8c345e393fc05577d53d6a3ab615cfeb8c345e393fc0557
73,LSH000073,156,34,273,127,11,5,Liberty LogisticsShipmentHeader 73,LSH000073,LSH000073,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d2f20b58bf35f2fbb791fec19d279746d2f20b58bf35f2fbb791fec19d27974
74,LSH000074,99,28,65,259,1,13,Delta LogisticsShipmentHeader 74,LSH000074,LSH000074,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afb6702084735399b83c19d70ff6ec27afb6702084735399b83c19d70ff6ec27
75,LSH000075,263,192,316,135,11,2,Pioneer LogisticsShipmentHeader 75,LSH000075,LSH000075,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b110f71fc4975cedbd97906f812076c1b110f71fc4975cedbd97906f812076c1
76,LSH000076,290,20,11,85,4,5,Ion LogisticsShipmentHeader 76,LSH000076,LSH000076,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00aa60f6a8735dd69e6448ecc3fafade00aa60f6a8735dd69e6448ecc3fafade
77,LSH000077,145,310,296,444,2,1,Harbor LogisticsShipmentHeader 77,LSH000077,LSH000077,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6079205c37945c158da97b8da0d84f116079205c37945c158da97b8da0d84f11
78,LSH000078,481,344,97,350,3,13,Evergreen LogisticsShipmentHeader 78,LSH000078,LSH000078,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,819e65ab4d5f5cd6bdbb97d614f2e5db819e65ab4d5f5cd6bdbb97d614f2e5db
79,LSH000079,62,371,279,441,12,2,Harbor LogisticsShipmentHeader 79,LSH000079,LSH000079,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5440011f202a5ac8b97a8fd5fdafeb295440011f202a5ac8b97a8fd5fdafeb29
80,LSH000080,141,323,41,347,2,11,Willow LogisticsShipmentHeader 80,LSH000080,LSH000080,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d7e6a87bc815a8a93db7ecd33f0aa6a4d7e6a87bc815a8a93db7ecd33f0aa6a
81,LSH000081,428,266,346,207,2,18,Quartz LogisticsShipmentHeader 81,LSH000081,LSH000081,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c194ac53e17752bbbdd2d0bdb6c4be6dc194ac53e17752bbbdd2d0bdb6c4be6d
82,LSH000082,364,108,181,195,11,20,Junction LogisticsShipmentHeader 82,LSH000082,LSH000082,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,591dab9de2b550848a01db13996f87c0591dab9de2b550848a01db13996f87c0
83,LSH000083,111,145,159,172,1,17,Cedar LogisticsShipmentHeader 83,LSH000083,LSH000083,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,881c08e51c175db28b5efa575313e5bc881c08e51c175db28b5efa575313e5bc
84,LSH000084,127,128,123,264,8,2,Ion LogisticsShipmentHeader 84,LSH000084,LSH000084,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f8ccd9ce6f35979a5ac3e0b420113b96f8ccd9ce6f35979a5ac3e0b420113b9
85,LSH000085,360,201,-1,-1,13,7,Unity LogisticsShipmentHeader 85,LSH000085,LSH000085,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,284e8fb6b8cb5abb8d96d88468e1cfaa284e8fb6b8cb5abb8d96d88468e1cfaa
86,LSH000086,269,174,162,254,6,18,Meridian LogisticsShipmentHeader 86,LSH000086,LSH000086,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37481e74db76588f82a3d6ad18fa525737481e74db76588f82a3d6ad18fa5257
87,LSH000087,229,162,264,137,2,6,Junction LogisticsShipmentHeader 87,LSH000087,LSH000087,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1e50aeccd0e52f49427d3c8a92734ddd1e50aeccd0e52f49427d3c8a92734dd
88,LSH000088,46,98,191,342,13,12,Atlas LogisticsShipmentHeader 88,LSH000088,LSH000088,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f005da4340751fab986b8c856b8168c2f005da4340751fab986b8c856b8168c
89,LSH000089,310,195,293,223,1,5,Harbor LogisticsShipmentHeader 89,LSH000089,LSH000089,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f98dbb9ca30b5edea9042f754b521364f98dbb9ca30b5edea9042f754b521364
90,LSH000090,161,176,288,16,2,11,Evergreen LogisticsShipmentHeader 90,LSH000090,LSH000090,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e597a18ac6e589b855840eb59ef11876e597a18ac6e589b855840eb59ef1187
91,LSH000091,198,149,342,315,10,10,Keystone LogisticsShipmentHeader 91,LSH000091,LSH000091,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4df6dc68766b5b5d985893d494861d6c4df6dc68766b5b5d985893d494861d6c
92,LSH000092,320,290,203,14,13,3,Riverton LogisticsShipmentHeader 92,LSH000092,LSH000092,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7df1cb9588c503396ac3cd88dd86e0dd7df1cb9588c503396ac3cd88dd86e0d
93,LSH000093,442,166,165,35,9,14,Quartz LogisticsShipmentHeader 93,LSH000093,LSH000093,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fc27c26d98f5d65a1ab25a04371522b0fc27c26d98f5d65a1ab25a04371522b
