LogisticsTariffItemKey,LogisticsTariffItemCode,LogisticsTariffSubheadingKey,LogisticsTariffItemName,SourceSystemKey,BatchId,LoadedAtUtc
139,LTI000139,487,Unity LogisticsTariffItem 139,1,1,2026-08-24T00:00:00.000
140,LTI000140,134,Liberty LogisticsTariffItem 140,1,1,2026-08-24T00:00:00.000
141,LTI000141,16,Liberty LogisticsTariffItem 141,1,1,2026-08-24T00:00:00.000
142,LTI000142,486,Northstar LogisticsTariffItem 142,1,1,2026-08-24T00:00:00.000
143,LTI000143,450,Orion LogisticsTariffItem 143,1,1,2026-08-24T00:00:00.000
144,LTI000144,156,Quartz LogisticsTariffItem 144,1,1,2026-08-24T00:00:00.000
145,LTI000145,332,Vertex LogisticsTariffItem 145,1,1,2026-08-24T00:00:00.000
146,LTI000146,237,Meridian LogisticsTariffItem 146,1,1,2026-08-24T00:00:00.000
147,LTI000147,417,Evergreen LogisticsTariffItem 147,1,1,2026-08-24T00:00:00.000
148,LTI000148,289,Meridian LogisticsTariffItem 148,1,1,2026-08-24T00:00:00.000
149,LTI000149,46,Liberty LogisticsTariffItem 149,1,1,2026-08-24T00:00:00.000
150,LTI000150,140,Evergreen LogisticsTariffItem 150,1,1,2026-08-24T00:00:00.000
151,LTI000151,368,Keystone LogisticsTariffItem 151,1,1,2026-08-24T00:00:00.000
152,LTI000152,161,Atlas LogisticsTariffItem 152,1,1,2026-08-24T00:00:00.000
153,LTI000153,291,Atlas LogisticsTariffItem 153,1,1,2026-08-24T00:00:00.000
154,LTI000154,114,Evergreen LogisticsTariffItem 154,1,1,2026-08-24T00:00:00.000
155,LTI000155,14,Orion LogisticsTariffItem 155,1,1,2026-08-24T00:00:00.000
156,LTI000156,188,Forge LogisticsTariffItem 156,1,1,2026-08-24T00:00:00.000
157,LTI000157,433,Harbor LogisticsTariffItem 157,1,1,2026-08-24T00:00:00.000
158,LTI000158,461,Cedar LogisticsTariffItem 158,1,1,2026-08-24T00:00:00.000
159,LTI000159,349,Quartz LogisticsTariffItem 159,1,1,2026-08-24T00:00:00.000
160,LTI000160,21,Liberty LogisticsTariffItem 160,1,1,2026-08-24T00:00:00.000
161,LTI000161,99,Evergreen LogisticsTariffItem 161,1,1,2026-08-24T00:00:00.000
162,LTI000162,96,Keystone LogisticsTariffItem 162,1,1,2026-08-24T00:00:00.000
163,LTI000163,311,Keystone LogisticsTariffItem 163,1,1,2026-08-24T00:00:00.000
164,LTI000164,46,Atlas LogisticsTariffItem 164,1,1,2026-08-24T00:00:00.000
165,LTI000165,313,Granite LogisticsTariffItem 165,1,1,2026-08-24T00:00:00.000
166,LTI000166,138,Willow LogisticsTariffItem 166,1,1,2026-08-24T00:00:00.000
167,LTI000167,249,Junction LogisticsTariffItem 167,1,1,2026-08-24T00:00:00.000
168,LTI000168,112,Granite LogisticsTariffItem 168,1,1,2026-08-24T00:00:00.000
169,LTI000169,437,Ion LogisticsTariffItem 169,1,1,2026-08-24T00:00:00.000
170,LTI000170,198,Forge LogisticsTariffItem 170,1,1,2026-08-24T00:00:00.000
171,LTI000171,145,Granite LogisticsTariffItem 171,1,1,2026-08-24T00:00:00.000
172,LTI000172,89,Orion LogisticsTariffItem 172,1,1,2026-08-24T00:00:00.000
173,LTI000173,378,Quartz LogisticsTariffItem 173,1,1,2026-08-24T00:00:00.000
174,LTI000174,205,Riverton LogisticsTariffItem 174,1,1,2026-08-24T00:00:00.000
175,LTI000175,484,Vertex LogisticsTariffItem 175,1,1,2026-08-24T00:00:00.000
176,LTI000176,77,Willow LogisticsTariffItem 176,1,1,2026-08-24T00:00:00.000
177,LTI000177,239,Vertex LogisticsTariffItem 177,1,1,2026-08-24T00:00:00.000
178,LTI000178,438,Liberty LogisticsTariffItem 178,1,1,2026-08-24T00:00:00.000
179,LTI000179,281,Vertex LogisticsTariffItem 179,1,1,2026-08-24T00:00:00.000
180,LTI000180,123,Vertex LogisticsTariffItem 180,1,1,2026-08-24T00:00:00.000
181,LTI000181,31,Granite LogisticsTariffItem 181,1,1,2026-08-24T00:00:00.000
182,LTI000182,81,Pioneer LogisticsTariffItem 182,1,1,2026-08-24T00:00:00.000
183,LTI000183,52,Titan LogisticsTariffItem 183,1,1,2026-08-24T00:00:00.000
184,LTI000184,270,Riverton LogisticsTariffItem 184,1,1,2026-08-24T00:00:00.000
185,LTI000185,283,Ion LogisticsTariffItem 185,1,1,2026-08-24T00:00:00.000
186,LTI000186,216,Pioneer LogisticsTariffItem 186,1,1,2026-08-24T00:00:00.000
187,LTI000187,33,Vertex LogisticsTariffItem 187,1,1,2026-08-24T00:00:00.000
188,LTI000188,204,Forge LogisticsTariffItem 188,1,1,2026-08-24T00:00:00.000
189,LTI000189,310,Willow LogisticsTariffItem 189,1,1,2026-08-24T00:00:00.000
190,LTI000190,79,Northstar LogisticsTariffItem 190,1,1,2026-08-24T00:00:00.000
191,LTI000191,110,Orion LogisticsTariffItem 191,1,1,2026-08-24T00:00:00.000
192,LTI000192,399,Forge LogisticsTariffItem 192,1,1,2026-08-24T00:00:00.000
193,LTI000193,442,Quartz LogisticsTariffItem 193,1,1,2026-08-24T00:00:00.000
194,LTI000194,473,Beacon LogisticsTariffItem 194,1,1,2026-08-24T00:00:00.000
195,LTI000195,95,Titan LogisticsTariffItem 195,1,1,2026-08-24T00:00:00.000
196,LTI000196,90,Beacon LogisticsTariffItem 196,1,1,2026-08-24T00:00:00.000
197,LTI000197,229,Ion LogisticsTariffItem 197,1,1,2026-08-24T00:00:00.000
198,LTI000198,54,Keystone LogisticsTariffItem 198,1,1,2026-08-24T00:00:00.000
199,LTI000199,126,Pioneer LogisticsTariffItem 199,1,1,2026-08-24T00:00:00.000
200,LTI000200,11,Forge LogisticsTariffItem 200,1,1,2026-08-24T00:00:00.000
201,LTI000201,356,Evergreen LogisticsTariffItem 201,1,1,2026-08-24T00:00:00.000
202,LTI000202,443,Delta LogisticsTariffItem 202,1,1,2026-08-24T00:00:00.000
203,LTI000203,180,Unity LogisticsTariffItem 203,1,1,2026-08-24T00:00:00.000
204,LTI000204,94,Harbor LogisticsTariffItem 204,1,1,2026-08-24T00:00:00.000
205,LTI000205,302,Granite LogisticsTariffItem 205,1,1,2026-08-24T00:00:00.000
206,LTI000206,154,Atlas LogisticsTariffItem 206,1,1,2026-08-24T00:00:00.000
207,LTI000207,416,Zenith LogisticsTariffItem 207,1,1,2026-08-24T00:00:00.000
208,LTI000208,199,Northstar LogisticsTariffItem 208,1,1,2026-08-24T00:00:00.000
209,LTI000209,288,Atlas LogisticsTariffItem 209,1,1,2026-08-24T00:00:00.000
210,LTI000210,358,Pioneer LogisticsTariffItem 210,1,1,2026-08-24T00:00:00.000
211,LTI000211,146,Northstar LogisticsTariffItem 211,1,1,2026-08-24T00:00:00.000
212,LTI000212,326,Keystone LogisticsTariffItem 212,1,1,2026-08-24T00:00:00.000
213,LTI000213,419,Junction LogisticsTariffItem 213,1,1,2026-08-24T00:00:00.000
214,LTI000214,360,Delta LogisticsTariffItem 214,1,1,2026-08-24T00:00:00.000
215,LTI000215,208,Junction LogisticsTariffItem 215,1,1,2026-08-24T00:00:00.000
216,LTI000216,142,Cedar LogisticsTariffItem 216,1,1,2026-08-24T00:00:00.000
217,LTI000217,132,Summit LogisticsTariffItem 217,1,1,2026-08-24T00:00:00.000
218,LTI000218,68,Keystone LogisticsTariffItem 218,1,1,2026-08-24T00:00:00.000
219,LTI000219,357,Orion LogisticsTariffItem 219,1,1,2026-08-24T00:00:00.000
220,LTI000220,199,Granite LogisticsTariffItem 220,1,1,2026-08-24T00:00:00.000
221,LTI000221,423,Harbor LogisticsTariffItem 221,1,1,2026-08-24T00:00:00.000
222,LTI000222,94,Atlas LogisticsTariffItem 222,1,1,2026-08-24T00:00:00.000
223,LTI000223,447,Willow LogisticsTariffItem 223,1,1,2026-08-24T00:00:00.000
224,LTI000224,117,Vertex LogisticsTariffItem 224,1,1,2026-08-24T00:00:00.000
225,LTI000225,4,Granite LogisticsTariffItem 225,1,1,2026-08-24T00:00:00.000
226,LTI000226,274,Keystone LogisticsTariffItem 226,1,1,2026-08-24T00:00:00.000
227,LTI000227,383,Keystone LogisticsTariffItem 227,1,1,2026-08-24T00:00:00.000
228,LTI000228,240,Riverton LogisticsTariffItem 228,1,1,2026-08-24T00:00:00.000
229,LTI000229,339,Zenith LogisticsTariffItem 229,1,1,2026-08-24T00:00:00.000
230,LTI000230,492,Pioneer LogisticsTariffItem 230,1,1,2026-08-24T00:00:00.000
231,LTI000231,447,Vertex LogisticsTariffItem 231,1,1,2026-08-24T00:00:00.000
232,LTI000232,468,Summit LogisticsTariffItem 232,1,1,2026-08-24T00:00:00.000
233,LTI000233,86,Titan LogisticsTariffItem 233,1,1,2026-08-24T00:00:00.000
234,LTI000234,178,Zenith LogisticsTariffItem 234,1,1,2026-08-24T00:00:00.000
235,LTI000235,231,Delta LogisticsTariffItem 235,1,1,2026-08-24T00:00:00.000
236,LTI000236,173,Beacon LogisticsTariffItem 236,1,1,2026-08-24T00:00:00.000
237,LTI000237,84,Willow LogisticsTariffItem 237,1,1,2026-08-24T00:00:00.000
238,LTI000238,193,Orion LogisticsTariffItem 238,1,1,2026-08-24T00:00:00.000
239,LTI000239,48,Keystone LogisticsTariffItem 239,1,1,2026-08-24T00:00:00.000
240,LTI000240,358,Willow LogisticsTariffItem 240,1,1,2026-08-24T00:00:00.000
241,LTI000241,113,Delta LogisticsTariffItem 241,1,1,2026-08-24T00:00:00.000
242,LTI000242,63,Keystone LogisticsTariffItem 242,1,1,2026-08-24T00:00:00.000
243,LTI000243,68,Harbor LogisticsTariffItem 243,1,1,2026-08-24T00:00:00.000
244,LTI000244,156,Meridian LogisticsTariffItem 244,1,1,2026-08-24T00:00:00.000
245,LTI000245,157,Vertex LogisticsTariffItem 245,1,1,2026-08-24T00:00:00.000
246,LTI000246,134,Meridian LogisticsTariffItem 246,1,1,2026-08-24T00:00:00.000
247,LTI000247,470,Junction LogisticsTariffItem 247,1,1,2026-08-24T00:00:00.000
248,LTI000248,283,Orion LogisticsTariffItem 248,1,1,2026-08-24T00:00:00.000
249,LTI000249,45,Pioneer LogisticsTariffItem 249,1,1,2026-08-24T00:00:00.000
250,LTI000250,44,Riverton LogisticsTariffItem 250,1,1,2026-08-24T00:00:00.000
251,LTI000251,342,Meridian LogisticsTariffItem 251,1,1,2026-08-24T00:00:00.000
252,LTI000252,319,Beacon LogisticsTariffItem 252,1,1,2026-08-24T00:00:00.000
253,LTI000253,404,Orion LogisticsTariffItem 253,1,1,2026-08-24T00:00:00.000
254,LTI000254,170,Northstar LogisticsTariffItem 254,1,1,2026-08-24T00:00:00.000
255,LTI000255,173,Meridian LogisticsTariffItem 255,1,1,2026-08-24T00:00:00.000
256,LTI000256,272,Ion LogisticsTariffItem 256,1,1,2026-08-24T00:00:00.000
257,LTI000257,65,Atlas LogisticsTariffItem 257,1,1,2026-08-24T00:00:00.000
258,LTI000258,210,Evergreen LogisticsTariffItem 258,1,1,2026-08-24T00:00:00.000
259,LTI000259,454,Quartz LogisticsTariffItem 259,1,1,2026-08-24T00:00:00.000
260,LTI000260,222,Orion LogisticsTariffItem 260,1,1,2026-08-24T00:00:00.000
261,LTI000261,301,Granite LogisticsTariffItem 261,1,1,2026-08-24T00:00:00.000
262,LTI000262,16,Summit LogisticsTariffItem 262,1,1,2026-08-24T00:00:00.000
263,LTI000263,325,Harbor LogisticsTariffItem 263,1,1,2026-08-24T00:00:00.000
264,LTI000264,464,Unity LogisticsTariffItem 264,1,1,2026-08-24T00:00:00.000
265,LTI000265,355,Keystone LogisticsTariffItem 265,1,1,2026-08-24T00:00:00.000
266,LTI000266,380,Beacon LogisticsTariffItem 266,1,1,2026-08-24T00:00:00.000
267,LTI000267,176,Meridian LogisticsTariffItem 267,1,1,2026-08-24T00:00:00.000
268,LTI000268,356,Forge LogisticsTariffItem 268,1,1,2026-08-24T00:00:00.000
269,LTI000269,422,Atlas LogisticsTariffItem 269,1,1,2026-08-24T00:00:00.000
270,LTI000270,154,Beacon LogisticsTariffItem 270,1,1,2026-08-24T00:00:00.000
271,LTI000271,384,Evergreen LogisticsTariffItem 271,1,1,2026-08-24T00:00:00.000
272,LTI000272,295,Delta LogisticsTariffItem 272,1,1,2026-08-24T00:00:00.000
273,LTI000273,429,Vertex LogisticsTariffItem 273,1,1,2026-08-24T00:00:00.000
274,LTI000274,224,Atlas LogisticsTariffItem 274,1,1,2026-08-24T00:00:00.000
275,LTI000275,4,Keystone LogisticsTariffItem 275,1,1,2026-08-24T00:00:00.000
276,LTI000276,65,Meridian LogisticsTariffItem 276,1,1,2026-08-24T00:00:00.000
277,LTI000277,266,Granite LogisticsTariffItem 277,1,1,2026-08-24T00:00:00.000
278,LTI000278,159,Titan LogisticsTariffItem 278,1,1,2026-08-24T00:00:00.000
279,LTI000279,371,Titan LogisticsTariffItem 279,1,1,2026-08-24T00:00:00.000
280,LTI000280,65,Zenith LogisticsTariffItem 280,1,1,2026-08-24T00:00:00.000
281,LTI000281,424,Junction LogisticsTariffItem 281,1,1,2026-08-24T00:00:00.000
282,LTI000282,214,Willow LogisticsTariffItem 282,1,1,2026-08-24T00:00:00.000
283,LTI000283,487,Delta LogisticsTariffItem 283,1,1,2026-08-24T00:00:00.000
284,LTI000284,103,Summit LogisticsTariffItem 284,1,1,2026-08-24T00:00:00.000
285,LTI000285,217,Orion LogisticsTariffItem 285,1,1,2026-08-24T00:00:00.000
286,LTI000286,434,Ion LogisticsTariffItem 286,1,1,2026-08-24T00:00:00.000
287,LTI000287,170,Atlas LogisticsTariffItem 287,1,1,2026-08-24T00:00:00.000
288,LTI000288,215,Atlas LogisticsTariffItem 288,1,1,2026-08-24T00:00:00.000
289,LTI000289,341,Summit LogisticsTariffItem 289,1,1,2026-08-24T00:00:00.000
290,LTI000290,127,Evergreen LogisticsTariffItem 290,1,1,2026-08-24T00:00:00.000
291,LTI000291,422,Forge LogisticsTariffItem 291,1,1,2026-08-24T00:00:00.000
292,LTI000292,322,Liberty LogisticsTariffItem 292,1,1,2026-08-24T00:00:00.000
293,LTI000293,159,Northstar LogisticsTariffItem 293,1,1,2026-08-24T00:00:00.000
294,LTI000294,205,Summit LogisticsTariffItem 294,1,1,2026-08-24T00:00:00.000
295,LTI000295,128,Willow LogisticsTariffItem 295,1,1,2026-08-24T00:00:00.000
296,LTI000296,80,Vertex LogisticsTariffItem 296,1,1,2026-08-24T00:00:00.000
297,LTI000297,115,Ion LogisticsTariffItem 297,1,1,2026-08-24T00:00:00.000
298,LTI000298,79,Riverton LogisticsTariffItem 298,1,1,2026-08-24T00:00:00.000
299,LTI000299,14,Titan LogisticsTariffItem 299,1,1,2026-08-24T00:00:00.000
300,LTI000300,326,Harbor LogisticsTariffItem 300,1,1,2026-08-24T00:00:00.000
301,LTI000301,281,Keystone LogisticsTariffItem 301,1,1,2026-08-24T00:00:00.000
302,LTI000302,494,Junction LogisticsTariffItem 302,1,1,2026-08-24T00:00:00.000
