ServiceRepairSubcategoryKey,ServiceRepairSubcategoryCode,ServiceRepairCategoryKey,ServiceRepairSubcategoryName,SourceSystemKey,BatchId,LoadedAtUtc
107,SRS000107,14,Unity ServiceRepairSubcategory 107,1,1,2026-08-24T00:00:00.000
108,SRS000108,1,Titan ServiceRepairSubcategory 108,1,1,2026-08-24T00:00:00.000
109,SRS000109,31,Meridian ServiceRepairSubcategory 109,1,1,2026-08-24T00:00:00.000
110,SRS000110,31,Delta ServiceRepairSubcategory 110,1,1,2026-08-24T00:00:00.000
111,SRS000111,5,Pioneer ServiceRepairSubcategory 111,1,1,2026-08-24T00:00:00.000
112,SRS000112,18,Quartz ServiceRepairSubcategory 112,1,1,2026-08-24T00:00:00.000
113,SRS000113,9,Liberty ServiceRepairSubcategory 113,1,1,2026-08-24T00:00:00.000
114,SRS000114,12,Forge ServiceRepairSubcategory 114,1,1,2026-08-24T00:00:00.000
115,SRS000115,29,Quartz ServiceRepairSubcategory 115,1,1,2026-08-24T00:00:00.000
116,SRS000116,33,Beacon ServiceRepairSubcategory 116,1,1,2026-08-24T00:00:00.000
117,SRS000117,17,Willow ServiceRepairSubcategory 117,1,1,2026-08-24T00:00:00.000
118,SRS000118,7,Quartz ServiceRepairSubcategory 118,1,1,2026-08-24T00:00:00.000
119,SRS000119,31,Forge ServiceRepairSubcategory 119,1,1,2026-08-24T00:00:00.000
120,SRS000120,12,Forge ServiceRepairSubcategory 120,1,1,2026-08-24T00:00:00.000
121,SRS000121,5,Evergreen ServiceRepairSubcategory 121,1,1,2026-08-24T00:00:00.000
122,SRS000122,23,Orion ServiceRepairSubcategory 122,1,1,2026-08-24T00:00:00.000
123,SRS000123,30,Meridian ServiceRepairSubcategory 123,1,1,2026-08-24T00:00:00.000
124,SRS000124,14,Forge ServiceRepairSubcategory 124,1,1,2026-08-24T00:00:00.000
125,SRS000125,12,Atlas ServiceRepairSubcategory 125,1,1,2026-08-24T00:00:00.000
126,SRS000126,23,Summit ServiceRepairSubcategory 126,1,1,2026-08-24T00:00:00.000
127,SRS000127,13,Granite ServiceRepairSubcategory 127,1,1,2026-08-24T00:00:00.000
128,SRS000128,32,Unity ServiceRepairSubcategory 128,1,1,2026-08-24T00:00:00.000
129,SRS000129,35,Ion ServiceRepairSubcategory 129,1,1,2026-08-24T00:00:00.000
130,SRS000130,8,Cedar ServiceRepairSubcategory 130,1,1,2026-08-24T00:00:00.000
131,SRS000131,32,Titan ServiceRepairSubcategory 131,1,1,2026-08-24T00:00:00.000
132,SRS000132,34,Riverton ServiceRepairSubcategory 132,1,1,2026-08-24T00:00:00.000
133,SRS000133,19,Forge ServiceRepairSubcategory 133,1,1,2026-08-24T00:00:00.000
134,SRS000134,14,Atlas ServiceRepairSubcategory 134,1,1,2026-08-24T00:00:00.000
135,SRS000135,12,Summit ServiceRepairSubcategory 135,1,1,2026-08-24T00:00:00.000
136,SRS000136,17,Ion ServiceRepairSubcategory 136,1,1,2026-08-24T00:00:00.000
137,SRS000137,13,Orion ServiceRepairSubcategory 137,1,1,2026-08-24T00:00:00.000
138,SRS000138,12,Titan ServiceRepairSubcategory 138,1,1,2026-08-24T00:00:00.000
139,SRS000139,16,Liberty ServiceRepairSubcategory 139,1,1,2026-08-24T00:00:00.000
140,SRS000140,35,Forge ServiceRepairSubcategory 140,1,1,2026-08-24T00:00:00.000
141,SRS000141,25,Summit ServiceRepairSubcategory 141,1,1,2026-08-24T00:00:00.000
142,SRS000142,10,Liberty ServiceRepairSubcategory 142,1,1,2026-08-24T00:00:00.000
143,SRS000143,25,Summit ServiceRepairSubcategory 143,1,1,2026-08-24T00:00:00.000
144,SRS000144,33,Beacon ServiceRepairSubcategory 144,1,1,2026-08-24T00:00:00.000
145,SRS000145,29,Pioneer ServiceRepairSubcategory 145,1,1,2026-08-24T00:00:00.000
146,SRS000146,27,Beacon ServiceRepairSubcategory 146,1,1,2026-08-24T00:00:00.000
147,SRS000147,35,Willow ServiceRepairSubcategory 147,1,1,2026-08-24T00:00:00.000
148,SRS000148,26,Atlas ServiceRepairSubcategory 148,1,1,2026-08-24T00:00:00.000
149,SRS000149,20,Meridian ServiceRepairSubcategory 149,1,1,2026-08-24T00:00:00.000
150,SRS000150,22,Liberty ServiceRepairSubcategory 150,1,1,2026-08-24T00:00:00.000
151,SRS000151,15,Orion ServiceRepairSubcategory 151,1,1,2026-08-24T00:00:00.000
152,SRS000152,3,Meridian ServiceRepairSubcategory 152,1,1,2026-08-24T00:00:00.000
153,SRS000153,19,Orion ServiceRepairSubcategory 153,1,1,2026-08-24T00:00:00.000
154,SRS000154,34,Unity ServiceRepairSubcategory 154,1,1,2026-08-24T00:00:00.000
155,SRS000155,29,Titan ServiceRepairSubcategory 155,1,1,2026-08-24T00:00:00.000
156,SRS000156,35,Atlas ServiceRepairSubcategory 156,1,1,2026-08-24T00:00:00.000
157,SRS000157,35,Forge ServiceRepairSubcategory 157,1,1,2026-08-24T00:00:00.000
158,SRS000158,4,Atlas ServiceRepairSubcategory 158,1,1,2026-08-24T00:00:00.000
159,SRS000159,29,Summit ServiceRepairSubcategory 159,1,1,2026-08-24T00:00:00.000
160,SRS000160,19,Beacon ServiceRepairSubcategory 160,1,1,2026-08-24T00:00:00.000
161,SRS000161,17,Keystone ServiceRepairSubcategory 161,1,1,2026-08-24T00:00:00.000
162,SRS000162,24,Harbor ServiceRepairSubcategory 162,1,1,2026-08-24T00:00:00.000
163,SRS000163,3,Evergreen ServiceRepairSubcategory 163,1,1,2026-08-24T00:00:00.000
164,SRS000164,28,Beacon ServiceRepairSubcategory 164,1,1,2026-08-24T00:00:00.000
165,SRS000165,15,Vertex ServiceRepairSubcategory 165,1,1,2026-08-24T00:00:00.000
166,SRS000166,17,Keystone ServiceRepairSubcategory 166,1,1,2026-08-24T00:00:00.000
167,SRS000167,20,Ion ServiceRepairSubcategory 167,1,1,2026-08-24T00:00:00.000
168,SRS000168,22,Meridian ServiceRepairSubcategory 168,1,1,2026-08-24T00:00:00.000
169,SRS000169,35,Keystone ServiceRepairSubcategory 169,1,1,2026-08-24T00:00:00.000
170,SRS000170,21,Ion ServiceRepairSubcategory 170,1,1,2026-08-24T00:00:00.000
171,SRS000171,28,Junction ServiceRepairSubcategory 171,1,1,2026-08-24T00:00:00.000
172,SRS000172,30,Summit ServiceRepairSubcategory 172,1,1,2026-08-24T00:00:00.000
173,SRS000173,10,Harbor ServiceRepairSubcategory 173,1,1,2026-08-24T00:00:00.000
174,SRS000174,27,Zenith ServiceRepairSubcategory 174,1,1,2026-08-24T00:00:00.000
175,SRS000175,15,Junction ServiceRepairSubcategory 175,1,1,2026-08-24T00:00:00.000
176,SRS000176,31,Willow ServiceRepairSubcategory 176,1,1,2026-08-24T00:00:00.000
177,SRS000177,15,Titan ServiceRepairSubcategory 177,1,1,2026-08-24T00:00:00.000
178,SRS000178,34,Vertex ServiceRepairSubcategory 178,1,1,2026-08-24T00:00:00.000
179,SRS000179,31,Orion ServiceRepairSubcategory 179,1,1,2026-08-24T00:00:00.000
180,SRS000180,21,Titan ServiceRepairSubcategory 180,1,1,2026-08-24T00:00:00.000
181,SRS000181,5,Vertex ServiceRepairSubcategory 181,1,1,2026-08-24T00:00:00.000
182,SRS000182,20,Titan ServiceRepairSubcategory 182,1,1,2026-08-24T00:00:00.000
183,SRS000183,18,Junction ServiceRepairSubcategory 183,1,1,2026-08-24T00:00:00.000
184,SRS000184,30,Orion ServiceRepairSubcategory 184,1,1,2026-08-24T00:00:00.000
185,SRS000185,9,Keystone ServiceRepairSubcategory 185,1,1,2026-08-24T00:00:00.000
186,SRS000186,27,Evergreen ServiceRepairSubcategory 186,1,1,2026-08-24T00:00:00.000
187,SRS000187,21,Keystone ServiceRepairSubcategory 187,1,1,2026-08-24T00:00:00.000
188,SRS000188,15,Meridian ServiceRepairSubcategory 188,1,1,2026-08-24T00:00:00.000
189,SRS000189,27,Vertex ServiceRepairSubcategory 189,1,1,2026-08-24T00:00:00.000
190,SRS000190,6,Granite ServiceRepairSubcategory 190,1,1,2026-08-24T00:00:00.000
191,SRS000191,29,Willow ServiceRepairSubcategory 191,1,1,2026-08-24T00:00:00.000
192,SRS000192,28,Granite ServiceRepairSubcategory 192,1,1,2026-08-24T00:00:00.000
193,SRS000193,28,Granite ServiceRepairSubcategory 193,1,1,2026-08-24T00:00:00.000
194,SRS000194,17,Riverton ServiceRepairSubcategory 194,1,1,2026-08-24T00:00:00.000
195,SRS000195,6,Meridian ServiceRepairSubcategory 195,1,1,2026-08-24T00:00:00.000
196,SRS000196,16,Evergreen ServiceRepairSubcategory 196,1,1,2026-08-24T00:00:00.000
197,SRS000197,27,Granite ServiceRepairSubcategory 197,1,1,2026-08-24T00:00:00.000
198,SRS000198,10,Delta ServiceRepairSubcategory 198,1,1,2026-08-24T00:00:00.000
199,SRS000199,6,Ion ServiceRepairSubcategory 199,1,1,2026-08-24T00:00:00.000
200,SRS000200,16,Evergreen ServiceRepairSubcategory 200,1,1,2026-08-24T00:00:00.000
201,SRS000201,21,Keystone ServiceRepairSubcategory 201,1,1,2026-08-24T00:00:00.000
202,SRS000202,24,Vertex ServiceRepairSubcategory 202,1,1,2026-08-24T00:00:00.000
203,SRS000203,25,Meridian ServiceRepairSubcategory 203,1,1,2026-08-24T00:00:00.000
204,SRS000204,8,Liberty ServiceRepairSubcategory 204,1,1,2026-08-24T00:00:00.000
205,SRS000205,10,Pioneer ServiceRepairSubcategory 205,1,1,2026-08-24T00:00:00.000
206,SRS000206,7,Zenith ServiceRepairSubcategory 206,1,1,2026-08-24T00:00:00.000
207,SRS000207,29,Evergreen ServiceRepairSubcategory 207,1,1,2026-08-24T00:00:00.000
208,SRS000208,3,Unity ServiceRepairSubcategory 208,1,1,2026-08-24T00:00:00.000
209,SRS000209,9,Titan ServiceRepairSubcategory 209,1,1,2026-08-24T00:00:00.000
210,SRS000210,24,Riverton ServiceRepairSubcategory 210,1,1,2026-08-24T00:00:00.000
211,SRS000211,7,Atlas ServiceRepairSubcategory 211,1,1,2026-08-24T00:00:00.000
212,SRS000212,28,Junction ServiceRepairSubcategory 212,1,1,2026-08-24T00:00:00.000
213,SRS000213,8,Titan ServiceRepairSubcategory 213,1,1,2026-08-24T00:00:00.000
214,SRS000214,23,Vertex ServiceRepairSubcategory 214,1,1,2026-08-24T00:00:00.000
215,SRS000215,31,Riverton ServiceRepairSubcategory 215,1,1,2026-08-24T00:00:00.000
216,SRS000216,35,Riverton ServiceRepairSubcategory 216,1,1,2026-08-24T00:00:00.000
217,SRS000217,20,Unity ServiceRepairSubcategory 217,1,1,2026-08-24T00:00:00.000
218,SRS000218,1,Riverton ServiceRepairSubcategory 218,1,1,2026-08-24T00:00:00.000
219,SRS000219,10,Unity ServiceRepairSubcategory 219,1,1,2026-08-24T00:00:00.000
220,SRS000220,34,Evergreen ServiceRepairSubcategory 220,1,1,2026-08-24T00:00:00.000
221,SRS000221,11,Harbor ServiceRepairSubcategory 221,1,1,2026-08-24T00:00:00.000
222,SRS000222,29,Willow ServiceRepairSubcategory 222,1,1,2026-08-24T00:00:00.000
223,SRS000223,7,Orion ServiceRepairSubcategory 223,1,1,2026-08-24T00:00:00.000
224,SRS000224,15,Northstar ServiceRepairSubcategory 224,1,1,2026-08-24T00:00:00.000
225,SRS000225,31,Quartz ServiceRepairSubcategory 225,1,1,2026-08-24T00:00:00.000
226,SRS000226,25,Willow ServiceRepairSubcategory 226,1,1,2026-08-24T00:00:00.000
227,SRS000227,7,Evergreen ServiceRepairSubcategory 227,1,1,2026-08-24T00:00:00.000
228,SRS000228,19,Junction ServiceRepairSubcategory 228,1,1,2026-08-24T00:00:00.000
229,SRS000229,22,Harbor ServiceRepairSubcategory 229,1,1,2026-08-24T00:00:00.000
230,SRS000230,16,Willow ServiceRepairSubcategory 230,1,1,2026-08-24T00:00:00.000
231,SRS000231,30,Junction ServiceRepairSubcategory 231,1,1,2026-08-24T00:00:00.000
232,SRS000232,6,Pioneer ServiceRepairSubcategory 232,1,1,2026-08-24T00:00:00.000
233,SRS000233,3,Riverton ServiceRepairSubcategory 233,1,1,2026-08-24T00:00:00.000
234,SRS000234,3,Delta ServiceRepairSubcategory 234,1,1,2026-08-24T00:00:00.000
235,SRS000235,14,Quartz ServiceRepairSubcategory 235,1,1,2026-08-24T00:00:00.000
236,SRS000236,7,Beacon ServiceRepairSubcategory 236,1,1,2026-08-24T00:00:00.000
237,SRS000237,34,Ion ServiceRepairSubcategory 237,1,1,2026-08-24T00:00:00.000
238,SRS000238,27,Delta ServiceRepairSubcategory 238,1,1,2026-08-24T00:00:00.000
239,SRS000239,29,Harbor ServiceRepairSubcategory 239,1,1,2026-08-24T00:00:00.000
240,SRS000240,33,Quartz ServiceRepairSubcategory 240,1,1,2026-08-24T00:00:00.000
241,SRS000241,17,Junction ServiceRepairSubcategory 241,1,1,2026-08-24T00:00:00.000
242,SRS000242,6,Vertex ServiceRepairSubcategory 242,1,1,2026-08-24T00:00:00.000
243,SRS000243,11,Junction ServiceRepairSubcategory 243,1,1,2026-08-24T00:00:00.000
244,SRS000244,27,Harbor ServiceRepairSubcategory 244,1,1,2026-08-24T00:00:00.000
245,SRS000245,3,Keystone ServiceRepairSubcategory 245,1,1,2026-08-24T00:00:00.000
246,SRS000246,1,Zenith ServiceRepairSubcategory 246,1,1,2026-08-24T00:00:00.000
247,SRS000247,5,Liberty ServiceRepairSubcategory 247,1,1,2026-08-24T00:00:00.000
248,SRS000248,5,Orion ServiceRepairSubcategory 248,1,1,2026-08-24T00:00:00.000
249,SRS000249,34,Beacon ServiceRepairSubcategory 249,1,1,2026-08-24T00:00:00.000
250,SRS000250,16,Orion ServiceRepairSubcategory 250,1,1,2026-08-24T00:00:00.000
251,SRS000251,8,Harbor ServiceRepairSubcategory 251,1,1,2026-08-24T00:00:00.000
252,SRS000252,2,Unity ServiceRepairSubcategory 252,1,1,2026-08-24T00:00:00.000
253,SRS000253,24,Summit ServiceRepairSubcategory 253,1,1,2026-08-24T00:00:00.000
254,SRS000254,2,Northstar ServiceRepairSubcategory 254,1,1,2026-08-24T00:00:00.000
255,SRS000255,28,Keystone ServiceRepairSubcategory 255,1,1,2026-08-24T00:00:00.000
256,SRS000256,11,Beacon ServiceRepairSubcategory 256,1,1,2026-08-24T00:00:00.000
257,SRS000257,8,Ion ServiceRepairSubcategory 257,1,1,2026-08-24T00:00:00.000
258,SRS000258,15,Cedar ServiceRepairSubcategory 258,1,1,2026-08-24T00:00:00.000
259,SRS000259,11,Atlas ServiceRepairSubcategory 259,1,1,2026-08-24T00:00:00.000
260,SRS000260,15,Quartz ServiceRepairSubcategory 260,1,1,2026-08-24T00:00:00.000
261,SRS000261,24,Meridian ServiceRepairSubcategory 261,1,1,2026-08-24T00:00:00.000
262,SRS000262,14,Meridian ServiceRepairSubcategory 262,1,1,2026-08-24T00:00:00.000
263,SRS000263,11,Willow ServiceRepairSubcategory 263,1,1,2026-08-24T00:00:00.000
264,SRS000264,32,Meridian ServiceRepairSubcategory 264,1,1,2026-08-24T00:00:00.000
265,SRS000265,8,Willow ServiceRepairSubcategory 265,1,1,2026-08-24T00:00:00.000
266,SRS000266,21,Granite ServiceRepairSubcategory 266,1,1,2026-08-24T00:00:00.000
267,SRS000267,19,Vertex ServiceRepairSubcategory 267,1,1,2026-08-24T00:00:00.000
268,SRS000268,7,Harbor ServiceRepairSubcategory 268,1,1,2026-08-24T00:00:00.000
269,SRS000269,1,Beacon ServiceRepairSubcategory 269,1,1,2026-08-24T00:00:00.000
270,SRS000270,23,Zenith ServiceRepairSubcategory 270,1,1,2026-08-24T00:00:00.000
271,SRS000271,2,Beacon ServiceRepairSubcategory 271,1,1,2026-08-24T00:00:00.000
272,SRS000272,5,Zenith ServiceRepairSubcategory 272,1,1,2026-08-24T00:00:00.000
273,SRS000273,20,Riverton ServiceRepairSubcategory 273,1,1,2026-08-24T00:00:00.000
274,SRS000274,14,Liberty ServiceRepairSubcategory 274,1,1,2026-08-24T00:00:00.000
275,SRS000275,24,Liberty ServiceRepairSubcategory 275,1,1,2026-08-24T00:00:00.000
276,SRS000276,24,Pioneer ServiceRepairSubcategory 276,1,1,2026-08-24T00:00:00.000
277,SRS000277,1,Summit ServiceRepairSubcategory 277,1,1,2026-08-24T00:00:00.000
278,SRS000278,18,Delta ServiceRepairSubcategory 278,1,1,2026-08-24T00:00:00.000
279,SRS000279,3,Orion ServiceRepairSubcategory 279,1,1,2026-08-24T00:00:00.000
280,SRS000280,19,Keystone ServiceRepairSubcategory 280,1,1,2026-08-24T00:00:00.000
