OeeTargetProfileKey,OeeTargetProfileCode,MachineCapacityRatingKey,ProductKey,PlantKey,OeeCalculationMethodKey,OeeTargetProfileName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
17,OTP000017,386,-1,302,5,Riverton OeeTargetProfile 17,OTP000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb5c6ba6520b5ef19d3f8824b38cae33cb5c6ba6520b5ef19d3f8824b38cae33
18,OTP000018,210,269,215,12,Harbor OeeTargetProfile 18,OTP000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0445e5e820395e55998d13d18f7714b00445e5e820395e55998d13d18f7714b0
19,OTP000019,495,206,9,4,Willow OeeTargetProfile 19,OTP000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5ddfc86c1565d85a5781c360e3a9870d5ddfc86c1565d85a5781c360e3a9870
20,OTP000020,248,123,163,11,Pioneer OeeTargetProfile 20,OTP000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2cdee92e3ea55ab3b2fcbf411f62b2102cdee92e3ea55ab3b2fcbf411f62b210
21,OTP000021,267,480,349,11,Summit OeeTargetProfile 21,OTP000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,752998abe1355579a12dcebb189116d9752998abe1355579a12dcebb189116d9
22,OTP000022,498,211,53,5,Vertex OeeTargetProfile 22,OTP000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e951c9eca56d54f68be03b0791e59b6de951c9eca56d54f68be03b0791e59b6d
23,OTP000023,8,178,318,9,Beacon OeeTargetProfile 23,OTP000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,545e63bbc584578cb1e7e88c74310ecd545e63bbc584578cb1e7e88c74310ecd
24,OTP000024,475,416,337,11,Atlas OeeTargetProfile 24,OTP000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed8cb61d93425adfa42f708406c9212ded8cb61d93425adfa42f708406c9212d
25,OTP000025,451,259,309,4,Ion OeeTargetProfile 25,OTP000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8e7b98cd89857be95efa925997b8d14c8e7b98cd89857be95efa925997b8d14
26,OTP000026,50,255,320,6,Orion OeeTargetProfile 26,OTP000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8299821b7a015deca601e6d10b14bc128299821b7a015deca601e6d10b14bc12
27,OTP000027,356,467,158,6,Harbor OeeTargetProfile 27,OTP000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a83ac8ce9ba5e4da6ec65731ccf38e16a83ac8ce9ba5e4da6ec65731ccf38e1
28,OTP000028,409,488,196,2,Zenith OeeTargetProfile 28,OTP000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14b8d96a3f5157a4bc082bb502631b0714b8d96a3f5157a4bc082bb502631b07
29,OTP000029,151,246,254,4,Evergreen OeeTargetProfile 29,OTP000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5ac7112aafb52d982a554bbe3b7dc4bf5ac7112aafb52d982a554bbe3b7dc4b
30,OTP000030,209,286,184,4,Atlas OeeTargetProfile 30,OTP000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a54a8798c7755224bc257ef9b2b1dd28a54a8798c7755224bc257ef9b2b1dd28
31,OTP000031,6,281,213,6,Unity OeeTargetProfile 31,OTP000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70fdaaf1f92a54a3b30e058b7728811770fdaaf1f92a54a3b30e058b77288117
32,OTP000032,78,412,50,8,Willow OeeTargetProfile 32,OTP000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c09de026cc25d879c7b6abbf929f5bd9c09de026cc25d879c7b6abbf929f5bd
33,OTP000033,306,487,85,3,Delta OeeTargetProfile 33,OTP000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be7e77d62a855cdbac5a6ea4ec2e5cdcbe7e77d62a855cdbac5a6ea4ec2e5cdc
34,OTP000034,283,-1,9,2,Riverton OeeTargetProfile 34,OTP000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,299d3518cbf1501db6dc5141bd328913299d3518cbf1501db6dc5141bd328913
35,OTP000035,150,48,192,11,Harbor OeeTargetProfile 35,OTP000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92463c4f6cbe5fc1985a2ee57677bbaa92463c4f6cbe5fc1985a2ee57677bbaa
36,OTP000036,258,258,40,8,Orion OeeTargetProfile 36,OTP000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28ad36a3ffae5c5dac81183d3d1ad7ad28ad36a3ffae5c5dac81183d3d1ad7ad
37,OTP000037,74,188,130,5,Delta OeeTargetProfile 37,OTP000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26c444ad5de655c1b37598b0b6b7514626c444ad5de655c1b37598b0b6b75146
38,OTP000038,109,49,270,6,Junction OeeTargetProfile 38,OTP000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e638fc0e88059cfa1047db271cf959e2e638fc0e88059cfa1047db271cf959e
39,OTP000039,4,383,231,7,Meridian OeeTargetProfile 39,OTP000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96e6bc411e685d689847ad749fdca7aa96e6bc411e685d689847ad749fdca7aa
40,OTP000040,99,272,273,6,Titan OeeTargetProfile 40,OTP000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c214474a77bb534c8abc0576cfb94facc214474a77bb534c8abc0576cfb94fac
41,OTP000041,447,199,302,7,Ion OeeTargetProfile 41,OTP000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d1f048624af5269ad110821e79c0f086d1f048624af5269ad110821e79c0f08
42,OTP000042,39,155,312,6,Meridian OeeTargetProfile 42,OTP000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0fa651d7705595ea7a48555aabcae7bc0fa651d7705595ea7a48555aabcae7b
43,OTP000043,262,147,223,2,Meridian OeeTargetProfile 43,OTP000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,376a791ada2056dfb07ad2c10b457461376a791ada2056dfb07ad2c10b457461
44,OTP000044,312,129,120,6,Evergreen OeeTargetProfile 44,OTP000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8c7ede06ef558458367d4019e97751bd8c7ede06ef558458367d4019e97751b
45,OTP000045,127,193,62,2,Atlas OeeTargetProfile 45,OTP000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0cb33b8222c5f15a988cffa79c0f04ed0cb33b8222c5f15a988cffa79c0f04e
46,OTP000046,185,106,87,11,Ion OeeTargetProfile 46,OTP000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fdd279f80bc5c978a49ea3039f1ccc53fdd279f80bc5c978a49ea3039f1ccc5
47,OTP000047,96,251,143,7,Titan OeeTargetProfile 47,OTP000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,469cf57e61cb58cda2144c1c0a0a6089469cf57e61cb58cda2144c1c0a0a6089
48,OTP000048,486,412,345,5,Cedar OeeTargetProfile 48,OTP000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,398abdcc53d45d7e858655a2e7342bb8398abdcc53d45d7e858655a2e7342bb8
49,OTP000049,126,399,129,4,Willow OeeTargetProfile 49,OTP000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54c79e00590f5c9fade1c61a55a3d90054c79e00590f5c9fade1c61a55a3d900
50,OTP000050,407,327,298,5,Beacon OeeTargetProfile 50,OTP000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05a9d1bcc8f65673947b93d5c397eb3105a9d1bcc8f65673947b93d5c397eb31
51,OTP000051,254,-1,112,2,Liberty OeeTargetProfile 51,OTP000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c4a3bbfb7345980a08dc188255e26b73c4a3bbfb7345980a08dc188255e26b7
52,OTP000052,95,493,186,6,Keystone OeeTargetProfile 52,OTP000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,11970ca868055ce8a5cb62d915acff1511970ca868055ce8a5cb62d915acff15
53,OTP000053,418,468,262,11,Evergreen OeeTargetProfile 53,OTP000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81dfe54df133552cb30894b064ef229281dfe54df133552cb30894b064ef2292
54,OTP000054,391,18,97,2,Meridian OeeTargetProfile 54,OTP000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d54dfa10a7c6522ab32b1c80183a53c0d54dfa10a7c6522ab32b1c80183a53c0
55,OTP000055,55,2,307,6,Liberty OeeTargetProfile 55,OTP000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ae336bed6915068a12a5309ecb9ec250ae336bed6915068a12a5309ecb9ec25
56,OTP000056,297,470,124,1,Forge OeeTargetProfile 56,OTP000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,096936f656ac57549b55a39fe64e9635096936f656ac57549b55a39fe64e9635
57,OTP000057,336,432,155,9,Forge OeeTargetProfile 57,OTP000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,746a5d1b54b25c7682d4496ecb7443e3746a5d1b54b25c7682d4496ecb7443e3
58,OTP000058,392,122,243,6,Meridian OeeTargetProfile 58,OTP000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,021ab563c7d9509c8f492d990af6274b021ab563c7d9509c8f492d990af6274b
59,OTP000059,406,416,182,1,Summit OeeTargetProfile 59,OTP000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f36790b9927f5172a7456b0e7c3f05a6f36790b9927f5172a7456b0e7c3f05a6
60,OTP000060,371,3,62,10,Zenith OeeTargetProfile 60,OTP000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,707954c7791d5d54939c9b02c1771a14707954c7791d5d54939c9b02c1771a14
61,OTP000061,479,420,342,3,Harbor OeeTargetProfile 61,OTP000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31d02ee19d6154c6856e2b44a2d0b7f231d02ee19d6154c6856e2b44a2d0b7f2
62,OTP000062,351,256,104,12,Orion OeeTargetProfile 62,OTP000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05e42d41a2eb56bdbef4f18128bf805805e42d41a2eb56bdbef4f18128bf8058
63,OTP000063,445,43,125,8,Junction OeeTargetProfile 63,OTP000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fac1f8b61ec65966935e8eb8a7cd7dfdfac1f8b61ec65966935e8eb8a7cd7dfd
64,OTP000064,447,309,48,4,Vertex OeeTargetProfile 64,OTP000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc3aab4e4cfc5d0982b13af167e221d8cc3aab4e4cfc5d0982b13af167e221d8
65,OTP000065,156,20,28,10,Harbor OeeTargetProfile 65,OTP000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2352e9aecf665a4dbce6eaf26abaeef42352e9aecf665a4dbce6eaf26abaeef4
66,OTP000066,379,205,125,10,Beacon OeeTargetProfile 66,OTP000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fca249617d254888d394e04a193ca9c3fca249617d254888d394e04a193ca9c
67,OTP000067,33,8,95,1,Unity OeeTargetProfile 67,OTP000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ff1aa8f5a56588c88d0309b417e45233ff1aa8f5a56588c88d0309b417e4523
68,OTP000068,236,-1,92,11,Ion OeeTargetProfile 68,OTP000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a22473f5fed65fe7a5be80dbaabb4101a22473f5fed65fe7a5be80dbaabb4101
69,OTP000069,129,190,295,8,Forge OeeTargetProfile 69,OTP000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1323f89fbd9659fbbc5f6c6a410061241323f89fbd9659fbbc5f6c6a41006124
70,OTP000070,363,163,97,3,Pioneer OeeTargetProfile 70,OTP000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9f0fd5121bf5bd6aac86d7abba3725cf9f0fd5121bf5bd6aac86d7abba3725c
71,OTP000071,31,31,194,11,Ion OeeTargetProfile 71,OTP000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e5576880af55b45a203e748818dd1595e5576880af55b45a203e748818dd159
72,OTP000072,137,175,258,2,Meridian OeeTargetProfile 72,OTP000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,571e8b01bad1520ea458c2d42646581d571e8b01bad1520ea458c2d42646581d
73,OTP000073,246,408,174,12,Evergreen OeeTargetProfile 73,OTP000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b87ac87c24fc5c47897dacfe649d081eb87ac87c24fc5c47897dacfe649d081e
74,OTP000074,256,120,237,12,Atlas OeeTargetProfile 74,OTP000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10a1a89822ca509b95b8ab99af4cbe4210a1a89822ca509b95b8ab99af4cbe42
75,OTP000075,399,489,124,7,Forge OeeTargetProfile 75,OTP000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c352df0e6ab5a8a85a66aa6c76c1ee14c352df0e6ab5a8a85a66aa6c76c1ee1
76,OTP000076,313,104,173,7,Harbor OeeTargetProfile 76,OTP000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9fa0cc29ae345ddf89fc5c09be5643da9fa0cc29ae345ddf89fc5c09be5643da
77,OTP000077,494,354,19,2,Keystone OeeTargetProfile 77,OTP000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03f2e0290ad65dd38f1da8bf887eea3403f2e0290ad65dd38f1da8bf887eea34
78,OTP000078,339,31,230,1,Quartz OeeTargetProfile 78,OTP000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0475c88d800570abb25c1cfeb3e9b6af0475c88d800570abb25c1cfeb3e9b6a
79,OTP000079,35,464,198,12,Pioneer OeeTargetProfile 79,OTP000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d0526f29c605f8e8f358754d756e2b37d0526f29c605f8e8f358754d756e2b3
80,OTP000080,54,94,205,8,Harbor OeeTargetProfile 80,OTP000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f455ad91e1159a1b0127c6a7a583fe10f455ad91e1159a1b0127c6a7a583fe1
81,OTP000081,142,362,312,8,Forge OeeTargetProfile 81,OTP000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3b6acc4e3c35c16b40cf971870e2282d3b6acc4e3c35c16b40cf971870e2282
82,OTP000082,86,270,8,9,Riverton OeeTargetProfile 82,OTP000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4664fe25c03053198c609158fa1686c24664fe25c03053198c609158fa1686c2
83,OTP000083,217,481,92,11,Vertex OeeTargetProfile 83,OTP000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e65fa8a8d02e5e6db958d789a1bc6045e65fa8a8d02e5e6db958d789a1bc6045
84,OTP000084,264,162,252,10,Evergreen OeeTargetProfile 84,OTP000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3dd413a93344558fbd9ab76af185eac73dd413a93344558fbd9ab76af185eac7
85,OTP000085,396,-1,288,8,Riverton OeeTargetProfile 85,OTP000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d48c2ad00cfe5cf5ac35afc3d033ba42d48c2ad00cfe5cf5ac35afc3d033ba42
86,OTP000086,204,386,15,7,Forge OeeTargetProfile 86,OTP000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f82921ac7465fcbba166b5884322e745f82921ac7465fcbba166b5884322e74
87,OTP000087,101,5,299,6,Forge OeeTargetProfile 87,OTP000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,beb0e66dd3445c9194bf6c488a6593d3beb0e66dd3445c9194bf6c488a6593d3
88,OTP000088,142,416,218,6,Orion OeeTargetProfile 88,OTP000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12bdb73e80b6581c9dfc1414ff3431cb12bdb73e80b6581c9dfc1414ff3431cb
89,OTP000089,252,435,89,5,Unity OeeTargetProfile 89,OTP000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8af2d4f85fb59d59a4fb123c1a26709f8af2d4f85fb59d59a4fb123c1a26709
90,OTP000090,303,338,88,12,Orion OeeTargetProfile 90,OTP000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b4836092b865e7e88bf58343e3dbf023b4836092b865e7e88bf58343e3dbf02
91,OTP000091,445,217,158,2,Titan OeeTargetProfile 91,OTP000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a38ef36d02625884884ef07749660fcaa38ef36d02625884884ef07749660fca
92,OTP000092,180,48,10,4,Delta OeeTargetProfile 92,OTP000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec3772310c935586a4f72d48e3a42a0fec3772310c935586a4f72d48e3a42a0f
93,OTP000093,279,196,1,7,Zenith OeeTargetProfile 93,OTP000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dda7ff4409f5461a78c27f1d93903650dda7ff4409f5461a78c27f1d9390365
94,OTP000094,11,33,282,2,Granite OeeTargetProfile 94,OTP000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb8b9e12c6155ec198d244e38776ad62fb8b9e12c6155ec198d244e38776ad62
95,OTP000095,19,399,81,4,Beacon OeeTargetProfile 95,OTP000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8b22b24e6cd5290a5ea157ca6b8e8a3f8b22b24e6cd5290a5ea157ca6b8e8a3
96,OTP000096,259,326,31,3,Quartz OeeTargetProfile 96,OTP000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5568de4e6f8b5ccd932fad73ff438ed25568de4e6f8b5ccd932fad73ff438ed2
97,OTP000097,105,105,200,9,Northstar OeeTargetProfile 97,OTP000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f4d243ed9195723b0abf70c835555b27f4d243ed9195723b0abf70c835555b2
