SalesFulfillmentPromiseKey,FulfillmentPromiseCode,SalesOrderLineKey,FulfillmentPlantKey,ProductKey,SalesAllocationStatusKey,PromiseSequenceNumber,PromisedShipDate,PromisedDeliveryDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
65,SFP000065,453,38,54,6,65,2020-03-06,2020-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b05a586d9666575aa4587ceec80d36cab05a586d9666575aa4587ceec80d36ca
66,SFP000066,112,66,115,4,66,2020-03-07,2020-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d159c088d83e5c05a215b77095b4feb7d159c088d83e5c05a215b77095b4feb7
67,SFP000067,272,249,120,3,67,2020-03-08,2020-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e68ac2f3315255a38ec28724a9cf89a4e68ac2f3315255a38ec28724a9cf89a4
68,SFP000068,184,95,276,9,68,2020-03-09,2020-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,650bb912da1c57c786b2cfc88e798c83650bb912da1c57c786b2cfc88e798c83
69,SFP000069,216,231,119,8,69,2020-03-10,2020-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fc2b37feb8351da90e7592fd92c07c58fc2b37feb8351da90e7592fd92c07c5
70,SFP000070,208,218,157,1,70,2020-03-11,2020-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af47b0db1ab55ece84db8800939b7ab3af47b0db1ab55ece84db8800939b7ab3
71,SFP000071,386,241,135,7,71,2020-03-12,2020-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31347164b6af5f47bd8e387a2b943f8431347164b6af5f47bd8e387a2b943f84
72,SFP000072,272,111,301,2,72,2020-03-13,2020-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a409c7383eef5fa08d8aa924eebb5482a409c7383eef5fa08d8aa924eebb5482
73,SFP000073,407,243,172,8,73,2020-03-14,2020-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d0439ac3f435ca6bbc37a04c2f910324d0439ac3f435ca6bbc37a04c2f91032
74,SFP000074,484,17,253,8,74,2020-03-15,2020-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,763212a3c950540f9aee4f0a97202265763212a3c950540f9aee4f0a97202265
75,SFP000075,182,42,149,1,75,2020-03-16,2020-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5f7cc7c63ba5434a77b40117fcb76a8c5f7cc7c63ba5434a77b40117fcb76a8
76,SFP000076,481,176,196,3,76,2020-03-17,2020-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7571aa1d684158d9affd3a3cf34f7ab77571aa1d684158d9affd3a3cf34f7ab7
77,SFP000077,214,100,437,8,77,2020-03-18,2020-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2dea50ae84558ed9750d2d418196c29f2dea50ae84558ed9750d2d418196c29
78,SFP000078,456,100,352,3,78,2020-03-19,2020-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b0898f179ba5d37be0d670e802cb4473b0898f179ba5d37be0d670e802cb447
79,SFP000079,222,341,194,1,79,2020-03-20,2020-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3b3b1b4d1eb56b5a38a64656f9e101ce3b3b1b4d1eb56b5a38a64656f9e101c
80,SFP000080,490,187,12,4,80,2020-03-21,2020-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d28cb302d50458cf8bffae7f3fc6821dd28cb302d50458cf8bffae7f3fc6821d
81,SFP000081,349,83,191,10,81,2020-03-22,2020-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd1b431627bd5bc88a2411f260ab381dfd1b431627bd5bc88a2411f260ab381d
82,SFP000082,147,349,102,9,82,2020-03-23,2020-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,599012b6d58059a089585f81793af62b599012b6d58059a089585f81793af62b
83,SFP000083,284,337,269,5,83,2020-03-24,2020-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee7f32e17c385ff7b5b75bc69953c6eaee7f32e17c385ff7b5b75bc69953c6ea
84,SFP000084,164,334,230,7,84,2020-03-25,2020-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82c8a91d9ce05ac995fb7a61d68822cf82c8a91d9ce05ac995fb7a61d68822cf
85,SFP000085,401,54,268,5,85,2020-03-26,2020-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8078297b72705318acea0156c1f7386a8078297b72705318acea0156c1f7386a
86,SFP000086,465,66,34,8,86,2020-03-27,2020-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca4b4b4082ce556b8d29df72c46d6732ca4b4b4082ce556b8d29df72c46d6732
87,SFP000087,13,200,473,7,87,2020-03-28,2020-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7c40cb1dc7753fbb6ecf3c9bac8d285a7c40cb1dc7753fbb6ecf3c9bac8d285
88,SFP000088,419,55,24,2,88,2020-03-29,2020-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5e74bfe2af359b88e7b1dae4e621233f5e74bfe2af359b88e7b1dae4e621233
89,SFP000089,474,248,37,2,89,2020-03-30,2020-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d1e4369c7765abaae9d2a455fe74d3b6d1e4369c7765abaae9d2a455fe74d3b
90,SFP000090,40,323,493,3,90,2020-03-31,2020-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f071babe76450a29a9c9f0e306acbce4f071babe76450a29a9c9f0e306acbce
91,SFP000091,291,246,211,10,91,2020-04-01,2020-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55bdd81767945ac7850298a38ee7f3e955bdd81767945ac7850298a38ee7f3e9
92,SFP000092,90,141,486,7,92,2020-04-02,2020-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e8298c71bc25a2186a87be68549340d6e8298c71bc25a2186a87be68549340d
93,SFP000093,265,222,439,6,93,2020-04-03,2020-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eab2f3840c68564e94fa5a096209647ceab2f3840c68564e94fa5a096209647c
94,SFP000094,290,72,491,9,94,2020-04-04,2020-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8537d53b79715bc1b1651d29bc8cfc968537d53b79715bc1b1651d29bc8cfc96
95,SFP000095,240,50,439,3,95,2020-04-05,2020-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5b40036a3b45019aca931bcda5e3d33a5b40036a3b45019aca931bcda5e3d33
96,SFP000096,434,152,256,4,96,2020-04-06,2020-04-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3aa600abd1c85f16a11d59b460fa73633aa600abd1c85f16a11d59b460fa7363
97,SFP000097,364,82,62,9,97,2020-04-07,2020-04-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc704c0e82ae5a94b86b039d3cdaea86fc704c0e82ae5a94b86b039d3cdaea86
98,SFP000098,81,342,423,5,98,2020-04-08,2020-04-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b61f994f25d75b0a917d3c46de217a11b61f994f25d75b0a917d3c46de217a11
99,SFP000099,88,142,235,9,99,2020-04-09,2020-04-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f35c8938da795f859018363ae7af53edf35c8938da795f859018363ae7af53ed
100,SFP000100,223,325,358,5,100,2020-04-10,2020-04-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be4d0b120e2257e3b4f2fab9585f92c1be4d0b120e2257e3b4f2fab9585f92c1
101,SFP000101,366,312,66,1,101,2020-04-11,2020-04-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7231642e9b35224a3eccd5980b9d7bbe7231642e9b35224a3eccd5980b9d7bb
102,SFP000102,83,233,484,6,102,2020-04-12,2020-04-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ab827ecd97f54fcae38778f106ae8e00ab827ecd97f54fcae38778f106ae8e0
103,SFP000103,374,15,115,3,103,2020-04-13,2020-04-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff894befeb435d29becd35a604ca39e6ff894befeb435d29becd35a604ca39e6
104,SFP000104,374,188,374,8,104,2020-04-14,2020-04-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a15836839ec5107b8970f8acc3dd9286a15836839ec5107b8970f8acc3dd928
105,SFP000105,399,306,126,8,105,2020-04-15,2020-04-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,caf54eaf48995a238a8d6b3550411f5acaf54eaf48995a238a8d6b3550411f5a
106,SFP000106,315,148,431,2,106,2020-04-16,2020-04-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a65d3c0fde0c576587eac3dca7294c61a65d3c0fde0c576587eac3dca7294c61
107,SFP000107,156,252,196,7,107,2020-04-17,2020-04-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a1862513b8a5ac6814d9505e28f0f711a1862513b8a5ac6814d9505e28f0f71
108,SFP000108,342,132,407,3,108,2020-04-18,2020-04-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15708fdbfe35550b9f06bafb46d2e2da15708fdbfe35550b9f06bafb46d2e2da
