EngineeringDocumentSubClassKey,EngineeringDocumentSubClassCode,EngineeringDocumentClassKey,EngineeringDocumentSubClassName,SourceSystemKey,BatchId,LoadedAtUtc
84,EDSC000084,44,Beacon EngineeringDocumentSubClass 84,1,1,2026-08-24T00:00:00.000
85,EDSC000085,44,Quartz EngineeringDocumentSubClass 85,1,1,2026-08-24T00:00:00.000
86,EDSC000086,26,Liberty EngineeringDocumentSubClass 86,1,1,2026-08-24T00:00:00.000
87,EDSC000087,22,Liberty EngineeringDocumentSubClass 87,1,1,2026-08-24T00:00:00.000
88,EDSC000088,2,Keystone EngineeringDocumentSubClass 88,1,1,2026-08-24T00:00:00.000
89,EDSC000089,4,Evergreen EngineeringDocumentSubClass 89,1,1,2026-08-24T00:00:00.000
90,EDSC000090,32,Cedar EngineeringDocumentSubClass 90,1,1,2026-08-24T00:00:00.000
91,EDSC000091,36,Evergreen EngineeringDocumentSubClass 91,1,1,2026-08-24T00:00:00.000
92,EDSC000092,9,Quartz EngineeringDocumentSubClass 92,1,1,2026-08-24T00:00:00.000
93,EDSC000093,16,Unity EngineeringDocumentSubClass 93,1,1,2026-08-24T00:00:00.000
94,EDSC000094,27,Liberty EngineeringDocumentSubClass 94,1,1,2026-08-24T00:00:00.000
95,EDSC000095,27,Delta EngineeringDocumentSubClass 95,1,1,2026-08-24T00:00:00.000
96,EDSC000096,42,Titan EngineeringDocumentSubClass 96,1,1,2026-08-24T00:00:00.000
97,EDSC000097,39,Atlas EngineeringDocumentSubClass 97,1,1,2026-08-24T00:00:00.000
98,EDSC000098,25,Evergreen EngineeringDocumentSubClass 98,1,1,2026-08-24T00:00:00.000
99,EDSC000099,21,Meridian EngineeringDocumentSubClass 99,1,1,2026-08-24T00:00:00.000
100,EDSC000100,36,Harbor EngineeringDocumentSubClass 100,1,1,2026-08-24T00:00:00.000
101,EDSC000101,15,Titan EngineeringDocumentSubClass 101,1,1,2026-08-24T00:00:00.000
102,EDSC000102,5,Atlas EngineeringDocumentSubClass 102,1,1,2026-08-24T00:00:00.000
103,EDSC000103,3,Zenith EngineeringDocumentSubClass 103,1,1,2026-08-24T00:00:00.000
104,EDSC000104,29,Quartz EngineeringDocumentSubClass 104,1,1,2026-08-24T00:00:00.000
105,EDSC000105,18,Unity EngineeringDocumentSubClass 105,1,1,2026-08-24T00:00:00.000
106,EDSC000106,9,Unity EngineeringDocumentSubClass 106,1,1,2026-08-24T00:00:00.000
107,EDSC000107,20,Vertex EngineeringDocumentSubClass 107,1,1,2026-08-24T00:00:00.000
108,EDSC000108,10,Northstar EngineeringDocumentSubClass 108,1,1,2026-08-24T00:00:00.000
109,EDSC000109,13,Granite EngineeringDocumentSubClass 109,1,1,2026-08-24T00:00:00.000
110,EDSC000110,9,Vertex EngineeringDocumentSubClass 110,1,1,2026-08-24T00:00:00.000
111,EDSC000111,27,Meridian EngineeringDocumentSubClass 111,1,1,2026-08-24T00:00:00.000
112,EDSC000112,5,Zenith EngineeringDocumentSubClass 112,1,1,2026-08-24T00:00:00.000
113,EDSC000113,12,Unity EngineeringDocumentSubClass 113,1,1,2026-08-24T00:00:00.000
114,EDSC000114,42,Beacon EngineeringDocumentSubClass 114,1,1,2026-08-24T00:00:00.000
115,EDSC000115,28,Willow EngineeringDocumentSubClass 115,1,1,2026-08-24T00:00:00.000
116,EDSC000116,28,Summit EngineeringDocumentSubClass 116,1,1,2026-08-24T00:00:00.000
117,EDSC000117,6,Zenith EngineeringDocumentSubClass 117,1,1,2026-08-24T00:00:00.000
118,EDSC000118,9,Riverton EngineeringDocumentSubClass 118,1,1,2026-08-24T00:00:00.000
119,EDSC000119,34,Atlas EngineeringDocumentSubClass 119,1,1,2026-08-24T00:00:00.000
120,EDSC000120,27,Pioneer EngineeringDocumentSubClass 120,1,1,2026-08-24T00:00:00.000
121,EDSC000121,23,Pioneer EngineeringDocumentSubClass 121,1,1,2026-08-24T00:00:00.000
122,EDSC000122,22,Meridian EngineeringDocumentSubClass 122,1,1,2026-08-24T00:00:00.000
123,EDSC000123,30,Cedar EngineeringDocumentSubClass 123,1,1,2026-08-24T00:00:00.000
124,EDSC000124,17,Titan EngineeringDocumentSubClass 124,1,1,2026-08-24T00:00:00.000
125,EDSC000125,2,Titan EngineeringDocumentSubClass 125,1,1,2026-08-24T00:00:00.000
126,EDSC000126,15,Titan EngineeringDocumentSubClass 126,1,1,2026-08-24T00:00:00.000
127,EDSC000127,11,Harbor EngineeringDocumentSubClass 127,1,1,2026-08-24T00:00:00.000
128,EDSC000128,12,Ion EngineeringDocumentSubClass 128,1,1,2026-08-24T00:00:00.000
129,EDSC000129,27,Junction EngineeringDocumentSubClass 129,1,1,2026-08-24T00:00:00.000
130,EDSC000130,31,Ion EngineeringDocumentSubClass 130,1,1,2026-08-24T00:00:00.000
131,EDSC000131,25,Vertex EngineeringDocumentSubClass 131,1,1,2026-08-24T00:00:00.000
132,EDSC000132,36,Atlas EngineeringDocumentSubClass 132,1,1,2026-08-24T00:00:00.000
133,EDSC000133,45,Granite EngineeringDocumentSubClass 133,1,1,2026-08-24T00:00:00.000
134,EDSC000134,38,Ion EngineeringDocumentSubClass 134,1,1,2026-08-24T00:00:00.000
135,EDSC000135,24,Cedar EngineeringDocumentSubClass 135,1,1,2026-08-24T00:00:00.000
136,EDSC000136,9,Northstar EngineeringDocumentSubClass 136,1,1,2026-08-24T00:00:00.000
137,EDSC000137,5,Zenith EngineeringDocumentSubClass 137,1,1,2026-08-24T00:00:00.000
138,EDSC000138,45,Cedar EngineeringDocumentSubClass 138,1,1,2026-08-24T00:00:00.000
139,EDSC000139,2,Riverton EngineeringDocumentSubClass 139,1,1,2026-08-24T00:00:00.000
140,EDSC000140,8,Keystone EngineeringDocumentSubClass 140,1,1,2026-08-24T00:00:00.000
141,EDSC000141,12,Northstar EngineeringDocumentSubClass 141,1,1,2026-08-24T00:00:00.000
142,EDSC000142,23,Granite EngineeringDocumentSubClass 142,1,1,2026-08-24T00:00:00.000
143,EDSC000143,21,Summit EngineeringDocumentSubClass 143,1,1,2026-08-24T00:00:00.000
144,EDSC000144,1,Pioneer EngineeringDocumentSubClass 144,1,1,2026-08-24T00:00:00.000
145,EDSC000145,37,Atlas EngineeringDocumentSubClass 145,1,1,2026-08-24T00:00:00.000
146,EDSC000146,11,Keystone EngineeringDocumentSubClass 146,1,1,2026-08-24T00:00:00.000
147,EDSC000147,4,Liberty EngineeringDocumentSubClass 147,1,1,2026-08-24T00:00:00.000
148,EDSC000148,40,Keystone EngineeringDocumentSubClass 148,1,1,2026-08-24T00:00:00.000
149,EDSC000149,36,Unity EngineeringDocumentSubClass 149,1,1,2026-08-24T00:00:00.000
150,EDSC000150,28,Cedar EngineeringDocumentSubClass 150,1,1,2026-08-24T00:00:00.000
151,EDSC000151,30,Cedar EngineeringDocumentSubClass 151,1,1,2026-08-24T00:00:00.000
152,EDSC000152,44,Beacon EngineeringDocumentSubClass 152,1,1,2026-08-24T00:00:00.000
153,EDSC000153,17,Summit EngineeringDocumentSubClass 153,1,1,2026-08-24T00:00:00.000
154,EDSC000154,39,Granite EngineeringDocumentSubClass 154,1,1,2026-08-24T00:00:00.000
155,EDSC000155,10,Meridian EngineeringDocumentSubClass 155,1,1,2026-08-24T00:00:00.000
156,EDSC000156,36,Pioneer EngineeringDocumentSubClass 156,1,1,2026-08-24T00:00:00.000
157,EDSC000157,29,Delta EngineeringDocumentSubClass 157,1,1,2026-08-24T00:00:00.000
158,EDSC000158,10,Orion EngineeringDocumentSubClass 158,1,1,2026-08-24T00:00:00.000
159,EDSC000159,25,Vertex EngineeringDocumentSubClass 159,1,1,2026-08-24T00:00:00.000
160,EDSC000160,19,Keystone EngineeringDocumentSubClass 160,1,1,2026-08-24T00:00:00.000
161,EDSC000161,22,Summit EngineeringDocumentSubClass 161,1,1,2026-08-24T00:00:00.000
162,EDSC000162,13,Ion EngineeringDocumentSubClass 162,1,1,2026-08-24T00:00:00.000
163,EDSC000163,33,Vertex EngineeringDocumentSubClass 163,1,1,2026-08-24T00:00:00.000
164,EDSC000164,32,Evergreen EngineeringDocumentSubClass 164,1,1,2026-08-24T00:00:00.000
165,EDSC000165,24,Forge EngineeringDocumentSubClass 165,1,1,2026-08-24T00:00:00.000
166,EDSC000166,42,Beacon EngineeringDocumentSubClass 166,1,1,2026-08-24T00:00:00.000
167,EDSC000167,20,Junction EngineeringDocumentSubClass 167,1,1,2026-08-24T00:00:00.000
168,EDSC000168,8,Liberty EngineeringDocumentSubClass 168,1,1,2026-08-24T00:00:00.000
169,EDSC000169,25,Quartz EngineeringDocumentSubClass 169,1,1,2026-08-24T00:00:00.000
170,EDSC000170,29,Vertex EngineeringDocumentSubClass 170,1,1,2026-08-24T00:00:00.000
171,EDSC000171,6,Pioneer EngineeringDocumentSubClass 171,1,1,2026-08-24T00:00:00.000
172,EDSC000172,25,Beacon EngineeringDocumentSubClass 172,1,1,2026-08-24T00:00:00.000
173,EDSC000173,1,Summit EngineeringDocumentSubClass 173,1,1,2026-08-24T00:00:00.000
174,EDSC000174,45,Liberty EngineeringDocumentSubClass 174,1,1,2026-08-24T00:00:00.000
175,EDSC000175,36,Northstar EngineeringDocumentSubClass 175,1,1,2026-08-24T00:00:00.000
176,EDSC000176,38,Keystone EngineeringDocumentSubClass 176,1,1,2026-08-24T00:00:00.000
177,EDSC000177,4,Delta EngineeringDocumentSubClass 177,1,1,2026-08-24T00:00:00.000
178,EDSC000178,18,Unity EngineeringDocumentSubClass 178,1,1,2026-08-24T00:00:00.000
179,EDSC000179,37,Keystone EngineeringDocumentSubClass 179,1,1,2026-08-24T00:00:00.000
180,EDSC000180,38,Junction EngineeringDocumentSubClass 180,1,1,2026-08-24T00:00:00.000
