RoutingProcessGroupKey,RoutingProcessGroupCode,RoutingProcessFamilyKey,RoutingProcessGroupName,SourceSystemKey,BatchId,LoadedAtUtc
33,RPG000033,2,Ion RoutingProcessGroup 33,1,1,2026-08-24T00:00:00.000
34,RPG000034,14,Northstar RoutingProcessGroup 34,1,1,2026-08-24T00:00:00.000
35,RPG000035,6,Harbor RoutingProcessGroup 35,1,1,2026-08-24T00:00:00.000
36,RPG000036,4,Summit RoutingProcessGroup 36,1,1,2026-08-24T00:00:00.000
37,RPG000037,11,Unity RoutingProcessGroup 37,1,1,2026-08-24T00:00:00.000
38,RPG000038,11,Cedar RoutingProcessGroup 38,1,1,2026-08-24T00:00:00.000
39,RPG000039,4,Vertex RoutingProcessGroup 39,1,1,2026-08-24T00:00:00.000
40,RPG000040,11,Unity RoutingProcessGroup 40,1,1,2026-08-24T00:00:00.000
41,RPG000041,3,Vertex RoutingProcessGroup 41,1,1,2026-08-24T00:00:00.000
42,RPG000042,1,Atlas RoutingProcessGroup 42,1,1,2026-08-24T00:00:00.000
43,RPG000043,16,Harbor RoutingProcessGroup 43,1,1,2026-08-24T00:00:00.000
44,RPG000044,11,Willow RoutingProcessGroup 44,1,1,2026-08-24T00:00:00.000
45,RPG000045,7,Riverton RoutingProcessGroup 45,1,1,2026-08-24T00:00:00.000
46,RPG000046,14,Keystone RoutingProcessGroup 46,1,1,2026-08-24T00:00:00.000
47,RPG000047,2,Orion RoutingProcessGroup 47,1,1,2026-08-24T00:00:00.000
48,RPG000048,16,Orion RoutingProcessGroup 48,1,1,2026-08-24T00:00:00.000
49,RPG000049,17,Junction RoutingProcessGroup 49,1,1,2026-08-24T00:00:00.000
50,RPG000050,6,Quartz RoutingProcessGroup 50,1,1,2026-08-24T00:00:00.000
51,RPG000051,16,Delta RoutingProcessGroup 51,1,1,2026-08-24T00:00:00.000
52,RPG000052,6,Quartz RoutingProcessGroup 52,1,1,2026-08-24T00:00:00.000
53,RPG000053,8,Evergreen RoutingProcessGroup 53,1,1,2026-08-24T00:00:00.000
54,RPG000054,14,Harbor RoutingProcessGroup 54,1,1,2026-08-24T00:00:00.000
55,RPG000055,14,Evergreen RoutingProcessGroup 55,1,1,2026-08-24T00:00:00.000
56,RPG000056,2,Meridian RoutingProcessGroup 56,1,1,2026-08-24T00:00:00.000
57,RPG000057,13,Willow RoutingProcessGroup 57,1,1,2026-08-24T00:00:00.000
58,RPG000058,8,Quartz RoutingProcessGroup 58,1,1,2026-08-24T00:00:00.000
59,RPG000059,3,Harbor RoutingProcessGroup 59,1,1,2026-08-24T00:00:00.000
60,RPG000060,15,Northstar RoutingProcessGroup 60,1,1,2026-08-24T00:00:00.000
61,RPG000061,5,Evergreen RoutingProcessGroup 61,1,1,2026-08-24T00:00:00.000
62,RPG000062,16,Summit RoutingProcessGroup 62,1,1,2026-08-24T00:00:00.000
63,RPG000063,5,Ion RoutingProcessGroup 63,1,1,2026-08-24T00:00:00.000
64,RPG000064,16,Meridian RoutingProcessGroup 64,1,1,2026-08-24T00:00:00.000
65,RPG000065,7,Ion RoutingProcessGroup 65,1,1,2026-08-24T00:00:00.000
66,RPG000066,3,Zenith RoutingProcessGroup 66,1,1,2026-08-24T00:00:00.000
67,RPG000067,11,Liberty RoutingProcessGroup 67,1,1,2026-08-24T00:00:00.000
68,RPG000068,8,Harbor RoutingProcessGroup 68,1,1,2026-08-24T00:00:00.000
69,RPG000069,6,Junction RoutingProcessGroup 69,1,1,2026-08-24T00:00:00.000
70,RPG000070,2,Northstar RoutingProcessGroup 70,1,1,2026-08-24T00:00:00.000
71,RPG000071,14,Orion RoutingProcessGroup 71,1,1,2026-08-24T00:00:00.000
72,RPG000072,12,Harbor RoutingProcessGroup 72,1,1,2026-08-24T00:00:00.000
73,RPG000073,7,Granite RoutingProcessGroup 73,1,1,2026-08-24T00:00:00.000
74,RPG000074,17,Meridian RoutingProcessGroup 74,1,1,2026-08-24T00:00:00.000
75,RPG000075,17,Junction RoutingProcessGroup 75,1,1,2026-08-24T00:00:00.000
