SupplierKey,SupplierNumber,GeoPostalCodeKey,SupplierTierKey,SupplierCategoryKey,SupplierRiskClassKey,CurrencyKey,IncotermCodeKey,PaymentTermKey,SupplierQualificationStatusKey,RecordStatusKey,SupplierName,SupplierLegalName,AccountOpenedDate,TaxRegistrationNumber,DefaultCurrencyCode,DefaultIncotermCode,DefaultPaymentTermCode,MinorityOwnedFlag,QualityCertifiedFlag,OnTimeTargetPercent,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
43,S000043,438,8,157,4,3,10,11,9,1,Keystone Supplier 43,Zenith Supplier 43,2021-02-12,S000043,EUR,S000043,S000043,1,1,0.0043,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca3f227effdb57b4bb8528e1d2ea91a0ca3f227effdb57b4bb8528e1d2ea91a0
44,S000044,56,8,183,1,1,4,3,10,2,Cedar Supplier 44,Meridian Supplier 44,2021-02-13,S000044,GBP,S000044,S000044,1,1,0.0044,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b66cfe6c0135166aebcf48ff2669c517b66cfe6c0135166aebcf48ff2669c51
45,S000045,457,10,271,10,5,13,15,8,4,Atlas Supplier 45,Pioneer Supplier 45,2021-02-14,S000045,CAD,S000045,S000045,0,0,0.0045,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d71aaaa7f6385aa6828d558f9c9029ced71aaaa7f6385aa6828d558f9c9029ce
46,S000046,98,17,35,4,2,6,17,4,1,Forge Supplier 46,Harbor Supplier 46,2021-02-15,S000046,MXN,S000046,S000046,1,1,0.0046,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e8682d219e555a4a49ea750aa4897703e8682d219e555a4a49ea750aa489770
47,S000047,79,3,228,12,1,4,16,2,2,Orion Supplier 47,Titan Supplier 47,2021-02-16,S000047,JPY,S000047,S000047,1,1,0.0047,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4aafbf4c18fb5d54b2342be307c208f84aafbf4c18fb5d54b2342be307c208f8
48,S000048,96,8,265,7,4,11,17,10,4,Pioneer Supplier 48,Keystone Supplier 48,2021-02-17,S000048,USD,S000048,S000048,1,1,0.0048,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6b32f4152885a2b9df22e8e33829c4ce6b32f4152885a2b9df22e8e33829c4c
49,S000049,339,9,297,3,1,9,7,1,2,Harbor Supplier 49,Zenith Supplier 49,2021-02-18,S000049,EUR,S000049,S000049,1,1,0.0049,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7e1606f58a65d05822044ece98b5a6da7e1606f58a65d05822044ece98b5a6d
50,S000050,21,10,141,9,2,6,18,8,2,Titan Supplier 50,Evergreen Supplier 50,2021-02-19,S000050,GBP,S000050,S000050,0,0,0.0050,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ea04609302e59dcbc187994d3f694cc8ea04609302e59dcbc187994d3f694cc
51,S000051,464,19,116,8,4,7,16,1,1,Pioneer Supplier 51,Zenith Supplier 51,2021-02-20,S000051,CAD,S000051,S000051,1,1,0.0051,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae0f595afb065aac861bdece6f9617e1ae0f595afb065aac861bdece6f9617e1
52,S000052,33,20,288,2,4,9,14,1,4,Vertex Supplier 52,Forge Supplier 52,2021-02-21,S000052,MXN,S000052,S000052,1,1,0.0052,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c709ad40f82c5aeda46d7f190cd80bbfc709ad40f82c5aeda46d7f190cd80bbf
53,S000053,497,7,165,7,3,14,1,1,3,Forge Supplier 53,Liberty Supplier 53,2021-02-22,S000053,JPY,S000053,S000053,1,1,0.0053,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc6356fc072a5043bc302725450773a1dc6356fc072a5043bc302725450773a1
54,S000054,450,7,267,2,5,16,16,5,4,Zenith Supplier 54,Titan Supplier 54,2021-02-23,S000054,USD,S000054,S000054,1,1,0.0054,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,625ee55932f450ff877cbe5d9d40d811625ee55932f450ff877cbe5d9d40d811
55,S000055,213,8,7,10,1,3,14,3,2,Liberty Supplier 55,Unity Supplier 55,2021-02-24,S000055,EUR,S000055,S000055,0,0,0.0055,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c43ff1a78f9851d88fed7efd6b4dfa83c43ff1a78f9851d88fed7efd6b4dfa83
56,S000056,493,8,172,11,1,5,6,8,3,Vertex Supplier 56,Summit Supplier 56,2021-02-25,S000056,GBP,S000056,S000056,1,1,0.0056,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a95110d391d56568439bdb69584d8aa8a95110d391d56568439bdb69584d8aa
57,S000057,56,11,201,10,2,16,6,10,2,Summit Supplier 57,Riverton Supplier 57,2021-02-26,S000057,CAD,S000057,S000057,1,1,0.0057,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70e31193bd0b5201a29d786d8e9aae4670e31193bd0b5201a29d786d8e9aae46
58,S000058,469,13,53,2,5,7,15,2,3,Vertex Supplier 58,Ion Supplier 58,2021-02-27,S000058,MXN,S000058,S000058,1,1,0.0058,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d5836fda61652e7976157d0069202de3d5836fda61652e7976157d0069202de
59,S000059,341,20,248,1,3,2,12,7,3,Evergreen Supplier 59,Junction Supplier 59,2021-02-28,S000059,JPY,S000059,S000059,1,1,0.0059,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df132e3bdbf1579dbb37db3016be0c6bdf132e3bdbf1579dbb37db3016be0c6b
60,S000060,413,5,156,5,2,14,5,5,1,Zenith Supplier 60,Harbor Supplier 60,2021-03-01,S000060,USD,S000060,S000060,0,0,0.0060,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e88e93094ca1565bbe8e1a920ec7cf47e88e93094ca1565bbe8e1a920ec7cf47
61,S000061,291,15,121,5,3,12,8,8,2,Vertex Supplier 61,Unity Supplier 61,2021-03-02,S000061,EUR,S000061,S000061,1,1,0.0061,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,689716db019750318fa3608f31d31201689716db019750318fa3608f31d31201
62,S000062,14,13,147,12,1,5,18,6,2,Cedar Supplier 62,Quartz Supplier 62,2021-03-03,S000062,GBP,S000062,S000062,1,1,0.0062,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b60809b7802950bc9eac2bdc73ed71cbb60809b7802950bc9eac2bdc73ed71cb
63,S000063,490,5,133,6,4,5,1,5,3,Willow Supplier 63,Quartz Supplier 63,2021-03-04,S000063,CAD,S000063,S000063,1,1,0.0063,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a543ec6fa992540c81cc90e1eb251da2a543ec6fa992540c81cc90e1eb251da2
64,S000064,488,13,183,8,4,5,7,9,3,Vertex Supplier 64,Vertex Supplier 64,2021-03-05,S000064,MXN,S000064,S000064,1,1,0.0064,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ba1717c7df35e7081c8c578ee2250ea9ba1717c7df35e7081c8c578ee2250ea
65,S000065,456,11,222,8,2,3,1,6,4,Summit Supplier 65,Riverton Supplier 65,2021-03-06,S000065,JPY,S000065,S000065,0,0,0.0065,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64cc055294d35f048458ab1613e5962664cc055294d35f048458ab1613e59626
66,S000066,295,7,70,6,2,7,6,5,2,Meridian Supplier 66,Titan Supplier 66,2021-03-07,S000066,USD,S000066,S000066,1,1,0.0066,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f90ed31fb8750f68e2732bf7a0254522f90ed31fb8750f68e2732bf7a025452
67,S000067,364,6,176,4,5,12,17,7,3,Pioneer Supplier 67,Vertex Supplier 67,2021-03-08,S000067,EUR,S000067,S000067,1,1,0.0067,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0541cc8599853f5a1a60539f84bb05da0541cc8599853f5a1a60539f84bb05d
68,S000068,441,13,190,12,5,15,10,8,2,Granite Supplier 68,Riverton Supplier 68,2021-03-09,S000068,GBP,S000068,S000068,1,1,0.0068,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36820619b8e7540aa4bead811069d71d36820619b8e7540aa4bead811069d71d
69,S000069,91,15,92,1,2,2,8,5,1,Atlas Supplier 69,Meridian Supplier 69,2021-03-10,S000069,CAD,S000069,S000069,1,1,0.0069,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b681ee337dc59f880f1924018f1b3787b681ee337dc59f880f1924018f1b378
70,S000070,383,8,278,4,3,3,7,7,4,Liberty Supplier 70,Vertex Supplier 70,2021-03-11,S000070,MXN,S000070,S000070,0,0,0.0070,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9be43af01fb35ef7a678f26bb686c1209be43af01fb35ef7a678f26bb686c120
71,S000071,434,9,78,7,4,12,4,2,3,Liberty Supplier 71,Junction Supplier 71,2021-03-12,S000071,JPY,S000071,S000071,1,1,0.0071,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,964a8c06d738595c8802d72aa2e4f3d5964a8c06d738595c8802d72aa2e4f3d5
72,S000072,208,10,126,9,5,13,15,5,4,Zenith Supplier 72,Forge Supplier 72,2021-03-13,S000072,USD,S000072,S000072,1,1,0.0072,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fec893175b75b69ac6cac5509a85ac71fec893175b75b69ac6cac5509a85ac7
73,S000073,326,11,109,8,1,14,13,1,1,Harbor Supplier 73,Northstar Supplier 73,2021-03-14,S000073,EUR,S000073,S000073,1,1,0.0073,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e3a71a6b9de5c42a485efb3997c70472e3a71a6b9de5c42a485efb3997c7047
74,S000074,304,12,219,8,2,8,15,8,2,Unity Supplier 74,Liberty Supplier 74,2021-03-15,S000074,GBP,S000074,S000074,1,1,0.0074,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c5170653771953b9bbb2645f7a58f50ac5170653771953b9bbb2645f7a58f50a
75,S000075,113,17,126,8,5,9,2,3,1,Granite Supplier 75,Meridian Supplier 75,2021-03-16,S000075,CAD,S000075,S000075,0,0,0.0075,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,770ffb92fd7e5c878b733edfa6def5f3770ffb92fd7e5c878b733edfa6def5f3
76,S000076,126,2,283,12,3,2,9,7,1,Pioneer Supplier 76,Meridian Supplier 76,2021-03-17,S000076,MXN,S000076,S000076,1,1,0.0076,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8aaddd317117539198e2c759274a47888aaddd317117539198e2c759274a4788
77,S000077,143,14,189,5,3,15,2,1,4,Junction Supplier 77,Orion Supplier 77,2021-03-18,S000077,JPY,S000077,S000077,1,1,0.0077,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c61377245da59458576ade95de3bd8c5c61377245da59458576ade95de3bd8c
78,S000078,57,7,190,1,3,13,7,1,3,Zenith Supplier 78,Junction Supplier 78,2021-03-19,S000078,USD,S000078,S000078,1,1,0.0078,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bab1cae43845bae9000288b0956b4ec6bab1cae43845bae9000288b0956b4ec
