ProductionLotDispositionGroupKey,ProductionLotDispositionGroupCode,ProductionLotGradeKey,ProductionLotDispositionGroupName,SourceSystemKey,BatchId,LoadedAtUtc
20,PLDG000020,191,Quartz ProductionLotDispositionGroup 20,1,1,2026-08-24T00:00:00.000
21,PLDG000021,252,Ion ProductionLotDispositionGroup 21,1,1,2026-08-24T00:00:00.000
22,PLDG000022,231,Unity ProductionLotDispositionGroup 22,1,1,2026-08-24T00:00:00.000
23,PLDG000023,351,Harbor ProductionLotDispositionGroup 23,1,1,2026-08-24T00:00:00.000
24,PLDG000024,250,Unity ProductionLotDispositionGroup 24,1,1,2026-08-24T00:00:00.000
25,PLDG000025,162,Willow ProductionLotDispositionGroup 25,1,1,2026-08-24T00:00:00.000
26,PLDG000026,174,Junction ProductionLotDispositionGroup 26,1,1,2026-08-24T00:00:00.000
27,PLDG000027,71,Summit ProductionLotDispositionGroup 27,1,1,2026-08-24T00:00:00.000
28,PLDG000028,72,Junction ProductionLotDispositionGroup 28,1,1,2026-08-24T00:00:00.000
29,PLDG000029,46,Pioneer ProductionLotDispositionGroup 29,1,1,2026-08-24T00:00:00.000
30,PLDG000030,233,Orion ProductionLotDispositionGroup 30,1,1,2026-08-24T00:00:00.000
31,PLDG000031,308,Orion ProductionLotDispositionGroup 31,1,1,2026-08-24T00:00:00.000
32,PLDG000032,183,Evergreen ProductionLotDispositionGroup 32,1,1,2026-08-24T00:00:00.000
33,PLDG000033,2,Quartz ProductionLotDispositionGroup 33,1,1,2026-08-24T00:00:00.000
34,PLDG000034,8,Unity ProductionLotDispositionGroup 34,1,1,2026-08-24T00:00:00.000
35,PLDG000035,89,Willow ProductionLotDispositionGroup 35,1,1,2026-08-24T00:00:00.000
36,PLDG000036,156,Summit ProductionLotDispositionGroup 36,1,1,2026-08-24T00:00:00.000
37,PLDG000037,333,Delta ProductionLotDispositionGroup 37,1,1,2026-08-24T00:00:00.000
38,PLDG000038,187,Willow ProductionLotDispositionGroup 38,1,1,2026-08-24T00:00:00.000
39,PLDG000039,133,Cedar ProductionLotDispositionGroup 39,1,1,2026-08-24T00:00:00.000
40,PLDG000040,186,Delta ProductionLotDispositionGroup 40,1,1,2026-08-24T00:00:00.000
41,PLDG000041,111,Ion ProductionLotDispositionGroup 41,1,1,2026-08-24T00:00:00.000
42,PLDG000042,153,Ion ProductionLotDispositionGroup 42,1,1,2026-08-24T00:00:00.000
43,PLDG000043,143,Meridian ProductionLotDispositionGroup 43,1,1,2026-08-24T00:00:00.000
44,PLDG000044,43,Granite ProductionLotDispositionGroup 44,1,1,2026-08-24T00:00:00.000
45,PLDG000045,51,Willow ProductionLotDispositionGroup 45,1,1,2026-08-24T00:00:00.000
46,PLDG000046,234,Summit ProductionLotDispositionGroup 46,1,1,2026-08-24T00:00:00.000
47,PLDG000047,144,Harbor ProductionLotDispositionGroup 47,1,1,2026-08-24T00:00:00.000
48,PLDG000048,138,Evergreen ProductionLotDispositionGroup 48,1,1,2026-08-24T00:00:00.000
49,PLDG000049,62,Vertex ProductionLotDispositionGroup 49,1,1,2026-08-24T00:00:00.000
50,PLDG000050,214,Evergreen ProductionLotDispositionGroup 50,1,1,2026-08-24T00:00:00.000
51,PLDG000051,77,Meridian ProductionLotDispositionGroup 51,1,1,2026-08-24T00:00:00.000
52,PLDG000052,47,Keystone ProductionLotDispositionGroup 52,1,1,2026-08-24T00:00:00.000
53,PLDG000053,263,Keystone ProductionLotDispositionGroup 53,1,1,2026-08-24T00:00:00.000
54,PLDG000054,136,Unity ProductionLotDispositionGroup 54,1,1,2026-08-24T00:00:00.000
55,PLDG000055,291,Summit ProductionLotDispositionGroup 55,1,1,2026-08-24T00:00:00.000
56,PLDG000056,218,Forge ProductionLotDispositionGroup 56,1,1,2026-08-24T00:00:00.000
57,PLDG000057,100,Vertex ProductionLotDispositionGroup 57,1,1,2026-08-24T00:00:00.000
58,PLDG000058,342,Riverton ProductionLotDispositionGroup 58,1,1,2026-08-24T00:00:00.000
59,PLDG000059,174,Riverton ProductionLotDispositionGroup 59,1,1,2026-08-24T00:00:00.000
60,PLDG000060,123,Liberty ProductionLotDispositionGroup 60,1,1,2026-08-24T00:00:00.000
61,PLDG000061,202,Evergreen ProductionLotDispositionGroup 61,1,1,2026-08-24T00:00:00.000
62,PLDG000062,276,Pioneer ProductionLotDispositionGroup 62,1,1,2026-08-24T00:00:00.000
63,PLDG000063,220,Ion ProductionLotDispositionGroup 63,1,1,2026-08-24T00:00:00.000
64,PLDG000064,265,Ion ProductionLotDispositionGroup 64,1,1,2026-08-24T00:00:00.000
65,PLDG000065,166,Unity ProductionLotDispositionGroup 65,1,1,2026-08-24T00:00:00.000
66,PLDG000066,92,Granite ProductionLotDispositionGroup 66,1,1,2026-08-24T00:00:00.000
67,PLDG000067,4,Riverton ProductionLotDispositionGroup 67,1,1,2026-08-24T00:00:00.000
68,PLDG000068,253,Summit ProductionLotDispositionGroup 68,1,1,2026-08-24T00:00:00.000
69,PLDG000069,239,Keystone ProductionLotDispositionGroup 69,1,1,2026-08-24T00:00:00.000
70,PLDG000070,185,Granite ProductionLotDispositionGroup 70,1,1,2026-08-24T00:00:00.000
71,PLDG000071,16,Orion ProductionLotDispositionGroup 71,1,1,2026-08-24T00:00:00.000
72,PLDG000072,214,Zenith ProductionLotDispositionGroup 72,1,1,2026-08-24T00:00:00.000
73,PLDG000073,356,Beacon ProductionLotDispositionGroup 73,1,1,2026-08-24T00:00:00.000
74,PLDG000074,261,Riverton ProductionLotDispositionGroup 74,1,1,2026-08-24T00:00:00.000
75,PLDG000075,345,Forge ProductionLotDispositionGroup 75,1,1,2026-08-24T00:00:00.000
76,PLDG000076,134,Delta ProductionLotDispositionGroup 76,1,1,2026-08-24T00:00:00.000
77,PLDG000077,231,Granite ProductionLotDispositionGroup 77,1,1,2026-08-24T00:00:00.000
78,PLDG000078,96,Forge ProductionLotDispositionGroup 78,1,1,2026-08-24T00:00:00.000
79,PLDG000079,357,Ion ProductionLotDispositionGroup 79,1,1,2026-08-24T00:00:00.000
80,PLDG000080,168,Willow ProductionLotDispositionGroup 80,1,1,2026-08-24T00:00:00.000
81,PLDG000081,299,Unity ProductionLotDispositionGroup 81,1,1,2026-08-24T00:00:00.000
82,PLDG000082,121,Granite ProductionLotDispositionGroup 82,1,1,2026-08-24T00:00:00.000
83,PLDG000083,200,Liberty ProductionLotDispositionGroup 83,1,1,2026-08-24T00:00:00.000
84,PLDG000084,37,Titan ProductionLotDispositionGroup 84,1,1,2026-08-24T00:00:00.000
85,PLDG000085,17,Northstar ProductionLotDispositionGroup 85,1,1,2026-08-24T00:00:00.000
86,PLDG000086,349,Evergreen ProductionLotDispositionGroup 86,1,1,2026-08-24T00:00:00.000
87,PLDG000087,218,Atlas ProductionLotDispositionGroup 87,1,1,2026-08-24T00:00:00.000
88,PLDG000088,358,Willow ProductionLotDispositionGroup 88,1,1,2026-08-24T00:00:00.000
89,PLDG000089,74,Quartz ProductionLotDispositionGroup 89,1,1,2026-08-24T00:00:00.000
90,PLDG000090,246,Northstar ProductionLotDispositionGroup 90,1,1,2026-08-24T00:00:00.000
91,PLDG000091,143,Beacon ProductionLotDispositionGroup 91,1,1,2026-08-24T00:00:00.000
92,PLDG000092,334,Granite ProductionLotDispositionGroup 92,1,1,2026-08-24T00:00:00.000
93,PLDG000093,215,Atlas ProductionLotDispositionGroup 93,1,1,2026-08-24T00:00:00.000
94,PLDG000094,80,Quartz ProductionLotDispositionGroup 94,1,1,2026-08-24T00:00:00.000
95,PLDG000095,71,Delta ProductionLotDispositionGroup 95,1,1,2026-08-24T00:00:00.000
96,PLDG000096,72,Quartz ProductionLotDispositionGroup 96,1,1,2026-08-24T00:00:00.000
97,PLDG000097,321,Liberty ProductionLotDispositionGroup 97,1,1,2026-08-24T00:00:00.000
98,PLDG000098,158,Ion ProductionLotDispositionGroup 98,1,1,2026-08-24T00:00:00.000
99,PLDG000099,174,Titan ProductionLotDispositionGroup 99,1,1,2026-08-24T00:00:00.000
100,PLDG000100,293,Willow ProductionLotDispositionGroup 100,1,1,2026-08-24T00:00:00.000
101,PLDG000101,162,Titan ProductionLotDispositionGroup 101,1,1,2026-08-24T00:00:00.000
102,PLDG000102,135,Meridian ProductionLotDispositionGroup 102,1,1,2026-08-24T00:00:00.000
103,PLDG000103,5,Orion ProductionLotDispositionGroup 103,1,1,2026-08-24T00:00:00.000
104,PLDG000104,83,Granite ProductionLotDispositionGroup 104,1,1,2026-08-24T00:00:00.000
105,PLDG000105,227,Quartz ProductionLotDispositionGroup 105,1,1,2026-08-24T00:00:00.000
106,PLDG000106,238,Liberty ProductionLotDispositionGroup 106,1,1,2026-08-24T00:00:00.000
107,PLDG000107,51,Beacon ProductionLotDispositionGroup 107,1,1,2026-08-24T00:00:00.000
108,PLDG000108,65,Summit ProductionLotDispositionGroup 108,1,1,2026-08-24T00:00:00.000
109,PLDG000109,113,Evergreen ProductionLotDispositionGroup 109,1,1,2026-08-24T00:00:00.000
110,PLDG000110,279,Unity ProductionLotDispositionGroup 110,1,1,2026-08-24T00:00:00.000
111,PLDG000111,326,Vertex ProductionLotDispositionGroup 111,1,1,2026-08-24T00:00:00.000
112,PLDG000112,254,Ion ProductionLotDispositionGroup 112,1,1,2026-08-24T00:00:00.000
113,PLDG000113,264,Granite ProductionLotDispositionGroup 113,1,1,2026-08-24T00:00:00.000
114,PLDG000114,10,Willow ProductionLotDispositionGroup 114,1,1,2026-08-24T00:00:00.000
115,PLDG000115,71,Liberty ProductionLotDispositionGroup 115,1,1,2026-08-24T00:00:00.000
116,PLDG000116,351,Cedar ProductionLotDispositionGroup 116,1,1,2026-08-24T00:00:00.000
117,PLDG000117,314,Northstar ProductionLotDispositionGroup 117,1,1,2026-08-24T00:00:00.000
118,PLDG000118,11,Granite ProductionLotDispositionGroup 118,1,1,2026-08-24T00:00:00.000
119,PLDG000119,324,Titan ProductionLotDispositionGroup 119,1,1,2026-08-24T00:00:00.000
120,PLDG000120,259,Vertex ProductionLotDispositionGroup 120,1,1,2026-08-24T00:00:00.000
121,PLDG000121,160,Pioneer ProductionLotDispositionGroup 121,1,1,2026-08-24T00:00:00.000
122,PLDG000122,255,Summit ProductionLotDispositionGroup 122,1,1,2026-08-24T00:00:00.000
123,PLDG000123,167,Pioneer ProductionLotDispositionGroup 123,1,1,2026-08-24T00:00:00.000
124,PLDG000124,193,Pioneer ProductionLotDispositionGroup 124,1,1,2026-08-24T00:00:00.000
125,PLDG000125,330,Beacon ProductionLotDispositionGroup 125,1,1,2026-08-24T00:00:00.000
126,PLDG000126,214,Harbor ProductionLotDispositionGroup 126,1,1,2026-08-24T00:00:00.000
127,PLDG000127,309,Harbor ProductionLotDispositionGroup 127,1,1,2026-08-24T00:00:00.000
128,PLDG000128,216,Unity ProductionLotDispositionGroup 128,1,1,2026-08-24T00:00:00.000
129,PLDG000129,109,Riverton ProductionLotDispositionGroup 129,1,1,2026-08-24T00:00:00.000
130,PLDG000130,74,Beacon ProductionLotDispositionGroup 130,1,1,2026-08-24T00:00:00.000
131,PLDG000131,70,Harbor ProductionLotDispositionGroup 131,1,1,2026-08-24T00:00:00.000
132,PLDG000132,278,Evergreen ProductionLotDispositionGroup 132,1,1,2026-08-24T00:00:00.000
133,PLDG000133,81,Titan ProductionLotDispositionGroup 133,1,1,2026-08-24T00:00:00.000
134,PLDG000134,338,Atlas ProductionLotDispositionGroup 134,1,1,2026-08-24T00:00:00.000
135,PLDG000135,47,Liberty ProductionLotDispositionGroup 135,1,1,2026-08-24T00:00:00.000
136,PLDG000136,200,Summit ProductionLotDispositionGroup 136,1,1,2026-08-24T00:00:00.000
137,PLDG000137,306,Zenith ProductionLotDispositionGroup 137,1,1,2026-08-24T00:00:00.000
138,PLDG000138,323,Unity ProductionLotDispositionGroup 138,1,1,2026-08-24T00:00:00.000
139,PLDG000139,289,Titan ProductionLotDispositionGroup 139,1,1,2026-08-24T00:00:00.000
140,PLDG000140,220,Zenith ProductionLotDispositionGroup 140,1,1,2026-08-24T00:00:00.000
141,PLDG000141,124,Harbor ProductionLotDispositionGroup 141,1,1,2026-08-24T00:00:00.000
142,PLDG000142,320,Unity ProductionLotDispositionGroup 142,1,1,2026-08-24T00:00:00.000
143,PLDG000143,333,Ion ProductionLotDispositionGroup 143,1,1,2026-08-24T00:00:00.000
144,PLDG000144,348,Northstar ProductionLotDispositionGroup 144,1,1,2026-08-24T00:00:00.000
145,PLDG000145,3,Forge ProductionLotDispositionGroup 145,1,1,2026-08-24T00:00:00.000
146,PLDG000146,121,Granite ProductionLotDispositionGroup 146,1,1,2026-08-24T00:00:00.000
147,PLDG000147,132,Unity ProductionLotDispositionGroup 147,1,1,2026-08-24T00:00:00.000
148,PLDG000148,268,Vertex ProductionLotDispositionGroup 148,1,1,2026-08-24T00:00:00.000
149,PLDG000149,91,Unity ProductionLotDispositionGroup 149,1,1,2026-08-24T00:00:00.000
150,PLDG000150,21,Junction ProductionLotDispositionGroup 150,1,1,2026-08-24T00:00:00.000
151,PLDG000151,303,Unity ProductionLotDispositionGroup 151,1,1,2026-08-24T00:00:00.000
152,PLDG000152,344,Pioneer ProductionLotDispositionGroup 152,1,1,2026-08-24T00:00:00.000
153,PLDG000153,170,Quartz ProductionLotDispositionGroup 153,1,1,2026-08-24T00:00:00.000
154,PLDG000154,78,Forge ProductionLotDispositionGroup 154,1,1,2026-08-24T00:00:00.000
155,PLDG000155,41,Summit ProductionLotDispositionGroup 155,1,1,2026-08-24T00:00:00.000
156,PLDG000156,52,Cedar ProductionLotDispositionGroup 156,1,1,2026-08-24T00:00:00.000
157,PLDG000157,171,Vertex ProductionLotDispositionGroup 157,1,1,2026-08-24T00:00:00.000
158,PLDG000158,5,Beacon ProductionLotDispositionGroup 158,1,1,2026-08-24T00:00:00.000
159,PLDG000159,15,Riverton ProductionLotDispositionGroup 159,1,1,2026-08-24T00:00:00.000
160,PLDG000160,82,Cedar ProductionLotDispositionGroup 160,1,1,2026-08-24T00:00:00.000
161,PLDG000161,147,Unity ProductionLotDispositionGroup 161,1,1,2026-08-24T00:00:00.000
162,PLDG000162,228,Cedar ProductionLotDispositionGroup 162,1,1,2026-08-24T00:00:00.000
163,PLDG000163,149,Meridian ProductionLotDispositionGroup 163,1,1,2026-08-24T00:00:00.000
164,PLDG000164,274,Liberty ProductionLotDispositionGroup 164,1,1,2026-08-24T00:00:00.000
165,PLDG000165,1,Junction ProductionLotDispositionGroup 165,1,1,2026-08-24T00:00:00.000
166,PLDG000166,236,Evergreen ProductionLotDispositionGroup 166,1,1,2026-08-24T00:00:00.000
167,PLDG000167,256,Vertex ProductionLotDispositionGroup 167,1,1,2026-08-24T00:00:00.000
168,PLDG000168,119,Harbor ProductionLotDispositionGroup 168,1,1,2026-08-24T00:00:00.000
169,PLDG000169,318,Ion ProductionLotDispositionGroup 169,1,1,2026-08-24T00:00:00.000
170,PLDG000170,35,Willow ProductionLotDispositionGroup 170,1,1,2026-08-24T00:00:00.000
171,PLDG000171,277,Delta ProductionLotDispositionGroup 171,1,1,2026-08-24T00:00:00.000
172,PLDG000172,214,Orion ProductionLotDispositionGroup 172,1,1,2026-08-24T00:00:00.000
173,PLDG000173,69,Pioneer ProductionLotDispositionGroup 173,1,1,2026-08-24T00:00:00.000
174,PLDG000174,143,Junction ProductionLotDispositionGroup 174,1,1,2026-08-24T00:00:00.000
175,PLDG000175,259,Meridian ProductionLotDispositionGroup 175,1,1,2026-08-24T00:00:00.000
176,PLDG000176,282,Forge ProductionLotDispositionGroup 176,1,1,2026-08-24T00:00:00.000
177,PLDG000177,289,Unity ProductionLotDispositionGroup 177,1,1,2026-08-24T00:00:00.000
178,PLDG000178,307,Riverton ProductionLotDispositionGroup 178,1,1,2026-08-24T00:00:00.000
179,PLDG000179,117,Ion ProductionLotDispositionGroup 179,1,1,2026-08-24T00:00:00.000
180,PLDG000180,90,Granite ProductionLotDispositionGroup 180,1,1,2026-08-24T00:00:00.000
181,PLDG000181,246,Liberty ProductionLotDispositionGroup 181,1,1,2026-08-24T00:00:00.000
182,PLDG000182,77,Vertex ProductionLotDispositionGroup 182,1,1,2026-08-24T00:00:00.000
183,PLDG000183,292,Summit ProductionLotDispositionGroup 183,1,1,2026-08-24T00:00:00.000
184,PLDG000184,92,Harbor ProductionLotDispositionGroup 184,1,1,2026-08-24T00:00:00.000
185,PLDG000185,320,Pioneer ProductionLotDispositionGroup 185,1,1,2026-08-24T00:00:00.000
186,PLDG000186,175,Liberty ProductionLotDispositionGroup 186,1,1,2026-08-24T00:00:00.000
187,PLDG000187,48,Liberty ProductionLotDispositionGroup 187,1,1,2026-08-24T00:00:00.000
188,PLDG000188,101,Riverton ProductionLotDispositionGroup 188,1,1,2026-08-24T00:00:00.000
189,PLDG000189,112,Orion ProductionLotDispositionGroup 189,1,1,2026-08-24T00:00:00.000
190,PLDG000190,298,Beacon ProductionLotDispositionGroup 190,1,1,2026-08-24T00:00:00.000
191,PLDG000191,318,Riverton ProductionLotDispositionGroup 191,1,1,2026-08-24T00:00:00.000
192,PLDG000192,38,Granite ProductionLotDispositionGroup 192,1,1,2026-08-24T00:00:00.000
193,PLDG000193,145,Summit ProductionLotDispositionGroup 193,1,1,2026-08-24T00:00:00.000
194,PLDG000194,338,Zenith ProductionLotDispositionGroup 194,1,1,2026-08-24T00:00:00.000
195,PLDG000195,93,Summit ProductionLotDispositionGroup 195,1,1,2026-08-24T00:00:00.000
196,PLDG000196,124,Northstar ProductionLotDispositionGroup 196,1,1,2026-08-24T00:00:00.000
197,PLDG000197,239,Summit ProductionLotDispositionGroup 197,1,1,2026-08-24T00:00:00.000
198,PLDG000198,40,Evergreen ProductionLotDispositionGroup 198,1,1,2026-08-24T00:00:00.000
199,PLDG000199,53,Liberty ProductionLotDispositionGroup 199,1,1,2026-08-24T00:00:00.000
200,PLDG000200,200,Willow ProductionLotDispositionGroup 200,1,1,2026-08-24T00:00:00.000
201,PLDG000201,325,Unity ProductionLotDispositionGroup 201,1,1,2026-08-24T00:00:00.000
202,PLDG000202,61,Pioneer ProductionLotDispositionGroup 202,1,1,2026-08-24T00:00:00.000
203,PLDG000203,354,Beacon ProductionLotDispositionGroup 203,1,1,2026-08-24T00:00:00.000
204,PLDG000204,204,Summit ProductionLotDispositionGroup 204,1,1,2026-08-24T00:00:00.000
205,PLDG000205,2,Meridian ProductionLotDispositionGroup 205,1,1,2026-08-24T00:00:00.000
206,PLDG000206,6,Harbor ProductionLotDispositionGroup 206,1,1,2026-08-24T00:00:00.000
207,PLDG000207,182,Granite ProductionLotDispositionGroup 207,1,1,2026-08-24T00:00:00.000
208,PLDG000208,178,Granite ProductionLotDispositionGroup 208,1,1,2026-08-24T00:00:00.000
209,PLDG000209,132,Unity ProductionLotDispositionGroup 209,1,1,2026-08-24T00:00:00.000
210,PLDG000210,109,Granite ProductionLotDispositionGroup 210,1,1,2026-08-24T00:00:00.000
211,PLDG000211,195,Forge ProductionLotDispositionGroup 211,1,1,2026-08-24T00:00:00.000
212,PLDG000212,305,Quartz ProductionLotDispositionGroup 212,1,1,2026-08-24T00:00:00.000
213,PLDG000213,249,Orion ProductionLotDispositionGroup 213,1,1,2026-08-24T00:00:00.000
214,PLDG000214,150,Junction ProductionLotDispositionGroup 214,1,1,2026-08-24T00:00:00.000
215,PLDG000215,259,Summit ProductionLotDispositionGroup 215,1,1,2026-08-24T00:00:00.000
216,PLDG000216,289,Zenith ProductionLotDispositionGroup 216,1,1,2026-08-24T00:00:00.000
217,PLDG000217,229,Zenith ProductionLotDispositionGroup 217,1,1,2026-08-24T00:00:00.000
218,PLDG000218,26,Northstar ProductionLotDispositionGroup 218,1,1,2026-08-24T00:00:00.000
219,PLDG000219,353,Delta ProductionLotDispositionGroup 219,1,1,2026-08-24T00:00:00.000
220,PLDG000220,319,Junction ProductionLotDispositionGroup 220,1,1,2026-08-24T00:00:00.000
221,PLDG000221,180,Evergreen ProductionLotDispositionGroup 221,1,1,2026-08-24T00:00:00.000
222,PLDG000222,67,Liberty ProductionLotDispositionGroup 222,1,1,2026-08-24T00:00:00.000
223,PLDG000223,240,Vertex ProductionLotDispositionGroup 223,1,1,2026-08-24T00:00:00.000
224,PLDG000224,63,Beacon ProductionLotDispositionGroup 224,1,1,2026-08-24T00:00:00.000
225,PLDG000225,30,Keystone ProductionLotDispositionGroup 225,1,1,2026-08-24T00:00:00.000
226,PLDG000226,193,Unity ProductionLotDispositionGroup 226,1,1,2026-08-24T00:00:00.000
227,PLDG000227,75,Pioneer ProductionLotDispositionGroup 227,1,1,2026-08-24T00:00:00.000
228,PLDG000228,297,Harbor ProductionLotDispositionGroup 228,1,1,2026-08-24T00:00:00.000
229,PLDG000229,50,Delta ProductionLotDispositionGroup 229,1,1,2026-08-24T00:00:00.000
230,PLDG000230,256,Titan ProductionLotDispositionGroup 230,1,1,2026-08-24T00:00:00.000
231,PLDG000231,145,Willow ProductionLotDispositionGroup 231,1,1,2026-08-24T00:00:00.000
232,PLDG000232,164,Forge ProductionLotDispositionGroup 232,1,1,2026-08-24T00:00:00.000
233,PLDG000233,15,Granite ProductionLotDispositionGroup 233,1,1,2026-08-24T00:00:00.000
234,PLDG000234,278,Titan ProductionLotDispositionGroup 234,1,1,2026-08-24T00:00:00.000
235,PLDG000235,169,Northstar ProductionLotDispositionGroup 235,1,1,2026-08-24T00:00:00.000
236,PLDG000236,99,Orion ProductionLotDispositionGroup 236,1,1,2026-08-24T00:00:00.000
237,PLDG000237,46,Delta ProductionLotDispositionGroup 237,1,1,2026-08-24T00:00:00.000
238,PLDG000238,47,Quartz ProductionLotDispositionGroup 238,1,1,2026-08-24T00:00:00.000
239,PLDG000239,56,Cedar ProductionLotDispositionGroup 239,1,1,2026-08-24T00:00:00.000
240,PLDG000240,14,Summit ProductionLotDispositionGroup 240,1,1,2026-08-24T00:00:00.000
241,PLDG000241,45,Granite ProductionLotDispositionGroup 241,1,1,2026-08-24T00:00:00.000
242,PLDG000242,15,Keystone ProductionLotDispositionGroup 242,1,1,2026-08-24T00:00:00.000
243,PLDG000243,257,Beacon ProductionLotDispositionGroup 243,1,1,2026-08-24T00:00:00.000
244,PLDG000244,77,Beacon ProductionLotDispositionGroup 244,1,1,2026-08-24T00:00:00.000
245,PLDG000245,47,Junction ProductionLotDispositionGroup 245,1,1,2026-08-24T00:00:00.000
246,PLDG000246,224,Summit ProductionLotDispositionGroup 246,1,1,2026-08-24T00:00:00.000
247,PLDG000247,178,Quartz ProductionLotDispositionGroup 247,1,1,2026-08-24T00:00:00.000
248,PLDG000248,144,Beacon ProductionLotDispositionGroup 248,1,1,2026-08-24T00:00:00.000
249,PLDG000249,20,Keystone ProductionLotDispositionGroup 249,1,1,2026-08-24T00:00:00.000
250,PLDG000250,282,Zenith ProductionLotDispositionGroup 250,1,1,2026-08-24T00:00:00.000
251,PLDG000251,242,Meridian ProductionLotDispositionGroup 251,1,1,2026-08-24T00:00:00.000
252,PLDG000252,137,Quartz ProductionLotDispositionGroup 252,1,1,2026-08-24T00:00:00.000
253,PLDG000253,301,Forge ProductionLotDispositionGroup 253,1,1,2026-08-24T00:00:00.000
254,PLDG000254,354,Orion ProductionLotDispositionGroup 254,1,1,2026-08-24T00:00:00.000
255,PLDG000255,41,Titan ProductionLotDispositionGroup 255,1,1,2026-08-24T00:00:00.000
256,PLDG000256,258,Pioneer ProductionLotDispositionGroup 256,1,1,2026-08-24T00:00:00.000
257,PLDG000257,145,Cedar ProductionLotDispositionGroup 257,1,1,2026-08-24T00:00:00.000
258,PLDG000258,279,Cedar ProductionLotDispositionGroup 258,1,1,2026-08-24T00:00:00.000
259,PLDG000259,123,Riverton ProductionLotDispositionGroup 259,1,1,2026-08-24T00:00:00.000
260,PLDG000260,181,Junction ProductionLotDispositionGroup 260,1,1,2026-08-24T00:00:00.000
261,PLDG000261,80,Cedar ProductionLotDispositionGroup 261,1,1,2026-08-24T00:00:00.000
262,PLDG000262,117,Cedar ProductionLotDispositionGroup 262,1,1,2026-08-24T00:00:00.000
263,PLDG000263,237,Vertex ProductionLotDispositionGroup 263,1,1,2026-08-24T00:00:00.000
264,PLDG000264,314,Junction ProductionLotDispositionGroup 264,1,1,2026-08-24T00:00:00.000
265,PLDG000265,39,Titan ProductionLotDispositionGroup 265,1,1,2026-08-24T00:00:00.000
266,PLDG000266,45,Pioneer ProductionLotDispositionGroup 266,1,1,2026-08-24T00:00:00.000
267,PLDG000267,219,Cedar ProductionLotDispositionGroup 267,1,1,2026-08-24T00:00:00.000
268,PLDG000268,153,Orion ProductionLotDispositionGroup 268,1,1,2026-08-24T00:00:00.000
269,PLDG000269,14,Quartz ProductionLotDispositionGroup 269,1,1,2026-08-24T00:00:00.000
270,PLDG000270,165,Northstar ProductionLotDispositionGroup 270,1,1,2026-08-24T00:00:00.000
271,PLDG000271,296,Atlas ProductionLotDispositionGroup 271,1,1,2026-08-24T00:00:00.000
272,PLDG000272,246,Cedar ProductionLotDispositionGroup 272,1,1,2026-08-24T00:00:00.000
273,PLDG000273,227,Willow ProductionLotDispositionGroup 273,1,1,2026-08-24T00:00:00.000
274,PLDG000274,169,Riverton ProductionLotDispositionGroup 274,1,1,2026-08-24T00:00:00.000
275,PLDG000275,245,Keystone ProductionLotDispositionGroup 275,1,1,2026-08-24T00:00:00.000
276,PLDG000276,98,Summit ProductionLotDispositionGroup 276,1,1,2026-08-24T00:00:00.000
277,PLDG000277,195,Evergreen ProductionLotDispositionGroup 277,1,1,2026-08-24T00:00:00.000
278,PLDG000278,22,Unity ProductionLotDispositionGroup 278,1,1,2026-08-24T00:00:00.000
