EngineeringChangeOrderKey,EngineeringChangeOrderNumber,EngineeringTeamKey,OwnerEmployeeKey,EngineeringChangeTypeKey,ApprovalStatusKey,PriorityKey,EngineeringChangeOrderName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
29,ECO000029,262,85,2,5,2,Liberty EngineeringChangeOrder 29,ECO000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9884af65e3a4589686ffaac4842c05749884af65e3a4589686ffaac4842c0574
30,ECO000030,333,169,7,1,4,Harbor EngineeringChangeOrder 30,ECO000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1261c9b0a29f5564aa3e2062f029d2f11261c9b0a29f5564aa3e2062f029d2f1
31,ECO000031,82,484,2,1,2,Ion EngineeringChangeOrder 31,ECO000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f3038daa3a915ea5b4ff38c5225d23f4f3038daa3a915ea5b4ff38c5225d23f4
32,ECO000032,431,58,4,2,5,Evergreen EngineeringChangeOrder 32,ECO000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b691bc03d57359baba81c3d42975f3fdb691bc03d57359baba81c3d42975f3fd
33,ECO000033,209,427,6,1,4,Titan EngineeringChangeOrder 33,ECO000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26523945f865593cacd74f493829515126523945f865593cacd74f4938295151
34,ECO000034,437,-1,8,1,3,Vertex EngineeringChangeOrder 34,ECO000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a80f9cf02a825aeba486c55af7eea054a80f9cf02a825aeba486c55af7eea054
35,ECO000035,164,238,4,1,1,Junction EngineeringChangeOrder 35,ECO000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16466e2716d75103a425d38eb097bbb316466e2716d75103a425d38eb097bbb3
36,ECO000036,265,488,1,3,2,Liberty EngineeringChangeOrder 36,ECO000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd460eb9720e5d79a18debc62ad04619dd460eb9720e5d79a18debc62ad04619
37,ECO000037,31,52,1,3,4,Keystone EngineeringChangeOrder 37,ECO000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92885ac314d15c47a75b633cf62fd21b92885ac314d15c47a75b633cf62fd21b
38,ECO000038,156,84,7,2,2,Vertex EngineeringChangeOrder 38,ECO000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3cba8ab7c7f5e95b5437a08ad0c7336e3cba8ab7c7f5e95b5437a08ad0c7336
39,ECO000039,23,134,8,2,4,Beacon EngineeringChangeOrder 39,ECO000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ededb894e26951fa8a104c2ff7831d2fededb894e26951fa8a104c2ff7831d2f
40,ECO000040,337,193,2,4,3,Summit EngineeringChangeOrder 40,ECO000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,624f4dbed2155fe09d50d9e70d0aaa07624f4dbed2155fe09d50d9e70d0aaa07
41,ECO000041,7,39,7,5,3,Atlas EngineeringChangeOrder 41,ECO000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56602d69068353cdbe8d17fcb8f3789756602d69068353cdbe8d17fcb8f37897
42,ECO000042,189,22,4,5,4,Vertex EngineeringChangeOrder 42,ECO000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26836d51057a5d5bace249bc0aca6c3626836d51057a5d5bace249bc0aca6c36
43,ECO000043,227,162,8,1,1,Granite EngineeringChangeOrder 43,ECO000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14487763110957ce9701495f1ed86c7d14487763110957ce9701495f1ed86c7d
44,ECO000044,125,189,3,3,4,Junction EngineeringChangeOrder 44,ECO000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,075151c7177f5f6d9ed037e6081df2d3075151c7177f5f6d9ed037e6081df2d3
45,ECO000045,135,196,6,1,3,Harbor EngineeringChangeOrder 45,ECO000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6accafe6c8b5f27b099d4726794f27bf6accafe6c8b5f27b099d4726794f27b
46,ECO000046,155,331,2,4,3,Forge EngineeringChangeOrder 46,ECO000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6120f312163f543faeaaf1e2fa41eaf76120f312163f543faeaaf1e2fa41eaf7
47,ECO000047,23,114,3,1,3,Meridian EngineeringChangeOrder 47,ECO000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e6695d2b51954fe84d324f261b4f8369e6695d2b51954fe84d324f261b4f836
48,ECO000048,38,263,5,1,4,Ion EngineeringChangeOrder 48,ECO000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f768e48cc28c57a084511f46de39c1e2f768e48cc28c57a084511f46de39c1e2
49,ECO000049,373,12,6,3,1,Willow EngineeringChangeOrder 49,ECO000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a2d4b7deceb95e6c8990d945aca3c7a7a2d4b7deceb95e6c8990d945aca3c7a7
50,ECO000050,408,480,1,5,2,Harbor EngineeringChangeOrder 50,ECO000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a75994f5025e5e7cb897f15e6e510553a75994f5025e5e7cb897f15e6e510553
51,ECO000051,166,-1,5,5,3,Summit EngineeringChangeOrder 51,ECO000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,848b9f51f77f5c7f9d0a1d9cee3025d0848b9f51f77f5c7f9d0a1d9cee3025d0
52,ECO000052,82,432,5,2,2,Forge EngineeringChangeOrder 52,ECO000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,544f9c17746d5c2c9686603f06864aca544f9c17746d5c2c9686603f06864aca
53,ECO000053,8,19,1,2,3,Vertex EngineeringChangeOrder 53,ECO000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38c64f16306b5deab52f569a5e18129938c64f16306b5deab52f569a5e181299
54,ECO000054,52,147,4,2,4,Granite EngineeringChangeOrder 54,ECO000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ba3852634f95eb59b182660852b07f83ba3852634f95eb59b182660852b07f8
55,ECO000055,99,220,1,5,2,Junction EngineeringChangeOrder 55,ECO000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e31eed5552a45884b97cebe7236f7f5ee31eed5552a45884b97cebe7236f7f5e
56,ECO000056,252,418,5,1,2,Unity EngineeringChangeOrder 56,ECO000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4edbcb6d83253e7976f067245ebf935a4edbcb6d83253e7976f067245ebf935
57,ECO000057,98,163,8,3,4,Keystone EngineeringChangeOrder 57,ECO000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43cb69b902355e2785dc1e0a091fdfd043cb69b902355e2785dc1e0a091fdfd0
58,ECO000058,405,42,1,2,2,Cedar EngineeringChangeOrder 58,ECO000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bc8e767148a958728b7c6c7e696a488fbc8e767148a958728b7c6c7e696a488f
59,ECO000059,56,282,6,2,4,Cedar EngineeringChangeOrder 59,ECO000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d71f915eeeea5c328202501ebae7d0a4d71f915eeeea5c328202501ebae7d0a4
60,ECO000060,290,136,8,3,1,Junction EngineeringChangeOrder 60,ECO000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a39eea4f84235f69af827cdd2721844ba39eea4f84235f69af827cdd2721844b
61,ECO000061,348,224,2,4,3,Harbor EngineeringChangeOrder 61,ECO000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65857bc048e7505fb4219f38cacdbb7865857bc048e7505fb4219f38cacdbb78
62,ECO000062,384,413,2,4,5,Keystone EngineeringChangeOrder 62,ECO000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d01ada0b447357299568635a220af0e6d01ada0b447357299568635a220af0e6
63,ECO000063,230,164,6,3,1,Zenith EngineeringChangeOrder 63,ECO000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f83de0b668c59dbb01f9321feefc94f2f83de0b668c59dbb01f9321feefc94f
64,ECO000064,279,83,6,2,3,Keystone EngineeringChangeOrder 64,ECO000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc206777aa525aa1941518e232900877dc206777aa525aa1941518e232900877
65,ECO000065,138,366,5,3,3,Granite EngineeringChangeOrder 65,ECO000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cfae5cb410651c1a82f169fedb6db4b1cfae5cb410651c1a82f169fedb6db4b
66,ECO000066,215,303,7,1,1,Ion EngineeringChangeOrder 66,ECO000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d22580555575e8c9292cd6b4a55fb3f7d22580555575e8c9292cd6b4a55fb3f
67,ECO000067,359,267,5,4,2,Evergreen EngineeringChangeOrder 67,ECO000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e8203380ca55005a576ae016f9c9ebf5e8203380ca55005a576ae016f9c9ebf
68,ECO000068,49,-1,4,2,5,Atlas EngineeringChangeOrder 68,ECO000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2641186ebeda5a2cad03effddcb2c1412641186ebeda5a2cad03effddcb2c141
69,ECO000069,153,87,2,2,1,Atlas EngineeringChangeOrder 69,ECO000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebe9ae1e61855c80890fa268760d1697ebe9ae1e61855c80890fa268760d1697
70,ECO000070,45,413,3,2,2,Cedar EngineeringChangeOrder 70,ECO000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0122c61b1dbc58c4bc2eaeff45dcd4390122c61b1dbc58c4bc2eaeff45dcd439
71,ECO000071,424,401,2,2,4,Riverton EngineeringChangeOrder 71,ECO000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df70f13580ae59bd81d5d5c017bc5d3fdf70f13580ae59bd81d5d5c017bc5d3f
72,ECO000072,428,457,6,1,4,Summit EngineeringChangeOrder 72,ECO000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b1a60453cc654389c075a35808dae4a3b1a60453cc654389c075a35808dae4a
73,ECO000073,133,137,8,4,1,Orion EngineeringChangeOrder 73,ECO000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8f0d2a4b89b5750a3d64a0afcfc67adc8f0d2a4b89b5750a3d64a0afcfc67ad
74,ECO000074,167,416,3,2,1,Atlas EngineeringChangeOrder 74,ECO000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9793e9743fbe5fea8a42d5326544bbb99793e9743fbe5fea8a42d5326544bbb9
75,ECO000075,137,147,1,3,2,Orion EngineeringChangeOrder 75,ECO000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c315250e2f55a3186669d1c223c0a763c315250e2f55a3186669d1c223c0a76
76,ECO000076,32,407,6,1,2,Cedar EngineeringChangeOrder 76,ECO000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,41657a03446e5687bbfa56d5dd62118d41657a03446e5687bbfa56d5dd62118d
77,ECO000077,169,286,4,2,4,Keystone EngineeringChangeOrder 77,ECO000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,061f6219dab85acbaf09fab1094248e1061f6219dab85acbaf09fab1094248e1
78,ECO000078,384,401,3,5,2,Atlas EngineeringChangeOrder 78,ECO000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a31bf085da750099d4959964703b43b4a31bf085da750099d4959964703b43b
79,ECO000079,350,59,6,5,4,Quartz EngineeringChangeOrder 79,ECO000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57f0094ef5d958b8b809e784b5ec70db57f0094ef5d958b8b809e784b5ec70db
80,ECO000080,335,111,8,1,2,Unity EngineeringChangeOrder 80,ECO000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f9209d2ff6d05532b95bc466540025f4f9209d2ff6d05532b95bc466540025f4
81,ECO000081,90,313,7,5,4,Granite EngineeringChangeOrder 81,ECO000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b52888560d25c248a7f696a0eeca1ca0b52888560d25c248a7f696a0eeca1ca
82,ECO000082,333,238,6,2,4,Forge EngineeringChangeOrder 82,ECO000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc60745d6893530f9469a283b257a48cfc60745d6893530f9469a283b257a48c
83,ECO000083,275,147,2,1,1,Junction EngineeringChangeOrder 83,ECO000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cd34542773853dea54f8013c1acef938cd34542773853dea54f8013c1acef93
84,ECO000084,95,174,8,2,3,Summit EngineeringChangeOrder 84,ECO000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fd2e30a144359f5bb54eb551c17e5b58fd2e30a144359f5bb54eb551c17e5b5
85,ECO000085,426,-1,4,1,2,Riverton EngineeringChangeOrder 85,ECO000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61ddf585a58f5540bdbf1aaffb788a8d61ddf585a58f5540bdbf1aaffb788a8d
86,ECO000086,28,308,5,5,2,Evergreen EngineeringChangeOrder 86,ECO000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a84b139833ac551d9bf60bef80881b25a84b139833ac551d9bf60bef80881b25
87,ECO000087,360,302,7,4,2,Orion EngineeringChangeOrder 87,ECO000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61c171a203805410b6755043762a3a8f61c171a203805410b6755043762a3a8f
88,ECO000088,356,95,4,2,5,Harbor EngineeringChangeOrder 88,ECO000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,613ce63a71a45f03b38ffd28e0895eb2613ce63a71a45f03b38ffd28e0895eb2
89,ECO000089,425,16,5,2,1,Forge EngineeringChangeOrder 89,ECO000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9175494dbc0a52c09b6cd257dd9609e59175494dbc0a52c09b6cd257dd9609e5
90,ECO000090,400,270,7,2,2,Liberty EngineeringChangeOrder 90,ECO000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,394c8daf1c7257d1bcae04aff1c85ca9394c8daf1c7257d1bcae04aff1c85ca9
91,ECO000091,441,135,4,4,3,Meridian EngineeringChangeOrder 91,ECO000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c4ca7aaf92e5e638ea90c72b95bde465c4ca7aaf92e5e638ea90c72b95bde46
92,ECO000092,5,128,4,3,4,Cedar EngineeringChangeOrder 92,ECO000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51989fc667f05f78ba57cdd048fb76f051989fc667f05f78ba57cdd048fb76f0
93,ECO000093,345,198,3,4,4,Liberty EngineeringChangeOrder 93,ECO000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29b367826dab5756a3d4291c3c641ba229b367826dab5756a3d4291c3c641ba2
94,ECO000094,154,352,4,5,4,Meridian EngineeringChangeOrder 94,ECO000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7f79cc283c75015b10674158d485b89a7f79cc283c75015b10674158d485b89
95,ECO000095,304,390,7,1,3,Vertex EngineeringChangeOrder 95,ECO000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32d15575345a56219d76fab52a458a4632d15575345a56219d76fab52a458a46
