RoutingOperationTypeKey,RoutingOperationTypeCode,RoutingOperationClassKey,RoutingOperationTypeName,SourceSystemKey,BatchId,LoadedAtUtc
175,ROT000175,128,Orion RoutingOperationType 175,1,1,2026-08-24T00:00:00.000
176,ROT000176,90,Evergreen RoutingOperationType 176,1,1,2026-08-24T00:00:00.000
177,ROT000177,153,Unity RoutingOperationType 177,1,1,2026-08-24T00:00:00.000
178,ROT000178,205,Orion RoutingOperationType 178,1,1,2026-08-24T00:00:00.000
179,ROT000179,212,Orion RoutingOperationType 179,1,1,2026-08-24T00:00:00.000
180,ROT000180,200,Willow RoutingOperationType 180,1,1,2026-08-24T00:00:00.000
181,ROT000181,61,Zenith RoutingOperationType 181,1,1,2026-08-24T00:00:00.000
182,ROT000182,60,Meridian RoutingOperationType 182,1,1,2026-08-24T00:00:00.000
183,ROT000183,35,Meridian RoutingOperationType 183,1,1,2026-08-24T00:00:00.000
184,ROT000184,212,Forge RoutingOperationType 184,1,1,2026-08-24T00:00:00.000
185,ROT000185,52,Junction RoutingOperationType 185,1,1,2026-08-24T00:00:00.000
186,ROT000186,236,Orion RoutingOperationType 186,1,1,2026-08-24T00:00:00.000
187,ROT000187,125,Atlas RoutingOperationType 187,1,1,2026-08-24T00:00:00.000
188,ROT000188,128,Ion RoutingOperationType 188,1,1,2026-08-24T00:00:00.000
189,ROT000189,13,Evergreen RoutingOperationType 189,1,1,2026-08-24T00:00:00.000
190,ROT000190,26,Orion RoutingOperationType 190,1,1,2026-08-24T00:00:00.000
191,ROT000191,224,Delta RoutingOperationType 191,1,1,2026-08-24T00:00:00.000
192,ROT000192,139,Zenith RoutingOperationType 192,1,1,2026-08-24T00:00:00.000
193,ROT000193,14,Ion RoutingOperationType 193,1,1,2026-08-24T00:00:00.000
194,ROT000194,247,Northstar RoutingOperationType 194,1,1,2026-08-24T00:00:00.000
195,ROT000195,98,Orion RoutingOperationType 195,1,1,2026-08-24T00:00:00.000
196,ROT000196,219,Junction RoutingOperationType 196,1,1,2026-08-24T00:00:00.000
197,ROT000197,116,Keystone RoutingOperationType 197,1,1,2026-08-24T00:00:00.000
198,ROT000198,143,Unity RoutingOperationType 198,1,1,2026-08-24T00:00:00.000
199,ROT000199,21,Beacon RoutingOperationType 199,1,1,2026-08-24T00:00:00.000
200,ROT000200,112,Atlas RoutingOperationType 200,1,1,2026-08-24T00:00:00.000
201,ROT000201,45,Harbor RoutingOperationType 201,1,1,2026-08-24T00:00:00.000
202,ROT000202,184,Zenith RoutingOperationType 202,1,1,2026-08-24T00:00:00.000
203,ROT000203,97,Liberty RoutingOperationType 203,1,1,2026-08-24T00:00:00.000
204,ROT000204,88,Keystone RoutingOperationType 204,1,1,2026-08-24T00:00:00.000
205,ROT000205,73,Granite RoutingOperationType 205,1,1,2026-08-24T00:00:00.000
206,ROT000206,248,Summit RoutingOperationType 206,1,1,2026-08-24T00:00:00.000
207,ROT000207,258,Forge RoutingOperationType 207,1,1,2026-08-24T00:00:00.000
208,ROT000208,31,Keystone RoutingOperationType 208,1,1,2026-08-24T00:00:00.000
209,ROT000209,104,Beacon RoutingOperationType 209,1,1,2026-08-24T00:00:00.000
210,ROT000210,94,Ion RoutingOperationType 210,1,1,2026-08-24T00:00:00.000
211,ROT000211,60,Granite RoutingOperationType 211,1,1,2026-08-24T00:00:00.000
212,ROT000212,224,Meridian RoutingOperationType 212,1,1,2026-08-24T00:00:00.000
213,ROT000213,56,Keystone RoutingOperationType 213,1,1,2026-08-24T00:00:00.000
214,ROT000214,235,Ion RoutingOperationType 214,1,1,2026-08-24T00:00:00.000
215,ROT000215,109,Delta RoutingOperationType 215,1,1,2026-08-24T00:00:00.000
216,ROT000216,117,Quartz RoutingOperationType 216,1,1,2026-08-24T00:00:00.000
217,ROT000217,148,Summit RoutingOperationType 217,1,1,2026-08-24T00:00:00.000
218,ROT000218,10,Beacon RoutingOperationType 218,1,1,2026-08-24T00:00:00.000
219,ROT000219,155,Keystone RoutingOperationType 219,1,1,2026-08-24T00:00:00.000
220,ROT000220,223,Cedar RoutingOperationType 220,1,1,2026-08-24T00:00:00.000
221,ROT000221,158,Unity RoutingOperationType 221,1,1,2026-08-24T00:00:00.000
222,ROT000222,135,Atlas RoutingOperationType 222,1,1,2026-08-24T00:00:00.000
223,ROT000223,132,Granite RoutingOperationType 223,1,1,2026-08-24T00:00:00.000
224,ROT000224,60,Junction RoutingOperationType 224,1,1,2026-08-24T00:00:00.000
225,ROT000225,1,Evergreen RoutingOperationType 225,1,1,2026-08-24T00:00:00.000
226,ROT000226,246,Northstar RoutingOperationType 226,1,1,2026-08-24T00:00:00.000
227,ROT000227,123,Riverton RoutingOperationType 227,1,1,2026-08-24T00:00:00.000
228,ROT000228,190,Pioneer RoutingOperationType 228,1,1,2026-08-24T00:00:00.000
229,ROT000229,93,Northstar RoutingOperationType 229,1,1,2026-08-24T00:00:00.000
230,ROT000230,181,Pioneer RoutingOperationType 230,1,1,2026-08-24T00:00:00.000
231,ROT000231,153,Willow RoutingOperationType 231,1,1,2026-08-24T00:00:00.000
232,ROT000232,119,Harbor RoutingOperationType 232,1,1,2026-08-24T00:00:00.000
233,ROT000233,88,Granite RoutingOperationType 233,1,1,2026-08-24T00:00:00.000
234,ROT000234,79,Pioneer RoutingOperationType 234,1,1,2026-08-24T00:00:00.000
235,ROT000235,144,Meridian RoutingOperationType 235,1,1,2026-08-24T00:00:00.000
236,ROT000236,95,Granite RoutingOperationType 236,1,1,2026-08-24T00:00:00.000
237,ROT000237,93,Ion RoutingOperationType 237,1,1,2026-08-24T00:00:00.000
238,ROT000238,203,Northstar RoutingOperationType 238,1,1,2026-08-24T00:00:00.000
239,ROT000239,97,Pioneer RoutingOperationType 239,1,1,2026-08-24T00:00:00.000
240,ROT000240,100,Keystone RoutingOperationType 240,1,1,2026-08-24T00:00:00.000
241,ROT000241,96,Unity RoutingOperationType 241,1,1,2026-08-24T00:00:00.000
242,ROT000242,25,Willow RoutingOperationType 242,1,1,2026-08-24T00:00:00.000
243,ROT000243,46,Unity RoutingOperationType 243,1,1,2026-08-24T00:00:00.000
244,ROT000244,148,Willow RoutingOperationType 244,1,1,2026-08-24T00:00:00.000
245,ROT000245,122,Harbor RoutingOperationType 245,1,1,2026-08-24T00:00:00.000
246,ROT000246,101,Atlas RoutingOperationType 246,1,1,2026-08-24T00:00:00.000
247,ROT000247,186,Evergreen RoutingOperationType 247,1,1,2026-08-24T00:00:00.000
248,ROT000248,49,Riverton RoutingOperationType 248,1,1,2026-08-24T00:00:00.000
249,ROT000249,87,Cedar RoutingOperationType 249,1,1,2026-08-24T00:00:00.000
250,ROT000250,191,Keystone RoutingOperationType 250,1,1,2026-08-24T00:00:00.000
251,ROT000251,115,Pioneer RoutingOperationType 251,1,1,2026-08-24T00:00:00.000
252,ROT000252,252,Willow RoutingOperationType 252,1,1,2026-08-24T00:00:00.000
253,ROT000253,60,Meridian RoutingOperationType 253,1,1,2026-08-24T00:00:00.000
254,ROT000254,20,Keystone RoutingOperationType 254,1,1,2026-08-24T00:00:00.000
255,ROT000255,133,Riverton RoutingOperationType 255,1,1,2026-08-24T00:00:00.000
256,ROT000256,172,Keystone RoutingOperationType 256,1,1,2026-08-24T00:00:00.000
257,ROT000257,201,Summit RoutingOperationType 257,1,1,2026-08-24T00:00:00.000
258,ROT000258,37,Ion RoutingOperationType 258,1,1,2026-08-24T00:00:00.000
259,ROT000259,124,Titan RoutingOperationType 259,1,1,2026-08-24T00:00:00.000
260,ROT000260,206,Quartz RoutingOperationType 260,1,1,2026-08-24T00:00:00.000
261,ROT000261,90,Riverton RoutingOperationType 261,1,1,2026-08-24T00:00:00.000
262,ROT000262,51,Willow RoutingOperationType 262,1,1,2026-08-24T00:00:00.000
263,ROT000263,51,Beacon RoutingOperationType 263,1,1,2026-08-24T00:00:00.000
264,ROT000264,3,Orion RoutingOperationType 264,1,1,2026-08-24T00:00:00.000
265,ROT000265,78,Vertex RoutingOperationType 265,1,1,2026-08-24T00:00:00.000
266,ROT000266,156,Junction RoutingOperationType 266,1,1,2026-08-24T00:00:00.000
267,ROT000267,192,Delta RoutingOperationType 267,1,1,2026-08-24T00:00:00.000
268,ROT000268,159,Junction RoutingOperationType 268,1,1,2026-08-24T00:00:00.000
269,ROT000269,172,Atlas RoutingOperationType 269,1,1,2026-08-24T00:00:00.000
270,ROT000270,248,Atlas RoutingOperationType 270,1,1,2026-08-24T00:00:00.000
271,ROT000271,130,Cedar RoutingOperationType 271,1,1,2026-08-24T00:00:00.000
272,ROT000272,186,Meridian RoutingOperationType 272,1,1,2026-08-24T00:00:00.000
273,ROT000273,19,Evergreen RoutingOperationType 273,1,1,2026-08-24T00:00:00.000
274,ROT000274,239,Vertex RoutingOperationType 274,1,1,2026-08-24T00:00:00.000
275,ROT000275,240,Evergreen RoutingOperationType 275,1,1,2026-08-24T00:00:00.000
276,ROT000276,218,Atlas RoutingOperationType 276,1,1,2026-08-24T00:00:00.000
277,ROT000277,246,Titan RoutingOperationType 277,1,1,2026-08-24T00:00:00.000
278,ROT000278,26,Keystone RoutingOperationType 278,1,1,2026-08-24T00:00:00.000
279,ROT000279,209,Atlas RoutingOperationType 279,1,1,2026-08-24T00:00:00.000
280,ROT000280,218,Beacon RoutingOperationType 280,1,1,2026-08-24T00:00:00.000
281,ROT000281,253,Harbor RoutingOperationType 281,1,1,2026-08-24T00:00:00.000
282,ROT000282,46,Evergreen RoutingOperationType 282,1,1,2026-08-24T00:00:00.000
283,ROT000283,230,Ion RoutingOperationType 283,1,1,2026-08-24T00:00:00.000
284,ROT000284,133,Vertex RoutingOperationType 284,1,1,2026-08-24T00:00:00.000
285,ROT000285,64,Titan RoutingOperationType 285,1,1,2026-08-24T00:00:00.000
286,ROT000286,228,Orion RoutingOperationType 286,1,1,2026-08-24T00:00:00.000
287,ROT000287,90,Summit RoutingOperationType 287,1,1,2026-08-24T00:00:00.000
288,ROT000288,228,Liberty RoutingOperationType 288,1,1,2026-08-24T00:00:00.000
289,ROT000289,98,Beacon RoutingOperationType 289,1,1,2026-08-24T00:00:00.000
290,ROT000290,177,Titan RoutingOperationType 290,1,1,2026-08-24T00:00:00.000
291,ROT000291,72,Quartz RoutingOperationType 291,1,1,2026-08-24T00:00:00.000
292,ROT000292,187,Keystone RoutingOperationType 292,1,1,2026-08-24T00:00:00.000
293,ROT000293,249,Meridian RoutingOperationType 293,1,1,2026-08-24T00:00:00.000
294,ROT000294,156,Cedar RoutingOperationType 294,1,1,2026-08-24T00:00:00.000
295,ROT000295,51,Evergreen RoutingOperationType 295,1,1,2026-08-24T00:00:00.000
296,ROT000296,79,Ion RoutingOperationType 296,1,1,2026-08-24T00:00:00.000
297,ROT000297,25,Meridian RoutingOperationType 297,1,1,2026-08-24T00:00:00.000
298,ROT000298,172,Northstar RoutingOperationType 298,1,1,2026-08-24T00:00:00.000
299,ROT000299,246,Willow RoutingOperationType 299,1,1,2026-08-24T00:00:00.000
300,ROT000300,196,Evergreen RoutingOperationType 300,1,1,2026-08-24T00:00:00.000
301,ROT000301,212,Meridian RoutingOperationType 301,1,1,2026-08-24T00:00:00.000
302,ROT000302,106,Willow RoutingOperationType 302,1,1,2026-08-24T00:00:00.000
303,ROT000303,52,Cedar RoutingOperationType 303,1,1,2026-08-24T00:00:00.000
304,ROT000304,27,Evergreen RoutingOperationType 304,1,1,2026-08-24T00:00:00.000
305,ROT000305,216,Keystone RoutingOperationType 305,1,1,2026-08-24T00:00:00.000
306,ROT000306,151,Pioneer RoutingOperationType 306,1,1,2026-08-24T00:00:00.000
307,ROT000307,89,Orion RoutingOperationType 307,1,1,2026-08-24T00:00:00.000
308,ROT000308,136,Keystone RoutingOperationType 308,1,1,2026-08-24T00:00:00.000
309,ROT000309,117,Summit RoutingOperationType 309,1,1,2026-08-24T00:00:00.000
310,ROT000310,214,Evergreen RoutingOperationType 310,1,1,2026-08-24T00:00:00.000
311,ROT000311,207,Junction RoutingOperationType 311,1,1,2026-08-24T00:00:00.000
312,ROT000312,95,Keystone RoutingOperationType 312,1,1,2026-08-24T00:00:00.000
313,ROT000313,119,Meridian RoutingOperationType 313,1,1,2026-08-24T00:00:00.000
314,ROT000314,166,Atlas RoutingOperationType 314,1,1,2026-08-24T00:00:00.000
315,ROT000315,183,Delta RoutingOperationType 315,1,1,2026-08-24T00:00:00.000
