ProductionRunKey,ProductionRunNumber,ProductionWorkOrderKey,ProductionLotDispositionGroupKey,ProductionRunTypeKey,ProductionOrderStatusKey,ProductionRunName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
17,PR000017,397,195,5,8,Meridian ProductionRun 17,PR000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c62ef6d9a1f350adb80e3cd12599f8d7c62ef6d9a1f350adb80e3cd12599f8d7
18,PR000018,303,189,7,3,Unity ProductionRun 18,PR000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,357e7f6434e45ccfb780309b0914c0d3357e7f6434e45ccfb780309b0914c0d3
19,PR000019,261,471,12,8,Willow ProductionRun 19,PR000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39e11f0703f25e2781c3546816f8aa5d39e11f0703f25e2781c3546816f8aa5d
20,PR000020,119,469,7,10,Vertex ProductionRun 20,PR000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ba88527c57a5679a2c05c2ee4c8e2c94ba88527c57a5679a2c05c2ee4c8e2c9
21,PR000021,280,133,11,7,Meridian ProductionRun 21,PR000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3b13c533065541397e77f7bcd7de5d7d3b13c533065541397e77f7bcd7de5d7
22,PR000022,1,382,7,10,Unity ProductionRun 22,PR000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40da8f1239905b7b8967294278668ed740da8f1239905b7b8967294278668ed7
23,PR000023,28,67,8,1,Unity ProductionRun 23,PR000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d50ea4a77b9658f5902ea244f2023d1bd50ea4a77b9658f5902ea244f2023d1b
24,PR000024,114,166,2,6,Forge ProductionRun 24,PR000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce13c343831b592bb8f590e58e109126ce13c343831b592bb8f590e58e109126
25,PR000025,18,333,1,6,Forge ProductionRun 25,PR000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50dd510248b15dff978bb50fa7592a4450dd510248b15dff978bb50fa7592a44
26,PR000026,316,54,1,5,Liberty ProductionRun 26,PR000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0ee8c91f77853eca7802c952596b64ed0ee8c91f77853eca7802c952596b64e
27,PR000027,264,167,12,4,Harbor ProductionRun 27,PR000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,146b2baa3d9e5de081b8ad4edfc8ca51146b2baa3d9e5de081b8ad4edfc8ca51
28,PR000028,172,222,2,4,Quartz ProductionRun 28,PR000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,720dae1d85eb5835951396958a59b707720dae1d85eb5835951396958a59b707
29,PR000029,314,109,6,12,Orion ProductionRun 29,PR000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,624ca6e673d657b880878650914f975c624ca6e673d657b880878650914f975c
30,PR000030,173,446,12,1,Meridian ProductionRun 30,PR000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c7a93b5c19f564ab9ba75216cf10e032c7a93b5c19f564ab9ba75216cf10e03
31,PR000031,336,310,10,8,Summit ProductionRun 31,PR000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d67304184513544d8e91359885447576d67304184513544d8e91359885447576
32,PR000032,162,297,2,9,Evergreen ProductionRun 32,PR000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a2405175d83581aa9ff66b0e0c7e76b6a2405175d83581aa9ff66b0e0c7e76b
33,PR000033,398,29,10,5,Forge ProductionRun 33,PR000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d13fe3df5ffb524a8f39696b6c41006bd13fe3df5ffb524a8f39696b6c41006b
34,PR000034,88,381,6,11,Meridian ProductionRun 34,PR000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,100d536c6a7b57739aaa62f10b7b3507100d536c6a7b57739aaa62f10b7b3507
35,PR000035,238,240,5,2,Beacon ProductionRun 35,PR000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7729aee84ac15d90b852bde45579aebc7729aee84ac15d90b852bde45579aebc
36,PR000036,469,52,7,5,Vertex ProductionRun 36,PR000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89945c1e9c005137878f266f4439add889945c1e9c005137878f266f4439add8
37,PR000037,356,205,4,5,Forge ProductionRun 37,PR000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1cfa5ff9cd1b5f31841197fe15082d611cfa5ff9cd1b5f31841197fe15082d61
38,PR000038,448,45,8,12,Willow ProductionRun 38,PR000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee9cc253c0ed50bd9e6536422ee1e81cee9cc253c0ed50bd9e6536422ee1e81c
39,PR000039,206,166,7,4,Quartz ProductionRun 39,PR000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a81e7f2616553b09875b8938a907edf5a81e7f2616553b09875b8938a907edf
40,PR000040,104,227,11,10,Forge ProductionRun 40,PR000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b07a945c6505f05a524937d83946ad71b07a945c6505f05a524937d83946ad7
41,PR000041,106,146,9,3,Harbor ProductionRun 41,PR000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd2967e9bf635808adeed342da5c1fd8bd2967e9bf635808adeed342da5c1fd8
42,PR000042,252,41,7,2,Pioneer ProductionRun 42,PR000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cdeb091e9b715db39477797c2ae58848cdeb091e9b715db39477797c2ae58848
43,PR000043,333,251,9,1,Riverton ProductionRun 43,PR000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22536e2ac8295c84a854e0f813dc0cd822536e2ac8295c84a854e0f813dc0cd8
44,PR000044,426,74,9,3,Ion ProductionRun 44,PR000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45e5f0afbf77544ea25e60ba636c82b145e5f0afbf77544ea25e60ba636c82b1
45,PR000045,96,299,6,1,Summit ProductionRun 45,PR000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5be557ec60651d6a80494f64881f3b8f5be557ec60651d6a80494f64881f3b8
46,PR000046,186,11,4,8,Willow ProductionRun 46,PR000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f33d53915ade5d18baeecc5f9d76e3fbf33d53915ade5d18baeecc5f9d76e3fb
47,PR000047,46,336,9,9,Titan ProductionRun 47,PR000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,feffb3695a3e59db84b9a9c9dcefe541feffb3695a3e59db84b9a9c9dcefe541
48,PR000048,346,483,6,6,Titan ProductionRun 48,PR000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de855b9e784150e28962c1d1e761120ede855b9e784150e28962c1d1e761120e
49,PR000049,126,397,8,10,Evergreen ProductionRun 49,PR000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c9f99e7b4d65269b76c519760a5376c6c9f99e7b4d65269b76c519760a5376c
50,PR000050,238,65,10,9,Northstar ProductionRun 50,PR000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f22f808caff555f8c77751b3ea463f16f22f808caff555f8c77751b3ea463f1
51,PR000051,159,307,9,1,Pioneer ProductionRun 51,PR000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acd22b52d92652e89c74c971bd4427b8acd22b52d92652e89c74c971bd4427b8
52,PR000052,258,408,1,1,Cedar ProductionRun 52,PR000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36f8bb7b581b53cfaa5051b17764fd3b36f8bb7b581b53cfaa5051b17764fd3b
53,PR000053,259,349,5,7,Vertex ProductionRun 53,PR000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2502d70bb1e158b39dc5ddd177eb59f52502d70bb1e158b39dc5ddd177eb59f5
54,PR000054,57,13,5,2,Titan ProductionRun 54,PR000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f58607c53f635b0597bfdb0770e19d8ef58607c53f635b0597bfdb0770e19d8e
55,PR000055,162,376,5,10,Vertex ProductionRun 55,PR000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77d83a541daf5eb682f086a447cbb02177d83a541daf5eb682f086a447cbb021
56,PR000056,253,329,2,12,Evergreen ProductionRun 56,PR000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ccbbe9254f3e53faba9e1bf7fd94cc64ccbbe9254f3e53faba9e1bf7fd94cc64
57,PR000057,466,201,2,2,Summit ProductionRun 57,PR000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b1432e0a65c5dd780cfc6e8043eb9941b1432e0a65c5dd780cfc6e8043eb994
58,PR000058,89,448,3,10,Riverton ProductionRun 58,PR000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7a5fd59ec38536c86332fe7a08d36bcc7a5fd59ec38536c86332fe7a08d36bc
59,PR000059,488,358,3,12,Evergreen ProductionRun 59,PR000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8af188b4d9b65b09b1563d621be79e998af188b4d9b65b09b1563d621be79e99
60,PR000060,5,232,10,6,Junction ProductionRun 60,PR000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7379d5d6476564e8958ece6d196be53d7379d5d6476564e8958ece6d196be53
61,PR000061,8,427,2,10,Titan ProductionRun 61,PR000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e6664edc41650c08077a1912ce00ef97e6664edc41650c08077a1912ce00ef9
62,PR000062,259,428,4,10,Vertex ProductionRun 62,PR000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c91db51d243256628bd7336c6801e4ffc91db51d243256628bd7336c6801e4ff
63,PR000063,391,282,3,8,Keystone ProductionRun 63,PR000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98574c6beee05a7f8fc4f9aa8fe3024698574c6beee05a7f8fc4f9aa8fe30246
64,PR000064,500,228,7,9,Summit ProductionRun 64,PR000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f843e21395051738f379d94671ccfe13f843e21395051738f379d94671ccfe1
65,PR000065,425,119,4,6,Quartz ProductionRun 65,PR000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04fa173d08e35a93b59d52cfdab3c76704fa173d08e35a93b59d52cfdab3c767
66,PR000066,181,89,7,10,Northstar ProductionRun 66,PR000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,959525d169fb5d2d867940d323deb346959525d169fb5d2d867940d323deb346
67,PR000067,435,363,10,4,Atlas ProductionRun 67,PR000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e18dacb5f34759e08156ae876514e728e18dacb5f34759e08156ae876514e728
68,PR000068,332,409,4,9,Ion ProductionRun 68,PR000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01420ef141ab5917ba85cc9bca98e2da01420ef141ab5917ba85cc9bca98e2da
69,PR000069,349,251,7,8,Willow ProductionRun 69,PR000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff829c7878b95ea18b59aa3d4a010a0cff829c7878b95ea18b59aa3d4a010a0c
70,PR000070,321,370,9,12,Junction ProductionRun 70,PR000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96f18876a8b35b92b27020141a220fe196f18876a8b35b92b27020141a220fe1
71,PR000071,422,276,3,7,Keystone ProductionRun 71,PR000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef96a0352c555688a57bffa37fd23461ef96a0352c555688a57bffa37fd23461
72,PR000072,402,137,4,7,Delta ProductionRun 72,PR000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4dc94ff633e5c5aa481ff040f1b8f56b4dc94ff633e5c5aa481ff040f1b8f56
73,PR000073,51,32,2,3,Unity ProductionRun 73,PR000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86f9959aff135fa1a7490efe4238240286f9959aff135fa1a7490efe42382402
74,PR000074,37,193,4,11,Zenith ProductionRun 74,PR000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a37274b311535625aea01ae87ba7cd02a37274b311535625aea01ae87ba7cd02
75,PR000075,395,471,3,4,Northstar ProductionRun 75,PR000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,acfb1e0cdae556eca5e41b65136a06f9acfb1e0cdae556eca5e41b65136a06f9
76,PR000076,339,268,5,9,Beacon ProductionRun 76,PR000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d1959c36fef56389a26778eaec1aa886d1959c36fef56389a26778eaec1aa88
77,PR000077,149,360,6,2,Keystone ProductionRun 77,PR000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd2ca41c2efe5a679e35023ea2c4852dfd2ca41c2efe5a679e35023ea2c4852d
78,PR000078,111,433,11,1,Willow ProductionRun 78,PR000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4763a1904b6c585d82ac0a4756b1e1064763a1904b6c585d82ac0a4756b1e106
79,PR000079,431,390,9,10,Northstar ProductionRun 79,PR000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4e6989b0f765c87822d03029e2a66bfa4e6989b0f765c87822d03029e2a66bf
80,PR000080,95,13,1,6,Zenith ProductionRun 80,PR000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1601cf77328e5cc0ba4096b2ea1851901601cf77328e5cc0ba4096b2ea185190
81,PR000081,475,262,9,6,Granite ProductionRun 81,PR000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a38fe404f74458919e20c12bf655b66ba38fe404f74458919e20c12bf655b66b
82,PR000082,300,276,3,9,Liberty ProductionRun 82,PR000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37d503f886445f0990aa972668fac8cc37d503f886445f0990aa972668fac8cc
83,PR000083,327,256,10,12,Beacon ProductionRun 83,PR000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae1fe147b58957d18236f93a3c7d6d2fae1fe147b58957d18236f93a3c7d6d2f
84,PR000084,189,495,1,3,Titan ProductionRun 84,PR000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aaca55cf6cdd5fe2918eb551cbb134c7aaca55cf6cdd5fe2918eb551cbb134c7
85,PR000085,223,417,9,11,Evergreen ProductionRun 85,PR000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b69b2068ae335ea4ab6154bbdd650aa6b69b2068ae335ea4ab6154bbdd650aa6
86,PR000086,172,372,9,9,Keystone ProductionRun 86,PR000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a22e5b970ce25b7fad935d4792eb3bb3a22e5b970ce25b7fad935d4792eb3bb3
87,PR000087,232,374,12,10,Granite ProductionRun 87,PR000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,780c091ea42c502987cad0aa09260b07780c091ea42c502987cad0aa09260b07
88,PR000088,398,235,3,7,Meridian ProductionRun 88,PR000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c7d8379428c555e9ea39d77adccf2c15c7d8379428c555e9ea39d77adccf2c1
89,PR000089,414,227,12,2,Northstar ProductionRun 89,PR000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f11811888571501c8daa69acd509ca2cf11811888571501c8daa69acd509ca2c
90,PR000090,210,128,4,5,Granite ProductionRun 90,PR000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f6a5bca051154d99951e51ebbae616b1f6a5bca051154d99951e51ebbae616b
91,PR000091,78,259,7,12,Junction ProductionRun 91,PR000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e0f65a4e3d756cea678480bc317231b8e0f65a4e3d756cea678480bc317231b
92,PR000092,102,196,9,7,Pioneer ProductionRun 92,PR000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c11ecd8c2da05d55ab702fc5ced85221c11ecd8c2da05d55ab702fc5ced85221
93,PR000093,54,308,9,12,Unity ProductionRun 93,PR000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb766ac043bf5dadb65efb4226071a98bb766ac043bf5dadb65efb4226071a98
94,PR000094,322,13,7,1,Delta ProductionRun 94,PR000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cd2a4f42a925ad88a56ac67d4715f4b8cd2a4f42a925ad88a56ac67d4715f4b
95,PR000095,227,236,5,10,Junction ProductionRun 95,PR000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a026e62b0d025f2a9fe267e61839671aa026e62b0d025f2a9fe267e61839671a
96,PR000096,224,476,11,4,Harbor ProductionRun 96,PR000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4dd3db5b4065dc4bdf9ac585acdf9b8f4dd3db5b4065dc4bdf9ac585acdf9b8
97,PR000097,343,423,2,7,Zenith ProductionRun 97,PR000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df689daa273656b183de967563daea86df689daa273656b183de967563daea86
98,PR000098,379,445,11,8,Northstar ProductionRun 98,PR000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b069ac24c5659c195ada34ae95e7c1e0b069ac24c5659c195ada34ae95e7c1e
99,PR000099,35,423,6,6,Atlas ProductionRun 99,PR000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af170093e7b150fca26aac0424760672af170093e7b150fca26aac0424760672
100,PR000100,209,432,3,8,Beacon ProductionRun 100,PR000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d76129068f955e480e01f2ae86192d01d76129068f955e480e01f2ae86192d0
101,PR000101,476,294,8,2,Beacon ProductionRun 101,PR000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d5d83b386a75635b3521bf2f366e3d34d5d83b386a75635b3521bf2f366e3d3
