LogisticsCustomsDeclarationKey,CustomsDeclarationNumber,LogisticsShipmentHeaderKey,LogisticsTariffItemKey,LogisticsCustomsStatusKey,OriginCountryKey,DestinationCountryKey,CurrencyKey,CustomsEntryNumber,DeclarationValueAmount,FilingDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
37,LCD000037,427,482,5,95,28,1,LCD000037,60.6900,2020-02-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc2ebb4eeed35bfe90477b0bbb8ba45bcc2ebb4eeed35bfe90477b0bbb8ba45b
38,LCD000038,379,159,9,199,242,5,LCD000038,62.0600,2020-02-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40681199231c5e57b3374851f6c1e30840681199231c5e57b3374851f6c1e308
39,LCD000039,96,341,1,99,82,2,LCD000039,63.4300,2020-02-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a9d786a76ea56f884fe62f02c91e99b0a9d786a76ea56f884fe62f02c91e99b
40,LCD000040,353,404,9,146,115,3,LCD000040,64.8000,2020-02-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbd707f42eae50af8cc7b07304b07b72bbd707f42eae50af8cc7b07304b07b72
41,LCD000041,470,484,1,47,244,5,LCD000041,66.1700,2020-02-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54d4b5e59c0251aca886fbf62c66a0f154d4b5e59c0251aca886fbf62c66a0f1
42,LCD000042,210,372,1,195,121,5,LCD000042,67.5400,2020-02-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,768a6d070f885156948c2761497e7cf2768a6d070f885156948c2761497e7cf2
43,LCD000043,61,239,8,58,204,3,LCD000043,68.9100,2020-02-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07013acf98875ec28e5279284c26bae607013acf98875ec28e5279284c26bae6
44,LCD000044,353,260,4,221,69,5,LCD000044,70.2800,2020-02-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9148578b9b435f2da9b7b1358ee585ef9148578b9b435f2da9b7b1358ee585ef
45,LCD000045,156,364,7,227,25,1,LCD000045,71.6500,2020-02-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83ba56c1a8ef5e2a871679fe559144d983ba56c1a8ef5e2a871679fe559144d9
46,LCD000046,58,109,1,84,155,1,LCD000046,73.0200,2020-02-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f05f5061cbcf5e798b52a92d504f179bf05f5061cbcf5e798b52a92d504f179b
47,LCD000047,360,69,7,30,76,2,LCD000047,74.3900,2020-02-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fedb99b8707751f49a9f6ad0fd59f80bfedb99b8707751f49a9f6ad0fd59f80b
48,LCD000048,154,492,6,87,6,1,LCD000048,75.7600,2020-02-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,426d148a7f885c63a1d7f42294cad692426d148a7f885c63a1d7f42294cad692
49,LCD000049,327,168,8,237,101,1,LCD000049,77.1300,2020-02-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe6160573d965ca29dba8205a89029abfe6160573d965ca29dba8205a89029ab
50,LCD000050,418,138,3,13,110,5,LCD000050,78.5000,2020-02-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7a4b286df1b5a16ba723aeb86aa4489a7a4b286df1b5a16ba723aeb86aa4489
51,LCD000051,56,465,1,111,99,5,LCD000051,79.8700,2020-02-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf4b220e0bca5c678590d9d5d925afd9bf4b220e0bca5c678590d9d5d925afd9
52,LCD000052,95,428,6,49,60,2,LCD000052,81.2400,2020-02-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19fb1a0db6cc5061b6c9325762133c6419fb1a0db6cc5061b6c9325762133c64
53,LCD000053,89,196,8,231,144,1,LCD000053,82.6100,2020-02-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c9863c017d75859b173da738767dac85c9863c017d75859b173da738767dac8
54,LCD000054,320,237,5,238,159,2,LCD000054,83.9800,2020-02-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10bfcf9041c154e4863ea31ea5b5090410bfcf9041c154e4863ea31ea5b50904
55,LCD000055,191,494,8,88,7,1,LCD000055,85.3500,2020-02-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25827388a2c9579da4f62e79013e699c25827388a2c9579da4f62e79013e699c
56,LCD000056,139,219,2,227,58,1,LCD000056,86.7200,2020-02-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4573d8df171d552181aff969b19f4c7f4573d8df171d552181aff969b19f4c7f
57,LCD000057,390,340,10,249,188,4,LCD000057,88.0900,2020-02-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ebce5f884625dc6a0d611175c7586db1ebce5f884625dc6a0d611175c7586db
58,LCD000058,88,225,9,81,119,3,LCD000058,89.4600,2020-02-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f672b3c14fed511895c388ebab7a2be5f672b3c14fed511895c388ebab7a2be5
59,LCD000059,95,307,3,191,232,4,LCD000059,90.8300,2020-02-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,014c9c19aee95dc596c176861d34411f014c9c19aee95dc596c176861d34411f
60,LCD000060,369,474,4,80,110,3,LCD000060,92.2000,2020-03-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bbdbc62d90715dde96d105d2094efddabbdbc62d90715dde96d105d2094efdda
61,LCD000061,55,21,7,123,29,5,LCD000061,93.5700,2020-03-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d6daeccd44935b24b1f0551e5a2a3011d6daeccd44935b24b1f0551e5a2a3011
62,LCD000062,164,262,7,69,124,1,LCD000062,94.9400,2020-03-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e53de003a2b35ddead941bd995509418e53de003a2b35ddead941bd995509418
63,LCD000063,88,106,9,66,80,2,LCD000063,96.3100,2020-03-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdfe7ffacfb65e9e86f69dae9b72a214bdfe7ffacfb65e9e86f69dae9b72a214
64,LCD000064,440,110,6,167,125,5,LCD000064,97.6800,2020-03-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b06637b4c475508195724e332abeaebdb06637b4c475508195724e332abeaebd
65,LCD000065,495,342,1,226,199,1,LCD000065,99.0500,2020-03-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bdf5354bed15b909d0ffcff75f83bc59bdf5354bed15b909d0ffcff75f83bc5
66,LCD000066,216,32,4,158,221,2,LCD000066,100.4200,2020-03-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17e8efd93f0e5c20a6122b87c4a93cec17e8efd93f0e5c20a6122b87c4a93cec
67,LCD000067,100,231,2,155,243,2,LCD000067,101.7900,2020-03-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,943b3929673c5be4968c781757982cb6943b3929673c5be4968c781757982cb6
68,LCD000068,294,463,7,64,153,1,LCD000068,103.1600,2020-03-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b333cb6ab675834a67faa6ae3e49d522b333cb6ab675834a67faa6ae3e49d52
69,LCD000069,7,463,1,54,23,1,LCD000069,104.5300,2020-03-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3128f0ce34715f1d82959c864c4ae3183128f0ce34715f1d82959c864c4ae318
70,LCD000070,39,278,6,73,170,5,LCD000070,105.9000,2020-03-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0f43784f2ad4590abcdfb4fd939623580f43784f2ad4590abcdfb4fd93962358
71,LCD000071,97,154,5,61,50,3,LCD000071,107.2700,2020-03-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b34b7d723fe5f208863cee3fcefd00e4b34b7d723fe5f208863cee3fcefd00e
72,LCD000072,21,383,7,67,8,2,LCD000072,108.6400,2020-03-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66fbdafed13a5a84bd744327ab1ff9ed66fbdafed13a5a84bd744327ab1ff9ed
73,LCD000073,161,9,4,28,179,2,LCD000073,110.0100,2020-03-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a160851ecd7352a586529460a5220d2fa160851ecd7352a586529460a5220d2f
74,LCD000074,270,398,1,5,29,5,LCD000074,111.3800,2020-03-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f605b2efe545f868964ea8d52d922de8f605b2efe545f868964ea8d52d922de
75,LCD000075,388,6,5,153,57,5,LCD000075,112.7500,2020-03-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1af4970d6eb5683803407b5da4950ead1af4970d6eb5683803407b5da4950ea
76,LCD000076,115,249,4,18,137,5,LCD000076,114.1200,2020-03-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64784efef27c573eb54e2190e8b2c4d864784efef27c573eb54e2190e8b2c4d8
77,LCD000077,436,54,3,201,134,1,LCD000077,115.4900,2020-03-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3db7faa6b725c0db68670650ee673b8c3db7faa6b725c0db68670650ee673b8
78,LCD000078,299,473,10,53,25,2,LCD000078,116.8600,2020-03-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bffc7ddd65275fe59a036c3e376c86d4bffc7ddd65275fe59a036c3e376c86d4
79,LCD000079,448,478,5,97,65,2,LCD000079,118.2300,2020-03-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db4d71b435d659048734fff4bc54fd62db4d71b435d659048734fff4bc54fd62
80,LCD000080,290,459,2,156,110,3,LCD000080,119.6000,2020-03-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87b4be28f9de5d008f59e15734198bd787b4be28f9de5d008f59e15734198bd7
81,LCD000081,174,289,9,143,105,4,LCD000081,120.9700,2020-03-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,007cd922046456d6ba77419c88fe51e2007cd922046456d6ba77419c88fe51e2
82,LCD000082,386,462,1,119,226,5,LCD000082,122.3400,2020-03-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9827b5f9446e541bad1dc63c2f94b6e19827b5f9446e541bad1dc63c2f94b6e1
83,LCD000083,482,223,2,242,170,3,LCD000083,123.7100,2020-03-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af7843c64e4c5f23b9e870fe1f3560adaf7843c64e4c5f23b9e870fe1f3560ad
84,LCD000084,480,128,9,15,149,2,LCD000084,125.0800,2020-03-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7485c624c5325212b9c9c015ca8081bd7485c624c5325212b9c9c015ca8081bd
85,LCD000085,113,63,9,26,34,5,LCD000085,126.4500,2020-03-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4907faf9df0d517aafaebaf8646b73354907faf9df0d517aafaebaf8646b7335
86,LCD000086,319,293,2,141,175,1,LCD000086,127.8200,2020-03-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93aaff4395855a5583e0744f2167d94993aaff4395855a5583e0744f2167d949
87,LCD000087,318,285,1,131,237,4,LCD000087,129.1900,2020-03-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,180e674949345aa9941ff90e1f850fdb180e674949345aa9941ff90e1f850fdb
88,LCD000088,14,462,3,153,175,3,LCD000088,130.5600,2020-03-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,824302e2d7325b6ea11867e3bc571774824302e2d7325b6ea11867e3bc571774
89,LCD000089,261,87,9,163,115,5,LCD000089,131.9300,2020-03-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56db09fb3c51501ca5c61598be6966dc56db09fb3c51501ca5c61598be6966dc
90,LCD000090,208,462,10,100,216,1,LCD000090,133.3000,2020-03-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b82b6f6c20d7581bbc1e7143b6c42381b82b6f6c20d7581bbc1e7143b6c42381
91,LCD000091,105,104,6,173,228,5,LCD000091,134.6700,2020-04-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07888fa5afb35e10a8fb855091c0e35d07888fa5afb35e10a8fb855091c0e35d
92,LCD000092,147,58,10,84,122,2,LCD000092,136.0400,2020-04-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eea9f236e13650e0a236879734c033faeea9f236e13650e0a236879734c033fa
93,LCD000093,436,228,9,188,241,4,LCD000093,137.4100,2020-04-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b928fdd591c58f382d97ded83d2c1748b928fdd591c58f382d97ded83d2c174
94,LCD000094,377,351,5,115,240,3,LCD000094,138.7800,2020-04-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5561966e6b185afcab6c0a707da089145561966e6b185afcab6c0a707da08914
95,LCD000095,131,148,1,226,241,2,LCD000095,140.1500,2020-04-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f8a7952d2125b4d86b37219a486d06c2f8a7952d2125b4d86b37219a486d06c
96,LCD000096,250,16,8,6,4,2,LCD000096,141.5200,2020-04-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee4db9359c1452e4b61211a9d7d1b7dbee4db9359c1452e4b61211a9d7d1b7db
97,LCD000097,57,193,2,128,85,1,LCD000097,142.8900,2020-04-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,214416db048950deb03f5f151eae1c05214416db048950deb03f5f151eae1c05
98,LCD000098,297,73,5,26,157,2,LCD000098,144.2600,2020-04-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,64834aa93ed95dcaa0e039b20f433d5464834aa93ed95dcaa0e039b20f433d54
99,LCD000099,74,179,8,87,184,5,LCD000099,145.6300,2020-04-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a8f9b5ad5555883aff3573b9808f6767a8f9b5ad5555883aff3573b9808f676
100,LCD000100,433,51,2,159,60,5,LCD000100,147.0000,2020-04-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a04bb9f69520507ab6a95719ad1d34cba04bb9f69520507ab6a95719ad1d34cb
101,LCD000101,73,458,5,53,199,2,LCD000101,148.3700,2020-04-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7d86406fd4d5b0386062117b80192fcd7d86406fd4d5b0386062117b80192fc
102,LCD000102,144,223,4,118,103,2,LCD000102,149.7400,2020-04-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ae5454c31bd518ebafa47af5116c07c1ae5454c31bd518ebafa47af5116c07c
103,LCD000103,189,378,2,235,231,5,LCD000103,151.1100,2020-04-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef85dee845e75d24af4cdae8bc7fe8c1ef85dee845e75d24af4cdae8bc7fe8c1
