EnergyEfficiencyProjectKey,EfficiencyProjectNumber,PlantKey,EnergyEfficiencyMeasureKey,CostCenterKey,EnergyEfficiencyProjectStatusKey,CurrencyKey,EfficiencyProjectName,EstimatedSavingsAmount,EstimatedAnnualSavingsQuantity,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
13,EEP000013,315,303,21,4,5,Quartz EnergyEfficiencyProject 13,27.8100,9.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16882fb693e45b7daeb82d2cdf4e47e516882fb693e45b7daeb82d2cdf4e47e5
14,EEP000014,349,254,454,6,1,Orion EnergyEfficiencyProject 14,29.1800,9.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5441aca02c65da58edeb06e0ba5b7def5441aca02c65da58edeb06e0ba5b7de
15,EEP000015,69,149,224,7,3,Evergreen EnergyEfficiencyProject 15,30.5500,10.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0560f5f63ca05d8b8ffd87820180b0eb0560f5f63ca05d8b8ffd87820180b0eb
16,EEP000016,283,6,108,3,3,Atlas EnergyEfficiencyProject 16,31.9200,11.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2d0ab96e8c15d5da2b889b91633d484f2d0ab96e8c15d5da2b889b91633d484
17,EEP000017,349,497,-1,5,3,Zenith EnergyEfficiencyProject 17,33.2900,12.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ad1d0e0c9f2d5243b9420a70edfd39fcad1d0e0c9f2d5243b9420a70edfd39fc
18,EEP000018,31,320,481,5,2,Unity EnergyEfficiencyProject 18,34.6600,12.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dd2605f1d355170817d43a1b6f60d234dd2605f1d355170817d43a1b6f60d23
19,EEP000019,113,41,42,5,2,Unity EnergyEfficiencyProject 19,36.0300,13.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,843906b57ba957c48b8a3066b7d81747843906b57ba957c48b8a3066b7d81747
20,EEP000020,99,480,184,7,5,Granite EnergyEfficiencyProject 20,37.4000,14.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1877f666f3ed5ec68dd128958359eb6d1877f666f3ed5ec68dd128958359eb6d
21,EEP000021,151,424,13,1,1,Cedar EnergyEfficiencyProject 21,38.7700,14.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c2ef7f8e14e5d2d95b15c18ad6a30a71c2ef7f8e14e5d2d95b15c18ad6a30a7
22,EEP000022,84,197,205,7,4,Meridian EnergyEfficiencyProject 22,40.1400,15.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7da3571c1e5157a3b8787621708ae6b07da3571c1e5157a3b8787621708ae6b0
23,EEP000023,224,162,421,7,5,Pioneer EnergyEfficiencyProject 23,41.5100,16.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,28b3152f18ec5aed9143be073a543aa628b3152f18ec5aed9143be073a543aa6
24,EEP000024,16,63,33,5,3,Pioneer EnergyEfficiencyProject 24,42.8800,16.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a6e5bcba9775176b54538580b07826d7a6e5bcba9775176b54538580b07826d
25,EEP000025,196,481,350,1,3,Titan EnergyEfficiencyProject 25,44.2500,17.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2ccedf095bd65bfe826e1ec3c17cae1c2ccedf095bd65bfe826e1ec3c17cae1c
26,EEP000026,60,312,243,7,1,Pioneer EnergyEfficiencyProject 26,45.6200,18.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48a912a4eb335b1ab97320848811808248a912a4eb335b1ab973208488118082
27,EEP000027,57,457,466,3,1,Unity EnergyEfficiencyProject 27,46.9900,19.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9541172a03d5a1f82594752ff320789d9541172a03d5a1f82594752ff320789
28,EEP000028,210,376,307,3,4,Delta EnergyEfficiencyProject 28,48.3600,19.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17cb8da363b05971ac0426d4e97c08f717cb8da363b05971ac0426d4e97c08f7
29,EEP000029,180,202,104,6,4,Willow EnergyEfficiencyProject 29,49.7300,20.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa6252951b8b5ac8848bbd395ea7b642aa6252951b8b5ac8848bbd395ea7b642
30,EEP000030,256,199,466,1,1,Quartz EnergyEfficiencyProject 30,51.1000,21.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26a81015d1fb5339bfab9432989553d426a81015d1fb5339bfab9432989553d4
31,EEP000031,298,190,291,6,4,Forge EnergyEfficiencyProject 31,52.4700,21.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fb6f7dae8165b48b66b543d91175e568fb6f7dae8165b48b66b543d91175e56
32,EEP000032,246,432,181,7,3,Ion EnergyEfficiencyProject 32,53.8400,22.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b2daaf465cf45386981c03efaa947668b2daaf465cf45386981c03efaa947668
33,EEP000033,180,206,220,2,2,Vertex EnergyEfficiencyProject 33,55.2100,23.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92346b05dd445f7787460e91df46bb7f92346b05dd445f7787460e91df46bb7f
34,EEP000034,70,428,-1,3,3,Forge EnergyEfficiencyProject 34,56.5800,23.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86b4fc10fe665f89b868e4d4f29147bf86b4fc10fe665f89b868e4d4f29147bf
35,EEP000035,172,387,188,2,2,Summit EnergyEfficiencyProject 35,57.9500,24.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66eba22d3f9b5aa88636d2c6dd7c25e066eba22d3f9b5aa88636d2c6dd7c25e0
36,EEP000036,251,484,297,7,5,Harbor EnergyEfficiencyProject 36,59.3200,25.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d7841f7eb8857a2b2d3129bb10427f46d7841f7eb8857a2b2d3129bb10427f4
37,EEP000037,242,360,274,3,5,Evergreen EnergyEfficiencyProject 37,60.6900,26.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29751614a6055650972c93840d63e39829751614a6055650972c93840d63e398
38,EEP000038,102,280,425,2,4,Evergreen EnergyEfficiencyProject 38,62.0600,26.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,570bd6426e8d56cea103def1cc94e5ac570bd6426e8d56cea103def1cc94e5ac
39,EEP000039,309,279,40,6,2,Titan EnergyEfficiencyProject 39,63.4300,27.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d630cd1cbd7d55f08580e37c23b65f67d630cd1cbd7d55f08580e37c23b65f67
40,EEP000040,87,345,282,5,2,Liberty EnergyEfficiencyProject 40,64.8000,28.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8233243824165b7b8bc6dd46123e64748233243824165b7b8bc6dd46123e6474
41,EEP000041,288,273,470,5,4,Ion EnergyEfficiencyProject 41,66.1700,28.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c749010c66b05be99aeddbc5b43035bfc749010c66b05be99aeddbc5b43035bf
42,EEP000042,17,400,411,6,1,Delta EnergyEfficiencyProject 42,67.5400,29.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b9c8d078814d5350a51ed74d89ce43e6b9c8d078814d5350a51ed74d89ce43e6
43,EEP000043,203,470,298,2,4,Ion EnergyEfficiencyProject 43,68.9100,30.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f81007c42426542b9cc4103ad073cec5f81007c42426542b9cc4103ad073cec5
44,EEP000044,148,333,50,7,1,Granite EnergyEfficiencyProject 44,70.2800,30.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b4373bfe07a51ffb1aab4cf0e6f950a7b4373bfe07a51ffb1aab4cf0e6f950a
45,EEP000045,194,414,17,5,4,Pioneer EnergyEfficiencyProject 45,71.6500,31.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a66025400425ef6923639a2901ba4dc2a66025400425ef6923639a2901ba4dc
46,EEP000046,4,258,53,6,1,Granite EnergyEfficiencyProject 46,73.0200,32.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d7127f144f658cb940300dfb22afcbc7d7127f144f658cb940300dfb22afcbc
47,EEP000047,52,122,371,2,2,Junction EnergyEfficiencyProject 47,74.3900,33.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a33aa2761b55b2297538b420f7ae7061a33aa2761b55b2297538b420f7ae706
48,EEP000048,96,139,129,2,3,Willow EnergyEfficiencyProject 48,75.7600,33.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a33cfc8a78d5c5097a96ba0951851850a33cfc8a78d5c5097a96ba095185185
49,EEP000049,164,46,166,2,3,Cedar EnergyEfficiencyProject 49,77.1300,34.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d67fb61f15415f65b7b6a751a0ff9255d67fb61f15415f65b7b6a751a0ff9255
50,EEP000050,167,56,466,6,1,Granite EnergyEfficiencyProject 50,78.5000,35.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8049ddb1250b5d6bae016abe0cb6b8d58049ddb1250b5d6bae016abe0cb6b8d5
51,EEP000051,321,256,-1,3,4,Pioneer EnergyEfficiencyProject 51,79.8700,35.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a86d38747b65824ac17bcd658ef10d77a86d38747b65824ac17bcd658ef10d7
52,EEP000052,231,272,370,6,2,Titan EnergyEfficiencyProject 52,81.2400,36.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,221a4216bca557bdbc2567eb8ab9e8af221a4216bca557bdbc2567eb8ab9e8af
53,EEP000053,8,130,287,8,3,Titan EnergyEfficiencyProject 53,82.6100,37.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ed2d345c8de5c7d8b09bbd09146abe74ed2d345c8de5c7d8b09bbd09146abe7
54,EEP000054,1,361,465,1,5,Granite EnergyEfficiencyProject 54,83.9800,37.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c2954aa5e1355b5bd56a38070dcbfda5c2954aa5e1355b5bd56a38070dcbfda
55,EEP000055,296,350,491,7,3,Atlas EnergyEfficiencyProject 55,85.3500,38.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab60b7bccc255fda8c1461756e419f39ab60b7bccc255fda8c1461756e419f39
56,EEP000056,63,333,371,5,2,Beacon EnergyEfficiencyProject 56,86.7200,39.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69bc1edb49d45e78a17c0ec99cece5cd69bc1edb49d45e78a17c0ec99cece5cd
57,EEP000057,65,159,316,6,4,Willow EnergyEfficiencyProject 57,88.0900,40.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5c18638143657998fefa05d511c593de5c18638143657998fefa05d511c593d
58,EEP000058,208,388,60,1,1,Vertex EnergyEfficiencyProject 58,89.4600,40.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,918431f5e035523ba82295253f0fae56918431f5e035523ba82295253f0fae56
59,EEP000059,310,302,461,5,4,Quartz EnergyEfficiencyProject 59,90.8300,41.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee3911d9b8e65ad982ff912d60cebcf5ee3911d9b8e65ad982ff912d60cebcf5
60,EEP000060,224,402,436,8,1,Ion EnergyEfficiencyProject 60,92.2000,42.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,643bd88bb1f65381bc7418602ea4f430643bd88bb1f65381bc7418602ea4f430
61,EEP000061,19,139,70,2,4,Titan EnergyEfficiencyProject 61,93.5700,42.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45f23326d7e25b6e9b3a8e50776fb78445f23326d7e25b6e9b3a8e50776fb784
62,EEP000062,28,118,75,1,5,Zenith EnergyEfficiencyProject 62,94.9400,43.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,666737f8ae945572b132221867a41f8e666737f8ae945572b132221867a41f8e
63,EEP000063,234,259,451,5,5,Liberty EnergyEfficiencyProject 63,96.3100,44.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c25a23c1f03a5e9cbf023e6003cb0fd2c25a23c1f03a5e9cbf023e6003cb0fd2
64,EEP000064,173,81,173,2,5,Pioneer EnergyEfficiencyProject 64,97.6800,44.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10b52151ebcf5b8b9cf155250358387e10b52151ebcf5b8b9cf155250358387e
65,EEP000065,36,326,351,5,4,Junction EnergyEfficiencyProject 65,99.0500,45.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39d315c1103c50f2892a24de427fc0fb39d315c1103c50f2892a24de427fc0fb
66,EEP000066,221,148,271,3,3,Delta EnergyEfficiencyProject 66,100.4200,46.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0efdd8cc85c55cd5a2c23143d1e6da8e0efdd8cc85c55cd5a2c23143d1e6da8e
67,EEP000067,130,50,292,4,3,Delta EnergyEfficiencyProject 67,101.7900,47.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff8e46c64bb35bf48ee601f5bfd7404fff8e46c64bb35bf48ee601f5bfd7404f
68,EEP000068,48,350,-1,6,1,Forge EnergyEfficiencyProject 68,103.1600,47.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,785be55023db54daad600419af955aa8785be55023db54daad600419af955aa8
69,EEP000069,138,325,123,8,1,Quartz EnergyEfficiencyProject 69,104.5300,48.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a71b2e26fe75555092cadb9221b45bd4a71b2e26fe75555092cadb9221b45bd4
70,EEP000070,124,141,229,5,3,Cedar EnergyEfficiencyProject 70,105.9000,49.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,381a5c9ead735c88ac81e64fd5e9369e381a5c9ead735c88ac81e64fd5e9369e
71,EEP000071,112,146,195,5,1,Harbor EnergyEfficiencyProject 71,107.2700,49.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dada125146295dedb34748711f7f9d33dada125146295dedb34748711f7f9d33
72,EEP000072,132,282,35,3,5,Quartz EnergyEfficiencyProject 72,108.6400,50.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,746120f648cd5b8fa718cf2a1fcfaa62746120f648cd5b8fa718cf2a1fcfaa62
73,EEP000073,314,217,109,4,3,Evergreen EnergyEfficiencyProject 73,110.0100,51.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,507459eba08151cb9c1888ea62487422507459eba08151cb9c1888ea62487422
74,EEP000074,138,472,346,1,2,Keystone EnergyEfficiencyProject 74,111.3800,51.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dedc395f721d5b06b7948ccd09ab8951dedc395f721d5b06b7948ccd09ab8951
75,EEP000075,171,258,200,4,1,Ion EnergyEfficiencyProject 75,112.7500,52.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6db3a4c30f55ffdb9853a7351c72cb8a6db3a4c30f55ffdb9853a7351c72cb8
76,EEP000076,208,466,453,4,3,Liberty EnergyEfficiencyProject 76,114.1200,53.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b41b3c1b4dfb54128e456dd772c8b17bb41b3c1b4dfb54128e456dd772c8b17b
77,EEP000077,83,484,117,5,3,Evergreen EnergyEfficiencyProject 77,115.4900,54.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbfef247a90f53f5a1a7cb53893ae03edbfef247a90f53f5a1a7cb53893ae03e
78,EEP000078,143,231,262,4,4,Harbor EnergyEfficiencyProject 78,116.8600,54.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a98cd0f8a2b5bec8917153fb6a243a81a98cd0f8a2b5bec8917153fb6a243a8
79,EEP000079,271,319,154,5,5,Zenith EnergyEfficiencyProject 79,118.2300,55.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1748414c8e55ca0832fe580834aa10af1748414c8e55ca0832fe580834aa10a
80,EEP000080,96,329,348,1,3,Northstar EnergyEfficiencyProject 80,119.6000,56.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,107378d061bf558095c0dd45c7226e88107378d061bf558095c0dd45c7226e88
81,EEP000081,325,337,291,8,5,Ion EnergyEfficiencyProject 81,120.9700,56.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8dbc9b495e305703b26dff0acfb7c5748dbc9b495e305703b26dff0acfb7c574
82,EEP000082,19,472,225,2,4,Unity EnergyEfficiencyProject 82,122.3400,57.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83d2392366625019be1707564b4f043a83d2392366625019be1707564b4f043a
83,EEP000083,295,127,402,8,4,Liberty EnergyEfficiencyProject 83,123.7100,58.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,459a1b2b9ddc50f197a844a4a62d2772459a1b2b9ddc50f197a844a4a62d2772
84,EEP000084,101,281,400,4,4,Unity EnergyEfficiencyProject 84,125.0800,58.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6e7b1cc6a8b52d68f0c449a6a5828cdc6e7b1cc6a8b52d68f0c449a6a5828cd
85,EEP000085,162,198,-1,7,4,Cedar EnergyEfficiencyProject 85,126.4500,59.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da9d34b53e4d51dc861effc3887cd29fda9d34b53e4d51dc861effc3887cd29f
86,EEP000086,308,316,255,7,3,Summit EnergyEfficiencyProject 86,127.8200,60.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c20b75128975ea7bee5da2872a188459c20b75128975ea7bee5da2872a18845
87,EEP000087,154,403,232,5,1,Meridian EnergyEfficiencyProject 87,129.1900,61.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff80834024395283a3a9ecb542441d0fff80834024395283a3a9ecb542441d0f
88,EEP000088,173,347,318,2,4,Ion EnergyEfficiencyProject 88,130.5600,61.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d4432f8844a51cf8a455aefc35887530d4432f8844a51cf8a455aefc3588753
89,EEP000089,246,164,208,1,2,Zenith EnergyEfficiencyProject 89,131.9300,62.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,75e2b40e61265a8da528e20c01b3b24e75e2b40e61265a8da528e20c01b3b24e
90,EEP000090,33,370,183,2,1,Meridian EnergyEfficiencyProject 90,133.3000,63.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,635312e323335db39c3de113d41a1ba4635312e323335db39c3de113d41a1ba4
91,EEP000091,22,476,164,5,4,Ion EnergyEfficiencyProject 91,134.6700,63.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a5be663b16b5146b7321e49596cbefa9a5be663b16b5146b7321e49596cbefa
92,EEP000092,301,80,458,6,4,Evergreen EnergyEfficiencyProject 92,136.0400,64.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2133d8da26c35b73b95635cf50dd05892133d8da26c35b73b95635cf50dd0589
93,EEP000093,209,67,443,8,5,Delta EnergyEfficiencyProject 93,137.4100,65.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee1eb00bca265b5bbb1af53b642434c1ee1eb00bca265b5bbb1af53b642434c1
94,EEP000094,317,165,99,4,2,Meridian EnergyEfficiencyProject 94,138.7800,65.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,121f9858f82c5d57bda038b3ee9b995a121f9858f82c5d57bda038b3ee9b995a
95,EEP000095,281,449,153,6,1,Meridian EnergyEfficiencyProject 95,140.1500,66.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3740ba987d7e524fac130a488ebbcfc63740ba987d7e524fac130a488ebbcfc6
96,EEP000096,31,281,279,2,3,Summit EnergyEfficiencyProject 96,141.5200,67.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16d3a80546a25434b897a6603d1edf0116d3a80546a25434b897a6603d1edf01
