ProductionProcessCellKey,ProductionProcessCellCode,ProductionProcessLineKey,ProductionProcessCellName,SourceSystemKey,BatchId,LoadedAtUtc
28,PPC000028,33,Junction ProductionProcessCell 28,1,1,2026-08-24T00:00:00.000
29,PPC000029,45,Evergreen ProductionProcessCell 29,1,1,2026-08-24T00:00:00.000
30,PPC000030,40,Granite ProductionProcessCell 30,1,1,2026-08-24T00:00:00.000
31,PPC000031,42,Granite ProductionProcessCell 31,1,1,2026-08-24T00:00:00.000
32,PPC000032,34,Pioneer ProductionProcessCell 32,1,1,2026-08-24T00:00:00.000
33,PPC000033,48,Granite ProductionProcessCell 33,1,1,2026-08-24T00:00:00.000
34,PPC000034,49,Summit ProductionProcessCell 34,1,1,2026-08-24T00:00:00.000
35,PPC000035,25,Meridian ProductionProcessCell 35,1,1,2026-08-24T00:00:00.000
36,PPC000036,30,Meridian ProductionProcessCell 36,1,1,2026-08-24T00:00:00.000
37,PPC000037,4,Liberty ProductionProcessCell 37,1,1,2026-08-24T00:00:00.000
38,PPC000038,51,Orion ProductionProcessCell 38,1,1,2026-08-24T00:00:00.000
39,PPC000039,70,Atlas ProductionProcessCell 39,1,1,2026-08-24T00:00:00.000
40,PPC000040,25,Junction ProductionProcessCell 40,1,1,2026-08-24T00:00:00.000
41,PPC000041,52,Willow ProductionProcessCell 41,1,1,2026-08-24T00:00:00.000
42,PPC000042,65,Vertex ProductionProcessCell 42,1,1,2026-08-24T00:00:00.000
43,PPC000043,11,Forge ProductionProcessCell 43,1,1,2026-08-24T00:00:00.000
44,PPC000044,68,Orion ProductionProcessCell 44,1,1,2026-08-24T00:00:00.000
45,PPC000045,30,Cedar ProductionProcessCell 45,1,1,2026-08-24T00:00:00.000
46,PPC000046,5,Unity ProductionProcessCell 46,1,1,2026-08-24T00:00:00.000
47,PPC000047,20,Atlas ProductionProcessCell 47,1,1,2026-08-24T00:00:00.000
48,PPC000048,24,Unity ProductionProcessCell 48,1,1,2026-08-24T00:00:00.000
49,PPC000049,22,Keystone ProductionProcessCell 49,1,1,2026-08-24T00:00:00.000
50,PPC000050,38,Evergreen ProductionProcessCell 50,1,1,2026-08-24T00:00:00.000
51,PPC000051,28,Atlas ProductionProcessCell 51,1,1,2026-08-24T00:00:00.000
52,PPC000052,50,Delta ProductionProcessCell 52,1,1,2026-08-24T00:00:00.000
53,PPC000053,14,Harbor ProductionProcessCell 53,1,1,2026-08-24T00:00:00.000
54,PPC000054,56,Liberty ProductionProcessCell 54,1,1,2026-08-24T00:00:00.000
55,PPC000055,60,Titan ProductionProcessCell 55,1,1,2026-08-24T00:00:00.000
56,PPC000056,45,Ion ProductionProcessCell 56,1,1,2026-08-24T00:00:00.000
57,PPC000057,31,Liberty ProductionProcessCell 57,1,1,2026-08-24T00:00:00.000
58,PPC000058,40,Summit ProductionProcessCell 58,1,1,2026-08-24T00:00:00.000
59,PPC000059,39,Meridian ProductionProcessCell 59,1,1,2026-08-24T00:00:00.000
60,PPC000060,1,Vertex ProductionProcessCell 60,1,1,2026-08-24T00:00:00.000
61,PPC000061,26,Zenith ProductionProcessCell 61,1,1,2026-08-24T00:00:00.000
62,PPC000062,21,Delta ProductionProcessCell 62,1,1,2026-08-24T00:00:00.000
63,PPC000063,65,Atlas ProductionProcessCell 63,1,1,2026-08-24T00:00:00.000
64,PPC000064,8,Meridian ProductionProcessCell 64,1,1,2026-08-24T00:00:00.000
65,PPC000065,35,Zenith ProductionProcessCell 65,1,1,2026-08-24T00:00:00.000
66,PPC000066,5,Titan ProductionProcessCell 66,1,1,2026-08-24T00:00:00.000
67,PPC000067,31,Delta ProductionProcessCell 67,1,1,2026-08-24T00:00:00.000
68,PPC000068,58,Atlas ProductionProcessCell 68,1,1,2026-08-24T00:00:00.000
69,PPC000069,32,Ion ProductionProcessCell 69,1,1,2026-08-24T00:00:00.000
70,PPC000070,42,Ion ProductionProcessCell 70,1,1,2026-08-24T00:00:00.000
71,PPC000071,64,Willow ProductionProcessCell 71,1,1,2026-08-24T00:00:00.000
72,PPC000072,65,Titan ProductionProcessCell 72,1,1,2026-08-24T00:00:00.000
73,PPC000073,9,Delta ProductionProcessCell 73,1,1,2026-08-24T00:00:00.000
74,PPC000074,65,Liberty ProductionProcessCell 74,1,1,2026-08-24T00:00:00.000
75,PPC000075,19,Harbor ProductionProcessCell 75,1,1,2026-08-24T00:00:00.000
76,PPC000076,30,Northstar ProductionProcessCell 76,1,1,2026-08-24T00:00:00.000
77,PPC000077,26,Unity ProductionProcessCell 77,1,1,2026-08-24T00:00:00.000
78,PPC000078,31,Unity ProductionProcessCell 78,1,1,2026-08-24T00:00:00.000
79,PPC000079,40,Atlas ProductionProcessCell 79,1,1,2026-08-24T00:00:00.000
80,PPC000080,70,Beacon ProductionProcessCell 80,1,1,2026-08-24T00:00:00.000
81,PPC000081,5,Quartz ProductionProcessCell 81,1,1,2026-08-24T00:00:00.000
82,PPC000082,39,Riverton ProductionProcessCell 82,1,1,2026-08-24T00:00:00.000
83,PPC000083,33,Keystone ProductionProcessCell 83,1,1,2026-08-24T00:00:00.000
84,PPC000084,10,Delta ProductionProcessCell 84,1,1,2026-08-24T00:00:00.000
85,PPC000085,66,Willow ProductionProcessCell 85,1,1,2026-08-24T00:00:00.000
86,PPC000086,32,Orion ProductionProcessCell 86,1,1,2026-08-24T00:00:00.000
87,PPC000087,36,Beacon ProductionProcessCell 87,1,1,2026-08-24T00:00:00.000
88,PPC000088,60,Evergreen ProductionProcessCell 88,1,1,2026-08-24T00:00:00.000
89,PPC000089,35,Quartz ProductionProcessCell 89,1,1,2026-08-24T00:00:00.000
90,PPC000090,61,Zenith ProductionProcessCell 90,1,1,2026-08-24T00:00:00.000
91,PPC000091,62,Summit ProductionProcessCell 91,1,1,2026-08-24T00:00:00.000
92,PPC000092,52,Zenith ProductionProcessCell 92,1,1,2026-08-24T00:00:00.000
93,PPC000093,51,Riverton ProductionProcessCell 93,1,1,2026-08-24T00:00:00.000
94,PPC000094,29,Pioneer ProductionProcessCell 94,1,1,2026-08-24T00:00:00.000
95,PPC000095,54,Northstar ProductionProcessCell 95,1,1,2026-08-24T00:00:00.000
96,PPC000096,54,Keystone ProductionProcessCell 96,1,1,2026-08-24T00:00:00.000
97,PPC000097,43,Granite ProductionProcessCell 97,1,1,2026-08-24T00:00:00.000
98,PPC000098,1,Forge ProductionProcessCell 98,1,1,2026-08-24T00:00:00.000
99,PPC000099,8,Vertex ProductionProcessCell 99,1,1,2026-08-24T00:00:00.000
100,PPC000100,3,Northstar ProductionProcessCell 100,1,1,2026-08-24T00:00:00.000
101,PPC000101,62,Delta ProductionProcessCell 101,1,1,2026-08-24T00:00:00.000
102,PPC000102,1,Atlas ProductionProcessCell 102,1,1,2026-08-24T00:00:00.000
103,PPC000103,40,Unity ProductionProcessCell 103,1,1,2026-08-24T00:00:00.000
104,PPC000104,57,Orion ProductionProcessCell 104,1,1,2026-08-24T00:00:00.000
105,PPC000105,2,Keystone ProductionProcessCell 105,1,1,2026-08-24T00:00:00.000
106,PPC000106,26,Orion ProductionProcessCell 106,1,1,2026-08-24T00:00:00.000
107,PPC000107,33,Cedar ProductionProcessCell 107,1,1,2026-08-24T00:00:00.000
108,PPC000108,17,Quartz ProductionProcessCell 108,1,1,2026-08-24T00:00:00.000
109,PPC000109,9,Cedar ProductionProcessCell 109,1,1,2026-08-24T00:00:00.000
110,PPC000110,9,Delta ProductionProcessCell 110,1,1,2026-08-24T00:00:00.000
111,PPC000111,35,Orion ProductionProcessCell 111,1,1,2026-08-24T00:00:00.000
112,PPC000112,60,Ion ProductionProcessCell 112,1,1,2026-08-24T00:00:00.000
113,PPC000113,58,Granite ProductionProcessCell 113,1,1,2026-08-24T00:00:00.000
114,PPC000114,10,Orion ProductionProcessCell 114,1,1,2026-08-24T00:00:00.000
115,PPC000115,15,Vertex ProductionProcessCell 115,1,1,2026-08-24T00:00:00.000
116,PPC000116,27,Quartz ProductionProcessCell 116,1,1,2026-08-24T00:00:00.000
117,PPC000117,69,Beacon ProductionProcessCell 117,1,1,2026-08-24T00:00:00.000
118,PPC000118,14,Harbor ProductionProcessCell 118,1,1,2026-08-24T00:00:00.000
119,PPC000119,6,Atlas ProductionProcessCell 119,1,1,2026-08-24T00:00:00.000
120,PPC000120,42,Orion ProductionProcessCell 120,1,1,2026-08-24T00:00:00.000
121,PPC000121,18,Forge ProductionProcessCell 121,1,1,2026-08-24T00:00:00.000
122,PPC000122,5,Pioneer ProductionProcessCell 122,1,1,2026-08-24T00:00:00.000
123,PPC000123,9,Atlas ProductionProcessCell 123,1,1,2026-08-24T00:00:00.000
124,PPC000124,15,Titan ProductionProcessCell 124,1,1,2026-08-24T00:00:00.000
125,PPC000125,56,Unity ProductionProcessCell 125,1,1,2026-08-24T00:00:00.000
126,PPC000126,65,Evergreen ProductionProcessCell 126,1,1,2026-08-24T00:00:00.000
127,PPC000127,5,Atlas ProductionProcessCell 127,1,1,2026-08-24T00:00:00.000
128,PPC000128,17,Beacon ProductionProcessCell 128,1,1,2026-08-24T00:00:00.000
129,PPC000129,55,Evergreen ProductionProcessCell 129,1,1,2026-08-24T00:00:00.000
130,PPC000130,5,Northstar ProductionProcessCell 130,1,1,2026-08-24T00:00:00.000
131,PPC000131,43,Northstar ProductionProcessCell 131,1,1,2026-08-24T00:00:00.000
132,PPC000132,50,Keystone ProductionProcessCell 132,1,1,2026-08-24T00:00:00.000
133,PPC000133,27,Harbor ProductionProcessCell 133,1,1,2026-08-24T00:00:00.000
134,PPC000134,38,Northstar ProductionProcessCell 134,1,1,2026-08-24T00:00:00.000
135,PPC000135,63,Summit ProductionProcessCell 135,1,1,2026-08-24T00:00:00.000
136,PPC000136,18,Summit ProductionProcessCell 136,1,1,2026-08-24T00:00:00.000
137,PPC000137,57,Zenith ProductionProcessCell 137,1,1,2026-08-24T00:00:00.000
138,PPC000138,6,Harbor ProductionProcessCell 138,1,1,2026-08-24T00:00:00.000
139,PPC000139,48,Orion ProductionProcessCell 139,1,1,2026-08-24T00:00:00.000
140,PPC000140,27,Unity ProductionProcessCell 140,1,1,2026-08-24T00:00:00.000
141,PPC000141,11,Meridian ProductionProcessCell 141,1,1,2026-08-24T00:00:00.000
142,PPC000142,39,Titan ProductionProcessCell 142,1,1,2026-08-24T00:00:00.000
143,PPC000143,27,Northstar ProductionProcessCell 143,1,1,2026-08-24T00:00:00.000
144,PPC000144,26,Meridian ProductionProcessCell 144,1,1,2026-08-24T00:00:00.000
145,PPC000145,68,Riverton ProductionProcessCell 145,1,1,2026-08-24T00:00:00.000
146,PPC000146,35,Northstar ProductionProcessCell 146,1,1,2026-08-24T00:00:00.000
147,PPC000147,5,Titan ProductionProcessCell 147,1,1,2026-08-24T00:00:00.000
148,PPC000148,35,Quartz ProductionProcessCell 148,1,1,2026-08-24T00:00:00.000
149,PPC000149,38,Vertex ProductionProcessCell 149,1,1,2026-08-24T00:00:00.000
150,PPC000150,24,Keystone ProductionProcessCell 150,1,1,2026-08-24T00:00:00.000
151,PPC000151,19,Summit ProductionProcessCell 151,1,1,2026-08-24T00:00:00.000
152,PPC000152,36,Zenith ProductionProcessCell 152,1,1,2026-08-24T00:00:00.000
153,PPC000153,14,Evergreen ProductionProcessCell 153,1,1,2026-08-24T00:00:00.000
154,PPC000154,58,Granite ProductionProcessCell 154,1,1,2026-08-24T00:00:00.000
155,PPC000155,24,Titan ProductionProcessCell 155,1,1,2026-08-24T00:00:00.000
156,PPC000156,57,Evergreen ProductionProcessCell 156,1,1,2026-08-24T00:00:00.000
157,PPC000157,67,Ion ProductionProcessCell 157,1,1,2026-08-24T00:00:00.000
158,PPC000158,68,Meridian ProductionProcessCell 158,1,1,2026-08-24T00:00:00.000
159,PPC000159,6,Pioneer ProductionProcessCell 159,1,1,2026-08-24T00:00:00.000
160,PPC000160,66,Liberty ProductionProcessCell 160,1,1,2026-08-24T00:00:00.000
161,PPC000161,26,Delta ProductionProcessCell 161,1,1,2026-08-24T00:00:00.000
162,PPC000162,29,Northstar ProductionProcessCell 162,1,1,2026-08-24T00:00:00.000
163,PPC000163,26,Ion ProductionProcessCell 163,1,1,2026-08-24T00:00:00.000
164,PPC000164,29,Harbor ProductionProcessCell 164,1,1,2026-08-24T00:00:00.000
165,PPC000165,47,Northstar ProductionProcessCell 165,1,1,2026-08-24T00:00:00.000
166,PPC000166,67,Zenith ProductionProcessCell 166,1,1,2026-08-24T00:00:00.000
167,PPC000167,27,Summit ProductionProcessCell 167,1,1,2026-08-24T00:00:00.000
168,PPC000168,63,Titan ProductionProcessCell 168,1,1,2026-08-24T00:00:00.000
169,PPC000169,49,Ion ProductionProcessCell 169,1,1,2026-08-24T00:00:00.000
170,PPC000170,70,Ion ProductionProcessCell 170,1,1,2026-08-24T00:00:00.000
171,PPC000171,36,Zenith ProductionProcessCell 171,1,1,2026-08-24T00:00:00.000
172,PPC000172,42,Delta ProductionProcessCell 172,1,1,2026-08-24T00:00:00.000
173,PPC000173,18,Evergreen ProductionProcessCell 173,1,1,2026-08-24T00:00:00.000
174,PPC000174,12,Meridian ProductionProcessCell 174,1,1,2026-08-24T00:00:00.000
175,PPC000175,36,Keystone ProductionProcessCell 175,1,1,2026-08-24T00:00:00.000
176,PPC000176,44,Willow ProductionProcessCell 176,1,1,2026-08-24T00:00:00.000
177,PPC000177,68,Beacon ProductionProcessCell 177,1,1,2026-08-24T00:00:00.000
178,PPC000178,10,Summit ProductionProcessCell 178,1,1,2026-08-24T00:00:00.000
179,PPC000179,45,Pioneer ProductionProcessCell 179,1,1,2026-08-24T00:00:00.000
180,PPC000180,57,Ion ProductionProcessCell 180,1,1,2026-08-24T00:00:00.000
181,PPC000181,33,Pioneer ProductionProcessCell 181,1,1,2026-08-24T00:00:00.000
182,PPC000182,37,Ion ProductionProcessCell 182,1,1,2026-08-24T00:00:00.000
183,PPC000183,6,Cedar ProductionProcessCell 183,1,1,2026-08-24T00:00:00.000
184,PPC000184,44,Evergreen ProductionProcessCell 184,1,1,2026-08-24T00:00:00.000
185,PPC000185,53,Ion ProductionProcessCell 185,1,1,2026-08-24T00:00:00.000
186,PPC000186,16,Beacon ProductionProcessCell 186,1,1,2026-08-24T00:00:00.000
187,PPC000187,53,Meridian ProductionProcessCell 187,1,1,2026-08-24T00:00:00.000
188,PPC000188,43,Atlas ProductionProcessCell 188,1,1,2026-08-24T00:00:00.000
189,PPC000189,11,Titan ProductionProcessCell 189,1,1,2026-08-24T00:00:00.000
190,PPC000190,25,Junction ProductionProcessCell 190,1,1,2026-08-24T00:00:00.000
191,PPC000191,7,Liberty ProductionProcessCell 191,1,1,2026-08-24T00:00:00.000
192,PPC000192,36,Vertex ProductionProcessCell 192,1,1,2026-08-24T00:00:00.000
193,PPC000193,38,Liberty ProductionProcessCell 193,1,1,2026-08-24T00:00:00.000
194,PPC000194,53,Cedar ProductionProcessCell 194,1,1,2026-08-24T00:00:00.000
195,PPC000195,4,Vertex ProductionProcessCell 195,1,1,2026-08-24T00:00:00.000
196,PPC000196,63,Vertex ProductionProcessCell 196,1,1,2026-08-24T00:00:00.000
197,PPC000197,19,Beacon ProductionProcessCell 197,1,1,2026-08-24T00:00:00.000
198,PPC000198,59,Ion ProductionProcessCell 198,1,1,2026-08-24T00:00:00.000
199,PPC000199,22,Unity ProductionProcessCell 199,1,1,2026-08-24T00:00:00.000
200,PPC000200,6,Liberty ProductionProcessCell 200,1,1,2026-08-24T00:00:00.000
201,PPC000201,46,Orion ProductionProcessCell 201,1,1,2026-08-24T00:00:00.000
202,PPC000202,30,Keystone ProductionProcessCell 202,1,1,2026-08-24T00:00:00.000
203,PPC000203,35,Summit ProductionProcessCell 203,1,1,2026-08-24T00:00:00.000
204,PPC000204,70,Summit ProductionProcessCell 204,1,1,2026-08-24T00:00:00.000
205,PPC000205,10,Ion ProductionProcessCell 205,1,1,2026-08-24T00:00:00.000
206,PPC000206,6,Meridian ProductionProcessCell 206,1,1,2026-08-24T00:00:00.000
207,PPC000207,67,Cedar ProductionProcessCell 207,1,1,2026-08-24T00:00:00.000
208,PPC000208,11,Liberty ProductionProcessCell 208,1,1,2026-08-24T00:00:00.000
209,PPC000209,50,Keystone ProductionProcessCell 209,1,1,2026-08-24T00:00:00.000
210,PPC000210,58,Pioneer ProductionProcessCell 210,1,1,2026-08-24T00:00:00.000
211,PPC000211,25,Harbor ProductionProcessCell 211,1,1,2026-08-24T00:00:00.000
212,PPC000212,62,Meridian ProductionProcessCell 212,1,1,2026-08-24T00:00:00.000
213,PPC000213,43,Liberty ProductionProcessCell 213,1,1,2026-08-24T00:00:00.000
214,PPC000214,24,Delta ProductionProcessCell 214,1,1,2026-08-24T00:00:00.000
215,PPC000215,10,Riverton ProductionProcessCell 215,1,1,2026-08-24T00:00:00.000
216,PPC000216,53,Willow ProductionProcessCell 216,1,1,2026-08-24T00:00:00.000
217,PPC000217,29,Pioneer ProductionProcessCell 217,1,1,2026-08-24T00:00:00.000
218,PPC000218,28,Willow ProductionProcessCell 218,1,1,2026-08-24T00:00:00.000
219,PPC000219,55,Northstar ProductionProcessCell 219,1,1,2026-08-24T00:00:00.000
220,PPC000220,11,Delta ProductionProcessCell 220,1,1,2026-08-24T00:00:00.000
221,PPC000221,44,Zenith ProductionProcessCell 221,1,1,2026-08-24T00:00:00.000
222,PPC000222,56,Pioneer ProductionProcessCell 222,1,1,2026-08-24T00:00:00.000
223,PPC000223,3,Zenith ProductionProcessCell 223,1,1,2026-08-24T00:00:00.000
224,PPC000224,54,Junction ProductionProcessCell 224,1,1,2026-08-24T00:00:00.000
225,PPC000225,57,Forge ProductionProcessCell 225,1,1,2026-08-24T00:00:00.000
226,PPC000226,4,Zenith ProductionProcessCell 226,1,1,2026-08-24T00:00:00.000
227,PPC000227,30,Atlas ProductionProcessCell 227,1,1,2026-08-24T00:00:00.000
228,PPC000228,5,Zenith ProductionProcessCell 228,1,1,2026-08-24T00:00:00.000
229,PPC000229,10,Pioneer ProductionProcessCell 229,1,1,2026-08-24T00:00:00.000
230,PPC000230,40,Northstar ProductionProcessCell 230,1,1,2026-08-24T00:00:00.000
231,PPC000231,4,Forge ProductionProcessCell 231,1,1,2026-08-24T00:00:00.000
232,PPC000232,22,Ion ProductionProcessCell 232,1,1,2026-08-24T00:00:00.000
233,PPC000233,70,Meridian ProductionProcessCell 233,1,1,2026-08-24T00:00:00.000
234,PPC000234,2,Zenith ProductionProcessCell 234,1,1,2026-08-24T00:00:00.000
235,PPC000235,9,Unity ProductionProcessCell 235,1,1,2026-08-24T00:00:00.000
236,PPC000236,34,Delta ProductionProcessCell 236,1,1,2026-08-24T00:00:00.000
237,PPC000237,36,Summit ProductionProcessCell 237,1,1,2026-08-24T00:00:00.000
238,PPC000238,38,Unity ProductionProcessCell 238,1,1,2026-08-24T00:00:00.000
239,PPC000239,8,Beacon ProductionProcessCell 239,1,1,2026-08-24T00:00:00.000
240,PPC000240,38,Beacon ProductionProcessCell 240,1,1,2026-08-24T00:00:00.000
241,PPC000241,37,Vertex ProductionProcessCell 241,1,1,2026-08-24T00:00:00.000
242,PPC000242,25,Atlas ProductionProcessCell 242,1,1,2026-08-24T00:00:00.000
243,PPC000243,57,Pioneer ProductionProcessCell 243,1,1,2026-08-24T00:00:00.000
244,PPC000244,61,Junction ProductionProcessCell 244,1,1,2026-08-24T00:00:00.000
245,PPC000245,21,Delta ProductionProcessCell 245,1,1,2026-08-24T00:00:00.000
246,PPC000246,25,Delta ProductionProcessCell 246,1,1,2026-08-24T00:00:00.000
247,PPC000247,51,Keystone ProductionProcessCell 247,1,1,2026-08-24T00:00:00.000
248,PPC000248,63,Granite ProductionProcessCell 248,1,1,2026-08-24T00:00:00.000
249,PPC000249,64,Willow ProductionProcessCell 249,1,1,2026-08-24T00:00:00.000
250,PPC000250,45,Pioneer ProductionProcessCell 250,1,1,2026-08-24T00:00:00.000
251,PPC000251,30,Riverton ProductionProcessCell 251,1,1,2026-08-24T00:00:00.000
252,PPC000252,30,Riverton ProductionProcessCell 252,1,1,2026-08-24T00:00:00.000
253,PPC000253,24,Forge ProductionProcessCell 253,1,1,2026-08-24T00:00:00.000
254,PPC000254,21,Beacon ProductionProcessCell 254,1,1,2026-08-24T00:00:00.000
255,PPC000255,36,Riverton ProductionProcessCell 255,1,1,2026-08-24T00:00:00.000
256,PPC000256,44,Liberty ProductionProcessCell 256,1,1,2026-08-24T00:00:00.000
257,PPC000257,66,Forge ProductionProcessCell 257,1,1,2026-08-24T00:00:00.000
258,PPC000258,41,Evergreen ProductionProcessCell 258,1,1,2026-08-24T00:00:00.000
259,PPC000259,62,Northstar ProductionProcessCell 259,1,1,2026-08-24T00:00:00.000
260,PPC000260,31,Vertex ProductionProcessCell 260,1,1,2026-08-24T00:00:00.000
