PurchaseSourcingDeskKey,PurchaseSourcingDeskCode,PurchaseSourcingPortfolioKey,PurchaseSourcingDeskName,SourceSystemKey,BatchId,LoadedAtUtc
200,PSD000200,39,Delta PurchaseSourcingDesk 200,1,1,2026-08-24T00:00:00.000
201,PSD000201,25,Liberty PurchaseSourcingDesk 201,1,1,2026-08-24T00:00:00.000
202,PSD000202,22,Beacon PurchaseSourcingDesk 202,1,1,2026-08-24T00:00:00.000
203,PSD000203,41,Atlas PurchaseSourcingDesk 203,1,1,2026-08-24T00:00:00.000
204,PSD000204,37,Evergreen PurchaseSourcingDesk 204,1,1,2026-08-24T00:00:00.000
205,PSD000205,38,Quartz PurchaseSourcingDesk 205,1,1,2026-08-24T00:00:00.000
206,PSD000206,11,Titan PurchaseSourcingDesk 206,1,1,2026-08-24T00:00:00.000
207,PSD000207,20,Meridian PurchaseSourcingDesk 207,1,1,2026-08-24T00:00:00.000
208,PSD000208,45,Harbor PurchaseSourcingDesk 208,1,1,2026-08-24T00:00:00.000
209,PSD000209,39,Forge PurchaseSourcingDesk 209,1,1,2026-08-24T00:00:00.000
210,PSD000210,21,Meridian PurchaseSourcingDesk 210,1,1,2026-08-24T00:00:00.000
211,PSD000211,40,Northstar PurchaseSourcingDesk 211,1,1,2026-08-24T00:00:00.000
212,PSD000212,27,Beacon PurchaseSourcingDesk 212,1,1,2026-08-24T00:00:00.000
213,PSD000213,36,Ion PurchaseSourcingDesk 213,1,1,2026-08-24T00:00:00.000
214,PSD000214,10,Zenith PurchaseSourcingDesk 214,1,1,2026-08-24T00:00:00.000
215,PSD000215,37,Forge PurchaseSourcingDesk 215,1,1,2026-08-24T00:00:00.000
216,PSD000216,19,Evergreen PurchaseSourcingDesk 216,1,1,2026-08-24T00:00:00.000
217,PSD000217,6,Meridian PurchaseSourcingDesk 217,1,1,2026-08-24T00:00:00.000
218,PSD000218,34,Meridian PurchaseSourcingDesk 218,1,1,2026-08-24T00:00:00.000
219,PSD000219,22,Summit PurchaseSourcingDesk 219,1,1,2026-08-24T00:00:00.000
220,PSD000220,19,Pioneer PurchaseSourcingDesk 220,1,1,2026-08-24T00:00:00.000
221,PSD000221,15,Forge PurchaseSourcingDesk 221,1,1,2026-08-24T00:00:00.000
222,PSD000222,26,Willow PurchaseSourcingDesk 222,1,1,2026-08-24T00:00:00.000
223,PSD000223,23,Orion PurchaseSourcingDesk 223,1,1,2026-08-24T00:00:00.000
224,PSD000224,22,Ion PurchaseSourcingDesk 224,1,1,2026-08-24T00:00:00.000
225,PSD000225,35,Keystone PurchaseSourcingDesk 225,1,1,2026-08-24T00:00:00.000
226,PSD000226,35,Unity PurchaseSourcingDesk 226,1,1,2026-08-24T00:00:00.000
227,PSD000227,23,Zenith PurchaseSourcingDesk 227,1,1,2026-08-24T00:00:00.000
228,PSD000228,27,Quartz PurchaseSourcingDesk 228,1,1,2026-08-24T00:00:00.000
229,PSD000229,42,Cedar PurchaseSourcingDesk 229,1,1,2026-08-24T00:00:00.000
230,PSD000230,31,Willow PurchaseSourcingDesk 230,1,1,2026-08-24T00:00:00.000
231,PSD000231,29,Unity PurchaseSourcingDesk 231,1,1,2026-08-24T00:00:00.000
232,PSD000232,9,Quartz PurchaseSourcingDesk 232,1,1,2026-08-24T00:00:00.000
233,PSD000233,34,Granite PurchaseSourcingDesk 233,1,1,2026-08-24T00:00:00.000
234,PSD000234,31,Riverton PurchaseSourcingDesk 234,1,1,2026-08-24T00:00:00.000
235,PSD000235,11,Pioneer PurchaseSourcingDesk 235,1,1,2026-08-24T00:00:00.000
236,PSD000236,14,Riverton PurchaseSourcingDesk 236,1,1,2026-08-24T00:00:00.000
237,PSD000237,21,Unity PurchaseSourcingDesk 237,1,1,2026-08-24T00:00:00.000
238,PSD000238,13,Beacon PurchaseSourcingDesk 238,1,1,2026-08-24T00:00:00.000
239,PSD000239,3,Orion PurchaseSourcingDesk 239,1,1,2026-08-24T00:00:00.000
240,PSD000240,16,Forge PurchaseSourcingDesk 240,1,1,2026-08-24T00:00:00.000
