ServiceCampaignProgramKey,ServiceCampaignProgramCode,ServiceCampaignPortfolioKey,ServiceCampaignProgramName,SourceSystemKey,BatchId,LoadedAtUtc
55,SCP000055,5,Summit ServiceCampaignProgram 55,1,1,2026-08-24T00:00:00.000
56,SCP000056,12,Keystone ServiceCampaignProgram 56,1,1,2026-08-24T00:00:00.000
57,SCP000057,4,Riverton ServiceCampaignProgram 57,1,1,2026-08-24T00:00:00.000
58,SCP000058,8,Cedar ServiceCampaignProgram 58,1,1,2026-08-24T00:00:00.000
59,SCP000059,11,Delta ServiceCampaignProgram 59,1,1,2026-08-24T00:00:00.000
60,SCP000060,2,Beacon ServiceCampaignProgram 60,1,1,2026-08-24T00:00:00.000
61,SCP000061,3,Meridian ServiceCampaignProgram 61,1,1,2026-08-24T00:00:00.000
62,SCP000062,7,Liberty ServiceCampaignProgram 62,1,1,2026-08-24T00:00:00.000
63,SCP000063,7,Harbor ServiceCampaignProgram 63,1,1,2026-08-24T00:00:00.000
64,SCP000064,6,Granite ServiceCampaignProgram 64,1,1,2026-08-24T00:00:00.000
65,SCP000065,12,Unity ServiceCampaignProgram 65,1,1,2026-08-24T00:00:00.000
66,SCP000066,6,Beacon ServiceCampaignProgram 66,1,1,2026-08-24T00:00:00.000
67,SCP000067,1,Pioneer ServiceCampaignProgram 67,1,1,2026-08-24T00:00:00.000
68,SCP000068,5,Summit ServiceCampaignProgram 68,1,1,2026-08-24T00:00:00.000
69,SCP000069,13,Orion ServiceCampaignProgram 69,1,1,2026-08-24T00:00:00.000
70,SCP000070,12,Evergreen ServiceCampaignProgram 70,1,1,2026-08-24T00:00:00.000
71,SCP000071,9,Titan ServiceCampaignProgram 71,1,1,2026-08-24T00:00:00.000
72,SCP000072,10,Atlas ServiceCampaignProgram 72,1,1,2026-08-24T00:00:00.000
73,SCP000073,10,Riverton ServiceCampaignProgram 73,1,1,2026-08-24T00:00:00.000
74,SCP000074,10,Keystone ServiceCampaignProgram 74,1,1,2026-08-24T00:00:00.000
75,SCP000075,7,Zenith ServiceCampaignProgram 75,1,1,2026-08-24T00:00:00.000
76,SCP000076,2,Northstar ServiceCampaignProgram 76,1,1,2026-08-24T00:00:00.000
77,SCP000077,13,Unity ServiceCampaignProgram 77,1,1,2026-08-24T00:00:00.000
78,SCP000078,3,Granite ServiceCampaignProgram 78,1,1,2026-08-24T00:00:00.000
79,SCP000079,10,Cedar ServiceCampaignProgram 79,1,1,2026-08-24T00:00:00.000
80,SCP000080,8,Titan ServiceCampaignProgram 80,1,1,2026-08-24T00:00:00.000
81,SCP000081,1,Ion ServiceCampaignProgram 81,1,1,2026-08-24T00:00:00.000
82,SCP000082,8,Granite ServiceCampaignProgram 82,1,1,2026-08-24T00:00:00.000
83,SCP000083,11,Northstar ServiceCampaignProgram 83,1,1,2026-08-24T00:00:00.000
84,SCP000084,5,Harbor ServiceCampaignProgram 84,1,1,2026-08-24T00:00:00.000
85,SCP000085,5,Delta ServiceCampaignProgram 85,1,1,2026-08-24T00:00:00.000
86,SCP000086,8,Beacon ServiceCampaignProgram 86,1,1,2026-08-24T00:00:00.000
87,SCP000087,2,Atlas ServiceCampaignProgram 87,1,1,2026-08-24T00:00:00.000
88,SCP000088,2,Junction ServiceCampaignProgram 88,1,1,2026-08-24T00:00:00.000
89,SCP000089,5,Harbor ServiceCampaignProgram 89,1,1,2026-08-24T00:00:00.000
90,SCP000090,4,Willow ServiceCampaignProgram 90,1,1,2026-08-24T00:00:00.000
91,SCP000091,3,Granite ServiceCampaignProgram 91,1,1,2026-08-24T00:00:00.000
92,SCP000092,6,Meridian ServiceCampaignProgram 92,1,1,2026-08-24T00:00:00.000
93,SCP000093,1,Forge ServiceCampaignProgram 93,1,1,2026-08-24T00:00:00.000
94,SCP000094,10,Delta ServiceCampaignProgram 94,1,1,2026-08-24T00:00:00.000
95,SCP000095,11,Granite ServiceCampaignProgram 95,1,1,2026-08-24T00:00:00.000
96,SCP000096,10,Junction ServiceCampaignProgram 96,1,1,2026-08-24T00:00:00.000
97,SCP000097,5,Keystone ServiceCampaignProgram 97,1,1,2026-08-24T00:00:00.000
98,SCP000098,10,Beacon ServiceCampaignProgram 98,1,1,2026-08-24T00:00:00.000
99,SCP000099,8,Willow ServiceCampaignProgram 99,1,1,2026-08-24T00:00:00.000
100,SCP000100,14,Quartz ServiceCampaignProgram 100,1,1,2026-08-24T00:00:00.000
101,SCP000101,1,Granite ServiceCampaignProgram 101,1,1,2026-08-24T00:00:00.000
102,SCP000102,13,Titan ServiceCampaignProgram 102,1,1,2026-08-24T00:00:00.000
103,SCP000103,14,Liberty ServiceCampaignProgram 103,1,1,2026-08-24T00:00:00.000
104,SCP000104,5,Meridian ServiceCampaignProgram 104,1,1,2026-08-24T00:00:00.000
105,SCP000105,8,Keystone ServiceCampaignProgram 105,1,1,2026-08-24T00:00:00.000
106,SCP000106,11,Summit ServiceCampaignProgram 106,1,1,2026-08-24T00:00:00.000
107,SCP000107,5,Meridian ServiceCampaignProgram 107,1,1,2026-08-24T00:00:00.000
108,SCP000108,11,Riverton ServiceCampaignProgram 108,1,1,2026-08-24T00:00:00.000
109,SCP000109,3,Forge ServiceCampaignProgram 109,1,1,2026-08-24T00:00:00.000
110,SCP000110,5,Cedar ServiceCampaignProgram 110,1,1,2026-08-24T00:00:00.000
111,SCP000111,9,Harbor ServiceCampaignProgram 111,1,1,2026-08-24T00:00:00.000
112,SCP000112,8,Ion ServiceCampaignProgram 112,1,1,2026-08-24T00:00:00.000
113,SCP000113,13,Evergreen ServiceCampaignProgram 113,1,1,2026-08-24T00:00:00.000
114,SCP000114,10,Evergreen ServiceCampaignProgram 114,1,1,2026-08-24T00:00:00.000
115,SCP000115,3,Titan ServiceCampaignProgram 115,1,1,2026-08-24T00:00:00.000
116,SCP000116,2,Ion ServiceCampaignProgram 116,1,1,2026-08-24T00:00:00.000
117,SCP000117,13,Atlas ServiceCampaignProgram 117,1,1,2026-08-24T00:00:00.000
118,SCP000118,4,Northstar ServiceCampaignProgram 118,1,1,2026-08-24T00:00:00.000
119,SCP000119,4,Orion ServiceCampaignProgram 119,1,1,2026-08-24T00:00:00.000
120,SCP000120,5,Orion ServiceCampaignProgram 120,1,1,2026-08-24T00:00:00.000
