SalesPromotionCampaignKey,SalesPromotionCampaignCode,SalesPromotionProgramKey,SalesPromotionCampaignName,SourceSystemKey,BatchId,LoadedAtUtc
69,SPC000069,63,Northstar SalesPromotionCampaign 69,1,1,2026-08-24T00:00:00.000
70,SPC000070,2,Willow SalesPromotionCampaign 70,1,1,2026-08-24T00:00:00.000
71,SPC000071,37,Keystone SalesPromotionCampaign 71,1,1,2026-08-24T00:00:00.000
72,SPC000072,51,Zenith SalesPromotionCampaign 72,1,1,2026-08-24T00:00:00.000
73,SPC000073,66,Northstar SalesPromotionCampaign 73,1,1,2026-08-24T00:00:00.000
74,SPC000074,17,Pioneer SalesPromotionCampaign 74,1,1,2026-08-24T00:00:00.000
75,SPC000075,75,Atlas SalesPromotionCampaign 75,1,1,2026-08-24T00:00:00.000
76,SPC000076,78,Vertex SalesPromotionCampaign 76,1,1,2026-08-24T00:00:00.000
77,SPC000077,35,Beacon SalesPromotionCampaign 77,1,1,2026-08-24T00:00:00.000
78,SPC000078,30,Titan SalesPromotionCampaign 78,1,1,2026-08-24T00:00:00.000
79,SPC000079,65,Zenith SalesPromotionCampaign 79,1,1,2026-08-24T00:00:00.000
80,SPC000080,61,Junction SalesPromotionCampaign 80,1,1,2026-08-24T00:00:00.000
81,SPC000081,11,Titan SalesPromotionCampaign 81,1,1,2026-08-24T00:00:00.000
82,SPC000082,4,Granite SalesPromotionCampaign 82,1,1,2026-08-24T00:00:00.000
83,SPC000083,43,Forge SalesPromotionCampaign 83,1,1,2026-08-24T00:00:00.000
84,SPC000084,49,Willow SalesPromotionCampaign 84,1,1,2026-08-24T00:00:00.000
85,SPC000085,47,Junction SalesPromotionCampaign 85,1,1,2026-08-24T00:00:00.000
86,SPC000086,8,Zenith SalesPromotionCampaign 86,1,1,2026-08-24T00:00:00.000
87,SPC000087,72,Evergreen SalesPromotionCampaign 87,1,1,2026-08-24T00:00:00.000
88,SPC000088,52,Riverton SalesPromotionCampaign 88,1,1,2026-08-24T00:00:00.000
89,SPC000089,40,Junction SalesPromotionCampaign 89,1,1,2026-08-24T00:00:00.000
90,SPC000090,29,Unity SalesPromotionCampaign 90,1,1,2026-08-24T00:00:00.000
91,SPC000091,71,Quartz SalesPromotionCampaign 91,1,1,2026-08-24T00:00:00.000
92,SPC000092,80,Vertex SalesPromotionCampaign 92,1,1,2026-08-24T00:00:00.000
93,SPC000093,42,Beacon SalesPromotionCampaign 93,1,1,2026-08-24T00:00:00.000
94,SPC000094,60,Cedar SalesPromotionCampaign 94,1,1,2026-08-24T00:00:00.000
95,SPC000095,76,Forge SalesPromotionCampaign 95,1,1,2026-08-24T00:00:00.000
96,SPC000096,79,Titan SalesPromotionCampaign 96,1,1,2026-08-24T00:00:00.000
97,SPC000097,67,Delta SalesPromotionCampaign 97,1,1,2026-08-24T00:00:00.000
98,SPC000098,17,Liberty SalesPromotionCampaign 98,1,1,2026-08-24T00:00:00.000
99,SPC000099,17,Granite SalesPromotionCampaign 99,1,1,2026-08-24T00:00:00.000
100,SPC000100,63,Evergreen SalesPromotionCampaign 100,1,1,2026-08-24T00:00:00.000
101,SPC000101,3,Harbor SalesPromotionCampaign 101,1,1,2026-08-24T00:00:00.000
102,SPC000102,33,Delta SalesPromotionCampaign 102,1,1,2026-08-24T00:00:00.000
103,SPC000103,59,Vertex SalesPromotionCampaign 103,1,1,2026-08-24T00:00:00.000
104,SPC000104,36,Evergreen SalesPromotionCampaign 104,1,1,2026-08-24T00:00:00.000
105,SPC000105,71,Titan SalesPromotionCampaign 105,1,1,2026-08-24T00:00:00.000
106,SPC000106,32,Keystone SalesPromotionCampaign 106,1,1,2026-08-24T00:00:00.000
107,SPC000107,48,Northstar SalesPromotionCampaign 107,1,1,2026-08-24T00:00:00.000
108,SPC000108,44,Evergreen SalesPromotionCampaign 108,1,1,2026-08-24T00:00:00.000
109,SPC000109,55,Liberty SalesPromotionCampaign 109,1,1,2026-08-24T00:00:00.000
110,SPC000110,67,Cedar SalesPromotionCampaign 110,1,1,2026-08-24T00:00:00.000
111,SPC000111,70,Summit SalesPromotionCampaign 111,1,1,2026-08-24T00:00:00.000
112,SPC000112,62,Vertex SalesPromotionCampaign 112,1,1,2026-08-24T00:00:00.000
113,SPC000113,5,Northstar SalesPromotionCampaign 113,1,1,2026-08-24T00:00:00.000
114,SPC000114,50,Ion SalesPromotionCampaign 114,1,1,2026-08-24T00:00:00.000
115,SPC000115,34,Granite SalesPromotionCampaign 115,1,1,2026-08-24T00:00:00.000
116,SPC000116,19,Cedar SalesPromotionCampaign 116,1,1,2026-08-24T00:00:00.000
117,SPC000117,50,Vertex SalesPromotionCampaign 117,1,1,2026-08-24T00:00:00.000
118,SPC000118,44,Cedar SalesPromotionCampaign 118,1,1,2026-08-24T00:00:00.000
119,SPC000119,53,Titan SalesPromotionCampaign 119,1,1,2026-08-24T00:00:00.000
120,SPC000120,71,Pioneer SalesPromotionCampaign 120,1,1,2026-08-24T00:00:00.000
121,SPC000121,55,Keystone SalesPromotionCampaign 121,1,1,2026-08-24T00:00:00.000
122,SPC000122,40,Riverton SalesPromotionCampaign 122,1,1,2026-08-24T00:00:00.000
123,SPC000123,1,Orion SalesPromotionCampaign 123,1,1,2026-08-24T00:00:00.000
124,SPC000124,44,Meridian SalesPromotionCampaign 124,1,1,2026-08-24T00:00:00.000
125,SPC000125,40,Ion SalesPromotionCampaign 125,1,1,2026-08-24T00:00:00.000
126,SPC000126,80,Granite SalesPromotionCampaign 126,1,1,2026-08-24T00:00:00.000
127,SPC000127,75,Pioneer SalesPromotionCampaign 127,1,1,2026-08-24T00:00:00.000
128,SPC000128,21,Cedar SalesPromotionCampaign 128,1,1,2026-08-24T00:00:00.000
129,SPC000129,46,Unity SalesPromotionCampaign 129,1,1,2026-08-24T00:00:00.000
130,SPC000130,19,Riverton SalesPromotionCampaign 130,1,1,2026-08-24T00:00:00.000
131,SPC000131,5,Keystone SalesPromotionCampaign 131,1,1,2026-08-24T00:00:00.000
132,SPC000132,33,Northstar SalesPromotionCampaign 132,1,1,2026-08-24T00:00:00.000
133,SPC000133,78,Liberty SalesPromotionCampaign 133,1,1,2026-08-24T00:00:00.000
134,SPC000134,22,Harbor SalesPromotionCampaign 134,1,1,2026-08-24T00:00:00.000
135,SPC000135,55,Harbor SalesPromotionCampaign 135,1,1,2026-08-24T00:00:00.000
136,SPC000136,32,Northstar SalesPromotionCampaign 136,1,1,2026-08-24T00:00:00.000
137,SPC000137,71,Zenith SalesPromotionCampaign 137,1,1,2026-08-24T00:00:00.000
138,SPC000138,39,Forge SalesPromotionCampaign 138,1,1,2026-08-24T00:00:00.000
139,SPC000139,40,Cedar SalesPromotionCampaign 139,1,1,2026-08-24T00:00:00.000
140,SPC000140,18,Unity SalesPromotionCampaign 140,1,1,2026-08-24T00:00:00.000
141,SPC000141,9,Cedar SalesPromotionCampaign 141,1,1,2026-08-24T00:00:00.000
142,SPC000142,4,Keystone SalesPromotionCampaign 142,1,1,2026-08-24T00:00:00.000
143,SPC000143,32,Titan SalesPromotionCampaign 143,1,1,2026-08-24T00:00:00.000
144,SPC000144,20,Evergreen SalesPromotionCampaign 144,1,1,2026-08-24T00:00:00.000
145,SPC000145,18,Harbor SalesPromotionCampaign 145,1,1,2026-08-24T00:00:00.000
146,SPC000146,18,Keystone SalesPromotionCampaign 146,1,1,2026-08-24T00:00:00.000
147,SPC000147,59,Beacon SalesPromotionCampaign 147,1,1,2026-08-24T00:00:00.000
148,SPC000148,76,Vertex SalesPromotionCampaign 148,1,1,2026-08-24T00:00:00.000
149,SPC000149,38,Granite SalesPromotionCampaign 149,1,1,2026-08-24T00:00:00.000
150,SPC000150,72,Unity SalesPromotionCampaign 150,1,1,2026-08-24T00:00:00.000
151,SPC000151,74,Liberty SalesPromotionCampaign 151,1,1,2026-08-24T00:00:00.000
152,SPC000152,30,Forge SalesPromotionCampaign 152,1,1,2026-08-24T00:00:00.000
153,SPC000153,59,Riverton SalesPromotionCampaign 153,1,1,2026-08-24T00:00:00.000
154,SPC000154,70,Delta SalesPromotionCampaign 154,1,1,2026-08-24T00:00:00.000
155,SPC000155,54,Pioneer SalesPromotionCampaign 155,1,1,2026-08-24T00:00:00.000
156,SPC000156,49,Granite SalesPromotionCampaign 156,1,1,2026-08-24T00:00:00.000
157,SPC000157,42,Orion SalesPromotionCampaign 157,1,1,2026-08-24T00:00:00.000
158,SPC000158,67,Summit SalesPromotionCampaign 158,1,1,2026-08-24T00:00:00.000
159,SPC000159,16,Liberty SalesPromotionCampaign 159,1,1,2026-08-24T00:00:00.000
160,SPC000160,49,Ion SalesPromotionCampaign 160,1,1,2026-08-24T00:00:00.000
161,SPC000161,33,Keystone SalesPromotionCampaign 161,1,1,2026-08-24T00:00:00.000
162,SPC000162,58,Zenith SalesPromotionCampaign 162,1,1,2026-08-24T00:00:00.000
163,SPC000163,10,Meridian SalesPromotionCampaign 163,1,1,2026-08-24T00:00:00.000
164,SPC000164,17,Junction SalesPromotionCampaign 164,1,1,2026-08-24T00:00:00.000
165,SPC000165,61,Atlas SalesPromotionCampaign 165,1,1,2026-08-24T00:00:00.000
166,SPC000166,42,Forge SalesPromotionCampaign 166,1,1,2026-08-24T00:00:00.000
167,SPC000167,4,Quartz SalesPromotionCampaign 167,1,1,2026-08-24T00:00:00.000
168,SPC000168,64,Junction SalesPromotionCampaign 168,1,1,2026-08-24T00:00:00.000
169,SPC000169,31,Atlas SalesPromotionCampaign 169,1,1,2026-08-24T00:00:00.000
170,SPC000170,53,Northstar SalesPromotionCampaign 170,1,1,2026-08-24T00:00:00.000
171,SPC000171,21,Junction SalesPromotionCampaign 171,1,1,2026-08-24T00:00:00.000
172,SPC000172,7,Orion SalesPromotionCampaign 172,1,1,2026-08-24T00:00:00.000
173,SPC000173,77,Northstar SalesPromotionCampaign 173,1,1,2026-08-24T00:00:00.000
174,SPC000174,5,Northstar SalesPromotionCampaign 174,1,1,2026-08-24T00:00:00.000
175,SPC000175,40,Ion SalesPromotionCampaign 175,1,1,2026-08-24T00:00:00.000
176,SPC000176,30,Quartz SalesPromotionCampaign 176,1,1,2026-08-24T00:00:00.000
177,SPC000177,55,Orion SalesPromotionCampaign 177,1,1,2026-08-24T00:00:00.000
178,SPC000178,41,Orion SalesPromotionCampaign 178,1,1,2026-08-24T00:00:00.000
179,SPC000179,30,Titan SalesPromotionCampaign 179,1,1,2026-08-24T00:00:00.000
180,SPC000180,63,Meridian SalesPromotionCampaign 180,1,1,2026-08-24T00:00:00.000
181,SPC000181,61,Unity SalesPromotionCampaign 181,1,1,2026-08-24T00:00:00.000
182,SPC000182,73,Orion SalesPromotionCampaign 182,1,1,2026-08-24T00:00:00.000
183,SPC000183,24,Titan SalesPromotionCampaign 183,1,1,2026-08-24T00:00:00.000
184,SPC000184,59,Delta SalesPromotionCampaign 184,1,1,2026-08-24T00:00:00.000
185,SPC000185,34,Delta SalesPromotionCampaign 185,1,1,2026-08-24T00:00:00.000
186,SPC000186,27,Forge SalesPromotionCampaign 186,1,1,2026-08-24T00:00:00.000
187,SPC000187,72,Atlas SalesPromotionCampaign 187,1,1,2026-08-24T00:00:00.000
188,SPC000188,18,Unity SalesPromotionCampaign 188,1,1,2026-08-24T00:00:00.000
189,SPC000189,29,Forge SalesPromotionCampaign 189,1,1,2026-08-24T00:00:00.000
190,SPC000190,11,Orion SalesPromotionCampaign 190,1,1,2026-08-24T00:00:00.000
191,SPC000191,77,Granite SalesPromotionCampaign 191,1,1,2026-08-24T00:00:00.000
192,SPC000192,27,Zenith SalesPromotionCampaign 192,1,1,2026-08-24T00:00:00.000
193,SPC000193,27,Northstar SalesPromotionCampaign 193,1,1,2026-08-24T00:00:00.000
194,SPC000194,53,Atlas SalesPromotionCampaign 194,1,1,2026-08-24T00:00:00.000
195,SPC000195,6,Meridian SalesPromotionCampaign 195,1,1,2026-08-24T00:00:00.000
196,SPC000196,44,Forge SalesPromotionCampaign 196,1,1,2026-08-24T00:00:00.000
197,SPC000197,30,Evergreen SalesPromotionCampaign 197,1,1,2026-08-24T00:00:00.000
198,SPC000198,24,Atlas SalesPromotionCampaign 198,1,1,2026-08-24T00:00:00.000
199,SPC000199,38,Delta SalesPromotionCampaign 199,1,1,2026-08-24T00:00:00.000
200,SPC000200,27,Unity SalesPromotionCampaign 200,1,1,2026-08-24T00:00:00.000
201,SPC000201,78,Beacon SalesPromotionCampaign 201,1,1,2026-08-24T00:00:00.000
202,SPC000202,50,Summit SalesPromotionCampaign 202,1,1,2026-08-24T00:00:00.000
203,SPC000203,52,Atlas SalesPromotionCampaign 203,1,1,2026-08-24T00:00:00.000
204,SPC000204,50,Evergreen SalesPromotionCampaign 204,1,1,2026-08-24T00:00:00.000
205,SPC000205,57,Atlas SalesPromotionCampaign 205,1,1,2026-08-24T00:00:00.000
206,SPC000206,26,Quartz SalesPromotionCampaign 206,1,1,2026-08-24T00:00:00.000
207,SPC000207,78,Forge SalesPromotionCampaign 207,1,1,2026-08-24T00:00:00.000
208,SPC000208,30,Granite SalesPromotionCampaign 208,1,1,2026-08-24T00:00:00.000
209,SPC000209,10,Delta SalesPromotionCampaign 209,1,1,2026-08-24T00:00:00.000
210,SPC000210,59,Riverton SalesPromotionCampaign 210,1,1,2026-08-24T00:00:00.000
211,SPC000211,50,Cedar SalesPromotionCampaign 211,1,1,2026-08-24T00:00:00.000
212,SPC000212,80,Forge SalesPromotionCampaign 212,1,1,2026-08-24T00:00:00.000
213,SPC000213,69,Zenith SalesPromotionCampaign 213,1,1,2026-08-24T00:00:00.000
214,SPC000214,39,Forge SalesPromotionCampaign 214,1,1,2026-08-24T00:00:00.000
215,SPC000215,22,Liberty SalesPromotionCampaign 215,1,1,2026-08-24T00:00:00.000
216,SPC000216,79,Meridian SalesPromotionCampaign 216,1,1,2026-08-24T00:00:00.000
217,SPC000217,21,Delta SalesPromotionCampaign 217,1,1,2026-08-24T00:00:00.000
218,SPC000218,23,Riverton SalesPromotionCampaign 218,1,1,2026-08-24T00:00:00.000
219,SPC000219,79,Vertex SalesPromotionCampaign 219,1,1,2026-08-24T00:00:00.000
220,SPC000220,26,Cedar SalesPromotionCampaign 220,1,1,2026-08-24T00:00:00.000
221,SPC000221,60,Ion SalesPromotionCampaign 221,1,1,2026-08-24T00:00:00.000
222,SPC000222,49,Ion SalesPromotionCampaign 222,1,1,2026-08-24T00:00:00.000
223,SPC000223,3,Forge SalesPromotionCampaign 223,1,1,2026-08-24T00:00:00.000
224,SPC000224,34,Pioneer SalesPromotionCampaign 224,1,1,2026-08-24T00:00:00.000
225,SPC000225,69,Summit SalesPromotionCampaign 225,1,1,2026-08-24T00:00:00.000
226,SPC000226,49,Summit SalesPromotionCampaign 226,1,1,2026-08-24T00:00:00.000
227,SPC000227,42,Quartz SalesPromotionCampaign 227,1,1,2026-08-24T00:00:00.000
228,SPC000228,1,Quartz SalesPromotionCampaign 228,1,1,2026-08-24T00:00:00.000
229,SPC000229,2,Beacon SalesPromotionCampaign 229,1,1,2026-08-24T00:00:00.000
230,SPC000230,20,Titan SalesPromotionCampaign 230,1,1,2026-08-24T00:00:00.000
231,SPC000231,59,Meridian SalesPromotionCampaign 231,1,1,2026-08-24T00:00:00.000
232,SPC000232,75,Ion SalesPromotionCampaign 232,1,1,2026-08-24T00:00:00.000
233,SPC000233,5,Pioneer SalesPromotionCampaign 233,1,1,2026-08-24T00:00:00.000
234,SPC000234,22,Quartz SalesPromotionCampaign 234,1,1,2026-08-24T00:00:00.000
235,SPC000235,45,Willow SalesPromotionCampaign 235,1,1,2026-08-24T00:00:00.000
236,SPC000236,58,Riverton SalesPromotionCampaign 236,1,1,2026-08-24T00:00:00.000
237,SPC000237,28,Meridian SalesPromotionCampaign 237,1,1,2026-08-24T00:00:00.000
238,SPC000238,22,Atlas SalesPromotionCampaign 238,1,1,2026-08-24T00:00:00.000
239,SPC000239,53,Atlas SalesPromotionCampaign 239,1,1,2026-08-24T00:00:00.000
240,SPC000240,58,Quartz SalesPromotionCampaign 240,1,1,2026-08-24T00:00:00.000
241,SPC000241,69,Riverton SalesPromotionCampaign 241,1,1,2026-08-24T00:00:00.000
242,SPC000242,44,Unity SalesPromotionCampaign 242,1,1,2026-08-24T00:00:00.000
243,SPC000243,8,Vertex SalesPromotionCampaign 243,1,1,2026-08-24T00:00:00.000
244,SPC000244,35,Pioneer SalesPromotionCampaign 244,1,1,2026-08-24T00:00:00.000
245,SPC000245,59,Summit SalesPromotionCampaign 245,1,1,2026-08-24T00:00:00.000
246,SPC000246,40,Atlas SalesPromotionCampaign 246,1,1,2026-08-24T00:00:00.000
247,SPC000247,54,Pioneer SalesPromotionCampaign 247,1,1,2026-08-24T00:00:00.000
248,SPC000248,22,Summit SalesPromotionCampaign 248,1,1,2026-08-24T00:00:00.000
249,SPC000249,60,Atlas SalesPromotionCampaign 249,1,1,2026-08-24T00:00:00.000
250,SPC000250,47,Keystone SalesPromotionCampaign 250,1,1,2026-08-24T00:00:00.000
251,SPC000251,50,Beacon SalesPromotionCampaign 251,1,1,2026-08-24T00:00:00.000
252,SPC000252,52,Evergreen SalesPromotionCampaign 252,1,1,2026-08-24T00:00:00.000
253,SPC000253,73,Meridian SalesPromotionCampaign 253,1,1,2026-08-24T00:00:00.000
254,SPC000254,7,Zenith SalesPromotionCampaign 254,1,1,2026-08-24T00:00:00.000
255,SPC000255,46,Unity SalesPromotionCampaign 255,1,1,2026-08-24T00:00:00.000
256,SPC000256,44,Unity SalesPromotionCampaign 256,1,1,2026-08-24T00:00:00.000
257,SPC000257,73,Delta SalesPromotionCampaign 257,1,1,2026-08-24T00:00:00.000
258,SPC000258,46,Zenith SalesPromotionCampaign 258,1,1,2026-08-24T00:00:00.000
259,SPC000259,43,Titan SalesPromotionCampaign 259,1,1,2026-08-24T00:00:00.000
260,SPC000260,71,Unity SalesPromotionCampaign 260,1,1,2026-08-24T00:00:00.000
261,SPC000261,21,Orion SalesPromotionCampaign 261,1,1,2026-08-24T00:00:00.000
262,SPC000262,61,Northstar SalesPromotionCampaign 262,1,1,2026-08-24T00:00:00.000
263,SPC000263,49,Junction SalesPromotionCampaign 263,1,1,2026-08-24T00:00:00.000
264,SPC000264,16,Titan SalesPromotionCampaign 264,1,1,2026-08-24T00:00:00.000
265,SPC000265,62,Cedar SalesPromotionCampaign 265,1,1,2026-08-24T00:00:00.000
266,SPC000266,30,Summit SalesPromotionCampaign 266,1,1,2026-08-24T00:00:00.000
267,SPC000267,13,Pioneer SalesPromotionCampaign 267,1,1,2026-08-24T00:00:00.000
268,SPC000268,21,Ion SalesPromotionCampaign 268,1,1,2026-08-24T00:00:00.000
269,SPC000269,9,Willow SalesPromotionCampaign 269,1,1,2026-08-24T00:00:00.000
270,SPC000270,23,Summit SalesPromotionCampaign 270,1,1,2026-08-24T00:00:00.000
271,SPC000271,29,Meridian SalesPromotionCampaign 271,1,1,2026-08-24T00:00:00.000
272,SPC000272,45,Granite SalesPromotionCampaign 272,1,1,2026-08-24T00:00:00.000
273,SPC000273,25,Liberty SalesPromotionCampaign 273,1,1,2026-08-24T00:00:00.000
274,SPC000274,32,Cedar SalesPromotionCampaign 274,1,1,2026-08-24T00:00:00.000
275,SPC000275,20,Titan SalesPromotionCampaign 275,1,1,2026-08-24T00:00:00.000
276,SPC000276,75,Titan SalesPromotionCampaign 276,1,1,2026-08-24T00:00:00.000
277,SPC000277,22,Riverton SalesPromotionCampaign 277,1,1,2026-08-24T00:00:00.000
278,SPC000278,46,Willow SalesPromotionCampaign 278,1,1,2026-08-24T00:00:00.000
279,SPC000279,67,Northstar SalesPromotionCampaign 279,1,1,2026-08-24T00:00:00.000
280,SPC000280,49,Junction SalesPromotionCampaign 280,1,1,2026-08-24T00:00:00.000
281,SPC000281,17,Northstar SalesPromotionCampaign 281,1,1,2026-08-24T00:00:00.000
282,SPC000282,54,Pioneer SalesPromotionCampaign 282,1,1,2026-08-24T00:00:00.000
283,SPC000283,13,Pioneer SalesPromotionCampaign 283,1,1,2026-08-24T00:00:00.000
284,SPC000284,49,Quartz SalesPromotionCampaign 284,1,1,2026-08-24T00:00:00.000
285,SPC000285,21,Riverton SalesPromotionCampaign 285,1,1,2026-08-24T00:00:00.000
286,SPC000286,16,Northstar SalesPromotionCampaign 286,1,1,2026-08-24T00:00:00.000
287,SPC000287,2,Meridian SalesPromotionCampaign 287,1,1,2026-08-24T00:00:00.000
288,SPC000288,49,Vertex SalesPromotionCampaign 288,1,1,2026-08-24T00:00:00.000
289,SPC000289,28,Meridian SalesPromotionCampaign 289,1,1,2026-08-24T00:00:00.000
290,SPC000290,6,Titan SalesPromotionCampaign 290,1,1,2026-08-24T00:00:00.000
291,SPC000291,12,Delta SalesPromotionCampaign 291,1,1,2026-08-24T00:00:00.000
292,SPC000292,56,Liberty SalesPromotionCampaign 292,1,1,2026-08-24T00:00:00.000
293,SPC000293,20,Liberty SalesPromotionCampaign 293,1,1,2026-08-24T00:00:00.000
294,SPC000294,26,Titan SalesPromotionCampaign 294,1,1,2026-08-24T00:00:00.000
295,SPC000295,71,Beacon SalesPromotionCampaign 295,1,1,2026-08-24T00:00:00.000
