FinanceReportingLineKey,FinanceReportingLineCode,FinanceStatementSectionKey,FinanceReportingLineName,SourceSystemKey,BatchId,LoadedAtUtc
31,FRL000031,3,Delta FinanceReportingLine 31,1,1,2026-08-24T00:00:00.000
32,FRL000032,11,Pioneer FinanceReportingLine 32,1,1,2026-08-24T00:00:00.000
33,FRL000033,8,Northstar FinanceReportingLine 33,1,1,2026-08-24T00:00:00.000
34,FRL000034,5,Unity FinanceReportingLine 34,1,1,2026-08-24T00:00:00.000
35,FRL000035,4,Orion FinanceReportingLine 35,1,1,2026-08-24T00:00:00.000
36,FRL000036,6,Ion FinanceReportingLine 36,1,1,2026-08-24T00:00:00.000
37,FRL000037,3,Keystone FinanceReportingLine 37,1,1,2026-08-24T00:00:00.000
38,FRL000038,7,Keystone FinanceReportingLine 38,1,1,2026-08-24T00:00:00.000
39,FRL000039,7,Ion FinanceReportingLine 39,1,1,2026-08-24T00:00:00.000
40,FRL000040,10,Granite FinanceReportingLine 40,1,1,2026-08-24T00:00:00.000
41,FRL000041,6,Delta FinanceReportingLine 41,1,1,2026-08-24T00:00:00.000
42,FRL000042,9,Zenith FinanceReportingLine 42,1,1,2026-08-24T00:00:00.000
43,FRL000043,1,Meridian FinanceReportingLine 43,1,1,2026-08-24T00:00:00.000
44,FRL000044,8,Meridian FinanceReportingLine 44,1,1,2026-08-24T00:00:00.000
45,FRL000045,7,Zenith FinanceReportingLine 45,1,1,2026-08-24T00:00:00.000
46,FRL000046,6,Evergreen FinanceReportingLine 46,1,1,2026-08-24T00:00:00.000
47,FRL000047,2,Pioneer FinanceReportingLine 47,1,1,2026-08-24T00:00:00.000
48,FRL000048,1,Forge FinanceReportingLine 48,1,1,2026-08-24T00:00:00.000
49,FRL000049,12,Junction FinanceReportingLine 49,1,1,2026-08-24T00:00:00.000
50,FRL000050,5,Keystone FinanceReportingLine 50,1,1,2026-08-24T00:00:00.000
51,FRL000051,7,Delta FinanceReportingLine 51,1,1,2026-08-24T00:00:00.000
52,FRL000052,5,Harbor FinanceReportingLine 52,1,1,2026-08-24T00:00:00.000
53,FRL000053,7,Orion FinanceReportingLine 53,1,1,2026-08-24T00:00:00.000
54,FRL000054,11,Unity FinanceReportingLine 54,1,1,2026-08-24T00:00:00.000
55,FRL000055,10,Liberty FinanceReportingLine 55,1,1,2026-08-24T00:00:00.000
56,FRL000056,6,Atlas FinanceReportingLine 56,1,1,2026-08-24T00:00:00.000
57,FRL000057,5,Junction FinanceReportingLine 57,1,1,2026-08-24T00:00:00.000
58,FRL000058,11,Northstar FinanceReportingLine 58,1,1,2026-08-24T00:00:00.000
59,FRL000059,2,Zenith FinanceReportingLine 59,1,1,2026-08-24T00:00:00.000
60,FRL000060,6,Willow FinanceReportingLine 60,1,1,2026-08-24T00:00:00.000
61,FRL000061,6,Atlas FinanceReportingLine 61,1,1,2026-08-24T00:00:00.000
62,FRL000062,9,Titan FinanceReportingLine 62,1,1,2026-08-24T00:00:00.000
63,FRL000063,11,Junction FinanceReportingLine 63,1,1,2026-08-24T00:00:00.000
64,FRL000064,6,Summit FinanceReportingLine 64,1,1,2026-08-24T00:00:00.000
65,FRL000065,9,Delta FinanceReportingLine 65,1,1,2026-08-24T00:00:00.000
66,FRL000066,2,Liberty FinanceReportingLine 66,1,1,2026-08-24T00:00:00.000
67,FRL000067,4,Pioneer FinanceReportingLine 67,1,1,2026-08-24T00:00:00.000
68,FRL000068,3,Ion FinanceReportingLine 68,1,1,2026-08-24T00:00:00.000
69,FRL000069,3,Riverton FinanceReportingLine 69,1,1,2026-08-24T00:00:00.000
70,FRL000070,6,Northstar FinanceReportingLine 70,1,1,2026-08-24T00:00:00.000
71,FRL000071,4,Forge FinanceReportingLine 71,1,1,2026-08-24T00:00:00.000
72,FRL000072,5,Liberty FinanceReportingLine 72,1,1,2026-08-24T00:00:00.000
73,FRL000073,2,Titan FinanceReportingLine 73,1,1,2026-08-24T00:00:00.000
74,FRL000074,5,Quartz FinanceReportingLine 74,1,1,2026-08-24T00:00:00.000
75,FRL000075,3,Harbor FinanceReportingLine 75,1,1,2026-08-24T00:00:00.000
76,FRL000076,7,Zenith FinanceReportingLine 76,1,1,2026-08-24T00:00:00.000
77,FRL000077,8,Delta FinanceReportingLine 77,1,1,2026-08-24T00:00:00.000
78,FRL000078,4,Granite FinanceReportingLine 78,1,1,2026-08-24T00:00:00.000
79,FRL000079,5,Vertex FinanceReportingLine 79,1,1,2026-08-24T00:00:00.000
80,FRL000080,7,Junction FinanceReportingLine 80,1,1,2026-08-24T00:00:00.000
81,FRL000081,2,Granite FinanceReportingLine 81,1,1,2026-08-24T00:00:00.000
82,FRL000082,11,Pioneer FinanceReportingLine 82,1,1,2026-08-24T00:00:00.000
83,FRL000083,1,Forge FinanceReportingLine 83,1,1,2026-08-24T00:00:00.000
84,FRL000084,2,Willow FinanceReportingLine 84,1,1,2026-08-24T00:00:00.000
85,FRL000085,7,Atlas FinanceReportingLine 85,1,1,2026-08-24T00:00:00.000
86,FRL000086,2,Delta FinanceReportingLine 86,1,1,2026-08-24T00:00:00.000
87,FRL000087,2,Meridian FinanceReportingLine 87,1,1,2026-08-24T00:00:00.000
88,FRL000088,12,Pioneer FinanceReportingLine 88,1,1,2026-08-24T00:00:00.000
89,FRL000089,5,Granite FinanceReportingLine 89,1,1,2026-08-24T00:00:00.000
90,FRL000090,6,Beacon FinanceReportingLine 90,1,1,2026-08-24T00:00:00.000
91,FRL000091,12,Titan FinanceReportingLine 91,1,1,2026-08-24T00:00:00.000
92,FRL000092,5,Ion FinanceReportingLine 92,1,1,2026-08-24T00:00:00.000
93,FRL000093,6,Riverton FinanceReportingLine 93,1,1,2026-08-24T00:00:00.000
94,FRL000094,10,Evergreen FinanceReportingLine 94,1,1,2026-08-24T00:00:00.000
95,FRL000095,3,Unity FinanceReportingLine 95,1,1,2026-08-24T00:00:00.000
96,FRL000096,5,Beacon FinanceReportingLine 96,1,1,2026-08-24T00:00:00.000
97,FRL000097,11,Delta FinanceReportingLine 97,1,1,2026-08-24T00:00:00.000
98,FRL000098,7,Quartz FinanceReportingLine 98,1,1,2026-08-24T00:00:00.000
99,FRL000099,6,Willow FinanceReportingLine 99,1,1,2026-08-24T00:00:00.000
100,FRL000100,8,Unity FinanceReportingLine 100,1,1,2026-08-24T00:00:00.000
101,FRL000101,7,Willow FinanceReportingLine 101,1,1,2026-08-24T00:00:00.000
102,FRL000102,2,Atlas FinanceReportingLine 102,1,1,2026-08-24T00:00:00.000
103,FRL000103,5,Summit FinanceReportingLine 103,1,1,2026-08-24T00:00:00.000
104,FRL000104,11,Unity FinanceReportingLine 104,1,1,2026-08-24T00:00:00.000
105,FRL000105,1,Vertex FinanceReportingLine 105,1,1,2026-08-24T00:00:00.000
106,FRL000106,3,Northstar FinanceReportingLine 106,1,1,2026-08-24T00:00:00.000
107,FRL000107,5,Riverton FinanceReportingLine 107,1,1,2026-08-24T00:00:00.000
108,FRL000108,6,Willow FinanceReportingLine 108,1,1,2026-08-24T00:00:00.000
109,FRL000109,10,Cedar FinanceReportingLine 109,1,1,2026-08-24T00:00:00.000
110,FRL000110,9,Quartz FinanceReportingLine 110,1,1,2026-08-24T00:00:00.000
111,FRL000111,4,Junction FinanceReportingLine 111,1,1,2026-08-24T00:00:00.000
112,FRL000112,5,Quartz FinanceReportingLine 112,1,1,2026-08-24T00:00:00.000
113,FRL000113,10,Quartz FinanceReportingLine 113,1,1,2026-08-24T00:00:00.000
114,FRL000114,8,Delta FinanceReportingLine 114,1,1,2026-08-24T00:00:00.000
115,FRL000115,3,Summit FinanceReportingLine 115,1,1,2026-08-24T00:00:00.000
116,FRL000116,10,Unity FinanceReportingLine 116,1,1,2026-08-24T00:00:00.000
117,FRL000117,3,Pioneer FinanceReportingLine 117,1,1,2026-08-24T00:00:00.000
118,FRL000118,12,Junction FinanceReportingLine 118,1,1,2026-08-24T00:00:00.000
119,FRL000119,6,Meridian FinanceReportingLine 119,1,1,2026-08-24T00:00:00.000
120,FRL000120,2,Riverton FinanceReportingLine 120,1,1,2026-08-24T00:00:00.000
