SalesPromotionTacticKey,SalesPromotionTacticCode,SalesPromotionOfferKey,SalesPromotionTacticName,SourceSystemKey,BatchId,LoadedAtUtc
26,SPT000026,132,Forge SalesPromotionTactic 26,1,1,2026-08-24T00:00:00.000
27,SPT000027,104,Forge SalesPromotionTactic 27,1,1,2026-08-24T00:00:00.000
28,SPT000028,395,Cedar SalesPromotionTactic 28,1,1,2026-08-24T00:00:00.000
29,SPT000029,440,Evergreen SalesPromotionTactic 29,1,1,2026-08-24T00:00:00.000
30,SPT000030,416,Summit SalesPromotionTactic 30,1,1,2026-08-24T00:00:00.000
31,SPT000031,102,Cedar SalesPromotionTactic 31,1,1,2026-08-24T00:00:00.000
32,SPT000032,246,Atlas SalesPromotionTactic 32,1,1,2026-08-24T00:00:00.000
33,SPT000033,311,Evergreen SalesPromotionTactic 33,1,1,2026-08-24T00:00:00.000
34,SPT000034,133,Vertex SalesPromotionTactic 34,1,1,2026-08-24T00:00:00.000
35,SPT000035,233,Harbor SalesPromotionTactic 35,1,1,2026-08-24T00:00:00.000
36,SPT000036,173,Harbor SalesPromotionTactic 36,1,1,2026-08-24T00:00:00.000
37,SPT000037,437,Titan SalesPromotionTactic 37,1,1,2026-08-24T00:00:00.000
38,SPT000038,19,Orion SalesPromotionTactic 38,1,1,2026-08-24T00:00:00.000
39,SPT000039,143,Evergreen SalesPromotionTactic 39,1,1,2026-08-24T00:00:00.000
40,SPT000040,209,Meridian SalesPromotionTactic 40,1,1,2026-08-24T00:00:00.000
41,SPT000041,496,Vertex SalesPromotionTactic 41,1,1,2026-08-24T00:00:00.000
42,SPT000042,234,Orion SalesPromotionTactic 42,1,1,2026-08-24T00:00:00.000
43,SPT000043,182,Vertex SalesPromotionTactic 43,1,1,2026-08-24T00:00:00.000
44,SPT000044,402,Ion SalesPromotionTactic 44,1,1,2026-08-24T00:00:00.000
45,SPT000045,428,Meridian SalesPromotionTactic 45,1,1,2026-08-24T00:00:00.000
46,SPT000046,62,Vertex SalesPromotionTactic 46,1,1,2026-08-24T00:00:00.000
47,SPT000047,25,Riverton SalesPromotionTactic 47,1,1,2026-08-24T00:00:00.000
48,SPT000048,14,Willow SalesPromotionTactic 48,1,1,2026-08-24T00:00:00.000
49,SPT000049,298,Northstar SalesPromotionTactic 49,1,1,2026-08-24T00:00:00.000
50,SPT000050,70,Delta SalesPromotionTactic 50,1,1,2026-08-24T00:00:00.000
51,SPT000051,91,Forge SalesPromotionTactic 51,1,1,2026-08-24T00:00:00.000
52,SPT000052,404,Summit SalesPromotionTactic 52,1,1,2026-08-24T00:00:00.000
53,SPT000053,383,Northstar SalesPromotionTactic 53,1,1,2026-08-24T00:00:00.000
54,SPT000054,481,Summit SalesPromotionTactic 54,1,1,2026-08-24T00:00:00.000
55,SPT000055,70,Granite SalesPromotionTactic 55,1,1,2026-08-24T00:00:00.000
56,SPT000056,335,Riverton SalesPromotionTactic 56,1,1,2026-08-24T00:00:00.000
57,SPT000057,292,Harbor SalesPromotionTactic 57,1,1,2026-08-24T00:00:00.000
58,SPT000058,83,Willow SalesPromotionTactic 58,1,1,2026-08-24T00:00:00.000
59,SPT000059,39,Titan SalesPromotionTactic 59,1,1,2026-08-24T00:00:00.000
60,SPT000060,308,Riverton SalesPromotionTactic 60,1,1,2026-08-24T00:00:00.000
61,SPT000061,280,Summit SalesPromotionTactic 61,1,1,2026-08-24T00:00:00.000
62,SPT000062,199,Harbor SalesPromotionTactic 62,1,1,2026-08-24T00:00:00.000
63,SPT000063,154,Forge SalesPromotionTactic 63,1,1,2026-08-24T00:00:00.000
64,SPT000064,310,Harbor SalesPromotionTactic 64,1,1,2026-08-24T00:00:00.000
65,SPT000065,81,Orion SalesPromotionTactic 65,1,1,2026-08-24T00:00:00.000
66,SPT000066,209,Junction SalesPromotionTactic 66,1,1,2026-08-24T00:00:00.000
67,SPT000067,337,Granite SalesPromotionTactic 67,1,1,2026-08-24T00:00:00.000
68,SPT000068,267,Delta SalesPromotionTactic 68,1,1,2026-08-24T00:00:00.000
69,SPT000069,146,Junction SalesPromotionTactic 69,1,1,2026-08-24T00:00:00.000
70,SPT000070,355,Titan SalesPromotionTactic 70,1,1,2026-08-24T00:00:00.000
71,SPT000071,341,Northstar SalesPromotionTactic 71,1,1,2026-08-24T00:00:00.000
72,SPT000072,69,Ion SalesPromotionTactic 72,1,1,2026-08-24T00:00:00.000
73,SPT000073,11,Orion SalesPromotionTactic 73,1,1,2026-08-24T00:00:00.000
74,SPT000074,427,Meridian SalesPromotionTactic 74,1,1,2026-08-24T00:00:00.000
75,SPT000075,386,Granite SalesPromotionTactic 75,1,1,2026-08-24T00:00:00.000
76,SPT000076,111,Zenith SalesPromotionTactic 76,1,1,2026-08-24T00:00:00.000
77,SPT000077,359,Junction SalesPromotionTactic 77,1,1,2026-08-24T00:00:00.000
78,SPT000078,470,Granite SalesPromotionTactic 78,1,1,2026-08-24T00:00:00.000
79,SPT000079,424,Summit SalesPromotionTactic 79,1,1,2026-08-24T00:00:00.000
80,SPT000080,186,Willow SalesPromotionTactic 80,1,1,2026-08-24T00:00:00.000
81,SPT000081,307,Pioneer SalesPromotionTactic 81,1,1,2026-08-24T00:00:00.000
82,SPT000082,237,Willow SalesPromotionTactic 82,1,1,2026-08-24T00:00:00.000
83,SPT000083,392,Granite SalesPromotionTactic 83,1,1,2026-08-24T00:00:00.000
84,SPT000084,494,Quartz SalesPromotionTactic 84,1,1,2026-08-24T00:00:00.000
85,SPT000085,67,Unity SalesPromotionTactic 85,1,1,2026-08-24T00:00:00.000
86,SPT000086,142,Harbor SalesPromotionTactic 86,1,1,2026-08-24T00:00:00.000
87,SPT000087,82,Unity SalesPromotionTactic 87,1,1,2026-08-24T00:00:00.000
88,SPT000088,247,Northstar SalesPromotionTactic 88,1,1,2026-08-24T00:00:00.000
89,SPT000089,192,Riverton SalesPromotionTactic 89,1,1,2026-08-24T00:00:00.000
90,SPT000090,126,Pioneer SalesPromotionTactic 90,1,1,2026-08-24T00:00:00.000
91,SPT000091,459,Granite SalesPromotionTactic 91,1,1,2026-08-24T00:00:00.000
92,SPT000092,302,Unity SalesPromotionTactic 92,1,1,2026-08-24T00:00:00.000
93,SPT000093,200,Harbor SalesPromotionTactic 93,1,1,2026-08-24T00:00:00.000
94,SPT000094,443,Northstar SalesPromotionTactic 94,1,1,2026-08-24T00:00:00.000
95,SPT000095,179,Liberty SalesPromotionTactic 95,1,1,2026-08-24T00:00:00.000
96,SPT000096,494,Ion SalesPromotionTactic 96,1,1,2026-08-24T00:00:00.000
97,SPT000097,430,Forge SalesPromotionTactic 97,1,1,2026-08-24T00:00:00.000
98,SPT000098,173,Liberty SalesPromotionTactic 98,1,1,2026-08-24T00:00:00.000
99,SPT000099,375,Summit SalesPromotionTactic 99,1,1,2026-08-24T00:00:00.000
100,SPT000100,207,Pioneer SalesPromotionTactic 100,1,1,2026-08-24T00:00:00.000
101,SPT000101,139,Summit SalesPromotionTactic 101,1,1,2026-08-24T00:00:00.000
102,SPT000102,181,Summit SalesPromotionTactic 102,1,1,2026-08-24T00:00:00.000
103,SPT000103,337,Delta SalesPromotionTactic 103,1,1,2026-08-24T00:00:00.000
104,SPT000104,168,Harbor SalesPromotionTactic 104,1,1,2026-08-24T00:00:00.000
105,SPT000105,253,Ion SalesPromotionTactic 105,1,1,2026-08-24T00:00:00.000
106,SPT000106,6,Cedar SalesPromotionTactic 106,1,1,2026-08-24T00:00:00.000
107,SPT000107,278,Orion SalesPromotionTactic 107,1,1,2026-08-24T00:00:00.000
108,SPT000108,159,Zenith SalesPromotionTactic 108,1,1,2026-08-24T00:00:00.000
109,SPT000109,138,Willow SalesPromotionTactic 109,1,1,2026-08-24T00:00:00.000
110,SPT000110,274,Delta SalesPromotionTactic 110,1,1,2026-08-24T00:00:00.000
111,SPT000111,15,Liberty SalesPromotionTactic 111,1,1,2026-08-24T00:00:00.000
112,SPT000112,205,Willow SalesPromotionTactic 112,1,1,2026-08-24T00:00:00.000
113,SPT000113,294,Liberty SalesPromotionTactic 113,1,1,2026-08-24T00:00:00.000
114,SPT000114,33,Riverton SalesPromotionTactic 114,1,1,2026-08-24T00:00:00.000
115,SPT000115,97,Orion SalesPromotionTactic 115,1,1,2026-08-24T00:00:00.000
116,SPT000116,416,Meridian SalesPromotionTactic 116,1,1,2026-08-24T00:00:00.000
117,SPT000117,313,Willow SalesPromotionTactic 117,1,1,2026-08-24T00:00:00.000
118,SPT000118,129,Orion SalesPromotionTactic 118,1,1,2026-08-24T00:00:00.000
119,SPT000119,2,Unity SalesPromotionTactic 119,1,1,2026-08-24T00:00:00.000
120,SPT000120,360,Beacon SalesPromotionTactic 120,1,1,2026-08-24T00:00:00.000
121,SPT000121,217,Ion SalesPromotionTactic 121,1,1,2026-08-24T00:00:00.000
122,SPT000122,237,Titan SalesPromotionTactic 122,1,1,2026-08-24T00:00:00.000
123,SPT000123,228,Orion SalesPromotionTactic 123,1,1,2026-08-24T00:00:00.000
124,SPT000124,355,Forge SalesPromotionTactic 124,1,1,2026-08-24T00:00:00.000
125,SPT000125,452,Harbor SalesPromotionTactic 125,1,1,2026-08-24T00:00:00.000
126,SPT000126,464,Zenith SalesPromotionTactic 126,1,1,2026-08-24T00:00:00.000
127,SPT000127,341,Harbor SalesPromotionTactic 127,1,1,2026-08-24T00:00:00.000
128,SPT000128,280,Meridian SalesPromotionTactic 128,1,1,2026-08-24T00:00:00.000
129,SPT000129,101,Granite SalesPromotionTactic 129,1,1,2026-08-24T00:00:00.000
130,SPT000130,96,Vertex SalesPromotionTactic 130,1,1,2026-08-24T00:00:00.000
131,SPT000131,371,Riverton SalesPromotionTactic 131,1,1,2026-08-24T00:00:00.000
132,SPT000132,197,Forge SalesPromotionTactic 132,1,1,2026-08-24T00:00:00.000
133,SPT000133,405,Northstar SalesPromotionTactic 133,1,1,2026-08-24T00:00:00.000
134,SPT000134,419,Evergreen SalesPromotionTactic 134,1,1,2026-08-24T00:00:00.000
135,SPT000135,54,Liberty SalesPromotionTactic 135,1,1,2026-08-24T00:00:00.000
136,SPT000136,470,Keystone SalesPromotionTactic 136,1,1,2026-08-24T00:00:00.000
137,SPT000137,166,Willow SalesPromotionTactic 137,1,1,2026-08-24T00:00:00.000
138,SPT000138,114,Vertex SalesPromotionTactic 138,1,1,2026-08-24T00:00:00.000
139,SPT000139,110,Atlas SalesPromotionTactic 139,1,1,2026-08-24T00:00:00.000
140,SPT000140,446,Delta SalesPromotionTactic 140,1,1,2026-08-24T00:00:00.000
141,SPT000141,449,Liberty SalesPromotionTactic 141,1,1,2026-08-24T00:00:00.000
142,SPT000142,288,Junction SalesPromotionTactic 142,1,1,2026-08-24T00:00:00.000
143,SPT000143,15,Summit SalesPromotionTactic 143,1,1,2026-08-24T00:00:00.000
144,SPT000144,4,Keystone SalesPromotionTactic 144,1,1,2026-08-24T00:00:00.000
145,SPT000145,29,Unity SalesPromotionTactic 145,1,1,2026-08-24T00:00:00.000
146,SPT000146,5,Orion SalesPromotionTactic 146,1,1,2026-08-24T00:00:00.000
147,SPT000147,404,Riverton SalesPromotionTactic 147,1,1,2026-08-24T00:00:00.000
148,SPT000148,19,Orion SalesPromotionTactic 148,1,1,2026-08-24T00:00:00.000
149,SPT000149,423,Harbor SalesPromotionTactic 149,1,1,2026-08-24T00:00:00.000
150,SPT000150,305,Granite SalesPromotionTactic 150,1,1,2026-08-24T00:00:00.000
151,SPT000151,347,Riverton SalesPromotionTactic 151,1,1,2026-08-24T00:00:00.000
152,SPT000152,77,Beacon SalesPromotionTactic 152,1,1,2026-08-24T00:00:00.000
153,SPT000153,491,Riverton SalesPromotionTactic 153,1,1,2026-08-24T00:00:00.000
154,SPT000154,333,Titan SalesPromotionTactic 154,1,1,2026-08-24T00:00:00.000
155,SPT000155,229,Quartz SalesPromotionTactic 155,1,1,2026-08-24T00:00:00.000
156,SPT000156,11,Vertex SalesPromotionTactic 156,1,1,2026-08-24T00:00:00.000
157,SPT000157,315,Harbor SalesPromotionTactic 157,1,1,2026-08-24T00:00:00.000
158,SPT000158,429,Quartz SalesPromotionTactic 158,1,1,2026-08-24T00:00:00.000
159,SPT000159,390,Granite SalesPromotionTactic 159,1,1,2026-08-24T00:00:00.000
160,SPT000160,407,Forge SalesPromotionTactic 160,1,1,2026-08-24T00:00:00.000
161,SPT000161,163,Harbor SalesPromotionTactic 161,1,1,2026-08-24T00:00:00.000
162,SPT000162,388,Junction SalesPromotionTactic 162,1,1,2026-08-24T00:00:00.000
163,SPT000163,334,Evergreen SalesPromotionTactic 163,1,1,2026-08-24T00:00:00.000
164,SPT000164,333,Evergreen SalesPromotionTactic 164,1,1,2026-08-24T00:00:00.000
165,SPT000165,278,Granite SalesPromotionTactic 165,1,1,2026-08-24T00:00:00.000
166,SPT000166,426,Orion SalesPromotionTactic 166,1,1,2026-08-24T00:00:00.000
167,SPT000167,125,Ion SalesPromotionTactic 167,1,1,2026-08-24T00:00:00.000
168,SPT000168,351,Atlas SalesPromotionTactic 168,1,1,2026-08-24T00:00:00.000
169,SPT000169,466,Cedar SalesPromotionTactic 169,1,1,2026-08-24T00:00:00.000
170,SPT000170,160,Titan SalesPromotionTactic 170,1,1,2026-08-24T00:00:00.000
171,SPT000171,217,Ion SalesPromotionTactic 171,1,1,2026-08-24T00:00:00.000
172,SPT000172,345,Keystone SalesPromotionTactic 172,1,1,2026-08-24T00:00:00.000
173,SPT000173,157,Delta SalesPromotionTactic 173,1,1,2026-08-24T00:00:00.000
174,SPT000174,447,Cedar SalesPromotionTactic 174,1,1,2026-08-24T00:00:00.000
175,SPT000175,401,Summit SalesPromotionTactic 175,1,1,2026-08-24T00:00:00.000
176,SPT000176,281,Cedar SalesPromotionTactic 176,1,1,2026-08-24T00:00:00.000
177,SPT000177,303,Junction SalesPromotionTactic 177,1,1,2026-08-24T00:00:00.000
178,SPT000178,334,Keystone SalesPromotionTactic 178,1,1,2026-08-24T00:00:00.000
179,SPT000179,171,Granite SalesPromotionTactic 179,1,1,2026-08-24T00:00:00.000
180,SPT000180,305,Quartz SalesPromotionTactic 180,1,1,2026-08-24T00:00:00.000
181,SPT000181,448,Keystone SalesPromotionTactic 181,1,1,2026-08-24T00:00:00.000
182,SPT000182,373,Liberty SalesPromotionTactic 182,1,1,2026-08-24T00:00:00.000
183,SPT000183,104,Forge SalesPromotionTactic 183,1,1,2026-08-24T00:00:00.000
184,SPT000184,481,Forge SalesPromotionTactic 184,1,1,2026-08-24T00:00:00.000
185,SPT000185,186,Junction SalesPromotionTactic 185,1,1,2026-08-24T00:00:00.000
186,SPT000186,49,Titan SalesPromotionTactic 186,1,1,2026-08-24T00:00:00.000
187,SPT000187,237,Willow SalesPromotionTactic 187,1,1,2026-08-24T00:00:00.000
188,SPT000188,376,Vertex SalesPromotionTactic 188,1,1,2026-08-24T00:00:00.000
189,SPT000189,467,Vertex SalesPromotionTactic 189,1,1,2026-08-24T00:00:00.000
190,SPT000190,37,Keystone SalesPromotionTactic 190,1,1,2026-08-24T00:00:00.000
191,SPT000191,383,Vertex SalesPromotionTactic 191,1,1,2026-08-24T00:00:00.000
192,SPT000192,3,Titan SalesPromotionTactic 192,1,1,2026-08-24T00:00:00.000
193,SPT000193,486,Orion SalesPromotionTactic 193,1,1,2026-08-24T00:00:00.000
194,SPT000194,176,Pioneer SalesPromotionTactic 194,1,1,2026-08-24T00:00:00.000
195,SPT000195,301,Beacon SalesPromotionTactic 195,1,1,2026-08-24T00:00:00.000
196,SPT000196,214,Delta SalesPromotionTactic 196,1,1,2026-08-24T00:00:00.000
197,SPT000197,34,Ion SalesPromotionTactic 197,1,1,2026-08-24T00:00:00.000
198,SPT000198,75,Summit SalesPromotionTactic 198,1,1,2026-08-24T00:00:00.000
199,SPT000199,498,Delta SalesPromotionTactic 199,1,1,2026-08-24T00:00:00.000
200,SPT000200,126,Cedar SalesPromotionTactic 200,1,1,2026-08-24T00:00:00.000
201,SPT000201,200,Titan SalesPromotionTactic 201,1,1,2026-08-24T00:00:00.000
202,SPT000202,335,Riverton SalesPromotionTactic 202,1,1,2026-08-24T00:00:00.000
203,SPT000203,490,Liberty SalesPromotionTactic 203,1,1,2026-08-24T00:00:00.000
204,SPT000204,41,Summit SalesPromotionTactic 204,1,1,2026-08-24T00:00:00.000
205,SPT000205,48,Granite SalesPromotionTactic 205,1,1,2026-08-24T00:00:00.000
206,SPT000206,96,Atlas SalesPromotionTactic 206,1,1,2026-08-24T00:00:00.000
207,SPT000207,157,Orion SalesPromotionTactic 207,1,1,2026-08-24T00:00:00.000
208,SPT000208,379,Unity SalesPromotionTactic 208,1,1,2026-08-24T00:00:00.000
209,SPT000209,350,Forge SalesPromotionTactic 209,1,1,2026-08-24T00:00:00.000
210,SPT000210,45,Titan SalesPromotionTactic 210,1,1,2026-08-24T00:00:00.000
211,SPT000211,24,Willow SalesPromotionTactic 211,1,1,2026-08-24T00:00:00.000
212,SPT000212,333,Keystone SalesPromotionTactic 212,1,1,2026-08-24T00:00:00.000
213,SPT000213,165,Ion SalesPromotionTactic 213,1,1,2026-08-24T00:00:00.000
214,SPT000214,223,Evergreen SalesPromotionTactic 214,1,1,2026-08-24T00:00:00.000
215,SPT000215,307,Meridian SalesPromotionTactic 215,1,1,2026-08-24T00:00:00.000
216,SPT000216,404,Summit SalesPromotionTactic 216,1,1,2026-08-24T00:00:00.000
217,SPT000217,348,Harbor SalesPromotionTactic 217,1,1,2026-08-24T00:00:00.000
218,SPT000218,162,Keystone SalesPromotionTactic 218,1,1,2026-08-24T00:00:00.000
219,SPT000219,499,Evergreen SalesPromotionTactic 219,1,1,2026-08-24T00:00:00.000
220,SPT000220,356,Atlas SalesPromotionTactic 220,1,1,2026-08-24T00:00:00.000
221,SPT000221,379,Pioneer SalesPromotionTactic 221,1,1,2026-08-24T00:00:00.000
222,SPT000222,125,Evergreen SalesPromotionTactic 222,1,1,2026-08-24T00:00:00.000
223,SPT000223,366,Keystone SalesPromotionTactic 223,1,1,2026-08-24T00:00:00.000
224,SPT000224,213,Harbor SalesPromotionTactic 224,1,1,2026-08-24T00:00:00.000
225,SPT000225,232,Junction SalesPromotionTactic 225,1,1,2026-08-24T00:00:00.000
226,SPT000226,388,Zenith SalesPromotionTactic 226,1,1,2026-08-24T00:00:00.000
227,SPT000227,499,Liberty SalesPromotionTactic 227,1,1,2026-08-24T00:00:00.000
228,SPT000228,339,Pioneer SalesPromotionTactic 228,1,1,2026-08-24T00:00:00.000
229,SPT000229,30,Vertex SalesPromotionTactic 229,1,1,2026-08-24T00:00:00.000
230,SPT000230,16,Cedar SalesPromotionTactic 230,1,1,2026-08-24T00:00:00.000
231,SPT000231,147,Summit SalesPromotionTactic 231,1,1,2026-08-24T00:00:00.000
232,SPT000232,309,Willow SalesPromotionTactic 232,1,1,2026-08-24T00:00:00.000
233,SPT000233,65,Ion SalesPromotionTactic 233,1,1,2026-08-24T00:00:00.000
234,SPT000234,451,Riverton SalesPromotionTactic 234,1,1,2026-08-24T00:00:00.000
235,SPT000235,492,Willow SalesPromotionTactic 235,1,1,2026-08-24T00:00:00.000
236,SPT000236,114,Zenith SalesPromotionTactic 236,1,1,2026-08-24T00:00:00.000
237,SPT000237,52,Riverton SalesPromotionTactic 237,1,1,2026-08-24T00:00:00.000
238,SPT000238,209,Harbor SalesPromotionTactic 238,1,1,2026-08-24T00:00:00.000
239,SPT000239,306,Pioneer SalesPromotionTactic 239,1,1,2026-08-24T00:00:00.000
240,SPT000240,441,Quartz SalesPromotionTactic 240,1,1,2026-08-24T00:00:00.000
241,SPT000241,451,Riverton SalesPromotionTactic 241,1,1,2026-08-24T00:00:00.000
242,SPT000242,175,Ion SalesPromotionTactic 242,1,1,2026-08-24T00:00:00.000
243,SPT000243,50,Granite SalesPromotionTactic 243,1,1,2026-08-24T00:00:00.000
244,SPT000244,399,Zenith SalesPromotionTactic 244,1,1,2026-08-24T00:00:00.000
245,SPT000245,318,Meridian SalesPromotionTactic 245,1,1,2026-08-24T00:00:00.000
246,SPT000246,72,Titan SalesPromotionTactic 246,1,1,2026-08-24T00:00:00.000
247,SPT000247,371,Delta SalesPromotionTactic 247,1,1,2026-08-24T00:00:00.000
248,SPT000248,459,Liberty SalesPromotionTactic 248,1,1,2026-08-24T00:00:00.000
249,SPT000249,266,Cedar SalesPromotionTactic 249,1,1,2026-08-24T00:00:00.000
250,SPT000250,315,Cedar SalesPromotionTactic 250,1,1,2026-08-24T00:00:00.000
251,SPT000251,163,Unity SalesPromotionTactic 251,1,1,2026-08-24T00:00:00.000
252,SPT000252,276,Riverton SalesPromotionTactic 252,1,1,2026-08-24T00:00:00.000
253,SPT000253,488,Pioneer SalesPromotionTactic 253,1,1,2026-08-24T00:00:00.000
254,SPT000254,457,Beacon SalesPromotionTactic 254,1,1,2026-08-24T00:00:00.000
255,SPT000255,96,Pioneer SalesPromotionTactic 255,1,1,2026-08-24T00:00:00.000
256,SPT000256,245,Evergreen SalesPromotionTactic 256,1,1,2026-08-24T00:00:00.000
257,SPT000257,11,Unity SalesPromotionTactic 257,1,1,2026-08-24T00:00:00.000
258,SPT000258,451,Vertex SalesPromotionTactic 258,1,1,2026-08-24T00:00:00.000
259,SPT000259,484,Riverton SalesPromotionTactic 259,1,1,2026-08-24T00:00:00.000
260,SPT000260,175,Zenith SalesPromotionTactic 260,1,1,2026-08-24T00:00:00.000
261,SPT000261,124,Riverton SalesPromotionTactic 261,1,1,2026-08-24T00:00:00.000
262,SPT000262,80,Unity SalesPromotionTactic 262,1,1,2026-08-24T00:00:00.000
263,SPT000263,351,Northstar SalesPromotionTactic 263,1,1,2026-08-24T00:00:00.000
264,SPT000264,164,Quartz SalesPromotionTactic 264,1,1,2026-08-24T00:00:00.000
265,SPT000265,7,Unity SalesPromotionTactic 265,1,1,2026-08-24T00:00:00.000
266,SPT000266,210,Harbor SalesPromotionTactic 266,1,1,2026-08-24T00:00:00.000
267,SPT000267,453,Zenith SalesPromotionTactic 267,1,1,2026-08-24T00:00:00.000
268,SPT000268,180,Titan SalesPromotionTactic 268,1,1,2026-08-24T00:00:00.000
269,SPT000269,492,Evergreen SalesPromotionTactic 269,1,1,2026-08-24T00:00:00.000
270,SPT000270,105,Cedar SalesPromotionTactic 270,1,1,2026-08-24T00:00:00.000
271,SPT000271,334,Willow SalesPromotionTactic 271,1,1,2026-08-24T00:00:00.000
272,SPT000272,405,Atlas SalesPromotionTactic 272,1,1,2026-08-24T00:00:00.000
273,SPT000273,360,Granite SalesPromotionTactic 273,1,1,2026-08-24T00:00:00.000
274,SPT000274,343,Atlas SalesPromotionTactic 274,1,1,2026-08-24T00:00:00.000
275,SPT000275,399,Granite SalesPromotionTactic 275,1,1,2026-08-24T00:00:00.000
276,SPT000276,101,Zenith SalesPromotionTactic 276,1,1,2026-08-24T00:00:00.000
277,SPT000277,420,Northstar SalesPromotionTactic 277,1,1,2026-08-24T00:00:00.000
278,SPT000278,478,Quartz SalesPromotionTactic 278,1,1,2026-08-24T00:00:00.000
279,SPT000279,236,Junction SalesPromotionTactic 279,1,1,2026-08-24T00:00:00.000
280,SPT000280,181,Keystone SalesPromotionTactic 280,1,1,2026-08-24T00:00:00.000
281,SPT000281,323,Quartz SalesPromotionTactic 281,1,1,2026-08-24T00:00:00.000
282,SPT000282,439,Junction SalesPromotionTactic 282,1,1,2026-08-24T00:00:00.000
283,SPT000283,344,Junction SalesPromotionTactic 283,1,1,2026-08-24T00:00:00.000
284,SPT000284,37,Pioneer SalesPromotionTactic 284,1,1,2026-08-24T00:00:00.000
285,SPT000285,356,Northstar SalesPromotionTactic 285,1,1,2026-08-24T00:00:00.000
286,SPT000286,423,Northstar SalesPromotionTactic 286,1,1,2026-08-24T00:00:00.000
287,SPT000287,455,Ion SalesPromotionTactic 287,1,1,2026-08-24T00:00:00.000
288,SPT000288,292,Vertex SalesPromotionTactic 288,1,1,2026-08-24T00:00:00.000
289,SPT000289,433,Ion SalesPromotionTactic 289,1,1,2026-08-24T00:00:00.000
290,SPT000290,162,Riverton SalesPromotionTactic 290,1,1,2026-08-24T00:00:00.000
291,SPT000291,16,Northstar SalesPromotionTactic 291,1,1,2026-08-24T00:00:00.000
292,SPT000292,443,Unity SalesPromotionTactic 292,1,1,2026-08-24T00:00:00.000
293,SPT000293,364,Meridian SalesPromotionTactic 293,1,1,2026-08-24T00:00:00.000
294,SPT000294,128,Quartz SalesPromotionTactic 294,1,1,2026-08-24T00:00:00.000
295,SPT000295,5,Ion SalesPromotionTactic 295,1,1,2026-08-24T00:00:00.000
296,SPT000296,184,Unity SalesPromotionTactic 296,1,1,2026-08-24T00:00:00.000
297,SPT000297,84,Zenith SalesPromotionTactic 297,1,1,2026-08-24T00:00:00.000
298,SPT000298,448,Evergreen SalesPromotionTactic 298,1,1,2026-08-24T00:00:00.000
299,SPT000299,151,Liberty SalesPromotionTactic 299,1,1,2026-08-24T00:00:00.000
300,SPT000300,80,Northstar SalesPromotionTactic 300,1,1,2026-08-24T00:00:00.000
301,SPT000301,305,Orion SalesPromotionTactic 301,1,1,2026-08-24T00:00:00.000
302,SPT000302,490,Meridian SalesPromotionTactic 302,1,1,2026-08-24T00:00:00.000
