ServiceGeoDistrictKey,ServiceGeoDistrictCode,ServiceGeoRegionKey,ServiceGeoDistrictName,SourceSystemKey,BatchId,LoadedAtUtc
33,SGD000033,10,Cedar ServiceGeoDistrict 33,1,1,2026-08-24T00:00:00.000
34,SGD000034,12,Summit ServiceGeoDistrict 34,1,1,2026-08-24T00:00:00.000
35,SGD000035,7,Riverton ServiceGeoDistrict 35,1,1,2026-08-24T00:00:00.000
36,SGD000036,16,Meridian ServiceGeoDistrict 36,1,1,2026-08-24T00:00:00.000
37,SGD000037,15,Unity ServiceGeoDistrict 37,1,1,2026-08-24T00:00:00.000
38,SGD000038,11,Zenith ServiceGeoDistrict 38,1,1,2026-08-24T00:00:00.000
39,SGD000039,5,Summit ServiceGeoDistrict 39,1,1,2026-08-24T00:00:00.000
40,SGD000040,13,Orion ServiceGeoDistrict 40,1,1,2026-08-24T00:00:00.000
41,SGD000041,13,Keystone ServiceGeoDistrict 41,1,1,2026-08-24T00:00:00.000
42,SGD000042,8,Beacon ServiceGeoDistrict 42,1,1,2026-08-24T00:00:00.000
43,SGD000043,4,Unity ServiceGeoDistrict 43,1,1,2026-08-24T00:00:00.000
44,SGD000044,7,Vertex ServiceGeoDistrict 44,1,1,2026-08-24T00:00:00.000
45,SGD000045,18,Vertex ServiceGeoDistrict 45,1,1,2026-08-24T00:00:00.000
46,SGD000046,13,Delta ServiceGeoDistrict 46,1,1,2026-08-24T00:00:00.000
47,SGD000047,17,Pioneer ServiceGeoDistrict 47,1,1,2026-08-24T00:00:00.000
48,SGD000048,18,Evergreen ServiceGeoDistrict 48,1,1,2026-08-24T00:00:00.000
49,SGD000049,13,Orion ServiceGeoDistrict 49,1,1,2026-08-24T00:00:00.000
50,SGD000050,11,Atlas ServiceGeoDistrict 50,1,1,2026-08-24T00:00:00.000
51,SGD000051,9,Granite ServiceGeoDistrict 51,1,1,2026-08-24T00:00:00.000
52,SGD000052,15,Cedar ServiceGeoDistrict 52,1,1,2026-08-24T00:00:00.000
53,SGD000053,13,Forge ServiceGeoDistrict 53,1,1,2026-08-24T00:00:00.000
54,SGD000054,14,Riverton ServiceGeoDistrict 54,1,1,2026-08-24T00:00:00.000
55,SGD000055,6,Northstar ServiceGeoDistrict 55,1,1,2026-08-24T00:00:00.000
56,SGD000056,4,Vertex ServiceGeoDistrict 56,1,1,2026-08-24T00:00:00.000
57,SGD000057,18,Summit ServiceGeoDistrict 57,1,1,2026-08-24T00:00:00.000
58,SGD000058,6,Beacon ServiceGeoDistrict 58,1,1,2026-08-24T00:00:00.000
59,SGD000059,3,Granite ServiceGeoDistrict 59,1,1,2026-08-24T00:00:00.000
60,SGD000060,18,Harbor ServiceGeoDistrict 60,1,1,2026-08-24T00:00:00.000
61,SGD000061,2,Liberty ServiceGeoDistrict 61,1,1,2026-08-24T00:00:00.000
62,SGD000062,2,Unity ServiceGeoDistrict 62,1,1,2026-08-24T00:00:00.000
63,SGD000063,4,Northstar ServiceGeoDistrict 63,1,1,2026-08-24T00:00:00.000
64,SGD000064,18,Evergreen ServiceGeoDistrict 64,1,1,2026-08-24T00:00:00.000
65,SGD000065,4,Atlas ServiceGeoDistrict 65,1,1,2026-08-24T00:00:00.000
66,SGD000066,6,Granite ServiceGeoDistrict 66,1,1,2026-08-24T00:00:00.000
67,SGD000067,18,Liberty ServiceGeoDistrict 67,1,1,2026-08-24T00:00:00.000
68,SGD000068,13,Beacon ServiceGeoDistrict 68,1,1,2026-08-24T00:00:00.000
69,SGD000069,2,Ion ServiceGeoDistrict 69,1,1,2026-08-24T00:00:00.000
70,SGD000070,8,Keystone ServiceGeoDistrict 70,1,1,2026-08-24T00:00:00.000
71,SGD000071,17,Delta ServiceGeoDistrict 71,1,1,2026-08-24T00:00:00.000
72,SGD000072,13,Granite ServiceGeoDistrict 72,1,1,2026-08-24T00:00:00.000
73,SGD000073,1,Granite ServiceGeoDistrict 73,1,1,2026-08-24T00:00:00.000
74,SGD000074,15,Zenith ServiceGeoDistrict 74,1,1,2026-08-24T00:00:00.000
75,SGD000075,4,Granite ServiceGeoDistrict 75,1,1,2026-08-24T00:00:00.000
76,SGD000076,5,Zenith ServiceGeoDistrict 76,1,1,2026-08-24T00:00:00.000
77,SGD000077,12,Summit ServiceGeoDistrict 77,1,1,2026-08-24T00:00:00.000
78,SGD000078,2,Delta ServiceGeoDistrict 78,1,1,2026-08-24T00:00:00.000
79,SGD000079,10,Unity ServiceGeoDistrict 79,1,1,2026-08-24T00:00:00.000
80,SGD000080,13,Liberty ServiceGeoDistrict 80,1,1,2026-08-24T00:00:00.000
81,SGD000081,5,Unity ServiceGeoDistrict 81,1,1,2026-08-24T00:00:00.000
82,SGD000082,18,Beacon ServiceGeoDistrict 82,1,1,2026-08-24T00:00:00.000
83,SGD000083,5,Cedar ServiceGeoDistrict 83,1,1,2026-08-24T00:00:00.000
84,SGD000084,5,Summit ServiceGeoDistrict 84,1,1,2026-08-24T00:00:00.000
85,SGD000085,14,Orion ServiceGeoDistrict 85,1,1,2026-08-24T00:00:00.000
86,SGD000086,12,Liberty ServiceGeoDistrict 86,1,1,2026-08-24T00:00:00.000
87,SGD000087,4,Delta ServiceGeoDistrict 87,1,1,2026-08-24T00:00:00.000
88,SGD000088,12,Beacon ServiceGeoDistrict 88,1,1,2026-08-24T00:00:00.000
89,SGD000089,5,Northstar ServiceGeoDistrict 89,1,1,2026-08-24T00:00:00.000
90,SGD000090,5,Harbor ServiceGeoDistrict 90,1,1,2026-08-24T00:00:00.000
91,SGD000091,14,Atlas ServiceGeoDistrict 91,1,1,2026-08-24T00:00:00.000
92,SGD000092,2,Atlas ServiceGeoDistrict 92,1,1,2026-08-24T00:00:00.000
93,SGD000093,14,Harbor ServiceGeoDistrict 93,1,1,2026-08-24T00:00:00.000
94,SGD000094,11,Northstar ServiceGeoDistrict 94,1,1,2026-08-24T00:00:00.000
95,SGD000095,5,Ion ServiceGeoDistrict 95,1,1,2026-08-24T00:00:00.000
96,SGD000096,16,Harbor ServiceGeoDistrict 96,1,1,2026-08-24T00:00:00.000
97,SGD000097,6,Pioneer ServiceGeoDistrict 97,1,1,2026-08-24T00:00:00.000
98,SGD000098,13,Granite ServiceGeoDistrict 98,1,1,2026-08-24T00:00:00.000
99,SGD000099,7,Northstar ServiceGeoDistrict 99,1,1,2026-08-24T00:00:00.000
100,SGD000100,3,Cedar ServiceGeoDistrict 100,1,1,2026-08-24T00:00:00.000
101,SGD000101,13,Forge ServiceGeoDistrict 101,1,1,2026-08-24T00:00:00.000
102,SGD000102,15,Beacon ServiceGeoDistrict 102,1,1,2026-08-24T00:00:00.000
103,SGD000103,11,Riverton ServiceGeoDistrict 103,1,1,2026-08-24T00:00:00.000
104,SGD000104,6,Forge ServiceGeoDistrict 104,1,1,2026-08-24T00:00:00.000
105,SGD000105,11,Granite ServiceGeoDistrict 105,1,1,2026-08-24T00:00:00.000
106,SGD000106,7,Quartz ServiceGeoDistrict 106,1,1,2026-08-24T00:00:00.000
107,SGD000107,8,Riverton ServiceGeoDistrict 107,1,1,2026-08-24T00:00:00.000
108,SGD000108,14,Granite ServiceGeoDistrict 108,1,1,2026-08-24T00:00:00.000
109,SGD000109,14,Junction ServiceGeoDistrict 109,1,1,2026-08-24T00:00:00.000
110,SGD000110,16,Evergreen ServiceGeoDistrict 110,1,1,2026-08-24T00:00:00.000
111,SGD000111,6,Willow ServiceGeoDistrict 111,1,1,2026-08-24T00:00:00.000
112,SGD000112,8,Orion ServiceGeoDistrict 112,1,1,2026-08-24T00:00:00.000
113,SGD000113,13,Delta ServiceGeoDistrict 113,1,1,2026-08-24T00:00:00.000
114,SGD000114,3,Ion ServiceGeoDistrict 114,1,1,2026-08-24T00:00:00.000
115,SGD000115,13,Unity ServiceGeoDistrict 115,1,1,2026-08-24T00:00:00.000
116,SGD000116,18,Unity ServiceGeoDistrict 116,1,1,2026-08-24T00:00:00.000
117,SGD000117,2,Meridian ServiceGeoDistrict 117,1,1,2026-08-24T00:00:00.000
118,SGD000118,17,Atlas ServiceGeoDistrict 118,1,1,2026-08-24T00:00:00.000
119,SGD000119,3,Keystone ServiceGeoDistrict 119,1,1,2026-08-24T00:00:00.000
120,SGD000120,15,Evergreen ServiceGeoDistrict 120,1,1,2026-08-24T00:00:00.000
