CustomerKey,CustomerNumber,GeoPostalCodeKey,CustomerSegmentKey,CustomerChannelKey,CustomerGroupKey,CurrencyKey,IncotermCodeKey,PaymentTermKey,CustomerStatusKey,RecordStatusKey,CustomerName,CustomerLegalName,AccountOpenedDate,CreditLimitAmount,CreditHoldFlag,TaxRegistrationNumber,DefaultCurrencyCode,DefaultIncotermCode,DefaultPaymentTermCode,StrategicAccountFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
20,C000020,172,239,63,272,4,12,5,7,3,Zenith Customer 20,Beacon Customer 20,2021-01-20,37.4000,0,C000020,GBP,C000020,C000020,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e640572254b524585d9e02eb3833ca91e640572254b524585d9e02eb3833ca9
21,C000021,325,405,62,94,4,14,9,5,3,Pioneer Customer 21,Meridian Customer 21,2021-01-21,38.7700,1,C000021,CAD,C000021,C000021,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2a48d4a1b5650809989c5958e2f5288e2a48d4a1b5650809989c5958e2f5288
22,C000022,162,371,35,152,5,6,5,10,1,Pioneer Customer 22,Harbor Customer 22,2021-01-22,40.1400,1,C000022,MXN,C000022,C000022,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a50599d854a75d7081033a080b1fda98a50599d854a75d7081033a080b1fda98
23,C000023,470,154,35,17,2,11,18,10,2,Evergreen Customer 23,Titan Customer 23,2021-01-23,41.5100,1,C000023,JPY,C000023,C000023,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03374b875df3559fb98263ea1cd2b13503374b875df3559fb98263ea1cd2b135
24,C000024,73,311,22,106,1,13,2,5,4,Pioneer Customer 24,Evergreen Customer 24,2021-01-24,42.8800,1,C000024,USD,C000024,C000024,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5b984ef86905b549f2327dd556e3494f5b984ef86905b549f2327dd556e3494
25,C000025,47,62,42,388,5,2,14,5,4,Delta Customer 25,Titan Customer 25,2021-01-25,44.2500,0,C000025,EUR,C000025,C000025,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5cedec1ef91451f6b597aff34fa0a1fe5cedec1ef91451f6b597aff34fa0a1fe
26,C000026,461,59,1,84,5,2,16,7,4,Meridian Customer 26,Vertex Customer 26,2021-01-26,45.6200,1,C000026,GBP,C000026,C000026,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,216412dadb0352b88e93d64d8aea4104216412dadb0352b88e93d64d8aea4104
27,C000027,192,336,58,46,1,5,16,3,3,Riverton Customer 27,Orion Customer 27,2021-01-27,46.9900,1,C000027,CAD,C000027,C000027,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61b1a21a5282543aa9cc4fc463570f0b61b1a21a5282543aa9cc4fc463570f0b
28,C000028,351,222,43,58,3,14,2,3,2,Willow Customer 28,Junction Customer 28,2021-01-28,48.3600,1,C000028,MXN,C000028,C000028,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97cd2e133bc9543f8281a3b1e954681697cd2e133bc9543f8281a3b1e9546816
29,C000029,106,278,28,167,4,5,12,7,1,Evergreen Customer 29,Delta Customer 29,2021-01-29,49.7300,1,C000029,JPY,C000029,C000029,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9be84fbe652f57f9a5dd3424e0eef9389be84fbe652f57f9a5dd3424e0eef938
30,C000030,129,460,79,155,5,9,11,6,4,Willow Customer 30,Atlas Customer 30,2021-01-30,51.1000,0,C000030,USD,C000030,C000030,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6242a414212154a4ab1e1546c1cc693c6242a414212154a4ab1e1546c1cc693c
31,C000031,475,416,15,121,5,3,13,3,2,Ion Customer 31,Unity Customer 31,2021-01-31,52.4700,1,C000031,EUR,C000031,C000031,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c825084d9a35f61a185dd59aab7d3939c825084d9a35f61a185dd59aab7d393
32,C000032,269,166,78,399,5,10,18,2,3,Liberty Customer 32,Keystone Customer 32,2021-02-01,53.8400,1,C000032,GBP,C000032,C000032,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49184385da585904a83423428293b12a49184385da585904a83423428293b12a
33,C000033,108,296,58,112,3,14,8,10,2,Cedar Customer 33,Titan Customer 33,2021-02-02,55.2100,1,C000033,CAD,C000033,C000033,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,776a372409d8535f8ee8335327efefde776a372409d8535f8ee8335327efefde
34,C000034,193,474,80,345,4,15,15,10,1,Junction Customer 34,Beacon Customer 34,2021-02-03,56.5800,1,C000034,MXN,C000034,C000034,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ee77b31e6685057babb7b3901fa198d8ee77b31e6685057babb7b3901fa198d
35,C000035,375,417,43,72,1,13,9,4,1,Beacon Customer 35,Liberty Customer 35,2021-02-04,57.9500,0,C000035,JPY,C000035,C000035,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,404a0cdbc32f5ab09682a9422960bba1404a0cdbc32f5ab09682a9422960bba1
36,C000036,496,488,66,384,1,5,9,2,2,Unity Customer 36,Delta Customer 36,2021-02-05,59.3200,1,C000036,USD,C000036,C000036,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0822b54df26453068410d0a827531c350822b54df26453068410d0a827531c35
37,C000037,228,102,30,287,3,15,14,10,3,Willow Customer 37,Quartz Customer 37,2021-02-06,60.6900,1,C000037,EUR,C000037,C000037,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f05842af9f9c5ca487ab8df311c4bdd7f05842af9f9c5ca487ab8df311c4bdd7
38,C000038,36,465,12,170,2,12,2,1,3,Ion Customer 38,Delta Customer 38,2021-02-07,62.0600,1,C000038,GBP,C000038,C000038,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53d96e23a01758d4a7196bd06b40dcbe53d96e23a01758d4a7196bd06b40dcbe
39,C000039,120,113,16,208,5,3,4,1,3,Summit Customer 39,Delta Customer 39,2021-02-08,63.4300,1,C000039,CAD,C000039,C000039,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1a97085029c5c9da4acb5b95c943ccaa1a97085029c5c9da4acb5b95c943cca
40,C000040,236,234,10,11,2,3,3,10,2,Harbor Customer 40,Delta Customer 40,2021-02-09,64.8000,0,C000040,MXN,C000040,C000040,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2023357cb0ba5c9fb249c0f66e54a3ff2023357cb0ba5c9fb249c0f66e54a3ff
41,C000041,268,430,1,105,4,15,8,6,2,Meridian Customer 41,Northstar Customer 41,2021-02-10,66.1700,1,C000041,JPY,C000041,C000041,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,79bfbe63242b5cdf954355b4bb84572779bfbe63242b5cdf954355b4bb845727
42,C000042,214,359,15,32,3,6,7,7,4,Atlas Customer 42,Beacon Customer 42,2021-02-11,67.5400,1,C000042,USD,C000042,C000042,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8ec271940a454819844350711ce4a6ac8ec271940a454819844350711ce4a6a
43,C000043,158,273,6,339,4,5,8,3,4,Zenith Customer 43,Titan Customer 43,2021-02-12,68.9100,1,C000043,EUR,C000043,C000043,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54dd8c872c0556e69d2f1eda735eaef854dd8c872c0556e69d2f1eda735eaef8
44,C000044,483,300,40,59,5,9,4,1,2,Evergreen Customer 44,Granite Customer 44,2021-02-13,70.2800,1,C000044,GBP,C000044,C000044,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,080779112145563087ad351c39a0d828080779112145563087ad351c39a0d828
45,C000045,490,441,54,165,1,2,10,9,2,Harbor Customer 45,Titan Customer 45,2021-02-14,71.6500,0,C000045,CAD,C000045,C000045,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5171ea7394fb5c0b9ef3a83fe95f2b9e5171ea7394fb5c0b9ef3a83fe95f2b9e
46,C000046,199,446,2,240,2,8,13,7,4,Keystone Customer 46,Unity Customer 46,2021-02-15,73.0200,1,C000046,MXN,C000046,C000046,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c31e144b7e75e50acfaf0608efe09559c31e144b7e75e50acfaf0608efe0955
47,C000047,152,268,13,354,5,15,10,7,1,Harbor Customer 47,Titan Customer 47,2021-02-16,74.3900,1,C000047,JPY,C000047,C000047,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3127dde3f5fa59bc8e514bcf56c893e63127dde3f5fa59bc8e514bcf56c893e6
48,C000048,413,8,3,317,4,2,15,9,2,Titan Customer 48,Harbor Customer 48,2021-02-17,75.7600,1,C000048,USD,C000048,C000048,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,273337d765fa5aa9b2d275805b37198e273337d765fa5aa9b2d275805b37198e
49,C000049,45,101,77,271,4,10,3,9,3,Quartz Customer 49,Granite Customer 49,2021-02-18,77.1300,1,C000049,EUR,C000049,C000049,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcb359028d9d5252aed9b560099c4fc1dcb359028d9d5252aed9b560099c4fc1
50,C000050,413,493,30,286,3,8,18,8,2,Unity Customer 50,Forge Customer 50,2021-02-19,78.5000,0,C000050,GBP,C000050,C000050,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,884a99617ff857059cf8e35367e77b84884a99617ff857059cf8e35367e77b84
51,C000051,25,462,3,59,3,5,18,5,2,Harbor Customer 51,Summit Customer 51,2021-02-20,79.8700,1,C000051,CAD,C000051,C000051,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3da516fe542f54d9b31a9c6283d0dd4f3da516fe542f54d9b31a9c6283d0dd4f
52,C000052,421,39,67,87,4,1,12,7,2,Quartz Customer 52,Orion Customer 52,2021-02-21,81.2400,1,C000052,MXN,C000052,C000052,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fa0fceb637d522184e7c243c85f2d8c2fa0fceb637d522184e7c243c85f2d8c
53,C000053,279,268,5,24,2,10,6,2,1,Harbor Customer 53,Pioneer Customer 53,2021-02-22,82.6100,1,C000053,JPY,C000053,C000053,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3faee931e8f858228db33880d73e4d283faee931e8f858228db33880d73e4d28
54,C000054,98,357,43,186,4,2,3,7,2,Summit Customer 54,Harbor Customer 54,2021-02-23,83.9800,1,C000054,USD,C000054,C000054,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b1e5767997353ecba8569822054c6c06b1e5767997353ecba8569822054c6c0
55,C000055,115,207,14,16,1,10,9,7,1,Riverton Customer 55,Granite Customer 55,2021-02-24,85.3500,0,C000055,EUR,C000055,C000055,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,359ac413e6825539872a7cc5e95bbd19359ac413e6825539872a7cc5e95bbd19
56,C000056,184,59,63,300,1,6,3,3,4,Harbor Customer 56,Unity Customer 56,2021-02-25,86.7200,1,C000056,GBP,C000056,C000056,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8903806aece15f4fbcf8b15b5c8f111d8903806aece15f4fbcf8b15b5c8f111d
57,C000057,341,127,21,365,5,7,1,3,1,Atlas Customer 57,Atlas Customer 57,2021-02-26,88.0900,1,C000057,CAD,C000057,C000057,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2b9e820c13158bab5d0060231aa8000e2b9e820c13158bab5d0060231aa8000
58,C000058,229,49,23,24,1,8,17,2,3,Evergreen Customer 58,Junction Customer 58,2021-02-27,89.4600,1,C000058,MXN,C000058,C000058,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f93748f36d9c535383f0f216afb7d6a3f93748f36d9c535383f0f216afb7d6a3
59,C000059,145,286,68,395,2,15,16,7,3,Keystone Customer 59,Quartz Customer 59,2021-02-28,90.8300,1,C000059,JPY,C000059,C000059,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fda4a3608d3f51d6803c6a1226d160d1fda4a3608d3f51d6803c6a1226d160d1
60,C000060,151,204,6,105,2,8,7,2,3,Quartz Customer 60,Northstar Customer 60,2021-03-01,92.2000,0,C000060,USD,C000060,C000060,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c226958d3f853b9a1f79265fb35b4402c226958d3f853b9a1f79265fb35b440
61,C000061,471,249,27,301,4,11,4,7,3,Vertex Customer 61,Atlas Customer 61,2021-03-02,93.5700,1,C000061,EUR,C000061,C000061,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bbe667cb6db5608acd94a3cdae744ff6bbe667cb6db5608acd94a3cdae744ff
62,C000062,90,336,44,311,3,14,7,5,2,Unity Customer 62,Orion Customer 62,2021-03-03,94.9400,1,C000062,GBP,C000062,C000062,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43f2785e99b35a8480e552ecbcba734543f2785e99b35a8480e552ecbcba7345
63,C000063,302,351,34,75,1,16,15,2,4,Ion Customer 63,Ion Customer 63,2021-03-04,96.3100,1,C000063,CAD,C000063,C000063,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d0b6878b2205c2e916192927fddbe5d2d0b6878b2205c2e916192927fddbe5d
64,C000064,370,489,4,241,5,4,11,1,4,Atlas Customer 64,Atlas Customer 64,2021-03-05,97.6800,1,C000064,MXN,C000064,C000064,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbac169c443a52839fc7a5f56f699550fbac169c443a52839fc7a5f56f699550
65,C000065,293,434,76,331,3,9,6,3,1,Delta Customer 65,Titan Customer 65,2021-03-06,99.0500,0,C000065,JPY,C000065,C000065,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfd2b1e4da68566bbe3816b3f86d5880bfd2b1e4da68566bbe3816b3f86d5880
66,C000066,271,390,60,198,5,13,1,5,3,Beacon Customer 66,Orion Customer 66,2021-03-07,100.4200,1,C000066,USD,C000066,C000066,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed0b3bdcf2505a2a8afb4b4e48379880ed0b3bdcf2505a2a8afb4b4e48379880
67,C000067,378,215,19,12,1,8,6,3,2,Zenith Customer 67,Keystone Customer 67,2021-03-08,101.7900,1,C000067,EUR,C000067,C000067,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fce076c1cdf0580190175ee08624367dfce076c1cdf0580190175ee08624367d
68,C000068,406,107,41,305,5,16,15,2,3,Unity Customer 68,Titan Customer 68,2021-03-09,103.1600,1,C000068,GBP,C000068,C000068,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c33de5987ac58fd8aef758dc5bf90278c33de5987ac58fd8aef758dc5bf9027
69,C000069,142,52,45,251,4,16,3,7,3,Atlas Customer 69,Northstar Customer 69,2021-03-10,104.5300,1,C000069,CAD,C000069,C000069,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,997f69565e41532f873a3340402d4751997f69565e41532f873a3340402d4751
70,C000070,172,227,55,329,3,4,13,8,1,Granite Customer 70,Titan Customer 70,2021-03-11,105.9000,0,C000070,MXN,C000070,C000070,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b04209b282a55bfab1f032d5e40b9499b04209b282a55bfab1f032d5e40b949
71,C000071,394,487,41,17,3,7,6,10,2,Liberty Customer 71,Junction Customer 71,2021-03-12,107.2700,1,C000071,JPY,C000071,C000071,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4a2fd09866a50ce81861337bf558ddce4a2fd09866a50ce81861337bf558ddc
72,C000072,283,472,7,162,2,9,6,6,3,Riverton Customer 72,Orion Customer 72,2021-03-13,108.6400,1,C000072,USD,C000072,C000072,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e9518b8f83f5802a33325ff29a417656e9518b8f83f5802a33325ff29a41765
73,C000073,32,294,15,326,5,1,5,3,4,Ion Customer 73,Summit Customer 73,2021-03-14,110.0100,1,C000073,EUR,C000073,C000073,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fbc366f4d6758bd83b13bf5d9beb8026fbc366f4d6758bd83b13bf5d9beb802
74,C000074,105,177,3,280,3,13,17,10,1,Vertex Customer 74,Titan Customer 74,2021-03-15,111.3800,1,C000074,GBP,C000074,C000074,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27869d7e53a952fa94944cb602ffa95427869d7e53a952fa94944cb602ffa954
75,C000075,76,13,57,217,1,13,18,1,1,Delta Customer 75,Unity Customer 75,2021-03-16,112.7500,0,C000075,CAD,C000075,C000075,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3443fd76c9205b4d924c589f9e1e605b3443fd76c9205b4d924c589f9e1e605b
76,C000076,422,32,45,131,3,13,6,9,4,Delta Customer 76,Forge Customer 76,2021-03-17,114.1200,1,C000076,MXN,C000076,C000076,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50a21f35153e5ef2a283188ea05a738b50a21f35153e5ef2a283188ea05a738b
77,C000077,205,388,14,229,5,8,18,7,4,Ion Customer 77,Atlas Customer 77,2021-03-18,115.4900,1,C000077,JPY,C000077,C000077,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,efe9d1fc06175dd69b9da461da79d9f4efe9d1fc06175dd69b9da461da79d9f4
78,C000078,45,219,21,383,5,15,5,5,4,Unity Customer 78,Titan Customer 78,2021-03-19,116.8600,1,C000078,USD,C000078,C000078,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94176698994c5f069deb74cbb821437694176698994c5f069deb74cbb8214376
79,C000079,379,13,69,263,5,14,12,8,2,Evergreen Customer 79,Meridian Customer 79,2021-03-20,118.2300,1,C000079,EUR,C000079,C000079,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a0bcf646c8905b8a8d826dbb135850cda0bcf646c8905b8a8d826dbb135850cd
