EnergyUtilitySystemKey,EnergyUtilitySystemCode,EnergyUtilityCategoryKey,EnergyUtilitySystemName,SourceSystemKey,BatchId,LoadedAtUtc
22,EUS000022,2,Granite EnergyUtilitySystem 22,1,1,2026-08-24T00:00:00.000
23,EUS000023,4,Liberty EnergyUtilitySystem 23,1,1,2026-08-24T00:00:00.000
24,EUS000024,1,Forge EnergyUtilitySystem 24,1,1,2026-08-24T00:00:00.000
25,EUS000025,10,Delta EnergyUtilitySystem 25,1,1,2026-08-24T00:00:00.000
26,EUS000026,8,Keystone EnergyUtilitySystem 26,1,1,2026-08-24T00:00:00.000
27,EUS000027,8,Delta EnergyUtilitySystem 27,1,1,2026-08-24T00:00:00.000
28,EUS000028,10,Junction EnergyUtilitySystem 28,1,1,2026-08-24T00:00:00.000
29,EUS000029,9,Keystone EnergyUtilitySystem 29,1,1,2026-08-24T00:00:00.000
30,EUS000030,2,Orion EnergyUtilitySystem 30,1,1,2026-08-24T00:00:00.000
31,EUS000031,1,Titan EnergyUtilitySystem 31,1,1,2026-08-24T00:00:00.000
32,EUS000032,4,Titan EnergyUtilitySystem 32,1,1,2026-08-24T00:00:00.000
33,EUS000033,9,Zenith EnergyUtilitySystem 33,1,1,2026-08-24T00:00:00.000
34,EUS000034,2,Evergreen EnergyUtilitySystem 34,1,1,2026-08-24T00:00:00.000
35,EUS000035,2,Forge EnergyUtilitySystem 35,1,1,2026-08-24T00:00:00.000
36,EUS000036,6,Titan EnergyUtilitySystem 36,1,1,2026-08-24T00:00:00.000
37,EUS000037,8,Delta EnergyUtilitySystem 37,1,1,2026-08-24T00:00:00.000
38,EUS000038,10,Meridian EnergyUtilitySystem 38,1,1,2026-08-24T00:00:00.000
39,EUS000039,1,Meridian EnergyUtilitySystem 39,1,1,2026-08-24T00:00:00.000
40,EUS000040,6,Meridian EnergyUtilitySystem 40,1,1,2026-08-24T00:00:00.000
41,EUS000041,4,Vertex EnergyUtilitySystem 41,1,1,2026-08-24T00:00:00.000
42,EUS000042,10,Titan EnergyUtilitySystem 42,1,1,2026-08-24T00:00:00.000
43,EUS000043,10,Granite EnergyUtilitySystem 43,1,1,2026-08-24T00:00:00.000
44,EUS000044,6,Cedar EnergyUtilitySystem 44,1,1,2026-08-24T00:00:00.000
45,EUS000045,1,Zenith EnergyUtilitySystem 45,1,1,2026-08-24T00:00:00.000
46,EUS000046,9,Meridian EnergyUtilitySystem 46,1,1,2026-08-24T00:00:00.000
47,EUS000047,2,Riverton EnergyUtilitySystem 47,1,1,2026-08-24T00:00:00.000
48,EUS000048,4,Ion EnergyUtilitySystem 48,1,1,2026-08-24T00:00:00.000
49,EUS000049,8,Delta EnergyUtilitySystem 49,1,1,2026-08-24T00:00:00.000
50,EUS000050,5,Beacon EnergyUtilitySystem 50,1,1,2026-08-24T00:00:00.000
51,EUS000051,6,Harbor EnergyUtilitySystem 51,1,1,2026-08-24T00:00:00.000
52,EUS000052,9,Northstar EnergyUtilitySystem 52,1,1,2026-08-24T00:00:00.000
53,EUS000053,10,Pioneer EnergyUtilitySystem 53,1,1,2026-08-24T00:00:00.000
54,EUS000054,1,Summit EnergyUtilitySystem 54,1,1,2026-08-24T00:00:00.000
55,EUS000055,5,Junction EnergyUtilitySystem 55,1,1,2026-08-24T00:00:00.000
56,EUS000056,9,Vertex EnergyUtilitySystem 56,1,1,2026-08-24T00:00:00.000
57,EUS000057,3,Willow EnergyUtilitySystem 57,1,1,2026-08-24T00:00:00.000
58,EUS000058,5,Unity EnergyUtilitySystem 58,1,1,2026-08-24T00:00:00.000
59,EUS000059,10,Vertex EnergyUtilitySystem 59,1,1,2026-08-24T00:00:00.000
60,EUS000060,8,Harbor EnergyUtilitySystem 60,1,1,2026-08-24T00:00:00.000
61,EUS000061,1,Cedar EnergyUtilitySystem 61,1,1,2026-08-24T00:00:00.000
62,EUS000062,10,Keystone EnergyUtilitySystem 62,1,1,2026-08-24T00:00:00.000
63,EUS000063,3,Riverton EnergyUtilitySystem 63,1,1,2026-08-24T00:00:00.000
64,EUS000064,4,Willow EnergyUtilitySystem 64,1,1,2026-08-24T00:00:00.000
65,EUS000065,4,Titan EnergyUtilitySystem 65,1,1,2026-08-24T00:00:00.000
66,EUS000066,1,Evergreen EnergyUtilitySystem 66,1,1,2026-08-24T00:00:00.000
67,EUS000067,10,Vertex EnergyUtilitySystem 67,1,1,2026-08-24T00:00:00.000
68,EUS000068,8,Titan EnergyUtilitySystem 68,1,1,2026-08-24T00:00:00.000
69,EUS000069,5,Zenith EnergyUtilitySystem 69,1,1,2026-08-24T00:00:00.000
70,EUS000070,1,Harbor EnergyUtilitySystem 70,1,1,2026-08-24T00:00:00.000
71,EUS000071,9,Summit EnergyUtilitySystem 71,1,1,2026-08-24T00:00:00.000
72,EUS000072,7,Junction EnergyUtilitySystem 72,1,1,2026-08-24T00:00:00.000
73,EUS000073,5,Pioneer EnergyUtilitySystem 73,1,1,2026-08-24T00:00:00.000
74,EUS000074,6,Titan EnergyUtilitySystem 74,1,1,2026-08-24T00:00:00.000
75,EUS000075,2,Titan EnergyUtilitySystem 75,1,1,2026-08-24T00:00:00.000
76,EUS000076,2,Atlas EnergyUtilitySystem 76,1,1,2026-08-24T00:00:00.000
77,EUS000077,4,Granite EnergyUtilitySystem 77,1,1,2026-08-24T00:00:00.000
78,EUS000078,2,Ion EnergyUtilitySystem 78,1,1,2026-08-24T00:00:00.000
79,EUS000079,8,Beacon EnergyUtilitySystem 79,1,1,2026-08-24T00:00:00.000
80,EUS000080,6,Liberty EnergyUtilitySystem 80,1,1,2026-08-24T00:00:00.000
81,EUS000081,8,Unity EnergyUtilitySystem 81,1,1,2026-08-24T00:00:00.000
82,EUS000082,8,Pioneer EnergyUtilitySystem 82,1,1,2026-08-24T00:00:00.000
83,EUS000083,1,Unity EnergyUtilitySystem 83,1,1,2026-08-24T00:00:00.000
84,EUS000084,3,Harbor EnergyUtilitySystem 84,1,1,2026-08-24T00:00:00.000
85,EUS000085,2,Forge EnergyUtilitySystem 85,1,1,2026-08-24T00:00:00.000
86,EUS000086,9,Titan EnergyUtilitySystem 86,1,1,2026-08-24T00:00:00.000
87,EUS000087,10,Granite EnergyUtilitySystem 87,1,1,2026-08-24T00:00:00.000
88,EUS000088,10,Vertex EnergyUtilitySystem 88,1,1,2026-08-24T00:00:00.000
89,EUS000089,9,Orion EnergyUtilitySystem 89,1,1,2026-08-24T00:00:00.000
90,EUS000090,6,Junction EnergyUtilitySystem 90,1,1,2026-08-24T00:00:00.000
91,EUS000091,10,Keystone EnergyUtilitySystem 91,1,1,2026-08-24T00:00:00.000
92,EUS000092,1,Ion EnergyUtilitySystem 92,1,1,2026-08-24T00:00:00.000
93,EUS000093,9,Pioneer EnergyUtilitySystem 93,1,1,2026-08-24T00:00:00.000
94,EUS000094,4,Ion EnergyUtilitySystem 94,1,1,2026-08-24T00:00:00.000
95,EUS000095,2,Pioneer EnergyUtilitySystem 95,1,1,2026-08-24T00:00:00.000
96,EUS000096,1,Riverton EnergyUtilitySystem 96,1,1,2026-08-24T00:00:00.000
97,EUS000097,9,Pioneer EnergyUtilitySystem 97,1,1,2026-08-24T00:00:00.000
98,EUS000098,3,Junction EnergyUtilitySystem 98,1,1,2026-08-24T00:00:00.000
99,EUS000099,1,Riverton EnergyUtilitySystem 99,1,1,2026-08-24T00:00:00.000
100,EUS000100,6,Pioneer EnergyUtilitySystem 100,1,1,2026-08-24T00:00:00.000
101,EUS000101,10,Cedar EnergyUtilitySystem 101,1,1,2026-08-24T00:00:00.000
102,EUS000102,9,Evergreen EnergyUtilitySystem 102,1,1,2026-08-24T00:00:00.000
103,EUS000103,5,Riverton EnergyUtilitySystem 103,1,1,2026-08-24T00:00:00.000
104,EUS000104,1,Granite EnergyUtilitySystem 104,1,1,2026-08-24T00:00:00.000
105,EUS000105,10,Vertex EnergyUtilitySystem 105,1,1,2026-08-24T00:00:00.000
106,EUS000106,8,Ion EnergyUtilitySystem 106,1,1,2026-08-24T00:00:00.000
107,EUS000107,1,Atlas EnergyUtilitySystem 107,1,1,2026-08-24T00:00:00.000
108,EUS000108,10,Ion EnergyUtilitySystem 108,1,1,2026-08-24T00:00:00.000
109,EUS000109,7,Cedar EnergyUtilitySystem 109,1,1,2026-08-24T00:00:00.000
110,EUS000110,1,Northstar EnergyUtilitySystem 110,1,1,2026-08-24T00:00:00.000
111,EUS000111,2,Liberty EnergyUtilitySystem 111,1,1,2026-08-24T00:00:00.000
112,EUS000112,5,Atlas EnergyUtilitySystem 112,1,1,2026-08-24T00:00:00.000
113,EUS000113,2,Cedar EnergyUtilitySystem 113,1,1,2026-08-24T00:00:00.000
114,EUS000114,8,Riverton EnergyUtilitySystem 114,1,1,2026-08-24T00:00:00.000
115,EUS000115,1,Willow EnergyUtilitySystem 115,1,1,2026-08-24T00:00:00.000
116,EUS000116,9,Beacon EnergyUtilitySystem 116,1,1,2026-08-24T00:00:00.000
117,EUS000117,7,Keystone EnergyUtilitySystem 117,1,1,2026-08-24T00:00:00.000
118,EUS000118,3,Evergreen EnergyUtilitySystem 118,1,1,2026-08-24T00:00:00.000
119,EUS000119,10,Unity EnergyUtilitySystem 119,1,1,2026-08-24T00:00:00.000
120,EUS000120,5,Harbor EnergyUtilitySystem 120,1,1,2026-08-24T00:00:00.000
121,EUS000121,9,Beacon EnergyUtilitySystem 121,1,1,2026-08-24T00:00:00.000
122,EUS000122,8,Unity EnergyUtilitySystem 122,1,1,2026-08-24T00:00:00.000
123,EUS000123,10,Forge EnergyUtilitySystem 123,1,1,2026-08-24T00:00:00.000
124,EUS000124,1,Northstar EnergyUtilitySystem 124,1,1,2026-08-24T00:00:00.000
125,EUS000125,1,Atlas EnergyUtilitySystem 125,1,1,2026-08-24T00:00:00.000
126,EUS000126,4,Unity EnergyUtilitySystem 126,1,1,2026-08-24T00:00:00.000
127,EUS000127,8,Evergreen EnergyUtilitySystem 127,1,1,2026-08-24T00:00:00.000
128,EUS000128,5,Vertex EnergyUtilitySystem 128,1,1,2026-08-24T00:00:00.000
129,EUS000129,1,Cedar EnergyUtilitySystem 129,1,1,2026-08-24T00:00:00.000
130,EUS000130,4,Riverton EnergyUtilitySystem 130,1,1,2026-08-24T00:00:00.000
131,EUS000131,8,Evergreen EnergyUtilitySystem 131,1,1,2026-08-24T00:00:00.000
132,EUS000132,10,Vertex EnergyUtilitySystem 132,1,1,2026-08-24T00:00:00.000
133,EUS000133,7,Junction EnergyUtilitySystem 133,1,1,2026-08-24T00:00:00.000
134,EUS000134,3,Forge EnergyUtilitySystem 134,1,1,2026-08-24T00:00:00.000
135,EUS000135,1,Evergreen EnergyUtilitySystem 135,1,1,2026-08-24T00:00:00.000
136,EUS000136,5,Evergreen EnergyUtilitySystem 136,1,1,2026-08-24T00:00:00.000
137,EUS000137,1,Keystone EnergyUtilitySystem 137,1,1,2026-08-24T00:00:00.000
138,EUS000138,1,Evergreen EnergyUtilitySystem 138,1,1,2026-08-24T00:00:00.000
139,EUS000139,4,Granite EnergyUtilitySystem 139,1,1,2026-08-24T00:00:00.000
140,EUS000140,9,Orion EnergyUtilitySystem 140,1,1,2026-08-24T00:00:00.000
141,EUS000141,4,Summit EnergyUtilitySystem 141,1,1,2026-08-24T00:00:00.000
142,EUS000142,3,Junction EnergyUtilitySystem 142,1,1,2026-08-24T00:00:00.000
143,EUS000143,6,Granite EnergyUtilitySystem 143,1,1,2026-08-24T00:00:00.000
144,EUS000144,5,Orion EnergyUtilitySystem 144,1,1,2026-08-24T00:00:00.000
145,EUS000145,3,Atlas EnergyUtilitySystem 145,1,1,2026-08-24T00:00:00.000
146,EUS000146,1,Atlas EnergyUtilitySystem 146,1,1,2026-08-24T00:00:00.000
147,EUS000147,5,Quartz EnergyUtilitySystem 147,1,1,2026-08-24T00:00:00.000
148,EUS000148,6,Atlas EnergyUtilitySystem 148,1,1,2026-08-24T00:00:00.000
149,EUS000149,6,Vertex EnergyUtilitySystem 149,1,1,2026-08-24T00:00:00.000
150,EUS000150,9,Pioneer EnergyUtilitySystem 150,1,1,2026-08-24T00:00:00.000
151,EUS000151,10,Riverton EnergyUtilitySystem 151,1,1,2026-08-24T00:00:00.000
152,EUS000152,8,Titan EnergyUtilitySystem 152,1,1,2026-08-24T00:00:00.000
153,EUS000153,1,Cedar EnergyUtilitySystem 153,1,1,2026-08-24T00:00:00.000
154,EUS000154,9,Liberty EnergyUtilitySystem 154,1,1,2026-08-24T00:00:00.000
155,EUS000155,2,Pioneer EnergyUtilitySystem 155,1,1,2026-08-24T00:00:00.000
156,EUS000156,3,Zenith EnergyUtilitySystem 156,1,1,2026-08-24T00:00:00.000
157,EUS000157,8,Orion EnergyUtilitySystem 157,1,1,2026-08-24T00:00:00.000
158,EUS000158,6,Northstar EnergyUtilitySystem 158,1,1,2026-08-24T00:00:00.000
159,EUS000159,5,Zenith EnergyUtilitySystem 159,1,1,2026-08-24T00:00:00.000
160,EUS000160,1,Harbor EnergyUtilitySystem 160,1,1,2026-08-24T00:00:00.000
