PurchaseCommoditySubcategoryKey,PurchaseCommoditySubcategoryCode,PurchaseCommodityCategoryKey,PurchaseCommoditySubcategoryName,SourceSystemKey,BatchId,LoadedAtUtc
28,PCS000028,38,Beacon PurchaseCommoditySubcategory 28,1,1,2026-08-24T00:00:00.000
29,PCS000029,45,Evergreen PurchaseCommoditySubcategory 29,1,1,2026-08-24T00:00:00.000
30,PCS000030,78,Northstar PurchaseCommoditySubcategory 30,1,1,2026-08-24T00:00:00.000
31,PCS000031,53,Ion PurchaseCommoditySubcategory 31,1,1,2026-08-24T00:00:00.000
32,PCS000032,59,Ion PurchaseCommoditySubcategory 32,1,1,2026-08-24T00:00:00.000
33,PCS000033,74,Liberty PurchaseCommoditySubcategory 33,1,1,2026-08-24T00:00:00.000
34,PCS000034,77,Granite PurchaseCommoditySubcategory 34,1,1,2026-08-24T00:00:00.000
35,PCS000035,59,Northstar PurchaseCommoditySubcategory 35,1,1,2026-08-24T00:00:00.000
36,PCS000036,47,Pioneer PurchaseCommoditySubcategory 36,1,1,2026-08-24T00:00:00.000
37,PCS000037,41,Cedar PurchaseCommoditySubcategory 37,1,1,2026-08-24T00:00:00.000
38,PCS000038,55,Orion PurchaseCommoditySubcategory 38,1,1,2026-08-24T00:00:00.000
39,PCS000039,78,Harbor PurchaseCommoditySubcategory 39,1,1,2026-08-24T00:00:00.000
40,PCS000040,24,Northstar PurchaseCommoditySubcategory 40,1,1,2026-08-24T00:00:00.000
41,PCS000041,58,Quartz PurchaseCommoditySubcategory 41,1,1,2026-08-24T00:00:00.000
42,PCS000042,61,Titan PurchaseCommoditySubcategory 42,1,1,2026-08-24T00:00:00.000
43,PCS000043,34,Delta PurchaseCommoditySubcategory 43,1,1,2026-08-24T00:00:00.000
44,PCS000044,45,Liberty PurchaseCommoditySubcategory 44,1,1,2026-08-24T00:00:00.000
45,PCS000045,89,Orion PurchaseCommoditySubcategory 45,1,1,2026-08-24T00:00:00.000
46,PCS000046,54,Beacon PurchaseCommoditySubcategory 46,1,1,2026-08-24T00:00:00.000
47,PCS000047,35,Beacon PurchaseCommoditySubcategory 47,1,1,2026-08-24T00:00:00.000
48,PCS000048,1,Keystone PurchaseCommoditySubcategory 48,1,1,2026-08-24T00:00:00.000
49,PCS000049,64,Keystone PurchaseCommoditySubcategory 49,1,1,2026-08-24T00:00:00.000
50,PCS000050,19,Summit PurchaseCommoditySubcategory 50,1,1,2026-08-24T00:00:00.000
51,PCS000051,78,Vertex PurchaseCommoditySubcategory 51,1,1,2026-08-24T00:00:00.000
52,PCS000052,15,Ion PurchaseCommoditySubcategory 52,1,1,2026-08-24T00:00:00.000
53,PCS000053,10,Vertex PurchaseCommoditySubcategory 53,1,1,2026-08-24T00:00:00.000
54,PCS000054,75,Ion PurchaseCommoditySubcategory 54,1,1,2026-08-24T00:00:00.000
55,PCS000055,31,Unity PurchaseCommoditySubcategory 55,1,1,2026-08-24T00:00:00.000
56,PCS000056,68,Evergreen PurchaseCommoditySubcategory 56,1,1,2026-08-24T00:00:00.000
57,PCS000057,77,Quartz PurchaseCommoditySubcategory 57,1,1,2026-08-24T00:00:00.000
58,PCS000058,13,Titan PurchaseCommoditySubcategory 58,1,1,2026-08-24T00:00:00.000
59,PCS000059,71,Liberty PurchaseCommoditySubcategory 59,1,1,2026-08-24T00:00:00.000
60,PCS000060,13,Junction PurchaseCommoditySubcategory 60,1,1,2026-08-24T00:00:00.000
61,PCS000061,86,Zenith PurchaseCommoditySubcategory 61,1,1,2026-08-24T00:00:00.000
62,PCS000062,86,Beacon PurchaseCommoditySubcategory 62,1,1,2026-08-24T00:00:00.000
63,PCS000063,57,Riverton PurchaseCommoditySubcategory 63,1,1,2026-08-24T00:00:00.000
64,PCS000064,87,Willow PurchaseCommoditySubcategory 64,1,1,2026-08-24T00:00:00.000
65,PCS000065,74,Pioneer PurchaseCommoditySubcategory 65,1,1,2026-08-24T00:00:00.000
66,PCS000066,51,Riverton PurchaseCommoditySubcategory 66,1,1,2026-08-24T00:00:00.000
67,PCS000067,28,Zenith PurchaseCommoditySubcategory 67,1,1,2026-08-24T00:00:00.000
68,PCS000068,82,Harbor PurchaseCommoditySubcategory 68,1,1,2026-08-24T00:00:00.000
69,PCS000069,20,Zenith PurchaseCommoditySubcategory 69,1,1,2026-08-24T00:00:00.000
70,PCS000070,16,Delta PurchaseCommoditySubcategory 70,1,1,2026-08-24T00:00:00.000
71,PCS000071,48,Riverton PurchaseCommoditySubcategory 71,1,1,2026-08-24T00:00:00.000
72,PCS000072,63,Delta PurchaseCommoditySubcategory 72,1,1,2026-08-24T00:00:00.000
73,PCS000073,86,Orion PurchaseCommoditySubcategory 73,1,1,2026-08-24T00:00:00.000
74,PCS000074,9,Forge PurchaseCommoditySubcategory 74,1,1,2026-08-24T00:00:00.000
75,PCS000075,64,Summit PurchaseCommoditySubcategory 75,1,1,2026-08-24T00:00:00.000
76,PCS000076,42,Keystone PurchaseCommoditySubcategory 76,1,1,2026-08-24T00:00:00.000
77,PCS000077,27,Granite PurchaseCommoditySubcategory 77,1,1,2026-08-24T00:00:00.000
78,PCS000078,11,Granite PurchaseCommoditySubcategory 78,1,1,2026-08-24T00:00:00.000
79,PCS000079,2,Evergreen PurchaseCommoditySubcategory 79,1,1,2026-08-24T00:00:00.000
80,PCS000080,6,Summit PurchaseCommoditySubcategory 80,1,1,2026-08-24T00:00:00.000
81,PCS000081,15,Northstar PurchaseCommoditySubcategory 81,1,1,2026-08-24T00:00:00.000
82,PCS000082,20,Pioneer PurchaseCommoditySubcategory 82,1,1,2026-08-24T00:00:00.000
83,PCS000083,20,Unity PurchaseCommoditySubcategory 83,1,1,2026-08-24T00:00:00.000
84,PCS000084,40,Summit PurchaseCommoditySubcategory 84,1,1,2026-08-24T00:00:00.000
85,PCS000085,56,Orion PurchaseCommoditySubcategory 85,1,1,2026-08-24T00:00:00.000
86,PCS000086,63,Delta PurchaseCommoditySubcategory 86,1,1,2026-08-24T00:00:00.000
87,PCS000087,12,Delta PurchaseCommoditySubcategory 87,1,1,2026-08-24T00:00:00.000
88,PCS000088,67,Orion PurchaseCommoditySubcategory 88,1,1,2026-08-24T00:00:00.000
89,PCS000089,57,Forge PurchaseCommoditySubcategory 89,1,1,2026-08-24T00:00:00.000
90,PCS000090,79,Vertex PurchaseCommoditySubcategory 90,1,1,2026-08-24T00:00:00.000
91,PCS000091,46,Meridian PurchaseCommoditySubcategory 91,1,1,2026-08-24T00:00:00.000
92,PCS000092,27,Orion PurchaseCommoditySubcategory 92,1,1,2026-08-24T00:00:00.000
93,PCS000093,63,Pioneer PurchaseCommoditySubcategory 93,1,1,2026-08-24T00:00:00.000
94,PCS000094,4,Pioneer PurchaseCommoditySubcategory 94,1,1,2026-08-24T00:00:00.000
95,PCS000095,52,Liberty PurchaseCommoditySubcategory 95,1,1,2026-08-24T00:00:00.000
96,PCS000096,51,Junction PurchaseCommoditySubcategory 96,1,1,2026-08-24T00:00:00.000
97,PCS000097,33,Quartz PurchaseCommoditySubcategory 97,1,1,2026-08-24T00:00:00.000
98,PCS000098,53,Beacon PurchaseCommoditySubcategory 98,1,1,2026-08-24T00:00:00.000
99,PCS000099,20,Unity PurchaseCommoditySubcategory 99,1,1,2026-08-24T00:00:00.000
100,PCS000100,20,Vertex PurchaseCommoditySubcategory 100,1,1,2026-08-24T00:00:00.000
101,PCS000101,83,Granite PurchaseCommoditySubcategory 101,1,1,2026-08-24T00:00:00.000
102,PCS000102,48,Junction PurchaseCommoditySubcategory 102,1,1,2026-08-24T00:00:00.000
103,PCS000103,13,Keystone PurchaseCommoditySubcategory 103,1,1,2026-08-24T00:00:00.000
104,PCS000104,4,Meridian PurchaseCommoditySubcategory 104,1,1,2026-08-24T00:00:00.000
105,PCS000105,47,Liberty PurchaseCommoditySubcategory 105,1,1,2026-08-24T00:00:00.000
106,PCS000106,38,Zenith PurchaseCommoditySubcategory 106,1,1,2026-08-24T00:00:00.000
107,PCS000107,48,Northstar PurchaseCommoditySubcategory 107,1,1,2026-08-24T00:00:00.000
108,PCS000108,79,Delta PurchaseCommoditySubcategory 108,1,1,2026-08-24T00:00:00.000
109,PCS000109,14,Vertex PurchaseCommoditySubcategory 109,1,1,2026-08-24T00:00:00.000
110,PCS000110,19,Unity PurchaseCommoditySubcategory 110,1,1,2026-08-24T00:00:00.000
111,PCS000111,51,Northstar PurchaseCommoditySubcategory 111,1,1,2026-08-24T00:00:00.000
112,PCS000112,25,Quartz PurchaseCommoditySubcategory 112,1,1,2026-08-24T00:00:00.000
113,PCS000113,65,Quartz PurchaseCommoditySubcategory 113,1,1,2026-08-24T00:00:00.000
114,PCS000114,4,Junction PurchaseCommoditySubcategory 114,1,1,2026-08-24T00:00:00.000
115,PCS000115,26,Harbor PurchaseCommoditySubcategory 115,1,1,2026-08-24T00:00:00.000
116,PCS000116,55,Liberty PurchaseCommoditySubcategory 116,1,1,2026-08-24T00:00:00.000
117,PCS000117,16,Unity PurchaseCommoditySubcategory 117,1,1,2026-08-24T00:00:00.000
118,PCS000118,19,Delta PurchaseCommoditySubcategory 118,1,1,2026-08-24T00:00:00.000
119,PCS000119,47,Northstar PurchaseCommoditySubcategory 119,1,1,2026-08-24T00:00:00.000
120,PCS000120,40,Zenith PurchaseCommoditySubcategory 120,1,1,2026-08-24T00:00:00.000
121,PCS000121,58,Keystone PurchaseCommoditySubcategory 121,1,1,2026-08-24T00:00:00.000
122,PCS000122,12,Orion PurchaseCommoditySubcategory 122,1,1,2026-08-24T00:00:00.000
123,PCS000123,9,Zenith PurchaseCommoditySubcategory 123,1,1,2026-08-24T00:00:00.000
124,PCS000124,32,Riverton PurchaseCommoditySubcategory 124,1,1,2026-08-24T00:00:00.000
125,PCS000125,90,Pioneer PurchaseCommoditySubcategory 125,1,1,2026-08-24T00:00:00.000
126,PCS000126,5,Atlas PurchaseCommoditySubcategory 126,1,1,2026-08-24T00:00:00.000
127,PCS000127,86,Liberty PurchaseCommoditySubcategory 127,1,1,2026-08-24T00:00:00.000
128,PCS000128,60,Liberty PurchaseCommoditySubcategory 128,1,1,2026-08-24T00:00:00.000
129,PCS000129,4,Delta PurchaseCommoditySubcategory 129,1,1,2026-08-24T00:00:00.000
130,PCS000130,61,Evergreen PurchaseCommoditySubcategory 130,1,1,2026-08-24T00:00:00.000
131,PCS000131,83,Quartz PurchaseCommoditySubcategory 131,1,1,2026-08-24T00:00:00.000
132,PCS000132,67,Beacon PurchaseCommoditySubcategory 132,1,1,2026-08-24T00:00:00.000
133,PCS000133,30,Cedar PurchaseCommoditySubcategory 133,1,1,2026-08-24T00:00:00.000
134,PCS000134,21,Orion PurchaseCommoditySubcategory 134,1,1,2026-08-24T00:00:00.000
135,PCS000135,10,Zenith PurchaseCommoditySubcategory 135,1,1,2026-08-24T00:00:00.000
136,PCS000136,72,Keystone PurchaseCommoditySubcategory 136,1,1,2026-08-24T00:00:00.000
137,PCS000137,55,Meridian PurchaseCommoditySubcategory 137,1,1,2026-08-24T00:00:00.000
138,PCS000138,8,Northstar PurchaseCommoditySubcategory 138,1,1,2026-08-24T00:00:00.000
139,PCS000139,83,Atlas PurchaseCommoditySubcategory 139,1,1,2026-08-24T00:00:00.000
140,PCS000140,39,Meridian PurchaseCommoditySubcategory 140,1,1,2026-08-24T00:00:00.000
141,PCS000141,17,Zenith PurchaseCommoditySubcategory 141,1,1,2026-08-24T00:00:00.000
142,PCS000142,90,Granite PurchaseCommoditySubcategory 142,1,1,2026-08-24T00:00:00.000
143,PCS000143,15,Pioneer PurchaseCommoditySubcategory 143,1,1,2026-08-24T00:00:00.000
144,PCS000144,74,Forge PurchaseCommoditySubcategory 144,1,1,2026-08-24T00:00:00.000
145,PCS000145,34,Orion PurchaseCommoditySubcategory 145,1,1,2026-08-24T00:00:00.000
146,PCS000146,40,Liberty PurchaseCommoditySubcategory 146,1,1,2026-08-24T00:00:00.000
147,PCS000147,11,Titan PurchaseCommoditySubcategory 147,1,1,2026-08-24T00:00:00.000
148,PCS000148,52,Quartz PurchaseCommoditySubcategory 148,1,1,2026-08-24T00:00:00.000
149,PCS000149,63,Evergreen PurchaseCommoditySubcategory 149,1,1,2026-08-24T00:00:00.000
150,PCS000150,35,Unity PurchaseCommoditySubcategory 150,1,1,2026-08-24T00:00:00.000
151,PCS000151,54,Unity PurchaseCommoditySubcategory 151,1,1,2026-08-24T00:00:00.000
152,PCS000152,42,Summit PurchaseCommoditySubcategory 152,1,1,2026-08-24T00:00:00.000
153,PCS000153,12,Atlas PurchaseCommoditySubcategory 153,1,1,2026-08-24T00:00:00.000
154,PCS000154,78,Atlas PurchaseCommoditySubcategory 154,1,1,2026-08-24T00:00:00.000
155,PCS000155,64,Vertex PurchaseCommoditySubcategory 155,1,1,2026-08-24T00:00:00.000
156,PCS000156,19,Riverton PurchaseCommoditySubcategory 156,1,1,2026-08-24T00:00:00.000
157,PCS000157,34,Atlas PurchaseCommoditySubcategory 157,1,1,2026-08-24T00:00:00.000
158,PCS000158,62,Keystone PurchaseCommoditySubcategory 158,1,1,2026-08-24T00:00:00.000
159,PCS000159,63,Granite PurchaseCommoditySubcategory 159,1,1,2026-08-24T00:00:00.000
160,PCS000160,17,Orion PurchaseCommoditySubcategory 160,1,1,2026-08-24T00:00:00.000
161,PCS000161,61,Northstar PurchaseCommoditySubcategory 161,1,1,2026-08-24T00:00:00.000
162,PCS000162,84,Liberty PurchaseCommoditySubcategory 162,1,1,2026-08-24T00:00:00.000
163,PCS000163,6,Pioneer PurchaseCommoditySubcategory 163,1,1,2026-08-24T00:00:00.000
164,PCS000164,63,Meridian PurchaseCommoditySubcategory 164,1,1,2026-08-24T00:00:00.000
165,PCS000165,35,Riverton PurchaseCommoditySubcategory 165,1,1,2026-08-24T00:00:00.000
166,PCS000166,18,Northstar PurchaseCommoditySubcategory 166,1,1,2026-08-24T00:00:00.000
167,PCS000167,31,Orion PurchaseCommoditySubcategory 167,1,1,2026-08-24T00:00:00.000
168,PCS000168,80,Keystone PurchaseCommoditySubcategory 168,1,1,2026-08-24T00:00:00.000
169,PCS000169,86,Evergreen PurchaseCommoditySubcategory 169,1,1,2026-08-24T00:00:00.000
170,PCS000170,36,Zenith PurchaseCommoditySubcategory 170,1,1,2026-08-24T00:00:00.000
171,PCS000171,7,Pioneer PurchaseCommoditySubcategory 171,1,1,2026-08-24T00:00:00.000
172,PCS000172,41,Forge PurchaseCommoditySubcategory 172,1,1,2026-08-24T00:00:00.000
173,PCS000173,26,Northstar PurchaseCommoditySubcategory 173,1,1,2026-08-24T00:00:00.000
174,PCS000174,34,Meridian PurchaseCommoditySubcategory 174,1,1,2026-08-24T00:00:00.000
175,PCS000175,78,Quartz PurchaseCommoditySubcategory 175,1,1,2026-08-24T00:00:00.000
176,PCS000176,63,Northstar PurchaseCommoditySubcategory 176,1,1,2026-08-24T00:00:00.000
177,PCS000177,43,Orion PurchaseCommoditySubcategory 177,1,1,2026-08-24T00:00:00.000
178,PCS000178,27,Northstar PurchaseCommoditySubcategory 178,1,1,2026-08-24T00:00:00.000
179,PCS000179,82,Pioneer PurchaseCommoditySubcategory 179,1,1,2026-08-24T00:00:00.000
180,PCS000180,52,Forge PurchaseCommoditySubcategory 180,1,1,2026-08-24T00:00:00.000
181,PCS000181,9,Forge PurchaseCommoditySubcategory 181,1,1,2026-08-24T00:00:00.000
182,PCS000182,75,Atlas PurchaseCommoditySubcategory 182,1,1,2026-08-24T00:00:00.000
183,PCS000183,9,Zenith PurchaseCommoditySubcategory 183,1,1,2026-08-24T00:00:00.000
184,PCS000184,86,Meridian PurchaseCommoditySubcategory 184,1,1,2026-08-24T00:00:00.000
185,PCS000185,12,Willow PurchaseCommoditySubcategory 185,1,1,2026-08-24T00:00:00.000
186,PCS000186,64,Ion PurchaseCommoditySubcategory 186,1,1,2026-08-24T00:00:00.000
187,PCS000187,29,Forge PurchaseCommoditySubcategory 187,1,1,2026-08-24T00:00:00.000
188,PCS000188,87,Quartz PurchaseCommoditySubcategory 188,1,1,2026-08-24T00:00:00.000
189,PCS000189,15,Summit PurchaseCommoditySubcategory 189,1,1,2026-08-24T00:00:00.000
190,PCS000190,1,Harbor PurchaseCommoditySubcategory 190,1,1,2026-08-24T00:00:00.000
191,PCS000191,42,Delta PurchaseCommoditySubcategory 191,1,1,2026-08-24T00:00:00.000
192,PCS000192,64,Forge PurchaseCommoditySubcategory 192,1,1,2026-08-24T00:00:00.000
193,PCS000193,71,Granite PurchaseCommoditySubcategory 193,1,1,2026-08-24T00:00:00.000
194,PCS000194,12,Forge PurchaseCommoditySubcategory 194,1,1,2026-08-24T00:00:00.000
195,PCS000195,90,Liberty PurchaseCommoditySubcategory 195,1,1,2026-08-24T00:00:00.000
196,PCS000196,27,Pioneer PurchaseCommoditySubcategory 196,1,1,2026-08-24T00:00:00.000
197,PCS000197,13,Willow PurchaseCommoditySubcategory 197,1,1,2026-08-24T00:00:00.000
198,PCS000198,68,Evergreen PurchaseCommoditySubcategory 198,1,1,2026-08-24T00:00:00.000
199,PCS000199,11,Meridian PurchaseCommoditySubcategory 199,1,1,2026-08-24T00:00:00.000
200,PCS000200,87,Keystone PurchaseCommoditySubcategory 200,1,1,2026-08-24T00:00:00.000
201,PCS000201,35,Liberty PurchaseCommoditySubcategory 201,1,1,2026-08-24T00:00:00.000
202,PCS000202,79,Orion PurchaseCommoditySubcategory 202,1,1,2026-08-24T00:00:00.000
203,PCS000203,37,Cedar PurchaseCommoditySubcategory 203,1,1,2026-08-24T00:00:00.000
204,PCS000204,59,Beacon PurchaseCommoditySubcategory 204,1,1,2026-08-24T00:00:00.000
205,PCS000205,2,Ion PurchaseCommoditySubcategory 205,1,1,2026-08-24T00:00:00.000
206,PCS000206,8,Northstar PurchaseCommoditySubcategory 206,1,1,2026-08-24T00:00:00.000
207,PCS000207,87,Junction PurchaseCommoditySubcategory 207,1,1,2026-08-24T00:00:00.000
208,PCS000208,75,Unity PurchaseCommoditySubcategory 208,1,1,2026-08-24T00:00:00.000
209,PCS000209,39,Unity PurchaseCommoditySubcategory 209,1,1,2026-08-24T00:00:00.000
210,PCS000210,90,Unity PurchaseCommoditySubcategory 210,1,1,2026-08-24T00:00:00.000
211,PCS000211,8,Ion PurchaseCommoditySubcategory 211,1,1,2026-08-24T00:00:00.000
212,PCS000212,2,Ion PurchaseCommoditySubcategory 212,1,1,2026-08-24T00:00:00.000
213,PCS000213,83,Harbor PurchaseCommoditySubcategory 213,1,1,2026-08-24T00:00:00.000
214,PCS000214,6,Pioneer PurchaseCommoditySubcategory 214,1,1,2026-08-24T00:00:00.000
215,PCS000215,76,Northstar PurchaseCommoditySubcategory 215,1,1,2026-08-24T00:00:00.000
216,PCS000216,74,Liberty PurchaseCommoditySubcategory 216,1,1,2026-08-24T00:00:00.000
217,PCS000217,47,Pioneer PurchaseCommoditySubcategory 217,1,1,2026-08-24T00:00:00.000
218,PCS000218,83,Orion PurchaseCommoditySubcategory 218,1,1,2026-08-24T00:00:00.000
219,PCS000219,43,Unity PurchaseCommoditySubcategory 219,1,1,2026-08-24T00:00:00.000
220,PCS000220,59,Pioneer PurchaseCommoditySubcategory 220,1,1,2026-08-24T00:00:00.000
221,PCS000221,15,Liberty PurchaseCommoditySubcategory 221,1,1,2026-08-24T00:00:00.000
222,PCS000222,90,Riverton PurchaseCommoditySubcategory 222,1,1,2026-08-24T00:00:00.000
223,PCS000223,61,Delta PurchaseCommoditySubcategory 223,1,1,2026-08-24T00:00:00.000
224,PCS000224,41,Zenith PurchaseCommoditySubcategory 224,1,1,2026-08-24T00:00:00.000
225,PCS000225,37,Keystone PurchaseCommoditySubcategory 225,1,1,2026-08-24T00:00:00.000
226,PCS000226,52,Forge PurchaseCommoditySubcategory 226,1,1,2026-08-24T00:00:00.000
227,PCS000227,35,Ion PurchaseCommoditySubcategory 227,1,1,2026-08-24T00:00:00.000
228,PCS000228,23,Summit PurchaseCommoditySubcategory 228,1,1,2026-08-24T00:00:00.000
229,PCS000229,17,Pioneer PurchaseCommoditySubcategory 229,1,1,2026-08-24T00:00:00.000
230,PCS000230,24,Riverton PurchaseCommoditySubcategory 230,1,1,2026-08-24T00:00:00.000
231,PCS000231,79,Forge PurchaseCommoditySubcategory 231,1,1,2026-08-24T00:00:00.000
232,PCS000232,65,Orion PurchaseCommoditySubcategory 232,1,1,2026-08-24T00:00:00.000
233,PCS000233,88,Cedar PurchaseCommoditySubcategory 233,1,1,2026-08-24T00:00:00.000
234,PCS000234,57,Unity PurchaseCommoditySubcategory 234,1,1,2026-08-24T00:00:00.000
235,PCS000235,89,Unity PurchaseCommoditySubcategory 235,1,1,2026-08-24T00:00:00.000
236,PCS000236,54,Atlas PurchaseCommoditySubcategory 236,1,1,2026-08-24T00:00:00.000
237,PCS000237,85,Evergreen PurchaseCommoditySubcategory 237,1,1,2026-08-24T00:00:00.000
238,PCS000238,32,Vertex PurchaseCommoditySubcategory 238,1,1,2026-08-24T00:00:00.000
239,PCS000239,18,Atlas PurchaseCommoditySubcategory 239,1,1,2026-08-24T00:00:00.000
240,PCS000240,84,Cedar PurchaseCommoditySubcategory 240,1,1,2026-08-24T00:00:00.000
241,PCS000241,45,Keystone PurchaseCommoditySubcategory 241,1,1,2026-08-24T00:00:00.000
242,PCS000242,43,Atlas PurchaseCommoditySubcategory 242,1,1,2026-08-24T00:00:00.000
243,PCS000243,49,Riverton PurchaseCommoditySubcategory 243,1,1,2026-08-24T00:00:00.000
244,PCS000244,55,Forge PurchaseCommoditySubcategory 244,1,1,2026-08-24T00:00:00.000
245,PCS000245,61,Cedar PurchaseCommoditySubcategory 245,1,1,2026-08-24T00:00:00.000
246,PCS000246,68,Titan PurchaseCommoditySubcategory 246,1,1,2026-08-24T00:00:00.000
247,PCS000247,80,Zenith PurchaseCommoditySubcategory 247,1,1,2026-08-24T00:00:00.000
248,PCS000248,49,Forge PurchaseCommoditySubcategory 248,1,1,2026-08-24T00:00:00.000
249,PCS000249,32,Titan PurchaseCommoditySubcategory 249,1,1,2026-08-24T00:00:00.000
250,PCS000250,48,Harbor PurchaseCommoditySubcategory 250,1,1,2026-08-24T00:00:00.000
251,PCS000251,20,Meridian PurchaseCommoditySubcategory 251,1,1,2026-08-24T00:00:00.000
252,PCS000252,12,Keystone PurchaseCommoditySubcategory 252,1,1,2026-08-24T00:00:00.000
253,PCS000253,66,Pioneer PurchaseCommoditySubcategory 253,1,1,2026-08-24T00:00:00.000
254,PCS000254,77,Unity PurchaseCommoditySubcategory 254,1,1,2026-08-24T00:00:00.000
255,PCS000255,10,Liberty PurchaseCommoditySubcategory 255,1,1,2026-08-24T00:00:00.000
256,PCS000256,73,Summit PurchaseCommoditySubcategory 256,1,1,2026-08-24T00:00:00.000
257,PCS000257,40,Pioneer PurchaseCommoditySubcategory 257,1,1,2026-08-24T00:00:00.000
258,PCS000258,1,Cedar PurchaseCommoditySubcategory 258,1,1,2026-08-24T00:00:00.000
259,PCS000259,57,Evergreen PurchaseCommoditySubcategory 259,1,1,2026-08-24T00:00:00.000
260,PCS000260,79,Quartz PurchaseCommoditySubcategory 260,1,1,2026-08-24T00:00:00.000
261,PCS000261,22,Delta PurchaseCommoditySubcategory 261,1,1,2026-08-24T00:00:00.000
262,PCS000262,60,Meridian PurchaseCommoditySubcategory 262,1,1,2026-08-24T00:00:00.000
263,PCS000263,58,Forge PurchaseCommoditySubcategory 263,1,1,2026-08-24T00:00:00.000
264,PCS000264,72,Summit PurchaseCommoditySubcategory 264,1,1,2026-08-24T00:00:00.000
265,PCS000265,51,Granite PurchaseCommoditySubcategory 265,1,1,2026-08-24T00:00:00.000
266,PCS000266,18,Willow PurchaseCommoditySubcategory 266,1,1,2026-08-24T00:00:00.000
267,PCS000267,54,Zenith PurchaseCommoditySubcategory 267,1,1,2026-08-24T00:00:00.000
268,PCS000268,18,Beacon PurchaseCommoditySubcategory 268,1,1,2026-08-24T00:00:00.000
269,PCS000269,64,Pioneer PurchaseCommoditySubcategory 269,1,1,2026-08-24T00:00:00.000
270,PCS000270,2,Granite PurchaseCommoditySubcategory 270,1,1,2026-08-24T00:00:00.000
271,PCS000271,33,Vertex PurchaseCommoditySubcategory 271,1,1,2026-08-24T00:00:00.000
272,PCS000272,57,Pioneer PurchaseCommoditySubcategory 272,1,1,2026-08-24T00:00:00.000
273,PCS000273,59,Keystone PurchaseCommoditySubcategory 273,1,1,2026-08-24T00:00:00.000
274,PCS000274,64,Ion PurchaseCommoditySubcategory 274,1,1,2026-08-24T00:00:00.000
275,PCS000275,71,Liberty PurchaseCommoditySubcategory 275,1,1,2026-08-24T00:00:00.000
276,PCS000276,22,Unity PurchaseCommoditySubcategory 276,1,1,2026-08-24T00:00:00.000
