SafetyWasteStreamKey,WasteStreamCode,PlantKey,SafetyWasteDispositionMethodKey,UnitOfMeasureKey,WasteStreamName,IsHazardousWaste,RegulatoryWasteCode,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
28,SWS000028,3,5,7,Harbor SafetyWasteStream 28,1,SWS000028,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,995a3af569e85e6280ea327f777a5461995a3af569e85e6280ea327f777a5461
29,SWS000029,100,16,1,Riverton SafetyWasteStream 29,1,SWS000029,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,656016c8d77559dca0b13a1cb19d1510656016c8d77559dca0b13a1cb19d1510
30,SWS000030,261,9,4,Granite SafetyWasteStream 30,0,SWS000030,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26b05a6cc43d5d55b681e4150f91664d26b05a6cc43d5d55b681e4150f91664d
31,SWS000031,37,15,3,Meridian SafetyWasteStream 31,1,SWS000031,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c430fb36be31561d8d932311391b80efc430fb36be31561d8d932311391b80ef
32,SWS000032,66,16,4,Willow SafetyWasteStream 32,1,SWS000032,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,011b3ec73faf5eddb244d956d72e31ea011b3ec73faf5eddb244d956d72e31ea
33,SWS000033,285,13,4,Ion SafetyWasteStream 33,1,SWS000033,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01353f40cb3b5527ad1cb4934634de7c01353f40cb3b5527ad1cb4934634de7c
34,SWS000034,100,14,3,Delta SafetyWasteStream 34,1,SWS000034,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80c5215dcabf5217bb0ca86ec4c867cf80c5215dcabf5217bb0ca86ec4c867cf
35,SWS000035,60,5,7,Cedar SafetyWasteStream 35,0,SWS000035,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04a519f5fdef59f5867ab257ceb7bd0404a519f5fdef59f5867ab257ceb7bd04
36,SWS000036,230,11,7,Zenith SafetyWasteStream 36,1,SWS000036,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,642aabc8365d5c5d9ea27e65e5d19349642aabc8365d5c5d9ea27e65e5d19349
37,SWS000037,215,8,3,Liberty SafetyWasteStream 37,1,SWS000037,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea50a9bd08b35ce88dd94348b4bc5624ea50a9bd08b35ce88dd94348b4bc5624
38,SWS000038,261,16,1,Northstar SafetyWasteStream 38,1,SWS000038,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2e09f4f29b35285b03c77bee73401def2e09f4f29b35285b03c77bee73401de
39,SWS000039,320,10,1,Unity SafetyWasteStream 39,1,SWS000039,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dcdfb37669c954c798b7ba18171d3c66dcdfb37669c954c798b7ba18171d3c66
40,SWS000040,339,8,3,Northstar SafetyWasteStream 40,0,SWS000040,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4e0c943af8c510c82517347f5b35229c4e0c943af8c510c82517347f5b35229
41,SWS000041,102,10,1,Liberty SafetyWasteStream 41,1,SWS000041,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f61397c4f7b5ae384ed5c89c8aab0196f61397c4f7b5ae384ed5c89c8aab019
42,SWS000042,37,12,7,Keystone SafetyWasteStream 42,1,SWS000042,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c5fa147f67b5c81a8c6a3a0eb7cb6be2c5fa147f67b5c81a8c6a3a0eb7cb6be
43,SWS000043,344,2,5,Northstar SafetyWasteStream 43,1,SWS000043,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a940e925872c5978a3fc5305073fa7d3a940e925872c5978a3fc5305073fa7d3
44,SWS000044,23,11,6,Unity SafetyWasteStream 44,1,SWS000044,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52162ce30f9059acaabc129e364d896b52162ce30f9059acaabc129e364d896b
45,SWS000045,174,11,3,Willow SafetyWasteStream 45,0,SWS000045,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,047e0089df5c554da84692a233a049f9047e0089df5c554da84692a233a049f9
46,SWS000046,68,13,2,Ion SafetyWasteStream 46,1,SWS000046,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba7b87c6d1ad58a5ab8e41b24c8d6a36ba7b87c6d1ad58a5ab8e41b24c8d6a36
47,SWS000047,90,16,7,Forge SafetyWasteStream 47,1,SWS000047,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b1c3398fb395d5592e3a1c5481833474b1c3398fb395d5592e3a1c548183347
48,SWS000048,133,10,4,Orion SafetyWasteStream 48,1,SWS000048,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e396b6eb24e95310b1e28e150d606d68e396b6eb24e95310b1e28e150d606d68
49,SWS000049,159,8,4,Granite SafetyWasteStream 49,1,SWS000049,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe25f3b4bd0152f1a975ab6b6777cdc4fe25f3b4bd0152f1a975ab6b6777cdc4
50,SWS000050,202,9,4,Zenith SafetyWasteStream 50,0,SWS000050,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a6e131e334a5b0480488235fba8d2807a6e131e334a5b0480488235fba8d280
51,SWS000051,55,2,2,Meridian SafetyWasteStream 51,1,SWS000051,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5b045315b1650f68c911680e0968951e5b045315b1650f68c911680e0968951
52,SWS000052,111,9,7,Granite SafetyWasteStream 52,1,SWS000052,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe06adf1c8695cbba4ddd251e613f8fffe06adf1c8695cbba4ddd251e613f8ff
53,SWS000053,146,16,6,Delta SafetyWasteStream 53,1,SWS000053,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5705878a486578082c316f176999747a5705878a486578082c316f176999747
54,SWS000054,342,6,4,Titan SafetyWasteStream 54,1,SWS000054,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,507fad338bcf5928bf1c8c85f8480728507fad338bcf5928bf1c8c85f8480728
55,SWS000055,197,11,3,Orion SafetyWasteStream 55,0,SWS000055,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,353ced9c1fce52658cd20057850685dd353ced9c1fce52658cd20057850685dd
56,SWS000056,114,5,6,Keystone SafetyWasteStream 56,1,SWS000056,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94b8347ced8657cab39bfd95b072d4b094b8347ced8657cab39bfd95b072d4b0
57,SWS000057,298,9,6,Summit SafetyWasteStream 57,1,SWS000057,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d0f02b56a96560c83f22b9c56967b3f5d0f02b56a96560c83f22b9c56967b3f
58,SWS000058,124,13,4,Unity SafetyWasteStream 58,1,SWS000058,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7205375548b25bd6a2b91356f1c861847205375548b25bd6a2b91356f1c86184
59,SWS000059,246,9,6,Orion SafetyWasteStream 59,1,SWS000059,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d349e2fc10551e0b43c06288d411d805d349e2fc10551e0b43c06288d411d80
60,SWS000060,249,15,3,Zenith SafetyWasteStream 60,0,SWS000060,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15ed867dedd05e3f8ac81991f356755b15ed867dedd05e3f8ac81991f356755b
61,SWS000061,160,6,7,Orion SafetyWasteStream 61,1,SWS000061,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bac493b4a8d75b7ca6a74025aeee07f1bac493b4a8d75b7ca6a74025aeee07f1
62,SWS000062,330,15,6,Northstar SafetyWasteStream 62,1,SWS000062,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03d18204d0a05b018bccfb3674951eb503d18204d0a05b018bccfb3674951eb5
63,SWS000063,332,7,2,Liberty SafetyWasteStream 63,1,SWS000063,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd7ed7fd2360599594ee2abae2a84e4ffd7ed7fd2360599594ee2abae2a84e4f
64,SWS000064,86,3,3,Summit SafetyWasteStream 64,1,SWS000064,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,825b206fea555213ba2b5754e38ddf96825b206fea555213ba2b5754e38ddf96
65,SWS000065,2,11,4,Riverton SafetyWasteStream 65,0,SWS000065,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b87b4b0c6670508a941915e98af4a104b87b4b0c6670508a941915e98af4a104
66,SWS000066,309,5,4,Liberty SafetyWasteStream 66,1,SWS000066,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,43cb9466361452b9851f9c3d94fe1e2f43cb9466361452b9851f9c3d94fe1e2f
67,SWS000067,169,14,4,Harbor SafetyWasteStream 67,1,SWS000067,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc66cf067ae8539c9f9bfd36b64ac1d7fc66cf067ae8539c9f9bfd36b64ac1d7
68,SWS000068,106,6,3,Titan SafetyWasteStream 68,1,SWS000068,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b33ab790490f560e913aff055151a1c5b33ab790490f560e913aff055151a1c5
69,SWS000069,1,8,2,Orion SafetyWasteStream 69,1,SWS000069,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0cc831c403cc51989198ff54af22cb1d0cc831c403cc51989198ff54af22cb1d
70,SWS000070,318,11,4,Pioneer SafetyWasteStream 70,0,SWS000070,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c85c7847942e5a34a515ca14e9ed0bc7c85c7847942e5a34a515ca14e9ed0bc7
71,SWS000071,107,1,5,Zenith SafetyWasteStream 71,1,SWS000071,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2811f5819de75422af2d4bc73e1b845d2811f5819de75422af2d4bc73e1b845d
72,SWS000072,76,4,6,Junction SafetyWasteStream 72,1,SWS000072,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70645597b8de5832816949641ef3402270645597b8de5832816949641ef34022
73,SWS000073,209,3,6,Junction SafetyWasteStream 73,1,SWS000073,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3d8e2f5aabe159cb89cdfc3a47965cb53d8e2f5aabe159cb89cdfc3a47965cb5
74,SWS000074,278,7,2,Forge SafetyWasteStream 74,1,SWS000074,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,12239a3ce7b153b28f4bf61df82482ea12239a3ce7b153b28f4bf61df82482ea
75,SWS000075,218,2,1,Willow SafetyWasteStream 75,0,SWS000075,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d43fa477c73c51a9be600a4d1804eb15d43fa477c73c51a9be600a4d1804eb15
76,SWS000076,339,3,7,Summit SafetyWasteStream 76,1,SWS000076,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab507323dea15e8eaafb37586696be51ab507323dea15e8eaafb37586696be51
77,SWS000077,180,16,1,Atlas SafetyWasteStream 77,1,SWS000077,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca87fa8266675604a574c0d25e5b2c46ca87fa8266675604a574c0d25e5b2c46
78,SWS000078,91,15,6,Ion SafetyWasteStream 78,1,SWS000078,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e313dd33e6d53d2962216b054ef64c50e313dd33e6d53d2962216b054ef64c5
79,SWS000079,287,2,7,Quartz SafetyWasteStream 79,1,SWS000079,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9638ce8b70ba55b5b269a9d5d365d6e69638ce8b70ba55b5b269a9d5d365d6e6
80,SWS000080,114,4,6,Liberty SafetyWasteStream 80,0,SWS000080,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23a8901593fd5cf1acb349757f42ddbe23a8901593fd5cf1acb349757f42ddbe
81,SWS000081,239,13,2,Orion SafetyWasteStream 81,1,SWS000081,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf52bdc8dfb054b59487e38bb25d65e8bf52bdc8dfb054b59487e38bb25d65e8
82,SWS000082,340,3,2,Granite SafetyWasteStream 82,1,SWS000082,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6eeaef532cc7557db0f8921404b1f5436eeaef532cc7557db0f8921404b1f543
83,SWS000083,163,10,7,Atlas SafetyWasteStream 83,1,SWS000083,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d21e73462a552f19c7b9c1b1a617f286d21e73462a552f19c7b9c1b1a617f28
84,SWS000084,164,13,5,Beacon SafetyWasteStream 84,1,SWS000084,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f81d6c4b344e56d397bf4e69c25840cef81d6c4b344e56d397bf4e69c25840ce
85,SWS000085,238,16,2,Ion SafetyWasteStream 85,0,SWS000085,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e1bcd2cffed5d5998d178bdd85e6a369e1bcd2cffed5d5998d178bdd85e6a36
86,SWS000086,346,2,6,Beacon SafetyWasteStream 86,1,SWS000086,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e605a4d225e652fd85ea419ca3516b3ce605a4d225e652fd85ea419ca3516b3c
87,SWS000087,204,15,1,Harbor SafetyWasteStream 87,1,SWS000087,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc2c06192b9f5f068cdc8c7a042e7a82dc2c06192b9f5f068cdc8c7a042e7a82
88,SWS000088,106,14,6,Summit SafetyWasteStream 88,1,SWS000088,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9644fd407d9f5ab5af443df4d08bdf3c9644fd407d9f5ab5af443df4d08bdf3c
89,SWS000089,119,11,3,Meridian SafetyWasteStream 89,1,SWS000089,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7be791b656c65d75bd296fe5dab4ec807be791b656c65d75bd296fe5dab4ec80
90,SWS000090,312,12,5,Ion SafetyWasteStream 90,0,SWS000090,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a2336bb7c5653c69be1f8e14959c5cb0a2336bb7c5653c69be1f8e14959c5cb
91,SWS000091,244,12,7,Northstar SafetyWasteStream 91,1,SWS000091,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,199892a21ad554cbb3185803dbf830ff199892a21ad554cbb3185803dbf830ff
92,SWS000092,306,7,6,Meridian SafetyWasteStream 92,1,SWS000092,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,631829ffb3d55acc8b1c5699658f2628631829ffb3d55acc8b1c5699658f2628
93,SWS000093,303,15,4,Pioneer SafetyWasteStream 93,1,SWS000093,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bab6c94eff725eed8f014fe769a6406ebab6c94eff725eed8f014fe769a6406e
94,SWS000094,305,15,7,Liberty SafetyWasteStream 94,1,SWS000094,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3ada90f41595bd5a934a78ba135c45cc3ada90f41595bd5a934a78ba135c45c
95,SWS000095,127,10,3,Quartz SafetyWasteStream 95,0,SWS000095,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,026c5a1157ff5813ab4a5f98dfd097fa026c5a1157ff5813ab4a5f98dfd097fa
96,SWS000096,145,11,4,Summit SafetyWasteStream 96,1,SWS000096,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a1c79f8dc12d5070b181197579a3d489a1c79f8dc12d5070b181197579a3d489
97,SWS000097,182,1,7,Meridian SafetyWasteStream 97,1,SWS000097,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97f20871cf8e5877b36b4dd8a295964897f20871cf8e5877b36b4dd8a2959648
98,SWS000098,303,16,6,Harbor SafetyWasteStream 98,1,SWS000098,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b216a95f5f55419960b0fbc4026e97d1b216a95f5f55419960b0fbc4026e97d
99,SWS000099,94,2,5,Zenith SafetyWasteStream 99,1,SWS000099,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f98d2b7ec4e5ecfaffb005c9f4012331f98d2b7ec4e5ecfaffb005c9f401233
100,SWS000100,25,7,5,Granite SafetyWasteStream 100,0,SWS000100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61240696f47e5d5494d9701a0eb67afe61240696f47e5d5494d9701a0eb67afe
101,SWS000101,62,2,3,Evergreen SafetyWasteStream 101,1,SWS000101,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d247c589bff65c9997a048ccd998d52dd247c589bff65c9997a048ccd998d52d
102,SWS000102,53,11,7,Riverton SafetyWasteStream 102,1,SWS000102,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b353a1f416d561e9c8fe5b9d979b6aa4b353a1f416d561e9c8fe5b9d979b6aa
103,SWS000103,284,1,2,Atlas SafetyWasteStream 103,1,SWS000103,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcf69dba64435b039b199f8fbf9f2283fcf69dba64435b039b199f8fbf9f2283
