PurchaseRequisitionKey,RequisitionNumber,PlantKey,RequesterEmployeeKey,PurchaseApprovalStepKey,PurchaseRequisitionStatusKey,PriorityKey,RequisitionName,RequestedDeliveryDate,UrgencyScore,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
13,PR000013,155,473,487,2,2,Junction PurchaseRequisition 13,2020-01-14,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4521a0cd06d552b1968e854e48b61e9d4521a0cd06d552b1968e854e48b61e9d
14,PR000014,253,423,307,9,3,Vertex PurchaseRequisition 14,2020-01-15,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c69e8e78098755f9bfb5120cff555a0dc69e8e78098755f9bfb5120cff555a0d
15,PR000015,289,469,44,3,3,Meridian PurchaseRequisition 15,2020-01-16,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f48e81d982d254e4bdff990c1d8abdc2f48e81d982d254e4bdff990c1d8abdc2
16,PR000016,283,294,48,2,2,Quartz PurchaseRequisition 16,2020-01-17,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e525c7c9c8305dadab115dc5cbf2700be525c7c9c8305dadab115dc5cbf2700b
17,PR000017,20,-1,302,6,4,Meridian PurchaseRequisition 17,2020-01-18,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,890a754116f35450ba0d31707f993886890a754116f35450ba0d31707f993886
18,PR000018,210,156,38,5,2,Harbor PurchaseRequisition 18,2020-01-19,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2dca88b622d75900bf5860a5800179422dca88b622d75900bf5860a580017942
19,PR000019,227,382,157,5,5,Harbor PurchaseRequisition 19,2020-01-20,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b812c041dcbd51feb76a7fdbd00e8e28b812c041dcbd51feb76a7fdbd00e8e28
20,PR000020,328,164,387,1,3,Northstar PurchaseRequisition 20,2020-01-21,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,48835197bc925d8eb83382024363af7248835197bc925d8eb83382024363af72
21,PR000021,230,252,54,5,3,Vertex PurchaseRequisition 21,2020-01-22,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96d0f6437d555c2caac11c6d1e4e7dcc96d0f6437d555c2caac11c6d1e4e7dcc
22,PR000022,81,375,463,9,3,Titan PurchaseRequisition 22,2020-01-23,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d89c8acae40d5ed6afe8163fe3edcb2cd89c8acae40d5ed6afe8163fe3edcb2c
23,PR000023,294,459,126,7,2,Vertex PurchaseRequisition 23,2020-01-24,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae6cb4afc0a75a179b155ccdf7edabf9ae6cb4afc0a75a179b155ccdf7edabf9
24,PR000024,2,485,40,3,1,Evergreen PurchaseRequisition 24,2020-01-25,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7b87a99f18358b79304e91196fee8b2d7b87a99f18358b79304e91196fee8b2
25,PR000025,114,133,246,8,1,Willow PurchaseRequisition 25,2020-01-26,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ff5afcb44c9e5efb8140d7466e6b5bd6ff5afcb44c9e5efb8140d7466e6b5bd6
26,PR000026,291,183,4,10,4,Northstar PurchaseRequisition 26,2020-01-27,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,18d15dfda1d95ac6bbcdada9fa22b3a718d15dfda1d95ac6bbcdada9fa22b3a7
27,PR000027,257,74,375,6,2,Riverton PurchaseRequisition 27,2020-01-28,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,afa94ea46c7559439c4eab7722af936eafa94ea46c7559439c4eab7722af936e
28,PR000028,262,339,348,5,1,Pioneer PurchaseRequisition 28,2020-01-29,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee1131be3fae55218deb3c509e4c869aee1131be3fae55218deb3c509e4c869a
29,PR000029,79,310,483,1,3,Beacon PurchaseRequisition 29,2020-01-30,29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,053b53ab19875ccf8957ed6a1f6184bc053b53ab19875ccf8957ed6a1f6184bc
30,PR000030,271,162,395,9,1,Willow PurchaseRequisition 30,2020-01-31,30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e16a439d98f5dd78916952f9b63e7f42e16a439d98f5dd78916952f9b63e7f4
31,PR000031,256,94,293,2,1,Delta PurchaseRequisition 31,2020-02-01,31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fed665c422a59b6bbd01ca60ea09ab97fed665c422a59b6bbd01ca60ea09ab9
32,PR000032,210,112,68,8,2,Forge PurchaseRequisition 32,2020-02-02,32,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc9dcd69a3cc5651b0b3d9d2fb647871fc9dcd69a3cc5651b0b3d9d2fb647871
33,PR000033,82,181,151,9,4,Harbor PurchaseRequisition 33,2020-02-03,33,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,734f6737ce45529fae43499d21dbbdf3734f6737ce45529fae43499d21dbbdf3
34,PR000034,159,-1,203,9,1,Quartz PurchaseRequisition 34,2020-02-04,34,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb68b6eb376556d7adc425866654a83dcb68b6eb376556d7adc425866654a83d
35,PR000035,233,444,236,5,1,Willow PurchaseRequisition 35,2020-02-05,35,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b54bb4f1bb4a532fa5ce06e802618362b54bb4f1bb4a532fa5ce06e802618362
36,PR000036,54,94,377,7,1,Meridian PurchaseRequisition 36,2020-02-06,36,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96c3db2af3da553194a0e9db167608ec96c3db2af3da553194a0e9db167608ec
37,PR000037,249,497,432,7,1,Pioneer PurchaseRequisition 37,2020-02-07,37,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a39c0a08863b5d3d8d8f2a3e7d1540a9a39c0a08863b5d3d8d8f2a3e7d1540a9
38,PR000038,194,356,41,2,2,Orion PurchaseRequisition 38,2020-02-08,38,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a68295bc10b5e23a9a1191d941919005a68295bc10b5e23a9a1191d94191900
39,PR000039,299,388,85,2,1,Keystone PurchaseRequisition 39,2020-02-09,39,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9360a912efca5f8882259dd676c03a339360a912efca5f8882259dd676c03a33
40,PR000040,129,30,179,8,2,Ion PurchaseRequisition 40,2020-02-10,40,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d46c51502708545cb4f579782ad81791d46c51502708545cb4f579782ad81791
41,PR000041,185,437,466,3,2,Atlas PurchaseRequisition 41,2020-02-11,41,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c34e755d2605b67be1ff62fff4e0fbd8c34e755d2605b67be1ff62fff4e0fbd
42,PR000042,306,157,449,6,1,Riverton PurchaseRequisition 42,2020-02-12,42,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b857a85cff4f588ca75ac96fdce41e1bb857a85cff4f588ca75ac96fdce41e1b
43,PR000043,278,410,115,4,5,Harbor PurchaseRequisition 43,2020-02-13,43,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4565096fcd935b3e811fa45eadfabc164565096fcd935b3e811fa45eadfabc16
44,PR000044,170,201,445,7,2,Titan PurchaseRequisition 44,2020-02-14,44,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06c4742933d25e0abb0eecd88eef08f106c4742933d25e0abb0eecd88eef08f1
45,PR000045,299,187,136,10,2,Beacon PurchaseRequisition 45,2020-02-15,45,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c1b469eb13ec512597fa91130dae1b39c1b469eb13ec512597fa91130dae1b39
46,PR000046,48,303,215,6,4,Northstar PurchaseRequisition 46,2020-02-16,46,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,060226ee77b3506c979388447ac499f2060226ee77b3506c979388447ac499f2
47,PR000047,33,280,49,10,3,Pioneer PurchaseRequisition 47,2020-02-17,47,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa0f516e43cc593da54f29232825a036fa0f516e43cc593da54f29232825a036
48,PR000048,22,48,152,6,4,Orion PurchaseRequisition 48,2020-02-18,48,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c3f5ba7c42c55969d1e0ca8e404618f5c3f5ba7c42c55969d1e0ca8e404618f
49,PR000049,343,446,214,2,3,Willow PurchaseRequisition 49,2020-02-19,49,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a1a6387237f5a019b1613fa01e7d9689a1a6387237f5a019b1613fa01e7d968
50,PR000050,332,206,223,3,3,Meridian PurchaseRequisition 50,2020-02-20,50,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59a7e94666e1559596b51e48e4db308259a7e94666e1559596b51e48e4db3082
51,PR000051,36,-1,158,4,1,Beacon PurchaseRequisition 51,2020-02-21,51,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a358e01b4d5358ac839cc8bc31847e28a358e01b4d5358ac839cc8bc31847e28
52,PR000052,341,409,82,9,2,Vertex PurchaseRequisition 52,2020-02-22,52,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0326fa7446515a9a8e986a862e02840b0326fa7446515a9a8e986a862e02840b
53,PR000053,311,200,272,7,5,Atlas PurchaseRequisition 53,2020-02-23,53,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4662412c22a5e429bc4b607840b2bdea4662412c22a5e429bc4b607840b2bde
54,PR000054,2,267,298,1,3,Unity PurchaseRequisition 54,2020-02-24,54,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,164df4484d3e5d7e80ba294c9522a313164df4484d3e5d7e80ba294c9522a313
55,PR000055,211,25,79,1,3,Keystone PurchaseRequisition 55,2020-02-25,55,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,543787e09bc8598a824c4bc85a2415bd543787e09bc8598a824c4bc85a2415bd
56,PR000056,138,47,427,2,5,Unity PurchaseRequisition 56,2020-02-26,56,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae03af37089450d895bacb22c6685a50ae03af37089450d895bacb22c6685a50
57,PR000057,338,313,114,5,2,Liberty PurchaseRequisition 57,2020-02-27,57,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5da50ee63bda5e448087542a27de28215da50ee63bda5e448087542a27de2821
58,PR000058,276,89,244,4,2,Summit PurchaseRequisition 58,2020-02-28,58,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b0b6c30f5c058e19108b16ac36df2777b0b6c30f5c058e19108b16ac36df277
59,PR000059,143,292,496,6,3,Unity PurchaseRequisition 59,2020-02-29,59,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d10ce622547d52979da5a01f79cc412ad10ce622547d52979da5a01f79cc412a
60,PR000060,156,316,75,8,3,Beacon PurchaseRequisition 60,2020-03-01,60,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61c3aa3a3d975e07b4e42aea0e8a04ab61c3aa3a3d975e07b4e42aea0e8a04ab
61,PR000061,82,325,52,1,1,Zenith PurchaseRequisition 61,2020-03-02,61,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54e2af1d1bea532f90c73ea8053e606e54e2af1d1bea532f90c73ea8053e606e
62,PR000062,335,103,258,8,5,Meridian PurchaseRequisition 62,2020-03-03,62,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f952940f9a24502e81f0b0b81cc73524f952940f9a24502e81f0b0b81cc73524
63,PR000063,318,88,234,7,1,Forge PurchaseRequisition 63,2020-03-04,63,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,37d3816799e45c5abd6bb3c2e411a98737d3816799e45c5abd6bb3c2e411a987
64,PR000064,205,26,76,10,1,Harbor PurchaseRequisition 64,2020-03-05,64,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83e2b67fe36153cf967847e0ef78de8c83e2b67fe36153cf967847e0ef78de8c
65,PR000065,117,344,306,1,3,Unity PurchaseRequisition 65,2020-03-06,65,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fa0ba02be0c5db289d295f861038b7c0fa0ba02be0c5db289d295f861038b7c
66,PR000066,305,428,480,5,4,Liberty PurchaseRequisition 66,2020-03-07,66,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bace2ca1f6e5f76add2d58e3cd2e9f46bace2ca1f6e5f76add2d58e3cd2e9f4
67,PR000067,181,292,289,4,5,Junction PurchaseRequisition 67,2020-03-08,67,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84fcce51c4ca5e9cbf2ec59e9a28f1ab84fcce51c4ca5e9cbf2ec59e9a28f1ab
68,PR000068,94,-1,107,2,5,Vertex PurchaseRequisition 68,2020-03-09,68,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be7a422c0ab95cca90017c7a4c3864cbbe7a422c0ab95cca90017c7a4c3864cb
69,PR000069,297,91,420,10,1,Junction PurchaseRequisition 69,2020-03-10,69,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c92d3d214eff5de19a373d88a1b8def3c92d3d214eff5de19a373d88a1b8def3
70,PR000070,246,225,138,4,3,Quartz PurchaseRequisition 70,2020-03-11,70,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96f83d281e245f67be6762a67a701e7e96f83d281e245f67be6762a67a701e7e
71,PR000071,129,438,459,7,1,Meridian PurchaseRequisition 71,2020-03-12,71,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aef73da593a2504bb4869b894ed717e0aef73da593a2504bb4869b894ed717e0
72,PR000072,149,78,244,6,3,Orion PurchaseRequisition 72,2020-03-13,72,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2602c9d9aebb55d78e905efc7b09f1062602c9d9aebb55d78e905efc7b09f106
73,PR000073,208,363,406,5,5,Willow PurchaseRequisition 73,2020-03-14,73,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d66e4a4fbfb45a20a0beb0d7f9dbf07ed66e4a4fbfb45a20a0beb0d7f9dbf07e
74,PR000074,286,409,164,3,3,Willow PurchaseRequisition 74,2020-03-15,74,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2676ec1b1f7a5227a9c4eab5ee765b322676ec1b1f7a5227a9c4eab5ee765b32
75,PR000075,267,500,232,9,3,Harbor PurchaseRequisition 75,2020-03-16,75,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8cdea8e94b2753fab443c9ffa3a49dbe8cdea8e94b2753fab443c9ffa3a49dbe
76,PR000076,338,344,452,4,4,Northstar PurchaseRequisition 76,2020-03-17,76,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,443592dfa8b5569b907e23f49598f35f443592dfa8b5569b907e23f49598f35f
77,PR000077,139,425,169,3,4,Northstar PurchaseRequisition 77,2020-03-18,77,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d9cfb6246b45d1e9b6251fa14fb0b547d9cfb6246b45d1e9b6251fa14fb0b54
78,PR000078,94,68,309,9,3,Atlas PurchaseRequisition 78,2020-03-19,78,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0437ca8f1058519d8de7fa0b8d94e3980437ca8f1058519d8de7fa0b8d94e398
79,PR000079,337,74,239,6,5,Summit PurchaseRequisition 79,2020-03-20,79,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,364ec0ff3119585dbae3e8de369d4ee9364ec0ff3119585dbae3e8de369d4ee9
80,PR000080,34,393,71,5,2,Titan PurchaseRequisition 80,2020-03-21,80,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3cbda6d8b0045e78bb8de4d8fde755763cbda6d8b0045e78bb8de4d8fde75576
81,PR000081,312,450,151,5,5,Keystone PurchaseRequisition 81,2020-03-22,81,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc7eecc5258752e6b2444c7283d6ee1adc7eecc5258752e6b2444c7283d6ee1a
82,PR000082,81,446,371,6,2,Atlas PurchaseRequisition 82,2020-03-23,82,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c06b963c577451e08b1a278ebf7449bcc06b963c577451e08b1a278ebf7449bc
83,PR000083,130,317,451,3,4,Zenith PurchaseRequisition 83,2020-03-24,83,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d38b830e6a759bf97b550355a3728d51d38b830e6a759bf97b550355a3728d5
84,PR000084,97,7,396,8,2,Forge PurchaseRequisition 84,2020-03-25,84,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbf0f6728b5f5675b4c4bffd3284f4bffbf0f6728b5f5675b4c4bffd3284f4bf
85,PR000085,30,-1,345,2,4,Meridian PurchaseRequisition 85,2020-03-26,85,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a70bd691ab79551d916e950dcdddf24ca70bd691ab79551d916e950dcdddf24c
86,PR000086,234,218,245,3,1,Junction PurchaseRequisition 86,2020-03-27,86,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54e8273540f25b66b532665e8d72541a54e8273540f25b66b532665e8d72541a
87,PR000087,200,226,345,8,4,Zenith PurchaseRequisition 87,2020-03-28,87,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d094067cded5be9a82b5fba2494fbba8d094067cded5be9a82b5fba2494fbba
88,PR000088,160,497,491,7,3,Meridian PurchaseRequisition 88,2020-03-29,88,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6dfd3630cce35b5382c836b477bfd8bb6dfd3630cce35b5382c836b477bfd8bb
89,PR000089,86,6,120,5,1,Ion PurchaseRequisition 89,2020-03-30,89,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2a2539db7f35a8f912bacc3a59af194e2a2539db7f35a8f912bacc3a59af194
90,PR000090,238,180,64,6,2,Liberty PurchaseRequisition 90,2020-03-31,90,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0d186d6110054b2b311e9d84a860dafe0d186d6110054b2b311e9d84a860daf
91,PR000091,209,259,230,9,1,Unity PurchaseRequisition 91,2020-04-01,91,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3218fe7c9b565ca0a788f025d738f9ba3218fe7c9b565ca0a788f025d738f9ba
92,PR000092,13,32,191,9,2,Ion PurchaseRequisition 92,2020-04-02,92,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,502abe4c99c6518ebd6aba54269820cb502abe4c99c6518ebd6aba54269820cb
93,PR000093,124,41,32,5,1,Riverton PurchaseRequisition 93,2020-04-03,93,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ed0e1f51ac6a50a5a1637fb5649ec31ced0e1f51ac6a50a5a1637fb5649ec31c
94,PR000094,262,255,232,2,1,Granite PurchaseRequisition 94,2020-04-04,94,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16424d9f802b5028a8966ec16b83e75d16424d9f802b5028a8966ec16b83e75d
95,PR000095,125,254,117,1,1,Junction PurchaseRequisition 95,2020-04-05,95,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b67c3d7da282519cab844c818589f468b67c3d7da282519cab844c818589f468
96,PR000096,156,495,461,5,4,Delta PurchaseRequisition 96,2020-04-06,96,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0175c039808f5764921d58a5461f5f410175c039808f5764921d58a5461f5f41
97,PR000097,11,60,409,10,4,Ion PurchaseRequisition 97,2020-04-07,97,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f26c981de35596dba7405db1d02a00e8f26c981de35596dba7405db1d02a00e
98,PR000098,298,5,112,9,2,Pioneer PurchaseRequisition 98,2020-04-08,98,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4085adcd91bd5c708934d2e874f18fbb4085adcd91bd5c708934d2e874f18fbb
99,PR000099,108,361,258,3,4,Keystone PurchaseRequisition 99,2020-04-09,99,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1824625b0c715cd2964cc1896104e5591824625b0c715cd2964cc1896104e559
100,PR000100,314,190,244,1,2,Vertex PurchaseRequisition 100,2020-04-10,100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd4dba4816215c5fa1e411027ffbd952fd4dba4816215c5fa1e411027ffbd952
