PurchaseRequestForQuoteKey,RequestForQuoteNumber,PurchaseCommodityKey,SourcingOwnerEmployeeKey,ApprovalStatusKey,CurrencyKey,RequestForQuoteName,BidDueDate,IsSealedBid,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
20,PRFQ000020,333,498,1,1,Quartz PurchaseRequestForQuote 20,2020-01-21,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f60c3079e994505595c264b19b302bdaf60c3079e994505595c264b19b302bda
21,PRFQ000021,102,139,5,4,Atlas PurchaseRequestForQuote 21,2020-01-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,859097b230105a71b02b0f066dfb4e2a859097b230105a71b02b0f066dfb4e2a
22,PRFQ000022,340,395,2,3,Titan PurchaseRequestForQuote 22,2020-01-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a46be45705554819b67a611b3d43e152a46be45705554819b67a611b3d43e15
23,PRFQ000023,313,21,2,5,Beacon PurchaseRequestForQuote 23,2020-01-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6b81a1d04875fff940441ab89505c5ef6b81a1d04875fff940441ab89505c5e
24,PRFQ000024,136,296,2,5,Ion PurchaseRequestForQuote 24,2020-01-25,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d49daec32a5f584b8a29463a451fca50d49daec32a5f584b8a29463a451fca50
25,PRFQ000025,340,306,1,5,Liberty PurchaseRequestForQuote 25,2020-01-26,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4ef46669885c548cbb52e093959c053a4ef46669885c548cbb52e093959c053a
26,PRFQ000026,88,451,3,1,Liberty PurchaseRequestForQuote 26,2020-01-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,51d11b9de35f527ab2813c110390778751d11b9de35f527ab2813c1103907787
27,PRFQ000027,222,288,5,5,Willow PurchaseRequestForQuote 27,2020-01-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59100d3cbb015bc9bf99bb83cd3d493359100d3cbb015bc9bf99bb83cd3d4933
28,PRFQ000028,463,347,3,5,Forge PurchaseRequestForQuote 28,2020-01-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9f6b99a9c54572098f0fde95afa653ad9f6b99a9c54572098f0fde95afa653a
29,PRFQ000029,83,106,2,5,Meridian PurchaseRequestForQuote 29,2020-01-30,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,740b641bd10c5bf4b165cc13bbbe8f56740b641bd10c5bf4b165cc13bbbe8f56
30,PRFQ000030,488,268,5,4,Harbor PurchaseRequestForQuote 30,2020-01-31,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9085b529a69f5b1db75291a2644271c99085b529a69f5b1db75291a2644271c9
31,PRFQ000031,297,139,1,2,Unity PurchaseRequestForQuote 31,2020-02-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e2c01199cfe5dfdbfb93339c33dc5ed4e2c01199cfe5dfdbfb93339c33dc5ed
32,PRFQ000032,259,431,3,1,Northstar PurchaseRequestForQuote 32,2020-02-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b47231602bf568491fb246057dad7770b47231602bf568491fb246057dad777
33,PRFQ000033,348,265,2,5,Quartz PurchaseRequestForQuote 33,2020-02-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe0a815d35955ee9b533e86b575b0306fe0a815d35955ee9b533e86b575b0306
34,PRFQ000034,229,-1,2,5,Keystone PurchaseRequestForQuote 34,2020-02-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c66c9b8fdb6155efb1db13d7e65f974fc66c9b8fdb6155efb1db13d7e65f974f
35,PRFQ000035,447,370,1,4,Evergreen PurchaseRequestForQuote 35,2020-02-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71dd729ca6955062912cf8abf155c30171dd729ca6955062912cf8abf155c301
36,PRFQ000036,140,77,5,2,Meridian PurchaseRequestForQuote 36,2020-02-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bdd6cac176935b0faee4504b6dbfe817bdd6cac176935b0faee4504b6dbfe817
37,PRFQ000037,268,348,3,5,Forge PurchaseRequestForQuote 37,2020-02-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ad3a7e6f98959cb868178012ec016290ad3a7e6f98959cb868178012ec01629
38,PRFQ000038,468,439,2,2,Quartz PurchaseRequestForQuote 38,2020-02-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6ab791ff354754389000f6d93985875b6ab791ff354754389000f6d93985875b
39,PRFQ000039,285,121,1,3,Zenith PurchaseRequestForQuote 39,2020-02-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5e9c84470065169a0bcf3a5973ecd3fe5e9c84470065169a0bcf3a5973ecd3f
40,PRFQ000040,90,120,1,5,Quartz PurchaseRequestForQuote 40,2020-02-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebccd2ba75c15be2bf9a90a1bba659f3ebccd2ba75c15be2bf9a90a1bba659f3
41,PRFQ000041,245,306,3,3,Vertex PurchaseRequestForQuote 41,2020-02-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,500d25f41eed5d608de850a390278fe0500d25f41eed5d608de850a390278fe0
42,PRFQ000042,499,31,5,2,Titan PurchaseRequestForQuote 42,2020-02-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6d295e3f75b5cdd9b4fa02ecf23f051e6d295e3f75b5cdd9b4fa02ecf23f051
43,PRFQ000043,113,421,2,3,Forge PurchaseRequestForQuote 43,2020-02-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46ca6e133a245ff89de0453216f9a0c646ca6e133a245ff89de0453216f9a0c6
44,PRFQ000044,359,243,1,4,Harbor PurchaseRequestForQuote 44,2020-02-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bd36df536935534be6d31f129cff7cc4bd36df536935534be6d31f129cff7cc
45,PRFQ000045,187,388,4,4,Atlas PurchaseRequestForQuote 45,2020-02-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f86a80cf29725e7d85730fe5602fa89ef86a80cf29725e7d85730fe5602fa89e
46,PRFQ000046,133,416,2,2,Keystone PurchaseRequestForQuote 46,2020-02-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a02fcf7c5c0566ea30a752484a4c75a9a02fcf7c5c0566ea30a752484a4c75a
47,PRFQ000047,134,486,2,3,Keystone PurchaseRequestForQuote 47,2020-02-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7bc44d60561956a08cbcea59995be1d77bc44d60561956a08cbcea59995be1d7
48,PRFQ000048,431,76,2,1,Summit PurchaseRequestForQuote 48,2020-02-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c0a3fffe5ef55cabdb5c5b965e2cd871c0a3fffe5ef55cabdb5c5b965e2cd87
49,PRFQ000049,431,145,5,1,Riverton PurchaseRequestForQuote 49,2020-02-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b059b46d88d546194036c669eed9b3a4b059b46d88d546194036c669eed9b3a
50,PRFQ000050,75,96,2,4,Summit PurchaseRequestForQuote 50,2020-02-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd3ae8db8b5e566ab0782bdd98c2db43fd3ae8db8b5e566ab0782bdd98c2db43
51,PRFQ000051,225,-1,1,4,Riverton PurchaseRequestForQuote 51,2020-02-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d49e2aac50e25e5584558d8eb20450f3d49e2aac50e25e5584558d8eb20450f3
52,PRFQ000052,303,462,2,2,Junction PurchaseRequestForQuote 52,2020-02-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f57fea0fcc0f5d21b7917c1a6bd8c854f57fea0fcc0f5d21b7917c1a6bd8c854
53,PRFQ000053,226,380,1,1,Pioneer PurchaseRequestForQuote 53,2020-02-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d9a50a82e355d2fadb1e48ba0ee20030d9a50a82e355d2fadb1e48ba0ee2003
54,PRFQ000054,118,28,2,1,Evergreen PurchaseRequestForQuote 54,2020-02-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7d1e721a52375e4286dd6162922b4f4d7d1e721a52375e4286dd6162922b4f4d
55,PRFQ000055,489,411,3,5,Junction PurchaseRequestForQuote 55,2020-02-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f488d49951a531cbbbdc3acb2ec56de5f488d49951a531cbbbdc3acb2ec56de
56,PRFQ000056,165,432,3,5,Forge PurchaseRequestForQuote 56,2020-02-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60cf6d48b33e5440bd96e7809997033060cf6d48b33e5440bd96e78099970330
57,PRFQ000057,117,22,4,1,Vertex PurchaseRequestForQuote 57,2020-02-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1663c3614b0d5e3d94810cc2724b81e71663c3614b0d5e3d94810cc2724b81e7
58,PRFQ000058,394,458,2,4,Keystone PurchaseRequestForQuote 58,2020-02-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cedcd560f9505954b1ae3d279a65ede1cedcd560f9505954b1ae3d279a65ede1
59,PRFQ000059,280,371,4,3,Vertex PurchaseRequestForQuote 59,2020-02-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25ba02c438cd523aa09540221ea8c10e25ba02c438cd523aa09540221ea8c10e
60,PRFQ000060,151,187,2,1,Beacon PurchaseRequestForQuote 60,2020-03-01,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49dffe516f4c5c80830f98a7a686a2f849dffe516f4c5c80830f98a7a686a2f8
61,PRFQ000061,399,286,4,5,Summit PurchaseRequestForQuote 61,2020-03-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6c50f98b8645183a90be491729fd6c1c6c50f98b8645183a90be491729fd6c1
62,PRFQ000062,391,453,2,4,Orion PurchaseRequestForQuote 62,2020-03-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0558a9d54a6588d8d0c679f66876213b0558a9d54a6588d8d0c679f66876213
63,PRFQ000063,269,41,5,1,Granite PurchaseRequestForQuote 63,2020-03-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b36cadfa694e569c8819e7063fafc9e7b36cadfa694e569c8819e7063fafc9e7
64,PRFQ000064,54,207,4,3,Willow PurchaseRequestForQuote 64,2020-03-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0703977ae342509cb5fc6529ab0e1fe50703977ae342509cb5fc6529ab0e1fe5
65,PRFQ000065,206,276,2,1,Delta PurchaseRequestForQuote 65,2020-03-06,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6a437c374315fe7acdddd157f8b2a3ab6a437c374315fe7acdddd157f8b2a3a
66,PRFQ000066,343,333,2,4,Meridian PurchaseRequestForQuote 66,2020-03-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4e5a9d4bacd5e03a2c2d8f5adaab535b4e5a9d4bacd5e03a2c2d8f5adaab535
67,PRFQ000067,268,34,4,3,Orion PurchaseRequestForQuote 67,2020-03-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fead472e6d35a5c8d742eaa48576d546fead472e6d35a5c8d742eaa48576d54
68,PRFQ000068,269,-1,2,5,Beacon PurchaseRequestForQuote 68,2020-03-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3c5e4fc14295eb7aff841595b9ed520a3c5e4fc14295eb7aff841595b9ed520
69,PRFQ000069,336,73,1,2,Granite PurchaseRequestForQuote 69,2020-03-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3053c81983685900ba29e1a696e3fea33053c81983685900ba29e1a696e3fea3
70,PRFQ000070,338,481,4,5,Orion PurchaseRequestForQuote 70,2020-03-11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5286731998d65563b6aa2621d4bc5aab5286731998d65563b6aa2621d4bc5aab
71,PRFQ000071,255,350,2,3,Riverton PurchaseRequestForQuote 71,2020-03-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2de2679fbac0549790076b8cd9506b782de2679fbac0549790076b8cd9506b78
72,PRFQ000072,431,153,3,2,Granite PurchaseRequestForQuote 72,2020-03-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7df2d5bbdb29583b9aed84b5a3668bec7df2d5bbdb29583b9aed84b5a3668bec
73,PRFQ000073,47,1,4,2,Forge PurchaseRequestForQuote 73,2020-03-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bd06097e0a7d5ffe9495522d2ad121a3bd06097e0a7d5ffe9495522d2ad121a3
74,PRFQ000074,190,445,1,5,Quartz PurchaseRequestForQuote 74,2020-03-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee11dabe19445e50b4a7807c97e2ee64ee11dabe19445e50b4a7807c97e2ee64
75,PRFQ000075,186,420,2,4,Liberty PurchaseRequestForQuote 75,2020-03-16,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,105868ffcdc656e597767491b4c13c7d105868ffcdc656e597767491b4c13c7d
76,PRFQ000076,29,387,2,2,Forge PurchaseRequestForQuote 76,2020-03-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fa70409c6265124abf69c4557019ca98fa70409c6265124abf69c4557019ca9
77,PRFQ000077,6,65,5,1,Titan PurchaseRequestForQuote 77,2020-03-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ef7941ad6225c1f96c42a4be37f2b2b0ef7941ad6225c1f96c42a4be37f2b2b
78,PRFQ000078,423,67,4,2,Ion PurchaseRequestForQuote 78,2020-03-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4558f39678ba52498b3a6d47bd9ffa1c4558f39678ba52498b3a6d47bd9ffa1c
79,PRFQ000079,323,155,3,4,Northstar PurchaseRequestForQuote 79,2020-03-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b76d2de5d195dbc8495897232f4d6fa7b76d2de5d195dbc8495897232f4d6fa
80,PRFQ000080,211,460,1,3,Unity PurchaseRequestForQuote 80,2020-03-21,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b203e8cd8105648af3b4483d12cedfc4b203e8cd8105648af3b4483d12cedfc
81,PRFQ000081,155,197,1,1,Delta PurchaseRequestForQuote 81,2020-03-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6886819af18f5d33ab833a9b96394bc46886819af18f5d33ab833a9b96394bc4
82,PRFQ000082,84,126,3,5,Delta PurchaseRequestForQuote 82,2020-03-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8542fbfcb8365e088f82f81d80cf01178542fbfcb8365e088f82f81d80cf0117
83,PRFQ000083,339,39,5,5,Granite PurchaseRequestForQuote 83,2020-03-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59840c2dc67754aa9b4617784ce6acb759840c2dc67754aa9b4617784ce6acb7
84,PRFQ000084,60,209,1,4,Meridian PurchaseRequestForQuote 84,2020-03-25,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc1529473efe563483593e5132ba7b07cc1529473efe563483593e5132ba7b07
85,PRFQ000085,455,-1,1,2,Summit PurchaseRequestForQuote 85,2020-03-26,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0478f82d915f59adbb1727699a13989c0478f82d915f59adbb1727699a13989c
86,PRFQ000086,33,452,4,2,Northstar PurchaseRequestForQuote 86,2020-03-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6279e392c4ba52a384719d83d4ec90c16279e392c4ba52a384719d83d4ec90c1
87,PRFQ000087,326,55,5,2,Beacon PurchaseRequestForQuote 87,2020-03-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d72bd28355f5e1bae1dc80c634750701d72bd28355f5e1bae1dc80c63475070
88,PRFQ000088,429,150,2,5,Delta PurchaseRequestForQuote 88,2020-03-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e75d47422db85abb86fae58a7af03753e75d47422db85abb86fae58a7af03753
89,PRFQ000089,487,83,4,2,Northstar PurchaseRequestForQuote 89,2020-03-30,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e13e37ff4a97533797a8ec251bec7042e13e37ff4a97533797a8ec251bec7042
90,PRFQ000090,350,80,2,1,Summit PurchaseRequestForQuote 90,2020-03-31,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec18802237235d92aab03df3421ebd90ec18802237235d92aab03df3421ebd90
91,PRFQ000091,64,150,5,5,Summit PurchaseRequestForQuote 91,2020-04-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,71ab9ab9710753a58af77e6b250142da71ab9ab9710753a58af77e6b250142da
92,PRFQ000092,235,286,1,4,Titan PurchaseRequestForQuote 92,2020-04-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d877320d8953528f969307a4b52515bfd877320d8953528f969307a4b52515bf
93,PRFQ000093,10,243,5,4,Northstar PurchaseRequestForQuote 93,2020-04-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bee5ad769ac5c4a8d3d09e4b675bb3e5bee5ad769ac5c4a8d3d09e4b675bb3e
94,PRFQ000094,44,394,2,3,Junction PurchaseRequestForQuote 94,2020-04-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a486a303d7b52a4b4a14391afe07c147a486a303d7b52a4b4a14391afe07c14
95,PRFQ000095,469,93,5,2,Junction PurchaseRequestForQuote 95,2020-04-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1ea7f6244b65675a04e5f10a3186bd1f1ea7f6244b65675a04e5f10a3186bd1
96,PRFQ000096,484,135,1,2,Evergreen PurchaseRequestForQuote 96,2020-04-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3e85651694c15ff39118a0bf9522af803e85651694c15ff39118a0bf9522af80
97,PRFQ000097,319,307,2,4,Zenith PurchaseRequestForQuote 97,2020-04-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e50584ccdc565abe819759474418615be50584ccdc565abe819759474418615b
