MaintenanceConditionPointKey,ConditionPointNumber,AssetKey,MaintenanceAssetComponentTypeKey,MaintenanceConditionTypeKey,UnitOfMeasureKey,MaintenanceConditionPointName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
29,MCP000029,107,18,3,4,Willow MaintenanceConditionPoint 29,MCP000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ea2125ba01c95c0bba796cea7670abedea2125ba01c95c0bba796cea7670abed
30,MCP000030,105,271,12,7,Meridian MaintenanceConditionPoint 30,MCP000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00650564861d5901b4455d87d3ec1a3000650564861d5901b4455d87d3ec1a30
31,MCP000031,188,419,1,1,Orion MaintenanceConditionPoint 31,MCP000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34b3578395bf5a85916acc5b71eca3e934b3578395bf5a85916acc5b71eca3e9
32,MCP000032,306,486,6,2,Unity MaintenanceConditionPoint 32,MCP000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,182a448993d355c3a7e94071fa2cc8d2182a448993d355c3a7e94071fa2cc8d2
33,MCP000033,367,157,3,3,Riverton MaintenanceConditionPoint 33,MCP000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,919fe2c207185ac9b7311f02511ccbd1919fe2c207185ac9b7311f02511ccbd1
34,MCP000034,274,489,4,3,Granite MaintenanceConditionPoint 34,MCP000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b1e573068eaf54cb8af93825dd17e083b1e573068eaf54cb8af93825dd17e083
35,MCP000035,324,388,9,6,Evergreen MaintenanceConditionPoint 35,MCP000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,883bab7a545a5e1e81a0f3babcc22721883bab7a545a5e1e81a0f3babcc22721
36,MCP000036,472,285,11,6,Keystone MaintenanceConditionPoint 36,MCP000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e25eb464c9f9509a822fe073a1dc593fe25eb464c9f9509a822fe073a1dc593f
37,MCP000037,336,134,8,5,Meridian MaintenanceConditionPoint 37,MCP000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e303590a7475121a5e71973d2a5191c8e303590a7475121a5e71973d2a5191c
38,MCP000038,116,357,1,5,Titan MaintenanceConditionPoint 38,MCP000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5dd47e301df53a6a1ebf11431dc2006e5dd47e301df53a6a1ebf11431dc2006
39,MCP000039,80,427,3,1,Northstar MaintenanceConditionPoint 39,MCP000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a44877f3fba5f00a34475405573d7ba2a44877f3fba5f00a34475405573d7ba
40,MCP000040,10,213,5,3,Pioneer MaintenanceConditionPoint 40,MCP000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,021f3cb2b46959d9b75d7590c5663667021f3cb2b46959d9b75d7590c5663667
41,MCP000041,417,497,6,7,Delta MaintenanceConditionPoint 41,MCP000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22aae3a57427588da2e713a1f2051e0422aae3a57427588da2e713a1f2051e04
42,MCP000042,24,399,9,5,Meridian MaintenanceConditionPoint 42,MCP000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5dba1b38b3175de4a7117cc17ea126665dba1b38b3175de4a7117cc17ea12666
43,MCP000043,114,153,2,6,Orion MaintenanceConditionPoint 43,MCP000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4538da3cef705022b341d1a17455b09d4538da3cef705022b341d1a17455b09d
44,MCP000044,312,239,12,4,Delta MaintenanceConditionPoint 44,MCP000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,789d3e6fe8bf5eafb4269327c06d3e97789d3e6fe8bf5eafb4269327c06d3e97
45,MCP000045,419,71,12,3,Junction MaintenanceConditionPoint 45,MCP000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5920798e551555fb7cb16ace2936cead5920798e551555fb7cb16ace2936cea
46,MCP000046,88,81,2,7,Liberty MaintenanceConditionPoint 46,MCP000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f28326b0d38f5a6881888257bc590985f28326b0d38f5a6881888257bc590985
47,MCP000047,313,426,3,2,Northstar MaintenanceConditionPoint 47,MCP000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b20a7f7a3eb1598f8a07f53329427d5eb20a7f7a3eb1598f8a07f53329427d5e
48,MCP000048,91,344,1,7,Cedar MaintenanceConditionPoint 48,MCP000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7be98ff6d45f5ddd8a33bcb29b2e1c907be98ff6d45f5ddd8a33bcb29b2e1c90
49,MCP000049,14,380,2,6,Keystone MaintenanceConditionPoint 49,MCP000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0bd9031ce74524ca3e08cb4f8026739b0bd9031ce74524ca3e08cb4f8026739
50,MCP000050,447,198,5,5,Summit MaintenanceConditionPoint 50,MCP000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59dedff81c4a50d3950bd723bac0909459dedff81c4a50d3950bd723bac09094
51,MCP000051,406,446,12,4,Cedar MaintenanceConditionPoint 51,MCP000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c95db9684b6e5375b448fb58c6b8a820c95db9684b6e5375b448fb58c6b8a820
52,MCP000052,77,237,1,6,Junction MaintenanceConditionPoint 52,MCP000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6872c1b036785304af60a7d5eaf1f1c76872c1b036785304af60a7d5eaf1f1c7
53,MCP000053,1,262,7,3,Keystone MaintenanceConditionPoint 53,MCP000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ee6c0f5bea85a1c84bf18f5873c149d8ee6c0f5bea85a1c84bf18f5873c149d
54,MCP000054,207,400,10,2,Harbor MaintenanceConditionPoint 54,MCP000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d79ee18d4ae55c61b28dfbdd36a02ee6d79ee18d4ae55c61b28dfbdd36a02ee6
55,MCP000055,272,473,9,7,Delta MaintenanceConditionPoint 55,MCP000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9e4dd06e6b656318f3205a24e2a3b25e9e4dd06e6b656318f3205a24e2a3b25
56,MCP000056,364,409,3,6,Junction MaintenanceConditionPoint 56,MCP000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,954e6f31f88d5c879b7ed0eaf3f90cce954e6f31f88d5c879b7ed0eaf3f90cce
57,MCP000057,156,17,3,3,Harbor MaintenanceConditionPoint 57,MCP000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdbf15a66e8054cb87b10bc8bad4b741fdbf15a66e8054cb87b10bc8bad4b741
58,MCP000058,140,336,2,1,Northstar MaintenanceConditionPoint 58,MCP000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee7e1e2b4e4d50bcbbbc066e9da740baee7e1e2b4e4d50bcbbbc066e9da740ba
59,MCP000059,313,138,2,4,Vertex MaintenanceConditionPoint 59,MCP000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2943a704dc5c5a7fade598fdc78d222e2943a704dc5c5a7fade598fdc78d222e
60,MCP000060,381,10,7,4,Forge MaintenanceConditionPoint 60,MCP000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,909d972462045a75acb4e1fe8e9b041b909d972462045a75acb4e1fe8e9b041b
61,MCP000061,301,353,12,3,Unity MaintenanceConditionPoint 61,MCP000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4de0dc236445567b2710daba92a2aeba4de0dc236445567b2710daba92a2aeb
62,MCP000062,213,290,6,7,Vertex MaintenanceConditionPoint 62,MCP000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e53578ccb43a5e0a89fc28f5f9520361e53578ccb43a5e0a89fc28f5f9520361
63,MCP000063,155,101,8,6,Forge MaintenanceConditionPoint 63,MCP000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d67b7593f2158758c62f0ca0cdf54399d67b7593f2158758c62f0ca0cdf5439
64,MCP000064,457,214,11,7,Summit MaintenanceConditionPoint 64,MCP000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c9545d5732c5c7292e8a60d017e219d0c9545d5732c5c7292e8a60d017e219d
65,MCP000065,256,305,8,7,Riverton MaintenanceConditionPoint 65,MCP000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,562688bf88f65fc9bec7d41be0615894562688bf88f65fc9bec7d41be0615894
66,MCP000066,34,17,12,5,Ion MaintenanceConditionPoint 66,MCP000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9baa9e9fc0975e38804105a094500deb9baa9e9fc0975e38804105a094500deb
67,MCP000067,92,334,4,3,Riverton MaintenanceConditionPoint 67,MCP000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6fc9b23f2d35d3ea03635819e143945c6fc9b23f2d35d3ea03635819e143945
68,MCP000068,225,33,6,2,Cedar MaintenanceConditionPoint 68,MCP000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06f245dd6d765632a5fdf6f021c8ae6f06f245dd6d765632a5fdf6f021c8ae6f
69,MCP000069,19,311,4,3,Liberty MaintenanceConditionPoint 69,MCP000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,45f6496dbcf55631a4e6be2d762e695c45f6496dbcf55631a4e6be2d762e695c
70,MCP000070,66,283,7,5,Delta MaintenanceConditionPoint 70,MCP000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,595a70be378a5e869cedbe96b3cf3899595a70be378a5e869cedbe96b3cf3899
71,MCP000071,314,227,11,5,Ion MaintenanceConditionPoint 71,MCP000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76525b5f1b485b13a021500f202d061176525b5f1b485b13a021500f202d0611
72,MCP000072,319,115,6,2,Evergreen MaintenanceConditionPoint 72,MCP000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ddb117204ca5225bba38ae8c6c31fee1ddb117204ca5225bba38ae8c6c31fee
73,MCP000073,194,463,5,1,Willow MaintenanceConditionPoint 73,MCP000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,073b732284f456748275582a70228732073b732284f456748275582a70228732
74,MCP000074,359,387,6,3,Riverton MaintenanceConditionPoint 74,MCP000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,380a93590f0c590f87bfe0e21d68b707380a93590f0c590f87bfe0e21d68b707
75,MCP000075,8,403,10,1,Meridian MaintenanceConditionPoint 75,MCP000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a48c93f3af0a570c80fd0e553663645ea48c93f3af0a570c80fd0e553663645e
76,MCP000076,347,478,8,4,Orion MaintenanceConditionPoint 76,MCP000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8df1eb06e16455e68b0e9ba6ddb039538df1eb06e16455e68b0e9ba6ddb03953
77,MCP000077,366,489,6,1,Summit MaintenanceConditionPoint 77,MCP000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2342c3c9ffc550fa9bf068a043da00a52342c3c9ffc550fa9bf068a043da00a5
78,MCP000078,297,45,10,5,Summit MaintenanceConditionPoint 78,MCP000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56108469a350594089df87ecb621bf0b56108469a350594089df87ecb621bf0b
79,MCP000079,453,60,5,5,Cedar MaintenanceConditionPoint 79,MCP000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78461ce427015ae881710b722de0371478461ce427015ae881710b722de03714
80,MCP000080,208,1,4,5,Pioneer MaintenanceConditionPoint 80,MCP000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7af8c0266db2599496184ca22512b0b57af8c0266db2599496184ca22512b0b5
81,MCP000081,164,406,9,2,Delta MaintenanceConditionPoint 81,MCP000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95c60ed0a51b56589ae9728114a84b1395c60ed0a51b56589ae9728114a84b13
82,MCP000082,29,300,3,6,Riverton MaintenanceConditionPoint 82,MCP000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c085995027559fba16dbce6931753459c085995027559fba16dbce693175345
83,MCP000083,83,47,7,6,Delta MaintenanceConditionPoint 83,MCP000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fafc7ee71c1b5d5aa38008ef9e9d018efafc7ee71c1b5d5aa38008ef9e9d018e
84,MCP000084,445,302,12,2,Junction MaintenanceConditionPoint 84,MCP000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b7dc6707778530cbd8d9509625010235b7dc6707778530cbd8d950962501023
85,MCP000085,284,128,9,1,Titan MaintenanceConditionPoint 85,MCP000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c32e5c6ead9544eb179e9a2a5f764b58c32e5c6ead9544eb179e9a2a5f764b5
86,MCP000086,435,478,6,6,Ion MaintenanceConditionPoint 86,MCP000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2545a98fd08e57b2a74484d8e3e1636d2545a98fd08e57b2a74484d8e3e1636d
87,MCP000087,392,100,11,4,Junction MaintenanceConditionPoint 87,MCP000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9debb22ba015d9989e97c104755c370e9debb22ba015d9989e97c104755c370
88,MCP000088,27,466,9,4,Riverton MaintenanceConditionPoint 88,MCP000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d86850984b85e24ab919a44efae746c6d86850984b85e24ab919a44efae746c
89,MCP000089,253,295,9,7,Zenith MaintenanceConditionPoint 89,MCP000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92fb9338efbe55588b80324bff67352992fb9338efbe55588b80324bff673529
90,MCP000090,288,288,4,3,Evergreen MaintenanceConditionPoint 90,MCP000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6fb2a78bc34b5389b8e8a39965624e7f6fb2a78bc34b5389b8e8a39965624e7f
91,MCP000091,111,386,7,7,Evergreen MaintenanceConditionPoint 91,MCP000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,359ad67b7f7950e0b6f0475fcd2d42a0359ad67b7f7950e0b6f0475fcd2d42a0
92,MCP000092,102,32,5,5,Willow MaintenanceConditionPoint 92,MCP000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2970207b2ec451ceab98729c86249dcf2970207b2ec451ceab98729c86249dcf
93,MCP000093,207,366,6,4,Willow MaintenanceConditionPoint 93,MCP000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e6316e0ad87a56448438638076b95993e6316e0ad87a56448438638076b95993
94,MCP000094,187,87,6,6,Ion MaintenanceConditionPoint 94,MCP000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,515f93d480cf5c2486610f2054ab3c0f515f93d480cf5c2486610f2054ab3c0f
95,MCP000095,175,189,11,2,Summit MaintenanceConditionPoint 95,MCP000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9495aa7c3b965872aebd9f5c2074caaf9495aa7c3b965872aebd9f5c2074caaf
96,MCP000096,76,355,11,2,Harbor MaintenanceConditionPoint 96,MCP000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0e54f1ccd401594b9b633be55043dc020e54f1ccd401594b9b633be55043dc02
