SalesPromotionProgramKey,SalesPromotionProgramCode,SalesPromotionProgramName,SourceSystemKey,BatchId,LoadedAtUtc
39,SPP000039,Evergreen SalesPromotionProgram 39,1,1,2026-08-24T00:00:00.000
40,SPP000040,Riverton SalesPromotionProgram 40,1,1,2026-08-24T00:00:00.000
41,SPP000041,Zenith SalesPromotionProgram 41,1,1,2026-08-24T00:00:00.000
42,SPP000042,Atlas SalesPromotionProgram 42,1,1,2026-08-24T00:00:00.000
43,SPP000043,Ion SalesPromotionProgram 43,1,1,2026-08-24T00:00:00.000
44,SPP000044,Willow SalesPromotionProgram 44,1,1,2026-08-24T00:00:00.000
45,SPP000045,Granite SalesPromotionProgram 45,1,1,2026-08-24T00:00:00.000
46,SPP000046,Cedar SalesPromotionProgram 46,1,1,2026-08-24T00:00:00.000
47,SPP000047,Riverton SalesPromotionProgram 47,1,1,2026-08-24T00:00:00.000
48,SPP000048,Zenith SalesPromotionProgram 48,1,1,2026-08-24T00:00:00.000
49,SPP000049,Delta SalesPromotionProgram 49,1,1,2026-08-24T00:00:00.000
50,SPP000050,Riverton SalesPromotionProgram 50,1,1,2026-08-24T00:00:00.000
51,SPP000051,Quartz SalesPromotionProgram 51,1,1,2026-08-24T00:00:00.000
52,SPP000052,Atlas SalesPromotionProgram 52,1,1,2026-08-24T00:00:00.000
53,SPP000053,Keystone SalesPromotionProgram 53,1,1,2026-08-24T00:00:00.000
54,SPP000054,Liberty SalesPromotionProgram 54,1,1,2026-08-24T00:00:00.000
55,SPP000055,Meridian SalesPromotionProgram 55,1,1,2026-08-24T00:00:00.000
56,SPP000056,Northstar SalesPromotionProgram 56,1,1,2026-08-24T00:00:00.000
57,SPP000057,Titan SalesPromotionProgram 57,1,1,2026-08-24T00:00:00.000
58,SPP000058,Granite SalesPromotionProgram 58,1,1,2026-08-24T00:00:00.000
59,SPP000059,Keystone SalesPromotionProgram 59,1,1,2026-08-24T00:00:00.000
60,SPP000060,Atlas SalesPromotionProgram 60,1,1,2026-08-24T00:00:00.000
61,SPP000061,Meridian SalesPromotionProgram 61,1,1,2026-08-24T00:00:00.000
62,SPP000062,Forge SalesPromotionProgram 62,1,1,2026-08-24T00:00:00.000
63,SPP000063,Forge SalesPromotionProgram 63,1,1,2026-08-24T00:00:00.000
64,SPP000064,Junction SalesPromotionProgram 64,1,1,2026-08-24T00:00:00.000
65,SPP000065,Cedar SalesPromotionProgram 65,1,1,2026-08-24T00:00:00.000
66,SPP000066,Vertex SalesPromotionProgram 66,1,1,2026-08-24T00:00:00.000
67,SPP000067,Vertex SalesPromotionProgram 67,1,1,2026-08-24T00:00:00.000
68,SPP000068,Titan SalesPromotionProgram 68,1,1,2026-08-24T00:00:00.000
69,SPP000069,Willow SalesPromotionProgram 69,1,1,2026-08-24T00:00:00.000
70,SPP000070,Unity SalesPromotionProgram 70,1,1,2026-08-24T00:00:00.000
71,SPP000071,Ion SalesPromotionProgram 71,1,1,2026-08-24T00:00:00.000
72,SPP000072,Cedar SalesPromotionProgram 72,1,1,2026-08-24T00:00:00.000
73,SPP000073,Willow SalesPromotionProgram 73,1,1,2026-08-24T00:00:00.000
74,SPP000074,Junction SalesPromotionProgram 74,1,1,2026-08-24T00:00:00.000
75,SPP000075,Delta SalesPromotionProgram 75,1,1,2026-08-24T00:00:00.000
76,SPP000076,Meridian SalesPromotionProgram 76,1,1,2026-08-24T00:00:00.000
77,SPP000077,Forge SalesPromotionProgram 77,1,1,2026-08-24T00:00:00.000
78,SPP000078,Evergreen SalesPromotionProgram 78,1,1,2026-08-24T00:00:00.000
79,SPP000079,Beacon SalesPromotionProgram 79,1,1,2026-08-24T00:00:00.000
80,SPP000080,Unity SalesPromotionProgram 80,1,1,2026-08-24T00:00:00.000
