FinanceCurrencyRateSetKey,CurrencyRateSetCode,FromCurrencyKey,ToCurrencyKey,SourceSystemRefKey,RateSetName,RatePurposeCode,EffectiveDate,SourceSystemKey,BatchId,LoadedAtUtc
25,FCRS000025,4,2,2,Meridian FinanceCurrencyRateSet 25,FCRS000025,2020-01-26,1,1,2026-08-24T00:00:00.000
26,FCRS000026,2,3,1,Meridian FinanceCurrencyRateSet 26,FCRS000026,2020-01-27,1,1,2026-08-24T00:00:00.000
27,FCRS000027,4,5,3,Liberty FinanceCurrencyRateSet 27,FCRS000027,2020-01-28,1,1,2026-08-24T00:00:00.000
28,FCRS000028,3,3,2,Forge FinanceCurrencyRateSet 28,FCRS000028,2020-01-29,1,1,2026-08-24T00:00:00.000
29,FCRS000029,1,3,1,Pioneer FinanceCurrencyRateSet 29,FCRS000029,2020-01-30,1,1,2026-08-24T00:00:00.000
30,FCRS000030,5,4,5,Titan FinanceCurrencyRateSet 30,FCRS000030,2020-01-31,1,1,2026-08-24T00:00:00.000
31,FCRS000031,4,5,5,Northstar FinanceCurrencyRateSet 31,FCRS000031,2020-02-01,1,1,2026-08-24T00:00:00.000
32,FCRS000032,1,5,4,Pioneer FinanceCurrencyRateSet 32,FCRS000032,2020-02-02,1,1,2026-08-24T00:00:00.000
33,FCRS000033,3,1,2,Unity FinanceCurrencyRateSet 33,FCRS000033,2020-02-03,1,1,2026-08-24T00:00:00.000
34,FCRS000034,4,5,2,Vertex FinanceCurrencyRateSet 34,FCRS000034,2020-02-04,1,1,2026-08-24T00:00:00.000
35,FCRS000035,3,5,1,Keystone FinanceCurrencyRateSet 35,FCRS000035,2020-02-05,1,1,2026-08-24T00:00:00.000
36,FCRS000036,4,2,5,Liberty FinanceCurrencyRateSet 36,FCRS000036,2020-02-06,1,1,2026-08-24T00:00:00.000
37,FCRS000037,2,1,1,Delta FinanceCurrencyRateSet 37,FCRS000037,2020-02-07,1,1,2026-08-24T00:00:00.000
38,FCRS000038,5,2,4,Evergreen FinanceCurrencyRateSet 38,FCRS000038,2020-02-08,1,1,2026-08-24T00:00:00.000
39,FCRS000039,2,4,5,Pioneer FinanceCurrencyRateSet 39,FCRS000039,2020-02-09,1,1,2026-08-24T00:00:00.000
40,FCRS000040,5,2,4,Evergreen FinanceCurrencyRateSet 40,FCRS000040,2020-02-10,1,1,2026-08-24T00:00:00.000
41,FCRS000041,2,3,3,Harbor FinanceCurrencyRateSet 41,FCRS000041,2020-02-11,1,1,2026-08-24T00:00:00.000
42,FCRS000042,1,4,1,Riverton FinanceCurrencyRateSet 42,FCRS000042,2020-02-12,1,1,2026-08-24T00:00:00.000
43,FCRS000043,1,3,5,Orion FinanceCurrencyRateSet 43,FCRS000043,2020-02-13,1,1,2026-08-24T00:00:00.000
44,FCRS000044,3,4,2,Atlas FinanceCurrencyRateSet 44,FCRS000044,2020-02-14,1,1,2026-08-24T00:00:00.000
45,FCRS000045,4,5,1,Forge FinanceCurrencyRateSet 45,FCRS000045,2020-02-15,1,1,2026-08-24T00:00:00.000
46,FCRS000046,2,1,3,Ion FinanceCurrencyRateSet 46,FCRS000046,2020-02-16,1,1,2026-08-24T00:00:00.000
47,FCRS000047,4,3,3,Beacon FinanceCurrencyRateSet 47,FCRS000047,2020-02-17,1,1,2026-08-24T00:00:00.000
48,FCRS000048,1,4,1,Junction FinanceCurrencyRateSet 48,FCRS000048,2020-02-18,1,1,2026-08-24T00:00:00.000
49,FCRS000049,3,5,2,Orion FinanceCurrencyRateSet 49,FCRS000049,2020-02-19,1,1,2026-08-24T00:00:00.000
50,FCRS000050,2,5,5,Cedar FinanceCurrencyRateSet 50,FCRS000050,2020-02-20,1,1,2026-08-24T00:00:00.000
51,FCRS000051,1,1,4,Zenith FinanceCurrencyRateSet 51,FCRS000051,2020-02-21,1,1,2026-08-24T00:00:00.000
52,FCRS000052,4,1,5,Beacon FinanceCurrencyRateSet 52,FCRS000052,2020-02-22,1,1,2026-08-24T00:00:00.000
53,FCRS000053,2,5,1,Keystone FinanceCurrencyRateSet 53,FCRS000053,2020-02-23,1,1,2026-08-24T00:00:00.000
54,FCRS000054,4,1,5,Granite FinanceCurrencyRateSet 54,FCRS000054,2020-02-24,1,1,2026-08-24T00:00:00.000
55,FCRS000055,3,2,3,Cedar FinanceCurrencyRateSet 55,FCRS000055,2020-02-25,1,1,2026-08-24T00:00:00.000
56,FCRS000056,1,5,3,Ion FinanceCurrencyRateSet 56,FCRS000056,2020-02-26,1,1,2026-08-24T00:00:00.000
57,FCRS000057,2,2,4,Pioneer FinanceCurrencyRateSet 57,FCRS000057,2020-02-27,1,1,2026-08-24T00:00:00.000
58,FCRS000058,3,4,1,Keystone FinanceCurrencyRateSet 58,FCRS000058,2020-02-28,1,1,2026-08-24T00:00:00.000
59,FCRS000059,5,2,5,Titan FinanceCurrencyRateSet 59,FCRS000059,2020-02-29,1,1,2026-08-24T00:00:00.000
60,FCRS000060,5,3,3,Liberty FinanceCurrencyRateSet 60,FCRS000060,2020-03-01,1,1,2026-08-24T00:00:00.000
61,FCRS000061,2,3,3,Northstar FinanceCurrencyRateSet 61,FCRS000061,2020-03-02,1,1,2026-08-24T00:00:00.000
62,FCRS000062,2,5,5,Orion FinanceCurrencyRateSet 62,FCRS000062,2020-03-03,1,1,2026-08-24T00:00:00.000
63,FCRS000063,5,3,2,Northstar FinanceCurrencyRateSet 63,FCRS000063,2020-03-04,1,1,2026-08-24T00:00:00.000
64,FCRS000064,4,3,2,Meridian FinanceCurrencyRateSet 64,FCRS000064,2020-03-05,1,1,2026-08-24T00:00:00.000
65,FCRS000065,3,1,3,Pioneer FinanceCurrencyRateSet 65,FCRS000065,2020-03-06,1,1,2026-08-24T00:00:00.000
66,FCRS000066,5,2,2,Forge FinanceCurrencyRateSet 66,FCRS000066,2020-03-07,1,1,2026-08-24T00:00:00.000
67,FCRS000067,4,4,4,Willow FinanceCurrencyRateSet 67,FCRS000067,2020-03-08,1,1,2026-08-24T00:00:00.000
68,FCRS000068,5,1,4,Forge FinanceCurrencyRateSet 68,FCRS000068,2020-03-09,1,1,2026-08-24T00:00:00.000
69,FCRS000069,4,1,5,Cedar FinanceCurrencyRateSet 69,FCRS000069,2020-03-10,1,1,2026-08-24T00:00:00.000
70,FCRS000070,2,4,5,Beacon FinanceCurrencyRateSet 70,FCRS000070,2020-03-11,1,1,2026-08-24T00:00:00.000
71,FCRS000071,4,3,3,Junction FinanceCurrencyRateSet 71,FCRS000071,2020-03-12,1,1,2026-08-24T00:00:00.000
72,FCRS000072,3,3,5,Junction FinanceCurrencyRateSet 72,FCRS000072,2020-03-13,1,1,2026-08-24T00:00:00.000
73,FCRS000073,5,2,2,Pioneer FinanceCurrencyRateSet 73,FCRS000073,2020-03-14,1,1,2026-08-24T00:00:00.000
74,FCRS000074,3,4,1,Titan FinanceCurrencyRateSet 74,FCRS000074,2020-03-15,1,1,2026-08-24T00:00:00.000
75,FCRS000075,2,2,5,Orion FinanceCurrencyRateSet 75,FCRS000075,2020-03-16,1,1,2026-08-24T00:00:00.000
76,FCRS000076,5,4,1,Harbor FinanceCurrencyRateSet 76,FCRS000076,2020-03-17,1,1,2026-08-24T00:00:00.000
77,FCRS000077,1,5,4,Meridian FinanceCurrencyRateSet 77,FCRS000077,2020-03-18,1,1,2026-08-24T00:00:00.000
78,FCRS000078,3,2,5,Ion FinanceCurrencyRateSet 78,FCRS000078,2020-03-19,1,1,2026-08-24T00:00:00.000
79,FCRS000079,3,5,5,Ion FinanceCurrencyRateSet 79,FCRS000079,2020-03-20,1,1,2026-08-24T00:00:00.000
80,FCRS000080,4,4,1,Vertex FinanceCurrencyRateSet 80,FCRS000080,2020-03-21,1,1,2026-08-24T00:00:00.000
81,FCRS000081,5,3,3,Junction FinanceCurrencyRateSet 81,FCRS000081,2020-03-22,1,1,2026-08-24T00:00:00.000
82,FCRS000082,5,5,4,Harbor FinanceCurrencyRateSet 82,FCRS000082,2020-03-23,1,1,2026-08-24T00:00:00.000
83,FCRS000083,1,3,4,Ion FinanceCurrencyRateSet 83,FCRS000083,2020-03-24,1,1,2026-08-24T00:00:00.000
84,FCRS000084,2,3,5,Meridian FinanceCurrencyRateSet 84,FCRS000084,2020-03-25,1,1,2026-08-24T00:00:00.000
85,FCRS000085,5,2,4,Atlas FinanceCurrencyRateSet 85,FCRS000085,2020-03-26,1,1,2026-08-24T00:00:00.000
86,FCRS000086,1,2,1,Zenith FinanceCurrencyRateSet 86,FCRS000086,2020-03-27,1,1,2026-08-24T00:00:00.000
87,FCRS000087,5,1,3,Pioneer FinanceCurrencyRateSet 87,FCRS000087,2020-03-28,1,1,2026-08-24T00:00:00.000
88,FCRS000088,1,2,2,Ion FinanceCurrencyRateSet 88,FCRS000088,2020-03-29,1,1,2026-08-24T00:00:00.000
89,FCRS000089,1,3,4,Vertex FinanceCurrencyRateSet 89,FCRS000089,2020-03-30,1,1,2026-08-24T00:00:00.000
90,FCRS000090,1,2,2,Unity FinanceCurrencyRateSet 90,FCRS000090,2020-03-31,1,1,2026-08-24T00:00:00.000
91,FCRS000091,2,2,5,Northstar FinanceCurrencyRateSet 91,FCRS000091,2020-04-01,1,1,2026-08-24T00:00:00.000
92,FCRS000092,2,4,5,Forge FinanceCurrencyRateSet 92,FCRS000092,2020-04-02,1,1,2026-08-24T00:00:00.000
93,FCRS000093,4,5,1,Northstar FinanceCurrencyRateSet 93,FCRS000093,2020-04-03,1,1,2026-08-24T00:00:00.000
94,FCRS000094,1,1,4,Delta FinanceCurrencyRateSet 94,FCRS000094,2020-04-04,1,1,2026-08-24T00:00:00.000
95,FCRS000095,1,3,1,Vertex FinanceCurrencyRateSet 95,FCRS000095,2020-04-05,1,1,2026-08-24T00:00:00.000
96,FCRS000096,5,2,4,Vertex FinanceCurrencyRateSet 96,FCRS000096,2020-04-06,1,1,2026-08-24T00:00:00.000
97,FCRS000097,5,1,3,Titan FinanceCurrencyRateSet 97,FCRS000097,2020-04-07,1,1,2026-08-24T00:00:00.000
98,FCRS000098,5,2,3,Summit FinanceCurrencyRateSet 98,FCRS000098,2020-04-08,1,1,2026-08-24T00:00:00.000
99,FCRS000099,2,3,5,Liberty FinanceCurrencyRateSet 99,FCRS000099,2020-04-09,1,1,2026-08-24T00:00:00.000
100,FCRS000100,4,3,4,Meridian FinanceCurrencyRateSet 100,FCRS000100,2020-04-10,1,1,2026-08-24T00:00:00.000
101,FCRS000101,4,3,4,Keystone FinanceCurrencyRateSet 101,FCRS000101,2020-04-11,1,1,2026-08-24T00:00:00.000
102,FCRS000102,2,1,5,Zenith FinanceCurrencyRateSet 102,FCRS000102,2020-04-12,1,1,2026-08-24T00:00:00.000
103,FCRS000103,5,2,2,Quartz FinanceCurrencyRateSet 103,FCRS000103,2020-04-13,1,1,2026-08-24T00:00:00.000
104,FCRS000104,3,2,5,Pioneer FinanceCurrencyRateSet 104,FCRS000104,2020-04-14,1,1,2026-08-24T00:00:00.000
105,FCRS000105,3,5,4,Zenith FinanceCurrencyRateSet 105,FCRS000105,2020-04-15,1,1,2026-08-24T00:00:00.000
106,FCRS000106,2,2,4,Atlas FinanceCurrencyRateSet 106,FCRS000106,2020-04-16,1,1,2026-08-24T00:00:00.000
107,FCRS000107,5,5,4,Meridian FinanceCurrencyRateSet 107,FCRS000107,2020-04-17,1,1,2026-08-24T00:00:00.000
108,FCRS000108,4,3,3,Pioneer FinanceCurrencyRateSet 108,FCRS000108,2020-04-18,1,1,2026-08-24T00:00:00.000
109,FCRS000109,1,2,3,Northstar FinanceCurrencyRateSet 109,FCRS000109,2020-04-19,1,1,2026-08-24T00:00:00.000
110,FCRS000110,5,5,3,Keystone FinanceCurrencyRateSet 110,FCRS000110,2020-04-20,1,1,2026-08-24T00:00:00.000
111,FCRS000111,1,2,4,Summit FinanceCurrencyRateSet 111,FCRS000111,2020-04-21,1,1,2026-08-24T00:00:00.000
112,FCRS000112,3,2,2,Unity FinanceCurrencyRateSet 112,FCRS000112,2020-04-22,1,1,2026-08-24T00:00:00.000
113,FCRS000113,5,4,4,Granite FinanceCurrencyRateSet 113,FCRS000113,2020-04-23,1,1,2026-08-24T00:00:00.000
114,FCRS000114,3,3,2,Willow FinanceCurrencyRateSet 114,FCRS000114,2020-04-24,1,1,2026-08-24T00:00:00.000
115,FCRS000115,2,3,3,Willow FinanceCurrencyRateSet 115,FCRS000115,2020-04-25,1,1,2026-08-24T00:00:00.000
116,FCRS000116,3,5,3,Orion FinanceCurrencyRateSet 116,FCRS000116,2020-04-26,1,1,2026-08-24T00:00:00.000
117,FCRS000117,5,5,2,Evergreen FinanceCurrencyRateSet 117,FCRS000117,2020-04-27,1,1,2026-08-24T00:00:00.000
118,FCRS000118,2,2,1,Cedar FinanceCurrencyRateSet 118,FCRS000118,2020-04-28,1,1,2026-08-24T00:00:00.000
119,FCRS000119,4,3,3,Zenith FinanceCurrencyRateSet 119,FCRS000119,2020-04-29,1,1,2026-08-24T00:00:00.000
120,FCRS000120,2,3,3,Summit FinanceCurrencyRateSet 120,FCRS000120,2020-04-30,1,1,2026-08-24T00:00:00.000
121,FCRS000121,2,5,5,Atlas FinanceCurrencyRateSet 121,FCRS000121,2020-05-01,1,1,2026-08-24T00:00:00.000
122,FCRS000122,2,1,2,Atlas FinanceCurrencyRateSet 122,FCRS000122,2020-05-02,1,1,2026-08-24T00:00:00.000
123,FCRS000123,3,5,5,Beacon FinanceCurrencyRateSet 123,FCRS000123,2020-05-03,1,1,2026-08-24T00:00:00.000
124,FCRS000124,3,5,2,Northstar FinanceCurrencyRateSet 124,FCRS000124,2020-05-04,1,1,2026-08-24T00:00:00.000
125,FCRS000125,5,2,5,Northstar FinanceCurrencyRateSet 125,FCRS000125,2020-05-05,1,1,2026-08-24T00:00:00.000
126,FCRS000126,4,3,1,Cedar FinanceCurrencyRateSet 126,FCRS000126,2020-05-06,1,1,2026-08-24T00:00:00.000
127,FCRS000127,5,2,3,Riverton FinanceCurrencyRateSet 127,FCRS000127,2020-05-07,1,1,2026-08-24T00:00:00.000
128,FCRS000128,2,1,1,Delta FinanceCurrencyRateSet 128,FCRS000128,2020-05-08,1,1,2026-08-24T00:00:00.000
129,FCRS000129,2,5,1,Summit FinanceCurrencyRateSet 129,FCRS000129,2020-05-09,1,1,2026-08-24T00:00:00.000
130,FCRS000130,3,5,2,Ion FinanceCurrencyRateSet 130,FCRS000130,2020-05-10,1,1,2026-08-24T00:00:00.000
131,FCRS000131,5,2,2,Beacon FinanceCurrencyRateSet 131,FCRS000131,2020-05-11,1,1,2026-08-24T00:00:00.000
132,FCRS000132,4,5,4,Ion FinanceCurrencyRateSet 132,FCRS000132,2020-05-12,1,1,2026-08-24T00:00:00.000
133,FCRS000133,4,5,1,Beacon FinanceCurrencyRateSet 133,FCRS000133,2020-05-13,1,1,2026-08-24T00:00:00.000
134,FCRS000134,4,1,1,Northstar FinanceCurrencyRateSet 134,FCRS000134,2020-05-14,1,1,2026-08-24T00:00:00.000
135,FCRS000135,1,1,2,Evergreen FinanceCurrencyRateSet 135,FCRS000135,2020-05-15,1,1,2026-08-24T00:00:00.000
136,FCRS000136,1,5,1,Meridian FinanceCurrencyRateSet 136,FCRS000136,2020-05-16,1,1,2026-08-24T00:00:00.000
137,FCRS000137,3,2,3,Delta FinanceCurrencyRateSet 137,FCRS000137,2020-05-17,1,1,2026-08-24T00:00:00.000
138,FCRS000138,5,2,4,Beacon FinanceCurrencyRateSet 138,FCRS000138,2020-05-18,1,1,2026-08-24T00:00:00.000
139,FCRS000139,4,5,4,Atlas FinanceCurrencyRateSet 139,FCRS000139,2020-05-19,1,1,2026-08-24T00:00:00.000
140,FCRS000140,4,2,4,Riverton FinanceCurrencyRateSet 140,FCRS000140,2020-05-20,1,1,2026-08-24T00:00:00.000
141,FCRS000141,1,1,1,Liberty FinanceCurrencyRateSet 141,FCRS000141,2020-05-21,1,1,2026-08-24T00:00:00.000
142,FCRS000142,2,5,3,Orion FinanceCurrencyRateSet 142,FCRS000142,2020-05-22,1,1,2026-08-24T00:00:00.000
143,FCRS000143,5,1,2,Evergreen FinanceCurrencyRateSet 143,FCRS000143,2020-05-23,1,1,2026-08-24T00:00:00.000
144,FCRS000144,3,5,5,Northstar FinanceCurrencyRateSet 144,FCRS000144,2020-05-24,1,1,2026-08-24T00:00:00.000
145,FCRS000145,2,4,2,Titan FinanceCurrencyRateSet 145,FCRS000145,2020-05-25,1,1,2026-08-24T00:00:00.000
146,FCRS000146,1,2,1,Ion FinanceCurrencyRateSet 146,FCRS000146,2020-05-26,1,1,2026-08-24T00:00:00.000
147,FCRS000147,4,4,1,Summit FinanceCurrencyRateSet 147,FCRS000147,2020-05-27,1,1,2026-08-24T00:00:00.000
148,FCRS000148,5,3,4,Quartz FinanceCurrencyRateSet 148,FCRS000148,2020-05-28,1,1,2026-08-24T00:00:00.000
149,FCRS000149,5,4,5,Meridian FinanceCurrencyRateSet 149,FCRS000149,2020-05-29,1,1,2026-08-24T00:00:00.000
150,FCRS000150,4,3,2,Willow FinanceCurrencyRateSet 150,FCRS000150,2020-05-30,1,1,2026-08-24T00:00:00.000
151,FCRS000151,3,3,3,Unity FinanceCurrencyRateSet 151,FCRS000151,2020-05-31,1,1,2026-08-24T00:00:00.000
152,FCRS000152,4,3,2,Granite FinanceCurrencyRateSet 152,FCRS000152,2020-06-01,1,1,2026-08-24T00:00:00.000
153,FCRS000153,4,3,2,Liberty FinanceCurrencyRateSet 153,FCRS000153,2020-06-02,1,1,2026-08-24T00:00:00.000
154,FCRS000154,2,4,3,Cedar FinanceCurrencyRateSet 154,FCRS000154,2020-06-03,1,1,2026-08-24T00:00:00.000
155,FCRS000155,5,4,1,Cedar FinanceCurrencyRateSet 155,FCRS000155,2020-06-04,1,1,2026-08-24T00:00:00.000
156,FCRS000156,3,3,5,Keystone FinanceCurrencyRateSet 156,FCRS000156,2020-06-05,1,1,2026-08-24T00:00:00.000
157,FCRS000157,3,5,1,Orion FinanceCurrencyRateSet 157,FCRS000157,2020-06-06,1,1,2026-08-24T00:00:00.000
158,FCRS000158,5,4,1,Unity FinanceCurrencyRateSet 158,FCRS000158,2020-06-07,1,1,2026-08-24T00:00:00.000
159,FCRS000159,4,3,4,Quartz FinanceCurrencyRateSet 159,FCRS000159,2020-06-08,1,1,2026-08-24T00:00:00.000
160,FCRS000160,2,1,5,Delta FinanceCurrencyRateSet 160,FCRS000160,2020-06-09,1,1,2026-08-24T00:00:00.000
161,FCRS000161,5,2,1,Harbor FinanceCurrencyRateSet 161,FCRS000161,2020-06-10,1,1,2026-08-24T00:00:00.000
162,FCRS000162,5,3,1,Vertex FinanceCurrencyRateSet 162,FCRS000162,2020-06-11,1,1,2026-08-24T00:00:00.000
163,FCRS000163,3,1,2,Meridian FinanceCurrencyRateSet 163,FCRS000163,2020-06-12,1,1,2026-08-24T00:00:00.000
164,FCRS000164,4,4,4,Titan FinanceCurrencyRateSet 164,FCRS000164,2020-06-13,1,1,2026-08-24T00:00:00.000
165,FCRS000165,1,1,1,Quartz FinanceCurrencyRateSet 165,FCRS000165,2020-06-14,1,1,2026-08-24T00:00:00.000
166,FCRS000166,2,4,3,Summit FinanceCurrencyRateSet 166,FCRS000166,2020-06-15,1,1,2026-08-24T00:00:00.000
167,FCRS000167,2,3,3,Beacon FinanceCurrencyRateSet 167,FCRS000167,2020-06-16,1,1,2026-08-24T00:00:00.000
168,FCRS000168,4,3,2,Vertex FinanceCurrencyRateSet 168,FCRS000168,2020-06-17,1,1,2026-08-24T00:00:00.000
169,FCRS000169,2,4,3,Granite FinanceCurrencyRateSet 169,FCRS000169,2020-06-18,1,1,2026-08-24T00:00:00.000
170,FCRS000170,3,5,5,Quartz FinanceCurrencyRateSet 170,FCRS000170,2020-06-19,1,1,2026-08-24T00:00:00.000
171,FCRS000171,4,4,5,Forge FinanceCurrencyRateSet 171,FCRS000171,2020-06-20,1,1,2026-08-24T00:00:00.000
172,FCRS000172,1,5,5,Willow FinanceCurrencyRateSet 172,FCRS000172,2020-06-21,1,1,2026-08-24T00:00:00.000
173,FCRS000173,5,3,1,Forge FinanceCurrencyRateSet 173,FCRS000173,2020-06-22,1,1,2026-08-24T00:00:00.000
174,FCRS000174,5,3,2,Harbor FinanceCurrencyRateSet 174,FCRS000174,2020-06-23,1,1,2026-08-24T00:00:00.000
175,FCRS000175,2,5,2,Summit FinanceCurrencyRateSet 175,FCRS000175,2020-06-24,1,1,2026-08-24T00:00:00.000
176,FCRS000176,1,3,1,Forge FinanceCurrencyRateSet 176,FCRS000176,2020-06-25,1,1,2026-08-24T00:00:00.000
177,FCRS000177,4,5,5,Quartz FinanceCurrencyRateSet 177,FCRS000177,2020-06-26,1,1,2026-08-24T00:00:00.000
178,FCRS000178,4,1,5,Atlas FinanceCurrencyRateSet 178,FCRS000178,2020-06-27,1,1,2026-08-24T00:00:00.000
179,FCRS000179,4,4,1,Zenith FinanceCurrencyRateSet 179,FCRS000179,2020-06-28,1,1,2026-08-24T00:00:00.000
180,FCRS000180,2,4,1,Vertex FinanceCurrencyRateSet 180,FCRS000180,2020-06-29,1,1,2026-08-24T00:00:00.000
181,FCRS000181,2,4,4,Meridian FinanceCurrencyRateSet 181,FCRS000181,2020-06-30,1,1,2026-08-24T00:00:00.000
182,FCRS000182,5,5,1,Titan FinanceCurrencyRateSet 182,FCRS000182,2020-07-01,1,1,2026-08-24T00:00:00.000
183,FCRS000183,1,5,3,Riverton FinanceCurrencyRateSet 183,FCRS000183,2020-07-02,1,1,2026-08-24T00:00:00.000
184,FCRS000184,2,4,4,Northstar FinanceCurrencyRateSet 184,FCRS000184,2020-07-03,1,1,2026-08-24T00:00:00.000
185,FCRS000185,3,1,4,Beacon FinanceCurrencyRateSet 185,FCRS000185,2020-07-04,1,1,2026-08-24T00:00:00.000
186,FCRS000186,4,1,5,Pioneer FinanceCurrencyRateSet 186,FCRS000186,2020-07-05,1,1,2026-08-24T00:00:00.000
187,FCRS000187,3,5,2,Pioneer FinanceCurrencyRateSet 187,FCRS000187,2020-07-06,1,1,2026-08-24T00:00:00.000
188,FCRS000188,3,3,4,Evergreen FinanceCurrencyRateSet 188,FCRS000188,2020-07-07,1,1,2026-08-24T00:00:00.000
189,FCRS000189,2,1,4,Riverton FinanceCurrencyRateSet 189,FCRS000189,2020-07-08,1,1,2026-08-24T00:00:00.000
190,FCRS000190,5,1,3,Cedar FinanceCurrencyRateSet 190,FCRS000190,2020-07-09,1,1,2026-08-24T00:00:00.000
191,FCRS000191,1,2,4,Cedar FinanceCurrencyRateSet 191,FCRS000191,2020-07-10,1,1,2026-08-24T00:00:00.000
192,FCRS000192,5,4,4,Willow FinanceCurrencyRateSet 192,FCRS000192,2020-07-11,1,1,2026-08-24T00:00:00.000
193,FCRS000193,5,1,2,Junction FinanceCurrencyRateSet 193,FCRS000193,2020-07-12,1,1,2026-08-24T00:00:00.000
194,FCRS000194,3,1,1,Beacon FinanceCurrencyRateSet 194,FCRS000194,2020-07-13,1,1,2026-08-24T00:00:00.000
195,FCRS000195,1,5,5,Keystone FinanceCurrencyRateSet 195,FCRS000195,2020-07-14,1,1,2026-08-24T00:00:00.000
196,FCRS000196,2,1,4,Quartz FinanceCurrencyRateSet 196,FCRS000196,2020-07-15,1,1,2026-08-24T00:00:00.000
197,FCRS000197,4,1,3,Meridian FinanceCurrencyRateSet 197,FCRS000197,2020-07-16,1,1,2026-08-24T00:00:00.000
198,FCRS000198,1,5,2,Forge FinanceCurrencyRateSet 198,FCRS000198,2020-07-17,1,1,2026-08-24T00:00:00.000
199,FCRS000199,2,3,3,Pioneer FinanceCurrencyRateSet 199,FCRS000199,2020-07-18,1,1,2026-08-24T00:00:00.000
200,FCRS000200,5,2,3,Liberty FinanceCurrencyRateSet 200,FCRS000200,2020-07-19,1,1,2026-08-24T00:00:00.000
201,FCRS000201,3,3,2,Zenith FinanceCurrencyRateSet 201,FCRS000201,2020-07-20,1,1,2026-08-24T00:00:00.000
202,FCRS000202,1,5,3,Ion FinanceCurrencyRateSet 202,FCRS000202,2020-07-21,1,1,2026-08-24T00:00:00.000
