PurchaseOrderHeaderKey,PurchaseOrderNumber,SupplierKey,PlantKey,BuyerEmployeeKey,PurchaseBuyerAssignmentKey,PurchaseOrderLifecycleStatusKey,PurchasePaymentTermKey,CurrencyKey,PurchaseOrderName,BuyerReference,IncotermsCode,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
17,POH000017,28,253,-1,327,5,27,3,Keystone PurchaseOrderHeader 17,PurchaseOrderHeader-BuyerReference-17,POH000017,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef467e68bf6d5054b03a8dccae416287ef467e68bf6d5054b03a8dccae416287
18,POH000018,17,128,22,169,8,13,3,Harbor PurchaseOrderHeader 18,PurchaseOrderHeader-BuyerReference-18,POH000018,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5dcd425b6b8d5299b1fe3f290bb5cb3c5dcd425b6b8d5299b1fe3f290bb5cb3c
19,POH000019,367,93,456,347,4,28,3,Northstar PurchaseOrderHeader 19,PurchaseOrderHeader-BuyerReference-19,POH000019,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c40314b51b255e86bbce844250436f45c40314b51b255e86bbce844250436f45
20,POH000020,320,18,277,156,6,10,1,Ion PurchaseOrderHeader 20,PurchaseOrderHeader-BuyerReference-20,POH000020,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7c9e685988a5c78a172ad86a7643f66c7c9e685988a5c78a172ad86a7643f66
21,POH000021,493,32,439,211,5,40,5,Delta PurchaseOrderHeader 21,PurchaseOrderHeader-BuyerReference-21,POH000021,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ad87b4eeea1591095beabdea0f3795c7ad87b4eeea1591095beabdea0f3795c
22,POH000022,473,82,484,316,8,12,3,Evergreen PurchaseOrderHeader 22,PurchaseOrderHeader-BuyerReference-22,POH000022,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c7a5646f6555042b492d043938b30a32c7a5646f6555042b492d043938b30a3
23,POH000023,382,120,366,199,10,38,1,Orion PurchaseOrderHeader 23,PurchaseOrderHeader-BuyerReference-23,POH000023,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd4e3f1688e759389002cebd8361adcacd4e3f1688e759389002cebd8361adca
24,POH000024,489,269,191,369,5,15,3,Keystone PurchaseOrderHeader 24,PurchaseOrderHeader-BuyerReference-24,POH000024,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3edca67dd43554adb606df7b4845cfc63edca67dd43554adb606df7b4845cfc6
25,POH000025,135,128,63,296,12,28,1,Quartz PurchaseOrderHeader 25,PurchaseOrderHeader-BuyerReference-25,POH000025,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,34de2888605b579a8a8e45775f3a7e1f34de2888605b579a8a8e45775f3a7e1f
26,POH000026,9,222,212,293,4,37,2,Cedar PurchaseOrderHeader 26,PurchaseOrderHeader-BuyerReference-26,POH000026,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7325bd93f404588aae10324661617e0e7325bd93f404588aae10324661617e0e
27,POH000027,11,196,38,325,2,15,5,Quartz PurchaseOrderHeader 27,PurchaseOrderHeader-BuyerReference-27,POH000027,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f69004261ce7598bb6bce9128480f804f69004261ce7598bb6bce9128480f804
28,POH000028,331,342,428,303,12,23,2,Harbor PurchaseOrderHeader 28,PurchaseOrderHeader-BuyerReference-28,POH000028,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a56cd41d1dfe57c0807e8891eadc2e56a56cd41d1dfe57c0807e8891eadc2e56
29,POH000029,164,350,56,313,3,4,4,Summit PurchaseOrderHeader 29,PurchaseOrderHeader-BuyerReference-29,POH000029,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8135e5d340755f5bd8b10d78dee198af8135e5d340755f5bd8b10d78dee198a
30,POH000030,469,63,144,375,7,20,4,Beacon PurchaseOrderHeader 30,PurchaseOrderHeader-BuyerReference-30,POH000030,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9fabbbc265235792b75979e671b4051e9fabbbc265235792b75979e671b4051e
31,POH000031,337,248,412,382,7,25,1,Keystone PurchaseOrderHeader 31,PurchaseOrderHeader-BuyerReference-31,POH000031,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0bd728946f345fefb85847bf8bbccac00bd728946f345fefb85847bf8bbccac0
32,POH000032,44,188,308,224,2,14,2,Beacon PurchaseOrderHeader 32,PurchaseOrderHeader-BuyerReference-32,POH000032,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c4fb23117075a70b56f7316faab37f36c4fb23117075a70b56f7316faab37f3
33,POH000033,335,81,387,160,1,37,5,Meridian PurchaseOrderHeader 33,PurchaseOrderHeader-BuyerReference-33,POH000033,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a6fa2f6528d524083cd3c9c54b7be0e3a6fa2f6528d524083cd3c9c54b7be0e
34,POH000034,184,206,-1,373,2,4,3,Meridian PurchaseOrderHeader 34,PurchaseOrderHeader-BuyerReference-34,POH000034,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,596b1294b69d56ac96b6bebdb39bba23596b1294b69d56ac96b6bebdb39bba23
35,POH000035,491,330,83,410,8,15,4,Junction PurchaseOrderHeader 35,PurchaseOrderHeader-BuyerReference-35,POH000035,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9952870230ef52a488ebb63bd05982f29952870230ef52a488ebb63bd05982f2
36,POH000036,25,118,332,107,6,4,5,Summit PurchaseOrderHeader 36,PurchaseOrderHeader-BuyerReference-36,POH000036,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa53b0942d6756b08e19243d86f3df2dfa53b0942d6756b08e19243d86f3df2d
37,POH000037,242,112,493,170,4,1,4,Cedar PurchaseOrderHeader 37,PurchaseOrderHeader-BuyerReference-37,POH000037,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da8abcc29c45510b98df117856b90dedda8abcc29c45510b98df117856b90ded
38,POH000038,456,313,116,260,4,8,2,Zenith PurchaseOrderHeader 38,PurchaseOrderHeader-BuyerReference-38,POH000038,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc6ac59b3650592c9100b7ccbf24e1dafc6ac59b3650592c9100b7ccbf24e1da
39,POH000039,286,8,275,92,4,33,3,Zenith PurchaseOrderHeader 39,PurchaseOrderHeader-BuyerReference-39,POH000039,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e3af01b010755e5a3097f9dc71f31645e3af01b010755e5a3097f9dc71f3164
40,POH000040,53,281,430,3,3,27,3,Titan PurchaseOrderHeader 40,PurchaseOrderHeader-BuyerReference-40,POH000040,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0436dc5ccbc057abbfb91e6483f0a3010436dc5ccbc057abbfb91e6483f0a301
41,POH000041,473,278,113,196,7,40,5,Zenith PurchaseOrderHeader 41,PurchaseOrderHeader-BuyerReference-41,POH000041,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f1b3a057ce157c6b7c17b8c814fa1ab5f1b3a057ce157c6b7c17b8c814fa1ab
42,POH000042,1,346,178,212,12,20,3,Summit PurchaseOrderHeader 42,PurchaseOrderHeader-BuyerReference-42,POH000042,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a9d7a7e59395016b5ffc9b2f7539c945a9d7a7e59395016b5ffc9b2f7539c94
43,POH000043,191,270,201,343,3,14,1,Unity PurchaseOrderHeader 43,PurchaseOrderHeader-BuyerReference-43,POH000043,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ab5407d7a22352cf8382e907564ada65ab5407d7a22352cf8382e907564ada65
44,POH000044,132,231,213,261,8,35,3,Liberty PurchaseOrderHeader 44,PurchaseOrderHeader-BuyerReference-44,POH000044,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa4e2a3a8c1258c5a70b8018984d22fcfa4e2a3a8c1258c5a70b8018984d22fc
45,POH000045,171,301,86,456,9,9,1,Riverton PurchaseOrderHeader 45,PurchaseOrderHeader-BuyerReference-45,POH000045,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfe965a570b85c288d71dea824398a3fcfe965a570b85c288d71dea824398a3f
46,POH000046,410,7,400,161,8,17,3,Forge PurchaseOrderHeader 46,PurchaseOrderHeader-BuyerReference-46,POH000046,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20c8fa11eadf579a9e7ba328034fa01d20c8fa11eadf579a9e7ba328034fa01d
47,POH000047,123,347,19,153,2,22,5,Keystone PurchaseOrderHeader 47,PurchaseOrderHeader-BuyerReference-47,POH000047,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6383c9fcbb04584abd5f34785d5898d36383c9fcbb04584abd5f34785d5898d3
48,POH000048,252,304,485,158,3,30,3,Harbor PurchaseOrderHeader 48,PurchaseOrderHeader-BuyerReference-48,POH000048,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d62e7e5c4b5b557f9ce7f40b9d210e0ad62e7e5c4b5b557f9ce7f40b9d210e0a
49,POH000049,256,268,45,171,11,33,2,Cedar PurchaseOrderHeader 49,PurchaseOrderHeader-BuyerReference-49,POH000049,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fcb689cac13b51ddbe9a3df6c6fdaee1fcb689cac13b51ddbe9a3df6c6fdaee1
50,POH000050,255,9,147,115,4,36,1,Atlas PurchaseOrderHeader 50,PurchaseOrderHeader-BuyerReference-50,POH000050,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85c2f65a4a7353c9bd07fcf4bc36ba4085c2f65a4a7353c9bd07fcf4bc36ba40
51,POH000051,155,116,-1,316,4,18,3,Harbor PurchaseOrderHeader 51,PurchaseOrderHeader-BuyerReference-51,POH000051,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b6c277084bb5aa1a2bb11cde4e863fd6b6c277084bb5aa1a2bb11cde4e863fd
52,POH000052,134,71,330,75,5,7,4,Pioneer PurchaseOrderHeader 52,PurchaseOrderHeader-BuyerReference-52,POH000052,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfd906a8c6375edca25395163ad483a3bfd906a8c6375edca25395163ad483a3
53,POH000053,403,9,149,32,5,30,3,Delta PurchaseOrderHeader 53,PurchaseOrderHeader-BuyerReference-53,POH000053,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d7120309e86d5e50afd9c1e6b993446fd7120309e86d5e50afd9c1e6b993446f
54,POH000054,481,9,386,78,6,22,2,Cedar PurchaseOrderHeader 54,PurchaseOrderHeader-BuyerReference-54,POH000054,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93ac0b72c9fa5852bc046fe0c9faefce93ac0b72c9fa5852bc046fe0c9faefce
55,POH000055,345,252,388,117,6,30,5,Titan PurchaseOrderHeader 55,PurchaseOrderHeader-BuyerReference-55,POH000055,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd1b5a16f7d6529ca965da31edc7d668dd1b5a16f7d6529ca965da31edc7d668
56,POH000056,373,68,146,138,12,19,2,Northstar PurchaseOrderHeader 56,PurchaseOrderHeader-BuyerReference-56,POH000056,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07157b95fd6258398942203b19e3f26907157b95fd6258398942203b19e3f269
57,POH000057,19,41,226,326,1,12,1,Pioneer PurchaseOrderHeader 57,PurchaseOrderHeader-BuyerReference-57,POH000057,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3677a499d08957d39fc08e3fb028bedc3677a499d08957d39fc08e3fb028bedc
58,POH000058,439,252,29,145,8,29,3,Northstar PurchaseOrderHeader 58,PurchaseOrderHeader-BuyerReference-58,POH000058,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27b4143f81e85816a88cf2199abcfd9727b4143f81e85816a88cf2199abcfd97
59,POH000059,477,228,359,293,9,5,2,Forge PurchaseOrderHeader 59,PurchaseOrderHeader-BuyerReference-59,POH000059,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,00b211166abf5660864ea47a05e4772800b211166abf5660864ea47a05e47728
60,POH000060,428,350,366,88,12,33,1,Vertex PurchaseOrderHeader 60,PurchaseOrderHeader-BuyerReference-60,POH000060,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d23231e10575707968882692ddaf8644d23231e10575707968882692ddaf864
61,POH000061,53,230,471,461,2,20,3,Keystone PurchaseOrderHeader 61,PurchaseOrderHeader-BuyerReference-61,POH000061,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4507ab287a5355f8b033b321f6dc79504507ab287a5355f8b033b321f6dc7950
62,POH000062,272,227,494,80,12,37,3,Summit PurchaseOrderHeader 62,PurchaseOrderHeader-BuyerReference-62,POH000062,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9912330166b55986a4fa43c467e760649912330166b55986a4fa43c467e76064
63,POH000063,389,150,264,471,11,8,3,Unity PurchaseOrderHeader 63,PurchaseOrderHeader-BuyerReference-63,POH000063,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52c0a277a62a57dd8da18dc11ee7b5b352c0a277a62a57dd8da18dc11ee7b5b3
64,POH000064,387,204,159,86,7,36,2,Delta PurchaseOrderHeader 64,PurchaseOrderHeader-BuyerReference-64,POH000064,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88046eaf228e5f169f019725cd1273da88046eaf228e5f169f019725cd1273da
65,POH000065,394,185,397,115,6,36,2,Liberty PurchaseOrderHeader 65,PurchaseOrderHeader-BuyerReference-65,POH000065,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1157005b4ac254c19362e17fbfc2187c1157005b4ac254c19362e17fbfc2187c
66,POH000066,354,11,472,211,12,7,2,Quartz PurchaseOrderHeader 66,PurchaseOrderHeader-BuyerReference-66,POH000066,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a5147373ae85812a5791e919d1e1a537a5147373ae85812a5791e919d1e1a53
67,POH000067,436,14,394,134,9,12,4,Vertex PurchaseOrderHeader 67,PurchaseOrderHeader-BuyerReference-67,POH000067,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce05fb25cdf651b7ad4cee749cbb7b71ce05fb25cdf651b7ad4cee749cbb7b71
68,POH000068,285,303,-1,204,9,18,4,Northstar PurchaseOrderHeader 68,PurchaseOrderHeader-BuyerReference-68,POH000068,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5844f20bf905506e908cb92f3c07ed7b5844f20bf905506e908cb92f3c07ed7b
69,POH000069,144,319,105,470,4,19,2,Cedar PurchaseOrderHeader 69,PurchaseOrderHeader-BuyerReference-69,POH000069,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf2aa3f38a175d02bd0957253320b304cf2aa3f38a175d02bd0957253320b304
70,POH000070,62,340,499,139,12,18,4,Pioneer PurchaseOrderHeader 70,PurchaseOrderHeader-BuyerReference-70,POH000070,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1520527c7c4752ab8a2f3987cb1c28671520527c7c4752ab8a2f3987cb1c2867
71,POH000071,428,195,494,228,7,19,1,Junction PurchaseOrderHeader 71,PurchaseOrderHeader-BuyerReference-71,POH000071,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fbebc979192053379627950208fe6e6dfbebc979192053379627950208fe6e6d
72,POH000072,131,52,246,448,6,15,5,Junction PurchaseOrderHeader 72,PurchaseOrderHeader-BuyerReference-72,POH000072,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e31db0564a05468a485b47420bd3e748e31db0564a05468a485b47420bd3e74
73,POH000073,9,347,466,98,3,29,4,Granite PurchaseOrderHeader 73,PurchaseOrderHeader-BuyerReference-73,POH000073,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c475f18d5b4251b798ee7000f49cb8acc475f18d5b4251b798ee7000f49cb8ac
74,POH000074,85,245,347,486,8,27,4,Zenith PurchaseOrderHeader 74,PurchaseOrderHeader-BuyerReference-74,POH000074,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c79bc8585d865aa795128d39b7a8a3dfc79bc8585d865aa795128d39b7a8a3df
75,POH000075,15,230,359,76,6,28,2,Delta PurchaseOrderHeader 75,PurchaseOrderHeader-BuyerReference-75,POH000075,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ab1bee845ca5c0490de2506a36723a65ab1bee845ca5c0490de2506a36723a6
76,POH000076,108,350,279,93,10,18,3,Keystone PurchaseOrderHeader 76,PurchaseOrderHeader-BuyerReference-76,POH000076,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d742b19ad21d5315aaff24709c843defd742b19ad21d5315aaff24709c843def
77,POH000077,147,213,34,336,9,25,3,Liberty PurchaseOrderHeader 77,PurchaseOrderHeader-BuyerReference-77,POH000077,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bec5450aaf8b579881b8b3e93b7f36f9bec5450aaf8b579881b8b3e93b7f36f9
78,POH000078,453,186,385,347,10,9,5,Junction PurchaseOrderHeader 78,PurchaseOrderHeader-BuyerReference-78,POH000078,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0bacbb8a0525c9aa671b3b8b3c0400ad0bacbb8a0525c9aa671b3b8b3c0400a
79,POH000079,150,1,350,11,10,40,1,Liberty PurchaseOrderHeader 79,PurchaseOrderHeader-BuyerReference-79,POH000079,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4742cb7e78715267bad572ca3c2b966b4742cb7e78715267bad572ca3c2b966b
80,POH000080,33,187,136,69,6,1,4,Atlas PurchaseOrderHeader 80,PurchaseOrderHeader-BuyerReference-80,POH000080,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da688f9eb001529eac60471bf25c4452da688f9eb001529eac60471bf25c4452
81,POH000081,321,136,333,13,2,24,3,Summit PurchaseOrderHeader 81,PurchaseOrderHeader-BuyerReference-81,POH000081,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cbab61b4aba45982948dbda24f024ab1cbab61b4aba45982948dbda24f024ab1
82,POH000082,288,211,324,391,8,6,3,Unity PurchaseOrderHeader 82,PurchaseOrderHeader-BuyerReference-82,POH000082,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb25f51a30e05c31815bea2d27a12e6dcb25f51a30e05c31815bea2d27a12e6d
83,POH000083,22,281,137,325,10,21,4,Zenith PurchaseOrderHeader 83,PurchaseOrderHeader-BuyerReference-83,POH000083,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac17ed457d0d5fd6b142b6b9ae5bcd04ac17ed457d0d5fd6b142b6b9ae5bcd04
84,POH000084,211,341,226,322,11,27,3,Keystone PurchaseOrderHeader 84,PurchaseOrderHeader-BuyerReference-84,POH000084,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77bf715f57155417a199f82e8352c62977bf715f57155417a199f82e8352c629
85,POH000085,45,189,-1,183,10,23,5,Keystone PurchaseOrderHeader 85,PurchaseOrderHeader-BuyerReference-85,POH000085,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dac8322994e1587da8d9a70f4bb1f31cdac8322994e1587da8d9a70f4bb1f31c
