MaintenanceCrewKey,MaintenanceCrewCode,MaintenanceCrewRoleKey,CostCenterKey,MaintenanceCrewName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
17,MC000017,254,419,Willow MaintenanceCrew 17,MC000017,1,33.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8508a4cf442155e9b791473e86001d088508a4cf442155e9b791473e86001d08
18,MC000018,240,357,Orion MaintenanceCrew 18,MC000018,1,34.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6ac95935e0256d3a1c6de9842ecbe2bc6ac95935e0256d3a1c6de9842ecbe2b
19,MC000019,275,493,Forge MaintenanceCrew 19,MC000019,1,36.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,003d0d01a5cc5b21adac4f4fa0b890e8003d0d01a5cc5b21adac4f4fa0b890e8
20,MC000020,483,325,Evergreen MaintenanceCrew 20,MC000020,0,37.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c8902abcbe35fc685b9e68450f13a235c8902abcbe35fc685b9e68450f13a23
21,MC000021,136,319,Vertex MaintenanceCrew 21,MC000021,1,38.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eeac2319d09d569593e4c2a4f2168481eeac2319d09d569593e4c2a4f2168481
22,MC000022,249,370,Zenith MaintenanceCrew 22,MC000022,1,40.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,58f0b6d94a9551d58b69195e115fff9758f0b6d94a9551d58b69195e115fff97
23,MC000023,348,25,Vertex MaintenanceCrew 23,MC000023,1,41.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cb08c9136dc5f518a90c52f37b4f44a4cb08c9136dc5f518a90c52f37b4f44a
24,MC000024,366,158,Harbor MaintenanceCrew 24,MC000024,1,42.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,784ab805f9705266a4815e0ab7377ef8784ab805f9705266a4815e0ab7377ef8
25,MC000025,122,239,Meridian MaintenanceCrew 25,MC000025,0,44.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2796c7735ff05731bc63edb75be3c23f2796c7735ff05731bc63edb75be3c23f
26,MC000026,57,259,Atlas MaintenanceCrew 26,MC000026,1,45.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40f20ecdeb9a5b31a8c81539c9bf81d640f20ecdeb9a5b31a8c81539c9bf81d6
27,MC000027,144,437,Willow MaintenanceCrew 27,MC000027,1,46.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,710dd928d3335846b45c50f0e32d399e710dd928d3335846b45c50f0e32d399e
28,MC000028,34,472,Titan MaintenanceCrew 28,MC000028,1,48.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,73d9dfab7ae550f298921bad4e22b46f73d9dfab7ae550f298921bad4e22b46f
29,MC000029,496,159,Quartz MaintenanceCrew 29,MC000029,1,49.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,67ed52d25f1b53478bbaef79a344bd1b67ed52d25f1b53478bbaef79a344bd1b
30,MC000030,194,498,Keystone MaintenanceCrew 30,MC000030,0,51.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,418308e779e3506f945586490308983d418308e779e3506f945586490308983d
31,MC000031,161,90,Willow MaintenanceCrew 31,MC000031,1,52.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e5eb7cc6bffe5bbca3a63b439a09fff4e5eb7cc6bffe5bbca3a63b439a09fff4
32,MC000032,380,496,Vertex MaintenanceCrew 32,MC000032,1,53.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d256a87cecd5543081e05852d517a0aed256a87cecd5543081e05852d517a0ae
33,MC000033,451,450,Delta MaintenanceCrew 33,MC000033,1,55.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80bb7aebbf04513585813ef40cac733780bb7aebbf04513585813ef40cac7337
34,MC000034,121,487,Willow MaintenanceCrew 34,MC000034,1,56.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,19863366acc45625adfce76512909e4d19863366acc45625adfce76512909e4d
35,MC000035,438,475,Unity MaintenanceCrew 35,MC000035,0,57.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b3285e6077a5f429ec4ef97fa19d1e98b3285e6077a5f429ec4ef97fa19d1e9
36,MC000036,203,212,Zenith MaintenanceCrew 36,MC000036,1,59.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb4ef0c252c75332a94fb613461fd7d0bb4ef0c252c75332a94fb613461fd7d0
37,MC000037,23,156,Willow MaintenanceCrew 37,MC000037,1,60.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4c0ea761ec554ac9c03eede453348cac4c0ea761ec554ac9c03eede453348ca
38,MC000038,164,391,Harbor MaintenanceCrew 38,MC000038,1,62.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ef51f9551325a618c27855d987b57c17ef51f9551325a618c27855d987b57c1
39,MC000039,216,456,Forge MaintenanceCrew 39,MC000039,1,63.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a7d481034c05404b63cc2963804d0ae8a7d481034c05404b63cc2963804d0ae
40,MC000040,148,305,Pioneer MaintenanceCrew 40,MC000040,0,64.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbe8121cd57256579abd544bcd9c0447dbe8121cd57256579abd544bcd9c0447
41,MC000041,115,46,Quartz MaintenanceCrew 41,MC000041,1,66.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f81e8c5423fa56a2a968297f6080bf59f81e8c5423fa56a2a968297f6080bf59
42,MC000042,57,482,Vertex MaintenanceCrew 42,MC000042,1,67.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,765603c97fdc55c286304e513a8ba481765603c97fdc55c286304e513a8ba481
43,MC000043,25,111,Summit MaintenanceCrew 43,MC000043,1,68.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7e9ae7a12abd5b56bbc28f7aa0fd0f467e9ae7a12abd5b56bbc28f7aa0fd0f46
44,MC000044,235,425,Quartz MaintenanceCrew 44,MC000044,1,70.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd1727d4d8bc5fe6a45bc812151c8f88fd1727d4d8bc5fe6a45bc812151c8f88
45,MC000045,246,492,Ion MaintenanceCrew 45,MC000045,0,71.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c623a6c4ea85b7a8d74d78e29a896a84c623a6c4ea85b7a8d74d78e29a896a8
46,MC000046,415,159,Forge MaintenanceCrew 46,MC000046,1,73.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fd7390ce2985fbf9a55a4f2c8e0a5528fd7390ce2985fbf9a55a4f2c8e0a552
47,MC000047,444,480,Summit MaintenanceCrew 47,MC000047,1,74.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69668491a3885622a73334e73cbe14d969668491a3885622a73334e73cbe14d9
48,MC000048,305,305,Meridian MaintenanceCrew 48,MC000048,1,75.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e352bd32092573b87160a6c0dd229c34e352bd32092573b87160a6c0dd229c3
49,MC000049,297,104,Willow MaintenanceCrew 49,MC000049,1,77.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,02fe19d6f6355357a81ef1266e30454102fe19d6f6355357a81ef1266e304541
50,MC000050,81,301,Atlas MaintenanceCrew 50,MC000050,0,78.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5368dcdc336e5f39bc0aeda156362da35368dcdc336e5f39bc0aeda156362da3
51,MC000051,140,251,Harbor MaintenanceCrew 51,MC000051,1,79.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a007b10bdc451a392d784e64003cac87a007b10bdc451a392d784e64003cac8
52,MC000052,154,131,Willow MaintenanceCrew 52,MC000052,1,81.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c60a3445816d555c9e0e0631cfb300f0c60a3445816d555c9e0e0631cfb300f0
53,MC000053,346,86,Junction MaintenanceCrew 53,MC000053,1,82.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95aa5a4a528d5d299a5e932823d1122c95aa5a4a528d5d299a5e932823d1122c
54,MC000054,305,238,Delta MaintenanceCrew 54,MC000054,1,83.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,068fe17828815335984260715e7f17d6068fe17828815335984260715e7f17d6
55,MC000055,105,497,Northstar MaintenanceCrew 55,MC000055,0,85.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc34c230c03c52498aa2e42ab3c9d1abfc34c230c03c52498aa2e42ab3c9d1ab
56,MC000056,117,450,Summit MaintenanceCrew 56,MC000056,1,86.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2435ab1a33c45b51809cead9025628332435ab1a33c45b51809cead902562833
57,MC000057,225,395,Granite MaintenanceCrew 57,MC000057,1,88.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09d316f9b54a5387932f5aca99cdbf7c09d316f9b54a5387932f5aca99cdbf7c
58,MC000058,145,392,Beacon MaintenanceCrew 58,MC000058,1,89.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e981cfd10585203bdd81af301d63d812e981cfd10585203bdd81af301d63d81
59,MC000059,191,93,Northstar MaintenanceCrew 59,MC000059,1,90.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f33fb9f0e92658199735afde2b236599f33fb9f0e92658199735afde2b236599
60,MC000060,105,479,Riverton MaintenanceCrew 60,MC000060,0,92.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,47c7a38e71535c499184ee7346435b0547c7a38e71535c499184ee7346435b05
61,MC000061,112,434,Atlas MaintenanceCrew 61,MC000061,1,93.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7f88608dcd795405b0c8847d174358197f88608dcd795405b0c8847d17435819
62,MC000062,214,46,Keystone MaintenanceCrew 62,MC000062,1,94.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4168590987725399a5decea973c99e744168590987725399a5decea973c99e74
63,MC000063,439,3,Zenith MaintenanceCrew 63,MC000063,1,96.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d9a3fb64f43b5e85889f8b1ef055688ed9a3fb64f43b5e85889f8b1ef055688e
64,MC000064,138,149,Vertex MaintenanceCrew 64,MC000064,1,97.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d64d06bfc06c5130b091b684ab38b854d64d06bfc06c5130b091b684ab38b854
65,MC000065,469,278,Pioneer MaintenanceCrew 65,MC000065,0,99.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86cc74eb887f55419a48e376d811521386cc74eb887f55419a48e376d8115213
66,MC000066,33,315,Cedar MaintenanceCrew 66,MC000066,1,100.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85b0065e59e0525da95245295e3ba39f85b0065e59e0525da95245295e3ba39f
67,MC000067,390,125,Vertex MaintenanceCrew 67,MC000067,1,101.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,17f171ac8b265c3fadb496555fb19ce817f171ac8b265c3fadb496555fb19ce8
68,MC000068,73,285,Titan MaintenanceCrew 68,MC000068,1,103.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a01728f8e6c576384da8006667c56f76a01728f8e6c576384da8006667c56f7
69,MC000069,132,474,Cedar MaintenanceCrew 69,MC000069,1,104.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2eb465892a495b7ea2549f99ee279b3b2eb465892a495b7ea2549f99ee279b3b
70,MC000070,188,40,Meridian MaintenanceCrew 70,MC000070,0,105.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c7ef5a016107538ebe5c683a6bbd96dfc7ef5a016107538ebe5c683a6bbd96df
71,MC000071,388,489,Harbor MaintenanceCrew 71,MC000071,1,107.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c95e21ffc5a57ad9ebaf491100e2f0f0c95e21ffc5a57ad9ebaf491100e2f0f
72,MC000072,266,19,Orion MaintenanceCrew 72,MC000072,1,108.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b7612a8c0175638bd4b7c4994bd46fc1b7612a8c0175638bd4b7c4994bd46fc
73,MC000073,23,213,Ion MaintenanceCrew 73,MC000073,1,110.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ceb32a3febfa5be296f919d4dcea4422ceb32a3febfa5be296f919d4dcea4422
74,MC000074,267,278,Ion MaintenanceCrew 74,MC000074,1,111.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e0f2bf7dce757879aaed247b52435891e0f2bf7dce757879aaed247b5243589
75,MC000075,254,120,Willow MaintenanceCrew 75,MC000075,0,112.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d20ed0db78915e6b8ba216257e8b4877d20ed0db78915e6b8ba216257e8b4877
76,MC000076,497,479,Northstar MaintenanceCrew 76,MC000076,1,114.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2d6c47f490e5b7e851e58e171d345a2f2d6c47f490e5b7e851e58e171d345a2
77,MC000077,276,246,Cedar MaintenanceCrew 77,MC000077,1,115.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56d584c6604155678dd4b1e05137feb756d584c6604155678dd4b1e05137feb7
78,MC000078,211,93,Evergreen MaintenanceCrew 78,MC000078,1,116.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,513ce46436c15d1a96559951f1e9e8d3513ce46436c15d1a96559951f1e9e8d3
79,MC000079,244,163,Junction MaintenanceCrew 79,MC000079,1,118.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1d5dd3066e4515bac0abe7e94d3ec78f1d5dd3066e4515bac0abe7e94d3ec78
80,MC000080,398,397,Liberty MaintenanceCrew 80,MC000080,0,119.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c88444f2bbf50848211c4ea42ba886c0c88444f2bbf50848211c4ea42ba886c
81,MC000081,357,223,Keystone MaintenanceCrew 81,MC000081,1,120.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d564b8e026b254abaea1de8db3b510e2d564b8e026b254abaea1de8db3b510e2
82,MC000082,358,304,Vertex MaintenanceCrew 82,MC000082,1,122.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f94cd93056815c0fbb01040b3bfbba78f94cd93056815c0fbb01040b3bfbba78
83,MC000083,367,298,Harbor MaintenanceCrew 83,MC000083,1,123.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b7289ca97f8d53f69e9cccfd56a8c8a9b7289ca97f8d53f69e9cccfd56a8c8a9
84,MC000084,493,319,Liberty MaintenanceCrew 84,MC000084,1,125.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,839fd9f893175f8d8cc31f1ab9cf90d5839fd9f893175f8d8cc31f1ab9cf90d5
85,MC000085,336,462,Ion MaintenanceCrew 85,MC000085,0,126.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,964ac9625fa75832a9d72098463af989964ac9625fa75832a9d72098463af989
86,MC000086,282,472,Vertex MaintenanceCrew 86,MC000086,1,127.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f54b5a723dea5fa6aeace06f039fff64f54b5a723dea5fa6aeace06f039fff64
87,MC000087,106,219,Granite MaintenanceCrew 87,MC000087,1,129.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15bc26d07d4054a48862930f4d54672715bc26d07d4054a48862930f4d546727
88,MC000088,153,226,Northstar MaintenanceCrew 88,MC000088,1,130.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a7614d7e2c85c0d890dc3ac9433673b1a7614d7e2c85c0d890dc3ac9433673b
89,MC000089,56,320,Granite MaintenanceCrew 89,MC000089,1,131.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25d289beb7ae57f488454f0fde75253925d289beb7ae57f488454f0fde752539
90,MC000090,318,194,Liberty MaintenanceCrew 90,MC000090,0,133.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9662fe937cba5c659542b2efccb692c79662fe937cba5c659542b2efccb692c7
91,MC000091,321,264,Beacon MaintenanceCrew 91,MC000091,1,134.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61a412eb305b53ca99278d60b0e68dad61a412eb305b53ca99278d60b0e68dad
92,MC000092,195,464,Zenith MaintenanceCrew 92,MC000092,1,136.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ab4dc4001af5ebab96cbe5e600746197ab4dc4001af5ebab96cbe5e60074619
93,MC000093,352,84,Cedar MaintenanceCrew 93,MC000093,1,137.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92f7434d138f5bab817688f479eb85f392f7434d138f5bab817688f479eb85f3
94,MC000094,133,373,Riverton MaintenanceCrew 94,MC000094,1,138.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30fa2385a1ca52fba4131245227e2bf330fa2385a1ca52fba4131245227e2bf3
95,MC000095,16,277,Zenith MaintenanceCrew 95,MC000095,0,140.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,30b7476a800456fea25e62e1a218d1fb30b7476a800456fea25e62e1a218d1fb
96,MC000096,411,215,Pioneer MaintenanceCrew 96,MC000096,1,141.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,256252741a1a527b97e1158cd3ba16e0256252741a1a527b97e1158cd3ba16e0
97,MC000097,134,73,Evergreen MaintenanceCrew 97,MC000097,1,142.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31522429e4e857d097d518f5d80eed6e31522429e4e857d097d518f5d80eed6e
98,MC000098,432,256,Northstar MaintenanceCrew 98,MC000098,1,144.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89560dbfbe72549ca268cc3844caa9c089560dbfbe72549ca268cc3844caa9c0
99,MC000099,470,90,Cedar MaintenanceCrew 99,MC000099,1,145.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0083c0f10d51522bacf7cfd39b1f7e0a0083c0f10d51522bacf7cfd39b1f7e0a
100,MC000100,125,90,Keystone MaintenanceCrew 100,MC000100,0,147.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f09aa08ed1e45d6c846374a5bcf72452f09aa08ed1e45d6c846374a5bcf72452
101,MC000101,74,118,Quartz MaintenanceCrew 101,MC000101,1,148.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a8450ceaa5155f89430d081d760572e0a8450ceaa5155f89430d081d760572e
102,MC000102,72,421,Meridian MaintenanceCrew 102,MC000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,461eb0e8a53457efacd16cb9b6dd5f0b461eb0e8a53457efacd16cb9b6dd5f0b
103,MC000103,382,151,Beacon MaintenanceCrew 103,MC000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59dbf0b1819e5c51866b09169bbb528d59dbf0b1819e5c51866b09169bbb528d
