LaborRosterSlotKey,LaborRosterSlotCode,LaborShiftKey,LaborRosterSlotName,StartSecondOfDay,EndSecondOfDay,SourceSystemKey,BatchId,LoadedAtUtc
61,LRS000061,23,Orion LaborRosterSlot 61,6,6,1,1,2026-08-24T00:00:00.000
62,LRS000062,214,Titan LaborRosterSlot 62,7,7,1,1,2026-08-24T00:00:00.000
63,LRS000063,66,Beacon LaborRosterSlot 63,8,8,1,1,2026-08-24T00:00:00.000
64,LRS000064,53,Atlas LaborRosterSlot 64,9,9,1,1,2026-08-24T00:00:00.000
65,LRS000065,14,Cedar LaborRosterSlot 65,10,10,1,1,2026-08-24T00:00:00.000
66,LRS000066,155,Beacon LaborRosterSlot 66,11,11,1,1,2026-08-24T00:00:00.000
67,LRS000067,82,Forge LaborRosterSlot 67,12,12,1,1,2026-08-24T00:00:00.000
68,LRS000068,84,Ion LaborRosterSlot 68,13,13,1,1,2026-08-24T00:00:00.000
69,LRS000069,204,Zenith LaborRosterSlot 69,14,14,1,1,2026-08-24T00:00:00.000
70,LRS000070,71,Pioneer LaborRosterSlot 70,15,15,1,1,2026-08-24T00:00:00.000
71,LRS000071,136,Harbor LaborRosterSlot 71,16,16,1,1,2026-08-24T00:00:00.000
72,LRS000072,97,Granite LaborRosterSlot 72,17,17,1,1,2026-08-24T00:00:00.000
73,LRS000073,165,Willow LaborRosterSlot 73,18,18,1,1,2026-08-24T00:00:00.000
74,LRS000074,165,Zenith LaborRosterSlot 74,19,19,1,1,2026-08-24T00:00:00.000
75,LRS000075,9,Granite LaborRosterSlot 75,20,20,1,1,2026-08-24T00:00:00.000
76,LRS000076,214,Meridian LaborRosterSlot 76,21,21,1,1,2026-08-24T00:00:00.000
77,LRS000077,179,Cedar LaborRosterSlot 77,22,22,1,1,2026-08-24T00:00:00.000
78,LRS000078,154,Forge LaborRosterSlot 78,23,23,1,1,2026-08-24T00:00:00.000
79,LRS000079,94,Zenith LaborRosterSlot 79,24,24,1,1,2026-08-24T00:00:00.000
80,LRS000080,140,Orion LaborRosterSlot 80,25,25,1,1,2026-08-24T00:00:00.000
81,LRS000081,96,Titan LaborRosterSlot 81,26,26,1,1,2026-08-24T00:00:00.000
82,LRS000082,95,Ion LaborRosterSlot 82,27,27,1,1,2026-08-24T00:00:00.000
83,LRS000083,65,Evergreen LaborRosterSlot 83,28,28,1,1,2026-08-24T00:00:00.000
84,LRS000084,27,Liberty LaborRosterSlot 84,1,1,1,1,2026-08-24T00:00:00.000
85,LRS000085,207,Forge LaborRosterSlot 85,2,2,1,1,2026-08-24T00:00:00.000
86,LRS000086,79,Ion LaborRosterSlot 86,3,3,1,1,2026-08-24T00:00:00.000
87,LRS000087,18,Delta LaborRosterSlot 87,4,4,1,1,2026-08-24T00:00:00.000
88,LRS000088,170,Unity LaborRosterSlot 88,5,5,1,1,2026-08-24T00:00:00.000
89,LRS000089,177,Keystone LaborRosterSlot 89,6,6,1,1,2026-08-24T00:00:00.000
90,LRS000090,174,Keystone LaborRosterSlot 90,7,7,1,1,2026-08-24T00:00:00.000
91,LRS000091,186,Cedar LaborRosterSlot 91,8,8,1,1,2026-08-24T00:00:00.000
92,LRS000092,139,Keystone LaborRosterSlot 92,9,9,1,1,2026-08-24T00:00:00.000
93,LRS000093,13,Quartz LaborRosterSlot 93,10,10,1,1,2026-08-24T00:00:00.000
94,LRS000094,203,Liberty LaborRosterSlot 94,11,11,1,1,2026-08-24T00:00:00.000
95,LRS000095,205,Northstar LaborRosterSlot 95,12,12,1,1,2026-08-24T00:00:00.000
96,LRS000096,208,Granite LaborRosterSlot 96,13,13,1,1,2026-08-24T00:00:00.000
97,LRS000097,172,Keystone LaborRosterSlot 97,14,14,1,1,2026-08-24T00:00:00.000
98,LRS000098,91,Northstar LaborRosterSlot 98,15,15,1,1,2026-08-24T00:00:00.000
99,LRS000099,96,Pioneer LaborRosterSlot 99,16,16,1,1,2026-08-24T00:00:00.000
100,LRS000100,40,Willow LaborRosterSlot 100,17,17,1,1,2026-08-24T00:00:00.000
101,LRS000101,37,Evergreen LaborRosterSlot 101,18,18,1,1,2026-08-24T00:00:00.000
102,LRS000102,67,Forge LaborRosterSlot 102,19,19,1,1,2026-08-24T00:00:00.000
103,LRS000103,152,Delta LaborRosterSlot 103,20,20,1,1,2026-08-24T00:00:00.000
104,LRS000104,157,Granite LaborRosterSlot 104,21,21,1,1,2026-08-24T00:00:00.000
105,LRS000105,17,Harbor LaborRosterSlot 105,22,22,1,1,2026-08-24T00:00:00.000
106,LRS000106,157,Evergreen LaborRosterSlot 106,23,23,1,1,2026-08-24T00:00:00.000
107,LRS000107,53,Granite LaborRosterSlot 107,24,24,1,1,2026-08-24T00:00:00.000
108,LRS000108,217,Ion LaborRosterSlot 108,25,25,1,1,2026-08-24T00:00:00.000
109,LRS000109,216,Vertex LaborRosterSlot 109,26,26,1,1,2026-08-24T00:00:00.000
110,LRS000110,3,Keystone LaborRosterSlot 110,27,27,1,1,2026-08-24T00:00:00.000
111,LRS000111,185,Evergreen LaborRosterSlot 111,28,28,1,1,2026-08-24T00:00:00.000
112,LRS000112,93,Orion LaborRosterSlot 112,1,1,1,1,2026-08-24T00:00:00.000
113,LRS000113,201,Pioneer LaborRosterSlot 113,2,2,1,1,2026-08-24T00:00:00.000
114,LRS000114,16,Beacon LaborRosterSlot 114,3,3,1,1,2026-08-24T00:00:00.000
115,LRS000115,56,Junction LaborRosterSlot 115,4,4,1,1,2026-08-24T00:00:00.000
116,LRS000116,13,Unity LaborRosterSlot 116,5,5,1,1,2026-08-24T00:00:00.000
117,LRS000117,219,Beacon LaborRosterSlot 117,6,6,1,1,2026-08-24T00:00:00.000
118,LRS000118,42,Granite LaborRosterSlot 118,7,7,1,1,2026-08-24T00:00:00.000
119,LRS000119,200,Riverton LaborRosterSlot 119,8,8,1,1,2026-08-24T00:00:00.000
120,LRS000120,145,Junction LaborRosterSlot 120,9,9,1,1,2026-08-24T00:00:00.000
121,LRS000121,98,Cedar LaborRosterSlot 121,10,10,1,1,2026-08-24T00:00:00.000
122,LRS000122,125,Pioneer LaborRosterSlot 122,11,11,1,1,2026-08-24T00:00:00.000
123,LRS000123,87,Delta LaborRosterSlot 123,12,12,1,1,2026-08-24T00:00:00.000
124,LRS000124,44,Junction LaborRosterSlot 124,13,13,1,1,2026-08-24T00:00:00.000
125,LRS000125,217,Granite LaborRosterSlot 125,14,14,1,1,2026-08-24T00:00:00.000
126,LRS000126,111,Meridian LaborRosterSlot 126,15,15,1,1,2026-08-24T00:00:00.000
127,LRS000127,83,Vertex LaborRosterSlot 127,16,16,1,1,2026-08-24T00:00:00.000
128,LRS000128,30,Junction LaborRosterSlot 128,17,17,1,1,2026-08-24T00:00:00.000
129,LRS000129,183,Beacon LaborRosterSlot 129,18,18,1,1,2026-08-24T00:00:00.000
130,LRS000130,88,Summit LaborRosterSlot 130,19,19,1,1,2026-08-24T00:00:00.000
131,LRS000131,48,Meridian LaborRosterSlot 131,20,20,1,1,2026-08-24T00:00:00.000
132,LRS000132,27,Zenith LaborRosterSlot 132,21,21,1,1,2026-08-24T00:00:00.000
133,LRS000133,33,Evergreen LaborRosterSlot 133,22,22,1,1,2026-08-24T00:00:00.000
134,LRS000134,184,Willow LaborRosterSlot 134,23,23,1,1,2026-08-24T00:00:00.000
135,LRS000135,80,Summit LaborRosterSlot 135,24,24,1,1,2026-08-24T00:00:00.000
136,LRS000136,53,Granite LaborRosterSlot 136,25,25,1,1,2026-08-24T00:00:00.000
137,LRS000137,99,Riverton LaborRosterSlot 137,26,26,1,1,2026-08-24T00:00:00.000
138,LRS000138,168,Junction LaborRosterSlot 138,27,27,1,1,2026-08-24T00:00:00.000
139,LRS000139,84,Northstar LaborRosterSlot 139,28,28,1,1,2026-08-24T00:00:00.000
140,LRS000140,70,Orion LaborRosterSlot 140,1,1,1,1,2026-08-24T00:00:00.000
141,LRS000141,183,Zenith LaborRosterSlot 141,2,2,1,1,2026-08-24T00:00:00.000
142,LRS000142,53,Unity LaborRosterSlot 142,3,3,1,1,2026-08-24T00:00:00.000
143,LRS000143,12,Pioneer LaborRosterSlot 143,4,4,1,1,2026-08-24T00:00:00.000
144,LRS000144,66,Atlas LaborRosterSlot 144,5,5,1,1,2026-08-24T00:00:00.000
145,LRS000145,60,Forge LaborRosterSlot 145,6,6,1,1,2026-08-24T00:00:00.000
146,LRS000146,61,Junction LaborRosterSlot 146,7,7,1,1,2026-08-24T00:00:00.000
147,LRS000147,205,Northstar LaborRosterSlot 147,8,8,1,1,2026-08-24T00:00:00.000
148,LRS000148,95,Harbor LaborRosterSlot 148,9,9,1,1,2026-08-24T00:00:00.000
149,LRS000149,59,Willow LaborRosterSlot 149,10,10,1,1,2026-08-24T00:00:00.000
150,LRS000150,67,Atlas LaborRosterSlot 150,11,11,1,1,2026-08-24T00:00:00.000
151,LRS000151,24,Delta LaborRosterSlot 151,12,12,1,1,2026-08-24T00:00:00.000
152,LRS000152,138,Beacon LaborRosterSlot 152,13,13,1,1,2026-08-24T00:00:00.000
153,LRS000153,182,Vertex LaborRosterSlot 153,14,14,1,1,2026-08-24T00:00:00.000
154,LRS000154,196,Zenith LaborRosterSlot 154,15,15,1,1,2026-08-24T00:00:00.000
155,LRS000155,89,Beacon LaborRosterSlot 155,16,16,1,1,2026-08-24T00:00:00.000
156,LRS000156,219,Riverton LaborRosterSlot 156,17,17,1,1,2026-08-24T00:00:00.000
157,LRS000157,215,Keystone LaborRosterSlot 157,18,18,1,1,2026-08-24T00:00:00.000
158,LRS000158,43,Atlas LaborRosterSlot 158,19,19,1,1,2026-08-24T00:00:00.000
159,LRS000159,83,Atlas LaborRosterSlot 159,20,20,1,1,2026-08-24T00:00:00.000
160,LRS000160,26,Willow LaborRosterSlot 160,21,21,1,1,2026-08-24T00:00:00.000
161,LRS000161,21,Summit LaborRosterSlot 161,22,22,1,1,2026-08-24T00:00:00.000
162,LRS000162,100,Titan LaborRosterSlot 162,23,23,1,1,2026-08-24T00:00:00.000
163,LRS000163,65,Cedar LaborRosterSlot 163,24,24,1,1,2026-08-24T00:00:00.000
164,LRS000164,215,Quartz LaborRosterSlot 164,25,25,1,1,2026-08-24T00:00:00.000
165,LRS000165,112,Evergreen LaborRosterSlot 165,26,26,1,1,2026-08-24T00:00:00.000
166,LRS000166,9,Junction LaborRosterSlot 166,27,27,1,1,2026-08-24T00:00:00.000
167,LRS000167,46,Orion LaborRosterSlot 167,28,28,1,1,2026-08-24T00:00:00.000
168,LRS000168,156,Granite LaborRosterSlot 168,1,1,1,1,2026-08-24T00:00:00.000
169,LRS000169,156,Evergreen LaborRosterSlot 169,2,2,1,1,2026-08-24T00:00:00.000
170,LRS000170,171,Beacon LaborRosterSlot 170,3,3,1,1,2026-08-24T00:00:00.000
171,LRS000171,96,Granite LaborRosterSlot 171,4,4,1,1,2026-08-24T00:00:00.000
172,LRS000172,156,Delta LaborRosterSlot 172,5,5,1,1,2026-08-24T00:00:00.000
173,LRS000173,1,Vertex LaborRosterSlot 173,6,6,1,1,2026-08-24T00:00:00.000
174,LRS000174,17,Meridian LaborRosterSlot 174,7,7,1,1,2026-08-24T00:00:00.000
175,LRS000175,72,Evergreen LaborRosterSlot 175,8,8,1,1,2026-08-24T00:00:00.000
176,LRS000176,188,Delta LaborRosterSlot 176,9,9,1,1,2026-08-24T00:00:00.000
177,LRS000177,132,Delta LaborRosterSlot 177,10,10,1,1,2026-08-24T00:00:00.000
178,LRS000178,48,Northstar LaborRosterSlot 178,11,11,1,1,2026-08-24T00:00:00.000
179,LRS000179,54,Willow LaborRosterSlot 179,12,12,1,1,2026-08-24T00:00:00.000
180,LRS000180,75,Liberty LaborRosterSlot 180,13,13,1,1,2026-08-24T00:00:00.000
181,LRS000181,173,Granite LaborRosterSlot 181,14,14,1,1,2026-08-24T00:00:00.000
182,LRS000182,20,Summit LaborRosterSlot 182,15,15,1,1,2026-08-24T00:00:00.000
183,LRS000183,23,Delta LaborRosterSlot 183,16,16,1,1,2026-08-24T00:00:00.000
184,LRS000184,65,Cedar LaborRosterSlot 184,17,17,1,1,2026-08-24T00:00:00.000
185,LRS000185,128,Liberty LaborRosterSlot 185,18,18,1,1,2026-08-24T00:00:00.000
186,LRS000186,146,Pioneer LaborRosterSlot 186,19,19,1,1,2026-08-24T00:00:00.000
187,LRS000187,32,Quartz LaborRosterSlot 187,20,20,1,1,2026-08-24T00:00:00.000
188,LRS000188,207,Quartz LaborRosterSlot 188,21,21,1,1,2026-08-24T00:00:00.000
189,LRS000189,107,Beacon LaborRosterSlot 189,22,22,1,1,2026-08-24T00:00:00.000
190,LRS000190,35,Northstar LaborRosterSlot 190,23,23,1,1,2026-08-24T00:00:00.000
191,LRS000191,29,Junction LaborRosterSlot 191,24,24,1,1,2026-08-24T00:00:00.000
192,LRS000192,11,Meridian LaborRosterSlot 192,25,25,1,1,2026-08-24T00:00:00.000
193,LRS000193,109,Harbor LaborRosterSlot 193,26,26,1,1,2026-08-24T00:00:00.000
194,LRS000194,183,Quartz LaborRosterSlot 194,27,27,1,1,2026-08-24T00:00:00.000
195,LRS000195,154,Beacon LaborRosterSlot 195,28,28,1,1,2026-08-24T00:00:00.000
196,LRS000196,37,Beacon LaborRosterSlot 196,1,1,1,1,2026-08-24T00:00:00.000
197,LRS000197,1,Atlas LaborRosterSlot 197,2,2,1,1,2026-08-24T00:00:00.000
198,LRS000198,217,Meridian LaborRosterSlot 198,3,3,1,1,2026-08-24T00:00:00.000
199,LRS000199,190,Granite LaborRosterSlot 199,4,4,1,1,2026-08-24T00:00:00.000
200,LRS000200,13,Orion LaborRosterSlot 200,5,5,1,1,2026-08-24T00:00:00.000
201,LRS000201,111,Riverton LaborRosterSlot 201,6,6,1,1,2026-08-24T00:00:00.000
202,LRS000202,170,Evergreen LaborRosterSlot 202,7,7,1,1,2026-08-24T00:00:00.000
203,LRS000203,139,Vertex LaborRosterSlot 203,8,8,1,1,2026-08-24T00:00:00.000
204,LRS000204,87,Ion LaborRosterSlot 204,9,9,1,1,2026-08-24T00:00:00.000
205,LRS000205,53,Junction LaborRosterSlot 205,10,10,1,1,2026-08-24T00:00:00.000
206,LRS000206,26,Beacon LaborRosterSlot 206,11,11,1,1,2026-08-24T00:00:00.000
207,LRS000207,62,Meridian LaborRosterSlot 207,12,12,1,1,2026-08-24T00:00:00.000
208,LRS000208,31,Evergreen LaborRosterSlot 208,13,13,1,1,2026-08-24T00:00:00.000
209,LRS000209,16,Harbor LaborRosterSlot 209,14,14,1,1,2026-08-24T00:00:00.000
210,LRS000210,73,Granite LaborRosterSlot 210,15,15,1,1,2026-08-24T00:00:00.000
211,LRS000211,49,Riverton LaborRosterSlot 211,16,16,1,1,2026-08-24T00:00:00.000
212,LRS000212,97,Riverton LaborRosterSlot 212,17,17,1,1,2026-08-24T00:00:00.000
213,LRS000213,145,Ion LaborRosterSlot 213,18,18,1,1,2026-08-24T00:00:00.000
214,LRS000214,199,Junction LaborRosterSlot 214,19,19,1,1,2026-08-24T00:00:00.000
215,LRS000215,52,Orion LaborRosterSlot 215,20,20,1,1,2026-08-24T00:00:00.000
216,LRS000216,105,Junction LaborRosterSlot 216,21,21,1,1,2026-08-24T00:00:00.000
217,LRS000217,80,Cedar LaborRosterSlot 217,22,22,1,1,2026-08-24T00:00:00.000
218,LRS000218,134,Northstar LaborRosterSlot 218,23,23,1,1,2026-08-24T00:00:00.000
219,LRS000219,54,Junction LaborRosterSlot 219,24,24,1,1,2026-08-24T00:00:00.000
220,LRS000220,153,Meridian LaborRosterSlot 220,25,25,1,1,2026-08-24T00:00:00.000
221,LRS000221,159,Granite LaborRosterSlot 221,26,26,1,1,2026-08-24T00:00:00.000
222,LRS000222,4,Willow LaborRosterSlot 222,27,27,1,1,2026-08-24T00:00:00.000
223,LRS000223,92,Zenith LaborRosterSlot 223,28,28,1,1,2026-08-24T00:00:00.000
224,LRS000224,120,Delta LaborRosterSlot 224,1,1,1,1,2026-08-24T00:00:00.000
225,LRS000225,146,Ion LaborRosterSlot 225,2,2,1,1,2026-08-24T00:00:00.000
226,LRS000226,144,Orion LaborRosterSlot 226,3,3,1,1,2026-08-24T00:00:00.000
227,LRS000227,130,Orion LaborRosterSlot 227,4,4,1,1,2026-08-24T00:00:00.000
228,LRS000228,205,Pioneer LaborRosterSlot 228,5,5,1,1,2026-08-24T00:00:00.000
229,LRS000229,182,Keystone LaborRosterSlot 229,6,6,1,1,2026-08-24T00:00:00.000
230,LRS000230,184,Harbor LaborRosterSlot 230,7,7,1,1,2026-08-24T00:00:00.000
231,LRS000231,38,Forge LaborRosterSlot 231,8,8,1,1,2026-08-24T00:00:00.000
232,LRS000232,169,Keystone LaborRosterSlot 232,9,9,1,1,2026-08-24T00:00:00.000
233,LRS000233,22,Zenith LaborRosterSlot 233,10,10,1,1,2026-08-24T00:00:00.000
234,LRS000234,57,Harbor LaborRosterSlot 234,11,11,1,1,2026-08-24T00:00:00.000
235,LRS000235,38,Delta LaborRosterSlot 235,12,12,1,1,2026-08-24T00:00:00.000
236,LRS000236,127,Willow LaborRosterSlot 236,13,13,1,1,2026-08-24T00:00:00.000
237,LRS000237,65,Pioneer LaborRosterSlot 237,14,14,1,1,2026-08-24T00:00:00.000
238,LRS000238,115,Junction LaborRosterSlot 238,15,15,1,1,2026-08-24T00:00:00.000
239,LRS000239,29,Orion LaborRosterSlot 239,16,16,1,1,2026-08-24T00:00:00.000
240,LRS000240,115,Ion LaborRosterSlot 240,17,17,1,1,2026-08-24T00:00:00.000
241,LRS000241,101,Vertex LaborRosterSlot 241,18,18,1,1,2026-08-24T00:00:00.000
242,LRS000242,172,Meridian LaborRosterSlot 242,19,19,1,1,2026-08-24T00:00:00.000
243,LRS000243,16,Forge LaborRosterSlot 243,20,20,1,1,2026-08-24T00:00:00.000
244,LRS000244,137,Unity LaborRosterSlot 244,21,21,1,1,2026-08-24T00:00:00.000
245,LRS000245,194,Keystone LaborRosterSlot 245,22,22,1,1,2026-08-24T00:00:00.000
246,LRS000246,121,Zenith LaborRosterSlot 246,23,23,1,1,2026-08-24T00:00:00.000
247,LRS000247,93,Forge LaborRosterSlot 247,24,24,1,1,2026-08-24T00:00:00.000
248,LRS000248,111,Harbor LaborRosterSlot 248,25,25,1,1,2026-08-24T00:00:00.000
249,LRS000249,128,Evergreen LaborRosterSlot 249,26,26,1,1,2026-08-24T00:00:00.000
250,LRS000250,18,Titan LaborRosterSlot 250,27,27,1,1,2026-08-24T00:00:00.000
251,LRS000251,128,Pioneer LaborRosterSlot 251,28,28,1,1,2026-08-24T00:00:00.000
252,LRS000252,87,Titan LaborRosterSlot 252,1,1,1,1,2026-08-24T00:00:00.000
253,LRS000253,158,Harbor LaborRosterSlot 253,2,2,1,1,2026-08-24T00:00:00.000
254,LRS000254,140,Evergreen LaborRosterSlot 254,3,3,1,1,2026-08-24T00:00:00.000
255,LRS000255,46,Liberty LaborRosterSlot 255,4,4,1,1,2026-08-24T00:00:00.000
256,LRS000256,78,Cedar LaborRosterSlot 256,5,5,1,1,2026-08-24T00:00:00.000
257,LRS000257,49,Beacon LaborRosterSlot 257,6,6,1,1,2026-08-24T00:00:00.000
258,LRS000258,26,Riverton LaborRosterSlot 258,7,7,1,1,2026-08-24T00:00:00.000
259,LRS000259,126,Harbor LaborRosterSlot 259,8,8,1,1,2026-08-24T00:00:00.000
260,LRS000260,163,Harbor LaborRosterSlot 260,9,9,1,1,2026-08-24T00:00:00.000
261,LRS000261,70,Riverton LaborRosterSlot 261,10,10,1,1,2026-08-24T00:00:00.000
262,LRS000262,216,Meridian LaborRosterSlot 262,11,11,1,1,2026-08-24T00:00:00.000
263,LRS000263,57,Granite LaborRosterSlot 263,12,12,1,1,2026-08-24T00:00:00.000
264,LRS000264,10,Evergreen LaborRosterSlot 264,13,13,1,1,2026-08-24T00:00:00.000
265,LRS000265,211,Zenith LaborRosterSlot 265,14,14,1,1,2026-08-24T00:00:00.000
266,LRS000266,16,Titan LaborRosterSlot 266,15,15,1,1,2026-08-24T00:00:00.000
267,LRS000267,60,Riverton LaborRosterSlot 267,16,16,1,1,2026-08-24T00:00:00.000
268,LRS000268,17,Delta LaborRosterSlot 268,17,17,1,1,2026-08-24T00:00:00.000
269,LRS000269,55,Orion LaborRosterSlot 269,18,18,1,1,2026-08-24T00:00:00.000
270,LRS000270,206,Willow LaborRosterSlot 270,19,19,1,1,2026-08-24T00:00:00.000
271,LRS000271,125,Orion LaborRosterSlot 271,20,20,1,1,2026-08-24T00:00:00.000
272,LRS000272,220,Granite LaborRosterSlot 272,21,21,1,1,2026-08-24T00:00:00.000
273,LRS000273,190,Unity LaborRosterSlot 273,22,22,1,1,2026-08-24T00:00:00.000
274,LRS000274,211,Atlas LaborRosterSlot 274,23,23,1,1,2026-08-24T00:00:00.000
275,LRS000275,204,Forge LaborRosterSlot 275,24,24,1,1,2026-08-24T00:00:00.000
276,LRS000276,37,Unity LaborRosterSlot 276,25,25,1,1,2026-08-24T00:00:00.000
277,LRS000277,58,Ion LaborRosterSlot 277,26,26,1,1,2026-08-24T00:00:00.000
278,LRS000278,198,Northstar LaborRosterSlot 278,27,27,1,1,2026-08-24T00:00:00.000
279,LRS000279,220,Riverton LaborRosterSlot 279,28,28,1,1,2026-08-24T00:00:00.000
280,LRS000280,189,Beacon LaborRosterSlot 280,1,1,1,1,2026-08-24T00:00:00.000
281,LRS000281,37,Willow LaborRosterSlot 281,2,2,1,1,2026-08-24T00:00:00.000
282,LRS000282,65,Cedar LaborRosterSlot 282,3,3,1,1,2026-08-24T00:00:00.000
283,LRS000283,29,Orion LaborRosterSlot 283,4,4,1,1,2026-08-24T00:00:00.000
