MachineCapacityRatingKey,MachineCapacityRatingCode,MachineCapacityBandKey,MachineCapacityRatingName,SourceSystemKey,BatchId,LoadedAtUtc
37,MCR000037,143,Unity MachineCapacityRating 37,1,1,2026-08-24T00:00:00.000
38,MCR000038,26,Meridian MachineCapacityRating 38,1,1,2026-08-24T00:00:00.000
39,MCR000039,74,Quartz MachineCapacityRating 39,1,1,2026-08-24T00:00:00.000
40,MCR000040,18,Vertex MachineCapacityRating 40,1,1,2026-08-24T00:00:00.000
41,MCR000041,18,Willow MachineCapacityRating 41,1,1,2026-08-24T00:00:00.000
42,MCR000042,151,Junction MachineCapacityRating 42,1,1,2026-08-24T00:00:00.000
43,MCR000043,22,Keystone MachineCapacityRating 43,1,1,2026-08-24T00:00:00.000
44,MCR000044,65,Willow MachineCapacityRating 44,1,1,2026-08-24T00:00:00.000
45,MCR000045,67,Titan MachineCapacityRating 45,1,1,2026-08-24T00:00:00.000
46,MCR000046,86,Delta MachineCapacityRating 46,1,1,2026-08-24T00:00:00.000
47,MCR000047,220,Willow MachineCapacityRating 47,1,1,2026-08-24T00:00:00.000
48,MCR000048,159,Beacon MachineCapacityRating 48,1,1,2026-08-24T00:00:00.000
49,MCR000049,72,Atlas MachineCapacityRating 49,1,1,2026-08-24T00:00:00.000
50,MCR000050,83,Summit MachineCapacityRating 50,1,1,2026-08-24T00:00:00.000
51,MCR000051,193,Ion MachineCapacityRating 51,1,1,2026-08-24T00:00:00.000
52,MCR000052,183,Summit MachineCapacityRating 52,1,1,2026-08-24T00:00:00.000
53,MCR000053,142,Pioneer MachineCapacityRating 53,1,1,2026-08-24T00:00:00.000
54,MCR000054,175,Junction MachineCapacityRating 54,1,1,2026-08-24T00:00:00.000
55,MCR000055,183,Granite MachineCapacityRating 55,1,1,2026-08-24T00:00:00.000
56,MCR000056,172,Evergreen MachineCapacityRating 56,1,1,2026-08-24T00:00:00.000
57,MCR000057,212,Liberty MachineCapacityRating 57,1,1,2026-08-24T00:00:00.000
58,MCR000058,78,Cedar MachineCapacityRating 58,1,1,2026-08-24T00:00:00.000
59,MCR000059,130,Pioneer MachineCapacityRating 59,1,1,2026-08-24T00:00:00.000
60,MCR000060,15,Meridian MachineCapacityRating 60,1,1,2026-08-24T00:00:00.000
61,MCR000061,111,Evergreen MachineCapacityRating 61,1,1,2026-08-24T00:00:00.000
62,MCR000062,122,Zenith MachineCapacityRating 62,1,1,2026-08-24T00:00:00.000
63,MCR000063,20,Vertex MachineCapacityRating 63,1,1,2026-08-24T00:00:00.000
64,MCR000064,117,Quartz MachineCapacityRating 64,1,1,2026-08-24T00:00:00.000
65,MCR000065,146,Unity MachineCapacityRating 65,1,1,2026-08-24T00:00:00.000
66,MCR000066,199,Meridian MachineCapacityRating 66,1,1,2026-08-24T00:00:00.000
67,MCR000067,126,Northstar MachineCapacityRating 67,1,1,2026-08-24T00:00:00.000
68,MCR000068,184,Orion MachineCapacityRating 68,1,1,2026-08-24T00:00:00.000
69,MCR000069,87,Orion MachineCapacityRating 69,1,1,2026-08-24T00:00:00.000
70,MCR000070,68,Keystone MachineCapacityRating 70,1,1,2026-08-24T00:00:00.000
71,MCR000071,198,Titan MachineCapacityRating 71,1,1,2026-08-24T00:00:00.000
72,MCR000072,173,Keystone MachineCapacityRating 72,1,1,2026-08-24T00:00:00.000
73,MCR000073,123,Riverton MachineCapacityRating 73,1,1,2026-08-24T00:00:00.000
74,MCR000074,68,Harbor MachineCapacityRating 74,1,1,2026-08-24T00:00:00.000
75,MCR000075,56,Junction MachineCapacityRating 75,1,1,2026-08-24T00:00:00.000
76,MCR000076,51,Atlas MachineCapacityRating 76,1,1,2026-08-24T00:00:00.000
77,MCR000077,131,Meridian MachineCapacityRating 77,1,1,2026-08-24T00:00:00.000
78,MCR000078,8,Willow MachineCapacityRating 78,1,1,2026-08-24T00:00:00.000
79,MCR000079,78,Unity MachineCapacityRating 79,1,1,2026-08-24T00:00:00.000
80,MCR000080,108,Unity MachineCapacityRating 80,1,1,2026-08-24T00:00:00.000
81,MCR000081,153,Liberty MachineCapacityRating 81,1,1,2026-08-24T00:00:00.000
82,MCR000082,6,Granite MachineCapacityRating 82,1,1,2026-08-24T00:00:00.000
83,MCR000083,166,Willow MachineCapacityRating 83,1,1,2026-08-24T00:00:00.000
84,MCR000084,160,Orion MachineCapacityRating 84,1,1,2026-08-24T00:00:00.000
85,MCR000085,197,Zenith MachineCapacityRating 85,1,1,2026-08-24T00:00:00.000
86,MCR000086,167,Harbor MachineCapacityRating 86,1,1,2026-08-24T00:00:00.000
87,MCR000087,182,Northstar MachineCapacityRating 87,1,1,2026-08-24T00:00:00.000
88,MCR000088,195,Zenith MachineCapacityRating 88,1,1,2026-08-24T00:00:00.000
89,MCR000089,205,Ion MachineCapacityRating 89,1,1,2026-08-24T00:00:00.000
90,MCR000090,87,Meridian MachineCapacityRating 90,1,1,2026-08-24T00:00:00.000
91,MCR000091,5,Unity MachineCapacityRating 91,1,1,2026-08-24T00:00:00.000
92,MCR000092,97,Zenith MachineCapacityRating 92,1,1,2026-08-24T00:00:00.000
93,MCR000093,172,Titan MachineCapacityRating 93,1,1,2026-08-24T00:00:00.000
94,MCR000094,134,Forge MachineCapacityRating 94,1,1,2026-08-24T00:00:00.000
95,MCR000095,21,Evergreen MachineCapacityRating 95,1,1,2026-08-24T00:00:00.000
96,MCR000096,73,Atlas MachineCapacityRating 96,1,1,2026-08-24T00:00:00.000
97,MCR000097,112,Junction MachineCapacityRating 97,1,1,2026-08-24T00:00:00.000
98,MCR000098,20,Summit MachineCapacityRating 98,1,1,2026-08-24T00:00:00.000
99,MCR000099,159,Riverton MachineCapacityRating 99,1,1,2026-08-24T00:00:00.000
100,MCR000100,143,Atlas MachineCapacityRating 100,1,1,2026-08-24T00:00:00.000
101,MCR000101,118,Summit MachineCapacityRating 101,1,1,2026-08-24T00:00:00.000
102,MCR000102,217,Willow MachineCapacityRating 102,1,1,2026-08-24T00:00:00.000
103,MCR000103,28,Evergreen MachineCapacityRating 103,1,1,2026-08-24T00:00:00.000
104,MCR000104,116,Beacon MachineCapacityRating 104,1,1,2026-08-24T00:00:00.000
105,MCR000105,13,Unity MachineCapacityRating 105,1,1,2026-08-24T00:00:00.000
106,MCR000106,74,Northstar MachineCapacityRating 106,1,1,2026-08-24T00:00:00.000
107,MCR000107,146,Quartz MachineCapacityRating 107,1,1,2026-08-24T00:00:00.000
108,MCR000108,185,Summit MachineCapacityRating 108,1,1,2026-08-24T00:00:00.000
109,MCR000109,55,Keystone MachineCapacityRating 109,1,1,2026-08-24T00:00:00.000
110,MCR000110,9,Orion MachineCapacityRating 110,1,1,2026-08-24T00:00:00.000
111,MCR000111,124,Delta MachineCapacityRating 111,1,1,2026-08-24T00:00:00.000
112,MCR000112,150,Riverton MachineCapacityRating 112,1,1,2026-08-24T00:00:00.000
113,MCR000113,193,Titan MachineCapacityRating 113,1,1,2026-08-24T00:00:00.000
114,MCR000114,213,Cedar MachineCapacityRating 114,1,1,2026-08-24T00:00:00.000
115,MCR000115,166,Delta MachineCapacityRating 115,1,1,2026-08-24T00:00:00.000
116,MCR000116,203,Harbor MachineCapacityRating 116,1,1,2026-08-24T00:00:00.000
117,MCR000117,80,Junction MachineCapacityRating 117,1,1,2026-08-24T00:00:00.000
118,MCR000118,157,Junction MachineCapacityRating 118,1,1,2026-08-24T00:00:00.000
119,MCR000119,166,Pioneer MachineCapacityRating 119,1,1,2026-08-24T00:00:00.000
120,MCR000120,15,Forge MachineCapacityRating 120,1,1,2026-08-24T00:00:00.000
121,MCR000121,21,Pioneer MachineCapacityRating 121,1,1,2026-08-24T00:00:00.000
122,MCR000122,47,Vertex MachineCapacityRating 122,1,1,2026-08-24T00:00:00.000
123,MCR000123,103,Pioneer MachineCapacityRating 123,1,1,2026-08-24T00:00:00.000
124,MCR000124,50,Evergreen MachineCapacityRating 124,1,1,2026-08-24T00:00:00.000
125,MCR000125,156,Liberty MachineCapacityRating 125,1,1,2026-08-24T00:00:00.000
126,MCR000126,153,Willow MachineCapacityRating 126,1,1,2026-08-24T00:00:00.000
127,MCR000127,71,Zenith MachineCapacityRating 127,1,1,2026-08-24T00:00:00.000
128,MCR000128,56,Keystone MachineCapacityRating 128,1,1,2026-08-24T00:00:00.000
129,MCR000129,116,Beacon MachineCapacityRating 129,1,1,2026-08-24T00:00:00.000
130,MCR000130,139,Beacon MachineCapacityRating 130,1,1,2026-08-24T00:00:00.000
131,MCR000131,48,Liberty MachineCapacityRating 131,1,1,2026-08-24T00:00:00.000
132,MCR000132,119,Forge MachineCapacityRating 132,1,1,2026-08-24T00:00:00.000
133,MCR000133,137,Keystone MachineCapacityRating 133,1,1,2026-08-24T00:00:00.000
134,MCR000134,174,Keystone MachineCapacityRating 134,1,1,2026-08-24T00:00:00.000
135,MCR000135,41,Beacon MachineCapacityRating 135,1,1,2026-08-24T00:00:00.000
136,MCR000136,194,Harbor MachineCapacityRating 136,1,1,2026-08-24T00:00:00.000
137,MCR000137,107,Delta MachineCapacityRating 137,1,1,2026-08-24T00:00:00.000
138,MCR000138,11,Pioneer MachineCapacityRating 138,1,1,2026-08-24T00:00:00.000
139,MCR000139,195,Ion MachineCapacityRating 139,1,1,2026-08-24T00:00:00.000
140,MCR000140,29,Quartz MachineCapacityRating 140,1,1,2026-08-24T00:00:00.000
141,MCR000141,50,Ion MachineCapacityRating 141,1,1,2026-08-24T00:00:00.000
142,MCR000142,2,Titan MachineCapacityRating 142,1,1,2026-08-24T00:00:00.000
143,MCR000143,77,Ion MachineCapacityRating 143,1,1,2026-08-24T00:00:00.000
144,MCR000144,123,Meridian MachineCapacityRating 144,1,1,2026-08-24T00:00:00.000
145,MCR000145,29,Beacon MachineCapacityRating 145,1,1,2026-08-24T00:00:00.000
146,MCR000146,43,Ion MachineCapacityRating 146,1,1,2026-08-24T00:00:00.000
147,MCR000147,18,Granite MachineCapacityRating 147,1,1,2026-08-24T00:00:00.000
148,MCR000148,13,Junction MachineCapacityRating 148,1,1,2026-08-24T00:00:00.000
149,MCR000149,21,Delta MachineCapacityRating 149,1,1,2026-08-24T00:00:00.000
150,MCR000150,208,Northstar MachineCapacityRating 150,1,1,2026-08-24T00:00:00.000
151,MCR000151,163,Harbor MachineCapacityRating 151,1,1,2026-08-24T00:00:00.000
152,MCR000152,49,Willow MachineCapacityRating 152,1,1,2026-08-24T00:00:00.000
153,MCR000153,10,Northstar MachineCapacityRating 153,1,1,2026-08-24T00:00:00.000
154,MCR000154,36,Liberty MachineCapacityRating 154,1,1,2026-08-24T00:00:00.000
155,MCR000155,2,Northstar MachineCapacityRating 155,1,1,2026-08-24T00:00:00.000
156,MCR000156,168,Delta MachineCapacityRating 156,1,1,2026-08-24T00:00:00.000
157,MCR000157,134,Keystone MachineCapacityRating 157,1,1,2026-08-24T00:00:00.000
158,MCR000158,56,Evergreen MachineCapacityRating 158,1,1,2026-08-24T00:00:00.000
159,MCR000159,19,Junction MachineCapacityRating 159,1,1,2026-08-24T00:00:00.000
160,MCR000160,47,Willow MachineCapacityRating 160,1,1,2026-08-24T00:00:00.000
161,MCR000161,130,Ion MachineCapacityRating 161,1,1,2026-08-24T00:00:00.000
162,MCR000162,211,Quartz MachineCapacityRating 162,1,1,2026-08-24T00:00:00.000
163,MCR000163,98,Cedar MachineCapacityRating 163,1,1,2026-08-24T00:00:00.000
164,MCR000164,102,Meridian MachineCapacityRating 164,1,1,2026-08-24T00:00:00.000
165,MCR000165,74,Evergreen MachineCapacityRating 165,1,1,2026-08-24T00:00:00.000
166,MCR000166,121,Liberty MachineCapacityRating 166,1,1,2026-08-24T00:00:00.000
167,MCR000167,50,Beacon MachineCapacityRating 167,1,1,2026-08-24T00:00:00.000
168,MCR000168,132,Zenith MachineCapacityRating 168,1,1,2026-08-24T00:00:00.000
169,MCR000169,138,Junction MachineCapacityRating 169,1,1,2026-08-24T00:00:00.000
170,MCR000170,191,Zenith MachineCapacityRating 170,1,1,2026-08-24T00:00:00.000
171,MCR000171,78,Pioneer MachineCapacityRating 171,1,1,2026-08-24T00:00:00.000
172,MCR000172,179,Granite MachineCapacityRating 172,1,1,2026-08-24T00:00:00.000
173,MCR000173,170,Titan MachineCapacityRating 173,1,1,2026-08-24T00:00:00.000
174,MCR000174,164,Summit MachineCapacityRating 174,1,1,2026-08-24T00:00:00.000
175,MCR000175,83,Pioneer MachineCapacityRating 175,1,1,2026-08-24T00:00:00.000
176,MCR000176,117,Pioneer MachineCapacityRating 176,1,1,2026-08-24T00:00:00.000
177,MCR000177,139,Cedar MachineCapacityRating 177,1,1,2026-08-24T00:00:00.000
178,MCR000178,182,Liberty MachineCapacityRating 178,1,1,2026-08-24T00:00:00.000
179,MCR000179,54,Cedar MachineCapacityRating 179,1,1,2026-08-24T00:00:00.000
180,MCR000180,57,Junction MachineCapacityRating 180,1,1,2026-08-24T00:00:00.000
181,MCR000181,159,Keystone MachineCapacityRating 181,1,1,2026-08-24T00:00:00.000
182,MCR000182,112,Delta MachineCapacityRating 182,1,1,2026-08-24T00:00:00.000
183,MCR000183,53,Junction MachineCapacityRating 183,1,1,2026-08-24T00:00:00.000
184,MCR000184,107,Zenith MachineCapacityRating 184,1,1,2026-08-24T00:00:00.000
185,MCR000185,182,Beacon MachineCapacityRating 185,1,1,2026-08-24T00:00:00.000
186,MCR000186,6,Forge MachineCapacityRating 186,1,1,2026-08-24T00:00:00.000
187,MCR000187,66,Beacon MachineCapacityRating 187,1,1,2026-08-24T00:00:00.000
188,MCR000188,122,Harbor MachineCapacityRating 188,1,1,2026-08-24T00:00:00.000
189,MCR000189,178,Unity MachineCapacityRating 189,1,1,2026-08-24T00:00:00.000
190,MCR000190,37,Liberty MachineCapacityRating 190,1,1,2026-08-24T00:00:00.000
191,MCR000191,157,Northstar MachineCapacityRating 191,1,1,2026-08-24T00:00:00.000
192,MCR000192,79,Riverton MachineCapacityRating 192,1,1,2026-08-24T00:00:00.000
193,MCR000193,64,Harbor MachineCapacityRating 193,1,1,2026-08-24T00:00:00.000
194,MCR000194,102,Northstar MachineCapacityRating 194,1,1,2026-08-24T00:00:00.000
195,MCR000195,179,Junction MachineCapacityRating 195,1,1,2026-08-24T00:00:00.000
196,MCR000196,27,Titan MachineCapacityRating 196,1,1,2026-08-24T00:00:00.000
197,MCR000197,48,Summit MachineCapacityRating 197,1,1,2026-08-24T00:00:00.000
198,MCR000198,182,Orion MachineCapacityRating 198,1,1,2026-08-24T00:00:00.000
199,MCR000199,116,Northstar MachineCapacityRating 199,1,1,2026-08-24T00:00:00.000
200,MCR000200,106,Meridian MachineCapacityRating 200,1,1,2026-08-24T00:00:00.000
201,MCR000201,87,Zenith MachineCapacityRating 201,1,1,2026-08-24T00:00:00.000
202,MCR000202,126,Evergreen MachineCapacityRating 202,1,1,2026-08-24T00:00:00.000
203,MCR000203,166,Junction MachineCapacityRating 203,1,1,2026-08-24T00:00:00.000
204,MCR000204,153,Willow MachineCapacityRating 204,1,1,2026-08-24T00:00:00.000
205,MCR000205,129,Granite MachineCapacityRating 205,1,1,2026-08-24T00:00:00.000
206,MCR000206,186,Ion MachineCapacityRating 206,1,1,2026-08-24T00:00:00.000
207,MCR000207,144,Riverton MachineCapacityRating 207,1,1,2026-08-24T00:00:00.000
208,MCR000208,195,Harbor MachineCapacityRating 208,1,1,2026-08-24T00:00:00.000
209,MCR000209,74,Keystone MachineCapacityRating 209,1,1,2026-08-24T00:00:00.000
210,MCR000210,196,Meridian MachineCapacityRating 210,1,1,2026-08-24T00:00:00.000
211,MCR000211,94,Willow MachineCapacityRating 211,1,1,2026-08-24T00:00:00.000
212,MCR000212,87,Delta MachineCapacityRating 212,1,1,2026-08-24T00:00:00.000
213,MCR000213,131,Orion MachineCapacityRating 213,1,1,2026-08-24T00:00:00.000
214,MCR000214,141,Northstar MachineCapacityRating 214,1,1,2026-08-24T00:00:00.000
215,MCR000215,57,Evergreen MachineCapacityRating 215,1,1,2026-08-24T00:00:00.000
216,MCR000216,86,Evergreen MachineCapacityRating 216,1,1,2026-08-24T00:00:00.000
217,MCR000217,56,Cedar MachineCapacityRating 217,1,1,2026-08-24T00:00:00.000
218,MCR000218,176,Summit MachineCapacityRating 218,1,1,2026-08-24T00:00:00.000
219,MCR000219,143,Orion MachineCapacityRating 219,1,1,2026-08-24T00:00:00.000
220,MCR000220,35,Unity MachineCapacityRating 220,1,1,2026-08-24T00:00:00.000
221,MCR000221,111,Ion MachineCapacityRating 221,1,1,2026-08-24T00:00:00.000
222,MCR000222,30,Titan MachineCapacityRating 222,1,1,2026-08-24T00:00:00.000
223,MCR000223,195,Titan MachineCapacityRating 223,1,1,2026-08-24T00:00:00.000
224,MCR000224,155,Forge MachineCapacityRating 224,1,1,2026-08-24T00:00:00.000
225,MCR000225,147,Harbor MachineCapacityRating 225,1,1,2026-08-24T00:00:00.000
226,MCR000226,2,Granite MachineCapacityRating 226,1,1,2026-08-24T00:00:00.000
227,MCR000227,195,Granite MachineCapacityRating 227,1,1,2026-08-24T00:00:00.000
228,MCR000228,110,Riverton MachineCapacityRating 228,1,1,2026-08-24T00:00:00.000
229,MCR000229,132,Junction MachineCapacityRating 229,1,1,2026-08-24T00:00:00.000
230,MCR000230,199,Atlas MachineCapacityRating 230,1,1,2026-08-24T00:00:00.000
231,MCR000231,90,Beacon MachineCapacityRating 231,1,1,2026-08-24T00:00:00.000
232,MCR000232,7,Harbor MachineCapacityRating 232,1,1,2026-08-24T00:00:00.000
233,MCR000233,127,Unity MachineCapacityRating 233,1,1,2026-08-24T00:00:00.000
234,MCR000234,144,Orion MachineCapacityRating 234,1,1,2026-08-24T00:00:00.000
235,MCR000235,104,Willow MachineCapacityRating 235,1,1,2026-08-24T00:00:00.000
236,MCR000236,96,Evergreen MachineCapacityRating 236,1,1,2026-08-24T00:00:00.000
237,MCR000237,28,Harbor MachineCapacityRating 237,1,1,2026-08-24T00:00:00.000
238,MCR000238,106,Ion MachineCapacityRating 238,1,1,2026-08-24T00:00:00.000
239,MCR000239,71,Keystone MachineCapacityRating 239,1,1,2026-08-24T00:00:00.000
240,MCR000240,154,Willow MachineCapacityRating 240,1,1,2026-08-24T00:00:00.000
241,MCR000241,130,Unity MachineCapacityRating 241,1,1,2026-08-24T00:00:00.000
242,MCR000242,54,Pioneer MachineCapacityRating 242,1,1,2026-08-24T00:00:00.000
243,MCR000243,110,Orion MachineCapacityRating 243,1,1,2026-08-24T00:00:00.000
244,MCR000244,19,Delta MachineCapacityRating 244,1,1,2026-08-24T00:00:00.000
245,MCR000245,2,Summit MachineCapacityRating 245,1,1,2026-08-24T00:00:00.000
246,MCR000246,127,Riverton MachineCapacityRating 246,1,1,2026-08-24T00:00:00.000
247,MCR000247,108,Riverton MachineCapacityRating 247,1,1,2026-08-24T00:00:00.000
248,MCR000248,36,Liberty MachineCapacityRating 248,1,1,2026-08-24T00:00:00.000
249,MCR000249,123,Northstar MachineCapacityRating 249,1,1,2026-08-24T00:00:00.000
250,MCR000250,31,Junction MachineCapacityRating 250,1,1,2026-08-24T00:00:00.000
251,MCR000251,206,Meridian MachineCapacityRating 251,1,1,2026-08-24T00:00:00.000
252,MCR000252,137,Pioneer MachineCapacityRating 252,1,1,2026-08-24T00:00:00.000
253,MCR000253,140,Junction MachineCapacityRating 253,1,1,2026-08-24T00:00:00.000
254,MCR000254,143,Forge MachineCapacityRating 254,1,1,2026-08-24T00:00:00.000
255,MCR000255,197,Titan MachineCapacityRating 255,1,1,2026-08-24T00:00:00.000
256,MCR000256,97,Riverton MachineCapacityRating 256,1,1,2026-08-24T00:00:00.000
257,MCR000257,126,Junction MachineCapacityRating 257,1,1,2026-08-24T00:00:00.000
258,MCR000258,72,Northstar MachineCapacityRating 258,1,1,2026-08-24T00:00:00.000
259,MCR000259,175,Willow MachineCapacityRating 259,1,1,2026-08-24T00:00:00.000
260,MCR000260,155,Orion MachineCapacityRating 260,1,1,2026-08-24T00:00:00.000
261,MCR000261,48,Quartz MachineCapacityRating 261,1,1,2026-08-24T00:00:00.000
262,MCR000262,101,Meridian MachineCapacityRating 262,1,1,2026-08-24T00:00:00.000
263,MCR000263,148,Keystone MachineCapacityRating 263,1,1,2026-08-24T00:00:00.000
264,MCR000264,137,Quartz MachineCapacityRating 264,1,1,2026-08-24T00:00:00.000
265,MCR000265,4,Vertex MachineCapacityRating 265,1,1,2026-08-24T00:00:00.000
266,MCR000266,103,Titan MachineCapacityRating 266,1,1,2026-08-24T00:00:00.000
267,MCR000267,62,Vertex MachineCapacityRating 267,1,1,2026-08-24T00:00:00.000
268,MCR000268,168,Junction MachineCapacityRating 268,1,1,2026-08-24T00:00:00.000
269,MCR000269,128,Atlas MachineCapacityRating 269,1,1,2026-08-24T00:00:00.000
270,MCR000270,166,Riverton MachineCapacityRating 270,1,1,2026-08-24T00:00:00.000
271,MCR000271,123,Forge MachineCapacityRating 271,1,1,2026-08-24T00:00:00.000
272,MCR000272,37,Ion MachineCapacityRating 272,1,1,2026-08-24T00:00:00.000
273,MCR000273,55,Quartz MachineCapacityRating 273,1,1,2026-08-24T00:00:00.000
274,MCR000274,145,Liberty MachineCapacityRating 274,1,1,2026-08-24T00:00:00.000
275,MCR000275,176,Liberty MachineCapacityRating 275,1,1,2026-08-24T00:00:00.000
276,MCR000276,171,Quartz MachineCapacityRating 276,1,1,2026-08-24T00:00:00.000
277,MCR000277,173,Evergreen MachineCapacityRating 277,1,1,2026-08-24T00:00:00.000
278,MCR000278,164,Atlas MachineCapacityRating 278,1,1,2026-08-24T00:00:00.000
279,MCR000279,14,Riverton MachineCapacityRating 279,1,1,2026-08-24T00:00:00.000
280,MCR000280,35,Zenith MachineCapacityRating 280,1,1,2026-08-24T00:00:00.000
281,MCR000281,143,Summit MachineCapacityRating 281,1,1,2026-08-24T00:00:00.000
282,MCR000282,173,Keystone MachineCapacityRating 282,1,1,2026-08-24T00:00:00.000
283,MCR000283,156,Liberty MachineCapacityRating 283,1,1,2026-08-24T00:00:00.000
284,MCR000284,121,Junction MachineCapacityRating 284,1,1,2026-08-24T00:00:00.000
285,MCR000285,10,Ion MachineCapacityRating 285,1,1,2026-08-24T00:00:00.000
286,MCR000286,128,Forge MachineCapacityRating 286,1,1,2026-08-24T00:00:00.000
287,MCR000287,51,Vertex MachineCapacityRating 287,1,1,2026-08-24T00:00:00.000
288,MCR000288,146,Riverton MachineCapacityRating 288,1,1,2026-08-24T00:00:00.000
289,MCR000289,157,Meridian MachineCapacityRating 289,1,1,2026-08-24T00:00:00.000
290,MCR000290,98,Cedar MachineCapacityRating 290,1,1,2026-08-24T00:00:00.000
291,MCR000291,97,Junction MachineCapacityRating 291,1,1,2026-08-24T00:00:00.000
292,MCR000292,66,Titan MachineCapacityRating 292,1,1,2026-08-24T00:00:00.000
293,MCR000293,124,Vertex MachineCapacityRating 293,1,1,2026-08-24T00:00:00.000
294,MCR000294,125,Delta MachineCapacityRating 294,1,1,2026-08-24T00:00:00.000
295,MCR000295,164,Liberty MachineCapacityRating 295,1,1,2026-08-24T00:00:00.000
296,MCR000296,144,Titan MachineCapacityRating 296,1,1,2026-08-24T00:00:00.000
297,MCR000297,90,Cedar MachineCapacityRating 297,1,1,2026-08-24T00:00:00.000
298,MCR000298,193,Pioneer MachineCapacityRating 298,1,1,2026-08-24T00:00:00.000
299,MCR000299,83,Liberty MachineCapacityRating 299,1,1,2026-08-24T00:00:00.000
300,MCR000300,88,Quartz MachineCapacityRating 300,1,1,2026-08-24T00:00:00.000
301,MCR000301,65,Northstar MachineCapacityRating 301,1,1,2026-08-24T00:00:00.000
302,MCR000302,147,Junction MachineCapacityRating 302,1,1,2026-08-24T00:00:00.000
303,MCR000303,144,Evergreen MachineCapacityRating 303,1,1,2026-08-24T00:00:00.000
304,MCR000304,44,Delta MachineCapacityRating 304,1,1,2026-08-24T00:00:00.000
305,MCR000305,202,Liberty MachineCapacityRating 305,1,1,2026-08-24T00:00:00.000
306,MCR000306,175,Titan MachineCapacityRating 306,1,1,2026-08-24T00:00:00.000
307,MCR000307,177,Liberty MachineCapacityRating 307,1,1,2026-08-24T00:00:00.000
308,MCR000308,119,Zenith MachineCapacityRating 308,1,1,2026-08-24T00:00:00.000
309,MCR000309,117,Ion MachineCapacityRating 309,1,1,2026-08-24T00:00:00.000
